30640,"SELECT ra, dec, radius, type,area FROM Mask where ra < # and ra > # and dec < # and dec > # and type != #"
2019-01-09 03:38:00,79
2019-01-09 03:39:00,81
2019-01-09 03:40:00,74
2019-01-09 03:41:00,80
2019-01-09 03:42:00,79
2019-01-09 03:43:00,78
2019-01-09 03:44:00,81
2019-01-09 03:45:00,77
2019-01-09 03:46:00,77
2019-01-09 03:47:00,77
2019-01-09 03:48:00,77
2019-01-09 03:49:00,77
2019-01-09 03:50:00,77
2019-01-09 03:51:00,77
2019-01-09 03:52:00,74
2019-01-09 03:53:00,75
2019-01-09 03:54:00,82
2019-01-09 03:55:00,77
2019-01-09 03:56:00,80
2019-01-09 03:57:00,75
2019-01-09 03:58:00,79
2019-01-09 03:59:00,76
2019-01-09 04:00:00,77
2019-01-09 04:01:00,81
2019-01-09 04:02:00,78
2019-01-09 04:03:00,79
2019-01-09 04:04:00,76
2019-01-09 04:05:00,81
2019-01-09 04:06:00,78
2019-01-09 04:07:00,77
2019-01-09 04:08:00,81
2019-01-09 04:09:00,77
2019-01-09 04:10:00,62
2019-01-09 04:11:00,79
2019-01-09 04:12:00,78
2019-01-09 04:13:00,83
2019-01-09 04:14:00,68
2019-01-09 04:15:00,81
2019-01-09 04:16:00,80
2019-01-09 04:17:00,78
2019-01-09 04:18:00,72
2019-01-09 04:19:00,80
2019-01-09 04:20:00,79
2019-01-09 04:21:00,82
2019-01-09 04:22:00,79
2019-01-09 04:23:00,80
2019-01-09 04:24:00,76
2019-01-09 04:25:00,77
2019-01-09 04:26:00,70
2019-01-09 04:27:00,78
2019-01-09 04:28:00,80
2019-01-09 04:29:00,82
2019-01-09 04:30:00,72
2019-01-09 04:31:00,62
2019-01-09 04:32:00,72
2019-01-09 04:33:00,78
2019-01-09 04:34:00,83
2019-01-09 04:35:00,81
2019-01-09 04:36:00,78
2019-01-09 04:37:00,79
2019-01-09 04:38:00,77
2019-01-09 04:39:00,82
2019-01-09 04:40:00,79
2019-01-09 04:41:00,78
2019-01-09 04:42:00,77
2019-01-09 04:43:00,82
2019-01-09 04:44:00,77
2019-01-09 04:45:00,48
2019-01-09 04:46:00,57
2019-01-09 04:47:00,80
2019-01-09 04:48:00,74
2019-01-09 04:49:00,80
2019-01-09 04:50:00,80
2019-01-09 04:51:00,78
2019-01-09 04:52:00,79
2019-01-09 04:53:00,80
2019-01-09 04:54:00,78
2019-01-09 04:55:00,79
2019-01-09 04:56:00,78
2019-01-09 04:57:00,80
2019-01-09 04:58:00,79
2019-01-09 04:59:00,85
2019-01-09 05:00:00,84
2019-01-09 05:01:00,88
2019-01-09 05:02:00,80
2019-01-09 05:03:00,83
2019-01-09 05:04:00,78
2019-01-09 05:05:00,53
2019-01-09 05:06:00,81
2019-01-09 05:07:00,79
2019-01-09 05:08:00,83
2019-01-09 05:09:00,79
2019-01-09 05:10:00,77
2019-01-09 05:11:00,79
2019-01-09 05:12:00,79
2019-01-09 05:13:00,78
2019-01-09 05:14:00,79
2019-01-09 05:15:00,81
2019-01-09 05:16:00,81
2019-01-09 05:17:00,80
2019-01-09 05:18:00,82
2019-01-09 05:19:00,81
2019-01-09 05:20:00,82
2019-01-09 05:21:00,81
2019-01-09 05:22:00,76
2019-01-09 05:23:00,83
2019-01-09 05:24:00,79
2019-01-09 05:25:00,79
2019-01-09 05:26:00,81
2019-01-09 05:27:00,81
2019-01-09 05:28:00,81
2019-01-09 05:29:00,81
2019-01-09 05:30:00,78
2019-01-09 05:31:00,78
2019-01-09 05:32:00,79
2019-01-09 05:33:00,79
2019-01-09 05:34:00,82
2019-01-09 05:35:00,83
2019-01-09 05:36:00,80
2019-01-09 05:37:00,78
2019-01-09 05:38:00,79
2019-01-09 05:39:00,79
2019-01-09 05:40:00,83
2019-01-09 05:41:00,80
2019-01-09 05:42:00,79
2019-01-09 05:43:00,81
2019-01-09 05:44:00,82
2019-01-09 05:45:00,82
2019-01-09 05:46:00,80
2019-01-09 05:47:00,77
2019-01-09 05:48:00,80
2019-01-09 05:49:00,78
2019-01-09 05:50:00,81
2019-01-09 05:51:00,79
2019-01-09 05:52:00,79
2019-01-09 05:53:00,80
2019-01-09 05:54:00,78
2019-01-09 05:55:00,75
2019-01-09 05:56:00,74
2019-01-09 05:57:00,81
2019-01-09 05:58:00,80
2019-01-09 05:59:00,81
2019-01-09 06:00:00,82
2019-01-09 06:01:00,80
2019-01-09 06:02:00,79
2019-01-09 06:03:00,82
2019-01-09 06:04:00,83
2019-01-09 06:05:00,79
2019-01-09 06:06:00,81
2019-01-09 06:07:00,81
2019-01-09 06:08:00,79
2019-01-09 06:09:00,83
2019-01-09 06:10:00,81
2019-01-09 06:11:00,79
2019-01-09 06:12:00,80
2019-01-09 06:13:00,76
2019-01-09 06:14:00,83
2019-01-09 06:15:00,81
2019-01-09 06:16:00,84
2019-01-09 06:17:00,83
2019-01-09 06:18:00,81
2019-01-09 06:19:00,79
2019-01-09 06:20:00,81
2019-01-09 06:21:00,82
2019-01-09 06:22:00,79
2019-01-09 06:23:00,79
2019-01-09 06:24:00,80
2019-01-09 06:25:00,81
2019-01-09 06:26:00,79
2019-01-09 06:27:00,81
2019-01-09 06:28:00,79
2019-01-09 06:29:00,79
2019-01-09 06:30:00,77
2019-01-09 06:31:00,81
2019-01-09 06:32:00,78
2019-01-09 06:33:00,82
2019-01-09 06:34:00,82
2019-01-09 06:35:00,80
2019-01-09 06:36:00,82
2019-01-09 06:37:00,79
2019-01-09 06:38:00,80
2019-01-09 06:39:00,81
2019-01-09 06:40:00,83
2019-01-09 06:41:00,78
2019-01-09 06:42:00,83
2019-01-09 06:43:00,80
2019-01-09 06:44:00,82
2019-01-09 06:45:00,81
2019-01-09 06:46:00,80
2019-01-09 06:47:00,53
2019-01-09 06:48:00,82
2019-01-09 06:49:00,81
2019-01-09 06:50:00,79
2019-01-09 06:51:00,83
2019-01-09 06:52:00,77
2019-01-09 06:53:00,81
2019-01-09 06:54:00,82
2019-01-09 06:55:00,80
2019-01-09 06:56:00,79
2019-01-09 06:57:00,82
2019-01-09 06:58:00,80
2019-01-09 06:59:00,80
2019-01-09 07:00:00,80
2019-01-09 07:01:00,81
2019-01-09 07:02:00,81
2019-01-09 07:03:00,77
2019-01-09 07:04:00,78
2019-01-09 07:05:00,81
2019-01-09 07:06:00,82
2019-01-09 07:07:00,82
2019-01-09 07:08:00,81
2019-01-09 07:09:00,84
2019-01-09 07:10:00,82
2019-01-09 07:11:00,81
2019-01-09 07:12:00,80
2019-01-09 07:13:00,80
2019-01-09 07:14:00,81
2019-01-09 07:15:00,80
2019-01-09 07:16:00,80
2019-01-09 07:17:00,80
2019-01-09 07:18:00,84
2019-01-09 07:19:00,21
2019-01-09 23:08:00,10
2019-01-09 23:09:00,81
2019-01-09 23:10:00,51
2019-01-09 23:11:00,60
2019-01-09 23:12:00,81
2019-01-09 23:13:00,80
2019-01-09 23:14:00,78
2019-01-09 23:15:00,74
2019-01-09 23:16:00,76
2019-01-09 23:17:00,81
2019-01-09 23:18:00,76
2019-01-09 23:19:00,79
2019-01-09 23:20:00,78
2019-01-09 23:21:00,81
2019-01-09 23:22:00,81
2019-01-09 23:23:00,82
2019-01-09 23:24:00,81
2019-01-09 23:25:00,82
2019-01-09 23:26:00,83
2019-01-09 23:27:00,81
2019-01-09 23:28:00,78
2019-01-09 23:29:00,83
2019-01-09 23:30:00,84
2019-01-09 23:31:00,82
2019-01-09 23:32:00,74
2019-01-09 23:33:00,80
2019-01-09 23:34:00,76
2019-01-09 23:35:00,78
2019-01-09 23:36:00,80
2019-01-09 23:37:00,79
2019-01-09 23:38:00,80
2019-01-09 23:39:00,78
2019-01-09 23:40:00,80
2019-01-09 23:41:00,81
2019-01-09 23:42:00,82
2019-01-09 23:43:00,80
2019-01-09 23:44:00,81
2019-01-09 23:45:00,82
2019-01-09 23:46:00,80
2019-01-09 23:47:00,81
2019-01-09 23:48:00,77
2019-01-09 23:49:00,76
2019-01-09 23:50:00,81
2019-01-09 23:51:00,82
2019-01-09 23:52:00,78
2019-01-09 23:53:00,79
2019-01-09 23:54:00,79
2019-01-09 23:55:00,76
2019-01-09 23:56:00,77
2019-01-09 23:57:00,75
2019-01-09 23:58:00,78
2019-01-09 23:59:00,75
