397,"SELECT # + cast (p.objId as varchar (#) ) + # + cast (p.objId as varchar (#) ) + # as objID, p.run, p.rerun, p.camcol, p.field, p.obj, p.type, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z FROM fGetNearbyObjEq (#, #, #) n JOIN PhotoPrimary p ON n.objID = p.objID"
2019-12-03 20:54:00,1
2019-12-03 20:55:00,1
2019-12-03 20:57:00,1
2019-12-03 21:03:00,1
2019-12-03 21:33:00,1
2019-12-03 21:34:00,1
2019-12-03 22:19:00,1
2019-12-03 22:20:00,1
2019-12-03 22:22:00,1
2019-12-03 22:51:00,1
2019-12-03 23:10:00,2
2019-12-03 23:11:00,1
2019-12-03 23:19:00,5
2019-12-03 23:20:00,5
2019-12-03 23:21:00,1
2019-12-03 23:23:00,1
2019-12-03 23:27:00,4
2019-12-03 23:35:00,3
2019-12-03 23:36:00,3
2019-12-03 23:37:00,1
2019-12-03 23:38:00,1
2019-12-03 23:40:00,1
2019-12-03 23:45:00,1
2019-12-03 23:52:00,2
2019-12-03 23:59:00,3
2019-12-04 00:20:00,1
2019-12-04 01:35:00,1
2019-12-04 01:36:00,2
2019-12-04 01:37:00,1
2019-12-04 02:04:00,1
2019-12-04 05:14:00,1
2019-12-04 05:15:00,1
2019-12-04 21:18:00,1
2019-12-04 21:19:00,1
2019-12-04 23:14:00,1
2019-12-04 23:27:00,2
2019-12-05 01:05:00,3
2019-12-05 01:06:00,2
2019-12-05 01:07:00,2
2019-12-05 01:08:00,2
2019-12-05 01:09:00,1
2019-12-05 01:11:00,3
2019-12-05 01:17:00,1
2019-12-05 01:18:00,2
2019-12-05 01:24:00,1
2019-12-05 01:26:00,1
2019-12-05 01:39:00,1
2019-12-05 01:41:00,1
2019-12-05 01:42:00,1
2019-12-05 01:44:00,1
2019-12-05 01:56:00,1
2019-12-05 01:57:00,1
2019-12-05 01:58:00,2
2019-12-05 01:59:00,1
2019-12-05 02:03:00,1
2019-12-05 02:09:00,1
2019-12-05 02:14:00,3
2019-12-05 02:15:00,1
2019-12-05 02:16:00,2
2019-12-05 02:17:00,2
2019-12-05 02:19:00,3
2019-12-05 02:20:00,1
2019-12-05 02:21:00,1
2019-12-05 02:22:00,1
2019-12-05 16:57:00,2
2019-12-05 16:58:00,1
2019-12-05 17:36:00,1
2019-12-05 17:38:00,2
2019-12-05 21:23:00,1
2019-12-05 21:25:00,2
2019-12-05 21:27:00,2
2019-12-05 21:28:00,1
2019-12-05 21:29:00,1
2019-12-05 21:46:00,1
2019-12-05 22:07:00,1
2019-12-05 22:08:00,2
2019-12-05 22:30:00,1
2019-12-05 22:31:00,1
2019-12-05 22:34:00,1
2019-12-06 19:15:00,1
2019-12-06 21:49:00,1
2019-12-06 21:51:00,1
2019-12-06 21:52:00,1
2019-12-06 22:10:00,1
2019-12-06 22:11:00,3
2019-12-06 22:12:00,1
2019-12-06 22:13:00,1
2019-12-06 22:30:00,2
2019-12-06 22:31:00,1
2019-12-06 22:32:00,1
2019-12-08 13:38:00,1
2019-12-08 13:39:00,1
2019-12-08 13:41:00,1
2019-12-08 13:42:00,1
2019-12-08 13:43:00,2
2019-12-08 13:44:00,1
2019-12-08 13:45:00,1
2019-12-08 13:46:00,1
2019-12-08 13:47:00,1
2019-12-08 13:54:00,1
2019-12-08 13:55:00,1
2019-12-08 13:58:00,1
2019-12-08 13:59:00,1
2019-12-08 14:00:00,1
2019-12-08 14:01:00,1
2019-12-08 14:02:00,2
2019-12-08 14:03:00,2
2019-12-08 14:05:00,1
2019-12-08 14:21:00,1
2019-12-08 14:22:00,2
2019-12-08 14:23:00,1
2019-12-08 14:24:00,1
2019-12-08 14:25:00,1
2019-12-08 14:26:00,2
2019-12-08 14:27:00,2
2019-12-08 14:28:00,1
2019-12-08 14:32:00,1
2019-12-11 06:13:00,1
2019-12-11 09:26:00,2
2019-12-12 01:08:00,1
