2487,"SELECT DISTINCT p.objID, p.skyVersion, p.mode, p.clean, p.type, p.ra, p.dec, p.type_r, p.petroRad_r, p.deVRad_r, p.deVAB_r, p.deVPhi_r, p.expRad_r, p.expAB_r, p.expPhi_r, p.lnLExp_r, p.lnLDeV_r, psfMag_r, p.type_g, p.petroRad_g, p.deVRad_g, p.deVAB_g, p.deVPhi_g, p.expRad_g, p.expAB_g, p.expPhi_g, p.lnLExp_g, p.lnLDeV_g, psfMag_g FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-05-09 03:24:00,5
2019-05-09 03:25:00,4
2019-05-09 03:26:00,4
2019-05-09 03:27:00,4
2019-05-09 03:28:00,5
2019-05-09 03:29:00,4
2019-05-09 03:30:00,5
2019-05-09 03:31:00,4
2019-05-09 03:32:00,5
2019-05-09 03:33:00,4
2019-05-09 03:34:00,4
2019-05-09 03:35:00,4
2019-05-09 03:36:00,4
2019-05-09 03:37:00,4
2019-05-09 03:38:00,4
2019-05-09 03:39:00,4
2019-05-09 03:40:00,5
2019-05-09 03:41:00,4
2019-05-09 03:42:00,4
2019-05-09 03:43:00,5
2019-05-09 03:44:00,4
2019-05-09 03:45:00,5
2019-05-09 03:46:00,4
2019-05-09 03:47:00,3
2019-05-09 03:48:00,5
2019-05-09 03:49:00,4
2019-05-09 03:50:00,4
2019-05-09 03:51:00,4
2019-05-09 03:52:00,4
2019-05-09 03:53:00,4
2019-05-09 03:54:00,4
2019-05-09 03:55:00,5
2019-05-09 03:56:00,4
2019-05-09 03:57:00,4
2019-05-09 03:58:00,4
2019-05-09 03:59:00,4
2019-05-09 04:00:00,4
2019-05-09 04:01:00,4
2019-05-09 04:02:00,3
2019-05-09 04:03:00,4
2019-05-09 04:04:00,4
2019-05-09 04:05:00,4
2019-05-09 04:06:00,4
2019-05-09 04:07:00,3
2019-05-09 04:08:00,4
2019-05-09 04:09:00,4
2019-05-09 04:10:00,4
2019-05-09 04:11:00,4
2019-05-09 04:12:00,3
2019-05-09 04:13:00,4
2019-05-09 04:14:00,1
2019-05-09 04:26:00,2
2019-05-09 04:27:00,3
2019-05-09 04:28:00,3
2019-05-09 05:27:00,1
2019-05-09 05:29:00,1
2019-05-09 05:30:00,3
2019-05-09 05:34:00,1
2019-05-09 05:35:00,2
2019-05-09 05:36:00,1
2019-05-09 05:49:00,1
2019-05-09 08:52:00,1
2019-05-09 08:53:00,1
2019-05-09 08:54:00,2
2019-05-09 08:55:00,1
2019-05-09 08:56:00,1
2019-05-09 08:57:00,3
2019-05-09 08:58:00,3
2019-05-09 08:59:00,1
2019-05-09 09:00:00,1
2019-05-09 09:01:00,2
2019-05-09 09:02:00,2
2019-05-09 09:15:00,1
2019-05-09 09:17:00,1
2019-05-09 09:18:00,2
2019-05-09 09:19:00,1
2019-05-09 09:24:00,1
2019-05-09 09:25:00,2
2019-05-09 09:26:00,2
2019-05-09 09:27:00,3
2019-05-09 09:28:00,2
2019-05-09 09:29:00,1
2019-05-09 09:30:00,3
2019-05-09 09:31:00,2
2019-05-09 09:32:00,1
2019-05-09 09:33:00,2
2019-05-09 09:34:00,2
2019-05-09 09:35:00,2
2019-05-09 09:36:00,2
2019-05-09 09:37:00,2
2019-05-09 09:38:00,2
2019-05-09 09:39:00,3
2019-05-09 09:40:00,2
2019-05-09 09:41:00,2
2019-05-09 09:42:00,2
2019-05-09 09:43:00,3
2019-05-09 09:44:00,1
2019-05-09 09:45:00,3
2019-05-09 09:46:00,2
2019-05-09 09:47:00,2
2019-05-09 09:48:00,3
2019-05-09 09:49:00,1
2019-05-09 09:50:00,3
2019-05-09 09:51:00,2
2019-05-09 09:52:00,2
2019-05-09 09:53:00,3
2019-05-09 09:54:00,2
2019-05-09 09:55:00,2
2019-05-09 09:57:00,1
2019-05-09 09:58:00,2
2019-05-09 09:59:00,3
2019-05-09 10:00:00,2
2019-05-09 10:01:00,2
2019-05-09 10:02:00,3
2019-05-09 10:03:00,2
2019-05-09 10:04:00,3
2019-05-09 10:05:00,2
2019-05-09 10:06:00,2
2019-05-09 10:07:00,2
2019-05-09 10:25:00,1
2019-05-09 10:26:00,2
2019-05-09 10:27:00,2
2019-05-09 10:28:00,3
2019-05-09 10:29:00,2
2019-05-09 10:30:00,2
2019-05-09 10:31:00,3
2019-05-09 10:32:00,2
2019-05-09 10:33:00,2
2019-05-09 10:34:00,2
2019-05-09 10:35:00,2
2019-05-09 10:36:00,3
2019-05-09 10:37:00,2
2019-05-09 10:38:00,2
2019-05-09 10:39:00,2
2019-05-09 10:40:00,2
2019-05-09 10:41:00,1
2019-05-09 10:42:00,2
2019-05-09 10:43:00,2
2019-05-09 10:44:00,2
2019-05-09 10:45:00,2
2019-05-09 10:46:00,2
2019-05-09 10:47:00,2
2019-05-09 10:48:00,2
2019-05-09 10:49:00,1
2019-05-09 10:50:00,2
2019-05-09 10:51:00,3
2019-05-09 11:49:00,1
2019-05-09 11:50:00,2
2019-05-09 11:51:00,2
2019-05-09 11:52:00,2
2019-05-09 11:53:00,1
2019-05-09 12:32:00,1
2019-05-09 12:33:00,3
2019-05-09 12:34:00,2
2019-05-09 12:35:00,3
2019-05-09 12:36:00,2
2019-05-09 12:37:00,2
2019-05-09 12:38:00,2
2019-05-09 12:39:00,2
2019-05-09 12:41:00,2
2019-05-09 12:42:00,2
2019-05-09 12:43:00,2
2019-05-09 12:44:00,2
2019-05-09 12:45:00,2
2019-05-09 12:46:00,2
2019-05-09 12:47:00,2
2019-05-09 12:54:00,1
2019-05-09 13:01:00,1
2019-05-09 13:02:00,2
2019-05-09 13:03:00,2
2019-05-09 13:04:00,2
2019-05-09 13:05:00,3
2019-05-09 13:06:00,2
2019-05-09 13:07:00,2
2019-05-09 13:08:00,2
2019-05-09 13:09:00,2
2019-05-09 13:10:00,2
2019-05-09 13:11:00,2
2019-05-09 13:12:00,2
2019-05-09 13:13:00,1
2019-05-09 13:14:00,2
2019-05-09 13:15:00,2
2019-05-09 13:16:00,2
2019-05-09 13:17:00,2
2019-05-09 13:18:00,2
2019-05-09 13:19:00,1
2019-05-09 13:20:00,2
2019-05-09 13:21:00,2
2019-05-09 13:22:00,2
2019-05-09 13:23:00,2
2019-05-09 13:24:00,2
2019-05-09 13:25:00,2
2019-05-09 13:26:00,2
2019-05-09 13:27:00,2
2019-05-09 13:28:00,2
2019-05-09 13:29:00,2
2019-05-09 13:30:00,1
2019-05-09 13:31:00,2
2019-05-09 13:32:00,2
2019-05-09 13:33:00,2
2019-05-09 13:34:00,2
2019-05-09 13:35:00,1
2019-05-09 13:36:00,2
2019-05-09 13:37:00,2
2019-05-09 13:38:00,1
2019-05-09 13:39:00,2
2019-05-09 13:40:00,1
2019-05-09 13:41:00,2
2019-05-09 13:42:00,2
2019-05-09 13:43:00,2
2019-05-09 13:44:00,2
2019-05-09 13:45:00,1
2019-05-09 13:46:00,2
2019-05-09 13:47:00,2
2019-05-09 13:51:00,1
2019-05-09 13:52:00,2
2019-05-09 13:53:00,1
2019-05-09 13:54:00,2
2019-05-09 13:55:00,2
2019-05-09 13:56:00,1
2019-05-09 13:57:00,2
2019-05-09 13:58:00,1
2019-05-09 13:59:00,2
2019-05-09 14:00:00,2
2019-05-09 14:01:00,1
2019-05-09 14:02:00,1
2019-05-09 14:03:00,1
2019-05-09 14:05:00,1
2019-05-09 14:06:00,2
2019-05-09 14:07:00,1
2019-05-09 14:10:00,1
2019-05-09 14:11:00,2
2019-05-09 14:12:00,1
2019-05-09 14:13:00,1
2019-05-09 14:15:00,2
2019-05-09 14:18:00,2
2019-05-09 14:19:00,2
2019-05-09 14:20:00,1
2019-05-09 14:21:00,1
2019-05-09 14:23:00,1
2019-05-09 14:24:00,1
2019-05-09 14:26:00,1
2019-05-09 14:27:00,1
2019-05-09 14:28:00,1
2019-05-09 14:29:00,1
2019-05-09 14:30:00,1
2019-05-09 14:31:00,2
2019-05-09 14:32:00,2
2019-05-09 14:33:00,1
2019-05-09 14:34:00,2
2019-05-09 14:36:00,2
2019-05-09 14:37:00,2
2019-05-09 14:38:00,1
2019-05-09 14:39:00,2
2019-05-09 14:40:00,2
2019-05-09 14:41:00,2
2019-05-09 14:42:00,1
2019-05-09 14:43:00,1
2019-05-09 14:44:00,2
2019-05-09 14:45:00,1
2019-05-09 14:46:00,2
2019-05-09 14:47:00,1
2019-05-09 14:48:00,1
2019-05-09 14:49:00,1
2019-05-09 14:50:00,2
2019-05-09 14:51:00,1
2019-05-09 14:52:00,2
2019-05-09 14:53:00,1
2019-05-09 14:54:00,2
2019-05-09 14:55:00,2
2019-05-09 14:56:00,1
2019-05-09 14:57:00,1
2019-05-09 14:58:00,1
2019-05-09 15:01:00,2
2019-05-09 15:02:00,1
2019-05-09 15:04:00,2
2019-05-09 15:05:00,1
2019-05-09 15:06:00,2
2019-05-09 15:07:00,1
2019-05-09 15:08:00,2
2019-05-09 15:09:00,2
2019-05-09 15:10:00,1
2019-05-09 15:11:00,2
2019-05-09 15:12:00,2
2019-05-09 15:13:00,1
2019-05-09 15:14:00,1
2019-05-09 15:15:00,1
2019-05-09 15:16:00,2
2019-05-09 15:17:00,2
2019-05-09 15:18:00,2
2019-05-09 15:19:00,2
2019-05-09 15:20:00,2
2019-05-09 15:21:00,1
2019-05-09 16:10:00,2
2019-05-09 16:11:00,2
2019-05-09 16:12:00,2
2019-05-09 16:13:00,1
