18674,"SELECT p.objid, p.run, p.rerun, p.camcol, p.field, p.obj, p.type, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z FROM fGetNearbyObjEq (#, #, #) n, PhotoPrimary p WHERE n.objID = p.objID"
2019-01-04 06:54:00,1
2019-01-04 06:55:00,1
2019-01-04 06:57:00,1
2019-01-04 06:59:00,1
2019-01-04 07:00:00,1
2019-01-04 07:01:00,1
2019-01-04 07:02:00,1
2019-01-04 07:04:00,1
2019-01-04 07:05:00,1
2019-01-04 07:06:00,2
2019-01-04 07:07:00,1
2019-01-04 07:09:00,1
2019-01-04 07:18:00,1
2019-01-04 07:20:00,1
2019-01-04 07:24:00,1
2019-01-04 07:25:00,1
2019-01-04 07:28:00,1
2019-01-04 07:30:00,1
2019-01-04 07:41:00,1
2019-01-04 07:48:00,1
2019-01-04 08:03:00,1
2019-01-04 08:05:00,1
2019-01-04 08:07:00,1
2019-01-04 08:08:00,1
2019-01-04 08:09:00,1
2019-01-04 08:11:00,1
2019-01-04 08:12:00,1
2019-01-04 08:13:00,1
2019-01-04 08:14:00,1
2019-01-04 08:16:00,1
2019-01-04 08:17:00,1
2019-01-04 08:18:00,1
2019-01-04 08:19:00,1
2019-01-04 08:23:00,1
2019-01-04 08:24:00,1
2019-01-04 08:26:00,1
2019-01-04 08:28:00,1
2019-01-04 08:29:00,1
2019-01-04 08:32:00,1
2019-01-04 08:33:00,1
2019-01-04 08:35:00,1
2019-01-04 08:47:00,1
2019-01-04 08:49:00,1
2019-01-04 08:51:00,1
2019-01-04 08:52:00,1
2019-01-04 08:54:00,1
2019-01-04 08:55:00,1
2019-01-04 08:57:00,1
2019-01-04 09:06:00,1
2019-01-04 09:08:00,1
2019-01-04 10:58:00,2
2019-01-04 11:17:00,1
2019-01-04 11:39:00,1
2019-01-04 11:44:00,1
2019-01-04 11:46:00,1
2019-01-04 11:58:00,1
2019-01-04 12:00:00,1
2019-01-04 12:02:00,1
2019-01-04 12:11:00,1
2019-01-04 12:12:00,1
2019-01-04 12:13:00,1
2019-01-04 12:15:00,1
2019-01-04 12:17:00,1
2019-01-04 12:18:00,1
2019-01-04 12:21:00,1
2019-01-04 12:22:00,1
2019-01-04 12:23:00,1
2019-01-04 12:25:00,1
2019-01-04 12:27:00,1
2019-01-04 12:29:00,1
2019-01-04 12:31:00,1
2019-01-04 12:34:00,1
2019-01-04 12:36:00,1
2019-01-04 13:16:00,1
2019-01-04 13:18:00,1
2019-01-04 13:55:00,1
2019-01-04 13:56:00,1
2019-01-04 13:59:00,1
2019-01-04 16:12:00,1
2019-01-04 16:20:00,1
2019-01-04 16:23:00,1
2019-01-04 16:28:00,1
2019-01-04 16:30:00,1
2019-01-04 16:31:00,1
2019-01-04 16:49:00,1
2019-01-04 17:41:00,1
2019-01-04 17:47:00,2
2019-01-04 17:54:00,1
2019-01-04 18:25:00,2
2019-01-04 18:26:00,1
2019-01-04 20:38:00,1
2019-01-04 20:46:00,1
2019-01-04 20:49:00,1
2019-01-04 23:31:00,1
2019-01-05 01:37:00,1
2019-01-05 02:25:00,1
2019-01-05 05:53:00,1
2019-01-05 05:55:00,1
2019-01-05 05:56:00,1
2019-01-05 05:57:00,1
2019-01-05 05:59:00,1
2019-01-05 06:00:00,1
2019-01-05 06:01:00,1
2019-01-05 06:03:00,1
2019-01-05 06:04:00,1
2019-01-05 06:05:00,1
2019-01-05 06:07:00,1
2019-01-05 06:09:00,1
2019-01-05 06:10:00,1
2019-01-05 06:11:00,1
2019-01-05 06:13:00,1
2019-01-05 06:14:00,1
2019-01-05 06:15:00,1
2019-01-05 06:16:00,1
2019-01-05 06:18:00,1
2019-01-05 06:19:00,1
2019-01-05 06:26:00,1
2019-01-05 08:02:00,1
2019-01-05 09:10:00,1
2019-01-05 12:00:00,1
2019-01-05 12:22:00,1
2019-01-05 23:36:00,1
2019-01-06 00:33:00,1
2019-01-06 00:34:00,1
2019-01-06 00:35:00,1
2019-01-06 00:48:00,1
2019-01-06 00:57:00,1
2019-01-06 01:10:00,1
2019-01-06 01:15:00,1
2019-01-06 01:24:00,1
2019-01-06 01:33:00,1
2019-01-06 01:34:00,1
2019-01-06 02:34:00,1
2019-01-06 02:35:00,2
2019-01-06 02:48:00,1
2019-01-06 02:49:00,1
2019-01-06 06:08:00,1
2019-01-06 10:38:00,1
2019-01-06 10:48:00,1
2019-01-06 11:15:00,1
2019-01-06 14:22:00,1
2019-01-06 15:33:00,1
2019-01-06 16:00:00,1
2019-01-06 16:16:00,1
2019-01-06 16:32:00,1
2019-01-06 16:35:00,1
2019-01-06 16:38:00,1
2019-01-06 16:52:00,1
2019-01-06 16:59:00,1
2019-01-06 17:07:00,1
2019-01-06 17:14:00,1
2019-01-06 17:17:00,1
2019-01-06 20:14:00,1
2019-01-06 22:01:00,1
2019-01-06 22:03:00,1
2019-01-06 22:07:00,1
2019-01-06 22:13:00,1
2019-01-07 01:26:00,1
2019-01-07 01:27:00,1
2019-01-07 02:25:00,2
2019-01-07 03:02:00,1
2019-01-07 03:03:00,1
2019-01-07 03:13:00,2
2019-01-07 03:28:00,4
2019-01-07 04:53:00,1
2019-01-07 05:17:00,1
2019-01-07 05:21:00,1
2019-01-07 06:44:00,1
2019-01-07 06:45:00,6
2019-01-07 06:50:00,1
2019-01-07 07:31:00,1
2019-01-07 07:35:00,1
2019-01-07 07:37:00,1
2019-01-07 07:40:00,1
2019-01-07 07:43:00,1
2019-01-07 07:47:00,1
2019-01-07 09:15:00,1
2019-01-07 10:21:00,1
2019-01-07 10:25:00,2
2019-01-07 10:28:00,1
2019-01-07 13:32:00,1
2019-01-07 15:37:00,1
2019-01-07 15:50:00,1
2019-01-07 15:59:00,1
2019-01-07 16:32:00,1
2019-01-07 17:09:00,1
2019-01-07 18:51:00,1
2019-01-07 19:56:00,1
2019-01-07 20:39:00,1
2019-01-07 20:41:00,1
2019-01-07 20:45:00,1
2019-01-07 20:52:00,2
2019-01-07 21:00:00,1
2019-01-07 21:11:00,1
2019-01-07 21:14:00,1
2019-01-07 22:08:00,1
2019-01-08 07:10:00,1
2019-01-08 07:36:00,3
2019-01-08 08:04:00,1
2019-01-08 08:49:00,1
2019-01-08 08:50:00,1
2019-01-08 10:43:00,1
2019-01-08 13:04:00,1
2019-01-08 13:14:00,1
2019-01-08 13:26:00,1
2019-01-08 14:31:00,1
2019-01-08 14:44:00,1
2019-01-08 14:54:00,1
2019-01-08 14:56:00,1
2019-01-08 14:57:00,1
2019-01-08 14:58:00,1
2019-01-08 14:59:00,1
2019-01-08 15:07:00,2
2019-01-08 15:11:00,1
2019-01-08 15:18:00,1
2019-01-08 15:21:00,1
2019-01-08 15:22:00,1
2019-01-08 15:28:00,1
2019-01-08 15:31:00,1
2019-01-08 15:34:00,1
2019-01-08 15:47:00,1
2019-01-08 15:50:00,1
2019-01-08 15:55:00,1
2019-01-08 15:57:00,1
2019-01-08 15:58:00,1
2019-01-08 17:28:00,1
2019-01-08 17:52:00,1
2019-01-08 18:03:00,1
2019-01-08 18:54:00,1
2019-01-08 18:56:00,1
2019-01-08 19:17:00,1
2019-01-08 19:24:00,1
2019-01-09 07:31:00,1
2019-01-09 07:40:00,1
2019-01-09 07:54:00,2
2019-01-09 08:14:00,2
2019-01-09 08:32:00,1
2019-01-09 08:40:00,1
2019-01-09 08:42:00,1
2019-01-09 08:48:00,1
2019-01-09 10:08:00,1
2019-01-09 10:09:00,1
2019-01-09 10:25:00,1
2019-01-09 16:56:00,1
2019-01-09 17:32:00,1
2019-01-09 22:41:00,1
2019-01-09 23:53:00,1
2019-01-10 06:52:00,1
2019-01-10 06:53:00,1
2019-01-10 09:04:00,1
2019-01-10 09:12:00,1
2019-01-10 09:47:00,1
2019-01-10 09:54:00,1
2019-01-10 09:58:00,1
2019-01-10 10:34:00,1
2019-01-10 10:43:00,1
2019-01-10 10:44:00,1
2019-01-10 10:45:00,1
2019-01-10 10:46:00,1
2019-01-10 10:47:00,1
2019-01-10 11:00:00,1
2019-01-10 11:04:00,1
2019-01-10 11:39:00,1
2019-01-10 11:51:00,1
2019-01-10 12:06:00,1
2019-01-10 12:07:00,1
2019-01-10 12:17:00,1
2019-01-10 16:17:00,1
2019-01-10 17:07:00,1
2019-01-11 08:00:00,1
2019-01-11 08:47:00,1
2019-01-11 08:48:00,1
2019-01-11 08:50:00,1
2019-01-11 09:11:00,1
2019-01-11 09:57:00,1
2019-01-11 12:02:00,1
2019-01-11 12:18:00,1
2019-01-11 12:20:00,1
2019-01-11 12:41:00,1
2019-01-11 12:43:00,1
2019-01-11 12:45:00,1
2019-01-11 12:46:00,1
2019-01-11 12:47:00,1
2019-01-11 12:51:00,1
2019-01-11 12:52:00,2
2019-01-11 12:57:00,1
2019-01-11 13:00:00,1
2019-01-11 13:04:00,1
2019-01-11 13:05:00,1
2019-01-11 13:06:00,1
2019-01-11 13:23:00,1
2019-01-11 13:33:00,1
2019-01-11 13:35:00,1
2019-01-11 13:39:00,1
2019-01-11 13:41:00,1
2019-01-11 13:58:00,2
2019-01-11 14:02:00,1
2019-01-11 14:25:00,1
2019-01-11 14:40:00,1
2019-01-11 15:14:00,1
2019-01-11 15:18:00,1
2019-01-11 15:19:00,1
2019-01-11 15:24:00,1
2019-01-11 15:25:00,1
2019-01-11 15:34:00,1
2019-01-11 16:07:00,1
2019-01-11 16:15:00,1
2019-01-11 16:17:00,1
2019-01-11 16:19:00,1
2019-01-11 16:22:00,1
2019-01-11 16:23:00,1
2019-01-11 16:24:00,1
2019-01-11 16:28:00,1
2019-01-11 16:30:00,1
2019-01-11 17:04:00,1
2019-01-11 17:24:00,1
2019-01-11 17:36:00,1
2019-01-11 18:05:00,1
2019-01-11 21:19:00,1
2019-01-12 10:38:00,1
2019-01-12 13:54:00,1
2019-01-12 13:55:00,1
2019-01-12 13:57:00,1
2019-01-12 13:59:00,2
2019-01-12 14:00:00,1
2019-01-12 14:03:00,1
2019-01-12 14:16:00,1
2019-01-12 17:54:00,1
2019-01-13 00:36:00,1
2019-01-13 01:38:00,1
2019-01-13 02:31:00,1
2019-01-13 03:09:00,1
2019-01-13 03:30:00,1
2019-01-13 04:13:00,1
2019-01-13 04:27:00,1
2019-01-13 04:39:00,1
2019-01-13 05:09:00,1
2019-01-13 05:27:00,1
2019-01-13 05:32:00,1
2019-01-13 05:35:00,1
2019-01-13 11:43:00,1
2019-01-13 17:21:00,1
2019-01-13 17:31:00,1
2019-01-13 20:54:00,1
2019-01-13 20:55:00,1
2019-01-13 21:09:00,1
2019-01-13 21:12:00,1
2019-01-13 21:22:00,1
2019-01-13 21:39:00,2
2019-01-14 06:29:00,1
2019-01-14 06:38:00,1
2019-01-14 06:51:00,1
2019-01-14 06:53:00,1
2019-01-14 07:05:00,1
2019-01-14 07:10:00,2
2019-01-14 07:22:00,1
2019-01-14 07:25:00,2
2019-01-14 07:31:00,1
2019-01-14 07:33:00,1
2019-01-14 07:34:00,1
2019-01-14 07:36:00,1
2019-01-14 07:37:00,2
2019-01-14 07:39:00,1
2019-01-14 07:46:00,1
2019-01-14 07:48:00,1
2019-01-14 07:59:00,1
2019-01-14 08:05:00,1
2019-01-14 08:07:00,1
2019-01-14 08:08:00,1
2019-01-14 08:22:00,1
2019-01-14 08:24:00,1
2019-01-14 08:49:00,1
2019-01-14 08:50:00,1
2019-01-14 09:16:00,1
2019-01-14 09:26:00,1
2019-01-14 10:13:00,2
2019-01-14 10:18:00,1
2019-01-14 10:20:00,1
2019-01-14 10:29:00,1
2019-01-14 10:31:00,1
2019-01-14 10:35:00,1
2019-01-14 10:46:00,1
2019-01-14 10:48:00,1
2019-01-14 10:52:00,1
2019-01-14 10:56:00,1
2019-01-14 10:57:00,1
2019-01-14 10:58:00,1
2019-01-14 11:05:00,1
2019-01-14 11:22:00,1
2019-01-14 11:27:00,1
2019-01-14 11:49:00,1
2019-01-14 11:56:00,1
2019-01-14 12:04:00,1
2019-01-14 12:25:00,1
2019-01-14 12:53:00,5
2019-01-14 12:55:00,3
2019-01-14 13:13:00,1
2019-01-14 13:25:00,1
2019-01-14 13:27:00,1
2019-01-14 13:28:00,1
2019-01-14 13:30:00,2
2019-01-14 13:32:00,1
2019-01-14 13:33:00,1
2019-01-14 13:38:00,1
2019-01-14 13:39:00,1
2019-01-14 13:43:00,1
2019-01-14 13:45:00,1
2019-01-14 13:48:00,1
2019-01-14 13:51:00,1
2019-01-14 13:54:00,1
2019-01-14 14:00:00,1
2019-01-14 14:18:00,1
2019-01-14 15:17:00,1
2019-01-14 15:27:00,1
2019-01-14 15:28:00,1
2019-01-14 16:17:00,1
2019-01-14 16:44:00,1
2019-01-14 16:51:00,1
2019-01-14 16:57:00,1
2019-01-14 17:07:00,1
2019-01-14 19:17:00,1
2019-01-14 19:18:00,1
2019-01-14 22:05:00,1
2019-01-15 01:51:00,1
2019-01-15 01:56:00,1
2019-01-15 02:09:00,1
2019-01-15 02:23:00,1
2019-01-15 02:31:00,1
2019-01-15 02:33:00,1
2019-01-15 02:43:00,1
2019-01-15 02:55:00,1
2019-01-15 02:56:00,1
2019-01-15 03:05:00,1
2019-01-15 03:12:00,1
2019-01-15 03:26:00,1
2019-01-15 05:02:00,1
2019-01-15 06:12:00,1
2019-01-15 06:16:00,1
2019-01-15 06:20:00,1
2019-01-15 06:21:00,1
2019-01-15 06:24:00,1
2019-01-15 06:31:00,1
2019-01-15 06:37:00,1
2019-01-15 06:49:00,1
2019-01-15 06:57:00,1
2019-01-15 07:01:00,1
2019-01-15 07:03:00,1
2019-01-15 07:10:00,1
2019-01-15 07:14:00,1
2019-01-15 07:19:00,1
2019-01-15 07:23:00,1
2019-01-15 07:31:00,1
2019-01-15 07:34:00,1
2019-01-15 07:40:00,1
2019-01-15 07:43:00,1
2019-01-15 07:45:00,1
2019-01-15 07:49:00,1
2019-01-15 07:50:00,1
2019-01-15 07:54:00,1
2019-01-15 07:59:00,1
2019-01-15 08:02:00,1
2019-01-15 08:03:00,1
2019-01-15 08:04:00,1
2019-01-15 08:07:00,1
2019-01-15 08:08:00,2
2019-01-15 08:13:00,1
2019-01-15 08:15:00,1
2019-01-15 08:18:00,1
2019-01-15 08:19:00,2
2019-01-15 08:22:00,1
2019-01-15 08:23:00,1
2019-01-15 08:24:00,1
2019-01-15 08:26:00,1
2019-01-15 08:29:00,1
2019-01-15 08:30:00,2
2019-01-15 08:31:00,1
2019-01-15 08:34:00,2
2019-01-15 08:38:00,1
2019-01-15 08:40:00,2
2019-01-15 08:44:00,1
2019-01-15 08:53:00,2
2019-01-15 08:56:00,1
2019-01-15 08:58:00,1
2019-01-15 08:59:00,1
2019-01-15 09:01:00,1
2019-01-15 09:05:00,2
2019-01-15 09:09:00,1
2019-01-15 09:13:00,1
2019-01-15 09:16:00,1
2019-01-15 09:18:00,2
2019-01-15 09:20:00,1
2019-01-15 09:33:00,1
2019-01-15 09:36:00,1
2019-01-15 09:39:00,1
2019-01-15 09:41:00,1
2019-01-15 09:42:00,1
2019-01-15 09:46:00,1
2019-01-15 09:50:00,1
2019-01-15 09:52:00,1
2019-01-15 09:54:00,1
2019-01-15 10:02:00,1
2019-01-15 10:13:00,1
2019-01-15 10:22:00,1
2019-01-15 10:30:00,2
2019-01-15 10:31:00,1
2019-01-15 10:35:00,1
2019-01-15 11:00:00,1
2019-01-15 11:05:00,1
2019-01-15 11:16:00,1
2019-01-15 11:27:00,1
2019-01-15 11:31:00,1
2019-01-15 11:38:00,1
2019-01-15 11:41:00,1
2019-01-15 11:43:00,1
2019-01-15 12:00:00,1
2019-01-15 12:31:00,1
2019-01-15 12:53:00,1
2019-01-15 12:54:00,1
2019-01-15 12:56:00,1
2019-01-15 12:57:00,1
2019-01-15 13:16:00,1
2019-01-15 13:18:00,1
2019-01-15 13:56:00,1
2019-01-15 14:06:00,1
2019-01-15 14:18:00,1
2019-01-15 14:26:00,1
2019-01-15 14:35:00,1
2019-01-15 14:41:00,1
2019-01-15 14:54:00,1
2019-01-15 15:32:00,1
2019-01-15 15:33:00,1
2019-01-15 15:52:00,1
2019-01-15 16:07:00,1
2019-01-15 16:25:00,1
2019-01-15 16:26:00,1
2019-01-15 16:28:00,1
2019-01-15 16:40:00,1
2019-01-15 17:09:00,1
2019-01-15 17:25:00,1
2019-01-15 17:30:00,1
2019-01-15 17:45:00,1
2019-01-15 17:49:00,1
2019-01-15 18:20:00,1
2019-01-15 18:29:00,1
2019-01-15 18:41:00,1
2019-01-15 20:38:00,1
2019-01-15 20:46:00,1
2019-01-15 20:47:00,1
2019-01-15 20:48:00,2
2019-01-15 20:49:00,1
2019-01-16 00:50:00,1
2019-01-16 00:52:00,1
2019-01-16 00:55:00,1
2019-01-16 01:14:00,1
2019-01-16 01:17:00,1
2019-01-16 01:20:00,1
2019-01-16 01:21:00,1
2019-01-16 01:22:00,1
2019-01-16 01:23:00,1
2019-01-16 01:25:00,1
2019-01-16 01:41:00,1
2019-01-16 01:43:00,2
2019-01-16 01:44:00,1
2019-01-16 01:46:00,1
2019-01-16 01:48:00,1
2019-01-16 01:49:00,1
2019-01-16 01:54:00,2
2019-01-16 01:58:00,1
2019-01-16 03:12:00,1
2019-01-16 03:16:00,1
2019-01-16 03:17:00,1
2019-01-16 04:55:00,1
2019-01-16 05:13:00,1
2019-01-16 05:15:00,1
2019-01-16 05:20:00,1
2019-01-16 05:27:00,1
2019-01-16 05:29:00,1
2019-01-16 05:32:00,1
2019-01-16 05:45:00,1
2019-01-16 05:47:00,1
2019-01-16 05:49:00,2
2019-01-16 05:52:00,1
2019-01-16 05:54:00,2
2019-01-16 05:55:00,1
2019-01-16 05:58:00,1
2019-01-16 06:02:00,1
2019-01-16 06:49:00,1
2019-01-16 07:22:00,1
2019-01-16 07:42:00,1
2019-01-16 07:43:00,1
2019-01-16 07:44:00,1
2019-01-16 07:49:00,1
2019-01-16 07:51:00,1
2019-01-16 07:53:00,1
2019-01-16 07:55:00,1
2019-01-16 07:56:00,1
2019-01-16 07:57:00,1
2019-01-16 07:59:00,2
2019-01-16 08:02:00,1
2019-01-16 08:06:00,1
2019-01-16 08:07:00,1
2019-01-16 08:08:00,1
2019-01-16 08:16:00,1
2019-01-16 08:18:00,1
2019-01-16 08:27:00,1
2019-01-16 08:28:00,1
2019-01-16 08:31:00,1
2019-01-16 08:38:00,1
2019-01-16 08:47:00,1
2019-01-16 08:55:00,1
2019-01-16 09:02:00,1
2019-01-16 09:12:00,1
2019-01-16 09:26:00,1
2019-01-16 10:13:00,1
2019-01-16 10:19:00,1
2019-01-16 10:35:00,1
2019-01-16 10:42:00,1
2019-01-16 10:45:00,1
2019-01-16 10:52:00,1
2019-01-16 10:57:00,2
2019-01-16 11:11:00,1
2019-01-16 11:12:00,1
2019-01-16 11:23:00,1
2019-01-16 11:34:00,1
2019-01-16 11:40:00,1
2019-01-16 11:47:00,1
2019-01-16 12:10:00,1
2019-01-16 12:23:00,1
2019-01-16 12:35:00,1
2019-01-16 13:07:00,1
2019-01-16 13:10:00,1
2019-01-16 13:27:00,1
2019-01-16 13:48:00,1
2019-01-16 13:56:00,1
2019-01-16 14:10:00,1
2019-01-16 14:46:00,1
2019-01-16 14:48:00,1
2019-01-16 15:14:00,2
2019-01-16 15:16:00,1
2019-01-16 15:17:00,1
2019-01-16 15:40:00,1
2019-01-16 16:49:00,1
2019-01-16 17:22:00,1
2019-01-16 17:23:00,2
2019-01-16 17:24:00,1
2019-01-16 17:25:00,1
2019-01-16 17:26:00,1
2019-01-16 17:27:00,1
2019-01-16 17:28:00,1
2019-01-16 17:29:00,2
2019-01-16 17:30:00,1
2019-01-16 17:31:00,2
2019-01-16 17:32:00,1
2019-01-16 17:33:00,2
2019-01-16 17:34:00,1
2019-01-16 17:35:00,1
2019-01-16 17:36:00,1
2019-01-16 17:37:00,2
2019-01-16 17:38:00,1
2019-01-16 17:39:00,2
2019-01-16 17:41:00,1
2019-01-16 17:45:00,2
2019-01-16 17:46:00,1
2019-01-16 17:51:00,1
2019-01-16 17:54:00,1
2019-01-16 17:56:00,1
2019-01-16 17:58:00,1
2019-01-16 18:03:00,1
2019-01-16 18:04:00,1
2019-01-16 18:06:00,1
2019-01-16 18:08:00,1
2019-01-16 18:43:00,1
2019-01-16 18:50:00,1
2019-01-16 18:52:00,1
2019-01-16 19:16:00,1
2019-01-16 19:23:00,1
2019-01-16 19:25:00,1
2019-01-16 19:27:00,1
2019-01-16 20:07:00,1
2019-01-16 22:42:00,1
2019-01-16 22:43:00,1
2019-01-16 22:44:00,1
2019-01-16 22:45:00,1
2019-01-17 03:09:00,1
2019-01-17 03:15:00,1
2019-01-17 03:20:00,1
2019-01-17 03:53:00,1
2019-01-17 04:20:00,1
2019-01-17 04:31:00,1
2019-01-17 04:47:00,1
2019-01-17 04:51:00,1
2019-01-17 04:56:00,1
2019-01-17 04:58:00,1
2019-01-17 05:05:00,1
2019-01-17 05:07:00,1
2019-01-17 05:19:00,1
2019-01-17 05:20:00,1
2019-01-17 05:29:00,3
2019-01-17 05:31:00,1
2019-01-17 06:03:00,1
2019-01-17 06:05:00,1
2019-01-17 06:29:00,1
2019-01-17 07:11:00,1
2019-01-17 07:17:00,1
2019-01-17 07:27:00,1
2019-01-17 07:34:00,1
2019-01-17 08:14:00,1
2019-01-17 08:21:00,1
2019-01-17 08:29:00,1
2019-01-17 08:38:00,1
2019-01-17 08:46:00,1
2019-01-17 08:52:00,1
2019-01-17 09:13:00,1
2019-01-17 09:33:00,1
2019-01-17 09:59:00,1
2019-01-17 10:06:00,1
2019-01-17 10:10:00,1
2019-01-17 10:14:00,1
2019-01-17 10:16:00,2
2019-01-17 10:38:00,1
2019-01-17 10:50:00,1
2019-01-17 10:58:00,1
2019-01-17 11:32:00,1
2019-01-17 14:00:00,1
2019-01-17 14:13:00,1
2019-01-17 14:50:00,1
2019-01-17 15:00:00,1
2019-01-17 15:09:00,1
2019-01-17 16:06:00,1
2019-01-17 16:08:00,1
2019-01-17 16:10:00,1
2019-01-17 16:19:00,1
2019-01-17 16:25:00,1
2019-01-17 16:44:00,1
2019-01-17 22:49:00,1
2019-01-17 22:51:00,1
2019-01-17 22:53:00,2
2019-01-17 22:55:00,1
