801,"select p.ra, p.dec, p.i, p.Err_i from STAR as p inner join dbo.fGetNearbyObjEq (#, #, #) as N on p.objid = N.objid where ( (p.flags & #) ! = #) AND ( (p.flags & #) = #) AND ( ((p.flags & #) = #) AND (p.psfmagerr_i < = #) ) AND ( ((p.flags & #) = #) or (p.flags & #) = #)"
2019-03-08 16:37:00,1
2019-03-11 00:27:00,1
2019-03-12 05:12:00,1
2019-03-12 05:59:00,1
2019-03-12 16:48:00,1
2019-03-12 16:52:00,1
2019-03-14 05:46:00,1
2019-03-14 05:55:00,1
2019-03-14 08:35:00,1
2019-03-14 08:52:00,1
2019-03-14 09:09:00,1
2019-03-14 10:15:00,1
2019-03-14 10:32:00,1
2019-03-14 10:48:00,1
2019-03-14 11:21:00,1
2019-03-14 11:54:00,1
2019-03-14 13:51:00,1
2019-03-14 15:27:00,1
2019-03-14 15:41:00,1
2019-03-14 15:42:00,1
2019-03-14 15:43:00,1
2019-03-14 16:53:00,1
2019-03-14 19:04:00,3
2019-03-15 02:59:00,1
2019-03-15 03:19:00,1
2019-03-15 16:09:00,1
2019-03-15 17:14:00,1
2019-03-18 08:55:00,1
2019-03-18 10:04:00,2
2019-03-18 10:37:00,1
2019-03-18 11:00:00,1
2019-03-18 11:08:00,1
2019-03-18 14:14:00,1
2019-03-18 14:27:00,1
2019-03-18 14:52:00,1
2019-03-19 14:08:00,1
2019-03-19 14:52:00,1
2019-03-19 15:26:00,1
2019-03-19 15:57:00,1
2019-03-20 08:25:00,1
2019-03-20 08:49:00,1
2019-03-20 09:41:00,1
2019-03-20 10:54:00,1
2019-03-20 12:20:00,1
2019-03-20 12:58:00,1
2019-03-20 13:10:00,1
2019-03-20 13:43:00,1
2019-03-20 14:06:00,1
2019-03-20 14:47:00,1
2019-03-20 15:54:00,1
2019-03-20 16:19:00,1
2019-03-20 23:55:00,1
2019-03-21 14:14:00,2
2019-03-21 14:15:00,5
2019-03-22 03:35:00,1
2019-03-22 03:48:00,1
2019-03-22 10:44:00,1
2019-03-22 20:00:00,1
2019-03-22 23:49:00,1
2019-03-24 05:21:00,1
2019-03-24 05:43:00,1
2019-03-24 17:31:00,1
2019-03-24 23:50:00,1
2019-03-25 04:45:00,1
2019-03-25 04:59:00,1
2019-03-25 08:29:00,1
2019-03-25 08:58:00,1
2019-03-25 09:23:00,1
2019-03-25 10:01:00,1
2019-03-25 10:25:00,1
2019-03-25 10:59:00,1
2019-03-25 11:23:00,1
2019-03-25 12:16:00,1
2019-03-25 16:09:00,1
2019-03-25 16:10:00,1
2019-03-25 16:24:00,1
2019-03-25 16:37:00,1
2019-03-25 16:47:00,1
2019-03-26 05:43:00,1
2019-03-26 06:58:00,1
2019-03-26 14:02:00,1
2019-03-26 14:34:00,1
2019-03-26 15:27:00,1
2019-03-26 15:38:00,1
2019-03-26 16:02:00,1
2019-03-26 16:28:00,1
2019-03-27 04:36:00,1
2019-03-27 08:05:00,1
2019-03-27 09:00:00,1
2019-03-27 09:21:00,1
2019-03-27 13:48:00,1
2019-03-27 14:14:00,1
2019-03-27 14:41:00,1
2019-03-27 16:06:00,1
2019-03-28 04:40:00,1
2019-03-28 07:41:00,1
2019-03-28 14:33:00,1
2019-03-28 15:30:00,1
2019-03-28 17:10:00,1
2019-03-29 07:35:00,1
2019-03-29 08:04:00,1
2019-03-29 08:27:00,1
2019-03-29 08:58:00,1
2019-03-29 10:02:00,1
2019-03-29 10:27:00,1
2019-03-29 10:55:00,1
2019-03-29 11:19:00,1
2019-03-29 11:52:00,1
2019-03-29 12:42:00,1
2019-03-29 13:17:00,1
2019-03-29 13:30:00,1
2019-03-29 13:51:00,1
2019-03-29 14:16:00,1
2019-03-29 14:34:00,1
2019-03-31 05:39:00,1
2019-03-31 15:26:00,1
2019-03-31 15:29:00,1
2019-04-01 11:54:00,1
2019-04-02 04:03:00,1
2019-04-02 04:36:00,1
2019-04-02 10:18:00,1
2019-04-02 14:26:00,1
2019-04-03 21:25:00,1
2019-04-04 04:19:00,1
2019-04-04 04:47:00,1
2019-04-05 04:16:00,1
2019-04-07 03:18:00,1
2019-04-07 03:37:00,1
2019-04-07 07:51:00,1
2019-04-08 02:03:00,1
2019-04-08 04:15:00,1
2019-04-08 04:54:00,1
2019-04-08 06:06:00,1
2019-04-08 14:40:00,1
2019-04-08 14:53:00,1
2019-04-09 08:29:00,1
2019-04-09 10:06:00,1
2019-04-09 10:30:00,1
2019-04-09 11:11:00,1
2019-04-09 11:24:00,1
2019-04-09 11:44:00,1
2019-04-09 12:07:00,1
2019-04-09 12:24:00,1
2019-04-09 13:49:00,2
2019-04-09 14:52:00,1
2019-04-11 17:56:00,1
2019-04-13 18:16:00,1
2019-04-14 18:05:00,1
2019-04-14 18:25:00,1
2019-04-24 17:17:00,1
2019-04-30 20:21:00,2
2019-04-30 20:23:00,2
2019-04-30 20:24:00,1
2019-05-01 01:10:00,1
2019-05-01 19:50:00,1
2019-05-01 20:03:00,1
2019-05-01 21:45:00,1
2019-05-05 17:36:00,1
2019-05-05 17:37:00,1
2019-05-05 17:42:00,1
2019-05-05 17:43:00,1
2019-05-05 17:48:00,1
2019-05-07 13:40:00,1
2019-05-09 13:34:00,1
2019-05-09 13:46:00,1
2019-05-12 14:49:00,2
2019-05-14 02:31:00,1
2019-05-14 03:27:00,1
2019-05-14 15:59:00,1
2019-05-14 16:03:00,1
2019-05-15 15:26:00,1
2019-05-16 02:46:00,1
2019-05-16 03:06:00,1
2019-05-20 02:40:00,1
2019-05-20 16:17:00,1
2019-05-21 03:15:00,1
2019-05-21 10:46:00,1
2019-05-21 14:15:00,1
2019-05-21 14:20:00,1
2019-05-22 02:46:00,1
2019-05-22 11:17:00,1
2019-05-22 15:45:00,1
2019-05-23 02:56:00,1
2019-05-23 03:18:00,1
2019-05-23 16:12:00,1
2019-05-24 02:42:00,1
2019-05-24 03:14:00,1
2019-05-24 03:41:00,1
2019-05-24 20:16:00,2
2019-05-27 12:07:00,4
2019-05-27 12:08:00,2
2019-05-28 10:47:00,4
2019-05-28 16:18:00,1
2019-05-28 16:26:00,1
2019-05-28 16:34:00,1
2019-05-28 18:02:00,1
2019-05-28 18:14:00,1
2019-05-28 18:26:00,1
2019-05-28 18:34:00,1
2019-05-28 18:47:00,1
2019-05-28 18:59:00,1
2019-05-28 20:01:00,1
2019-05-28 20:14:00,1
2019-05-29 09:32:00,1
2019-05-29 09:39:00,1
2019-05-29 09:46:00,1
2019-05-29 11:13:00,1
2019-05-29 11:26:00,1
2019-05-29 11:39:00,1
2019-05-29 12:06:00,1
2019-05-29 12:20:00,1
2019-05-29 12:33:00,1
2019-05-29 12:51:00,1
2019-05-29 13:04:00,1
2019-05-29 13:16:00,1
2019-05-29 13:48:00,1
2019-05-29 14:02:00,1
2019-05-29 14:14:00,1
2019-05-29 15:59:00,1
2019-05-29 16:19:00,1
2019-05-29 16:46:00,1
2019-05-30 12:40:00,1
2019-05-30 13:04:00,1
2019-06-02 10:31:00,1
2019-06-04 01:21:00,1
2019-06-04 02:07:00,1
2019-06-06 00:47:00,1
2019-06-06 15:48:00,1
2019-06-06 16:21:00,1
2019-06-06 16:22:00,1
2019-06-07 02:14:00,1
2019-06-07 02:34:00,1
2019-06-07 03:19:00,1
2019-06-07 14:45:00,1
2019-06-07 14:47:00,1
2019-06-07 15:18:00,1
2019-06-09 19:51:00,1
2019-06-09 19:55:00,1
2019-06-10 09:09:00,1
2019-06-15 00:09:00,1
2019-06-15 19:53:00,1
2019-06-16 02:30:00,1
2019-06-16 10:24:00,1
2019-06-17 08:23:00,1
2019-06-17 08:35:00,1
2019-06-17 08:54:00,1
2019-06-17 09:06:00,1
2019-06-17 09:26:00,1
2019-06-17 10:11:00,1
2019-06-17 11:47:00,1
2019-06-17 12:07:00,1
2019-06-17 12:58:00,1
2019-06-17 13:23:00,1
2019-06-17 14:03:00,1
2019-06-17 16:05:00,1
2019-06-18 12:05:00,1
2019-06-18 12:50:00,1
2019-06-18 13:20:00,1
2019-06-18 14:01:00,1
2019-06-18 14:36:00,1
2019-06-18 15:12:00,1
2019-06-18 16:20:00,1
2019-06-18 16:27:00,1
2019-06-20 17:42:00,1
2019-06-20 17:57:00,1
2019-06-24 13:51:00,1
2019-06-24 15:05:00,1
2019-06-26 01:41:00,1
2019-06-26 15:42:00,1
2019-06-26 15:58:00,1
2019-06-26 16:17:00,1
2019-07-01 01:53:00,1
2019-07-05 00:05:00,1
2019-07-12 20:17:00,1
2019-07-12 20:18:00,1
2019-07-12 21:25:00,1
2019-07-12 21:36:00,1
2019-07-13 10:29:00,1
2019-07-19 08:28:00,1
2019-07-25 02:23:00,1
2019-07-25 03:34:00,1
2019-07-25 05:34:00,1
2019-07-25 07:16:00,3
2019-07-25 07:17:00,2
2019-07-25 07:37:00,1
2019-07-25 07:38:00,4
2019-07-25 07:58:00,2
2019-07-25 07:59:00,3
2019-07-26 01:46:00,1
2019-07-26 04:20:00,2
2019-07-26 05:47:00,1
2019-07-26 16:15:00,1
2019-07-26 16:16:00,4
2019-07-26 16:38:00,4
2019-07-26 16:39:00,1
2019-07-26 16:59:00,5
2019-07-27 01:41:00,2
2019-07-27 03:41:00,1
2019-07-27 05:47:00,1
2019-07-28 19:51:00,3
2019-07-28 19:52:00,2
2019-07-28 20:12:00,2
2019-07-28 20:13:00,3
2019-07-28 20:32:00,1
2019-07-28 20:33:00,4
2019-08-01 00:17:00,1
2019-08-01 10:46:00,1
2019-08-04 01:59:00,1
2019-08-04 03:12:00,1
2019-08-04 12:42:00,1
2019-08-05 10:26:00,1
2019-08-07 12:48:00,6
2019-08-07 12:49:00,4
2019-08-08 08:35:00,1
2019-08-09 12:33:00,1
2019-08-10 06:22:00,1
2019-08-10 18:46:00,1
2019-08-11 09:18:00,1
2019-08-12 15:36:00,1
2019-08-14 12:05:00,1
2019-08-15 04:49:00,1
2019-08-15 04:59:00,2
2019-08-15 06:02:00,1
2019-08-15 06:51:00,1
2019-08-15 07:28:00,1
2019-08-15 07:37:00,1
2019-08-15 08:26:00,1
2019-08-15 08:41:00,1
2019-08-15 19:09:00,1
2019-08-15 19:46:00,1
2019-08-16 05:18:00,1
2019-08-16 07:17:00,1
2019-08-18 08:30:00,1
2019-08-18 12:20:00,1
2019-08-19 18:20:00,1
2019-08-22 12:41:00,1
2019-08-24 12:43:00,1
2019-08-24 12:59:00,1
2019-08-24 13:25:00,1
2019-08-24 13:32:00,1
2019-08-25 00:27:00,1
2019-08-25 03:47:00,1
2019-08-29 18:18:00,1
2019-08-30 06:16:00,1
2019-08-30 06:42:00,1
2019-08-30 07:50:00,1
2019-08-30 07:55:00,1
2019-08-30 08:10:00,1
2019-08-30 09:18:00,1
2019-08-30 12:44:00,1
2019-08-30 12:55:00,1
2019-08-30 13:00:00,1
2019-08-30 13:45:00,1
2019-08-30 13:57:00,1
2019-08-30 14:18:00,1
2019-08-30 14:27:00,1
2019-08-30 17:12:00,1
2019-08-30 17:29:00,1
2019-08-30 17:44:00,1
2019-08-30 18:01:00,1
2019-08-31 06:29:00,1
2019-08-31 09:22:00,1
2019-08-31 09:37:00,1
2019-09-01 07:57:00,1
2019-09-01 12:27:00,1
2019-09-02 08:28:00,1
2019-09-02 14:28:00,2
2019-09-02 14:29:00,6
2019-09-02 14:30:00,1
2019-09-03 01:38:00,1
2019-09-03 02:06:00,1
2019-09-03 02:18:00,1
2019-09-03 09:23:00,1
2019-09-04 09:04:00,1
2019-09-04 09:49:00,3
2019-09-04 09:50:00,1
2019-09-08 07:25:00,1
2019-09-08 08:08:00,1
2019-09-09 09:00:00,1
2019-09-10 08:11:00,1
2019-09-10 09:58:00,1
2019-09-10 21:18:00,1
2019-09-12 11:48:00,1
2019-09-12 11:57:00,1
2019-09-12 12:14:00,1
2019-09-12 12:27:00,1
2019-09-12 12:36:00,1
2019-09-12 12:46:00,1
2019-09-12 12:58:00,1
2019-09-12 13:32:00,1
2019-09-12 15:31:00,1
2019-09-17 22:55:00,1
2019-09-17 22:56:00,1
2019-09-18 08:03:00,1
2019-09-18 08:32:00,1
2019-09-18 09:52:00,1
2019-09-18 10:39:00,1
2019-09-18 10:40:00,1
2019-09-18 15:24:00,1
2019-09-19 08:06:00,1
2019-09-19 09:45:00,1
2019-09-19 12:13:00,1
2019-09-20 08:29:00,1
2019-09-20 13:46:00,1
2019-09-20 14:24:00,1
2019-09-21 02:44:00,1
2019-09-21 06:56:00,1
2019-09-21 07:23:00,1
2019-09-21 19:45:00,1
2019-09-21 19:49:00,1
2019-09-21 20:24:00,1
2019-09-21 20:29:00,1
2019-09-21 20:34:00,1
2019-09-21 20:39:00,1
2019-09-21 20:43:00,1
2019-09-22 02:25:00,1
2019-09-22 04:05:00,1
2019-09-22 15:29:00,1
2019-09-22 20:09:00,1
2019-09-22 20:28:00,1
2019-09-23 13:13:00,1
2019-09-23 14:55:00,1
2019-09-24 03:54:00,1
2019-09-24 04:01:00,1
2019-09-24 04:10:00,1
2019-09-24 04:17:00,1
2019-09-25 07:24:00,1
2019-09-25 07:53:00,1
2019-09-26 03:12:00,1
2019-09-26 03:20:00,1
2019-09-26 03:54:00,1
2019-09-26 04:01:00,1
2019-09-26 04:11:00,1
2019-09-26 04:22:00,1
2019-09-26 04:39:00,1
2019-09-26 05:11:00,1
2019-09-26 08:41:00,1
2019-09-27 09:07:00,1
2019-09-28 21:08:00,1
2019-10-02 08:35:00,1
2019-10-07 15:10:00,1
2019-10-07 15:11:00,1
2019-10-07 15:12:00,1
2019-10-07 15:45:00,1
2019-10-07 15:52:00,1
2019-10-08 04:43:00,1
2019-10-08 13:56:00,1
2019-10-08 13:57:00,1
2019-10-10 07:59:00,1
2019-10-11 12:04:00,1
2019-10-11 12:05:00,1
2019-10-11 14:36:00,1
2019-10-14 11:28:00,1
2019-10-15 16:12:00,1
2019-10-15 16:14:00,1
2019-10-15 16:15:00,2
2019-11-05 09:56:00,1
2019-11-05 11:40:00,1
2019-11-05 11:55:00,1
2019-11-05 12:00:00,1
2019-11-05 12:50:00,1
2019-11-05 13:03:00,1
2019-11-06 08:21:00,1
2019-11-06 08:33:00,1
2019-11-06 08:37:00,1
2019-11-06 11:17:00,1
2019-11-07 16:57:00,2
2019-11-07 16:59:00,1
2019-11-07 17:00:00,1
2019-11-07 17:01:00,1
2019-11-07 17:04:00,1
2019-11-08 08:05:00,1
2019-11-08 10:19:00,1
2019-11-08 10:48:00,1
2019-11-08 11:30:00,1
2019-11-08 11:31:00,1
2019-11-08 11:40:00,1
2019-11-09 19:03:00,1
2019-11-09 21:54:00,1
2019-11-09 21:55:00,3
2019-11-09 22:00:00,1
2019-11-10 15:38:00,2
2019-11-10 15:39:00,1
2019-11-10 15:40:00,1
2019-11-10 15:43:00,1
2019-11-11 09:33:00,1
2019-11-11 10:08:00,1
2019-11-15 08:51:00,1
2019-11-15 09:06:00,1
2019-11-26 10:58:00,1
2019-11-26 11:02:00,1
2019-12-02 10:41:00,1
2019-12-05 07:47:00,1
2019-12-05 13:43:00,1
2019-12-10 12:59:00,1
2019-12-10 13:28:00,1
2019-12-10 14:01:00,1
2019-12-10 14:16:00,1
2019-12-11 12:42:00,1
2019-12-11 14:14:00,1
2019-12-12 06:00:00,2
2019-12-12 06:01:00,3
2019-12-12 06:04:00,1
2019-12-12 07:39:00,1
2019-12-14 13:02:00,1
2019-12-14 13:08:00,1
2019-12-14 13:44:00,1
2019-12-14 14:36:00,1
2019-12-16 12:40:00,1
2019-12-19 01:25:00,1
2019-12-19 08:22:00,1
