1133,select top # * from [MyTable_#]
2019-03-29 16:19:00,1
2019-03-29 16:20:00,1
2019-03-29 16:44:00,1
2019-03-29 16:46:00,1
2019-04-01 11:33:00,1
2019-04-01 12:26:00,1
2019-04-02 15:20:00,1
2019-04-02 16:07:00,1
2019-04-03 04:34:00,1
2019-04-03 09:30:00,1
2019-04-03 12:07:00,2
2019-04-04 08:45:00,1
2019-04-04 17:44:00,1
2019-04-05 18:36:00,1
2019-04-05 19:01:00,1
2019-04-08 05:16:00,2
2019-04-08 07:44:00,1
2019-04-08 08:06:00,1
2019-04-08 11:22:00,1
2019-04-08 11:30:00,1
2019-04-11 19:43:00,1
2019-04-15 17:23:00,1
2019-04-16 03:36:00,1
2019-04-16 08:10:00,1
2019-04-16 08:14:00,1
2019-04-16 08:19:00,2
2019-04-16 08:20:00,1
2019-04-16 08:22:00,1
2019-04-16 12:26:00,2
2019-04-16 12:27:00,1
2019-04-16 12:28:00,2
2019-04-16 12:29:00,1
2019-04-16 12:31:00,1
2019-04-16 17:22:00,1
2019-04-17 01:19:00,1
2019-04-17 01:34:00,1
2019-04-17 05:01:00,1
2019-04-17 05:15:00,1
2019-04-17 12:56:00,1
2019-04-19 07:03:00,2
2019-04-22 02:18:00,1
2019-04-22 07:25:00,1
2019-04-23 06:54:00,1
2019-04-23 06:56:00,1
2019-04-23 08:56:00,2
2019-04-23 09:03:00,1
2019-04-23 09:30:00,1
2019-04-24 12:11:00,1
2019-04-24 13:05:00,2
2019-04-24 15:23:00,1
2019-04-24 15:26:00,1
2019-04-24 15:28:00,1
2019-04-24 15:29:00,1
2019-04-24 15:36:00,1
2019-04-24 15:39:00,1
2019-04-24 15:56:00,1
2019-04-24 16:02:00,1
2019-04-25 08:12:00,1
2019-04-25 08:13:00,1
2019-04-25 16:11:00,1
2019-04-26 00:03:00,1
2019-04-26 00:07:00,1
2019-04-26 07:30:00,1
2019-04-26 07:39:00,1
2019-04-26 07:41:00,1
2019-04-26 07:46:00,1
2019-04-26 07:47:00,1
2019-04-26 13:35:00,1
2019-04-26 14:54:00,1
2019-04-27 16:56:00,1
2019-04-28 08:35:00,2
2019-04-28 14:18:00,1
2019-04-28 14:32:00,1
2019-04-28 16:10:00,1
2019-04-28 16:11:00,1
2019-04-28 16:22:00,1
2019-04-28 16:30:00,1
2019-04-28 16:45:00,1
2019-04-28 16:52:00,1
2019-04-28 16:56:00,1
2019-04-28 17:05:00,1
2019-04-28 17:11:00,1
2019-04-28 17:23:00,1
2019-04-28 17:56:00,1
2019-05-01 10:37:00,1
2019-05-01 13:35:00,1
2019-05-01 13:41:00,1
2019-05-01 13:42:00,1
2019-05-02 00:08:00,1
2019-05-02 13:38:00,1
2019-05-02 13:40:00,1
2019-05-03 03:29:00,1
2019-05-04 17:59:00,1
2019-05-05 12:28:00,1
2019-05-05 12:29:00,1
2019-05-06 06:09:00,1
2019-05-06 08:41:00,1
2019-05-06 10:38:00,1
2019-05-06 10:49:00,1
2019-05-06 10:51:00,1
2019-05-06 16:35:00,1
2019-05-06 16:48:00,1
2019-05-07 11:50:00,1
2019-05-07 11:55:00,1
2019-05-07 12:10:00,1
2019-05-07 14:18:00,1
2019-05-07 14:23:00,1
2019-05-07 17:11:00,1
2019-05-07 18:01:00,1
2019-05-07 18:25:00,1
2019-05-07 18:42:00,1
2019-05-07 18:53:00,1
2019-05-08 09:52:00,1
2019-05-08 09:54:00,1
2019-05-08 12:02:00,1
2019-05-08 12:16:00,1
2019-05-08 15:21:00,1
2019-05-08 15:51:00,1
2019-05-08 15:54:00,1
2019-05-08 19:12:00,1
2019-05-08 19:31:00,1
2019-05-08 19:41:00,1
2019-05-08 19:43:00,1
2019-05-09 11:08:00,1
2019-05-09 11:17:00,1
2019-05-09 13:19:00,1
2019-05-10 10:29:00,1
2019-05-10 11:53:00,2
2019-05-11 11:24:00,1
2019-05-13 13:07:00,1
2019-05-14 09:44:00,1
2019-05-14 11:29:00,1
2019-05-15 09:15:00,1
2019-05-17 08:34:00,1
2019-05-17 09:14:00,1
2019-05-20 11:57:00,1
2019-05-20 16:34:00,1
2019-05-21 12:29:00,1
2019-05-21 12:31:00,1
2019-05-21 12:38:00,1
2019-05-21 12:51:00,1
2019-05-21 14:05:00,1
2019-05-21 14:07:00,1
2019-05-21 14:08:00,5
2019-05-21 14:09:00,6
2019-05-21 14:26:00,2
2019-05-21 14:29:00,1
2019-05-21 14:34:00,1
2019-05-21 14:45:00,4
2019-05-21 14:47:00,1
2019-05-21 14:48:00,2
2019-05-21 14:59:00,1
2019-05-21 15:04:00,1
2019-05-21 15:12:00,1
2019-05-21 15:22:00,1
2019-05-21 15:27:00,1
2019-05-21 15:28:00,2
2019-05-22 04:53:00,1
2019-05-22 04:54:00,1
2019-05-22 09:57:00,1
2019-05-22 10:02:00,1
2019-05-22 10:03:00,1
2019-05-22 10:04:00,1
2019-05-22 10:16:00,1
2019-05-22 10:22:00,1
2019-05-22 10:23:00,1
2019-05-22 11:05:00,1
2019-05-22 11:41:00,1
2019-05-22 11:42:00,1
2019-05-22 11:43:00,1
2019-05-22 11:45:00,1
2019-05-22 11:47:00,1
2019-05-22 11:51:00,1
2019-05-22 11:56:00,1
2019-05-22 13:25:00,1
2019-05-23 00:35:00,1
2019-05-23 09:29:00,1
2019-05-23 09:31:00,1
2019-05-23 09:34:00,1
2019-05-23 09:35:00,1
2019-05-23 09:36:00,1
2019-05-23 10:05:00,1
2019-05-23 10:22:00,1
2019-05-23 16:23:00,1
2019-05-23 17:11:00,1
2019-05-24 04:26:00,2
2019-05-24 04:27:00,2
2019-05-24 04:30:00,1
2019-05-24 04:47:00,1
2019-05-24 05:25:00,1
2019-05-27 03:59:00,1
2019-05-27 04:20:00,1
2019-05-27 04:56:00,1
2019-05-27 19:02:00,1
2019-05-29 02:36:00,1
2019-05-29 03:12:00,1
2019-05-30 09:24:00,1
2019-05-31 07:43:00,2
2019-05-31 08:48:00,1
2019-05-31 08:50:00,1
2019-05-31 08:52:00,1
2019-05-31 08:53:00,1
2019-05-31 09:03:00,1
2019-05-31 09:16:00,1
2019-05-31 09:20:00,1
2019-06-01 09:04:00,1
2019-06-01 15:09:00,1
2019-06-01 15:41:00,1
2019-06-01 16:07:00,1
2019-06-01 17:08:00,1
2019-06-01 19:20:00,1
2019-06-02 10:50:00,1
2019-06-02 16:17:00,1
2019-06-02 16:35:00,1
2019-06-03 11:52:00,1
2019-06-03 14:31:00,1
2019-06-03 14:47:00,1
2019-06-05 11:03:00,1
2019-06-05 11:26:00,1
2019-06-05 11:52:00,1
2019-06-06 03:46:00,1
2019-06-06 03:53:00,1
2019-06-06 03:55:00,1
2019-06-06 04:02:00,1
2019-06-06 04:28:00,1
2019-06-06 04:39:00,1
2019-06-06 05:16:00,1
2019-06-06 08:15:00,1
2019-06-06 09:13:00,1
2019-06-06 09:15:00,1
2019-06-06 11:35:00,1
2019-06-06 11:43:00,1
2019-06-06 11:46:00,1
2019-06-06 11:48:00,1
2019-06-06 11:50:00,1
2019-06-06 12:51:00,1
2019-06-07 03:41:00,1
2019-06-07 04:21:00,1
2019-06-07 04:45:00,1
2019-06-07 06:07:00,1
2019-06-07 06:18:00,1
2019-06-07 06:19:00,1
2019-06-07 07:19:00,1
2019-06-07 07:20:00,1
2019-06-07 07:31:00,1
2019-06-07 10:58:00,1
2019-06-07 11:00:00,1
2019-06-07 11:01:00,1
2019-06-07 11:21:00,1
2019-06-07 11:24:00,1
2019-06-07 19:54:00,1
2019-06-09 02:09:00,1
2019-06-10 05:59:00,1
2019-06-11 08:26:00,1
2019-06-13 03:49:00,1
2019-06-13 13:01:00,1
2019-06-13 13:27:00,1
2019-06-14 03:06:00,1
2019-06-14 03:07:00,1
2019-06-14 03:09:00,1
2019-06-14 03:12:00,1
2019-06-14 13:16:00,1
2019-06-17 10:50:00,1
2019-06-17 10:52:00,1
2019-06-17 11:11:00,1
2019-06-18 06:50:00,1
2019-06-18 06:53:00,1
2019-06-18 06:56:00,1
2019-06-18 06:58:00,1
2019-06-18 07:00:00,1
2019-06-18 07:07:00,1
2019-06-18 11:56:00,1
2019-06-18 15:36:00,1
2019-06-19 05:41:00,2
2019-06-20 17:57:00,1
2019-06-20 18:37:00,1
2019-06-23 16:14:00,1
2019-06-23 16:28:00,1
2019-06-25 07:22:00,1
2019-06-25 12:41:00,1
2019-06-25 12:43:00,1
2019-06-25 12:44:00,1
2019-06-25 13:37:00,1
2019-06-25 15:22:00,1
2019-06-25 15:26:00,1
2019-06-25 15:33:00,1
2019-06-25 16:20:00,1
2019-06-25 17:40:00,1
2019-06-25 17:45:00,1
2019-06-26 06:50:00,1
2019-06-26 06:52:00,1
2019-06-26 06:54:00,1
2019-06-26 12:37:00,1
2019-06-26 16:42:00,1
2019-06-26 18:04:00,1
2019-06-26 18:26:00,1
2019-06-26 18:29:00,1
2019-06-27 14:37:00,1
2019-06-27 16:06:00,1
2019-06-28 14:44:00,1
2019-06-28 15:03:00,1
2019-06-28 17:35:00,1
2019-06-29 09:54:00,3
2019-06-29 09:57:00,1
2019-06-30 04:21:00,1
2019-06-30 04:24:00,1
2019-07-02 13:37:00,1
2019-07-02 14:16:00,1
2019-07-02 14:19:00,1
2019-07-02 14:43:00,1
2019-07-02 16:20:00,1
2019-07-02 16:21:00,1
2019-07-02 17:48:00,2
2019-07-02 17:53:00,1
2019-07-02 18:19:00,1
2019-07-02 18:24:00,1
2019-07-03 13:55:00,1
2019-07-03 14:32:00,1
2019-07-03 15:17:00,1
2019-07-03 15:23:00,1
2019-07-03 15:48:00,1
2019-07-03 15:55:00,1
2019-07-03 15:57:00,1
2019-07-03 17:14:00,1
2019-07-03 17:16:00,1
2019-07-03 17:19:00,1
2019-07-03 17:26:00,1
2019-07-03 17:31:00,1
2019-07-03 17:32:00,1
2019-07-03 17:33:00,1
2019-07-03 17:41:00,1
2019-07-03 17:51:00,1
2019-07-03 18:04:00,1
2019-07-04 06:14:00,1
2019-07-04 10:38:00,1
2019-07-04 10:41:00,1
2019-07-04 10:43:00,1
2019-07-04 11:30:00,1
2019-07-04 11:31:00,1
2019-07-04 12:06:00,1
2019-07-06 04:10:00,1
2019-07-07 06:46:00,1
2019-07-07 07:02:00,1
2019-07-08 11:38:00,1
2019-07-08 13:46:00,1
2019-07-09 16:21:00,1
2019-07-09 16:57:00,1
2019-07-10 08:17:00,1
2019-07-12 09:45:00,1
2019-07-12 12:40:00,1
2019-07-15 00:40:00,1
2019-07-15 08:12:00,1
2019-07-15 08:29:00,1
2019-07-15 08:31:00,1
2019-07-15 11:39:00,1
2019-07-15 12:04:00,1
2019-07-15 16:55:00,1
2019-07-15 17:13:00,1
2019-07-16 10:12:00,1
2019-07-16 10:13:00,1
2019-07-16 10:14:00,1
2019-07-16 10:18:00,1
2019-07-16 10:19:00,2
2019-07-17 11:05:00,1
2019-07-17 13:50:00,1
2019-07-17 16:13:00,1
2019-07-18 08:04:00,1
2019-07-18 11:22:00,1
2019-07-18 12:32:00,1
2019-07-18 12:33:00,1
2019-07-18 13:12:00,1
2019-07-18 15:43:00,1
2019-07-19 00:29:00,1
2019-07-19 04:35:00,1
2019-07-19 04:36:00,1
2019-07-19 09:53:00,1
2019-07-19 10:05:00,1
2019-07-19 11:50:00,1
2019-07-19 11:52:00,1
2019-07-19 12:42:00,1
2019-07-19 12:56:00,1
2019-07-19 12:59:00,2
2019-07-19 13:03:00,2
2019-07-19 14:20:00,1
2019-07-23 12:45:00,1
2019-07-23 12:52:00,1
2019-07-23 13:12:00,1
2019-07-23 13:24:00,1
2019-07-23 15:07:00,1
2019-07-23 15:16:00,1
2019-07-23 15:28:00,1
2019-07-23 15:47:00,2
2019-07-24 09:14:00,1
2019-07-24 09:35:00,1
2019-07-24 09:37:00,1
2019-07-24 09:39:00,1
2019-07-24 10:04:00,1
2019-07-24 11:15:00,2
2019-07-25 10:41:00,1
2019-07-26 14:51:00,1
2019-07-30 16:15:00,1
2019-08-05 08:45:00,1
2019-08-05 19:41:00,1
2019-08-06 09:12:00,1
2019-08-06 09:32:00,1
2019-08-06 09:34:00,1
2019-08-06 11:35:00,1
2019-08-07 05:28:00,1
2019-08-07 06:06:00,1
2019-08-07 06:20:00,1
2019-08-07 07:11:00,1
2019-08-07 07:15:00,2
2019-08-07 09:24:00,1
2019-08-07 10:03:00,1
2019-08-08 14:38:00,1
2019-08-08 14:45:00,1
2019-08-08 14:48:00,1
2019-08-08 14:49:00,1
2019-08-08 14:50:00,1
2019-08-08 14:51:00,1
2019-08-08 15:16:00,1
2019-08-09 06:19:00,1
2019-08-12 09:57:00,1
2019-08-12 11:02:00,2
2019-08-12 16:27:00,1
2019-08-12 17:46:00,1
2019-08-12 17:58:00,1
2019-08-13 11:25:00,1
2019-08-13 15:53:00,1
2019-08-13 16:07:00,3
2019-08-14 14:32:00,1
2019-08-15 06:55:00,1
2019-08-15 07:08:00,1
2019-08-16 12:37:00,1
2019-08-16 16:57:00,1
2019-08-19 01:31:00,1
2019-08-22 01:50:00,1
2019-08-22 03:19:00,1
2019-08-22 03:21:00,1
2019-08-22 03:44:00,1
2019-08-22 03:46:00,1
2019-08-22 03:48:00,1
2019-08-23 00:55:00,2
2019-08-23 01:26:00,1
2019-08-23 01:38:00,1
2019-08-23 02:32:00,1
2019-08-23 02:40:00,1
2019-08-23 02:47:00,1
2019-08-23 04:07:00,1
2019-08-23 04:22:00,1
2019-08-24 01:18:00,1
2019-08-24 01:22:00,1
2019-08-24 01:40:00,1
2019-08-24 01:41:00,1
2019-08-24 01:43:00,1
2019-08-25 18:05:00,1
2019-08-26 01:48:00,1
2019-08-26 09:41:00,1
2019-08-26 10:41:00,2
2019-08-26 15:20:00,1
2019-08-28 00:43:00,1
2019-08-28 00:50:00,1
2019-08-28 00:51:00,1
2019-08-28 00:52:00,1
2019-08-28 06:47:00,1
2019-08-30 09:06:00,1
2019-08-30 09:07:00,1
2019-08-30 12:02:00,1
2019-09-02 10:32:00,1
2019-09-02 11:06:00,1
2019-09-03 06:47:00,1
2019-09-03 08:36:00,1
2019-09-03 08:41:00,1
2019-09-03 08:45:00,1
2019-09-03 10:06:00,1
2019-09-04 06:17:00,1
2019-09-04 06:25:00,1
2019-09-04 06:26:00,2
2019-09-04 15:45:00,2
2019-09-04 15:49:00,1
2019-09-04 15:50:00,1
2019-09-04 15:52:00,2
2019-09-04 15:57:00,3
2019-09-04 15:58:00,1
2019-09-04 16:06:00,2
2019-09-04 16:09:00,2
2019-09-04 16:11:00,2
2019-09-04 16:12:00,1
2019-09-04 16:16:00,6
2019-09-04 16:17:00,3
2019-09-04 16:18:00,2
2019-09-04 16:19:00,1
2019-09-04 16:22:00,1
2019-09-04 16:25:00,1
2019-09-04 16:26:00,1
2019-09-04 16:27:00,1
2019-09-04 16:29:00,1
2019-09-04 16:30:00,1
2019-09-04 16:31:00,2
2019-09-04 16:32:00,2
2019-09-04 16:33:00,1
2019-09-04 16:45:00,3
2019-09-04 16:46:00,1
2019-09-04 16:51:00,1
2019-09-04 16:53:00,1
2019-09-04 16:55:00,1
2019-09-04 16:56:00,1
2019-09-04 16:59:00,1
2019-09-04 17:05:00,2
2019-09-04 17:06:00,1
2019-09-04 17:08:00,1
2019-09-04 17:11:00,1
2019-09-04 17:13:00,3
2019-09-04 17:14:00,3
2019-09-04 17:15:00,1
2019-09-04 17:20:00,1
2019-09-04 17:21:00,1
2019-09-04 17:22:00,1
2019-09-04 17:27:00,1
2019-09-04 17:33:00,2
2019-09-04 17:44:00,1
2019-09-04 17:50:00,1
2019-09-05 00:29:00,4
2019-09-05 00:30:00,3
2019-09-05 00:31:00,1
2019-09-05 00:40:00,2
2019-09-05 16:17:00,1
2019-09-06 05:09:00,1
2019-09-06 05:13:00,1
2019-09-07 04:08:00,1
2019-09-09 12:36:00,1
2019-09-10 04:34:00,1
2019-09-10 04:36:00,1
2019-09-10 04:57:00,1
2019-09-10 05:39:00,1
2019-09-10 09:03:00,1
2019-09-11 08:45:00,1
2019-09-11 08:52:00,1
2019-09-11 08:53:00,1
2019-09-11 08:54:00,1
2019-09-11 15:54:00,1
2019-09-12 11:48:00,1
2019-09-12 11:53:00,4
2019-09-12 11:58:00,1
2019-09-13 09:49:00,8
2019-09-13 17:12:00,1
2019-09-15 02:28:00,1
2019-09-15 03:10:00,1
2019-09-16 02:24:00,1
2019-09-16 16:10:00,1
2019-09-18 10:00:00,1
2019-09-18 10:04:00,1
2019-09-18 15:18:00,1
2019-09-18 15:19:00,1
2019-09-20 06:47:00,1
2019-09-20 19:30:00,1
2019-09-20 19:41:00,1
2019-09-24 07:46:00,1
2019-09-24 07:56:00,1
2019-09-24 08:29:00,1
2019-09-24 18:37:00,2
2019-09-25 05:54:00,1
2019-09-25 13:44:00,1
2019-09-26 05:51:00,1
2019-09-26 12:10:00,1
2019-09-27 15:39:00,1
2019-09-27 16:11:00,1
2019-09-30 17:18:00,1
2019-09-30 17:39:00,1
2019-10-01 05:56:00,1
2019-10-01 06:13:00,1
2019-10-01 09:07:00,1
2019-10-01 10:55:00,1
2019-10-01 10:56:00,1
2019-10-02 00:50:00,1
2019-10-02 00:52:00,1
2019-10-02 01:01:00,1
2019-10-02 01:08:00,1
2019-10-02 05:12:00,1
2019-10-02 08:13:00,1
2019-10-02 08:15:00,1
2019-10-02 08:19:00,1
2019-10-03 04:57:00,1
2019-10-03 05:42:00,1
2019-10-03 05:43:00,1
2019-10-03 18:15:00,1
2019-10-03 18:30:00,1
2019-10-04 11:55:00,1
2019-10-04 11:59:00,1
2019-10-04 12:03:00,1
2019-10-04 17:03:00,1
2019-10-04 17:13:00,1
2019-10-04 17:55:00,1
2019-10-05 14:00:00,1
2019-10-07 08:15:00,1
2019-10-07 08:21:00,1
2019-10-07 08:23:00,2
2019-10-07 08:24:00,1
2019-10-07 08:34:00,1
2019-10-07 08:54:00,1
2019-10-07 15:56:00,1
2019-10-07 16:51:00,1
2019-10-08 17:23:00,1
2019-10-11 16:17:00,1
2019-10-12 02:51:00,1
2019-10-13 03:53:00,1
2019-10-16 11:48:00,1
2019-10-16 11:53:00,1
2019-10-16 11:54:00,3
2019-10-16 11:55:00,1
2019-10-16 12:00:00,1
2019-10-18 03:26:00,1
2019-10-18 09:28:00,2
2019-10-18 11:13:00,1
2019-10-18 15:44:00,1
2019-10-20 19:57:00,1
2019-10-22 13:30:00,1
2019-10-23 18:58:00,1
2019-10-23 19:02:00,1
2019-10-23 19:43:00,1
2019-10-24 15:52:00,1
2019-10-28 04:05:00,1
2019-10-28 04:07:00,1
2019-10-28 04:08:00,1
2019-10-28 04:16:00,1
2019-10-28 04:19:00,1
2019-10-28 04:21:00,1
2019-10-28 04:29:00,1
2019-10-28 15:03:00,1
2019-10-31 01:52:00,1
2019-10-31 09:10:00,1
2019-10-31 10:26:00,1
2019-10-31 19:39:00,1
2019-10-31 19:40:00,1
2019-11-05 11:47:00,1
2019-11-06 06:16:00,1
2019-11-07 12:06:00,1
2019-11-07 18:55:00,1
2019-11-10 06:26:00,1
2019-11-10 11:10:00,1
2019-11-10 11:41:00,1
2019-11-11 12:35:00,1
2019-11-11 12:48:00,1
2019-11-11 13:07:00,1
2019-11-11 13:09:00,1
2019-11-11 13:10:00,1
2019-11-11 13:13:00,1
2019-11-12 04:58:00,1
2019-11-12 05:35:00,1
2019-11-12 05:41:00,1
2019-11-12 05:47:00,1
2019-11-12 13:03:00,1
2019-11-12 13:04:00,1
2019-11-12 13:07:00,1
2019-11-12 13:25:00,1
2019-11-13 10:21:00,2
2019-11-13 13:28:00,1
2019-11-14 12:23:00,2
2019-11-14 12:26:00,1
2019-11-14 12:28:00,1
2019-11-14 12:35:00,1
2019-11-15 03:27:00,1
2019-11-16 11:16:00,1
2019-11-18 06:18:00,1
2019-11-18 13:06:00,1
2019-11-19 09:17:00,1
2019-11-19 09:55:00,1
2019-11-20 18:13:00,1
2019-11-27 11:53:00,1
2019-11-27 11:59:00,1
2019-11-27 12:00:00,1
2019-11-27 12:02:00,1
2019-11-27 12:04:00,1
2019-11-27 12:08:00,1
2019-11-27 12:16:00,1
2019-11-27 14:18:00,1
2019-11-27 16:13:00,1
2019-11-27 17:07:00,1
2019-11-27 17:11:00,1
2019-12-01 12:32:00,1
2019-12-01 12:41:00,1
2019-12-01 12:44:00,1
2019-12-01 13:15:00,1
2019-12-01 13:54:00,1
2019-12-02 11:45:00,1
2019-12-02 12:13:00,1
2019-12-02 12:54:00,1
2019-12-02 13:12:00,1
2019-12-02 15:22:00,1
