344,"select * from DataConstants order by field, value"
2019-05-28 12:22:00,1
2019-05-29 08:38:00,1
2019-05-31 14:12:00,1
2019-05-31 20:23:00,1
2019-06-01 16:44:00,1
2019-06-02 03:44:00,1
2019-06-03 13:30:00,1
2019-06-03 13:31:00,1
2019-06-03 15:00:00,1
2019-06-03 15:12:00,1
2019-06-05 00:12:00,1
2019-06-06 15:35:00,1
2019-06-06 16:16:00,1
2019-06-07 16:08:00,1
2019-06-10 14:42:00,1
2019-06-10 16:33:00,1
2019-06-12 05:01:00,1
2019-06-15 03:17:00,1
2019-06-15 17:59:00,1
2019-06-16 02:54:00,1
2019-06-16 09:25:00,1
2019-06-17 19:13:00,1
2019-06-19 08:34:00,1
2019-06-19 13:46:00,1
2019-06-19 22:38:00,1
2019-06-19 23:31:00,2
2019-06-19 23:38:00,1
2019-06-19 23:39:00,1
2019-06-22 03:45:00,1
2019-06-22 03:49:00,1
2019-06-22 11:32:00,1
2019-06-23 12:49:00,2
2019-06-23 18:52:00,1
2019-06-23 19:10:00,1
2019-06-24 02:48:00,1
2019-06-24 23:40:00,1
2019-06-25 02:25:00,1
2019-06-25 03:48:00,1
2019-06-25 04:15:00,1
2019-06-25 04:16:00,1
2019-06-26 13:38:00,1
2019-06-26 16:57:00,1
2019-06-27 06:51:00,1
2019-06-27 14:44:00,1
2019-07-01 09:13:00,1
2019-07-01 12:37:00,1
2019-07-01 22:48:00,1
2019-07-03 14:58:00,1
2019-07-04 10:28:00,1
2019-07-05 14:12:00,1
2019-07-08 15:31:00,1
2019-07-09 00:42:00,1
2019-07-10 10:08:00,1
2019-07-10 12:40:00,1
2019-07-11 20:42:00,1
2019-07-16 16:59:00,1
2019-07-17 04:22:00,1
2019-07-17 12:40:00,1
2019-07-20 18:09:00,1
2019-07-26 11:43:00,1
2019-07-26 15:24:00,1
2019-07-26 15:25:00,1
2019-07-26 18:21:00,2
2019-07-26 18:22:00,1
2019-07-26 21:40:00,1
2019-07-29 03:21:00,2
2019-07-29 19:10:00,1
2019-07-30 01:35:00,1
2019-08-01 12:22:00,1
2019-08-01 15:44:00,1
2019-08-02 08:41:00,1
2019-08-03 19:54:00,1
2019-08-05 13:06:00,1
2019-08-05 14:21:00,1
2019-08-06 14:10:00,1
2019-08-06 14:11:00,1
2019-08-07 06:27:00,1
2019-08-07 06:28:00,1
2019-08-07 18:47:00,1
2019-08-08 13:11:00,1
2019-08-08 14:51:00,1
2019-08-09 03:10:00,1
2019-08-09 12:34:00,2
2019-08-09 12:35:00,1
2019-08-14 01:33:00,1
2019-08-14 03:42:00,1
2019-08-16 15:43:00,1
2019-08-21 05:28:00,1
2019-08-21 15:20:00,2
2019-08-22 19:23:00,1
2019-08-23 02:20:00,1
2019-08-23 15:47:00,1
2019-08-23 22:14:00,1
2019-08-28 19:41:00,1
2019-08-29 17:04:00,1
2019-08-29 22:24:00,1
2019-08-30 09:14:00,1
2019-08-30 16:22:00,1
2019-08-30 19:37:00,1
2019-08-31 13:41:00,1
2019-08-31 16:41:00,1
2019-09-01 13:41:00,1
2019-09-01 23:39:00,1
2019-09-02 00:27:00,1
2019-09-02 15:42:00,1
2019-09-02 22:22:00,1
2019-09-04 02:50:00,1
2019-09-05 18:49:00,1
2019-09-06 14:36:00,1
2019-09-10 13:43:00,1
2019-09-10 15:44:00,1
2019-09-13 00:21:00,1
2019-09-14 07:35:00,1
2019-09-14 14:06:00,2
2019-09-16 00:53:00,1
2019-09-16 20:57:00,1
2019-09-17 01:34:00,1
2019-09-17 01:48:00,1
2019-09-18 23:18:00,1
2019-09-18 23:22:00,1
2019-09-19 03:09:00,1
2019-09-19 20:21:00,1
2019-09-20 16:52:00,2
2019-09-21 22:46:00,1
2019-09-23 07:23:00,1
2019-09-23 12:13:00,1
2019-09-23 12:16:00,1
2019-09-23 12:47:00,3
2019-09-23 16:10:00,1
2019-09-23 18:16:00,1
2019-09-25 23:56:00,1
2019-09-26 03:16:00,1
2019-09-26 13:07:00,3
2019-09-30 21:00:00,1
2019-10-02 05:06:00,1
2019-10-02 16:15:00,1
2019-10-07 18:19:00,1
2019-10-09 12:50:00,1
2019-10-09 13:46:00,1
2019-10-10 10:11:00,1
2019-10-12 12:36:00,1
2019-10-16 12:24:00,1
2019-10-16 12:25:00,2
2019-10-18 08:07:00,1
2019-10-18 10:06:00,1
2019-10-18 23:14:00,1
2019-10-19 07:37:00,1
2019-10-23 19:03:00,1
2019-10-29 11:26:00,1
2019-10-29 12:11:00,1
2019-10-29 20:47:00,1
2019-11-01 21:39:00,1
2019-11-02 22:09:00,1
2019-11-03 01:03:00,1
2019-11-08 20:09:00,1
2019-11-08 20:24:00,1
2019-11-13 15:02:00,1
2019-11-14 14:51:00,1
2019-11-14 21:17:00,3
2019-11-15 03:38:00,1
2019-11-18 04:18:00,1
2019-11-18 14:27:00,1
2019-11-18 23:55:00,1
2019-11-19 00:15:00,1
2019-11-19 09:17:00,1
2019-11-21 15:28:00,1
2019-11-25 13:53:00,1
2019-11-25 17:53:00,1
2019-11-26 23:57:00,1
2019-11-27 04:19:00,1
2019-11-27 16:25:00,1
2019-11-27 16:26:00,1
2019-11-27 17:43:00,3
2019-11-28 16:41:00,1
2019-11-29 02:39:00,1
2019-12-02 02:48:00,1
2019-12-02 05:41:00,1
2019-12-05 13:11:00,1
2019-12-05 13:58:00,1
2019-12-05 23:04:00,1
2019-12-06 08:48:00,1
2019-12-06 16:35:00,1
2019-12-09 00:14:00,1
2019-12-09 15:22:00,1
2019-12-09 17:11:00,1
2019-12-11 03:47:00,1
2019-12-15 04:00:00,1
2019-12-18 07:34:00,1
2019-12-18 07:40:00,1
2019-12-18 07:54:00,1
2019-12-18 08:05:00,1
2019-12-18 08:06:00,4
2019-12-18 08:08:00,1
2019-12-18 08:09:00,1
2019-12-18 16:02:00,1
2019-12-19 08:06:00,1
2019-12-22 04:53:00,1
2019-12-22 15:45:00,1
2019-12-23 14:57:00,1
2019-12-26 06:03:00,1
2019-12-27 09:59:00,1
2019-12-27 19:15:00,1
2019-12-29 01:49:00,1
