826,"SELECT DISTINCT survey, programname FROM platex ORDER BY survey"
2019-02-11 11:13:00,1
2019-02-11 12:59:00,1
2019-02-11 22:20:00,1
2019-02-12 17:24:00,1
2019-02-12 19:47:00,1
2019-02-12 19:54:00,1
2019-02-13 14:32:00,1
2019-02-14 01:27:00,1
2019-02-14 09:49:00,1
2019-02-14 11:00:00,1
2019-02-14 12:10:00,1
2019-02-14 14:28:00,1
2019-02-17 09:17:00,1
2019-02-18 03:05:00,1
2019-02-18 12:48:00,1
2019-02-19 00:11:00,1
2019-02-19 01:24:00,1
2019-02-21 01:47:00,1
2019-02-21 10:54:00,1
2019-02-21 18:04:00,1
2019-02-22 06:39:00,1
2019-02-24 10:54:00,1
2019-02-24 11:16:00,1
2019-02-24 11:51:00,1
2019-02-24 14:02:00,1
2019-02-26 00:22:00,1
2019-02-26 02:54:00,1
2019-02-26 09:33:00,1
2019-02-27 13:44:00,1
2019-02-27 19:49:00,1
2019-02-27 22:26:00,1
2019-02-27 22:50:00,1
2019-02-28 03:31:00,1
2019-02-28 06:56:00,1
2019-02-28 08:54:00,1
2019-02-28 17:51:00,1
2019-03-01 10:21:00,1
2019-03-01 12:56:00,1
2019-03-01 22:31:00,1
2019-03-02 01:53:00,1
2019-03-02 02:07:00,1
2019-03-02 08:09:00,1
2019-03-02 22:37:00,1
2019-03-03 04:24:00,1
2019-03-03 13:45:00,1
2019-03-05 07:30:00,1
2019-03-05 08:53:00,1
2019-03-06 04:40:00,1
2019-03-06 13:58:00,1
2019-03-06 16:26:00,1
2019-03-06 23:26:00,1
2019-03-07 10:01:00,1
2019-03-07 10:28:00,1
2019-03-07 14:06:00,1
2019-03-08 05:10:00,1
2019-03-08 21:56:00,1
2019-03-09 00:48:00,1
2019-03-09 12:08:00,1
2019-03-09 19:40:00,1
2019-03-10 02:46:00,1
2019-03-10 18:11:00,1
2019-03-10 19:26:00,1
2019-03-10 20:14:00,1
2019-03-10 22:19:00,1
2019-03-11 03:13:00,1
2019-03-11 11:14:00,1
2019-03-11 15:16:00,1
2019-03-12 06:05:00,1
2019-03-13 03:31:00,1
2019-03-13 04:58:00,1
2019-03-13 07:46:00,1
2019-03-14 00:34:00,1
2019-03-14 01:23:00,1
2019-03-14 14:25:00,1
2019-03-15 01:34:00,1
2019-03-15 19:19:00,1
2019-03-15 19:21:00,1
2019-03-16 16:10:00,1
2019-03-17 00:52:00,1
2019-03-17 20:13:00,1
2019-03-18 23:54:00,1
2019-03-19 10:15:00,1
2019-03-19 16:25:00,2
2019-03-20 15:18:00,1
2019-03-20 16:05:00,1
2019-03-21 00:19:00,1
2019-03-23 11:08:00,1
2019-03-25 02:22:00,1
2019-03-25 09:59:00,1
2019-03-25 10:27:00,1
2019-03-25 12:29:00,1
2019-03-26 04:36:00,1
2019-03-26 11:08:00,1
2019-03-26 11:26:00,1
2019-03-26 19:53:00,1
2019-03-26 20:28:00,1
2019-03-26 20:56:00,1
2019-03-27 17:12:00,1
2019-03-27 19:41:00,1
2019-03-28 04:02:00,1
2019-03-28 16:14:00,1
2019-03-28 18:42:00,1
2019-03-28 19:56:00,1
2019-03-28 23:23:00,1
2019-03-30 09:57:00,1
2019-03-31 07:42:00,1
2019-03-31 17:50:00,1
2019-03-31 21:21:00,1
2019-04-01 06:22:00,1
2019-04-01 18:24:00,1
2019-04-01 20:12:00,1
2019-04-01 22:17:00,1
2019-04-02 12:17:00,1
2019-04-02 12:35:00,1
2019-04-04 09:20:00,1
2019-04-04 13:42:00,1
2019-04-05 07:14:00,1
2019-04-05 18:32:00,1
2019-04-06 08:00:00,1
2019-04-07 10:07:00,2
2019-04-07 15:00:00,1
2019-04-07 17:03:00,1
2019-04-08 14:04:00,1
2019-04-08 15:34:00,1
2019-04-08 18:47:00,1
2019-04-08 20:13:00,1
2019-04-09 03:10:00,1
2019-04-09 12:25:00,1
2019-04-09 21:14:00,1
2019-04-09 21:20:00,1
2019-04-09 21:21:00,1
2019-04-10 00:36:00,1
2019-04-12 01:20:00,1
2019-04-12 12:20:00,1
2019-04-12 14:08:00,1
2019-04-12 18:42:00,1
2019-04-13 15:59:00,1
2019-04-14 05:41:00,1
2019-04-14 13:00:00,1
2019-04-15 19:08:00,1
2019-04-16 00:24:00,1
2019-04-18 05:00:00,1
2019-04-18 05:43:00,1
2019-04-18 10:07:00,1
2019-04-18 10:08:00,1
2019-04-18 16:16:00,1
2019-04-18 21:55:00,1
2019-04-18 23:36:00,1
2019-04-19 01:38:00,1
2019-04-19 09:59:00,1
2019-04-19 19:06:00,1
2019-04-21 03:13:00,1
2019-04-21 12:26:00,1
2019-04-22 11:53:00,1
2019-04-22 14:54:00,1
2019-04-22 23:34:00,1
2019-04-23 13:15:00,1
2019-04-24 17:09:00,1
2019-04-26 01:57:00,1
2019-04-26 04:43:00,1
2019-04-26 06:22:00,1
2019-04-26 22:21:00,1
2019-04-27 00:42:00,1
2019-04-27 08:57:00,1
2019-04-28 03:50:00,1
2019-04-28 10:15:00,1
2019-04-28 11:19:00,1
2019-04-28 13:36:00,1
2019-04-29 00:37:00,1
2019-04-29 05:22:00,1
2019-04-29 06:36:00,1
2019-04-29 11:02:00,1
2019-04-30 10:18:00,1
2019-04-30 11:08:00,1
2019-04-30 11:46:00,1
2019-05-01 02:11:00,1
2019-05-01 06:57:00,1
2019-05-01 14:55:00,1
2019-05-02 11:07:00,1
2019-05-02 14:42:00,1
2019-05-02 22:33:00,1
2019-05-03 04:40:00,1
2019-05-03 14:10:00,1
2019-05-03 14:46:00,1
2019-05-03 17:26:00,1
2019-05-04 00:20:00,1
2019-05-05 01:15:00,1
2019-05-05 17:08:00,1
2019-05-05 23:11:00,1
2019-05-06 08:50:00,1
2019-05-06 10:03:00,1
2019-05-06 16:11:00,1
2019-05-06 17:09:00,1
2019-05-08 02:20:00,1
2019-05-10 09:26:00,1
2019-05-10 15:56:00,1
2019-05-10 16:23:00,1
2019-05-11 06:13:00,1
2019-05-11 07:43:00,1
2019-05-13 09:00:00,1
2019-05-13 09:13:00,1
2019-05-13 09:53:00,1
2019-05-13 14:10:00,1
2019-05-14 00:43:00,1
2019-05-14 03:07:00,1
2019-05-14 06:03:00,1
2019-05-14 08:29:00,1
2019-05-14 10:11:00,1
2019-05-14 22:11:00,1
2019-05-15 23:12:00,1
2019-05-15 23:56:00,1
2019-05-16 00:41:00,1
2019-05-16 03:17:00,1
2019-05-16 05:29:00,1
2019-05-17 04:57:00,1
2019-05-17 05:08:00,1
2019-05-18 20:33:00,1
2019-05-18 21:22:00,1
2019-05-18 22:00:00,1
2019-05-19 11:19:00,1
2019-05-20 19:32:00,1
2019-05-21 05:20:00,1
2019-05-21 06:52:00,1
2019-05-21 10:56:00,1
2019-05-21 12:21:00,1
2019-05-22 03:29:00,1
2019-05-22 17:25:00,1
2019-05-23 00:18:00,1
2019-05-23 03:47:00,1
2019-05-23 04:26:00,1
2019-05-23 08:57:00,1
2019-05-23 09:59:00,1
2019-05-23 13:32:00,1
2019-05-23 18:21:00,1
2019-05-24 02:12:00,1
2019-05-24 08:55:00,1
2019-05-24 11:34:00,1
2019-05-24 13:30:00,1
2019-05-24 20:01:00,1
2019-05-24 21:23:00,1
2019-05-24 22:14:00,1
2019-05-24 23:00:00,1
2019-05-25 00:01:00,1
2019-05-25 07:25:00,1
2019-05-26 11:47:00,1
2019-05-27 12:37:00,1
2019-05-29 02:34:00,1
2019-05-29 02:59:00,1
2019-05-29 04:46:00,1
2019-05-29 13:05:00,1
2019-05-29 21:27:00,1
2019-05-30 04:14:00,1
2019-05-30 16:46:00,1
2019-05-30 23:06:00,1
2019-05-30 23:23:00,1
2019-05-31 03:26:00,1
2019-05-31 17:57:00,1
2019-05-31 22:55:00,1
2019-06-01 01:54:00,1
2019-06-03 02:07:00,1
2019-06-04 14:06:00,1
2019-06-05 05:01:00,1
2019-06-05 18:38:00,1
2019-06-06 01:09:00,1
2019-06-07 15:23:00,1
2019-06-08 21:19:00,1
2019-06-10 21:03:00,1
2019-06-10 21:20:00,1
2019-06-11 00:58:00,1
2019-06-11 01:57:00,1
2019-06-11 02:28:00,1
2019-06-11 12:08:00,1
2019-06-11 17:16:00,1
2019-06-14 00:13:00,1
2019-06-14 08:17:00,1
2019-06-14 23:19:00,1
2019-06-15 08:07:00,1
2019-06-15 09:23:00,1
2019-06-16 16:07:00,1
2019-06-16 17:51:00,1
2019-06-16 23:06:00,1
2019-06-17 06:09:00,1
2019-06-17 09:51:00,1
2019-06-18 08:35:00,1
2019-06-18 11:43:00,1
2019-06-18 13:10:00,1
2019-06-18 14:44:00,1
2019-06-19 01:35:00,1
2019-06-19 13:47:00,1
2019-06-20 00:09:00,1
2019-06-20 03:51:00,1
2019-06-21 00:49:00,1
2019-06-21 06:57:00,1
2019-06-22 10:43:00,1
2019-06-22 15:33:00,1
2019-06-22 21:33:00,1
2019-06-23 02:48:00,1
2019-06-23 14:10:00,1
2019-06-23 18:00:00,1
2019-06-23 22:47:00,1
2019-06-24 12:52:00,1
2019-06-24 17:26:00,1
2019-06-25 12:29:00,1
2019-06-25 16:02:00,1
2019-06-27 01:59:00,1
2019-06-27 03:03:00,1
2019-06-27 10:02:00,1
2019-06-27 20:04:00,1
2019-06-27 21:19:00,1
2019-06-28 13:13:00,1
2019-06-28 15:12:00,1
2019-06-29 05:34:00,1
2019-06-29 16:37:00,1
2019-07-01 10:15:00,1
2019-07-01 21:25:00,1
2019-07-02 01:29:00,1
2019-07-02 15:15:00,1
2019-07-02 15:24:00,1
2019-07-02 19:00:00,1
2019-07-02 19:42:00,1
2019-07-03 10:14:00,1
2019-07-03 14:21:00,1
2019-07-03 23:11:00,1
2019-07-05 12:59:00,1
2019-07-05 22:08:00,1
2019-07-06 00:16:00,1
2019-07-06 00:54:00,1
2019-07-06 08:02:00,1
2019-07-07 01:50:00,1
2019-07-07 21:54:00,1
2019-07-08 05:44:00,1
2019-07-08 17:56:00,1
2019-07-10 02:10:00,1
2019-07-10 06:59:00,1
2019-07-10 16:45:00,1
2019-07-10 20:56:00,1
2019-07-11 23:10:00,1
2019-07-12 03:32:00,1
2019-07-12 11:04:00,1
2019-07-12 18:38:00,1
2019-07-12 19:11:00,1
2019-07-13 05:03:00,1
2019-07-14 02:14:00,1
2019-07-14 02:23:00,1
2019-07-14 08:16:00,1
2019-07-14 09:52:00,1
2019-07-14 19:45:00,1
2019-07-17 10:55:00,1
2019-07-18 01:57:00,1
2019-07-18 11:58:00,1
2019-07-19 00:00:00,1
2019-07-20 00:19:00,1
2019-07-20 00:32:00,1
2019-07-20 02:01:00,1
2019-07-20 04:43:00,1
2019-07-20 05:18:00,1
2019-07-20 05:27:00,1
2019-07-21 06:52:00,1
2019-07-22 01:51:00,1
2019-07-22 05:28:00,1
2019-07-22 06:10:00,1
2019-07-22 07:04:00,2
2019-07-22 17:24:00,1
2019-07-23 15:38:00,1
2019-07-24 02:07:00,1
2019-07-24 08:10:00,1
2019-07-25 03:12:00,1
2019-07-25 05:10:00,1
2019-07-25 23:04:00,1
2019-07-27 00:06:00,1
2019-07-27 07:32:00,1
2019-07-28 04:29:00,1
2019-07-28 08:45:00,1
2019-07-28 12:19:00,1
2019-07-28 22:03:00,1
2019-07-29 02:05:00,1
2019-07-29 16:33:00,1
2019-07-29 18:40:00,1
2019-07-30 03:36:00,1
2019-07-30 08:32:00,1
2019-07-30 13:55:00,1
2019-07-30 14:47:00,1
2019-07-30 22:41:00,1
2019-07-30 23:19:00,1
2019-08-02 10:43:00,1
2019-08-04 21:46:00,1
2019-08-04 23:26:00,1
2019-08-05 04:32:00,1
2019-08-05 15:21:00,1
2019-08-06 02:36:00,1
2019-08-06 19:59:00,1
2019-08-07 20:10:00,1
2019-08-08 20:48:00,1
2019-08-09 06:57:00,1
2019-08-09 14:58:00,1
2019-08-09 17:56:00,1
2019-08-11 01:13:00,1
2019-08-12 05:18:00,1
2019-08-12 17:03:00,1
2019-08-12 17:08:00,1
2019-08-13 17:02:00,1
2019-08-14 19:49:00,1
2019-08-14 22:46:00,1
2019-08-15 03:50:00,1
2019-08-16 00:56:00,1
2019-08-16 07:05:00,1
2019-08-16 11:54:00,1
2019-08-16 14:56:00,1
2019-08-16 23:34:00,1
2019-08-17 03:51:00,1
2019-08-17 09:13:00,1
2019-08-17 14:33:00,1
2019-08-17 14:44:00,1
2019-08-20 23:03:00,1
2019-08-21 01:23:00,1
2019-08-21 04:42:00,1
2019-08-21 14:59:00,1
2019-08-22 07:37:00,1
2019-08-22 16:07:00,1
2019-08-23 00:43:00,1
2019-08-23 01:41:00,1
2019-08-23 07:58:00,1
2019-08-23 14:29:00,1
2019-08-24 02:54:00,1
2019-08-26 19:47:00,1
2019-08-27 22:58:00,1
2019-08-28 00:21:00,1
2019-08-28 03:46:00,1
2019-08-30 05:30:00,1
2019-08-30 11:10:00,1
2019-08-31 08:40:00,1
2019-08-31 18:40:00,1
2019-08-31 20:53:00,1
2019-09-01 08:36:00,1
2019-09-01 17:14:00,1
2019-09-02 11:35:00,1
2019-09-02 18:20:00,1
2019-09-03 19:22:00,1
2019-09-04 01:27:00,1
2019-09-05 22:32:00,1
2019-09-06 03:26:00,1
2019-09-06 21:56:00,1
2019-09-07 10:33:00,1
2019-09-07 17:41:00,1
2019-09-08 06:27:00,1
2019-09-08 08:39:00,1
2019-09-08 11:44:00,1
2019-09-08 17:12:00,1
2019-09-10 08:27:00,1
2019-09-10 16:12:00,1
2019-09-11 14:18:00,1
2019-09-11 22:31:00,1
2019-09-12 07:44:00,1
2019-09-12 09:12:00,1
2019-09-13 00:30:00,1
2019-09-13 05:06:00,1
2019-09-14 17:54:00,1
2019-09-15 06:21:00,1
2019-09-15 06:58:00,1
2019-09-15 08:02:00,1
2019-09-15 21:15:00,1
2019-09-16 18:41:00,1
2019-09-17 03:16:00,1
2019-09-17 11:48:00,1
2019-09-17 16:43:00,1
2019-09-18 03:53:00,1
2019-09-18 11:45:00,1
2019-09-18 14:15:00,1
2019-09-18 14:26:00,1
2019-09-18 19:24:00,1
2019-09-18 23:37:00,1
2019-09-19 00:30:00,1
2019-09-19 02:25:00,1
2019-09-19 05:29:00,1
2019-09-19 10:39:00,1
2019-09-19 17:21:00,1
2019-09-20 00:53:00,1
2019-09-20 06:08:00,1
2019-09-20 10:13:00,1
2019-09-21 03:32:00,1
2019-09-21 13:19:00,1
2019-09-22 10:21:00,1
2019-09-23 06:00:00,1
2019-09-23 14:37:00,1
2019-09-23 20:31:00,1
2019-09-24 06:36:00,1
2019-09-25 07:41:00,1
2019-09-26 05:09:00,1
2019-09-26 06:19:00,1
2019-09-27 15:00:00,1
2019-09-27 23:56:00,1
2019-09-28 04:47:00,1
2019-09-29 19:09:00,1
2019-09-29 22:30:00,1
2019-09-29 23:43:00,1
2019-09-30 01:01:00,1
2019-09-30 01:45:00,1
2019-09-30 07:51:00,1
2019-10-01 09:48:00,1
2019-10-02 07:17:00,1
2019-10-02 09:54:00,1
2019-10-03 13:23:00,2
2019-10-03 16:44:00,1
2019-10-03 20:15:00,1
2019-10-03 21:45:00,1
2019-10-04 01:51:00,1
2019-10-04 09:15:00,1
2019-10-04 09:18:00,1
2019-10-04 13:37:00,1
2019-10-05 08:57:00,1
2019-10-06 01:25:00,1
2019-10-07 07:25:00,1
2019-10-08 03:44:00,1
2019-10-08 19:49:00,1
2019-10-09 11:52:00,1
2019-10-09 17:23:00,1
2019-10-10 07:12:00,1
2019-10-10 13:53:00,1
2019-10-10 20:57:00,1
2019-10-11 04:22:00,1
2019-10-11 21:59:00,1
2019-10-13 13:02:00,1
2019-10-14 02:56:00,1
2019-10-14 05:00:00,1
2019-10-14 22:50:00,1
2019-10-15 02:39:00,1
2019-10-16 06:24:00,1
2019-10-17 00:33:00,1
2019-10-17 05:08:00,1
2019-10-17 08:57:00,1
2019-10-17 12:37:00,1
2019-10-17 13:05:00,1
2019-10-17 19:17:00,1
2019-10-19 09:52:00,1
2019-10-19 17:34:00,1
2019-10-20 04:39:00,1
2019-10-21 00:19:00,1
2019-10-21 02:37:00,1
2019-10-21 11:00:00,1
2019-10-21 14:20:00,1
2019-10-21 21:23:00,1
2019-10-22 00:30:00,1
2019-10-22 03:51:00,1
2019-10-22 06:14:00,1
2019-10-22 07:09:00,1
2019-10-22 10:05:00,1
2019-10-22 20:03:00,1
2019-10-22 20:24:00,1
2019-10-22 20:59:00,1
2019-10-22 21:31:00,1
2019-10-23 00:03:00,1
2019-10-23 14:51:00,1
2019-10-23 19:37:00,1
2019-10-23 21:01:00,1
2019-10-24 09:45:00,1
2019-10-24 10:44:00,1
2019-10-24 13:53:00,1
2019-10-24 15:21:00,1
2019-10-24 16:33:00,1
2019-10-24 21:19:00,1
2019-10-24 21:26:00,1
2019-10-24 21:38:00,1
2019-10-25 00:12:00,1
2019-10-25 00:35:00,1
2019-10-25 00:44:00,1
2019-10-25 03:06:00,1
2019-10-25 15:00:00,1
2019-10-26 05:55:00,1
2019-10-26 18:02:00,1
2019-10-26 19:34:00,1
2019-10-27 02:13:00,1
2019-10-27 10:08:00,1
2019-10-29 16:19:00,1
2019-10-30 20:52:00,1
2019-10-30 23:43:00,1
2019-10-31 04:06:00,1
2019-10-31 20:40:00,1
2019-11-01 05:27:00,1
2019-11-01 09:13:00,1
2019-11-02 00:16:00,1
2019-11-02 01:04:00,1
2019-11-02 06:39:00,1
2019-11-02 07:05:00,1
2019-11-02 07:47:00,1
2019-11-02 10:06:00,1
2019-11-02 22:04:00,1
2019-11-04 13:58:00,1
2019-11-04 16:43:00,1
2019-11-05 05:48:00,1
2019-11-05 10:15:00,1
2019-11-06 14:16:00,1
2019-11-06 16:00:00,1
2019-11-07 12:38:00,1
2019-11-08 19:14:00,1
2019-11-08 21:14:00,1
2019-11-09 03:01:00,1
2019-11-09 09:36:00,1
2019-11-09 16:41:00,1
2019-11-10 11:26:00,1
2019-11-11 10:37:00,1
2019-11-13 05:36:00,1
2019-11-13 19:17:00,1
2019-11-14 07:28:00,1
2019-11-14 09:40:00,1
2019-11-14 17:24:00,1
2019-11-14 19:29:00,1
2019-11-14 19:58:00,1
2019-11-14 21:55:00,1
2019-11-15 02:52:00,1
2019-11-15 03:54:00,1
2019-11-15 12:49:00,1
2019-11-15 15:23:00,1
2019-11-15 22:58:00,1
2019-11-16 06:18:00,1
2019-11-16 06:36:00,1
2019-11-16 13:03:00,1
2019-11-16 14:41:00,1
2019-11-17 10:18:00,1
2019-11-17 17:34:00,1
2019-11-18 17:54:00,1
2019-11-18 23:03:00,1
2019-11-19 02:02:00,1
2019-11-19 18:17:00,1
2019-11-19 19:00:00,1
2019-11-19 19:22:00,1
2019-11-20 04:45:00,1
2019-11-20 12:30:00,1
2019-11-21 20:08:00,1
2019-11-21 23:28:00,1
2019-11-22 08:54:00,1
2019-11-22 15:27:00,1
2019-11-22 18:40:00,1
2019-11-23 00:30:00,1
2019-11-23 16:52:00,1
2019-11-24 17:48:00,1
2019-11-27 09:50:00,1
2019-11-27 12:50:00,1
2019-11-27 16:49:00,1
2019-11-28 13:30:00,1
2019-11-29 02:39:00,1
2019-11-29 20:49:00,1
2019-11-30 02:45:00,1
2019-12-01 00:28:00,1
2019-12-01 08:02:00,1
2019-12-01 20:18:00,1
2019-12-03 01:07:00,1
2019-12-03 07:54:00,1
2019-12-03 08:26:00,1
2019-12-03 14:42:00,1
2019-12-03 14:47:00,1
2019-12-04 09:25:00,1
2019-12-04 10:55:00,1
2019-12-04 11:12:00,1
2019-12-05 00:15:00,1
2019-12-05 01:05:00,1
2019-12-05 01:52:00,1
2019-12-05 03:00:00,1
2019-12-05 05:13:00,1
2019-12-05 10:30:00,1
2019-12-05 11:00:00,1
2019-12-05 11:10:00,1
2019-12-05 15:03:00,1
2019-12-05 19:10:00,1
2019-12-05 20:54:00,1
2019-12-06 08:36:00,1
2019-12-06 15:17:00,1
2019-12-06 21:28:00,1
2019-12-07 13:45:00,1
2019-12-07 13:52:00,1
2019-12-07 21:24:00,1
2019-12-07 22:54:00,1
2019-12-08 08:06:00,1
2019-12-08 22:09:00,1
2019-12-09 07:08:00,1
2019-12-09 13:09:00,1
2019-12-09 21:35:00,1
2019-12-10 10:41:00,1
2019-12-11 08:37:00,1
2019-12-11 10:40:00,1
2019-12-12 00:45:00,1
2019-12-12 02:28:00,1
2019-12-12 06:06:00,1
2019-12-12 06:45:00,1
2019-12-12 15:04:00,1
2019-12-13 10:27:00,1
2019-12-13 12:29:00,1
2019-12-13 13:31:00,1
2019-12-13 13:47:00,1
2019-12-14 13:30:00,1
2019-12-14 21:55:00,1
2019-12-15 06:25:00,1
2019-12-16 22:50:00,1
2019-12-17 00:18:00,1
2019-12-18 01:00:00,1
2019-12-18 01:29:00,1
2019-12-18 10:56:00,1
2019-12-18 13:59:00,1
2019-12-19 20:11:00,1
2019-12-19 22:49:00,1
2019-12-20 03:56:00,1
2019-12-20 09:10:00,1
2019-12-20 12:19:00,1
2019-12-20 17:23:00,1
2019-12-21 16:46:00,1
2019-12-22 06:39:00,2
2019-12-22 14:08:00,1
2019-12-22 15:18:00,1
2019-12-23 08:52:00,1
2019-12-24 03:30:00,1
2019-12-25 02:17:00,1
2019-12-25 05:07:00,1
2019-12-25 05:47:00,1
2019-12-26 03:14:00,1
2019-12-26 03:36:00,1
2019-12-26 15:23:00,1
2019-12-26 17:44:00,1
2019-12-27 07:25:00,1
2019-12-27 12:40:00,1
2019-12-27 13:15:00,1
2019-12-28 23:53:00,1
2019-12-29 06:52:00,1
2019-12-29 09:56:00,1
2019-12-30 03:56:00,1
2019-12-30 07:00:00,1
2019-12-30 07:36:00,1
2019-12-30 16:50:00,1
2019-12-30 22:45:00,1
2019-12-30 23:40:00,1
2019-12-31 00:02:00,1
