835,select top # * from [MyTable]
2019-03-04 17:19:00,2
2019-03-05 04:55:00,1
2019-03-05 06:47:00,1
2019-03-05 06:48:00,1
2019-03-05 07:15:00,1
2019-03-05 10:21:00,1
2019-03-05 10:38:00,1
2019-03-05 11:17:00,1
2019-03-05 11:39:00,1
2019-03-05 13:30:00,1
2019-03-05 14:20:00,1
2019-03-05 14:25:00,1
2019-03-06 05:22:00,1
2019-03-06 05:23:00,1
2019-03-07 09:41:00,1
2019-03-07 10:17:00,1
2019-03-08 04:44:00,1
2019-03-12 04:40:00,2
2019-03-12 08:14:00,1
2019-03-13 01:05:00,1
2019-03-13 02:55:00,1
2019-03-13 08:38:00,1
2019-03-13 11:27:00,1
2019-03-13 11:41:00,1
2019-03-13 11:51:00,1
2019-03-13 12:11:00,1
2019-03-13 14:02:00,1
2019-03-13 14:34:00,1
2019-03-13 14:36:00,1
2019-03-14 06:28:00,1
2019-03-14 09:07:00,1
2019-03-14 09:10:00,1
2019-03-14 09:15:00,1
2019-03-14 09:34:00,1
2019-03-16 12:17:00,1
2019-03-16 19:52:00,1
2019-03-19 05:23:00,1
2019-03-19 06:42:00,1
2019-03-20 12:20:00,1
2019-03-20 12:54:00,1
2019-03-20 17:51:00,1
2019-03-21 07:52:00,1
2019-03-21 07:53:00,1
2019-03-21 07:54:00,2
2019-03-22 20:04:00,1
2019-03-24 07:45:00,1
2019-03-25 11:02:00,1
2019-03-26 08:32:00,1
2019-03-26 17:41:00,3
2019-03-26 17:58:00,1
2019-03-27 07:45:00,1
2019-03-27 08:02:00,1
2019-03-27 10:30:00,1
2019-03-27 11:16:00,1
2019-03-27 18:36:00,1
2019-03-29 10:42:00,1
2019-03-29 12:51:00,1
2019-04-01 10:10:00,1
2019-04-01 10:19:00,1
2019-04-01 11:03:00,1
2019-04-02 04:27:00,1
2019-04-02 09:18:00,1
2019-04-02 19:04:00,1
2019-04-02 19:11:00,1
2019-04-03 09:19:00,1
2019-04-03 14:31:00,1
2019-04-05 11:04:00,1
2019-04-05 17:09:00,1
2019-04-05 18:30:00,1
2019-04-06 09:24:00,1
2019-04-08 08:05:00,1
2019-04-08 11:20:00,1
2019-04-10 01:36:00,1
2019-04-10 16:52:00,1
2019-04-10 16:53:00,1
2019-04-10 16:54:00,3
2019-04-10 17:11:00,1
2019-04-10 17:54:00,1
2019-04-12 10:32:00,1
2019-04-12 10:40:00,1
2019-04-13 12:41:00,1
2019-04-13 12:44:00,1
2019-04-15 08:24:00,1
2019-04-16 01:26:00,2
2019-04-16 01:29:00,1
2019-04-16 01:30:00,1
2019-04-16 07:57:00,1
2019-04-16 12:25:00,2
2019-04-16 12:26:00,1
2019-04-17 06:15:00,2
2019-04-17 14:43:00,1
2019-04-18 05:32:00,1
2019-04-18 06:06:00,1
2019-04-18 08:46:00,1
2019-04-19 06:42:00,1
2019-04-19 07:03:00,1
2019-04-21 06:13:00,1
2019-04-23 08:00:00,1
2019-04-24 13:04:00,1
2019-04-24 13:05:00,1
2019-04-24 15:24:00,1
2019-04-24 15:25:00,1
2019-04-25 05:23:00,1
2019-04-26 05:48:00,1
2019-04-26 07:46:00,1
2019-04-26 17:22:00,1
2019-04-26 17:27:00,1
2019-04-29 13:11:00,1
2019-04-29 14:20:00,1
2019-04-30 03:33:00,1
2019-04-30 12:00:00,1
2019-05-01 14:06:00,1
2019-05-01 15:13:00,1
2019-05-01 16:52:00,1
2019-05-01 16:53:00,1
2019-05-01 17:10:00,1
2019-05-02 04:37:00,1
2019-05-02 05:16:00,1
2019-05-02 13:16:00,2
2019-05-02 13:17:00,1
2019-05-02 13:27:00,2
2019-05-02 13:36:00,1
2019-05-02 13:37:00,1
2019-05-03 12:17:00,1
2019-05-03 12:19:00,1
2019-05-03 13:44:00,1
2019-05-03 13:46:00,1
2019-05-03 15:22:00,1
2019-05-03 15:28:00,1
2019-05-03 15:30:00,1
2019-05-03 15:32:00,2
2019-05-06 10:37:00,1
2019-05-06 14:48:00,1
2019-05-06 16:25:00,1
2019-05-07 09:27:00,1
2019-05-07 11:22:00,1
2019-05-07 11:38:00,1
2019-05-07 11:46:00,1
2019-05-07 13:12:00,1
2019-05-07 17:25:00,1
2019-05-08 05:53:00,1
2019-05-08 15:00:00,2
2019-05-08 15:01:00,1
2019-05-08 16:16:00,1
2019-05-08 16:18:00,1
2019-05-08 16:19:00,1
2019-05-08 19:01:00,1
2019-05-09 07:32:00,1
2019-05-09 09:21:00,1
2019-05-09 09:55:00,1
2019-05-09 11:01:00,1
2019-05-09 11:57:00,1
2019-05-09 12:07:00,1
2019-05-09 12:29:00,1
2019-05-09 14:35:00,1
2019-05-09 14:36:00,1
2019-05-09 15:00:00,1
2019-05-09 15:22:00,1
2019-05-10 05:49:00,1
2019-05-10 06:51:00,1
2019-05-10 11:49:00,1
2019-05-10 11:50:00,1
2019-05-11 11:16:00,1
2019-05-13 13:02:00,1
2019-05-13 13:23:00,1
2019-05-13 13:35:00,1
2019-05-13 13:43:00,1
2019-05-13 13:44:00,3
2019-05-13 13:51:00,1
2019-05-13 16:05:00,1
2019-05-13 16:09:00,2
2019-05-13 16:12:00,1
2019-05-14 01:02:00,1
2019-05-14 04:07:00,1
2019-05-14 04:24:00,1
2019-05-14 15:49:00,1
2019-05-14 16:02:00,1
2019-05-14 16:08:00,1
2019-05-15 10:48:00,1
2019-05-16 10:30:00,1
2019-05-16 11:49:00,1
2019-05-21 02:47:00,1
2019-05-21 02:52:00,1
2019-05-21 07:48:00,1
2019-05-21 08:33:00,1
2019-05-21 12:24:00,1
2019-05-21 12:51:00,1
2019-05-21 14:05:00,1
2019-05-21 16:08:00,1
2019-05-22 09:55:00,1
2019-05-22 11:26:00,1
2019-05-22 11:27:00,1
2019-05-22 11:39:00,1
2019-05-22 11:47:00,1
2019-05-23 00:48:00,1
2019-05-23 09:07:00,1
2019-05-23 15:54:00,1
2019-05-27 04:24:00,1
2019-05-28 05:32:00,1
2019-05-28 15:59:00,1
2019-05-28 16:02:00,1
2019-05-29 02:29:00,1
2019-05-29 08:17:00,1
2019-05-29 08:28:00,1
2019-05-29 14:46:00,1
2019-05-29 15:45:00,2
2019-05-29 15:46:00,1
2019-05-30 09:19:00,1
2019-06-01 15:09:00,1
2019-06-01 15:26:00,1
2019-06-01 15:32:00,1
2019-06-03 01:29:00,1
2019-06-03 14:31:00,1
2019-06-04 13:53:00,1
2019-06-04 14:44:00,1
2019-06-05 18:19:00,4
2019-06-06 04:47:00,1
2019-06-06 09:39:00,1
2019-06-06 10:41:00,1
2019-06-06 10:47:00,1
2019-06-07 07:15:00,1
2019-06-07 07:24:00,1
2019-06-07 07:48:00,1
2019-06-07 07:52:00,1
2019-06-11 02:19:00,1
2019-06-11 02:27:00,1
2019-06-11 04:40:00,1
2019-06-11 09:01:00,1
2019-06-11 10:06:00,1
2019-06-12 03:50:00,1
2019-06-14 18:43:00,1
2019-06-15 10:33:00,1
2019-06-17 02:06:00,1
2019-06-17 02:07:00,2
2019-06-17 06:35:00,1
2019-06-17 10:48:00,1
2019-06-17 17:47:00,1
2019-06-17 17:49:00,1
2019-06-17 17:51:00,1
2019-06-18 11:56:00,1
2019-06-19 14:39:00,1
2019-06-19 15:20:00,1
2019-06-23 12:40:00,1
2019-06-23 12:49:00,1
2019-06-24 13:05:00,1
2019-06-25 15:29:00,1
2019-06-25 15:32:00,1
2019-06-25 17:28:00,1
2019-06-26 13:08:00,1
2019-06-26 13:22:00,1
2019-06-27 14:34:00,1
2019-06-27 18:06:00,1
2019-06-27 18:07:00,1
2019-06-28 17:27:00,1
2019-06-28 17:57:00,1
2019-07-01 14:39:00,1
2019-07-01 16:49:00,1
2019-07-02 11:39:00,1
2019-07-02 12:40:00,1
2019-07-02 14:44:00,1
2019-07-02 17:51:00,1
2019-07-02 18:01:00,1
2019-07-03 10:24:00,1
2019-07-03 10:28:00,1
2019-07-03 10:40:00,1
2019-07-03 15:32:00,1
2019-07-07 06:38:00,1
2019-07-07 17:28:00,1
2019-07-07 17:42:00,1
2019-07-08 04:39:00,1
2019-07-08 04:50:00,1
2019-07-08 14:47:00,1
2019-07-09 08:39:00,1
2019-07-09 11:12:00,1
2019-07-09 11:16:00,1
2019-07-09 12:37:00,1
2019-07-09 12:47:00,1
2019-07-09 12:51:00,2
2019-07-10 00:14:00,1
2019-07-10 00:16:00,1
2019-07-10 07:47:00,1
2019-07-10 15:51:00,1
2019-07-11 09:36:00,1
2019-07-11 11:29:00,1
2019-07-14 20:04:00,1
2019-07-15 03:18:00,1
2019-07-15 08:33:00,1
2019-07-15 10:02:00,1
2019-07-15 10:42:00,1
2019-07-15 10:52:00,1
2019-07-15 12:01:00,2
2019-07-15 17:02:00,1
2019-07-17 18:31:00,1
2019-07-18 05:30:00,1
2019-07-18 12:21:00,1
2019-07-18 12:32:00,1
2019-07-18 13:12:00,1
2019-07-18 14:43:00,1
2019-07-18 15:15:00,1
2019-07-19 00:45:00,1
2019-07-19 00:48:00,1
2019-07-19 09:53:00,1
2019-07-19 09:54:00,1
2019-07-19 10:05:00,1
2019-07-19 11:44:00,1
2019-07-19 11:51:00,1
2019-07-19 11:52:00,1
2019-07-19 12:00:00,3
2019-07-19 12:52:00,1
2019-07-19 14:18:00,1
2019-07-19 14:20:00,1
2019-07-20 02:47:00,1
2019-07-22 15:30:00,1
2019-07-22 15:32:00,1
2019-07-23 12:57:00,1
2019-07-23 17:30:00,1
2019-07-25 08:46:00,1
2019-07-25 10:03:00,1
2019-07-25 13:26:00,1
2019-07-26 13:28:00,1
2019-07-26 14:44:00,1
2019-07-30 13:28:00,1
2019-07-30 14:24:00,1
2019-07-30 16:14:00,1
2019-07-30 16:17:00,1
2019-07-30 16:27:00,1
2019-07-30 16:28:00,1
2019-07-31 07:57:00,1
2019-07-31 16:54:00,1
2019-08-01 01:14:00,2
2019-08-02 13:04:00,1
2019-08-05 08:43:00,1
2019-08-06 09:07:00,1
2019-08-07 02:47:00,1
2019-08-07 05:26:00,1
2019-08-07 15:41:00,2
2019-08-08 00:30:00,1
2019-08-08 00:34:00,1
2019-08-08 11:01:00,1
2019-08-08 15:05:00,1
2019-08-08 15:10:00,1
2019-08-08 15:11:00,1
2019-08-08 15:54:00,2
2019-08-09 03:32:00,3
2019-08-09 14:45:00,1
2019-08-13 11:22:00,1
2019-08-13 14:50:00,1
2019-08-14 11:26:00,1
2019-08-14 12:03:00,1
2019-08-14 14:17:00,1
2019-08-14 14:30:00,1
2019-08-15 09:51:00,1
2019-08-15 12:05:00,1
2019-08-15 12:12:00,1
2019-08-15 13:09:00,1
2019-08-15 16:41:00,1
2019-08-17 16:19:00,1
2019-08-17 16:20:00,1
2019-08-19 06:05:00,1
2019-08-19 10:02:00,1
2019-08-19 10:09:00,1
2019-08-19 11:29:00,1
2019-08-19 11:35:00,1
2019-08-22 02:30:00,1
2019-08-23 01:52:00,1
2019-08-23 13:59:00,2
2019-08-23 14:02:00,1
2019-08-24 20:06:00,1
2019-08-26 09:40:00,1
2019-08-26 09:41:00,1
2019-08-26 09:42:00,1
2019-08-26 09:43:00,1
2019-08-26 10:20:00,1
2019-08-26 10:29:00,1
2019-08-26 16:32:00,1
2019-08-29 12:06:00,1
2019-08-30 09:02:00,1
2019-09-01 13:21:00,1
2019-09-02 02:32:00,1
2019-09-02 02:34:00,1
2019-09-02 08:39:00,1
2019-09-04 05:28:00,1
2019-09-04 05:54:00,1
2019-09-04 05:56:00,1
2019-09-04 06:04:00,1
2019-09-04 06:29:00,1
2019-09-04 15:37:00,1
2019-09-04 15:38:00,3
2019-09-04 15:39:00,1
2019-09-04 15:40:00,1
2019-09-04 15:41:00,1
2019-09-04 15:42:00,1
2019-09-04 15:44:00,1
2019-09-04 15:45:00,1
2019-09-04 15:47:00,1
2019-09-04 15:48:00,6
2019-09-04 15:50:00,2
2019-09-04 15:52:00,1
2019-09-04 15:53:00,1
2019-09-04 15:57:00,1
2019-09-04 15:59:00,1
2019-09-04 16:06:00,1
2019-09-04 17:33:00,1
2019-09-05 00:30:00,1
2019-09-05 00:41:00,1
2019-09-05 00:53:00,1
2019-09-05 01:05:00,2
2019-09-05 01:06:00,3
2019-09-05 06:00:00,1
2019-09-05 09:12:00,1
2019-09-06 04:14:00,1
2019-09-06 04:24:00,1
2019-09-06 04:32:00,1
2019-09-06 04:52:00,1
2019-09-06 04:58:00,1
2019-09-06 05:00:00,1
2019-09-06 05:02:00,1
2019-09-06 06:14:00,1
2019-09-06 16:06:00,1
2019-09-07 04:18:00,1
2019-09-07 04:45:00,1
2019-09-07 04:50:00,1
2019-09-07 09:46:00,1
2019-09-07 09:52:00,1
2019-09-07 10:00:00,1
2019-09-08 09:57:00,1
2019-09-08 10:10:00,1
2019-09-09 06:29:00,1
2019-09-09 11:56:00,1
2019-09-09 12:12:00,1
2019-09-09 16:41:00,1
2019-09-09 18:40:00,1
2019-09-09 18:50:00,1
2019-09-09 18:57:00,1
2019-09-09 19:00:00,1
2019-09-10 04:29:00,1
2019-09-10 08:37:00,1
2019-09-10 08:47:00,1
2019-09-10 10:03:00,1
2019-09-10 15:18:00,1
2019-09-11 06:13:00,1
2019-09-11 15:18:00,1
2019-09-12 11:36:00,1
2019-09-12 11:53:00,1
2019-09-12 12:25:00,1
2019-09-13 09:49:00,1
2019-09-13 11:20:00,1
2019-09-13 11:24:00,1
2019-09-13 17:43:00,1
2019-09-14 00:00:00,1
2019-09-14 16:38:00,1
2019-09-15 02:39:00,1
2019-09-15 08:19:00,2
2019-09-15 08:31:00,1
2019-09-15 08:39:00,1
2019-09-15 08:49:00,1
2019-09-15 09:25:00,1
2019-09-15 10:08:00,1
2019-09-15 10:09:00,4
2019-09-15 10:20:00,1
2019-09-15 10:36:00,1
2019-09-16 02:23:00,2
2019-09-16 02:27:00,1
2019-09-17 18:39:00,1
2019-09-18 08:41:00,1
2019-09-20 09:58:00,1
2019-09-20 18:58:00,1
2019-09-20 19:30:00,1
2019-09-24 06:37:00,2
2019-09-24 06:39:00,1
2019-09-24 10:01:00,1
2019-09-24 16:37:00,1
2019-09-24 18:37:00,1
2019-09-24 18:53:00,1
2019-09-24 19:33:00,1
2019-09-25 11:26:00,1
2019-09-25 12:07:00,1
2019-09-26 04:49:00,1
2019-09-26 04:56:00,1
2019-09-26 05:04:00,1
2019-09-26 05:05:00,1
2019-09-26 06:57:00,1
2019-09-26 18:49:00,1
2019-09-26 18:50:00,1
2019-09-30 03:22:00,1
2019-09-30 05:18:00,1
2019-09-30 08:23:00,1
2019-09-30 08:58:00,1
2019-09-30 10:14:00,1
2019-10-01 11:33:00,1
2019-10-02 05:00:00,2
2019-10-02 18:23:00,1
2019-10-03 01:58:00,1
2019-10-03 08:51:00,1
2019-10-03 13:26:00,1
2019-10-03 13:29:00,1
2019-10-03 17:52:00,1
2019-10-03 18:14:00,1
2019-10-03 18:29:00,1
2019-10-04 12:52:00,1
2019-10-06 15:43:00,1
2019-10-07 10:04:00,1
2019-10-07 10:09:00,1
2019-10-07 10:36:00,1
2019-10-07 11:15:00,1
2019-10-07 12:22:00,1
2019-10-07 16:51:00,1
2019-10-08 00:36:00,2
2019-10-10 13:31:00,2
2019-10-11 13:47:00,1
2019-10-11 13:48:00,1
2019-10-11 13:49:00,1
2019-10-11 16:32:00,1
2019-10-12 11:04:00,2
2019-10-12 11:05:00,1
2019-10-14 06:26:00,1
2019-10-14 06:31:00,1
2019-10-14 06:34:00,1
2019-10-14 06:35:00,1
2019-10-14 06:36:00,1
2019-10-14 11:43:00,1
2019-10-15 00:51:00,1
2019-10-15 06:50:00,1
2019-10-17 07:09:00,1
2019-10-17 11:03:00,1
2019-10-18 00:29:00,1
2019-10-21 10:01:00,1
2019-10-21 11:43:00,1
2019-10-21 12:55:00,1
2019-10-22 05:15:00,1
2019-10-22 05:36:00,1
2019-10-22 11:28:00,1
2019-10-22 16:21:00,2
2019-10-26 01:49:00,1
2019-10-28 05:56:00,1
2019-10-28 11:37:00,1
2019-10-29 03:54:00,1
2019-10-29 05:23:00,1
2019-10-30 11:19:00,1
2019-10-30 11:34:00,1
2019-10-31 07:40:00,1
2019-10-31 07:47:00,1
2019-10-31 08:07:00,1
2019-10-31 08:12:00,1
2019-10-31 08:42:00,3
2019-10-31 08:44:00,1
2019-10-31 14:17:00,2
2019-11-01 03:01:00,1
2019-11-01 12:21:00,1
2019-11-01 18:27:00,1
2019-11-01 18:36:00,1
2019-11-04 00:05:00,1
2019-11-04 00:07:00,1
2019-11-04 11:06:00,1
2019-11-05 12:04:00,1
2019-11-06 01:20:00,1
2019-11-06 01:24:00,1
2019-11-06 09:07:00,1
2019-11-06 09:12:00,1
2019-11-06 09:15:00,1
2019-11-08 02:09:00,1
2019-11-08 09:35:00,1
2019-11-08 11:43:00,1
2019-11-09 11:46:00,1
2019-11-10 10:35:00,1
2019-11-11 12:35:00,1
2019-11-11 12:47:00,1
2019-11-11 12:48:00,1
2019-11-12 04:54:00,1
2019-11-12 05:33:00,1
2019-11-12 13:05:00,1
2019-11-13 06:45:00,1
2019-11-13 10:12:00,1
2019-11-14 08:46:00,1
2019-11-14 12:20:00,1
2019-11-14 12:26:00,1
2019-11-14 12:48:00,1
2019-11-14 12:49:00,1
2019-11-14 12:55:00,1
2019-11-15 09:58:00,1
2019-11-15 09:59:00,1
2019-11-18 11:47:00,4
2019-11-18 16:53:00,2
2019-11-19 06:48:00,1
2019-11-20 10:02:00,1
2019-11-20 13:59:00,2
2019-11-20 17:09:00,1
2019-11-21 03:31:00,2
2019-11-21 03:32:00,1
2019-11-22 09:11:00,1
2019-11-22 11:23:00,1
2019-11-22 11:25:00,1
2019-11-22 11:26:00,1
2019-11-22 11:51:00,1
2019-11-22 11:52:00,1
2019-11-22 14:14:00,1
2019-11-22 14:28:00,1
2019-11-22 14:33:00,1
2019-11-22 14:37:00,1
2019-11-22 14:50:00,1
2019-11-22 14:59:00,1
2019-11-22 15:02:00,1
2019-11-22 15:07:00,1
2019-11-22 16:50:00,1
2019-11-25 11:04:00,1
2019-11-26 01:08:00,1
2019-11-26 05:52:00,1
2019-11-26 06:24:00,1
2019-11-26 10:24:00,1
2019-11-26 10:25:00,1
2019-11-26 10:26:00,2
2019-11-26 10:27:00,1
2019-11-26 10:55:00,1
2019-11-26 10:59:00,2
2019-11-26 11:41:00,1
2019-11-26 12:05:00,1
2019-12-01 06:11:00,1
2019-12-02 10:31:00,1
2019-12-02 11:14:00,1
2019-12-02 11:30:00,1
2019-12-02 11:32:00,1
2019-12-02 11:34:00,1
2019-12-02 12:23:00,1
2019-12-02 12:38:00,1
2019-12-02 12:41:00,1
2019-12-02 12:59:00,1
2019-12-02 15:25:00,1
2019-12-02 15:45:00,1
2019-12-02 16:01:00,1
2019-12-02 17:29:00,1
2019-12-02 18:31:00,1
2019-12-03 03:05:00,1
2019-12-04 03:37:00,1
2019-12-04 07:47:00,1
2019-12-04 12:15:00,1
2019-12-08 10:49:00,1
2019-12-10 06:26:00,1
2019-12-10 06:28:00,1
2019-12-10 06:36:00,1
2019-12-10 06:39:00,1
2019-12-10 06:47:00,1
2019-12-10 11:38:00,1
2019-12-10 18:10:00,1
2019-12-12 05:38:00,2
2019-12-13 05:32:00,1
2019-12-13 10:21:00,1
2019-12-16 00:22:00,1
2019-12-17 04:09:00,1
2019-12-17 04:11:00,1
2019-12-17 04:13:00,1
2019-12-17 04:15:00,1
2019-12-17 04:19:00,1
2019-12-19 11:03:00,1
2019-12-19 12:54:00,1
2019-12-20 03:00:00,1
2019-12-21 09:51:00,1
2019-12-23 00:24:00,1
2019-12-25 01:25:00,1
2019-12-28 14:01:00,1
2019-12-30 03:01:00,1
2019-12-30 06:34:00,1
2019-12-31 00:17:00,1
2019-12-31 01:11:00,1
2019-12-31 01:49:00,1
2019-12-31 09:20:00,1
