11431,"SELECT TOP # p.run, p.rerun, p.camcol, p.field FROM PhotoObjDR7 AS p WHERE p.dr7objid = #"
2019-01-02 10:58:00,1
2019-01-02 10:59:00,2
2019-01-02 11:07:00,1
2019-01-02 11:10:00,1
2019-01-02 11:16:00,1
2019-01-02 11:18:00,1
2019-01-02 11:24:00,1
2019-01-02 11:26:00,1
2019-01-02 11:31:00,1
2019-01-02 11:33:00,1
2019-01-02 11:35:00,1
2019-01-02 11:38:00,1
2019-01-02 11:50:00,1
2019-01-02 12:01:00,1
2019-01-02 12:10:00,1
2019-01-02 12:11:00,1
2019-01-02 12:17:00,1
2019-01-02 12:18:00,1
2019-01-02 12:25:00,1
2019-01-02 12:26:00,1
2019-01-02 12:28:00,2
2019-01-02 12:29:00,2
2019-01-02 12:30:00,1
2019-01-02 12:31:00,1
2019-01-02 12:35:00,1
2019-01-02 12:37:00,1
2019-01-02 12:38:00,1
2019-01-02 12:42:00,1
2019-01-02 12:51:00,2
2019-01-02 12:57:00,1
2019-01-02 12:59:00,2
2019-01-02 13:01:00,2
2019-01-02 13:03:00,1
2019-01-02 13:05:00,1
2019-01-02 13:07:00,2
2019-01-02 13:09:00,1
2019-01-02 13:12:00,1
2019-01-02 13:13:00,1
2019-01-02 13:14:00,1
2019-01-02 13:21:00,1
2019-01-02 13:23:00,1
2019-01-02 13:24:00,1
2019-01-02 13:30:00,1
2019-01-02 13:31:00,1
2019-01-02 13:35:00,1
2019-01-02 13:36:00,1
2019-01-02 13:41:00,1
2019-01-02 13:45:00,1
2019-01-02 13:48:00,2
2019-01-02 13:49:00,1
2019-01-02 13:50:00,1
2019-01-02 13:57:00,1
2019-01-02 13:59:00,1
2019-01-02 14:01:00,1
2019-01-02 14:10:00,1
2019-01-02 14:12:00,1
2019-01-02 14:13:00,1
2019-01-02 14:16:00,1
2019-01-02 14:18:00,1
2019-01-02 14:20:00,1
2019-01-02 14:22:00,1
2019-01-02 14:26:00,1
2019-01-02 14:38:00,2
2019-01-02 14:41:00,1
2019-01-02 14:45:00,1
2019-01-02 14:48:00,1
2019-01-02 14:50:00,1
2019-01-02 15:00:00,1
2019-01-02 15:02:00,2
2019-01-02 15:03:00,1
2019-01-02 15:04:00,1
2019-01-02 15:05:00,1
2019-01-02 15:08:00,1
2019-01-02 15:16:00,2
2019-01-02 15:19:00,2
2019-01-02 15:20:00,1
2019-01-02 15:22:00,1
2019-01-02 15:23:00,1
2019-01-02 15:24:00,1
2019-01-02 15:28:00,1
2019-01-02 15:31:00,1
2019-01-02 15:34:00,1
2019-01-02 15:35:00,2
2019-01-02 15:36:00,1
2019-01-02 15:37:00,1
2019-01-02 15:44:00,1
2019-01-02 15:46:00,1
2019-01-02 15:50:00,1
2019-01-02 15:58:00,2
2019-01-02 16:06:00,1
2019-01-02 16:07:00,1
2019-01-02 16:10:00,1
2019-01-02 16:16:00,1
2019-01-02 16:18:00,1
2019-01-02 16:29:00,2
2019-01-02 16:58:00,1
2019-01-02 17:04:00,1
2019-01-02 17:12:00,1
2019-01-02 17:19:00,1
2019-01-02 17:21:00,1
2019-01-02 17:22:00,1
2019-01-02 17:25:00,1
2019-01-02 17:27:00,1
2019-01-02 17:28:00,1
2019-01-02 17:30:00,1
2019-01-02 17:38:00,1
2019-01-02 17:46:00,1
2019-01-02 17:54:00,1
2019-01-02 18:01:00,1
2019-01-02 18:03:00,2
2019-01-02 18:09:00,1
2019-01-02 18:15:00,1
2019-01-02 18:16:00,1
2019-01-02 18:17:00,1
2019-01-02 18:19:00,1
2019-01-02 18:23:00,1
2019-01-02 18:25:00,1
2019-01-02 18:31:00,1
2019-01-02 18:40:00,1
2019-01-02 19:29:00,1
2019-01-02 20:56:00,1
2019-01-02 21:16:00,1
2019-01-02 21:17:00,1
2019-01-02 21:18:00,1
2019-01-02 21:20:00,1
2019-01-02 21:45:00,1
2019-01-02 22:06:00,1
2019-01-02 22:29:00,1
2019-01-02 22:38:00,1
2019-01-03 00:00:00,1
2019-01-03 00:02:00,1
2019-01-03 00:10:00,1
2019-01-03 00:14:00,1
2019-01-03 00:58:00,1
2019-01-03 02:35:00,1
2019-01-03 03:19:00,1
2019-01-03 04:47:00,1
2019-01-03 05:17:00,1
2019-01-03 05:52:00,1
2019-01-03 05:59:00,1
2019-01-03 07:30:00,1
2019-01-03 07:40:00,1
2019-01-03 08:23:00,1
2019-01-03 08:30:00,2
2019-01-03 08:33:00,1
2019-01-03 08:34:00,1
2019-01-03 09:03:00,1
2019-01-03 09:07:00,1
2019-01-03 09:34:00,1
2019-01-03 09:42:00,1
2019-01-03 09:48:00,1
2019-01-03 09:56:00,1
2019-01-03 10:00:00,1
2019-01-03 10:11:00,1
2019-01-03 10:24:00,1
2019-01-03 10:31:00,1
2019-01-03 11:33:00,1
2019-01-03 11:42:00,1
2019-01-03 12:03:00,2
2019-01-03 12:16:00,1
2019-01-03 12:26:00,1
2019-01-03 12:36:00,1
2019-01-03 12:38:00,1
2019-01-03 12:52:00,1
2019-01-03 13:38:00,1
2019-01-03 13:42:00,1
2019-01-03 13:59:00,1
2019-01-03 14:08:00,1
2019-01-03 14:33:00,1
2019-01-03 14:39:00,1
2019-01-03 14:45:00,1
2019-01-03 15:05:00,1
2019-01-03 15:08:00,1
2019-01-03 16:17:00,1
2019-01-03 17:16:00,1
2019-01-03 17:22:00,2
2019-01-03 19:03:00,1
2019-01-03 19:35:00,1
2019-01-03 19:42:00,1
2019-01-03 19:43:00,1
2019-01-03 20:01:00,1
2019-01-03 20:07:00,1
2019-01-03 20:14:00,1
2019-01-03 20:15:00,1
2019-01-03 20:25:00,1
2019-01-03 21:25:00,1
2019-01-03 21:49:00,1
2019-01-03 23:37:00,1
2019-01-04 00:50:00,1
2019-01-04 08:13:00,1
2019-01-04 08:58:00,1
2019-01-04 09:02:00,1
2019-01-04 10:13:00,1
2019-01-04 11:01:00,1
2019-01-04 11:05:00,1
2019-01-04 13:07:00,1
2019-01-04 13:33:00,1
2019-01-04 13:54:00,1
2019-01-04 14:13:00,1
2019-01-04 15:27:00,2
2019-01-04 15:28:00,1
2019-01-04 15:32:00,1
2019-01-04 16:24:00,1
2019-01-04 16:52:00,1
2019-01-04 18:08:00,2
2019-01-04 18:09:00,1
2019-01-04 18:15:00,1
2019-01-04 18:20:00,1
2019-01-04 21:02:00,1
2019-01-05 00:58:00,1
2019-01-05 01:07:00,1
2019-01-05 01:16:00,1
2019-01-05 02:34:00,2
2019-01-05 02:37:00,1
2019-01-05 02:40:00,1
2019-01-05 05:09:00,1
2019-01-05 05:39:00,1
2019-01-05 05:41:00,1
2019-01-05 08:21:00,1
2019-01-05 08:26:00,1
2019-01-05 08:44:00,1
2019-01-05 08:52:00,1
2019-01-05 08:58:00,1
2019-01-05 10:45:00,1
2019-01-05 10:50:00,1
2019-01-05 10:54:00,1
2019-01-05 11:35:00,1
2019-01-05 12:53:00,2
2019-01-05 12:56:00,1
2019-01-05 13:00:00,1
2019-01-05 13:21:00,1
2019-01-05 13:41:00,1
2019-01-05 14:11:00,1
2019-01-05 14:47:00,1
2019-01-05 15:37:00,1
2019-01-05 15:44:00,1
2019-01-05 17:46:00,1
2019-01-05 18:03:00,1
2019-01-05 20:06:00,1
2019-01-05 20:10:00,1
2019-01-05 20:31:00,1
2019-01-05 22:03:00,1
2019-01-06 01:40:00,1
2019-01-06 02:20:00,1
2019-01-06 02:41:00,1
2019-01-06 03:01:00,1
2019-01-06 03:08:00,1
2019-01-06 06:02:00,1
2019-01-06 06:42:00,1
2019-01-06 07:02:00,2
2019-01-06 07:12:00,1
2019-01-06 07:42:00,1
2019-01-06 08:22:00,1
2019-01-06 08:26:00,1
2019-01-06 10:20:00,1
2019-01-06 10:33:00,2
2019-01-06 10:48:00,1
2019-01-06 10:51:00,1
2019-01-06 11:53:00,1
2019-01-06 12:06:00,1
2019-01-06 12:23:00,1
2019-01-06 12:37:00,1
2019-01-06 13:50:00,1
2019-01-06 17:23:00,1
2019-01-06 18:21:00,1
2019-01-06 18:45:00,1
2019-01-06 18:54:00,1
2019-01-06 19:03:00,1
2019-01-06 19:21:00,1
2019-01-06 19:28:00,1
2019-01-06 19:39:00,1
2019-01-06 19:48:00,1
2019-01-06 20:12:00,1
2019-01-06 20:13:00,1
2019-01-06 20:15:00,1
2019-01-06 20:24:00,1
2019-01-06 20:33:00,1
2019-01-06 20:42:00,1
2019-01-06 20:44:00,1
2019-01-06 20:51:00,1
2019-01-06 21:00:00,1
2019-01-06 21:09:00,1
2019-01-06 21:18:00,1
2019-01-06 21:27:00,1
2019-01-06 21:54:00,1
2019-01-06 22:06:00,1
2019-01-06 22:16:00,1
2019-01-06 22:39:00,1
2019-01-06 22:48:00,1
2019-01-06 22:57:00,1
2019-01-07 01:00:00,1
2019-01-07 01:13:00,1
2019-01-07 02:00:00,1
2019-01-07 03:21:00,1
2019-01-07 04:49:00,1
2019-01-07 05:18:00,1
2019-01-07 06:49:00,1
2019-01-07 08:13:00,1
2019-01-07 08:14:00,1
2019-01-07 08:30:00,1
2019-01-07 08:59:00,1
2019-01-07 09:07:00,1
2019-01-07 09:14:00,1
2019-01-07 10:44:00,1
2019-01-07 10:45:00,1
2019-01-07 10:47:00,1
2019-01-07 11:37:00,1
2019-01-07 12:48:00,1
2019-01-07 15:01:00,1
2019-01-07 15:08:00,2
2019-01-07 16:34:00,1
2019-01-07 17:02:00,1
2019-01-07 17:07:00,1
2019-01-07 17:19:00,1
2019-01-07 17:29:00,1
2019-01-07 18:00:00,1
2019-01-07 18:09:00,1
2019-01-07 18:14:00,1
2019-01-07 18:46:00,1
2019-01-07 18:47:00,1
2019-01-07 19:21:00,1
2019-01-07 19:23:00,1
2019-01-07 19:29:00,1
2019-01-07 20:17:00,1
2019-01-07 20:31:00,1
2019-01-07 21:23:00,1
2019-01-07 23:01:00,1
2019-01-07 23:46:00,1
2019-01-07 23:52:00,1
2019-01-08 00:14:00,1
2019-01-08 00:23:00,1
2019-01-08 01:00:00,1
2019-01-08 01:02:00,1
2019-01-08 01:03:00,1
2019-01-08 01:05:00,2
2019-01-08 01:06:00,2
2019-01-08 01:07:00,1
2019-01-08 01:10:00,1
2019-01-08 01:11:00,1
2019-01-08 01:12:00,1
2019-01-08 01:13:00,1
2019-01-08 01:14:00,1
2019-01-08 01:27:00,1
2019-01-08 01:57:00,1
2019-01-08 04:36:00,1
2019-01-08 06:19:00,1
2019-01-08 06:43:00,1
2019-01-08 08:33:00,1
2019-01-08 08:36:00,1
2019-01-08 11:06:00,1
2019-01-08 11:30:00,1
2019-01-08 17:43:00,1
2019-01-08 17:52:00,1
2019-01-08 18:22:00,1
2019-01-08 18:30:00,1
2019-01-08 18:32:00,1
2019-01-08 18:42:00,1
2019-01-08 19:42:00,1
2019-01-08 20:02:00,1
2019-01-08 20:22:00,1
2019-01-08 20:32:00,1
2019-01-08 20:52:00,1
2019-01-08 22:36:00,1
2019-01-08 22:38:00,1
2019-01-09 01:05:00,1
2019-01-09 05:14:00,1
2019-01-09 05:15:00,1
2019-01-09 06:09:00,1
2019-01-09 06:27:00,1
2019-01-09 06:34:00,1
2019-01-09 07:01:00,1
2019-01-09 10:16:00,1
2019-01-09 11:42:00,1
2019-01-09 15:28:00,1
2019-01-09 15:55:00,1
2019-01-09 16:31:00,1
2019-01-09 17:03:00,1
2019-01-09 17:09:00,1
2019-01-09 17:57:00,1
2019-01-09 19:30:00,1
2019-01-09 19:33:00,1
2019-01-09 19:34:00,1
2019-01-09 19:35:00,1
2019-01-09 22:10:00,1
2019-01-09 23:12:00,1
2019-01-09 23:36:00,1
2019-01-10 00:32:00,1
2019-01-10 01:29:00,1
2019-01-10 03:00:00,1
2019-01-10 03:55:00,1
2019-01-10 05:03:00,1
2019-01-10 05:15:00,1
2019-01-10 07:05:00,1
2019-01-10 07:12:00,1
2019-01-10 07:42:00,1
2019-01-10 11:38:00,1
2019-01-10 11:42:00,1
2019-01-10 11:56:00,1
2019-01-10 13:52:00,2
2019-01-10 14:08:00,1
2019-01-10 14:09:00,1
2019-01-10 14:58:00,1
2019-01-10 15:40:00,1
2019-01-10 17:02:00,1
2019-01-10 17:20:00,1
2019-01-10 18:35:00,1
2019-01-10 18:40:00,1
2019-01-10 19:22:00,1
2019-01-10 19:26:00,1
2019-01-10 19:43:00,1
2019-01-10 20:26:00,1
2019-01-10 20:30:00,1
2019-01-10 21:03:00,1
2019-01-10 21:23:00,1
2019-01-10 21:53:00,1
2019-01-10 22:10:00,1
2019-01-10 22:13:00,1
2019-01-10 22:23:00,1
2019-01-10 22:54:00,1
2019-01-10 23:10:00,1
2019-01-10 23:40:00,1
2019-01-11 00:58:00,1
2019-01-11 01:10:00,1
2019-01-11 01:20:00,1
2019-01-11 01:31:00,1
2019-01-11 02:38:00,1
2019-01-11 03:10:00,1
2019-01-11 03:28:00,1
2019-01-11 03:29:00,2
2019-01-11 03:47:00,1
2019-01-11 04:00:00,1
2019-01-11 04:06:00,1
2019-01-11 04:56:00,1
2019-01-11 05:26:00,1
2019-01-11 06:32:00,1
2019-01-11 06:35:00,1
2019-01-11 07:06:00,1
2019-01-11 07:26:00,1
2019-01-11 07:38:00,1
2019-01-11 08:17:00,1
2019-01-11 08:37:00,1
2019-01-11 08:57:00,1
2019-01-11 09:07:00,1
2019-01-11 09:28:00,1
2019-01-11 09:47:00,1
2019-01-11 09:56:00,1
2019-01-11 10:18:00,2
2019-01-11 10:43:00,1
2019-01-11 10:47:00,1
2019-01-11 10:57:00,1
2019-01-11 11:45:00,1
2019-01-11 12:02:00,1
2019-01-11 12:19:00,1
2019-01-11 12:21:00,1
2019-01-11 12:34:00,1
2019-01-11 13:48:00,1
2019-01-11 14:27:00,1
2019-01-11 14:29:00,1
2019-01-11 14:50:00,1
2019-01-11 15:28:00,1
2019-01-11 15:48:00,1
2019-01-11 15:58:00,1
2019-01-11 16:17:00,1
2019-01-11 16:19:00,1
2019-01-11 16:28:00,1
2019-01-11 16:37:00,1
2019-01-11 17:04:00,1
2019-01-11 17:32:00,1
2019-01-11 18:10:00,1
2019-01-11 18:35:00,1
2019-01-11 19:08:00,2
2019-01-11 21:07:00,1
2019-01-11 21:22:00,1
2019-01-11 23:24:00,1
2019-01-11 23:47:00,1
2019-01-12 01:08:00,1
2019-01-12 01:16:00,1
2019-01-12 02:29:00,1
2019-01-12 04:10:00,1
2019-01-12 04:17:00,1
2019-01-12 04:52:00,1
2019-01-12 05:10:00,1
2019-01-12 05:12:00,1
2019-01-12 05:29:00,1
2019-01-12 05:30:00,1
2019-01-12 06:18:00,1
2019-01-12 06:37:00,1
2019-01-12 06:46:00,1
2019-01-12 07:03:00,1
2019-01-12 07:10:00,1
2019-01-12 07:23:00,1
2019-01-12 08:02:00,1
2019-01-12 10:17:00,1
2019-01-12 10:46:00,2
2019-01-12 10:54:00,1
2019-01-12 11:09:00,1
2019-01-12 11:10:00,1
2019-01-12 11:28:00,1
2019-01-12 14:10:00,1
2019-01-12 14:44:00,1
2019-01-12 15:15:00,1
2019-01-12 15:59:00,1
2019-01-12 17:16:00,1
2019-01-12 18:57:00,1
2019-01-12 19:18:00,1
2019-01-12 19:31:00,1
2019-01-12 22:23:00,1
2019-01-12 23:39:00,1
2019-01-13 00:33:00,1
2019-01-13 02:31:00,1
2019-01-13 04:12:00,2
2019-01-13 04:50:00,1
2019-01-13 04:52:00,1
2019-01-13 05:14:00,1
2019-01-13 05:17:00,1
2019-01-13 05:19:00,1
2019-01-13 05:29:00,1
2019-01-13 06:06:00,1
2019-01-13 06:40:00,1
2019-01-13 07:46:00,1
2019-01-13 08:40:00,1
2019-01-13 08:56:00,1
2019-01-13 10:17:00,1
2019-01-13 10:29:00,1
2019-01-13 10:50:00,1
2019-01-13 11:52:00,1
2019-01-13 13:00:00,1
2019-01-13 13:20:00,1
2019-01-13 13:35:00,1
2019-01-13 13:49:00,1
2019-01-13 13:54:00,1
2019-01-13 14:24:00,1
2019-01-13 14:25:00,2
2019-01-13 15:47:00,1
2019-01-13 16:51:00,1
2019-01-13 17:12:00,1
2019-01-13 17:26:00,1
2019-01-13 17:40:00,1
2019-01-13 17:42:00,1
2019-01-13 17:50:00,1
2019-01-13 18:13:00,1
2019-01-13 18:14:00,3
2019-01-13 18:22:00,1
2019-01-13 21:10:00,1
2019-01-13 22:30:00,1
2019-01-13 23:03:00,1
2019-01-14 00:24:00,1
2019-01-14 01:29:00,1
2019-01-14 02:10:00,1
2019-01-14 02:31:00,1
2019-01-14 02:35:00,1
2019-01-14 03:16:00,1
2019-01-14 03:26:00,1
2019-01-14 03:48:00,1
2019-01-14 04:35:00,1
2019-01-14 04:44:00,1
2019-01-14 05:09:00,1
2019-01-14 05:19:00,1
2019-01-14 05:42:00,1
2019-01-14 05:43:00,1
2019-01-14 05:51:00,1
2019-01-14 05:52:00,1
2019-01-14 06:49:00,2
2019-01-14 07:04:00,1
2019-01-14 09:32:00,1
2019-01-14 09:46:00,1
2019-01-14 10:01:00,1
2019-01-14 13:15:00,1
2019-01-14 13:46:00,1
2019-01-14 14:27:00,1
2019-01-14 15:04:00,1
2019-01-14 16:40:00,1
2019-01-14 17:49:00,1
2019-01-14 18:44:00,1
2019-01-14 19:34:00,1
2019-01-14 19:52:00,1
2019-01-14 20:01:00,1
2019-01-14 20:02:00,1
2019-01-14 20:03:00,1
2019-01-14 20:05:00,1
2019-01-14 23:05:00,1
2019-01-15 01:25:00,1
2019-01-15 02:01:00,1
2019-01-15 02:04:00,1
2019-01-15 02:10:00,1
2019-01-15 02:48:00,2
2019-01-15 04:47:00,1
2019-01-15 05:08:00,1
2019-01-15 05:10:00,1
2019-01-15 05:13:00,1
2019-01-15 05:38:00,1
2019-01-15 05:46:00,1
2019-01-15 06:07:00,1
2019-01-15 06:37:00,1
2019-01-15 08:37:00,1
2019-01-15 09:25:00,1
2019-01-15 09:39:00,1
2019-01-15 10:10:00,1
2019-01-15 12:51:00,1
2019-01-15 13:07:00,1
2019-01-15 13:13:00,1
2019-01-15 13:29:00,1
2019-01-15 15:19:00,1
2019-01-15 15:29:00,1
2019-01-15 16:00:00,1
2019-01-15 17:30:00,1
2019-01-15 19:09:00,1
2019-01-15 19:35:00,1
2019-01-15 19:41:00,1
2019-01-15 21:08:00,1
2019-01-15 23:22:00,1
2019-01-16 06:03:00,1
2019-01-16 08:15:00,1
2019-01-16 08:59:00,1
2019-01-16 09:17:00,1
2019-01-16 10:08:00,1
2019-01-16 10:46:00,2
2019-01-16 11:28:00,1
2019-01-16 12:03:00,1
2019-01-16 12:13:00,1
2019-01-16 12:44:00,3
2019-01-16 12:45:00,4
2019-01-16 12:46:00,3
2019-01-16 12:47:00,2
2019-01-16 12:48:00,3
2019-01-16 13:12:00,1
2019-01-16 14:00:00,1
2019-01-16 15:10:00,1
2019-01-16 15:43:00,1
2019-01-16 15:54:00,1
2019-01-16 17:21:00,1
2019-01-16 20:15:00,1
2019-01-16 22:59:00,1
2019-01-16 23:03:00,1
2019-01-16 23:54:00,1
2019-01-17 06:34:00,1
2019-01-17 06:40:00,1
2019-01-17 07:32:00,1
2019-01-17 09:12:00,1
2019-01-17 09:43:00,1
2019-01-17 09:45:00,1
2019-01-17 09:56:00,1
2019-01-17 11:36:00,1
2019-01-17 11:50:00,1
2019-01-17 11:54:00,1
2019-01-17 12:06:00,1
2019-01-17 13:17:00,1
2019-01-17 13:34:00,1
2019-01-17 13:41:00,1
2019-01-17 17:37:00,1
2019-01-17 21:17:00,1
2019-01-17 23:13:00,1
2019-01-18 02:02:00,1
2019-01-18 03:04:00,1
2019-01-18 06:25:00,1
2019-01-18 06:40:00,1
2019-01-18 08:42:00,1
2019-01-18 09:19:00,1
2019-01-18 09:21:00,1
2019-01-18 09:51:00,1
2019-01-18 10:04:00,1
2019-01-18 10:15:00,1
2019-01-18 10:27:00,1
2019-01-18 10:38:00,1
2019-01-18 10:50:00,1
2019-01-18 11:10:00,1
2019-01-18 11:13:00,1
2019-01-18 11:53:00,1
2019-01-18 12:03:00,1
2019-01-18 12:39:00,1
2019-01-18 12:43:00,1
2019-01-18 13:33:00,1
2019-01-18 14:50:00,1
2019-01-18 17:50:00,1
2019-01-18 18:45:00,1
2019-01-18 19:51:00,1
2019-01-18 22:07:00,1
2019-01-18 22:18:00,1
2019-01-18 22:30:00,1
2019-01-18 22:41:00,1
2019-01-18 23:37:00,1
2019-01-19 01:33:00,1
2019-01-19 05:12:00,1
2019-01-19 07:39:00,1
2019-01-19 19:14:00,1
2019-01-19 20:30:00,1
2019-01-19 23:55:00,1
2019-01-20 03:13:00,1
2019-01-20 04:24:00,1
2019-01-20 08:30:00,1
2019-01-20 10:12:00,1
2019-01-20 10:19:00,1
2019-01-20 10:47:00,1
2019-01-20 11:19:00,1
2019-01-20 12:09:00,1
2019-01-20 12:19:00,1
2019-01-20 13:39:00,1
2019-01-20 13:59:00,1
2019-01-20 15:09:00,1
2019-01-20 17:31:00,1
2019-01-20 17:39:00,1
2019-01-20 18:21:00,2
2019-01-20 18:22:00,1
2019-01-20 18:23:00,2
2019-01-20 18:24:00,1
2019-01-20 22:02:00,1
2019-01-21 05:11:00,1
2019-01-21 06:24:00,1
2019-01-21 09:56:00,1
2019-01-21 12:26:00,1
2019-01-21 13:25:00,1
2019-01-21 13:52:00,1
2019-01-21 19:20:00,1
2019-01-21 20:31:00,1
2019-01-21 21:18:00,1
2019-01-21 22:14:00,1
2019-01-21 23:29:00,1
2019-01-21 23:49:00,1
2019-01-22 01:29:00,1
2019-01-22 04:50:00,1
2019-01-22 09:32:00,1
2019-01-22 09:38:00,1
2019-01-22 09:54:00,1
2019-01-22 09:58:00,1
2019-01-22 10:42:00,1
2019-01-22 11:03:00,1
2019-01-22 11:14:00,1
2019-01-22 11:52:00,1
2019-01-22 12:03:00,1
2019-01-22 12:32:00,1
2019-01-22 13:30:00,1
2019-01-22 15:23:00,1
2019-01-22 15:53:00,1
2019-01-22 17:12:00,1
2019-01-22 17:58:00,1
2019-01-22 17:59:00,1
2019-01-22 18:00:00,1
2019-01-22 18:01:00,1
2019-01-22 18:02:00,1
2019-01-22 18:03:00,1
2019-01-22 18:11:00,2
2019-01-22 18:18:00,2
2019-01-22 18:21:00,2
2019-01-22 18:25:00,1
2019-01-22 18:31:00,1
2019-01-22 18:48:00,2
2019-01-22 18:49:00,4
2019-01-22 18:50:00,1
2019-01-22 18:53:00,3
2019-01-22 18:54:00,2
2019-01-22 18:55:00,3
2019-01-22 19:19:00,2
2019-01-22 19:21:00,2
2019-01-22 20:31:00,1
2019-01-22 21:18:00,1
2019-01-22 21:20:00,4
2019-01-22 21:21:00,2
2019-01-22 21:22:00,3
2019-01-22 21:23:00,3
2019-01-22 21:24:00,2
2019-01-22 21:25:00,3
2019-01-22 21:26:00,4
2019-01-22 21:27:00,4
2019-01-22 21:28:00,4
2019-01-22 21:29:00,3
2019-01-22 21:30:00,3
2019-01-22 21:31:00,4
2019-01-22 21:32:00,5
2019-01-22 21:33:00,3
2019-01-22 21:34:00,3
2019-01-22 21:35:00,4
2019-01-22 21:36:00,4
2019-01-22 21:37:00,4
2019-01-22 21:38:00,1
2019-01-22 23:18:00,1
2019-01-22 23:28:00,1
2019-01-23 00:49:00,1
2019-01-23 01:01:00,1
2019-01-23 01:12:00,1
2019-01-23 01:24:00,1
2019-01-23 01:46:00,1
2019-01-23 02:54:00,1
2019-01-23 03:54:00,1
2019-01-23 05:17:00,1
2019-01-23 05:22:00,1
2019-01-23 06:17:00,1
2019-01-23 07:54:00,1
2019-01-23 09:18:00,1
2019-01-23 09:37:00,1
2019-01-23 10:28:00,1
2019-01-23 10:31:00,1
2019-01-23 11:20:00,1
2019-01-23 11:31:00,1
2019-01-23 11:43:00,1
2019-01-23 11:54:00,1
2019-01-23 12:53:00,1
2019-01-23 12:54:00,1
2019-01-23 13:14:00,1
2019-01-23 13:26:00,1
2019-01-23 13:32:00,1
2019-01-23 13:33:00,1
2019-01-23 13:43:00,1
2019-01-23 14:05:00,1
2019-01-23 14:09:00,1
2019-01-23 14:45:00,1
2019-01-23 14:47:00,1
2019-01-23 14:59:00,1
2019-01-23 15:42:00,1
2019-01-23 16:40:00,1
2019-01-23 16:50:00,1
2019-01-23 17:00:00,1
2019-01-23 17:50:00,1
2019-01-23 18:00:00,1
