1949,select * from zoo2MainSpecz where dr8objid = #
2019-02-02 03:29:00,1
2019-02-02 03:31:00,9
2019-02-02 03:32:00,2
2019-02-02 03:34:00,3
2019-02-02 03:40:00,6
2019-02-02 03:41:00,14
2019-02-02 03:42:00,15
2019-02-02 03:43:00,10
2019-02-02 03:44:00,13
2019-02-02 12:36:00,1
2019-02-03 04:24:00,13
2019-02-03 04:25:00,16
2019-02-03 11:34:00,1
2019-02-03 14:22:00,1
2019-02-03 18:43:00,1
2019-02-04 00:44:00,1
2019-02-04 02:32:00,1
2019-02-04 14:21:00,1
2019-02-05 00:29:00,1
2019-02-05 18:12:00,1
2019-02-06 04:39:00,1
2019-02-06 08:35:00,1
2019-02-09 15:44:00,1
2019-02-09 16:21:00,1
2019-02-10 16:15:00,1
2019-02-11 20:56:00,1
2019-02-14 05:31:00,3
2019-02-14 05:36:00,3
2019-02-14 09:11:00,1
2019-02-15 05:37:00,1
2019-02-17 04:10:00,1
2019-02-18 08:35:00,1
2019-02-19 03:34:00,2
2019-02-19 05:15:00,1
2019-02-20 04:33:00,1
2019-02-20 20:20:00,5
2019-02-20 20:21:00,3
2019-02-21 18:28:00,9
2019-02-25 19:50:00,1
2019-02-28 15:36:00,1
2019-02-28 15:50:00,1
2019-03-02 08:01:00,1
2019-03-02 12:09:00,1
2019-03-03 08:23:00,1
2019-03-03 13:59:00,1
2019-03-05 12:29:00,1
2019-03-08 06:16:00,1
2019-03-14 12:43:00,1
2019-03-18 01:11:00,2
2019-03-21 00:09:00,1
2019-03-26 10:27:00,2
2019-03-27 23:30:00,1
2019-03-28 01:03:00,1
2019-03-29 03:03:00,1
2019-03-29 22:59:00,1
2019-03-29 23:02:00,1
2019-03-30 19:59:00,1
2019-04-01 17:06:00,1
2019-04-01 23:59:00,1
2019-04-02 13:26:00,1
2019-04-02 13:32:00,1
2019-04-04 18:22:00,1
2019-04-05 21:47:00,1
2019-04-08 00:29:00,1
2019-04-09 01:53:00,1
2019-04-13 22:32:00,1
2019-04-14 06:35:00,1
2019-04-14 09:12:00,1
2019-04-14 17:50:00,1
2019-04-14 18:27:00,1
2019-04-15 03:50:00,1
2019-04-17 05:38:00,1
2019-04-17 07:23:00,7
2019-04-19 11:03:00,1
2019-04-19 14:27:00,1
2019-04-20 04:14:00,1
2019-04-20 11:38:00,1
2019-04-20 12:27:00,20
2019-04-20 15:18:00,1
2019-04-21 01:09:00,1
2019-04-21 02:41:00,1
2019-04-21 15:18:00,2
2019-04-21 16:30:00,1
2019-04-22 11:09:00,4
2019-04-22 11:10:00,13
2019-04-22 11:11:00,2
2019-04-22 13:13:00,30
2019-04-22 13:14:00,4
2019-04-22 14:52:00,1
2019-04-22 22:41:00,5
2019-04-23 12:36:00,5
2019-04-23 12:37:00,1
2019-04-23 13:48:00,24
2019-04-23 13:49:00,35
2019-04-23 13:50:00,3
2019-04-23 16:12:00,11
2019-04-24 06:53:00,24
2019-04-24 06:54:00,5
2019-04-25 08:08:00,1
2019-04-25 10:00:00,1
2019-04-25 16:43:00,1
2019-04-26 05:40:00,1
2019-04-26 15:34:00,1
2019-05-05 04:41:00,3
2019-05-06 21:05:00,1
2019-05-10 00:59:00,3
2019-05-11 05:00:00,1
2019-05-12 23:30:00,1
2019-05-14 22:50:00,14
2019-05-14 22:51:00,3
2019-05-15 20:20:00,1
2019-05-15 23:23:00,1
2019-05-19 08:40:00,1
2019-05-20 04:43:00,1
2019-05-22 20:23:00,1
2019-05-24 09:33:00,1
2019-05-25 12:29:00,1
2019-05-27 02:02:00,1
2019-05-27 02:10:00,1
2019-06-02 06:33:00,1
2019-06-03 19:52:00,1
2019-06-03 20:34:00,1
2019-06-04 07:13:00,1
2019-06-05 16:35:00,1
2019-06-05 19:00:00,1
2019-06-05 19:53:00,1
2019-06-05 20:35:00,1
2019-06-06 06:31:00,1
2019-06-06 09:13:00,1
2019-06-06 10:07:00,1
2019-06-07 00:04:00,1
2019-06-07 05:44:00,1
2019-06-07 05:51:00,1
2019-06-07 13:37:00,1
2019-06-07 19:43:00,1
2019-06-08 02:44:00,1
2019-06-08 03:20:00,1
2019-06-08 07:11:00,1
2019-06-08 09:38:00,1
2019-06-08 09:51:00,1
2019-06-08 10:39:00,1
2019-06-08 13:45:00,2
2019-06-08 22:58:00,1
2019-06-09 07:55:00,1
2019-06-09 08:05:00,1
2019-06-09 10:25:00,1
2019-06-09 21:36:00,1
2019-06-10 01:44:00,1
2019-06-10 03:44:00,1
2019-06-10 10:10:00,1
2019-06-10 10:58:00,1
2019-06-10 13:39:00,1
2019-06-11 01:02:00,1
2019-06-11 08:03:00,1
2019-06-11 08:48:00,1
2019-06-11 09:40:00,1
2019-06-11 12:10:00,1
2019-06-11 13:35:00,1
2019-06-11 18:33:00,1
2019-06-11 21:39:00,1
2019-06-12 01:43:00,1
2019-06-12 03:32:00,1
2019-06-12 22:07:00,1
2019-06-12 22:19:00,1
2019-06-13 00:20:00,1
2019-06-13 10:13:00,1
2019-06-13 10:43:00,1
2019-06-13 11:32:00,1
2019-06-13 15:17:00,1
2019-06-13 15:42:00,1
2019-06-13 17:06:00,1
2019-06-13 20:51:00,1
2019-06-13 22:02:00,1
2019-06-14 00:23:00,1
2019-06-14 02:57:00,1
2019-06-14 04:43:00,1
2019-06-14 04:51:00,2
2019-06-14 04:53:00,1
2019-06-14 17:04:00,1
2019-06-14 17:35:00,1
2019-06-14 18:24:00,1
2019-06-14 22:10:00,1
2019-06-15 01:36:00,1
2019-06-15 06:50:00,1
2019-06-15 22:28:00,1
2019-06-15 23:36:00,1
2019-06-16 00:01:00,1
2019-06-16 07:51:00,1
2019-06-16 10:09:00,1
2019-06-16 10:44:00,1
2019-06-16 13:21:00,1
2019-06-16 18:23:00,1
2019-06-16 22:08:00,1
2019-06-17 00:06:00,1
2019-06-17 04:00:00,1
2019-06-17 05:19:00,1
2019-06-17 05:42:00,1
2019-06-17 06:54:00,1
2019-06-17 10:12:00,1
2019-06-17 11:24:00,1
2019-06-17 13:47:00,1
2019-06-18 00:41:00,1
