955,SELECT TOP # specObjID
2019-06-23 15:53:00,1
2019-06-23 17:56:00,1
2019-06-23 20:38:00,1
2019-06-23 22:58:00,1
2019-06-24 12:35:00,1
2019-06-24 12:43:00,1
2019-06-25 07:57:00,1
2019-06-25 08:54:00,1
2019-06-25 12:34:00,1
2019-06-25 19:13:00,1
2019-06-25 23:37:00,1
2019-06-26 09:49:00,1
2019-06-27 02:46:00,1
2019-06-27 08:41:00,1
2019-06-27 20:21:00,1
2019-06-28 03:37:00,1
2019-06-28 13:04:00,1
2019-06-28 18:48:00,1
2019-06-29 01:37:00,1
2019-06-29 05:35:00,1
2019-06-29 15:11:00,1
2019-06-30 14:01:00,1
2019-06-30 15:32:00,1
2019-07-01 08:51:00,1
2019-07-01 08:56:00,1
2019-07-01 21:27:00,1
2019-07-02 01:31:00,1
2019-07-02 06:03:00,1
2019-07-02 15:18:00,2
2019-07-02 18:48:00,1
2019-07-02 19:45:00,1
2019-07-03 10:02:00,1
2019-07-03 14:23:00,1
2019-07-04 18:21:00,1
2019-07-05 13:46:00,1
2019-07-05 22:00:00,1
2019-07-06 02:48:00,1
2019-07-06 07:49:00,1
2019-07-07 00:28:00,1
2019-07-07 11:23:00,1
2019-07-08 05:35:00,1
2019-07-08 12:47:00,2
2019-07-08 17:46:00,1
2019-07-09 22:12:00,1
2019-07-10 15:19:00,1
2019-07-10 15:40:00,1
2019-07-11 14:17:00,1
2019-07-12 03:27:00,1
2019-07-12 10:53:00,1
2019-07-12 18:01:00,1
2019-07-12 19:15:00,1
2019-07-12 21:04:00,1
2019-07-13 04:59:00,1
2019-07-14 02:14:00,1
2019-07-14 08:17:00,1
2019-07-14 08:29:00,1
2019-07-14 14:59:00,1
2019-07-14 18:17:00,1
2019-07-15 10:18:00,1
2019-07-15 11:07:00,1
2019-07-18 10:30:00,1
2019-07-18 23:57:00,1
2019-07-19 00:41:00,1
2019-07-19 02:56:00,1
2019-07-19 23:01:00,1
2019-07-20 00:23:00,1
2019-07-20 00:42:00,1
2019-07-20 04:32:00,1
2019-07-20 04:38:00,1
2019-07-20 05:31:00,1
2019-07-20 21:11:00,1
2019-07-21 06:55:00,1
2019-07-21 18:57:00,1
2019-07-22 05:31:00,1
2019-07-22 17:02:00,1
2019-07-23 09:18:00,1
2019-07-23 09:32:00,1
2019-07-23 15:26:00,1
2019-07-24 02:12:00,1
2019-07-24 08:14:00,1
2019-07-25 01:06:00,1
2019-07-25 03:59:00,1
2019-07-25 05:13:00,1
2019-07-25 23:07:00,1
2019-07-26 00:06:00,1
2019-07-26 16:26:00,1
2019-07-27 16:06:00,1
2019-07-27 23:31:00,1
2019-07-28 08:40:00,1
2019-07-28 20:34:00,1
2019-07-29 09:11:00,1
2019-07-30 02:18:00,1
2019-07-30 17:00:00,1
2019-08-02 03:39:00,1
2019-08-03 03:19:00,1
2019-08-04 21:41:00,1
2019-08-04 22:02:00,1
2019-08-05 04:10:00,1
2019-08-05 15:05:00,1
2019-08-05 20:29:00,1
2019-08-06 02:37:00,1
2019-08-07 08:07:00,1
2019-08-08 19:18:00,1
2019-08-09 07:19:00,1
2019-08-09 09:34:00,2
2019-08-09 09:35:00,1
2019-08-09 09:41:00,6
2019-08-09 09:42:00,3
2019-08-09 09:43:00,5
2019-08-09 14:56:00,1
2019-08-09 17:52:00,1
2019-08-11 00:32:00,1
2019-08-12 15:40:00,1
2019-08-12 16:59:00,1
2019-08-13 15:41:00,1
2019-08-13 19:05:00,1
2019-08-13 19:06:00,1
2019-08-13 20:00:00,1
2019-08-13 20:01:00,1
2019-08-13 22:19:00,1
2019-08-14 10:58:00,1
2019-08-14 22:50:00,1
2019-08-15 03:54:00,1
2019-08-15 16:23:00,1
2019-08-16 07:07:00,1
2019-08-16 11:48:00,1
2019-08-16 11:49:00,1
2019-08-16 13:28:00,1
2019-08-16 22:29:00,1
2019-08-16 23:44:00,1
2019-08-17 04:51:00,1
2019-08-17 09:16:00,1
2019-08-20 23:06:00,1
2019-08-21 04:46:00,1
2019-08-22 07:41:00,1
2019-08-23 01:43:00,1
2019-08-23 08:01:00,1
2019-08-23 12:32:00,1
2019-08-23 14:28:00,1
2019-08-23 20:47:00,1
2019-08-24 12:37:00,1
2019-08-25 03:36:00,1
2019-08-26 12:33:00,1
2019-08-27 22:46:00,1
2019-08-28 00:11:00,1
2019-08-28 15:15:00,1
2019-08-29 03:04:00,1
2019-08-30 05:15:00,1
2019-08-30 06:52:00,1
2019-08-30 08:59:00,1
2019-08-30 11:14:00,1
2019-08-30 12:41:00,1
2019-08-31 08:41:00,1
2019-08-31 13:57:00,1
2019-08-31 17:51:00,1
2019-09-01 00:50:00,1
2019-09-01 04:28:00,1
2019-09-01 07:51:00,2
2019-09-01 14:54:00,1
2019-09-01 17:00:00,1
2019-09-01 21:49:00,1
2019-09-02 06:42:00,1
2019-09-02 10:06:00,1
2019-09-02 18:16:00,1
2019-09-03 04:47:00,1
2019-09-03 16:36:00,1
2019-09-04 18:27:00,1
2019-09-05 22:35:00,1
2019-09-05 22:56:00,1
2019-09-06 15:29:00,1
2019-09-06 16:21:00,1
2019-09-06 20:27:00,1
2019-09-06 21:59:00,1
2019-09-07 10:38:00,1
2019-09-07 17:38:00,1
2019-09-07 17:50:00,1
2019-09-08 07:09:00,1
2019-09-08 10:22:00,1
2019-09-08 14:18:00,1
2019-09-08 15:52:00,1
2019-09-10 03:25:00,1
2019-09-10 08:03:00,1
2019-09-11 12:57:00,1
2019-09-11 22:27:00,1
2019-09-12 07:28:00,1
2019-09-12 09:08:00,1
2019-09-13 00:35:00,1
2019-09-13 05:10:00,1
2019-09-14 08:54:00,1
2019-09-14 17:55:00,1
2019-09-15 00:01:00,1
2019-09-15 06:09:00,1
2019-09-15 07:01:00,1
2019-09-15 08:04:00,1
2019-09-16 12:47:00,1
2019-09-17 03:04:00,1
2019-09-17 10:29:00,1
2019-09-17 15:12:00,1
2019-09-17 19:23:00,1
2019-09-18 11:39:00,1
2019-09-18 14:10:00,1
2019-09-18 14:21:00,1
2019-09-18 19:17:00,1
2019-09-18 20:14:00,2
2019-09-18 22:05:00,1
2019-09-19 01:08:00,1
2019-09-19 09:13:00,1
2019-09-19 15:50:00,1
2019-09-20 00:38:00,1
2019-09-20 01:54:00,1
2019-09-20 08:55:00,1
2019-09-21 12:27:00,1
2019-09-21 13:08:00,1
2019-09-23 04:16:00,1
2019-09-23 05:56:00,1
2019-09-23 19:08:00,1
2019-09-23 21:30:00,1
2019-09-24 06:34:00,1
2019-09-24 16:01:00,1
2019-09-25 06:12:00,1
2019-09-25 07:30:00,1
2019-09-25 12:10:00,1
2019-09-25 18:44:00,1
2019-09-26 05:04:00,1
2019-09-26 06:04:00,1
2019-09-26 08:42:00,1
2019-09-26 18:49:00,1
2019-09-27 08:08:00,1
2019-09-27 14:21:00,1
2019-09-27 23:59:00,1
2019-09-28 04:50:00,1
2019-09-28 14:19:00,1
2019-09-29 18:58:00,1
2019-09-29 22:27:00,1
2019-09-29 23:26:00,1
2019-09-30 01:48:00,1
2019-09-30 03:56:00,1
2019-09-30 07:55:00,1
2019-09-30 10:27:00,1
2019-10-02 03:36:00,1
2019-10-02 06:59:00,1
2019-10-02 09:39:00,1
2019-10-03 12:59:00,1
2019-10-03 14:25:00,1
2019-10-03 15:16:00,1
2019-10-03 18:05:00,1
2019-10-03 20:09:00,1
2019-10-03 21:33:00,1
2019-10-03 23:48:00,1
2019-10-03 23:58:00,1
2019-10-04 03:46:00,1
2019-10-04 04:11:00,1
2019-10-04 12:15:00,1
2019-10-04 16:33:00,1
2019-10-07 07:12:00,1
2019-10-08 01:30:00,1
2019-10-08 03:36:00,1
2019-10-08 19:47:00,1
2019-10-09 11:37:00,1
2019-10-09 17:10:00,1
2019-10-10 05:48:00,1
2019-10-10 08:45:00,1
2019-10-11 02:54:00,1
2019-10-11 12:46:00,1
2019-10-12 14:46:00,1
2019-10-12 16:52:00,1
2019-10-13 01:58:00,1
2019-10-13 12:51:00,1
2019-10-14 01:11:00,1
2019-10-14 03:32:00,1
2019-10-15 07:23:00,1
2019-10-15 11:24:00,1
2019-10-16 07:08:00,1
2019-10-16 21:01:00,1
2019-10-16 23:14:00,1
2019-10-17 05:09:00,1
2019-10-17 07:52:00,1
2019-10-17 12:51:00,1
2019-10-17 17:47:00,1
2019-10-19 09:59:00,1
2019-10-19 17:38:00,1
2019-10-20 04:48:00,1
2019-10-20 12:17:00,1
2019-10-21 00:23:00,1
2019-10-21 02:35:00,1
2019-10-21 08:08:00,1
2019-10-21 14:26:00,1
2019-10-21 22:43:00,1
2019-10-22 03:55:00,1
2019-10-22 05:40:00,1
2019-10-22 05:56:00,1
2019-10-22 10:09:00,1
2019-10-22 15:33:00,1
2019-10-22 19:53:00,1
2019-10-22 20:26:00,1
2019-10-22 20:48:00,1
2019-10-22 21:01:00,1
2019-10-22 21:12:00,1
2019-10-22 21:33:00,1
2019-10-22 23:59:00,1
2019-10-23 00:11:00,1
2019-10-23 08:56:00,1
2019-10-23 14:55:00,1
2019-10-23 20:46:00,1
2019-10-23 22:48:00,1
2019-10-24 00:53:00,1
2019-10-24 09:48:00,1
2019-10-24 11:27:00,1
2019-10-24 13:37:00,1
2019-10-24 15:16:00,1
2019-10-24 16:35:00,1
2019-10-24 18:55:00,1
2019-10-24 21:28:00,1
2019-10-24 21:38:00,1
2019-10-25 00:13:00,1
2019-10-25 00:36:00,1
2019-10-25 00:46:00,1
2019-10-25 02:19:00,1
2019-10-25 16:47:00,1
2019-10-25 22:09:00,1
2019-10-26 05:15:00,1
2019-10-26 18:04:00,1
