1303,"SELECT sp.ra, sp.dec, sp.z, sp.psfmag_i-sp.extinction_i AS mag_i, peak, integr FROM SpecPhoto AS sp INNER JOIN FIRST AS f ON sp.objid = f.objid WHERE class = #"
2019-01-26 13:32:00,1
2019-01-26 19:36:00,1
2019-01-26 20:53:00,1
2019-01-27 14:42:00,1
2019-01-27 22:24:00,1
2019-01-28 06:57:00,1
2019-01-28 14:39:00,1
2019-01-28 15:18:00,1
2019-01-28 22:51:00,1
2019-01-29 00:45:00,1
2019-01-29 00:59:00,1
2019-01-29 01:22:00,1
2019-01-29 02:56:00,1
2019-01-29 21:17:00,1
2019-01-29 22:45:00,1
2019-01-30 07:38:00,1
2019-01-30 09:33:00,1
2019-01-30 16:24:00,1
2019-01-30 16:25:00,2
2019-01-30 16:26:00,2
2019-01-30 16:27:00,3
2019-01-30 16:28:00,4
2019-01-30 16:29:00,4
2019-01-30 16:31:00,1
2019-01-30 16:32:00,4
2019-01-30 16:34:00,1
2019-01-30 16:35:00,1
2019-01-30 23:12:00,1
2019-01-31 22:11:00,1
2019-02-01 10:24:00,1
2019-02-01 19:12:00,1
2019-02-01 21:56:00,1
2019-02-02 07:32:00,1
2019-02-02 08:27:00,1
2019-02-02 15:24:00,1
2019-02-04 02:38:00,1
2019-02-04 13:42:00,1
2019-02-04 14:14:00,1
2019-02-04 14:44:00,1
2019-02-05 19:34:00,1
2019-02-06 10:59:00,1
2019-02-06 18:22:00,1
2019-02-06 23:19:00,1
2019-02-08 01:34:00,1
2019-02-08 05:06:00,1
2019-02-08 08:20:00,1
2019-02-08 17:42:00,1
2019-02-08 18:15:00,1
2019-02-08 22:22:00,1
2019-02-09 15:38:00,1
2019-02-09 17:37:00,1
2019-02-10 05:56:00,1
2019-02-10 09:46:00,1
2019-02-10 18:39:00,1
2019-02-11 05:04:00,1
2019-02-11 05:53:00,1
2019-02-11 11:22:00,1
2019-02-11 22:13:00,1
2019-02-11 22:17:00,1
2019-02-11 23:18:00,1
2019-02-11 23:52:00,1
2019-02-12 15:58:00,1
2019-02-12 19:30:00,1
2019-02-12 19:44:00,1
2019-02-13 13:07:00,1
2019-02-14 11:15:00,1
2019-02-14 12:18:00,1
2019-02-14 12:45:00,1
2019-02-14 12:59:00,1
2019-02-14 18:54:00,1
2019-02-15 18:04:00,1
2019-02-15 18:50:00,1
2019-02-16 01:07:00,1
2019-02-16 02:19:00,1
2019-02-17 02:15:00,1
2019-02-17 03:47:00,1
2019-02-17 15:09:00,1
2019-02-17 22:32:00,1
2019-02-18 03:09:00,1
2019-02-18 10:24:00,1
2019-02-18 23:29:00,1
2019-02-19 00:03:00,1
2019-02-20 00:57:00,1
2019-02-20 06:14:00,1
2019-02-20 12:08:00,1
2019-02-21 13:45:00,1
2019-02-22 05:57:00,1
2019-02-22 10:54:00,1
2019-02-22 21:19:00,1
2019-02-23 16:02:00,5
2019-02-23 16:03:00,1
2019-02-23 16:04:00,2
2019-02-23 18:40:00,1
2019-02-24 14:06:00,1
2019-02-24 16:01:00,1
2019-02-24 17:46:00,1
2019-02-25 08:14:00,1
2019-02-25 09:44:00,1
2019-02-25 09:45:00,1
2019-02-25 10:45:00,1
2019-02-25 10:47:00,1
2019-02-25 18:47:00,1
2019-02-26 02:07:00,1
2019-02-26 07:53:00,1
2019-02-27 00:27:00,1
2019-02-27 19:57:00,1
2019-02-27 22:36:00,1
2019-02-27 23:30:00,1
2019-02-28 02:27:00,1
2019-02-28 03:37:00,1
2019-02-28 08:41:00,1
2019-03-01 02:38:00,1
2019-03-01 04:35:00,1
2019-03-01 10:10:00,1
2019-03-01 13:05:00,1
2019-03-01 17:03:00,1
2019-03-01 21:54:00,1
2019-03-01 22:37:00,1
2019-03-01 23:59:00,1
2019-03-02 00:00:00,2
2019-03-02 01:07:00,1
2019-03-02 02:14:00,1
2019-03-02 20:48:00,1
2019-03-02 22:43:00,1
2019-03-03 03:00:00,1
2019-03-04 00:04:00,1
2019-03-04 12:46:00,1
2019-03-05 07:37:00,1
2019-03-05 09:00:00,1
2019-03-06 04:59:00,1
2019-03-06 07:44:00,1
2019-03-06 11:17:00,1
2019-03-06 14:47:00,1
2019-03-07 08:29:00,1
2019-03-07 09:02:00,1
2019-03-07 13:52:00,1
2019-03-08 12:53:00,1
2019-03-08 14:24:00,1
2019-03-08 19:05:00,1
2019-03-08 20:37:00,1
2019-03-08 21:30:00,1
2019-03-08 23:16:00,1
2019-03-09 11:45:00,1
2019-03-09 13:45:00,1
2019-03-09 13:46:00,1
2019-03-09 13:47:00,1
2019-03-09 14:49:00,1
2019-03-09 18:25:00,1
2019-03-10 02:45:00,1
2019-03-10 12:46:00,1
2019-03-10 18:14:00,1
2019-03-11 03:12:00,1
2019-03-11 08:35:00,1
2019-03-11 16:51:00,1
2019-03-12 07:46:00,1
2019-03-13 03:41:00,1
2019-03-13 08:49:00,1
2019-03-13 11:40:00,1
2019-03-14 06:01:00,1
2019-03-14 12:59:00,1
2019-03-14 22:07:00,1
2019-03-14 22:08:00,1
2019-03-14 22:09:00,1
2019-03-14 22:15:00,2
2019-03-14 22:18:00,1
2019-03-15 01:31:00,1
2019-03-15 03:42:00,1
2019-03-15 18:42:00,1
2019-03-16 17:08:00,1
2019-03-17 11:00:00,1
2019-03-17 11:01:00,1
2019-03-18 00:38:00,1
2019-03-19 03:23:00,1
2019-03-19 10:53:00,1
2019-03-19 14:32:00,3
2019-03-19 14:33:00,2
2019-03-19 14:34:00,3
2019-03-19 14:36:00,2
2019-03-19 14:37:00,3
2019-03-19 14:38:00,3
2019-03-19 14:39:00,3
2019-03-19 14:40:00,3
2019-03-19 14:44:00,1
2019-03-19 18:26:00,1
2019-03-19 22:57:00,1
2019-03-20 06:56:00,1
2019-03-20 10:08:00,1
2019-03-20 13:50:00,1
2019-03-20 18:59:00,1
2019-03-20 19:43:00,1
2019-03-21 11:31:00,1
2019-03-21 21:02:00,1
2019-03-22 09:55:00,1
2019-03-23 04:50:00,1
2019-03-23 12:42:00,1
2019-03-23 13:47:00,1
2019-03-24 15:02:00,1
2019-03-25 02:10:00,1
2019-03-25 06:05:00,1
2019-03-25 10:25:00,1
2019-03-25 11:00:00,1
2019-03-26 06:51:00,1
2019-03-26 09:46:00,1
2019-03-26 10:50:00,1
2019-03-26 11:08:00,1
2019-03-26 12:21:00,1
2019-03-26 12:35:00,1
2019-03-26 12:49:00,1
2019-03-26 19:56:00,1
2019-03-26 20:32:00,1
2019-03-26 21:00:00,1
2019-03-27 07:12:00,1
2019-03-27 19:20:00,1
2019-03-28 16:18:00,1
2019-03-28 18:35:00,1
2019-03-28 20:01:00,1
2019-03-28 22:51:00,1
2019-03-28 23:21:00,1
2019-03-29 00:36:00,1
2019-03-30 00:45:00,1
2019-03-30 02:25:00,1
2019-03-30 07:13:00,1
2019-03-30 09:49:00,1
2019-03-30 11:24:00,1
2019-03-31 13:35:00,1
2019-03-31 21:19:00,1
2019-04-01 06:26:00,1
2019-04-01 18:27:00,1
2019-04-01 20:06:00,1
2019-04-01 20:54:00,1
2019-04-01 22:22:00,1
2019-04-02 10:46:00,1
2019-04-04 13:33:00,1
2019-04-04 20:15:00,1
2019-04-04 23:02:00,1
2019-04-05 00:07:00,1
2019-04-05 01:26:00,1
2019-04-05 02:03:00,1
2019-04-05 17:57:00,1
2019-04-05 18:46:00,1
2019-04-05 20:28:00,1
2019-04-06 04:29:00,1
2019-04-06 10:33:00,1
2019-04-07 02:45:00,1
2019-04-07 14:42:00,1
2019-04-07 14:47:00,1
2019-04-07 16:45:00,1
2019-04-07 22:59:00,1
2019-04-07 23:15:00,1
2019-04-08 04:10:00,1
2019-04-08 04:39:00,2
2019-04-08 05:22:00,1
2019-04-08 10:14:00,1
2019-04-08 13:55:00,1
2019-04-08 15:40:00,1
2019-04-08 18:52:00,1
2019-04-09 01:49:00,1
2019-04-09 02:41:00,1
2019-04-09 02:42:00,1
2019-04-09 02:43:00,1
2019-04-09 03:42:00,1
2019-04-09 03:43:00,1
2019-04-09 12:30:00,1
2019-04-09 14:28:00,1
2019-04-09 21:23:00,2
2019-04-09 21:27:00,1
2019-04-10 00:39:00,1
2019-04-10 03:41:00,1
2019-04-10 18:02:00,1
2019-04-10 18:03:00,2
2019-04-10 18:04:00,2
2019-04-11 03:40:00,1
2019-04-13 15:45:00,1
2019-04-13 15:47:00,1
2019-04-13 21:03:00,1
2019-04-14 12:41:00,1
2019-04-14 15:03:00,1
2019-04-15 10:40:00,1
2019-04-15 13:06:00,1
2019-04-15 22:47:00,1
2019-04-16 07:02:00,1
2019-04-16 07:48:00,1
2019-04-16 18:48:00,1
2019-04-17 12:37:00,1
2019-04-17 13:28:00,1
2019-04-17 15:21:00,1
2019-04-18 00:57:00,1
2019-04-18 05:56:00,1
2019-04-18 09:45:00,1
2019-04-18 09:57:00,1
2019-04-18 10:33:00,1
2019-04-18 14:50:00,1
2019-04-18 21:58:00,1
2019-04-18 22:03:00,1
2019-04-19 01:27:00,1
2019-04-19 01:45:00,1
2019-04-19 10:05:00,1
2019-04-19 14:24:00,1
2019-04-19 15:38:00,1
2019-04-19 19:10:00,1
2019-04-20 14:06:00,1
2019-04-20 21:22:00,1
2019-04-20 22:02:00,1
2019-04-21 09:04:00,1
2019-04-21 09:25:00,1
2019-04-21 10:32:00,1
2019-04-21 12:26:00,1
2019-04-21 13:06:00,1
2019-04-21 23:17:00,1
2019-04-21 23:19:00,1
2019-04-22 10:09:00,1
2019-04-22 14:32:00,1
2019-04-22 23:18:00,1
2019-04-23 10:42:00,1
2019-04-24 00:29:00,1
2019-04-24 11:44:00,1
2019-04-24 15:48:00,1
2019-04-24 20:58:00,1
2019-04-25 10:07:00,1
2019-04-27 00:32:00,1
2019-04-27 07:31:00,1
2019-04-27 17:20:00,1
2019-04-28 03:32:00,1
2019-04-28 05:49:00,1
2019-04-28 08:47:00,1
2019-04-28 10:00:00,1
2019-04-28 13:22:00,1
2019-04-28 15:47:00,1
2019-04-28 19:41:00,1
2019-04-29 06:28:00,1
2019-04-29 19:13:00,1
2019-04-30 10:41:00,1
2019-04-30 17:14:00,1
2019-04-30 21:46:00,1
2019-05-01 04:59:00,1
2019-05-01 15:11:00,1
2019-05-02 04:29:00,1
2019-05-02 11:27:00,1
2019-05-02 15:09:00,1
2019-05-02 21:07:00,1
2019-05-03 04:44:00,1
2019-05-03 08:52:00,1
2019-05-03 14:49:00,1
2019-05-03 17:29:00,1
2019-05-04 00:12:00,1
2019-05-04 08:13:00,1
2019-05-05 01:08:00,1
2019-05-06 07:54:00,1
2019-05-06 08:44:00,1
2019-05-06 10:02:00,1
2019-05-06 15:38:00,1
2019-05-06 16:04:00,1
2019-05-06 23:32:00,1
2019-05-08 12:05:00,1
2019-05-08 16:16:00,1
2019-05-08 23:45:00,1
2019-05-10 14:28:00,1
2019-05-10 16:26:00,1
2019-05-10 23:33:00,1
2019-05-11 06:12:00,1
2019-05-11 07:38:00,1
2019-05-12 04:19:00,1
2019-05-12 09:09:00,1
2019-05-12 11:38:00,1
2019-05-12 12:48:00,1
2019-05-13 03:22:00,1
2019-05-13 08:43:00,1
2019-05-13 12:34:00,1
2019-05-13 23:13:00,1
2019-05-14 08:19:00,1
2019-05-14 22:10:00,1
2019-05-15 16:08:00,1
2019-05-15 23:04:00,1
2019-05-16 00:00:00,1
2019-05-16 00:48:00,1
2019-05-17 04:44:00,1
2019-05-17 05:01:00,1
2019-05-17 05:24:00,1
2019-05-18 20:37:00,1
2019-05-18 21:26:00,1
2019-05-18 22:04:00,1
2019-05-19 11:18:00,1
2019-05-19 14:31:00,1
2019-05-19 17:08:00,1
2019-05-19 19:08:00,1
2019-05-20 18:14:00,1
2019-05-20 19:22:00,1
2019-05-21 03:21:00,1
2019-05-21 03:25:00,1
2019-05-21 09:31:00,1
2019-05-21 09:33:00,1
2019-05-21 11:01:00,1
2019-05-21 11:30:00,1
2019-05-23 04:25:00,1
2019-05-23 07:11:00,1
2019-05-23 10:04:00,1
2019-05-23 13:14:00,1
2019-05-23 13:36:00,1
2019-05-23 17:01:00,1
2019-05-23 20:21:00,1
2019-05-24 02:17:00,1
2019-05-24 08:12:00,1
2019-05-24 08:58:00,1
2019-05-24 13:35:00,1
2019-05-24 17:35:00,1
2019-05-24 19:52:00,1
2019-05-24 20:42:00,1
2019-05-24 21:22:00,1
2019-05-24 23:58:00,1
2019-05-25 03:16:00,1
2019-05-27 12:19:00,1
2019-05-28 21:22:00,1
2019-05-29 04:40:00,1
2019-05-29 13:04:00,1
2019-05-29 17:02:00,1
2019-05-30 00:52:00,3
2019-05-30 00:53:00,3
2019-05-30 03:30:00,1
2019-05-30 16:54:00,1
2019-05-30 18:53:00,1
2019-05-30 21:56:00,1
2019-05-31 02:02:00,1
2019-05-31 13:54:00,1
2019-05-31 16:36:00,1
2019-06-01 06:47:00,1
2019-06-01 16:55:00,1
2019-06-01 18:58:00,1
2019-06-02 11:44:00,1
2019-06-02 15:32:00,1
2019-06-03 01:18:00,1
2019-06-03 09:17:00,1
2019-06-03 17:29:00,1
2019-06-04 09:00:00,1
2019-06-04 17:35:00,1
2019-06-04 23:42:00,1
2019-06-05 02:39:00,1
2019-06-05 09:01:00,1
2019-06-05 18:30:00,1
2019-06-06 08:16:00,1
2019-06-07 11:43:00,1
2019-06-07 15:22:00,1
2019-06-08 00:13:00,1
2019-06-08 14:37:00,3
2019-06-09 07:00:00,1
2019-06-09 07:01:00,1
2019-06-09 11:11:00,2
2019-06-09 11:12:00,2
2019-06-09 17:06:00,1
2019-06-09 21:10:00,1
2019-06-10 14:56:00,1
2019-06-10 18:53:00,1
2019-06-10 18:54:00,2
2019-06-10 18:55:00,1
2019-06-10 19:38:00,1
2019-06-10 21:08:00,1
2019-06-10 21:25:00,1
2019-06-11 00:58:00,1
2019-06-11 01:01:00,1
2019-06-11 01:51:00,1
2019-06-11 02:52:00,1
2019-06-11 13:05:00,1
2019-06-11 15:09:00,1
2019-06-11 15:47:00,1
2019-06-11 16:50:00,1
2019-06-12 09:14:00,5
2019-06-12 16:22:00,1
2019-06-13 02:19:00,1
2019-06-13 04:42:00,1
2019-06-13 22:05:00,1
2019-06-14 06:44:00,1
2019-06-14 07:48:00,1
2019-06-14 13:31:00,1
2019-06-14 19:47:00,1
2019-06-14 23:09:00,1
2019-06-15 09:31:00,1
2019-06-15 10:41:00,1
2019-06-15 12:25:00,1
2019-06-15 20:16:00,1
2019-06-16 04:05:00,1
2019-06-16 08:02:00,1
2019-06-16 17:02:00,1
2019-06-16 17:41:00,1
2019-06-16 19:59:00,1
2019-06-16 20:04:00,1
2019-06-17 09:57:00,1
2019-06-17 10:43:00,1
2019-06-18 07:45:00,1
2019-06-18 11:55:00,1
2019-06-18 13:18:00,1
2019-06-18 14:53:00,1
2019-06-18 23:29:00,1
2019-06-19 07:41:00,1
2019-06-19 08:21:00,1
2019-06-19 13:03:00,1
2019-06-19 18:14:00,1
2019-06-19 21:39:00,1
2019-06-19 23:13:00,1
2019-06-20 00:14:00,1
2019-06-20 02:02:00,1
2019-06-20 04:00:00,1
2019-06-20 04:50:00,1
2019-06-21 00:55:00,1
2019-06-21 04:20:00,1
2019-06-21 06:42:00,1
2019-06-21 22:56:00,1
2019-06-22 19:24:00,1
2019-06-23 16:42:00,1
2019-06-23 17:52:00,1
2019-06-23 23:05:00,1
2019-06-24 11:24:00,1
2019-06-24 12:51:00,1
2019-06-24 18:15:00,1
2019-06-24 19:16:00,1
2019-06-24 21:09:00,1
2019-06-25 01:48:00,1
2019-06-25 07:01:00,1
2019-06-25 07:07:00,1
2019-06-25 09:45:00,1
2019-06-25 12:36:00,1
2019-06-25 14:12:00,1
2019-06-25 16:29:00,1
2019-06-25 18:19:00,1
2019-06-25 19:26:00,1
2019-06-26 00:08:00,1
2019-06-27 02:43:00,1
2019-06-27 08:37:00,1
2019-06-27 09:59:00,1
2019-06-27 20:25:00,1
2019-06-27 20:26:00,1
2019-06-28 04:31:00,1
2019-06-28 13:12:00,1
2019-06-28 14:15:00,1
2019-06-29 05:37:00,1
2019-06-29 05:59:00,1
2019-06-29 10:35:00,1
2019-06-29 15:09:00,1
2019-06-30 00:34:00,1
2019-06-30 05:23:00,1
2019-06-30 22:47:00,1
2019-06-30 23:23:00,1
2019-07-01 04:05:00,1
2019-07-01 08:48:00,1
2019-07-01 14:26:00,1
2019-07-01 21:29:00,1
2019-07-02 01:34:00,1
2019-07-02 08:38:00,1
2019-07-02 15:16:00,1
2019-07-02 15:21:00,1
2019-07-02 18:45:00,1
2019-07-02 19:48:00,1
2019-07-02 23:47:00,1
2019-07-02 23:56:00,1
2019-07-03 03:42:00,1
2019-07-03 09:59:00,1
2019-07-03 14:25:00,1
2019-07-03 15:06:00,1
2019-07-03 22:03:00,1
2019-07-04 19:32:00,1
2019-07-05 07:06:00,1
2019-07-05 14:21:00,1
2019-07-05 15:55:00,1
2019-07-05 22:00:00,1
2019-07-06 00:58:00,1
2019-07-06 02:31:00,1
2019-07-06 08:24:00,1
2019-07-06 12:01:00,1
2019-07-07 00:25:00,1
2019-07-07 11:21:00,1
2019-07-07 21:30:00,1
2019-07-07 21:45:00,1
2019-07-08 05:32:00,1
2019-07-08 13:45:00,1
2019-07-08 17:56:00,1
2019-07-08 18:37:00,1
2019-07-09 01:32:00,1
2019-07-09 19:20:00,1
2019-07-09 19:21:00,1
2019-07-09 19:22:00,1
2019-07-09 19:57:00,1
2019-07-09 19:58:00,2
2019-07-09 19:59:00,1
2019-07-09 20:02:00,1
2019-07-10 23:04:00,1
2019-07-11 13:18:00,1
2019-07-11 17:50:00,1
2019-07-11 19:51:00,1
2019-07-11 21:01:00,1
2019-07-12 03:24:00,1
2019-07-12 11:03:00,1
2019-07-12 16:13:00,1
2019-07-12 19:17:00,1
2019-07-12 19:59:00,1
2019-07-12 21:51:00,1
2019-07-13 04:57:00,1
2019-07-13 07:08:00,1
2019-07-14 02:11:00,1
2019-07-14 08:18:00,1
2019-07-14 08:27:00,1
2019-07-14 16:43:00,1
2019-07-14 18:15:00,1
2019-07-16 00:44:00,1
2019-07-16 07:23:00,1
2019-07-16 12:23:00,1
2019-07-17 07:24:00,1
2019-07-17 08:09:00,1
2019-07-17 10:16:00,1
2019-07-17 10:18:00,1
2019-07-17 10:22:00,1
2019-07-17 10:30:00,2
2019-07-17 13:23:00,1
2019-07-18 10:28:00,1
2019-07-18 20:24:00,1
2019-07-18 22:39:00,1
2019-07-18 23:56:00,1
2019-07-19 02:37:00,1
2019-07-19 08:42:00,1
2019-07-19 13:10:00,1
2019-07-19 14:25:00,1
2019-07-19 22:58:00,1
2019-07-20 00:25:00,1
2019-07-20 00:40:00,1
2019-07-20 04:28:00,1
2019-07-20 04:35:00,1
2019-07-20 05:34:00,1
2019-07-20 23:51:00,1
2019-07-21 06:57:00,1
2019-07-21 18:53:00,1
2019-07-22 05:34:00,1
2019-07-22 07:28:00,1
2019-07-22 12:31:00,1
2019-07-22 16:51:00,1
2019-07-23 00:40:00,1
2019-07-23 04:52:00,1
2019-07-23 05:25:00,1
2019-07-23 06:33:00,1
2019-07-23 15:17:00,1
2019-07-24 02:15:00,1
2019-07-24 08:18:00,1
2019-07-25 05:15:00,1
2019-07-25 13:31:00,1
2019-07-25 16:35:00,1
2019-07-25 23:10:00,1
2019-07-26 09:59:00,1
2019-07-26 10:04:00,1
2019-07-27 14:07:00,1
2019-07-27 22:35:00,1
2019-07-28 02:29:00,1
2019-07-28 04:06:00,1
2019-07-28 06:21:00,1
2019-07-28 08:37:00,1
2019-07-28 19:31:00,1
2019-07-28 20:32:00,1
2019-07-28 22:06:00,1
2019-07-29 03:26:00,1
2019-07-29 07:29:00,1
2019-07-29 09:56:00,1
2019-07-29 10:37:00,1
2019-07-29 11:40:00,1
2019-07-29 20:38:00,1
2019-07-29 21:00:00,1
2019-07-30 02:16:00,1
2019-07-30 03:41:00,1
2019-07-30 04:58:00,1
2019-07-30 06:15:00,1
2019-07-31 00:15:00,1
2019-07-31 05:26:00,1
2019-07-31 10:13:00,1
2019-07-31 12:19:00,1
2019-08-03 17:05:00,1
2019-08-04 18:01:00,2
2019-08-04 21:39:00,1
2019-08-04 22:00:00,1
2019-08-04 23:34:00,1
2019-08-05 04:30:00,1
2019-08-05 15:20:00,1
2019-08-05 21:16:00,1
2019-08-06 05:13:00,1
2019-08-07 05:45:00,1
2019-08-07 13:50:00,1
2019-08-08 19:13:00,1
2019-08-09 07:04:00,1
2019-08-09 14:54:00,1
2019-08-09 17:50:00,1
2019-08-11 00:29:00,1
2019-08-12 15:37:00,1
2019-08-12 16:54:00,1
2019-08-13 15:38:00,1
2019-08-13 17:54:00,1
2019-08-13 19:02:00,1
2019-08-13 19:04:00,1
2019-08-14 10:26:00,1
2019-08-14 14:37:00,1
2019-08-14 22:53:00,1
2019-08-15 03:56:00,1
2019-08-15 13:36:00,1
2019-08-16 07:09:00,1
2019-08-16 07:17:00,1
2019-08-16 13:26:00,1
2019-08-16 15:48:00,1
2019-08-16 16:23:00,1
2019-08-16 23:52:00,1
2019-08-17 09:19:00,1
2019-08-18 13:36:00,2
2019-08-18 13:37:00,1
2019-08-18 22:45:00,1
2019-08-20 23:09:00,1
2019-08-21 04:43:00,1
2019-08-21 04:50:00,1
2019-08-21 21:21:00,1
2019-08-22 01:10:00,1
2019-08-22 07:43:00,1
2019-08-22 16:35:00,1
2019-08-22 23:02:00,1
2019-08-23 01:45:00,1
2019-08-23 08:04:00,1
2019-08-23 14:27:00,1
2019-08-23 15:15:00,1
2019-08-24 12:07:00,1
2019-08-24 14:52:00,1
2019-08-25 01:23:00,1
2019-08-25 05:40:00,1
2019-08-25 18:19:00,1
2019-08-26 21:31:00,1
2019-08-27 11:43:00,1
2019-08-27 18:48:00,1
2019-08-27 20:28:00,1
2019-08-27 22:42:00,1
2019-08-28 00:07:00,1
2019-08-29 07:26:00,1
2019-08-30 05:30:00,1
2019-08-30 09:01:00,1
2019-08-30 09:48:00,1
2019-08-30 10:58:00,1
2019-08-30 14:36:00,2
2019-08-30 14:38:00,1
2019-08-31 08:43:00,1
2019-08-31 13:54:00,1
2019-08-31 17:48:00,1
2019-09-01 05:17:00,1
2019-09-01 07:47:00,1
2019-09-01 08:44:00,1
2019-09-01 14:49:00,1
2019-09-01 17:13:00,1
2019-09-02 10:03:00,1
2019-09-02 18:12:00,1
2019-09-03 00:48:00,1
2019-09-03 16:32:00,1
2019-09-04 17:27:00,1
2019-09-05 01:36:00,1
2019-09-05 22:38:00,1
2019-09-05 23:53:00,1
2019-09-06 06:40:00,1
2019-09-06 22:01:00,1
2019-09-07 10:41:00,1
2019-09-07 17:35:00,1
2019-09-07 18:38:00,1
2019-09-08 07:06:00,1
2019-09-08 10:19:00,1
2019-09-08 15:51:00,1
2019-09-10 08:00:00,1
2019-09-10 11:40:00,2
2019-09-11 12:55:00,1
2019-09-11 22:25:00,1
2019-09-12 07:43:00,1
2019-09-12 09:06:00,1
2019-09-12 09:28:00,1
2019-09-12 11:45:00,1
2019-09-13 00:39:00,1
2019-09-13 05:13:00,1
2019-09-14 11:42:00,1
2019-09-14 17:56:00,1
2019-09-15 00:03:00,1
2019-09-15 06:01:00,1
2019-09-15 07:05:00,1
2019-09-15 08:05:00,1
2019-09-16 13:37:00,1
2019-09-17 03:14:00,2
2019-09-17 03:20:00,1
2019-09-17 10:23:00,1
2019-09-17 15:09:00,1
2019-09-17 21:14:00,1
2019-09-18 02:54:00,1
2019-09-18 11:36:00,1
2019-09-18 14:07:00,1
2019-09-18 14:18:00,1
2019-09-18 19:13:00,1
2019-09-18 19:38:00,1
2019-09-18 22:02:00,1
2019-09-19 05:28:00,1
2019-09-19 09:09:00,1
2019-09-19 15:45:00,1
2019-09-19 15:56:00,1
2019-09-19 16:33:00,1
2019-09-20 00:35:00,1
2019-09-20 01:52:00,1
2019-09-20 03:34:00,1
2019-09-20 05:05:00,1
2019-09-20 07:38:00,1
2019-09-20 08:53:00,1
2019-09-20 16:26:00,1
2019-09-21 01:11:00,1
2019-09-21 10:17:00,1
2019-09-21 13:06:00,1
2019-09-21 20:04:00,1
2019-09-22 00:53:00,1
2019-09-22 05:25:00,1
2019-09-22 08:54:00,1
2019-09-22 09:15:00,1
2019-09-22 12:22:00,1
2019-09-22 14:17:00,1
2019-09-22 16:40:00,1
2019-09-23 01:55:00,1
2019-09-23 05:04:00,1
2019-09-23 05:12:00,1
2019-09-23 05:53:00,1
2019-09-23 11:37:00,1
2019-09-23 19:06:00,1
2019-09-25 07:05:00,1
2019-09-25 07:23:00,1
2019-09-25 09:18:00,1
2019-09-26 05:01:00,1
2019-09-26 06:19:00,1
2019-09-26 19:36:00,1
2019-09-27 15:08:00,1
2019-09-27 21:41:00,1
2019-09-28 00:01:00,1
2019-09-28 04:53:00,1
2019-09-28 12:33:00,1
2019-09-28 14:47:00,1
2019-09-28 21:05:00,1
2019-09-29 02:30:00,1
2019-09-29 08:23:00,1
2019-09-29 18:53:00,1
2019-09-29 22:24:00,1
2019-09-29 23:42:00,1
2019-09-30 01:50:00,1
2019-09-30 07:59:00,1
2019-09-30 11:16:00,1
2019-10-01 06:40:00,1
2019-10-01 14:33:00,1
2019-10-02 06:56:00,1
2019-10-02 09:53:00,1
2019-10-03 15:13:00,1
2019-10-03 18:48:00,1
2019-10-03 21:43:00,1
2019-10-04 01:04:00,1
