428,"SELECT TOP # plateifu, mangaid, objra, objdec, mngtarg1, drp3qual FROM mangadrpall WHERE ( (mngtarg1 ! = # or mngtarg3 ! = #) and (drp3qual < #) and (ifudesignsize = #) and (nsa_z > #) and (nsa_elpetro_mass > #e1#) )"
2019-03-06 13:55:00,1
2019-03-06 15:42:00,1
2019-03-06 17:20:00,1
2019-03-07 00:04:00,1
2019-03-07 11:00:00,1
2019-03-09 01:39:00,1
2019-03-09 15:41:00,1
2019-03-10 13:27:00,1
2019-03-10 17:09:00,1
2019-03-11 17:16:00,1
2019-03-12 15:23:00,1
2019-03-12 22:49:00,1
2019-03-13 08:34:00,1
2019-03-13 09:30:00,1
2019-03-14 17:18:00,1
2019-03-14 22:18:00,1
2019-03-15 01:37:00,1
2019-03-15 02:37:00,1
2019-03-15 05:49:00,1
2019-03-15 15:25:00,1
2019-03-15 20:11:00,1
2019-03-16 15:55:00,1
2019-03-17 07:49:00,1
2019-03-19 17:35:00,2
2019-03-20 17:39:00,1
2019-03-20 21:18:00,1
2019-03-21 17:56:00,1
2019-03-25 13:17:00,1
2019-03-26 08:12:00,1
2019-03-26 12:21:00,1
2019-03-27 03:35:00,1
2019-03-27 19:54:00,1
2019-03-27 20:25:00,1
2019-03-30 06:37:00,1
2019-03-31 18:40:00,1
2019-03-31 18:59:00,2
2019-04-02 13:02:00,1
2019-04-04 09:11:00,1
2019-04-05 20:16:00,1
2019-04-07 15:09:00,1
2019-04-07 23:59:00,1
2019-04-08 22:43:00,1
2019-04-09 02:57:00,1
2019-04-11 01:44:00,1
2019-04-13 08:26:00,1
2019-04-14 05:36:00,1
2019-04-14 18:44:00,1
2019-04-14 20:14:00,1
2019-04-15 20:02:00,1
2019-04-16 03:44:00,1
2019-04-16 07:08:00,1
2019-04-16 09:07:00,1
2019-04-17 02:17:00,1
2019-04-18 17:18:00,1
2019-04-19 00:27:00,1
2019-04-21 18:39:00,1
2019-04-22 11:58:00,1
2019-04-22 12:45:00,1
2019-04-22 16:46:00,1
2019-04-24 00:23:00,1
2019-04-24 03:09:00,1
2019-04-25 23:34:00,1
2019-04-26 04:19:00,1
2019-04-26 06:39:00,1
2019-04-26 09:45:00,1
2019-04-27 01:36:00,1
2019-04-27 11:56:00,1
2019-04-27 18:02:00,1
2019-04-27 20:37:00,1
2019-04-28 11:02:00,1
2019-04-28 12:04:00,1
2019-04-28 13:32:00,1
2019-04-29 09:15:00,1
2019-04-30 09:23:00,1
2019-04-30 11:45:00,1
2019-04-30 14:58:00,1
2019-05-02 23:28:00,1
2019-05-04 01:06:00,1
2019-05-04 13:04:00,1
2019-05-05 17:16:00,1
2019-05-06 20:07:00,1
2019-05-08 10:14:00,1
2019-05-08 12:58:00,1
2019-05-11 19:50:00,1
2019-05-13 09:09:00,1
2019-05-13 10:54:00,1
2019-05-14 01:43:00,1
2019-05-14 09:10:00,1
2019-05-15 12:12:00,1
2019-05-15 14:17:00,1
2019-05-17 02:15:00,1
2019-05-19 12:37:00,1
2019-05-21 06:17:00,1
2019-05-21 13:09:00,1
2019-05-21 20:03:00,1
2019-05-23 04:24:00,1
2019-05-23 07:18:00,1
2019-05-23 09:56:00,1
2019-05-24 00:27:00,1
2019-05-24 04:24:00,1
2019-05-24 23:01:00,1
2019-05-25 00:05:00,1
2019-05-25 00:24:00,1
2019-05-27 12:48:00,1
2019-05-29 03:47:00,1
2019-05-31 00:10:00,1
2019-05-31 02:55:00,1
2019-05-31 04:14:00,1
2019-05-31 08:51:00,1
2019-06-01 02:14:00,1
2019-06-01 04:39:00,1
2019-06-03 04:07:00,1
2019-06-03 05:57:00,1
2019-06-03 22:15:00,1
2019-06-04 15:28:00,1
2019-06-05 05:47:00,1
2019-06-06 20:30:00,1
2019-06-08 09:26:00,1
2019-06-08 16:09:00,1
2019-06-08 18:46:00,1
2019-06-12 05:19:00,1
2019-06-13 03:45:00,1
2019-06-13 07:25:00,1
2019-06-14 09:09:00,1
2019-06-15 00:15:00,1
2019-06-16 03:36:00,1
2019-06-17 19:39:00,1
2019-06-18 23:07:00,1
2019-06-19 11:41:00,1
2019-06-19 11:42:00,1
2019-06-19 11:43:00,1
2019-06-19 16:44:00,1
2019-06-21 07:08:00,1
2019-06-23 01:20:00,1
2019-06-23 06:21:00,1
2019-06-23 06:23:00,1
2019-06-23 16:32:00,1
2019-06-24 00:29:00,1
2019-06-24 09:01:00,1
2019-06-24 10:46:00,1
2019-06-25 16:14:00,1
2019-06-25 17:42:00,1
2019-06-25 20:53:00,1
2019-06-26 00:15:00,1
2019-06-27 01:58:00,1
2019-06-27 11:24:00,1
2019-06-27 17:04:00,1
2019-06-29 17:30:00,1
2019-07-01 02:35:00,1
2019-07-01 11:03:00,1
2019-07-01 21:48:00,1
2019-07-02 16:10:00,1
2019-07-03 01:33:00,1
2019-07-03 18:26:00,1
2019-07-05 21:44:00,1
2019-07-06 05:59:00,1
2019-07-07 02:47:00,1
2019-07-07 08:50:00,1
2019-07-07 22:47:00,1
2019-07-10 19:57:00,1
2019-07-12 19:53:00,1
2019-07-14 18:31:00,1
2019-07-14 20:33:00,1
2019-07-15 22:55:00,1
2019-07-18 07:48:00,1
2019-07-18 12:45:00,1
2019-07-18 23:53:00,1
2019-07-19 00:41:00,1
2019-07-20 01:23:00,1
2019-07-20 03:46:00,1
2019-07-20 04:52:00,1
2019-07-20 22:02:00,1
2019-07-21 02:01:00,1
2019-07-22 02:46:00,1
2019-07-23 15:48:00,1
2019-07-25 04:00:00,1
2019-07-25 06:22:00,1
2019-07-25 16:49:00,1
2019-07-26 01:42:00,1
2019-07-26 09:32:00,1
2019-07-26 19:07:00,1
2019-07-27 18:37:00,1
2019-07-28 22:54:00,1
2019-07-29 03:42:00,1
2019-07-29 19:06:00,1
2019-07-30 05:55:00,1
2019-07-30 11:45:00,1
2019-07-30 15:22:00,1
2019-07-30 21:47:00,1
2019-07-31 12:17:00,1
2019-07-31 19:46:00,1
2019-07-31 22:35:00,1
2019-08-01 00:15:00,1
2019-08-01 13:39:00,1
2019-08-01 21:35:00,1
2019-08-01 22:04:00,1
2019-08-03 11:04:00,1
2019-08-05 00:15:00,1
2019-08-07 09:39:00,1
2019-08-08 11:32:00,1
2019-08-09 08:43:00,1
2019-08-09 18:00:00,1
2019-08-10 00:49:00,1
2019-08-12 14:58:00,1
2019-08-12 21:29:00,1
2019-08-13 17:50:00,1
2019-08-13 19:21:00,1
2019-08-14 19:38:00,1
2019-08-15 19:48:00,1
2019-08-16 15:57:00,1
2019-08-17 02:58:00,1
2019-08-19 21:23:00,1
2019-08-22 13:13:00,1
2019-08-23 07:55:00,1
2019-08-23 12:28:00,1
2019-08-23 14:34:00,1
2019-08-23 14:36:00,1
2019-08-28 13:26:00,1
2019-08-30 04:50:00,1
2019-08-31 19:35:00,1
2019-08-31 21:46:00,1
2019-09-02 12:59:00,1
2019-09-03 20:23:00,1
2019-09-04 16:51:00,1
2019-09-06 00:32:00,1
2019-09-08 09:36:00,1
2019-09-08 12:29:00,1
2019-09-08 18:15:00,1
2019-09-11 05:11:00,1
2019-09-11 19:46:00,1
2019-09-11 23:14:00,1
2019-09-13 00:25:00,1
2019-09-13 00:26:00,1
2019-09-13 01:13:00,1
2019-09-13 06:35:00,1
2019-09-13 09:46:00,1
2019-09-15 06:37:00,1
2019-09-17 14:08:00,1
2019-09-17 18:09:00,1
2019-09-18 12:34:00,1
2019-09-19 00:36:00,1
2019-09-19 03:29:00,1
2019-09-19 04:10:00,1
2019-09-19 18:26:00,1
2019-09-19 19:21:00,1
2019-09-20 07:06:00,1
2019-09-20 11:34:00,1
2019-09-20 19:53:00,1
2019-09-24 00:55:00,1
2019-09-24 05:15:00,1
2019-09-25 07:49:00,1
2019-09-27 21:47:00,1
2019-09-29 19:23:00,1
2019-10-03 17:39:00,1
2019-10-03 18:43:00,1
2019-10-03 20:25:00,1
2019-10-04 14:24:00,1
2019-10-04 22:19:00,2
2019-10-05 09:46:00,1
2019-10-08 19:54:00,1
2019-10-10 08:01:00,1
2019-10-10 14:56:00,1
2019-10-10 20:33:00,1
2019-10-11 05:09:00,1
2019-10-14 05:44:00,1
2019-10-14 07:16:00,1
2019-10-16 22:19:00,1
2019-10-17 05:19:00,1
2019-10-17 05:53:00,1
2019-10-17 20:21:00,1
2019-10-18 10:32:00,1
2019-10-21 02:40:00,1
2019-10-21 16:11:00,1
2019-10-22 01:27:00,1
2019-10-22 06:20:00,1
2019-10-22 08:11:00,1
2019-10-22 14:12:00,1
2019-10-22 21:01:00,1
2019-10-23 02:14:00,1
2019-10-23 15:47:00,1
2019-10-23 21:44:00,1
2019-10-24 01:23:00,1
2019-10-25 20:27:00,1
2019-10-29 16:25:00,1
2019-10-31 04:38:00,1
2019-11-01 10:11:00,1
2019-11-02 08:10:00,1
2019-11-02 11:35:00,1
2019-11-02 21:29:00,1
2019-11-04 16:53:00,1
2019-11-05 06:43:00,1
2019-11-07 07:48:00,1
2019-11-08 05:38:00,1
2019-11-08 20:00:00,1
2019-11-09 10:55:00,1
2019-11-10 11:30:00,1
2019-11-12 10:43:00,1
2019-11-13 22:47:00,1
2019-11-14 05:41:00,1
2019-11-14 07:40:00,1
2019-11-14 13:12:00,1
2019-11-14 20:14:00,1
2019-11-15 00:29:00,1
2019-11-15 05:00:00,1
2019-11-16 07:40:00,1
2019-11-16 07:56:00,1
2019-11-19 00:36:00,1
2019-11-19 18:04:00,1
2019-11-22 14:47:00,1
2019-11-22 16:40:00,1
2019-11-23 03:34:00,1
2019-11-23 17:44:00,1
2019-11-24 21:35:00,1
2019-11-26 02:59:00,1
2019-11-27 03:16:00,1
2019-11-27 10:49:00,1
2019-11-27 22:49:00,1
2019-11-28 16:00:00,1
2019-11-29 03:55:00,1
2019-11-30 03:43:00,1
2019-11-30 06:56:00,1
2019-11-30 22:40:00,1
2019-12-01 11:56:00,1
2019-12-01 21:07:00,1
2019-12-03 00:00:00,1
2019-12-04 11:25:00,1
2019-12-05 16:13:00,1
2019-12-05 19:01:00,1
2019-12-05 21:20:00,1
2019-12-06 15:50:00,1
2019-12-07 21:39:00,1
2019-12-09 07:30:00,1
2019-12-09 22:28:00,1
2019-12-10 07:06:00,1
2019-12-10 20:00:00,1
2019-12-10 20:01:00,1
2019-12-10 21:50:00,1
2019-12-11 10:39:00,1
2019-12-12 02:39:00,1
2019-12-12 03:07:00,1
2019-12-12 15:15:00,1
2019-12-13 12:39:00,1
2019-12-13 14:06:00,1
2019-12-14 10:28:00,1
2019-12-15 01:20:00,1
2019-12-15 04:51:00,1
2019-12-15 19:45:00,1
2019-12-16 23:02:00,1
2019-12-17 00:22:00,1
2019-12-20 09:12:00,1
2019-12-20 17:26:00,1
2019-12-22 07:15:00,2
2019-12-22 10:56:00,1
2019-12-22 15:30:00,1
2019-12-24 03:52:00,1
2019-12-25 06:00:00,1
2019-12-26 03:17:00,1
2019-12-26 15:25:00,1
2019-12-26 18:20:00,1
2019-12-27 00:17:00,1
2019-12-27 07:39:00,1
2019-12-29 00:04:00,1
2019-12-29 14:05:00,1
