354,"SELECT TOP # specobj.plate as specobj_plate, specobj.mjd as specobj_mjd, specobj.fiberid as specobj_fiberid, specobj.ra as specobj_ra, specobj.dec as specobj_dec, star.apstar_id, star.ra as star_ra, star.dec as star_dec FROM apogeeStar AS star CROSS APPLY dbo.fGetNearestSpecObjEq (star.ra, star.dec, #) AS near JOIN specobj ON near.specobjid = specobj.specobjid"
2019-12-14 13:11:00,1
2019-12-15 09:18:00,1
2019-12-15 16:17:00,1
2019-12-16 22:58:00,1
2019-12-18 01:02:00,1
2019-12-18 01:31:00,1
2019-12-18 10:58:00,1
2019-12-20 09:10:00,1
2019-12-20 17:25:00,1
2019-12-20 19:01:00,1
2019-12-22 06:57:00,1
2019-12-22 06:58:00,3
2019-12-22 06:59:00,1
2019-12-22 07:00:00,1
2019-12-22 07:01:00,2
2019-12-22 07:02:00,1
2019-12-22 07:03:00,2
2019-12-22 07:04:00,1
2019-12-22 07:05:00,1
2019-12-22 07:06:00,1
2019-12-22 07:07:00,1
2019-12-22 07:08:00,2
2019-12-22 07:09:00,1
2019-12-22 07:10:00,1
2019-12-22 07:11:00,1
2019-12-22 07:12:00,2
2019-12-22 14:10:00,1
2019-12-22 15:26:00,1
2019-12-23 08:59:00,1
2019-12-25 05:12:00,1
2019-12-25 05:55:00,1
2019-12-25 05:57:00,1
2019-12-26 03:16:00,1
2019-12-26 15:24:00,1
2019-12-27 07:34:00,1
2019-12-27 07:36:00,1
2019-12-27 13:21:00,1
2019-12-28 07:34:00,1
2019-12-28 23:58:00,1
2019-12-29 06:01:00,1
2019-12-30 07:02:00,1
2019-12-31 00:05:00,1
