48290,select * from fDocFunctionParams (#)
2019-01-07 18:40:00,1
2019-01-07 18:41:00,1
2019-01-07 19:04:00,1
2019-01-07 19:05:00,1
2019-01-07 19:35:00,1
2019-01-07 20:38:00,1
2019-01-07 21:19:00,2
2019-01-07 22:40:00,1
2019-01-07 22:49:00,2
2019-01-07 22:50:00,2
2019-01-07 23:14:00,1
2019-01-08 00:16:00,1
2019-01-08 03:23:00,1
2019-01-08 07:28:00,1
2019-01-08 07:39:00,1
2019-01-08 07:44:00,3
2019-01-08 07:51:00,1
2019-01-08 07:57:00,1
2019-01-08 08:32:00,1
2019-01-08 08:50:00,1
2019-01-08 08:59:00,1
2019-01-08 09:00:00,3
2019-01-08 09:03:00,4
2019-01-08 09:04:00,6
2019-01-08 09:06:00,1
2019-01-08 09:07:00,7
2019-01-08 09:10:00,1
2019-01-08 09:17:00,1
2019-01-08 09:52:00,1
2019-01-08 09:55:00,1
2019-01-08 10:55:00,2
2019-01-08 12:07:00,1
2019-01-08 15:40:00,1
2019-01-08 16:54:00,1
2019-01-08 16:57:00,1
2019-01-08 17:38:00,1
2019-01-08 18:42:00,1
2019-01-08 19:02:00,2
2019-01-08 19:09:00,1
2019-01-08 21:01:00,1
2019-01-08 21:30:00,1
2019-01-08 22:46:00,1
2019-01-09 00:11:00,1
2019-01-09 02:29:00,1
2019-01-09 05:57:00,1
2019-01-09 05:58:00,5
2019-01-09 05:59:00,7
2019-01-09 06:00:00,7
2019-01-09 06:02:00,2
2019-01-09 07:16:00,1
2019-01-09 08:10:00,1
2019-01-09 10:04:00,1
2019-01-09 10:20:00,1
2019-01-09 11:07:00,1
2019-01-09 14:07:00,1
2019-01-09 15:42:00,1
2019-01-09 15:59:00,1
2019-01-09 16:13:00,1
2019-01-09 16:33:00,1
2019-01-09 16:58:00,2
2019-01-09 17:38:00,1
2019-01-09 18:45:00,1
2019-01-09 18:46:00,4
2019-01-09 18:47:00,3
2019-01-09 18:48:00,3
2019-01-09 18:49:00,3
2019-01-09 18:50:00,1
2019-01-09 18:51:00,6
2019-01-09 18:53:00,1
2019-01-09 18:54:00,1
2019-01-09 19:58:00,1
2019-01-09 21:16:00,1
2019-01-09 21:54:00,1
2019-01-10 01:29:00,1
2019-01-10 01:40:00,1
2019-01-10 01:57:00,1
2019-01-10 02:14:00,1
2019-01-10 02:43:00,1
2019-01-10 02:56:00,1
2019-01-10 02:59:00,1
2019-01-10 03:10:00,1
2019-01-10 03:42:00,2
2019-01-10 03:43:00,1
2019-01-10 04:01:00,1
2019-01-10 06:16:00,1
2019-01-10 07:37:00,1
2019-01-10 09:14:00,2
2019-01-10 09:15:00,1
2019-01-10 09:18:00,2
2019-01-10 09:20:00,1
2019-01-10 09:21:00,4
2019-01-10 09:54:00,2
2019-01-10 09:55:00,4
2019-01-10 10:19:00,1
2019-01-10 10:31:00,2
2019-01-10 11:11:00,1
2019-01-10 11:45:00,1
2019-01-10 12:05:00,1
2019-01-10 12:30:00,1
2019-01-10 13:48:00,1
2019-01-10 15:04:00,12
2019-01-10 15:05:00,12
2019-01-10 15:06:00,11
2019-01-10 15:07:00,14
2019-01-10 15:08:00,11
2019-01-10 15:09:00,13
2019-01-10 15:10:00,12
2019-01-10 15:11:00,11
2019-01-10 15:12:00,15
2019-01-10 15:13:00,10
2019-01-10 15:14:00,10
2019-01-10 15:15:00,12
2019-01-10 15:16:00,8
2019-01-10 15:17:00,12
2019-01-10 15:18:00,11
2019-01-10 15:19:00,12
2019-01-10 15:20:00,11
2019-01-10 15:21:00,5
2019-01-10 15:22:00,11
2019-01-10 15:23:00,15
2019-01-10 15:24:00,3
2019-01-10 17:54:00,1
2019-01-10 18:08:00,1
2019-01-10 19:28:00,1
2019-01-10 21:22:00,1
2019-01-11 00:08:00,1
2019-01-11 01:38:00,1
2019-01-11 02:45:00,1
2019-01-11 04:30:00,10
2019-01-11 04:31:00,3
2019-01-11 04:34:00,11
2019-01-11 04:35:00,1
2019-01-11 05:09:00,2
2019-01-11 06:15:00,1
2019-01-11 10:03:00,1
2019-01-11 11:15:00,2
2019-01-11 11:16:00,1
2019-01-11 11:59:00,1
2019-01-11 12:58:00,1
2019-01-11 14:53:00,1
2019-01-11 15:45:00,1
2019-01-11 16:12:00,1
2019-01-11 16:33:00,1
2019-01-11 16:57:00,1
2019-01-11 19:20:00,1
2019-01-11 20:21:00,1
2019-01-11 20:29:00,1
2019-01-11 21:49:00,1
2019-01-11 23:03:00,1
2019-01-12 00:53:00,1
2019-01-12 00:55:00,1
2019-01-12 01:11:00,1
2019-01-12 02:00:00,1
2019-01-12 06:44:00,1
2019-01-12 07:43:00,1
2019-01-12 08:05:00,1
2019-01-12 09:25:00,1
2019-01-12 12:45:00,1
2019-01-12 13:28:00,8
2019-01-12 13:29:00,9
2019-01-12 13:30:00,4
2019-01-12 13:31:00,5
2019-01-12 15:18:00,1
2019-01-12 16:49:00,1
2019-01-12 17:09:00,1
2019-01-12 17:49:00,1
2019-01-12 19:42:00,1
2019-01-12 21:17:00,1
2019-01-12 22:11:00,1
2019-01-12 22:47:00,1
2019-01-12 22:48:00,1
2019-01-12 23:02:00,23
2019-01-12 23:03:00,5
2019-01-12 23:17:00,1
2019-01-13 01:07:00,1
2019-01-13 01:11:00,2
2019-01-13 03:42:00,1
2019-01-13 04:47:00,1
2019-01-13 07:19:00,1
2019-01-13 08:20:00,1
2019-01-13 08:24:00,1
2019-01-13 10:24:00,1
2019-01-13 11:02:00,1
2019-01-13 12:01:00,1
2019-01-13 14:03:00,1
2019-01-13 15:20:00,12
2019-01-13 15:21:00,11
2019-01-13 15:28:00,1
2019-01-13 15:48:00,1
2019-01-13 16:59:00,1
2019-01-13 19:24:00,1
2019-01-13 21:57:00,1
2019-01-14 10:30:00,2
2019-01-14 12:20:00,1
2019-01-14 12:35:00,1
2019-01-14 13:11:00,2
2019-01-14 13:47:00,1
2019-01-14 14:37:00,1
2019-01-14 16:38:00,13
2019-01-14 16:39:00,2
2019-01-14 16:41:00,5
2019-01-14 16:42:00,2
2019-01-14 17:15:00,1
2019-01-14 19:48:00,1
2019-01-14 22:26:00,1
2019-01-14 23:01:00,1
2019-01-15 00:46:00,1
2019-01-15 01:08:00,1
2019-01-15 01:27:00,1
2019-01-15 03:21:00,1
2019-01-15 06:44:00,1
2019-01-15 06:49:00,1
2019-01-15 07:51:00,1
2019-01-15 08:32:00,1
2019-01-15 10:02:00,2
2019-01-15 10:03:00,1
2019-01-15 10:09:00,1
2019-01-15 10:18:00,1
2019-01-15 10:47:00,1
2019-01-15 10:54:00,2
2019-01-15 10:56:00,1
2019-01-15 11:31:00,1
2019-01-15 11:37:00,1
2019-01-15 13:00:00,1
2019-01-15 15:09:00,1
2019-01-15 15:49:00,1
2019-01-15 20:22:00,1
2019-01-15 20:42:00,1
2019-01-15 20:57:00,2
2019-01-15 21:36:00,3
2019-01-15 21:37:00,4
2019-01-15 21:38:00,3
2019-01-15 21:39:00,4
2019-01-15 21:40:00,2
2019-01-15 21:41:00,5
2019-01-15 21:42:00,4
2019-01-15 21:43:00,4
2019-01-15 21:44:00,4
2019-01-15 21:45:00,3
2019-01-15 21:46:00,4
2019-01-15 21:47:00,5
2019-01-15 21:48:00,4
2019-01-15 21:49:00,5
2019-01-15 21:50:00,3
2019-01-15 21:51:00,5
2019-01-15 22:40:00,1
2019-01-16 00:30:00,2
2019-01-16 00:48:00,1
2019-01-16 03:43:00,1
2019-01-16 04:02:00,1
2019-01-16 08:00:00,2
2019-01-16 08:38:00,1
2019-01-16 08:39:00,1
2019-01-16 08:51:00,1
2019-01-16 10:20:00,1
2019-01-16 10:21:00,1
2019-01-16 10:22:00,2
2019-01-16 10:23:00,1
2019-01-16 10:24:00,1
2019-01-16 10:41:00,1
2019-01-16 10:47:00,1
2019-01-16 15:07:00,1
2019-01-16 17:22:00,1
2019-01-16 17:27:00,1
2019-01-16 17:32:00,2
2019-01-16 17:33:00,3
2019-01-16 17:34:00,7
2019-01-16 17:35:00,4
2019-01-16 17:59:00,1
2019-01-16 20:07:00,1
2019-01-16 21:44:00,2
2019-01-16 21:53:00,1
2019-01-16 22:37:00,3
2019-01-16 22:38:00,9
2019-01-16 23:02:00,1
2019-01-17 02:11:00,1
2019-01-17 02:45:00,1
2019-01-17 02:47:00,1
2019-01-17 02:58:00,1
2019-01-17 02:59:00,1
2019-01-17 03:39:00,1
2019-01-17 03:47:00,1
2019-01-17 03:59:00,1
2019-01-17 05:51:00,2
2019-01-17 06:24:00,1
2019-01-17 06:50:00,2
2019-01-17 06:57:00,2
2019-01-17 06:58:00,1
2019-01-17 06:59:00,4
2019-01-17 07:37:00,1
2019-01-17 07:40:00,7
2019-01-17 07:54:00,1
2019-01-17 11:40:00,4
2019-01-17 11:42:00,1
2019-01-17 12:04:00,1
2019-01-17 12:05:00,1
2019-01-17 14:12:00,1
2019-01-17 14:22:00,2
2019-01-17 14:30:00,1
2019-01-17 14:35:00,2
2019-01-17 16:26:00,1
2019-01-17 16:43:00,1
2019-01-17 17:15:00,1
2019-01-17 20:07:00,1
2019-01-17 20:56:00,5
2019-01-17 20:57:00,6
2019-01-17 20:58:00,1
2019-01-17 23:18:00,1
2019-01-17 23:48:00,1
2019-01-18 03:06:00,1
2019-01-18 04:24:00,1
2019-01-18 07:04:00,1
2019-01-18 09:01:00,1
2019-01-18 09:16:00,1
2019-01-18 13:21:00,1
2019-01-18 18:13:00,1
2019-01-18 18:50:00,1
2019-01-18 19:21:00,1
2019-01-18 19:52:00,1
2019-01-18 20:23:00,1
2019-01-19 01:14:00,1
2019-01-19 03:33:00,1
2019-01-19 03:38:00,1
2019-01-19 04:09:00,1
2019-01-19 04:16:00,1
2019-01-19 04:46:00,1
2019-01-19 04:54:00,1
2019-01-19 05:09:00,1
2019-01-19 05:12:00,2
2019-01-19 05:16:00,1
2019-01-19 05:59:00,1
2019-01-19 06:46:00,3
2019-01-19 06:47:00,2
2019-01-19 06:49:00,1
2019-01-19 06:50:00,3
2019-01-19 06:51:00,3
2019-01-19 06:52:00,1
2019-01-19 06:58:00,1
2019-01-19 07:02:00,1
2019-01-19 07:18:00,1
2019-01-19 07:19:00,1
2019-01-19 07:30:00,3
2019-01-19 07:34:00,3
2019-01-19 07:42:00,1
2019-01-19 07:55:00,3
2019-01-19 07:57:00,1
2019-01-19 09:58:00,1
2019-01-19 10:10:00,1
2019-01-19 10:55:00,2
2019-01-19 10:58:00,1
2019-01-19 11:41:00,1
2019-01-19 13:03:00,1
2019-01-19 13:28:00,1
2019-01-19 13:46:00,1
2019-01-19 15:26:00,1
2019-01-19 15:37:00,1
2019-01-19 15:39:00,1
2019-01-19 15:41:00,1
2019-01-19 15:42:00,3
2019-01-19 16:31:00,1
2019-01-19 17:08:00,1
2019-01-19 17:49:00,1
2019-01-19 17:52:00,3
2019-01-19 21:03:00,1
2019-01-19 21:15:00,1
2019-01-19 21:48:00,1
2019-01-19 22:07:00,1
2019-01-19 23:52:00,1
2019-01-20 01:29:00,2
2019-01-20 02:12:00,1
2019-01-20 03:11:00,1
2019-01-20 06:29:00,1
2019-01-20 06:32:00,1
2019-01-20 06:49:00,1
2019-01-20 11:04:00,1
2019-01-20 11:40:00,1
2019-01-20 11:41:00,1
2019-01-20 13:07:00,1
2019-01-20 13:14:00,1
2019-01-20 14:06:00,1
2019-01-20 14:48:00,1
2019-01-20 14:52:00,1
2019-01-20 17:42:00,1
2019-01-20 18:15:00,1
2019-01-20 18:17:00,1
2019-01-20 19:12:00,2
2019-01-20 19:14:00,1
2019-01-20 22:35:00,1
2019-01-20 22:50:00,1
2019-01-21 01:10:00,1
2019-01-21 07:14:00,1
2019-01-21 08:13:00,1
2019-01-21 09:07:00,1
2019-01-21 14:48:00,1
2019-01-21 14:49:00,3
2019-01-21 14:55:00,1
2019-01-21 15:41:00,3
2019-01-21 15:42:00,1
2019-01-21 19:21:00,1
2019-01-21 19:28:00,1
2019-01-21 20:03:00,1
2019-01-21 22:59:00,1
2019-01-21 23:00:00,1
2019-01-22 00:33:00,4
2019-01-22 00:36:00,1
2019-01-22 00:40:00,1
2019-01-22 00:45:00,1
2019-01-22 04:51:00,1
2019-01-22 08:04:00,1
2019-01-22 11:37:00,1
2019-01-22 12:53:00,1
2019-01-22 13:09:00,1
2019-01-22 15:11:00,1
2019-01-22 15:26:00,2
2019-01-22 18:37:00,1
2019-01-22 21:03:00,1
2019-01-22 21:04:00,1
2019-01-22 21:18:00,1
2019-01-22 21:32:00,1
2019-01-22 21:33:00,1
2019-01-22 22:03:00,1
2019-01-22 22:14:00,1
2019-01-22 23:33:00,1
2019-01-23 00:04:00,1
2019-01-23 01:46:00,1
2019-01-23 02:57:00,1
2019-01-23 03:02:00,1
2019-01-23 06:12:00,1
2019-01-23 08:42:00,2
2019-01-23 09:04:00,1
2019-01-23 11:08:00,1
2019-01-23 11:34:00,1
2019-01-23 12:35:00,1
2019-01-23 13:35:00,1
2019-01-23 15:09:00,1
2019-01-23 15:18:00,1
2019-01-23 15:33:00,1
2019-01-23 15:44:00,1
2019-01-23 15:52:00,1
2019-01-23 16:32:00,1
2019-01-23 17:16:00,1
2019-01-23 17:28:00,1
2019-01-23 18:02:00,1
2019-01-23 18:28:00,1
2019-01-23 18:32:00,1
2019-01-23 19:38:00,1
2019-01-23 20:10:00,1
2019-01-23 20:36:00,1
2019-01-23 20:38:00,1
2019-01-23 20:41:00,1
2019-01-23 20:54:00,1
2019-01-23 21:33:00,1
2019-01-23 21:57:00,1
2019-01-23 22:24:00,1
2019-01-23 23:37:00,1
2019-01-24 00:23:00,1
2019-01-24 00:24:00,1
2019-01-24 00:27:00,1
2019-01-24 00:55:00,1
2019-01-24 01:50:00,1
2019-01-24 02:38:00,1
2019-01-24 02:40:00,1
2019-01-24 03:46:00,5
2019-01-24 03:47:00,5
2019-01-24 03:48:00,1
2019-01-24 03:59:00,1
2019-01-24 04:10:00,1
2019-01-24 04:13:00,5
2019-01-24 04:14:00,5
2019-01-24 04:15:00,2
2019-01-24 06:50:00,1
2019-01-24 08:54:00,2
2019-01-24 08:55:00,6
2019-01-24 08:57:00,4
2019-01-24 10:08:00,1
2019-01-24 10:55:00,1
2019-01-24 12:22:00,2
2019-01-24 12:23:00,6
2019-01-24 12:24:00,4
2019-01-24 13:00:00,7
2019-01-24 13:01:00,5
2019-01-24 13:02:00,1
2019-01-24 13:03:00,8
2019-01-24 13:11:00,1
2019-01-24 13:27:00,1
2019-01-24 13:38:00,1
2019-01-24 14:50:00,1
2019-01-24 15:24:00,1
2019-01-24 15:33:00,2
2019-01-24 15:35:00,2
2019-01-24 17:16:00,1
2019-01-24 17:17:00,3
2019-01-24 17:18:00,3
2019-01-24 17:19:00,1
2019-01-24 17:20:00,1
2019-01-24 17:21:00,5
2019-01-24 17:22:00,1
2019-01-24 17:23:00,6
2019-01-24 17:24:00,1
2019-01-24 17:50:00,1
2019-01-24 17:56:00,2
2019-01-24 17:57:00,8
2019-01-24 17:58:00,9
2019-01-24 17:59:00,8
2019-01-24 18:00:00,9
2019-01-24 18:01:00,8
2019-01-24 18:02:00,10
2019-01-24 18:03:00,9
2019-01-24 18:04:00,12
2019-01-24 18:05:00,9
2019-01-24 18:06:00,13
2019-01-24 18:07:00,10
2019-01-24 18:08:00,10
2019-01-24 18:09:00,11
2019-01-24 18:10:00,9
2019-01-24 18:11:00,12
2019-01-24 18:12:00,14
2019-01-24 18:13:00,9
2019-01-24 18:14:00,12
2019-01-24 18:15:00,10
2019-01-24 18:16:00,7
2019-01-24 18:17:00,14
2019-01-24 18:18:00,9
2019-01-24 18:19:00,6
2019-01-24 19:39:00,1
2019-01-24 21:24:00,1
2019-01-24 22:08:00,1
2019-01-25 03:56:00,1
2019-01-25 07:18:00,1
2019-01-25 07:24:00,1
2019-01-25 11:05:00,2
2019-01-25 11:50:00,1
2019-01-25 12:15:00,1
2019-01-25 13:46:00,2
2019-01-25 19:03:00,1
2019-01-25 19:16:00,1
2019-01-25 21:02:00,1
2019-01-26 02:22:00,1
2019-01-26 02:57:00,1
2019-01-26 10:06:00,1
2019-01-26 10:26:00,1
2019-01-26 10:54:00,1
2019-01-26 10:55:00,5
2019-01-26 10:56:00,3
2019-01-26 10:57:00,7
2019-01-26 10:59:00,6
2019-01-26 11:00:00,1
2019-01-26 11:01:00,1
2019-01-26 11:16:00,1
2019-01-26 12:40:00,1
2019-01-26 13:16:00,1
2019-01-26 13:20:00,2
2019-01-26 13:59:00,1
2019-01-26 15:16:00,1
2019-01-26 16:10:00,1
2019-01-26 16:20:00,1
2019-01-26 16:39:00,1
2019-01-26 16:41:00,1
2019-01-26 16:56:00,1
2019-01-26 17:17:00,1
2019-01-26 18:34:00,2
2019-01-26 19:04:00,1
2019-01-26 19:25:00,2
2019-01-26 19:46:00,1
2019-01-26 20:06:00,1
2019-01-26 21:19:00,2
2019-01-26 21:44:00,1
2019-01-26 21:58:00,1
2019-01-26 22:04:00,1
2019-01-26 22:19:00,1
2019-01-26 22:29:00,1
2019-01-26 22:57:00,1
2019-01-27 01:19:00,1
2019-01-27 01:35:00,1
2019-01-27 04:25:00,1
2019-01-27 05:18:00,1
2019-01-27 06:22:00,1
2019-01-27 06:33:00,1
2019-01-27 11:26:00,1
2019-01-27 15:42:00,1
2019-01-27 20:08:00,1
2019-01-27 22:53:00,1
2019-01-28 04:41:00,1
2019-01-28 08:59:00,1
2019-01-28 09:12:00,1
2019-01-28 10:37:00,1
2019-01-28 11:28:00,1
2019-01-28 13:00:00,1
2019-01-28 13:06:00,1
2019-01-28 15:17:00,1
2019-01-28 15:44:00,1
2019-01-28 18:46:00,1
2019-01-29 00:12:00,1
2019-01-29 00:52:00,1
2019-01-29 01:19:00,1
2019-01-29 01:22:00,2
2019-01-29 01:23:00,5
2019-01-29 01:24:00,6
2019-01-29 01:25:00,1
2019-01-29 01:26:00,2
2019-01-29 01:27:00,4
2019-01-29 01:28:00,1
2019-01-29 01:29:00,1
2019-01-29 01:30:00,1
2019-01-29 03:45:00,1
2019-01-29 03:58:00,1
2019-01-29 04:15:00,1
2019-01-29 04:48:00,1
2019-01-29 05:02:00,2
2019-01-29 06:01:00,1
2019-01-29 11:41:00,1
2019-01-29 12:28:00,2
2019-01-29 12:48:00,1
2019-01-29 12:57:00,1
2019-01-29 13:15:00,1
2019-01-29 13:41:00,1
2019-01-29 13:42:00,1
2019-01-29 15:19:00,1
2019-01-29 16:46:00,1
2019-01-29 17:09:00,1
2019-01-29 17:42:00,3
2019-01-29 22:27:00,1
2019-01-29 22:29:00,1
2019-01-29 23:06:00,1
2019-01-29 23:39:00,1
2019-01-30 00:06:00,1
2019-01-30 00:08:00,1
2019-01-30 01:01:00,1
2019-01-30 01:56:00,1
2019-01-30 02:03:00,1
2019-01-30 02:12:00,1
2019-01-30 02:17:00,1
2019-01-30 02:18:00,1
2019-01-30 03:06:00,1
2019-01-30 03:24:00,1
2019-01-30 03:59:00,1
2019-01-30 04:03:00,1
2019-01-30 04:06:00,1
2019-01-30 04:16:00,1
2019-01-30 05:01:00,1
2019-01-30 05:17:00,1
2019-01-30 05:43:00,1
2019-01-30 05:51:00,1
2019-01-30 06:28:00,1
2019-01-30 07:37:00,1
2019-01-30 07:38:00,6
2019-01-30 07:39:00,3
2019-01-30 07:43:00,2
2019-01-30 11:02:00,1
2019-01-30 11:44:00,1
2019-01-30 11:50:00,1
2019-01-30 12:09:00,1
2019-01-30 12:21:00,1
2019-01-30 12:22:00,3
2019-01-30 12:40:00,1
2019-01-30 12:54:00,1
2019-01-30 13:02:00,3
2019-01-30 13:03:00,6
2019-01-30 13:04:00,12
2019-01-30 13:05:00,4
2019-01-30 13:56:00,1
2019-01-30 13:58:00,1
2019-01-30 14:26:00,8
2019-01-30 14:27:00,4
2019-01-30 14:43:00,1
2019-01-30 14:44:00,1
2019-01-30 14:45:00,2
2019-01-30 14:46:00,1
2019-01-30 15:29:00,2
2019-01-30 16:45:00,1
2019-01-30 16:59:00,1
2019-01-30 17:04:00,1
2019-01-30 17:05:00,2
2019-01-30 17:09:00,1
2019-01-30 17:41:00,2
2019-01-30 19:51:00,1
2019-01-30 19:52:00,1
2019-01-30 19:55:00,1
2019-01-30 19:56:00,1
2019-01-30 19:58:00,1
2019-01-30 20:00:00,1
2019-01-30 20:01:00,1
2019-01-30 22:05:00,1
2019-01-31 01:22:00,8
2019-01-31 01:23:00,3
2019-01-31 01:24:00,11
2019-01-31 01:25:00,16
2019-01-31 01:26:00,9
2019-01-31 01:27:00,10
2019-01-31 01:28:00,10
2019-01-31 01:29:00,12
2019-01-31 01:30:00,10
2019-01-31 01:31:00,13
2019-01-31 01:32:00,14
2019-01-31 01:33:00,12
2019-01-31 01:34:00,10
2019-01-31 01:35:00,13
2019-01-31 01:36:00,4
2019-01-31 01:38:00,5
2019-01-31 01:39:00,14
2019-01-31 01:40:00,10
2019-01-31 01:41:00,13
2019-01-31 01:42:00,11
2019-01-31 01:43:00,10
2019-01-31 01:44:00,13
2019-01-31 01:45:00,1
2019-01-31 02:05:00,1
2019-01-31 03:21:00,1
2019-01-31 06:06:00,1
2019-01-31 06:07:00,7
2019-01-31 06:08:00,4
2019-01-31 06:45:00,1
2019-01-31 07:13:00,1
2019-01-31 07:20:00,1
2019-01-31 14:54:00,2
2019-01-31 15:21:00,1
2019-01-31 15:25:00,1
2019-01-31 15:55:00,1
2019-01-31 17:41:00,1
2019-01-31 17:48:00,1
2019-01-31 17:59:00,1
2019-01-31 18:00:00,2
2019-01-31 18:18:00,2
2019-01-31 18:19:00,3
2019-01-31 18:20:00,3
2019-01-31 18:21:00,4
2019-01-31 18:22:00,2
2019-01-31 18:23:00,2
2019-01-31 18:24:00,5
2019-01-31 18:25:00,1
2019-01-31 18:26:00,1
2019-01-31 19:14:00,1
2019-01-31 20:22:00,1
2019-01-31 23:19:00,1
2019-02-01 02:44:00,1
2019-02-01 03:31:00,8
2019-02-01 03:32:00,2
2019-02-01 07:29:00,1
2019-02-01 07:31:00,1
2019-02-01 07:32:00,2
2019-02-01 07:33:00,4
2019-02-01 07:34:00,2
2019-02-01 07:35:00,4
2019-02-01 07:36:00,2
2019-02-01 07:37:00,5
2019-02-01 07:38:00,1
2019-02-01 07:39:00,1
2019-02-01 08:16:00,1
2019-02-01 08:31:00,1
2019-02-01 17:33:00,1
2019-02-01 19:26:00,7
2019-02-01 19:27:00,10
2019-02-01 19:28:00,12
2019-02-01 19:29:00,11
2019-02-01 19:30:00,3
2019-02-01 19:31:00,16
2019-02-01 19:32:00,10
2019-02-01 19:34:00,12
2019-02-01 19:35:00,17
2019-02-01 19:37:00,15
2019-02-01 19:38:00,14
2019-02-01 19:39:00,2
2019-02-01 19:40:00,10
2019-02-01 19:41:00,13
2019-02-01 19:42:00,4
2019-02-01 19:43:00,10
2019-02-01 19:44:00,11
2019-02-01 19:45:00,8
2019-02-01 19:46:00,12
2019-02-01 19:47:00,14
2019-02-01 19:48:00,9
2019-02-01 19:49:00,12
2019-02-01 19:51:00,1
2019-02-01 19:58:00,1
2019-02-01 20:14:00,21
2019-02-01 20:15:00,2
2019-02-01 20:50:00,1
2019-02-01 21:07:00,1
2019-02-01 21:57:00,1
2019-02-01 22:23:00,1
2019-02-01 23:14:00,1
2019-02-02 01:56:00,1
2019-02-02 03:32:00,1
2019-02-02 07:04:00,1
2019-02-02 11:29:00,1
2019-02-02 12:04:00,1
2019-02-02 12:10:00,1
2019-02-02 12:36:00,1
2019-02-02 15:07:00,1
2019-02-02 17:49:00,1
2019-02-02 18:19:00,1
2019-02-02 19:54:00,1
2019-02-02 20:24:00,2
2019-02-02 20:26:00,1
2019-02-03 02:49:00,1
2019-02-03 03:10:00,1
2019-02-03 03:11:00,1
2019-02-03 03:12:00,1
2019-02-03 03:14:00,3
2019-02-03 03:15:00,1
2019-02-03 03:20:00,1
2019-02-03 03:23:00,13
2019-02-03 03:37:00,1
2019-02-03 04:53:00,1
2019-02-03 06:51:00,1
