854,"SELECT TOP # u, g, r, i, z FROM Galaxy WHERE (htmid*# & #) < (# * #)"
2019-03-12 19:56:00,2
2019-03-13 02:54:00,1
2019-03-13 04:44:00,1
2019-03-13 11:48:00,1
2019-03-14 10:19:00,1
2019-03-14 23:54:00,1
2019-03-15 01:29:00,1
2019-03-15 03:12:00,1
2019-03-15 04:01:00,1
2019-03-15 17:42:00,1
2019-03-16 00:34:00,1
2019-03-16 17:35:00,1
2019-03-17 22:02:00,1
2019-03-19 07:35:00,1
2019-03-19 13:52:00,2
2019-03-19 14:17:00,1
2019-03-19 17:35:00,1
2019-03-20 13:03:00,1
2019-03-21 16:50:00,1
2019-03-21 17:45:00,1
2019-03-22 09:37:00,1
2019-03-24 05:57:00,1
2019-03-25 01:29:00,1
2019-03-25 05:08:00,1
2019-03-25 05:16:00,1
2019-03-25 09:29:00,1
2019-03-25 13:54:00,1
2019-03-26 08:58:00,1
2019-03-26 09:59:00,1
2019-03-26 11:34:00,1
2019-03-26 16:14:00,1
2019-03-27 19:09:00,1
2019-03-28 17:53:00,1
2019-03-28 22:16:00,1
2019-03-28 23:52:00,1
2019-03-29 15:45:00,1
2019-03-29 22:00:00,1
2019-03-30 00:01:00,1
2019-03-30 09:02:00,1
2019-03-31 05:05:00,1
2019-03-31 12:48:00,1
2019-03-31 20:09:00,1
2019-04-01 03:25:00,1
2019-04-01 19:20:00,1
2019-04-01 20:29:00,1
2019-04-01 20:30:00,1
2019-04-02 10:01:00,1
2019-04-04 05:23:00,1
2019-04-04 12:50:00,1
2019-04-04 13:58:00,1
2019-04-04 16:02:00,1
2019-04-04 21:56:00,1
2019-04-05 07:03:00,1
2019-04-06 07:46:00,1
2019-04-06 13:07:00,1
2019-04-06 15:36:00,1
2019-04-07 05:50:00,1
2019-04-07 06:57:00,1
2019-04-07 13:30:00,1
2019-04-07 14:39:00,1
2019-04-07 14:49:00,1
2019-04-08 15:27:00,1
2019-04-08 18:56:00,1
2019-04-09 02:10:00,1
2019-04-09 03:38:00,1
2019-04-09 04:02:00,1
2019-04-09 04:08:00,1
2019-04-10 12:24:00,2
2019-04-11 23:39:00,1
2019-04-12 15:49:00,1
2019-04-13 14:59:00,1
2019-04-14 01:27:00,1
2019-04-14 11:55:00,1
2019-04-14 19:02:00,1
2019-04-15 04:29:00,1
2019-04-15 05:10:00,1
2019-04-15 12:17:00,1
2019-04-15 22:00:00,1
2019-04-16 07:04:00,1
2019-04-17 09:44:00,1
2019-04-17 11:25:00,1
2019-04-18 08:59:00,1
2019-04-18 09:12:00,1
2019-04-18 14:08:00,1
2019-04-18 21:15:00,1
2019-04-19 00:43:00,1
2019-04-20 11:15:00,1
2019-04-20 20:39:00,1
2019-04-21 12:11:00,1
2019-04-22 09:11:00,1
2019-04-22 13:31:00,1
2019-04-22 13:49:00,1
2019-04-22 22:29:00,1
2019-04-23 00:34:00,1
2019-04-23 23:42:00,1
2019-04-24 21:18:00,1
2019-04-25 00:59:00,1
2019-04-27 06:46:00,1
2019-04-27 11:49:00,1
2019-04-27 22:33:00,1
2019-04-28 02:51:00,1
2019-04-28 05:54:00,1
2019-04-28 09:16:00,1
2019-04-28 13:32:00,1
2019-04-28 22:43:00,1
2019-04-29 05:21:00,1
2019-04-29 18:16:00,1
2019-04-30 09:55:00,1
2019-05-01 02:19:00,1
2019-05-01 05:14:00,1
2019-05-02 09:15:00,1
2019-05-02 17:40:00,1
2019-05-03 23:09:00,1
2019-05-03 23:29:00,1
2019-05-04 20:53:00,1
2019-05-06 07:11:00,1
2019-05-06 08:02:00,1
2019-05-06 08:18:00,1
2019-05-06 09:07:00,1
2019-05-06 12:54:00,1
2019-05-06 14:52:00,1
2019-05-06 20:22:00,1
2019-05-07 15:33:00,1
2019-05-07 15:37:00,1
2019-05-10 01:02:00,1
2019-05-11 05:17:00,1
2019-05-11 06:46:00,1
2019-05-11 16:45:00,1
2019-05-11 20:43:00,1
2019-05-13 02:35:00,1
2019-05-13 08:36:00,1
2019-05-13 22:25:00,1
2019-05-14 07:38:00,1
2019-05-14 17:24:00,1
2019-05-14 19:40:00,1
2019-05-15 22:22:00,1
2019-05-16 12:44:00,1
2019-05-17 01:30:00,1
2019-05-17 03:59:00,1
2019-05-17 04:20:00,1
2019-05-17 04:40:00,1
2019-05-18 23:17:00,1
2019-05-19 10:22:00,1
2019-05-20 17:28:00,1
2019-05-20 18:37:00,1
2019-05-21 02:35:00,1
2019-05-21 02:38:00,1
2019-05-21 03:25:00,1
2019-05-21 09:35:00,1
2019-05-21 10:18:00,1
2019-05-23 04:24:00,1
2019-05-23 06:27:00,1
2019-05-23 12:30:00,1
2019-05-23 16:58:00,1
2019-05-23 18:21:00,1
2019-05-24 17:30:00,1
2019-05-24 19:08:00,1
2019-05-24 19:55:00,1
2019-05-24 20:25:00,1
2019-05-24 23:57:00,1
2019-05-25 02:34:00,1
2019-05-25 13:24:00,1
2019-05-25 17:27:00,1
2019-05-26 20:54:00,1
2019-05-27 12:10:00,1
2019-05-28 20:41:00,1
2019-05-29 03:58:00,1
2019-05-29 12:08:00,1
2019-05-30 02:48:00,1
2019-05-30 16:10:00,1
2019-05-30 21:12:00,1
2019-05-31 01:18:00,1
2019-06-01 02:49:00,1
2019-06-01 11:57:00,1
2019-06-01 12:49:00,1
2019-06-02 06:15:00,1
2019-06-02 10:24:00,1
2019-06-03 16:15:00,1
2019-06-04 08:13:00,1
2019-06-05 10:50:00,1
2019-06-05 17:45:00,1
2019-06-05 20:11:00,1
2019-06-06 07:32:00,1
2019-06-07 14:22:00,1
2019-06-09 03:04:00,1
2019-06-11 00:06:00,1
2019-06-11 01:06:00,1
2019-06-11 02:09:00,1
2019-06-11 15:01:00,1
2019-06-11 16:45:00,1
2019-06-12 03:48:00,1
2019-06-12 15:47:00,1
2019-06-13 11:23:00,1
2019-06-14 05:59:00,1
2019-06-14 14:55:00,1
2019-06-14 19:28:00,1
2019-06-14 22:25:00,1
2019-06-15 08:22:00,1
2019-06-15 11:42:00,1
2019-06-15 15:15:00,1
2019-06-15 21:42:00,1
2019-06-16 16:56:00,1
2019-06-17 11:27:00,1
2019-06-17 20:11:00,1
2019-06-18 18:20:00,1
2019-06-19 03:00:00,1
2019-06-19 04:58:00,1
2019-06-19 06:21:00,1
2019-06-19 09:10:00,1
2019-06-19 10:58:00,1
2019-06-19 12:00:00,1
2019-06-21 06:35:00,1
2019-06-22 02:50:00,1
2019-06-22 18:55:00,1
2019-06-23 03:50:00,1
2019-06-23 03:52:00,1
2019-06-23 15:49:00,1
2019-06-23 15:59:00,1
2019-06-23 17:09:00,1
2019-06-23 19:06:00,1
2019-06-24 12:01:00,1
2019-06-24 18:00:00,1
2019-06-25 02:59:00,1
2019-06-25 04:57:00,1
2019-06-25 09:01:00,1
2019-06-25 16:08:00,1
2019-06-25 19:18:00,1
2019-06-25 23:37:00,1
2019-06-27 00:58:00,1
2019-06-27 01:58:00,1
2019-06-27 08:33:00,1
2019-06-27 20:07:00,1
2019-06-28 03:44:00,1
2019-06-28 06:20:00,1
2019-06-28 12:05:00,1
2019-06-28 12:23:00,1
2019-06-29 04:28:00,1
2019-06-29 08:35:00,1
2019-06-29 14:27:00,1
2019-07-01 01:33:00,1
2019-07-01 08:08:00,1
2019-07-01 09:03:00,1
2019-07-01 09:56:00,1
2019-07-01 10:37:00,1
2019-07-02 08:14:00,1
2019-07-02 08:17:00,1
2019-07-02 14:34:00,1
2019-07-02 15:09:00,1
2019-07-02 18:02:00,1
2019-07-03 03:14:00,1
2019-07-03 09:14:00,1
2019-07-06 02:40:00,1
2019-07-06 08:11:00,1
2019-07-06 23:41:00,1
2019-07-07 10:37:00,1
2019-07-08 04:50:00,2
2019-07-08 06:22:00,1
2019-07-08 12:59:00,1
2019-07-08 17:05:00,1
2019-07-08 20:39:00,1
2019-07-09 01:29:00,1
2019-07-09 04:23:00,1
2019-07-09 18:43:00,1
2019-07-10 22:18:00,1
2019-07-11 02:43:00,1
2019-07-12 02:41:00,1
2019-07-12 10:12:00,1
2019-07-12 21:08:00,1
2019-07-13 01:09:00,1
2019-07-13 04:15:00,1
2019-07-13 06:16:00,1
2019-07-13 21:04:00,1
2019-07-14 00:22:00,1
2019-07-14 01:31:00,1
2019-07-14 04:10:00,1
2019-07-14 07:43:00,1
2019-07-14 17:32:00,1
2019-07-14 20:15:00,1
2019-07-14 20:16:00,1
2019-07-17 06:47:00,1
2019-07-18 09:45:00,1
2019-07-18 23:16:00,1
2019-07-19 21:08:00,1
2019-07-19 22:10:00,2
2019-07-19 23:19:00,1
2019-07-20 03:55:00,1
2019-07-20 04:21:00,1
2019-07-21 18:07:00,1
2019-07-21 23:08:00,1
2019-07-22 16:57:00,2
2019-07-23 15:07:00,1
2019-07-24 17:41:00,1
2019-07-24 19:45:00,1
2019-07-26 01:45:00,1
2019-07-26 20:14:00,1
2019-07-27 14:05:00,1
2019-07-27 21:07:00,1
2019-07-27 23:40:00,1
2019-07-28 07:37:00,1
2019-07-28 07:54:00,1
2019-07-28 19:51:00,1
2019-07-29 16:43:00,1
2019-07-30 02:12:00,1
2019-07-30 07:38:00,1
2019-07-31 21:37:00,1
2019-08-01 00:27:00,1
2019-08-01 05:31:00,1
2019-08-02 07:07:00,1
2019-08-02 07:37:00,1
2019-08-02 09:11:00,1
2019-08-02 15:56:00,1
2019-08-04 07:37:00,1
2019-08-04 07:38:00,1
2019-08-04 20:56:00,1
2019-08-04 21:16:00,1
2019-08-05 03:26:00,1
2019-08-05 06:13:00,1
2019-08-05 14:24:00,1
2019-08-05 20:33:00,1
2019-08-06 21:22:00,1
2019-08-08 14:01:00,1
2019-08-08 18:19:00,1
2019-08-09 08:01:00,1
2019-08-09 14:52:00,1
2019-08-09 17:20:00,1
2019-08-09 17:47:00,1
2019-08-10 05:17:00,1
2019-08-10 23:49:00,1
2019-08-12 00:57:00,1
2019-08-12 14:55:00,1
2019-08-12 16:13:00,1
2019-08-13 14:51:00,1
2019-08-13 18:57:00,1
2019-08-15 00:27:00,1
2019-08-16 00:22:00,1
2019-08-16 11:43:00,1
2019-08-17 07:38:00,1
2019-08-17 11:59:00,1
2019-08-18 01:42:00,1
2019-08-18 08:38:00,1
2019-08-19 04:21:00,1
2019-08-20 11:50:00,1
2019-08-21 20:59:00,1
2019-08-22 10:53:00,1
2019-08-23 14:25:00,1
2019-08-23 22:00:00,1
2019-08-23 22:40:00,1
2019-08-24 19:17:00,1
2019-08-25 05:21:00,1
2019-08-25 08:21:00,1
2019-08-27 21:59:00,1
2019-08-27 23:24:00,1
2019-08-28 04:49:00,1
2019-08-30 04:35:00,1
2019-08-30 07:44:00,1
2019-08-30 12:38:00,1
2019-08-31 13:11:00,1
2019-08-31 15:54:00,1
2019-08-31 17:46:00,1
2019-08-31 23:36:00,1
2019-09-01 04:34:00,1
2019-09-01 07:02:00,1
2019-09-01 07:59:00,1
2019-09-01 14:09:00,1
2019-09-02 03:49:00,1
2019-09-02 09:13:00,1
2019-09-02 13:08:00,1
2019-09-03 04:12:00,1
2019-09-03 15:41:00,1
2019-09-03 15:43:00,1
2019-09-04 15:56:00,1
2019-09-04 18:50:00,2
2019-09-04 18:51:00,3
2019-09-05 02:57:00,1
2019-09-05 23:06:00,1
2019-09-06 01:02:00,1
2019-09-07 16:54:00,1
2019-09-07 17:55:00,1
2019-09-08 06:19:00,1
2019-09-08 09:36:00,1
2019-09-08 12:30:00,2
2019-09-08 12:35:00,1
2019-09-08 12:57:00,1
2019-09-08 14:17:00,1
2019-09-08 15:08:00,1
2019-09-08 20:57:00,1
2019-09-09 17:48:00,1
2019-09-10 07:19:00,1
2019-09-10 10:07:00,1
2019-09-11 12:10:00,1
2019-09-11 21:45:00,1
2019-09-12 06:47:00,1
2019-09-12 07:48:00,1
2019-09-12 21:50:00,1
2019-09-13 17:50:00,1
2019-09-14 11:12:00,1
2019-09-15 00:05:00,1
2019-09-15 01:09:00,1
2019-09-15 05:49:00,1
2019-09-15 17:10:00,1
2019-09-16 12:53:00,1
2019-09-16 22:09:00,1
2019-09-17 02:21:00,1
2019-09-17 10:17:00,1
2019-09-17 14:20:00,1
2019-09-17 17:09:00,1
2019-09-17 17:55:00,1
2019-09-18 10:54:00,1
2019-09-18 13:24:00,1
2019-09-18 13:32:00,1
2019-09-18 13:33:00,1
2019-09-18 18:30:00,1
2019-09-18 21:15:00,1
2019-09-19 00:23:00,1
2019-09-19 08:26:00,1
2019-09-19 14:58:00,1
2019-09-20 00:29:00,1
2019-09-20 00:58:00,1
2019-09-20 01:06:00,1
2019-09-20 08:49:00,1
2019-09-20 13:45:00,1
2019-09-21 12:24:00,1
2019-09-21 22:28:00,1
2019-09-22 22:17:00,1
2019-09-23 00:12:00,1
2019-09-23 04:21:00,1
2019-09-23 05:11:00,1
2019-09-23 18:21:00,1
2019-09-24 06:56:00,1
2019-09-25 03:36:00,1
2019-09-25 06:19:00,1
2019-09-25 07:13:00,1
2019-09-25 09:54:00,1
2019-09-25 14:06:00,1
2019-09-26 01:32:00,1
2019-09-26 04:19:00,1
2019-09-26 05:21:00,1
2019-09-26 13:51:00,1
2019-09-26 18:53:00,1
2019-09-27 01:26:00,1
2019-09-27 14:25:00,1
2019-09-28 03:51:00,1
2019-09-28 14:43:00,1
2019-09-29 03:54:00,1
2019-09-29 16:49:00,1
2019-09-29 18:42:00,1
2019-09-29 21:41:00,1
2019-09-29 22:45:00,1
2019-09-30 10:33:00,1
2019-10-01 18:49:00,1
2019-10-02 06:12:00,1
2019-10-02 08:58:00,1
2019-10-03 05:59:00,1
2019-10-03 10:45:00,1
2019-10-03 14:28:00,1
2019-10-03 18:04:00,1
2019-10-03 20:49:00,1
2019-10-04 10:55:00,1
2019-10-04 16:40:00,1
2019-10-07 06:30:00,1
2019-10-08 01:36:00,1
2019-10-08 02:49:00,1
2019-10-08 19:44:00,1
2019-10-09 10:56:00,1
2019-10-09 16:25:00,1
2019-10-10 02:28:00,1
2019-10-10 05:03:00,1
2019-10-10 06:48:00,1
2019-10-10 08:00:00,1
2019-10-11 02:12:00,1
2019-10-11 06:35:00,1
2019-10-11 12:11:00,1
2019-10-11 23:55:00,1
2019-10-12 02:07:00,1
2019-10-13 01:53:00,1
2019-10-13 09:09:00,1
2019-10-13 12:11:00,1
2019-10-14 00:24:00,1
2019-10-14 02:48:00,1
2019-10-15 00:23:00,1
2019-10-16 23:06:00,1
2019-10-17 12:02:00,1
2019-10-17 16:24:00,1
2019-10-17 16:46:00,1
2019-10-18 06:08:00,1
2019-10-18 10:17:00,1
2019-10-18 15:35:00,1
2019-10-18 17:05:00,1
2019-10-19 06:03:00,1
2019-10-20 05:16:00,1
2019-10-21 02:32:00,1
2019-10-21 07:20:00,1
2019-10-21 14:34:00,1
2019-10-22 04:38:00,1
2019-10-22 19:11:00,1
2019-10-22 20:08:00,1
2019-10-22 22:02:00,1
2019-10-23 00:14:00,1
2019-10-23 02:29:00,1
2019-10-23 19:51:00,1
2019-10-23 20:04:00,1
2019-10-24 08:33:00,1
2019-10-24 11:30:00,1
2019-10-24 12:57:00,1
2019-10-24 13:58:00,1
2019-10-24 15:04:00,1
2019-10-24 23:07:00,1
2019-10-25 09:44:00,1
2019-10-26 04:32:00,1
2019-10-26 13:26:00,1
2019-10-27 03:55:00,1
2019-10-29 16:28:00,1
2019-10-30 08:23:00,1
2019-10-30 10:05:00,1
2019-10-31 10:19:00,1
2019-11-01 03:28:00,1
2019-11-01 07:06:00,1
2019-11-01 23:06:00,1
2019-11-02 02:54:00,1
2019-11-02 07:47:00,1
2019-11-02 10:32:00,1
2019-11-02 21:20:00,1
2019-11-03 15:48:00,1
2019-11-04 12:51:00,1
2019-11-04 16:24:00,1
2019-11-04 22:01:00,1
2019-11-04 22:28:00,1
2019-11-05 03:32:00,1
2019-11-07 06:24:00,1
2019-11-08 17:04:00,1
2019-11-08 20:07:00,1
2019-11-09 06:33:00,1
2019-11-09 08:14:00,1
2019-11-09 15:45:00,1
2019-11-10 11:21:00,1
2019-11-10 13:38:00,1
2019-11-10 20:38:00,1
2019-11-13 04:46:00,1
2019-11-13 07:51:00,1
2019-11-13 15:42:00,1
2019-11-13 19:04:00,1
2019-11-13 21:06:00,1
2019-11-14 09:47:00,1
2019-11-14 16:07:00,1
2019-11-14 16:08:00,1
2019-11-14 16:39:00,1
2019-11-14 16:40:00,1
2019-11-14 16:43:00,1
2019-11-14 16:45:00,1
2019-11-14 16:49:00,1
2019-11-14 16:50:00,1
2019-11-14 17:59:00,2
2019-11-14 18:00:00,1
2019-11-14 18:01:00,3
2019-11-14 18:02:00,7
2019-11-14 18:03:00,2
2019-11-14 18:04:00,3
2019-11-14 18:06:00,3
2019-11-14 18:07:00,1
2019-11-14 18:27:00,1
2019-11-14 18:56:00,1
2019-11-14 18:57:00,1
2019-11-14 18:59:00,1
2019-11-14 19:09:00,1
2019-11-14 21:33:00,1
2019-11-15 01:32:00,1
2019-11-15 01:57:00,1
2019-11-15 08:15:00,1
2019-11-16 00:09:00,1
2019-11-16 03:25:00,1
2019-11-16 03:58:00,1
2019-11-16 04:30:00,1
2019-11-16 11:43:00,1
2019-11-16 21:46:00,1
2019-11-17 07:42:00,1
2019-11-17 12:48:00,1
2019-11-18 00:44:00,1
2019-11-18 01:37:00,1
2019-11-18 20:42:00,1
2019-11-19 07:03:00,1
2019-11-19 17:12:00,1
2019-11-19 18:21:00,1
2019-11-20 15:43:00,1
2019-11-20 17:35:00,1
2019-11-21 03:09:00,2
2019-11-22 07:53:00,1
2019-11-22 13:09:00,1
2019-11-22 22:19:00,1
2019-11-23 05:47:00,1
2019-11-23 14:35:00,1
2019-11-24 13:44:00,1
2019-11-25 06:24:00,1
2019-11-27 05:19:00,1
2019-11-27 12:08:00,1
2019-11-28 06:47:00,1
2019-11-28 12:55:00,1
2019-11-28 23:46:00,1
2019-11-30 00:10:00,1
2019-11-30 23:33:00,1
2019-12-01 05:38:00,1
2019-12-01 13:51:00,1
2019-12-01 18:05:00,1
2019-12-03 08:55:00,1
2019-12-03 14:58:00,1
2019-12-03 20:07:00,1
2019-12-04 07:53:00,1
2019-12-04 08:36:00,1
2019-12-04 10:55:00,1
2019-12-04 20:28:00,1
2019-12-04 23:23:00,1
2019-12-05 00:09:00,1
2019-12-05 00:27:00,1
2019-12-05 01:00:00,1
2019-12-05 01:16:00,1
2019-12-05 07:19:00,1
2019-12-05 08:35:00,1
2019-12-05 10:06:00,1
2019-12-05 11:07:00,1
2019-12-05 13:22:00,1
2019-12-05 19:33:00,1
2019-12-05 20:13:00,1
2019-12-06 10:06:00,1
2019-12-06 10:17:00,1
2019-12-06 12:29:00,1
2019-12-06 19:48:00,1
2019-12-06 19:55:00,1
2019-12-06 21:54:00,1
2019-12-07 01:47:00,1
2019-12-07 11:38:00,1
2019-12-07 14:01:00,1
2019-12-07 20:49:00,1
2019-12-07 20:52:00,1
2019-12-09 06:17:00,1
2019-12-09 17:46:00,1
2019-12-11 08:32:00,1
2019-12-11 12:41:00,1
2019-12-11 23:41:00,1
2019-12-12 00:28:00,1
2019-12-12 05:19:00,1
2019-12-12 06:04:00,1
2019-12-12 13:02:00,1
2019-12-13 09:28:00,1
2019-12-13 10:24:00,1
2019-12-13 11:43:00,1
2019-12-13 12:50:00,1
2019-12-14 13:39:00,1
2019-12-14 16:24:00,1
2019-12-16 00:20:00,1
2019-12-16 22:28:00,1
2019-12-17 03:13:00,1
2019-12-17 17:42:00,1
2019-12-18 09:22:00,1
2019-12-18 10:09:00,1
2019-12-18 11:04:00,1
2019-12-18 19:51:00,1
2019-12-19 18:11:00,1
2019-12-19 19:20:00,1
2019-12-20 08:59:00,1
2019-12-20 09:32:00,1
2019-12-20 17:20:00,1
2019-12-21 05:05:00,1
2019-12-22 04:15:00,2
2019-12-22 10:11:00,1
2019-12-22 14:56:00,1
2019-12-23 08:02:00,1
2019-12-24 03:00:00,1
2019-12-25 01:11:00,1
2019-12-25 02:23:00,1
2019-12-25 04:16:00,1
2019-12-26 03:10:00,1
2019-12-26 15:20:00,1
2019-12-26 16:21:00,1
2019-12-27 05:20:00,1
2019-12-27 11:48:00,1
2019-12-27 17:36:00,1
2019-12-28 23:29:00,1
2019-12-30 05:29:00,1
2019-12-30 06:14:00,1
2019-12-30 07:56:00,1
