853,"SELECT TOP # u, g, r, i, z, ra, dec, flags_r FROM Galaxy WHERE ra BETWEEN # and # AND dec BETWEEN # and # AND ( (flags_r & #) ! = #) AND ( (flags_r & #) = #) AND ( ((flags_r & #) = #) or (psfmagerr_r < = #) ) AND ( ((flags_r & #) = #) or (flags_r & #) = #)"
2019-10-14 08:04:00,1
2019-10-14 20:40:00,1
2019-10-14 20:57:00,1
2019-10-14 20:58:00,1
2019-10-14 21:05:00,1
2019-10-14 22:57:00,3
2019-10-14 23:01:00,1
2019-10-16 09:59:00,1
2019-10-16 19:14:00,1
2019-10-16 21:21:00,1
2019-10-17 00:33:00,1
2019-10-17 06:32:00,1
2019-10-17 07:08:00,1
2019-10-17 07:09:00,1
2019-10-17 07:21:00,1
2019-10-17 13:06:00,1
2019-10-17 15:02:00,1
2019-10-17 15:12:00,1
2019-10-17 19:17:00,1
2019-10-18 08:00:00,1
2019-10-18 11:53:00,1
2019-10-18 21:24:00,1
2019-10-19 09:53:00,1
2019-10-21 02:37:00,1
2019-10-21 11:00:00,1
2019-10-21 13:57:00,1
2019-10-21 14:56:00,1
2019-10-21 19:20:00,1
2019-10-21 20:43:00,1
2019-10-22 00:36:00,1
2019-10-22 07:09:00,1
2019-10-22 20:00:00,1
2019-10-23 00:03:00,1
2019-10-23 00:13:00,1
2019-10-23 08:24:00,1
2019-10-23 14:32:00,1
2019-10-23 21:01:00,1
2019-10-24 11:29:00,1
2019-10-24 13:51:00,1
2019-10-24 15:21:00,1
2019-10-24 17:14:00,1
2019-10-25 20:54:00,1
2019-10-26 05:55:00,1
2019-10-27 15:32:00,1
2019-10-29 16:20:00,1
2019-10-29 17:52:00,1
2019-10-30 02:43:00,1
2019-10-30 10:03:00,1
2019-11-01 09:13:00,1
2019-11-02 00:17:00,1
2019-11-02 06:39:00,1
2019-11-02 10:07:00,1
2019-11-02 20:59:00,1
2019-11-04 13:58:00,1
2019-11-04 16:43:00,1
2019-11-05 05:48:00,1
2019-11-05 08:47:00,1
2019-11-06 13:59:00,1
2019-11-07 06:21:00,1
2019-11-08 19:14:00,1
2019-11-08 21:14:00,1
2019-11-09 09:36:00,1
2019-11-09 16:41:00,1
2019-11-10 11:26:00,1
2019-11-10 13:37:00,1
2019-11-11 23:30:00,1
2019-11-11 23:31:00,1
2019-11-12 00:19:00,1
2019-11-12 00:20:00,2
2019-11-12 14:45:00,1
2019-11-12 15:09:00,1
2019-11-12 20:52:00,1
2019-11-13 05:34:00,1
2019-11-13 19:17:00,1
2019-11-14 08:24:00,1
2019-11-14 11:36:00,1
2019-11-14 16:49:00,1
2019-11-14 17:04:00,1
2019-11-14 18:07:00,2
2019-11-14 18:08:00,5
2019-11-14 18:09:00,2
2019-11-14 18:11:00,2
2019-11-14 18:12:00,4
2019-11-14 19:45:00,1
2019-11-14 19:58:00,1
2019-11-15 02:52:00,1
2019-11-15 03:54:00,1
2019-11-15 08:49:00,1
2019-11-15 13:32:00,1
2019-11-15 13:41:00,1
2019-11-16 02:16:00,1
2019-11-16 06:18:00,1
2019-11-16 06:36:00,1
2019-11-16 09:58:00,1
2019-11-16 13:03:00,1
2019-11-16 19:52:00,1
2019-11-18 15:35:00,1
2019-11-18 23:03:00,1
2019-11-19 12:05:00,1
2019-11-19 18:15:00,1
2019-11-19 18:47:00,1
2019-11-19 19:22:00,1
2019-11-21 10:03:00,1
2019-11-21 15:49:00,1
2019-11-22 08:55:00,1
2019-11-22 15:27:00,1
2019-11-22 21:25:00,1
2019-11-23 02:55:00,1
2019-11-23 05:46:00,1
2019-11-23 16:52:00,1
2019-11-24 18:47:00,1
2019-11-27 09:50:00,1
2019-11-27 10:00:00,1
2019-11-27 12:50:00,1
2019-11-27 14:04:00,1
2019-11-29 02:39:00,1
2019-11-30 02:45:00,1
2019-12-01 00:28:00,1
2019-12-01 08:02:00,1
2019-12-01 20:18:00,1
2019-12-02 06:47:00,1
2019-12-03 23:34:00,1
2019-12-04 07:51:00,1
2019-12-04 09:22:00,1
2019-12-04 11:27:00,1
2019-12-04 23:22:00,1
2019-12-05 00:15:00,1
2019-12-05 01:05:00,1
2019-12-05 01:08:00,1
2019-12-05 01:50:00,1
2019-12-05 03:00:00,1
2019-12-05 05:10:00,1
2019-12-05 10:30:00,1
2019-12-05 11:00:00,1
2019-12-05 11:06:00,1
2019-12-05 15:04:00,1
2019-12-05 19:02:00,1
2019-12-05 20:54:00,1
2019-12-06 09:09:00,1
2019-12-06 10:44:00,1
2019-12-06 14:07:00,1
2019-12-06 18:27:00,1
2019-12-06 19:47:00,1
2019-12-06 20:16:00,1
2019-12-06 20:31:00,1
2019-12-06 22:10:00,1
2019-12-06 23:45:00,1
2019-12-07 03:02:00,1
2019-12-07 03:03:00,2
2019-12-07 03:04:00,1
2019-12-07 09:36:00,1
2019-12-07 14:54:00,1
2019-12-07 16:49:00,1
2019-12-07 19:22:00,1
2019-12-07 21:24:00,1
2019-12-07 23:31:00,1
2019-12-08 04:05:00,1
2019-12-08 08:45:00,1
2019-12-08 16:37:00,1
2019-12-08 17:48:00,1
2019-12-09 03:07:00,1
2019-12-09 06:51:00,1
2019-12-09 07:08:00,1
2019-12-09 15:49:00,1
2019-12-09 21:00:00,1
2019-12-09 21:35:00,1
2019-12-10 02:43:00,1
2019-12-10 11:57:00,1
2019-12-10 13:21:00,1
2019-12-10 20:02:00,1
2019-12-11 11:02:00,1
2019-12-11 19:45:00,1
2019-12-12 00:46:00,1
2019-12-12 02:28:00,1
2019-12-12 06:45:00,1
2019-12-12 15:04:00,1
2019-12-13 06:57:00,1
2019-12-13 07:06:00,1
2019-12-13 10:27:00,1
2019-12-13 12:29:00,1
2019-12-13 13:31:00,1
2019-12-13 13:48:00,1
2019-12-14 07:14:00,1
2019-12-14 10:31:00,1
2019-12-15 08:51:00,1
2019-12-15 10:00:00,1
2019-12-15 15:28:00,1
2019-12-16 22:50:00,1
2019-12-18 09:21:00,1
2019-12-18 10:56:00,1
2019-12-18 13:54:00,1
2019-12-19 20:09:00,1
2019-12-20 09:10:00,1
2019-12-20 17:23:00,1
2019-12-21 05:02:00,1
2019-12-22 06:40:00,2
2019-12-22 13:21:00,1
2019-12-22 14:08:00,1
2019-12-22 15:18:00,1
2019-12-23 01:37:00,1
2019-12-23 08:52:00,1
2019-12-23 21:39:00,1
2019-12-23 21:48:00,1
2019-12-24 01:06:00,1
2019-12-25 02:15:00,1
2019-12-25 05:07:00,1
2019-12-25 05:47:00,1
2019-12-26 03:14:00,1
2019-12-26 15:23:00,1
2019-12-26 17:44:00,1
2019-12-26 19:46:00,1
2019-12-27 07:25:00,1
2019-12-27 13:15:00,1
2019-12-27 17:35:00,1
2019-12-28 09:16:00,1
2019-12-28 23:53:00,1
2019-12-29 03:09:00,1
2019-12-29 23:08:00,1
2019-12-30 05:26:00,1
2019-12-30 07:00:00,1
