648,SELECT * FROM MyTable
2019-04-30 11:28:00,1
2019-05-01 01:06:00,1
2019-05-01 01:10:00,1
2019-05-03 12:21:00,1
2019-05-04 15:47:00,1
2019-05-08 11:11:00,1
2019-05-08 17:08:00,1
2019-05-08 17:35:00,1
2019-05-08 19:02:00,1
2019-05-09 07:26:00,1
2019-05-09 07:30:00,1
2019-05-09 07:34:00,1
2019-05-09 07:37:00,1
2019-05-09 07:40:00,1
2019-05-09 07:41:00,1
2019-05-09 07:49:00,1
2019-05-09 12:47:00,1
2019-05-10 06:52:00,1
2019-05-10 09:49:00,1
2019-05-11 05:25:00,1
2019-05-13 09:26:00,1
2019-05-13 09:57:00,1
2019-05-13 14:10:00,1
2019-05-14 03:00:00,1
2019-05-15 19:38:00,1
2019-05-16 10:32:00,1
2019-05-17 17:45:00,1
2019-05-21 02:52:00,1
2019-05-21 03:01:00,1
2019-05-21 05:19:00,2
2019-05-21 08:35:00,1
2019-05-21 12:42:00,1
2019-05-22 09:30:00,2
2019-05-22 11:27:00,1
2019-05-23 00:49:00,1
2019-05-23 00:51:00,1
2019-05-23 09:08:00,1
2019-05-23 09:22:00,1
2019-05-23 15:18:00,1
2019-05-24 08:28:00,1
2019-05-26 16:08:00,1
2019-05-28 12:44:00,1
2019-05-28 13:11:00,1
2019-05-29 02:30:00,1
2019-05-29 11:36:00,1
2019-05-29 14:47:00,1
2019-05-29 15:47:00,1
2019-05-29 15:53:00,1
2019-05-30 02:11:00,1
2019-05-30 04:48:00,1
2019-05-30 04:49:00,1
2019-05-30 13:13:00,1
2019-05-31 04:43:00,1
2019-05-31 04:46:00,1
2019-05-31 05:30:00,1
2019-06-01 15:34:00,1
2019-06-03 01:29:00,1
2019-06-03 01:30:00,1
2019-06-03 01:51:00,1
2019-06-03 03:09:00,1
2019-06-03 03:40:00,1
2019-06-03 03:57:00,1
2019-06-03 04:04:00,1
2019-06-03 04:14:00,1
2019-06-03 04:25:00,1
2019-06-03 04:31:00,1
2019-06-03 04:37:00,1
2019-06-03 04:42:00,1
2019-06-03 04:43:00,1
2019-06-03 04:44:00,1
2019-06-03 04:47:00,1
2019-06-03 04:53:00,1
2019-06-03 05:01:00,1
2019-06-03 05:12:00,1
2019-06-03 05:17:00,1
2019-06-03 05:38:00,1
2019-06-03 07:40:00,3
2019-06-03 07:41:00,1
2019-06-03 14:34:00,1
2019-06-04 03:49:00,1
2019-06-04 14:45:00,1
2019-06-05 05:05:00,1
2019-06-05 05:12:00,1
2019-06-05 09:56:00,1
2019-06-05 09:57:00,1
2019-06-05 18:18:00,2
2019-06-06 01:52:00,1
2019-06-06 05:11:00,1
2019-06-06 10:47:00,1
2019-06-08 06:31:00,1
2019-06-08 16:46:00,1
2019-06-10 05:56:00,1
2019-06-11 01:23:00,1
2019-06-11 01:26:00,1
2019-06-11 02:28:00,1
2019-06-11 05:22:00,1
2019-06-11 08:18:00,1
2019-06-11 08:19:00,1
2019-06-11 10:07:00,1
2019-06-11 10:08:00,1
2019-06-11 10:35:00,1
2019-06-11 10:46:00,1
2019-06-17 02:37:00,1
2019-06-17 06:46:00,1
2019-06-17 10:49:00,1
2019-06-17 17:49:00,1
2019-06-17 17:50:00,1
2019-06-19 02:56:00,1
2019-06-19 03:13:00,1
2019-06-19 03:34:00,1
2019-06-19 03:49:00,1
2019-06-19 03:58:00,1
2019-06-19 03:59:00,1
2019-06-19 04:52:00,1
2019-06-19 05:49:00,1
2019-06-21 07:17:00,1
2019-06-21 07:42:00,1
2019-06-22 03:09:00,1
2019-06-22 03:31:00,1
2019-06-22 03:46:00,1
2019-06-22 09:10:00,1
2019-06-22 09:14:00,1
2019-06-24 02:31:00,1
2019-06-24 02:34:00,2
2019-06-24 02:37:00,1
2019-06-24 02:50:00,1
2019-06-24 02:55:00,1
2019-06-24 02:57:00,2
2019-06-24 03:24:00,1
2019-06-24 03:44:00,1
2019-06-24 03:53:00,1
2019-06-24 03:59:00,1
2019-06-24 13:06:00,1
2019-06-25 00:32:00,1
2019-06-25 04:49:00,1
2019-06-30 10:24:00,1
2019-06-30 10:26:00,1
2019-07-01 18:46:00,1
2019-07-01 18:48:00,1
2019-07-01 18:53:00,1
2019-07-01 18:56:00,1
2019-07-02 03:16:00,1
2019-07-02 03:22:00,1
2019-07-02 03:23:00,1
2019-07-02 12:41:00,1
2019-07-04 04:36:00,2
2019-07-04 09:29:00,2
2019-07-05 10:47:00,1
2019-07-07 07:43:00,1
2019-07-09 04:30:00,1
2019-07-09 10:11:00,1
2019-07-09 11:38:00,1
2019-07-09 11:40:00,1
2019-07-09 12:52:00,1
2019-07-10 04:53:00,1
2019-07-10 08:49:00,1
2019-07-10 10:57:00,1
2019-07-10 11:47:00,1
2019-07-11 03:54:00,1
2019-07-11 07:26:00,1
2019-07-11 09:39:00,1
2019-07-15 06:43:00,1
2019-07-15 17:03:00,1
2019-07-19 00:48:00,1
2019-07-19 04:05:00,1
2019-07-22 06:05:00,2
2019-07-24 04:26:00,1
2019-07-24 07:12:00,1
2019-07-25 18:30:00,1
2019-07-30 13:29:00,1
2019-07-31 07:56:00,2
2019-07-31 07:57:00,1
2019-08-01 01:15:00,1
2019-08-01 09:04:00,1
2019-08-01 09:08:00,1
2019-08-02 05:49:00,1
2019-08-04 04:42:00,1
2019-08-04 04:54:00,1
2019-08-04 05:14:00,1
2019-08-04 05:16:00,1
2019-08-04 05:41:00,1
2019-08-04 05:42:00,1
2019-08-05 12:43:00,1
2019-08-05 15:43:00,1
2019-08-06 05:57:00,1
2019-08-06 13:05:00,1
2019-08-06 13:06:00,1
2019-08-07 03:00:00,1
2019-08-07 03:02:00,1
2019-08-07 06:58:00,1
2019-08-08 00:35:00,1
2019-08-08 03:18:00,1
2019-08-08 11:01:00,1
2019-08-09 02:27:00,1
2019-08-09 04:17:00,1
2019-08-09 14:36:00,1
2019-08-12 02:12:00,1
2019-08-12 10:27:00,1
2019-08-13 05:00:00,1
2019-08-13 05:12:00,1
2019-08-13 11:47:00,2
2019-08-13 11:49:00,1
2019-08-13 13:42:00,1
2019-08-13 14:50:00,1
2019-08-13 15:08:00,1
2019-08-15 09:13:00,1
2019-08-15 13:04:00,1
2019-08-15 13:07:00,1
2019-08-16 12:09:00,1
2019-08-18 09:02:00,1
2019-08-19 18:33:00,1
2019-08-22 06:24:00,1
2019-08-23 09:40:00,1
2019-08-26 13:11:00,1
2019-09-02 08:00:00,1
2019-09-02 08:01:00,1
2019-09-02 08:39:00,1
2019-09-02 08:40:00,1
2019-09-04 05:18:00,1
2019-09-04 10:16:00,1
2019-09-04 15:37:00,1
2019-09-06 05:03:00,1
2019-09-06 06:11:00,1
2019-09-06 06:15:00,1
2019-09-07 10:01:00,1
2019-09-09 18:57:00,1
2019-09-09 19:14:00,1
2019-09-13 07:54:00,1
2019-09-15 08:55:00,1
2019-09-15 10:41:00,1
2019-09-15 11:13:00,2
2019-09-15 13:15:00,1
2019-09-15 13:18:00,1
2019-09-15 14:53:00,1
