2043,"select r.run, r.rerun, r.camcol, r.field, f.fieldId, r.stripe, r.strip, r.ra, r.dec, r.raMin, r.raMax, r.decMin, r.decMax, r.mu, r.nu, r.incl, r.node, r.a, r.b, r.c, r.d, r.e, r.f, f.quality, f.a_u, f.b_u, f.c_u, f.d_u, f.e_u, f.f_u, f.a_g, f.b_g, f.c_g, f.d_g, f.e_g, f.f_g, f.a_r, f.b_r, f.c_r, f.d_r, f.e_r, f.f_r, f.a_i, f.b_i, f.c_i, f.d_i, f.e_i, f.f_i, f.a_z, f.b_z, f.c_z, f.d_z, f.e_z, f.f_z, dbo.fGetUrlFitsCFrame (f.fieldId, #) as u_url, dbo.fGetUrlFitsCFrame (f.fieldId, #) as g_url, dbo.fGetUrlFitsCFrame (f.fieldId, #) as r_url, dbo.fGetUrlFitsCFrame (f.fieldId, #) as i_url, dbo.fGetUrlFitsCFrame (f.fieldId, #) as z_url from dbo.fGetNearbyFrameEq (#, #E-#, #, #) n, Frame r, Field f where f.fieldId = r.fieldId and r.fieldId = n.fieldId and r.zoom = #"
2019-07-28 16:30:00,13
2019-07-28 16:31:00,5
2019-07-29 06:08:00,12
2019-08-03 20:01:00,15
2019-08-04 03:27:00,15
2019-08-04 03:28:00,10
2019-08-04 03:29:00,5
2019-08-08 09:53:00,5
2019-08-10 06:50:00,15
2019-08-10 14:21:00,19
2019-08-10 14:22:00,6
2019-08-10 14:23:00,5
2019-08-16 17:48:00,5
2019-08-16 17:49:00,10
2019-08-17 01:24:00,15
2019-08-21 06:03:00,5
2019-08-21 06:04:00,5
2019-08-23 04:46:00,15
2019-08-23 09:09:00,5
2019-08-23 09:10:00,5
2019-08-23 09:11:00,5
2019-08-23 11:35:00,5
2019-08-23 11:36:00,10
2019-08-24 06:40:00,10
2019-08-29 15:34:00,15
2019-08-29 20:06:00,5
2019-09-04 16:23:00,5
2019-09-04 16:24:00,5
2019-09-14 01:36:00,3
2019-09-14 01:37:00,2
2019-09-23 07:07:00,15
2019-09-23 12:01:00,5
2019-09-23 12:02:00,5
2019-09-23 12:03:00,5
2019-09-23 14:05:00,15
2019-09-24 05:43:00,5
2019-09-26 12:19:00,5
2019-09-30 05:15:00,6
2019-09-30 05:16:00,9
2019-09-30 10:48:00,15
2019-09-30 12:09:00,5
2019-09-30 12:10:00,5
2019-09-30 12:11:00,5
2019-10-02 11:30:00,5
2019-10-02 11:31:00,3
2019-10-02 11:32:00,2
2019-10-02 11:33:00,5
2019-10-02 11:50:00,5
2019-10-02 11:51:00,10
2019-10-02 16:04:00,10
2019-10-02 16:05:00,5
2019-10-03 05:47:00,15
2019-10-03 10:29:00,5
2019-10-03 10:30:00,10
2019-10-03 12:02:00,5
2019-10-03 12:03:00,5
2019-10-03 12:04:00,5
2019-10-08 04:30:00,10
2019-10-09 03:02:00,15
2019-10-11 04:38:00,4
2019-10-11 04:39:00,6
2019-10-13 06:14:00,7
2019-10-13 06:15:00,8
2019-10-13 10:31:00,15
2019-10-13 11:53:00,5
2019-10-13 11:54:00,5
2019-10-13 11:55:00,5
2019-10-31 12:08:00,2
2019-10-31 12:09:00,3
2019-11-01 12:44:00,8
2019-11-01 12:45:00,7
2019-11-01 13:04:00,15
2019-11-01 17:53:00,15
2019-11-02 04:04:00,5
2019-11-02 04:05:00,5
2019-11-05 04:09:00,8
2019-11-05 04:10:00,2
2019-11-18 00:31:00,5
2019-11-18 00:32:00,5
2019-11-18 00:33:00,5
2019-11-18 09:32:00,5
2019-11-18 09:33:00,10
2019-11-25 04:45:00,10
2019-11-28 06:29:00,5
2019-11-28 06:30:00,5
2019-12-02 14:59:00,5
2019-12-02 15:01:00,10
2019-12-05 05:50:00,1
2019-12-05 05:54:00,1
2019-12-08 08:12:00,15
2019-12-08 13:09:00,5
2019-12-08 13:10:00,5
2019-12-08 13:11:00,5
2019-12-15 11:31:00,15
2019-12-16 01:55:00,15
2019-12-20 04:21:00,10
2019-12-23 04:17:00,10
