27241,"select [enum], [name], [type], [length], [unit], [ucd], [description] from dbo.fDocColumns (#) ORDER BY [columnID]"
2019-01-09 08:28:00,1
2019-01-09 08:29:00,1
2019-01-09 08:34:00,1
2019-01-09 08:35:00,1
2019-01-09 08:46:00,1
2019-01-09 09:03:00,1
2019-01-09 09:06:00,1
2019-01-09 09:10:00,1
2019-01-09 10:16:00,1
2019-01-09 10:27:00,2
2019-01-09 11:03:00,1
2019-01-09 12:48:00,1
2019-01-09 15:23:00,1
2019-01-09 15:27:00,1
2019-01-09 15:35:00,1
2019-01-09 15:36:00,1
2019-01-09 15:40:00,1
2019-01-09 15:58:00,1
2019-01-09 16:58:00,2
2019-01-09 17:16:00,1
2019-01-09 17:17:00,1
2019-01-09 17:36:00,1
2019-01-09 17:38:00,3
2019-01-09 17:43:00,1
2019-01-09 17:49:00,1
2019-01-09 17:50:00,1
2019-01-09 17:52:00,3
2019-01-09 17:53:00,1
2019-01-09 17:54:00,2
2019-01-09 17:56:00,1
2019-01-09 17:57:00,1
2019-01-09 19:23:00,1
2019-01-09 20:21:00,1
2019-01-09 20:28:00,2
2019-01-09 20:31:00,3
2019-01-09 20:33:00,2
2019-01-09 20:38:00,1
2019-01-09 20:46:00,2
2019-01-09 21:00:00,1
2019-01-09 21:13:00,1
2019-01-09 21:16:00,4
2019-01-09 21:32:00,1
2019-01-09 21:35:00,1
2019-01-09 21:46:00,1
2019-01-09 22:01:00,1
2019-01-09 22:04:00,2
2019-01-09 22:23:00,1
2019-01-09 23:26:00,1
2019-01-10 00:02:00,1
2019-01-10 00:17:00,1
2019-01-10 00:21:00,2
2019-01-10 00:48:00,2
2019-01-10 01:23:00,1
2019-01-10 01:27:00,1
2019-01-10 01:31:00,1
2019-01-10 02:00:00,1
2019-01-10 02:01:00,1
2019-01-10 03:23:00,1
2019-01-10 03:48:00,1
2019-01-10 05:37:00,1
2019-01-10 05:39:00,1
2019-01-10 06:03:00,1
2019-01-10 06:15:00,1
2019-01-10 06:16:00,1
2019-01-10 06:19:00,1
2019-01-10 06:22:00,1
2019-01-10 06:23:00,2
2019-01-10 06:26:00,1
2019-01-10 06:27:00,3
2019-01-10 06:34:00,1
2019-01-10 07:44:00,1
2019-01-10 07:45:00,2
2019-01-10 07:47:00,1
2019-01-10 08:01:00,2
2019-01-10 08:11:00,1
2019-01-10 08:12:00,1
2019-01-10 08:17:00,1
2019-01-10 09:05:00,1
2019-01-10 09:27:00,1
2019-01-10 09:48:00,2
2019-01-10 10:26:00,1
2019-01-10 10:28:00,1
2019-01-10 10:51:00,1
2019-01-10 11:06:00,3
2019-01-10 11:10:00,1
2019-01-10 11:14:00,1
2019-01-10 12:14:00,2
2019-01-10 12:24:00,1
2019-01-10 12:25:00,1
2019-01-10 12:51:00,1
2019-01-10 14:01:00,1
2019-01-10 14:03:00,1
2019-01-10 14:17:00,1
2019-01-10 15:29:00,1
2019-01-10 15:34:00,1
2019-01-10 17:53:00,2
2019-01-10 18:48:00,1
2019-01-10 19:03:00,1
2019-01-10 19:16:00,2
2019-01-10 19:28:00,1
2019-01-10 19:29:00,2
2019-01-10 20:28:00,1
2019-01-10 20:29:00,1
2019-01-10 20:56:00,1
2019-01-10 21:21:00,1
2019-01-10 22:06:00,1
2019-01-11 00:56:00,2
2019-01-11 01:11:00,1
2019-01-11 01:15:00,1
2019-01-11 01:50:00,1
2019-01-11 02:17:00,1
2019-01-11 02:18:00,1
2019-01-11 02:19:00,1
2019-01-11 02:35:00,1
2019-01-11 02:36:00,1
2019-01-11 05:06:00,1
2019-01-11 06:29:00,1
2019-01-11 06:31:00,1
2019-01-11 06:35:00,1
2019-01-11 06:36:00,2
2019-01-11 06:41:00,1
2019-01-11 06:42:00,1
2019-01-11 06:48:00,2
2019-01-11 06:50:00,1
2019-01-11 06:52:00,2
2019-01-11 06:58:00,1
2019-01-11 07:25:00,1
2019-01-11 07:38:00,1
2019-01-11 07:39:00,1
2019-01-11 07:40:00,1
2019-01-11 07:56:00,1
2019-01-11 08:01:00,1
2019-01-11 09:26:00,3
2019-01-11 09:45:00,2
2019-01-11 09:46:00,2
2019-01-11 10:48:00,3
2019-01-11 14:14:00,1
2019-01-11 14:15:00,1
2019-01-11 15:31:00,1
2019-01-11 15:51:00,1
2019-01-11 16:31:00,2
2019-01-11 16:57:00,3
2019-01-11 18:46:00,1
2019-01-11 18:47:00,2
2019-01-11 18:48:00,1
2019-01-11 18:49:00,3
2019-01-11 18:50:00,1
2019-01-11 18:51:00,1
2019-01-11 18:54:00,1
2019-01-11 20:31:00,1
2019-01-11 20:33:00,2
2019-01-11 21:33:00,1
2019-01-11 21:37:00,1
2019-01-11 21:39:00,1
2019-01-11 22:19:00,2
2019-01-11 22:20:00,1
2019-01-11 22:29:00,1
2019-01-11 22:47:00,1
2019-01-12 04:16:00,1
2019-01-12 04:17:00,1
2019-01-12 04:19:00,2
2019-01-12 04:34:00,1
2019-01-12 04:38:00,1
2019-01-12 04:41:00,1
2019-01-12 04:45:00,1
2019-01-12 04:48:00,1
2019-01-12 04:55:00,3
2019-01-12 04:56:00,1
2019-01-12 04:58:00,1
2019-01-12 07:40:00,1
2019-01-12 07:42:00,1
2019-01-12 12:36:00,1
2019-01-12 14:24:00,1
2019-01-12 15:37:00,1
2019-01-12 18:18:00,1
2019-01-12 18:19:00,1
2019-01-12 19:59:00,1
2019-01-12 21:57:00,1
2019-01-13 00:44:00,1
2019-01-13 00:57:00,1
2019-01-13 03:19:00,1
2019-01-13 07:36:00,1
2019-01-13 09:27:00,1
2019-01-13 09:28:00,1
2019-01-13 09:39:00,1
2019-01-13 09:43:00,2
2019-01-13 09:45:00,1
2019-01-13 12:11:00,1
2019-01-13 13:18:00,1
2019-01-13 14:13:00,1
2019-01-13 14:27:00,2
2019-01-13 14:57:00,2
2019-01-13 14:58:00,2
2019-01-13 15:10:00,1
2019-01-13 15:13:00,1
2019-01-13 22:14:00,1
2019-01-14 00:24:00,2
2019-01-14 01:13:00,1
2019-01-14 01:47:00,1
2019-01-14 07:54:00,1
2019-01-14 07:58:00,2
2019-01-14 07:59:00,1
2019-01-14 09:35:00,1
2019-01-14 10:16:00,1
2019-01-14 10:18:00,1
2019-01-14 10:33:00,1
2019-01-14 10:36:00,1
2019-01-14 10:41:00,2
2019-01-14 10:42:00,2
2019-01-14 10:43:00,1
2019-01-14 10:53:00,1
2019-01-14 12:23:00,3
2019-01-14 12:24:00,3
2019-01-14 12:25:00,1
2019-01-14 13:27:00,1
2019-01-14 13:41:00,1
2019-01-14 13:52:00,1
2019-01-14 13:54:00,3
2019-01-14 14:06:00,1
2019-01-14 14:16:00,1
2019-01-14 14:56:00,1
2019-01-14 16:40:00,1
2019-01-14 16:48:00,1
2019-01-14 17:15:00,4
2019-01-14 17:22:00,1
2019-01-14 17:41:00,1
2019-01-14 18:32:00,1
2019-01-14 18:33:00,2
2019-01-14 18:34:00,1
2019-01-14 18:35:00,1
2019-01-14 18:43:00,1
2019-01-14 18:47:00,1
2019-01-14 18:48:00,1
2019-01-14 18:49:00,1
2019-01-14 18:52:00,2
2019-01-14 18:58:00,1
2019-01-14 19:00:00,1
2019-01-14 19:01:00,1
2019-01-14 19:02:00,2
2019-01-14 19:23:00,1
2019-01-14 19:24:00,1
2019-01-14 19:27:00,1
2019-01-14 19:28:00,1
2019-01-14 19:52:00,1
2019-01-14 20:11:00,1
2019-01-14 20:14:00,1
2019-01-14 20:35:00,1
2019-01-14 20:40:00,1
2019-01-14 21:35:00,1
2019-01-14 21:44:00,1
2019-01-14 22:37:00,1
2019-01-14 22:41:00,2
2019-01-15 00:09:00,1
2019-01-15 00:27:00,1
2019-01-15 03:06:00,1
2019-01-15 03:26:00,1
2019-01-15 03:32:00,1
2019-01-15 03:33:00,1
2019-01-15 03:58:00,1
2019-01-15 05:21:00,1
2019-01-15 05:37:00,2
2019-01-15 05:38:00,1
2019-01-15 06:29:00,3
2019-01-15 06:34:00,1
2019-01-15 06:39:00,2
2019-01-15 06:40:00,1
2019-01-15 06:41:00,1
2019-01-15 06:44:00,3
2019-01-15 06:52:00,2
2019-01-15 06:53:00,1
2019-01-15 07:10:00,1
2019-01-15 07:11:00,1
2019-01-15 07:37:00,1
2019-01-15 08:48:00,1
2019-01-15 08:49:00,1
2019-01-15 08:50:00,1
2019-01-15 09:23:00,2
2019-01-15 09:31:00,1
2019-01-15 09:40:00,1
2019-01-15 09:44:00,2
2019-01-15 09:58:00,1
2019-01-15 10:02:00,1
2019-01-15 11:14:00,1
2019-01-15 13:34:00,1
2019-01-15 13:35:00,4
2019-01-15 13:36:00,1
2019-01-15 13:37:00,3
2019-01-15 13:38:00,3
2019-01-15 13:39:00,2
2019-01-15 14:10:00,1
2019-01-15 15:18:00,2
2019-01-15 15:19:00,2
2019-01-15 15:20:00,2
2019-01-15 15:56:00,1
2019-01-15 15:58:00,1
2019-01-15 18:15:00,2
2019-01-15 18:40:00,2
2019-01-15 19:10:00,1
2019-01-15 19:59:00,2
2019-01-15 22:06:00,1
2019-01-15 23:32:00,1
2019-01-16 02:29:00,1
2019-01-16 02:53:00,1
2019-01-16 04:41:00,1
2019-01-16 04:43:00,3
2019-01-16 04:44:00,2
2019-01-16 04:45:00,1
2019-01-16 04:46:00,1
2019-01-16 04:47:00,1
2019-01-16 04:51:00,2
2019-01-16 04:52:00,2
2019-01-16 05:08:00,1
2019-01-16 05:09:00,1
2019-01-16 05:12:00,3
2019-01-16 05:51:00,1
2019-01-16 06:02:00,2
2019-01-16 07:43:00,1
2019-01-16 07:44:00,2
2019-01-16 07:48:00,1
2019-01-16 07:54:00,12
2019-01-16 07:55:00,19
2019-01-16 07:56:00,1
2019-01-16 08:05:00,1
2019-01-16 08:06:00,1
2019-01-16 08:07:00,5
2019-01-16 08:09:00,1
2019-01-16 08:11:00,3
2019-01-16 08:15:00,1
2019-01-16 08:20:00,1
2019-01-16 08:21:00,1
2019-01-16 08:23:00,10
2019-01-16 08:24:00,7
2019-01-16 08:25:00,5
2019-01-16 08:26:00,6
2019-01-16 08:35:00,2
2019-01-16 08:39:00,1
2019-01-16 08:41:00,1
2019-01-16 08:45:00,1
2019-01-16 08:53:00,1
2019-01-16 09:07:00,3
2019-01-16 09:15:00,1
2019-01-16 09:21:00,1
2019-01-16 09:25:00,1
2019-01-16 09:30:00,1
2019-01-16 09:34:00,1
2019-01-16 10:03:00,1
2019-01-16 10:08:00,1
2019-01-16 10:12:00,1
2019-01-16 10:13:00,1
2019-01-16 10:15:00,2
2019-01-16 10:17:00,3
2019-01-16 10:24:00,1
2019-01-16 10:25:00,1
2019-01-16 10:26:00,1
2019-01-16 11:05:00,1
2019-01-16 11:35:00,1
2019-01-16 11:54:00,2
2019-01-16 12:41:00,1
2019-01-16 12:43:00,1
2019-01-16 12:45:00,1
2019-01-16 12:54:00,2
2019-01-16 13:06:00,2
2019-01-16 13:09:00,1
2019-01-16 13:10:00,2
2019-01-16 14:23:00,1
2019-01-16 14:24:00,1
2019-01-16 14:32:00,1
2019-01-16 14:38:00,2
2019-01-16 14:51:00,1
2019-01-16 14:52:00,1
2019-01-16 14:59:00,1
2019-01-16 15:00:00,3
2019-01-16 15:01:00,1
2019-01-16 15:21:00,1
2019-01-16 15:59:00,1
2019-01-16 16:02:00,1
2019-01-16 16:17:00,1
2019-01-16 16:23:00,1
2019-01-16 16:25:00,1
2019-01-16 16:45:00,4
2019-01-16 16:47:00,1
2019-01-16 16:48:00,2
2019-01-16 16:49:00,2
2019-01-16 16:50:00,2
2019-01-16 16:51:00,2
2019-01-16 16:53:00,1
2019-01-16 16:59:00,1
2019-01-16 17:09:00,1
2019-01-16 17:12:00,1
2019-01-16 17:13:00,1
2019-01-16 17:15:00,1
2019-01-16 17:30:00,1
2019-01-16 18:47:00,1
2019-01-16 19:02:00,1
2019-01-16 19:16:00,1
2019-01-16 19:17:00,1
2019-01-16 19:25:00,1
2019-01-16 19:31:00,1
2019-01-16 19:52:00,1
2019-01-16 20:34:00,1
2019-01-16 21:25:00,1
2019-01-16 21:26:00,1
2019-01-16 21:27:00,1
2019-01-16 21:28:00,1
2019-01-17 01:37:00,1
2019-01-17 01:39:00,1
2019-01-17 01:40:00,1
2019-01-17 01:59:00,1
2019-01-17 02:15:00,1
2019-01-17 02:17:00,1
2019-01-17 02:49:00,1
2019-01-17 03:04:00,1
2019-01-17 03:06:00,1
2019-01-17 03:07:00,1
2019-01-17 03:15:00,1
2019-01-17 03:29:00,1
2019-01-17 03:39:00,1
2019-01-17 03:41:00,1
2019-01-17 04:31:00,2
2019-01-17 04:32:00,2
2019-01-17 04:33:00,3
2019-01-17 04:34:00,1
2019-01-17 04:35:00,1
2019-01-17 05:15:00,1
2019-01-17 07:24:00,2
2019-01-17 07:25:00,1
2019-01-17 07:37:00,1
2019-01-17 07:40:00,1
2019-01-17 08:14:00,1
2019-01-17 08:36:00,1
2019-01-17 08:37:00,1
2019-01-17 08:38:00,1
2019-01-17 09:06:00,1
2019-01-17 10:47:00,1
2019-01-17 10:48:00,1
2019-01-17 11:16:00,2
2019-01-17 11:18:00,1
2019-01-17 11:19:00,1
2019-01-17 11:21:00,1
2019-01-17 11:38:00,2
2019-01-17 11:39:00,2
2019-01-17 12:50:00,1
2019-01-17 12:51:00,1
2019-01-17 14:13:00,1
2019-01-17 14:14:00,2
2019-01-17 15:18:00,1
2019-01-17 15:20:00,1
2019-01-17 15:21:00,4
2019-01-17 15:32:00,1
2019-01-17 16:04:00,1
2019-01-17 16:05:00,1
2019-01-17 16:06:00,3
2019-01-17 16:07:00,1
2019-01-17 16:09:00,2
2019-01-17 16:12:00,1
2019-01-17 16:17:00,2
2019-01-17 16:18:00,2
2019-01-17 16:20:00,2
2019-01-17 16:23:00,1
2019-01-17 16:26:00,1
2019-01-17 16:27:00,1
2019-01-17 16:38:00,1
2019-01-17 16:48:00,3
2019-01-17 16:50:00,1
2019-01-17 16:52:00,1
2019-01-17 16:57:00,2
2019-01-17 16:58:00,1
2019-01-17 18:11:00,2
2019-01-17 18:18:00,1
2019-01-17 18:26:00,2
2019-01-17 18:28:00,1
2019-01-17 18:39:00,1
2019-01-17 18:47:00,1
2019-01-17 19:12:00,7
2019-01-17 19:19:00,1
2019-01-17 19:20:00,1
2019-01-17 19:33:00,2
2019-01-17 23:36:00,1
2019-01-18 00:39:00,1
2019-01-18 00:40:00,1
2019-01-18 00:51:00,1
2019-01-18 00:52:00,1
2019-01-18 00:53:00,1
2019-01-18 00:54:00,1
2019-01-18 00:56:00,1
2019-01-18 00:57:00,1
2019-01-18 00:59:00,1
2019-01-18 01:34:00,1
2019-01-18 01:39:00,1
2019-01-18 01:42:00,1
2019-01-18 02:07:00,1
2019-01-18 02:48:00,2
2019-01-18 04:14:00,1
2019-01-18 04:19:00,1
2019-01-18 04:20:00,2
2019-01-18 04:21:00,1
2019-01-18 04:30:00,1
2019-01-18 05:18:00,1
2019-01-18 06:03:00,1
2019-01-18 06:43:00,1
2019-01-18 07:38:00,1
2019-01-18 08:30:00,2
2019-01-18 08:52:00,2
2019-01-18 10:27:00,3
2019-01-18 10:28:00,1
2019-01-18 10:54:00,1
2019-01-18 10:58:00,2
2019-01-18 11:27:00,2
2019-01-18 11:36:00,1
2019-01-18 11:43:00,1
2019-01-18 11:46:00,1
2019-01-18 11:47:00,2
2019-01-18 11:50:00,1
2019-01-18 12:22:00,1
2019-01-18 12:23:00,1
2019-01-18 12:24:00,1
2019-01-18 12:28:00,2
2019-01-18 12:48:00,1
2019-01-18 12:49:00,2
2019-01-18 12:51:00,2
2019-01-18 12:52:00,1
2019-01-18 12:53:00,1
2019-01-18 12:54:00,5
2019-01-18 12:55:00,1
2019-01-18 12:56:00,1
2019-01-18 13:09:00,1
2019-01-18 13:11:00,2
2019-01-18 13:15:00,1
2019-01-18 13:16:00,2
2019-01-18 13:18:00,1
2019-01-18 13:28:00,1
2019-01-18 13:42:00,1
2019-01-18 14:00:00,1
2019-01-18 14:01:00,1
2019-01-18 14:03:00,1
2019-01-18 14:33:00,1
2019-01-18 15:08:00,1
2019-01-18 15:09:00,1
2019-01-18 15:10:00,3
2019-01-18 15:35:00,1
2019-01-18 15:37:00,1
2019-01-18 15:39:00,1
2019-01-18 15:59:00,1
2019-01-18 16:17:00,1
2019-01-18 16:18:00,1
2019-01-18 16:32:00,1
2019-01-18 16:38:00,1
2019-01-18 16:41:00,1
2019-01-18 16:43:00,1
2019-01-18 16:57:00,1
2019-01-18 16:59:00,1
2019-01-18 17:11:00,1
2019-01-18 17:35:00,1
2019-01-18 17:37:00,1
2019-01-18 19:20:00,1
2019-01-18 19:59:00,1
2019-01-18 20:03:00,1
2019-01-18 20:42:00,1
2019-01-18 21:28:00,1
2019-01-18 21:41:00,2
2019-01-18 22:26:00,1
2019-01-18 22:32:00,1
2019-01-19 00:51:00,1
2019-01-19 02:01:00,1
2019-01-19 04:02:00,1
2019-01-19 04:06:00,1
2019-01-19 04:12:00,1
2019-01-19 04:13:00,1
2019-01-19 04:23:00,1
2019-01-19 04:40:00,1
2019-01-19 04:48:00,1
2019-01-19 05:05:00,1
2019-01-19 05:41:00,1
2019-01-19 06:50:00,1
2019-01-19 09:59:00,1
2019-01-19 10:56:00,1
2019-01-19 11:12:00,1
2019-01-19 11:36:00,2
2019-01-19 11:39:00,2
2019-01-19 11:40:00,2
2019-01-19 11:41:00,1
2019-01-19 11:45:00,1
2019-01-19 11:47:00,1
2019-01-19 11:51:00,1
2019-01-19 11:54:00,1
2019-01-19 12:06:00,1
2019-01-19 12:30:00,1
2019-01-19 13:24:00,1
2019-01-19 14:01:00,1
2019-01-19 14:04:00,1
2019-01-19 14:52:00,1
2019-01-19 15:03:00,2
2019-01-19 15:04:00,1
2019-01-19 15:05:00,1
2019-01-19 15:06:00,1
2019-01-19 15:07:00,1
2019-01-19 15:12:00,1
2019-01-19 15:22:00,1
2019-01-19 16:49:00,1
2019-01-19 16:50:00,2
2019-01-19 16:51:00,2
2019-01-19 16:52:00,2
2019-01-19 16:54:00,1
2019-01-19 16:55:00,1
2019-01-19 16:58:00,1
2019-01-19 16:59:00,1
2019-01-19 17:05:00,1
2019-01-19 17:07:00,1
2019-01-19 17:15:00,2
2019-01-19 17:24:00,1
2019-01-19 17:28:00,2
2019-01-19 17:46:00,2
2019-01-19 17:47:00,1
2019-01-19 17:51:00,1
2019-01-19 18:03:00,1
2019-01-19 18:06:00,1
2019-01-19 18:07:00,1
2019-01-19 18:15:00,1
2019-01-19 18:42:00,1
2019-01-19 20:02:00,1
2019-01-19 20:10:00,1
2019-01-19 21:01:00,1
2019-01-19 21:30:00,1
2019-01-19 21:56:00,1
2019-01-19 23:24:00,1
2019-01-20 00:28:00,1
2019-01-20 06:21:00,1
2019-01-20 06:35:00,1
2019-01-20 06:36:00,2
2019-01-20 06:37:00,1
2019-01-20 06:38:00,2
2019-01-20 06:39:00,1
2019-01-20 06:43:00,1
2019-01-20 08:49:00,1
2019-01-20 11:11:00,1
2019-01-20 12:43:00,1
2019-01-20 12:44:00,1
2019-01-20 13:34:00,1
2019-01-20 13:35:00,1
2019-01-20 13:36:00,2
2019-01-20 14:42:00,2
2019-01-20 14:56:00,1
2019-01-20 15:02:00,2
2019-01-20 15:03:00,1
2019-01-20 15:19:00,1
2019-01-20 15:24:00,1
2019-01-20 15:47:00,1
2019-01-20 17:12:00,1
2019-01-20 17:22:00,1
2019-01-20 17:23:00,1
2019-01-20 17:49:00,1
2019-01-20 17:51:00,1
2019-01-20 17:53:00,1
2019-01-20 18:12:00,1
2019-01-20 18:13:00,1
2019-01-20 19:07:00,1
2019-01-20 19:13:00,1
2019-01-20 19:14:00,3
2019-01-20 19:15:00,2
2019-01-20 19:49:00,1
2019-01-20 19:54:00,1
2019-01-20 19:58:00,1
2019-01-20 20:54:00,1
2019-01-20 21:01:00,1
2019-01-20 21:24:00,1
2019-01-20 21:46:00,1
2019-01-20 21:55:00,1
2019-01-20 21:56:00,1
2019-01-20 23:51:00,1
2019-01-21 00:32:00,1
2019-01-21 00:33:00,1
2019-01-21 00:54:00,1
2019-01-21 00:59:00,1
2019-01-21 04:16:00,1
2019-01-21 04:41:00,1
2019-01-21 04:43:00,3
2019-01-21 04:44:00,1
2019-01-21 04:54:00,1
2019-01-21 04:57:00,1
2019-01-21 06:39:00,1
2019-01-21 06:47:00,1
2019-01-21 06:54:00,2
2019-01-21 07:47:00,1
2019-01-21 07:48:00,3
2019-01-21 07:52:00,4
2019-01-21 07:54:00,2
2019-01-21 07:57:00,1
2019-01-21 07:59:00,1
2019-01-21 08:28:00,1
