1180,"SELECT objID, ra, dec FROM PhotoObj WHERE (ra between # and #) and (dec between # and #)"
2019-02-23 10:06:00,1
2019-02-24 02:32:00,1
2019-02-24 03:00:00,1
2019-02-24 07:26:00,1
2019-02-24 11:54:00,1
2019-02-24 22:43:00,1
2019-02-24 22:55:00,1
2019-02-25 04:11:00,1
2019-02-25 12:34:00,1
2019-02-25 17:59:00,1
2019-02-26 01:19:00,1
2019-02-26 12:16:00,1
2019-02-27 11:56:00,1
2019-02-27 19:53:00,1
2019-02-27 21:17:00,1
2019-02-27 22:35:00,1
2019-02-28 01:42:00,1
2019-02-28 03:37:00,1
2019-02-28 07:55:00,1
2019-02-28 12:41:00,1
2019-02-28 12:43:00,1
2019-02-28 12:44:00,1
2019-03-01 00:58:00,1
2019-03-01 01:20:00,1
2019-03-01 01:55:00,1
2019-03-01 03:17:00,1
2019-03-01 10:05:00,1
2019-03-01 13:00:00,1
2019-03-01 18:18:00,1
2019-03-01 21:12:00,1
2019-03-01 22:36:00,1
2019-03-01 22:52:00,1
2019-03-01 22:53:00,1
2019-03-01 22:54:00,1
2019-03-02 02:13:00,1
2019-03-02 04:28:00,1
2019-03-02 22:42:00,1
2019-03-03 02:17:00,1
2019-03-03 04:34:00,1
2019-03-03 09:04:00,1
2019-03-03 11:09:00,1
2019-03-03 14:53:00,1
2019-03-04 00:05:00,2
2019-03-04 00:06:00,1
2019-03-04 01:44:00,1
2019-03-04 05:38:00,1
2019-03-04 06:31:00,1
2019-03-04 20:15:00,1
2019-03-04 22:46:00,1
2019-03-05 00:41:00,1
2019-03-05 07:37:00,1
2019-03-05 07:39:00,1
2019-03-05 08:56:00,1
2019-03-05 12:34:00,1
2019-03-06 13:48:00,1
2019-03-06 14:22:00,1
2019-03-06 14:23:00,1
2019-03-06 14:24:00,1
2019-03-06 20:52:00,1
2019-03-07 10:56:00,1
2019-03-08 04:22:00,2
2019-03-08 10:22:00,1
2019-03-08 11:09:00,1
2019-03-08 14:25:00,1
2019-03-08 20:32:00,1
2019-03-08 22:26:00,1
2019-03-09 01:57:00,1
2019-03-10 01:45:00,1
2019-03-10 10:20:00,1
2019-03-10 16:24:00,1
2019-03-10 18:13:00,1
2019-03-10 18:38:00,1
2019-03-11 00:49:00,1
2019-03-11 02:06:00,1
2019-03-11 02:35:00,1
2019-03-11 07:51:00,1
2019-03-11 13:40:00,1
2019-03-11 16:42:00,1
2019-03-12 19:46:00,1
2019-03-13 02:49:00,1
2019-03-13 10:39:00,1
2019-03-14 01:13:00,1
2019-03-14 03:39:00,1
2019-03-14 10:15:00,1
2019-03-14 17:28:00,1
2019-03-14 17:36:00,1
2019-03-15 01:29:00,1
2019-03-15 02:55:00,1
2019-03-15 03:08:00,1
2019-03-15 03:40:00,1
2019-03-15 15:57:00,1
2019-03-15 17:20:00,1
2019-03-15 17:29:00,1
2019-03-16 05:28:00,1
2019-03-17 04:27:00,1
2019-03-17 18:01:00,1
2019-03-17 19:28:00,1
2019-03-17 21:40:00,1
2019-03-17 21:50:00,1
2019-03-18 05:06:00,1
2019-03-18 14:03:00,1
2019-03-19 04:03:00,1
2019-03-19 09:54:00,1
2019-03-19 13:43:00,2
2019-03-19 13:44:00,4
2019-03-19 13:45:00,3
2019-03-19 13:46:00,4
2019-03-19 13:47:00,3
2019-03-19 13:48:00,4
2019-03-19 13:49:00,1
2019-03-19 17:31:00,1
2019-03-20 05:09:00,1
2019-03-20 13:00:00,1
2019-03-21 09:30:00,1
2019-03-21 09:31:00,1
2019-03-21 16:39:00,1
2019-03-21 19:25:00,1
2019-03-21 23:17:00,1
2019-03-22 00:40:00,1
2019-03-22 18:53:00,1
2019-03-22 22:39:00,1
2019-03-24 01:52:00,1
2019-03-24 20:09:00,1
2019-03-25 00:37:00,1
2019-03-25 01:25:00,1
2019-03-25 04:55:00,1
2019-03-25 09:28:00,1
2019-03-26 08:53:00,1
2019-03-26 09:53:00,1
2019-03-26 19:56:00,1
2019-03-26 20:32:00,1
2019-03-26 20:59:00,1
2019-03-26 21:17:00,1
2019-03-27 00:15:00,1
2019-03-27 18:57:00,1
2019-03-28 16:18:00,1
2019-03-28 17:16:00,1
2019-03-28 17:51:00,1
2019-03-28 18:52:00,1
2019-03-28 20:01:00,1
2019-03-28 22:15:00,1
2019-03-28 23:43:00,1
2019-03-29 17:28:00,1
2019-03-29 20:15:00,1
2019-03-29 23:53:00,1
2019-03-30 08:59:00,1
2019-03-30 16:05:00,1
2019-03-31 01:30:00,1
2019-03-31 12:45:00,1
2019-03-31 20:08:00,1
2019-04-01 06:25:00,1
2019-04-01 07:28:00,1
2019-04-01 14:16:00,1
2019-04-01 18:26:00,1
2019-04-01 19:18:00,1
2019-04-01 20:23:00,1
2019-04-01 22:21:00,1
2019-04-02 09:58:00,1
2019-04-03 01:26:00,1
2019-04-03 15:26:00,1
2019-04-04 12:47:00,1
2019-04-05 13:43:00,1
2019-04-05 17:27:00,1
2019-04-05 20:08:00,1
2019-04-05 20:31:00,1
2019-04-06 14:31:00,1
2019-04-06 16:23:00,1
2019-04-07 14:37:00,1
2019-04-07 14:43:00,1
2019-04-08 15:40:00,1
2019-04-08 18:51:00,1
2019-04-09 02:04:00,1
2019-04-09 02:05:00,2
2019-04-09 05:30:00,1
2019-04-09 09:04:00,1
2019-04-09 12:29:00,1
2019-04-09 21:19:00,1
2019-04-09 21:22:00,1
2019-04-09 21:25:00,1
2019-04-10 00:38:00,1
2019-04-10 04:35:00,1
2019-04-10 18:07:00,1
2019-04-11 02:31:00,2
2019-04-11 02:32:00,2
2019-04-11 02:33:00,1
2019-04-12 05:55:00,1
2019-04-13 04:25:00,1
2019-04-13 13:44:00,1
2019-04-13 14:45:00,1
2019-04-14 09:08:00,1
2019-04-14 11:50:00,1
2019-04-15 11:11:00,1
2019-04-15 12:13:00,1
2019-04-15 15:41:00,1
2019-04-15 21:54:00,1
2019-04-16 06:54:00,1
2019-04-16 18:47:00,1
2019-04-17 02:43:00,1
2019-04-18 05:54:00,1
2019-04-18 08:53:00,1
2019-04-18 09:08:00,1
2019-04-18 10:35:00,1
2019-04-18 14:05:00,1
2019-04-18 21:12:00,1
2019-04-18 21:57:00,1
2019-04-19 00:35:00,1
2019-04-19 01:44:00,1
2019-04-19 10:04:00,1
2019-04-19 19:09:00,1
2019-04-20 11:31:00,1
2019-04-20 20:32:00,1
2019-04-21 18:27:00,1
2019-04-22 02:31:00,1
2019-04-22 09:00:00,1
2019-04-22 13:47:00,1
2019-04-22 17:31:00,1
2019-04-22 22:21:00,1
2019-04-23 02:23:00,1
2019-04-23 23:20:00,1
2019-04-24 10:58:00,1
2019-04-25 00:52:00,1
2019-04-25 10:20:00,1
2019-04-26 04:07:00,1
2019-04-26 09:12:00,1
2019-04-26 15:33:00,1
2019-04-26 16:32:00,1
2019-04-26 20:22:00,1
2019-04-27 06:44:00,1
2019-04-28 02:47:00,1
2019-04-28 03:24:00,1
2019-04-28 05:52:00,1
2019-04-28 09:13:00,1
2019-04-28 13:39:00,1
2019-04-30 02:23:00,1
2019-04-30 06:43:00,1
2019-04-30 09:50:00,1
2019-05-01 03:05:00,1
2019-05-01 15:09:00,1
2019-05-01 19:09:00,1
2019-05-01 19:10:00,1
2019-05-01 19:11:00,1
2019-05-02 11:24:00,1
2019-05-02 17:39:00,1
2019-05-02 19:29:00,1
2019-05-03 04:44:00,1
2019-05-03 07:04:00,1
2019-05-03 14:48:00,1
2019-05-03 17:29:00,1
2019-05-03 23:26:00,1
2019-05-04 15:55:00,1
2019-05-06 07:06:00,1
2019-05-06 08:00:00,1
2019-05-06 09:05:00,1
2019-05-06 14:49:00,1
2019-05-06 17:13:00,1
2019-05-09 07:54:00,1
2019-05-10 11:55:00,1
2019-05-10 16:25:00,1
2019-05-11 05:15:00,1
2019-05-11 06:45:00,1
2019-05-11 08:43:00,1
2019-05-12 01:59:00,1
2019-05-12 04:29:00,1
2019-05-12 20:44:00,1
2019-05-13 02:32:00,1
2019-05-13 08:34:00,1
2019-05-13 22:22:00,1
2019-05-14 07:35:00,1
2019-05-14 17:18:00,1
2019-05-14 19:39:00,1
2019-05-15 01:29:00,1
2019-05-15 22:20:00,1
2019-05-16 00:00:00,1
2019-05-16 00:44:00,1
2019-05-16 16:27:00,1
2019-05-17 03:55:00,1
2019-05-17 04:17:00,1
2019-05-17 04:29:00,1
2019-05-17 08:09:00,1
2019-05-18 20:36:00,1
2019-05-18 21:25:00,1
2019-05-18 22:03:00,1
2019-05-19 10:21:00,1
2019-05-19 12:35:00,1
2019-05-20 17:15:00,1
2019-05-20 18:33:00,1
2019-05-20 23:49:00,1
2019-05-21 00:49:00,1
2019-05-21 02:33:00,1
2019-05-21 02:35:00,1
2019-05-21 03:22:00,1
2019-05-21 10:14:00,1
2019-05-22 08:56:00,1
2019-05-23 04:26:00,1
2019-05-23 06:08:00,1
2019-05-23 06:24:00,1
2019-05-23 10:03:00,1
2019-05-23 12:21:00,1
2019-05-23 13:36:00,1
2019-05-23 16:55:00,1
2019-05-24 02:16:00,1
2019-05-24 06:02:00,1
2019-05-24 08:57:00,1
2019-05-24 09:02:00,1
2019-05-24 13:35:00,1
2019-05-24 17:27:00,1
2019-05-24 19:06:00,1
2019-05-24 19:51:00,1
2019-05-24 20:23:00,1
2019-05-24 23:56:00,1
2019-05-25 02:30:00,1
2019-05-27 04:35:00,1
2019-05-27 12:07:00,1
2019-05-27 15:27:00,2
2019-05-28 20:38:00,1
2019-05-29 03:56:00,1
2019-05-29 05:57:00,2
2019-05-29 21:52:00,1
2019-05-30 02:45:00,1
2019-05-30 16:03:00,1
2019-05-30 21:10:00,1
2019-05-31 01:16:00,1
2019-06-02 01:16:00,1
2019-06-02 09:45:00,1
2019-06-02 11:21:00,1
2019-06-03 12:00:00,1
2019-06-04 08:10:00,1
2019-06-05 06:53:00,1
2019-06-05 17:42:00,1
2019-06-06 06:53:00,1
2019-06-06 06:54:00,1
2019-06-06 07:23:00,1
2019-06-06 09:00:00,1
2019-06-07 12:40:00,1
2019-06-07 14:20:00,1
2019-06-07 17:43:00,1
2019-06-10 21:07:00,1
2019-06-10 21:24:00,1
2019-06-11 00:05:00,1
2019-06-11 01:05:00,1
2019-06-11 02:04:00,1
2019-06-11 14:58:00,1
2019-06-11 15:00:00,1
2019-06-11 16:38:00,1
2019-06-12 15:27:00,1
2019-06-13 04:09:00,1
2019-06-13 12:53:00,1
2019-06-13 13:13:00,1
2019-06-13 13:19:00,1
2019-06-14 05:56:00,1
2019-06-14 06:32:00,1
2019-06-14 22:20:00,1
2019-06-15 03:42:00,1
2019-06-15 09:30:00,1
2019-06-15 11:37:00,1
2019-06-15 15:02:00,1
2019-06-16 07:29:00,1
2019-06-16 15:22:00,1
2019-06-16 16:53:00,1
2019-06-17 07:11:00,1
2019-06-17 09:53:00,1
2019-06-17 10:45:00,1
2019-06-18 11:53:00,1
2019-06-18 13:17:00,1
2019-06-18 14:51:00,1
2019-06-19 08:30:00,1
2019-06-19 08:36:00,1
2019-06-19 11:46:00,1
2019-06-20 00:13:00,1
2019-06-20 03:59:00,1
2019-06-21 00:54:00,1
2019-06-21 06:34:00,1
2019-06-21 07:24:00,1
2019-06-21 22:11:00,1
2019-06-21 23:08:00,1
2019-06-22 09:05:00,1
2019-06-22 17:03:00,1
2019-06-23 09:35:00,1
2019-06-23 15:51:00,1
2019-06-23 17:07:00,1
2019-06-24 00:37:00,1
2019-06-24 12:00:00,1
2019-06-24 20:41:00,1
2019-06-25 08:51:00,1
2019-06-25 09:17:00,1
2019-06-25 12:35:00,1
2019-06-25 16:02:00,1
2019-06-25 19:17:00,1
2019-06-27 00:29:00,1
2019-06-27 01:55:00,1
2019-06-27 02:23:00,1
2019-06-27 02:29:00,1
2019-06-27 08:30:00,1
2019-06-27 20:23:00,2
2019-06-28 01:40:00,4
2019-06-28 01:41:00,1
2019-06-28 03:35:00,1
2019-06-28 06:17:00,1
2019-06-28 12:02:00,1
2019-06-28 12:22:00,1
2019-06-28 18:40:00,1
2019-06-28 20:34:00,1
2019-06-29 05:36:00,1
2019-06-29 14:20:00,1
2019-06-29 21:51:00,1
2019-07-01 08:06:00,1
2019-07-01 09:53:00,1
2019-07-01 10:13:00,1
2019-07-01 21:29:00,1
2019-07-02 01:34:00,1
2019-07-02 07:09:00,1
2019-07-02 14:30:00,1
2019-07-02 15:20:00,1
2019-07-02 18:00:00,1
2019-07-02 19:47:00,1
2019-07-03 09:10:00,1
2019-07-03 14:24:00,1
2019-07-03 18:52:00,1
2019-07-04 08:43:00,1
2019-07-04 18:24:00,1
2019-07-05 16:28:00,1
2019-07-05 18:28:00,1
2019-07-05 22:00:00,1
2019-07-06 01:45:00,2
2019-07-06 02:41:00,1
2019-07-06 08:00:00,1
2019-07-06 08:06:00,1
2019-07-06 23:39:00,1
2019-07-07 01:47:00,1
2019-07-07 10:33:00,1
2019-07-07 14:07:00,1
2019-07-08 04:48:00,1
2019-07-08 12:34:00,1
2019-07-08 17:04:00,1
2019-07-09 01:33:00,1
2019-07-11 15:45:00,1
2019-07-11 22:12:00,1
2019-07-12 02:39:00,1
2019-07-12 10:11:00,1
2019-07-12 17:16:00,1
2019-07-12 19:16:00,1
2019-07-13 04:14:00,1
2019-07-13 06:18:00,1
2019-07-13 17:09:00,1
2019-07-13 21:57:00,1
2019-07-14 01:28:00,1
2019-07-14 07:41:00,1
2019-07-14 08:17:00,1
2019-07-14 17:29:00,1
2019-07-14 19:42:00,1
2019-07-14 23:04:00,1
2019-07-16 03:22:00,1
2019-07-18 09:44:00,1
2019-07-18 23:14:00,1
2019-07-19 02:25:00,1
2019-07-19 22:07:00,1
2019-07-19 23:16:00,1
2019-07-20 00:25:00,1
2019-07-20 03:53:00,1
2019-07-20 04:20:00,1
2019-07-20 05:33:00,1
2019-07-21 06:56:00,1
2019-07-21 18:04:00,1
2019-07-21 20:34:00,1
2019-07-22 05:33:00,1
2019-07-22 07:35:00,1
2019-07-23 04:18:00,1
2019-07-23 15:04:00,1
2019-07-24 02:14:00,1
2019-07-24 08:17:00,1
2019-07-25 05:14:00,1
2019-07-25 23:09:00,1
2019-07-26 00:25:00,1
2019-07-26 09:58:00,1
2019-07-26 16:17:00,1
2019-07-26 21:43:00,1
2019-07-27 02:29:00,2
2019-07-27 06:10:00,1
2019-07-27 09:23:00,1
2019-07-28 07:52:00,1
2019-07-28 11:32:00,1
2019-07-28 13:33:00,1
2019-07-28 18:14:00,1
2019-07-28 19:49:00,1
2019-07-28 23:08:00,1
2019-07-28 23:14:00,1
2019-07-29 08:44:00,1
2019-07-29 11:43:00,1
2019-07-29 18:15:00,1
2019-07-29 18:52:00,1
2019-07-29 22:49:00,1
2019-07-30 00:58:00,1
2019-07-30 02:11:00,1
2019-07-31 10:52:00,1
2019-07-31 12:55:00,1
2019-07-31 18:50:00,1
2019-08-01 12:53:00,1
2019-08-02 04:21:00,1
2019-08-02 14:06:00,1
2019-08-03 04:18:00,1
2019-08-03 13:54:00,1
2019-08-04 20:55:00,1
2019-08-04 21:14:00,1
2019-08-05 03:24:00,1
2019-08-05 14:24:00,1
2019-08-05 20:27:00,1
2019-08-06 02:39:00,1
2019-08-07 15:23:00,1
2019-08-08 01:28:00,1
2019-08-08 09:11:00,1
2019-08-08 18:12:00,1
2019-08-09 14:51:00,1
2019-08-09 17:46:00,1
2019-08-10 18:55:00,1
2019-08-10 23:46:00,1
2019-08-11 16:50:00,1
2019-08-12 14:52:00,1
2019-08-12 16:11:00,1
2019-08-13 14:49:00,1
2019-08-13 18:57:00,1
2019-08-14 01:50:00,1
2019-08-14 02:31:00,1
2019-08-14 22:52:00,1
2019-08-15 03:56:00,1
2019-08-16 06:48:00,1
2019-08-16 07:08:00,1
2019-08-16 11:41:00,1
2019-08-16 23:49:00,1
2019-08-16 23:57:00,1
2019-08-17 09:18:00,1
2019-08-17 10:40:00,1
2019-08-17 13:50:00,1
2019-08-18 06:20:00,1
2019-08-20 11:26:00,1
2019-08-20 23:08:00,1
2019-08-21 04:49:00,1
2019-08-21 06:27:00,1
2019-08-22 07:42:00,1
2019-08-22 08:35:00,1
2019-08-23 01:44:00,1
2019-08-23 08:02:00,1
2019-08-23 14:24:00,1
2019-08-23 19:42:00,1
2019-08-23 20:02:00,1
2019-08-24 22:05:00,1
2019-08-25 00:38:00,1
2019-08-27 00:11:00,1
2019-08-27 21:57:00,1
2019-08-27 23:21:00,1
2019-08-30 04:34:00,1
2019-08-30 04:44:00,1
2019-08-30 11:15:00,1
2019-08-30 13:08:00,1
2019-08-31 08:42:00,1
2019-08-31 13:08:00,1
2019-08-31 15:50:00,1
2019-09-01 04:25:00,1
2019-09-01 06:59:00,1
2019-09-01 07:47:00,1
2019-09-01 14:08:00,1
2019-09-02 09:07:00,1
2019-09-02 13:06:00,1
2019-09-03 15:37:00,1
2019-09-04 12:28:00,1
2019-09-05 19:38:00,1
2019-09-05 22:37:00,1
2019-09-05 22:50:00,1
2019-09-06 06:09:00,1
2019-09-06 22:00:00,1
2019-09-07 10:40:00,1
2019-09-07 16:52:00,1
2019-09-07 17:49:00,1
2019-09-08 06:16:00,1
2019-09-08 09:33:00,1
2019-09-08 15:06:00,1
2019-09-09 15:23:00,1
2019-09-10 06:50:00,1
2019-09-10 07:17:00,1
2019-09-11 12:08:00,1
2019-09-11 21:43:00,1
2019-09-12 06:45:00,1
2019-09-12 07:46:00,1
2019-09-12 20:33:00,1
2019-09-13 00:38:00,1
2019-09-13 05:12:00,1
2019-09-13 07:08:00,1
2019-09-13 18:40:00,1
2019-09-13 18:44:00,1
2019-09-13 21:43:00,1
2019-09-14 11:16:00,1
2019-09-14 17:55:00,1
2019-09-14 19:22:00,1
2019-09-14 21:24:00,1
2019-09-15 00:02:00,1
2019-09-15 05:45:00,1
2019-09-15 07:04:00,1
2019-09-15 08:04:00,1
2019-09-15 18:40:00,1
2019-09-15 22:35:00,1
2019-09-16 12:45:00,1
2019-09-16 20:21:00,1
2019-09-17 02:20:00,1
2019-09-17 03:45:00,1
2019-09-17 10:13:00,1
2019-09-17 14:15:00,1
2019-09-18 10:50:00,1
2019-09-18 13:22:00,1
2019-09-18 13:29:00,1
2019-09-18 18:28:00,1
2019-09-18 21:12:00,1
2019-09-19 00:20:00,1
2019-09-19 08:23:00,1
2019-09-19 14:54:00,1
2019-09-20 00:26:00,1
2019-09-20 01:04:00,1
2019-09-20 03:33:00,1
2019-09-20 08:47:00,1
2019-09-20 14:40:00,1
2019-09-20 19:13:00,1
2019-09-21 12:21:00,1
2019-09-22 03:30:00,1
2019-09-23 04:14:00,1
2019-09-23 05:10:00,1
2019-09-23 18:20:00,1
2019-09-24 07:39:00,1
2019-09-25 03:23:00,1
2019-09-25 06:09:00,1
2019-09-25 07:12:00,1
2019-09-26 04:17:00,1
2019-09-26 05:20:00,1
2019-09-26 18:47:00,1
2019-09-27 14:19:00,1
2019-09-28 00:00:00,1
2019-09-28 04:30:00,1
2019-09-28 04:51:00,1
2019-09-28 14:43:00,1
2019-09-29 03:51:00,1
2019-09-29 04:54:00,1
2019-09-29 08:52:00,1
2019-09-29 18:39:00,1
2019-09-29 21:40:00,1
2019-09-29 22:43:00,1
2019-09-30 01:49:00,1
2019-09-30 07:57:00,1
2019-09-30 10:25:00,1
2019-10-01 00:17:00,1
2019-10-01 13:27:00,1
2019-10-02 06:08:00,1
2019-10-02 08:57:00,1
2019-10-03 14:25:00,1
2019-10-03 18:00:00,1
2019-10-03 18:47:00,1
2019-10-03 19:03:00,1
2019-10-03 20:42:00,1
2019-10-03 20:47:00,1
2019-10-03 23:18:00,1
2019-10-04 03:58:00,1
2019-10-04 10:52:00,1
2019-10-04 16:28:00,1
2019-10-05 14:21:00,1
2019-10-05 14:46:00,1
2019-10-05 16:21:00,1
2019-10-07 06:28:00,1
2019-10-07 10:48:00,1
2019-10-07 10:49:00,1
2019-10-08 01:28:00,1
2019-10-08 02:45:00,1
2019-10-08 19:43:00,1
2019-10-09 10:55:00,1
2019-10-09 16:23:00,1
2019-10-10 05:00:00,1
2019-10-10 07:57:00,1
2019-10-11 02:10:00,1
2019-10-12 13:28:00,1
2019-10-12 19:30:00,1
2019-10-13 01:54:00,1
2019-10-13 04:44:00,1
2019-10-13 09:42:00,1
2019-10-13 12:10:00,1
2019-10-14 00:22:00,1
2019-10-14 02:46:00,1
2019-10-15 16:40:00,1
2019-10-15 16:54:00,1
2019-10-15 17:00:00,1
2019-10-15 21:28:00,1
2019-10-16 23:04:00,1
2019-10-17 07:28:00,1
2019-10-17 11:58:00,1
2019-10-17 16:43:00,1
2019-10-19 09:27:00,1
2019-10-19 10:01:00,1
2019-10-19 17:40:00,1
2019-10-19 22:19:00,1
2019-10-20 05:12:00,1
2019-10-21 00:25:00,1
2019-10-21 02:31:00,1
2019-10-21 07:17:00,1
2019-10-21 14:32:00,1
2019-10-22 03:58:00,1
2019-10-22 04:36:00,1
2019-10-22 10:12:00,1
2019-10-22 19:10:00,1
2019-10-22 20:07:00,1
2019-10-22 20:28:00,1
2019-10-22 21:02:00,1
2019-10-22 21:12:00,1
2019-10-22 21:33:00,1
2019-10-23 00:09:00,1
2019-10-23 14:57:00,1
2019-10-23 20:02:00,1
2019-10-24 09:49:00,1
2019-10-24 11:25:00,1
2019-10-24 12:56:00,1
2019-10-24 13:57:00,1
2019-10-24 16:37:00,1
2019-10-24 21:28:00,1
2019-10-24 21:39:00,1
2019-10-24 21:55:00,1
2019-10-25 00:13:00,1
2019-10-25 00:37:00,1
2019-10-25 00:47:00,1
2019-10-26 04:30:00,1
2019-10-26 17:45:00,1
2019-10-26 18:05:00,1
2019-10-26 19:36:00,1
2019-10-27 10:11:00,1
2019-10-28 20:33:00,1
2019-10-29 00:15:00,1
2019-10-29 16:27:00,1
2019-10-29 17:19:00,1
2019-10-29 18:29:00,1
2019-10-29 18:38:00,1
2019-10-30 09:57:00,1
2019-10-30 15:01:00,1
