1105,"SELECT p.objID, p.ra, p.dec, p.dered_u, p.dered_g, p.dered_r, p.dered_i, p.dered_z, p.clean, p.flags, z.z as photoz, z.zErr as photozErr, s.specObjID as specObjID, s.z_noqso as specz_noqso, s.zErr_noqso as speczErr_noqso, s.zWarning_noqso as speczWarning_noqso, s.class, p.rowv as RowV, p.rowvErr as RowVErr, p.colv as ColV, p.colvErr as ColVErr, dbo.fPhotoFlagsN (p.flags) as note from Galaxy as p LEFT OUTER JOIN photoz as z ON z.ObjID = p.ObjID LEFT OUTER JOIN specObjAll as s ON s.bestObjID = p.ObjID WHERE # < = p.ra and p.ra < = # and # < = p.dec and p.dec < = #"
2019-05-25 14:39:00,6
2019-05-25 14:40:00,8
2019-05-25 14:41:00,4
2019-05-25 14:42:00,2
2019-05-25 14:43:00,3
2019-05-25 14:44:00,5
2019-05-25 14:45:00,5
2019-05-25 14:46:00,6
2019-05-25 14:47:00,4
2019-05-25 14:48:00,6
2019-05-25 14:49:00,5
2019-05-25 14:50:00,6
2019-05-25 14:52:00,1
2019-05-25 14:53:00,1
2019-05-25 14:54:00,1
2019-05-25 14:56:00,10
2019-05-25 14:57:00,7
2019-05-25 14:58:00,4
2019-05-25 14:59:00,7
2019-05-25 15:00:00,2
2019-05-25 15:01:00,1
2019-05-25 15:02:00,1
2019-05-25 15:03:00,3
2019-05-25 15:04:00,4
2019-05-25 15:05:00,6
2019-05-25 15:06:00,5
2019-05-25 15:07:00,4
2019-05-25 15:08:00,2
2019-05-25 15:09:00,5
2019-05-25 15:10:00,1
2019-05-25 15:12:00,1
2019-05-25 15:13:00,3
2019-05-25 15:14:00,2
2019-05-25 15:15:00,1
2019-05-25 15:16:00,1
2019-05-25 15:17:00,1
2019-05-25 15:18:00,1
2019-05-25 15:19:00,4
2019-05-25 15:20:00,8
2019-05-25 15:21:00,7
2019-05-25 15:22:00,9
2019-05-25 15:23:00,11
2019-05-25 15:24:00,9
2019-05-25 15:25:00,6
2019-05-25 15:26:00,5
2019-05-25 15:27:00,1
2019-05-25 15:28:00,1
2019-05-25 15:29:00,1
2019-05-25 15:30:00,2
2019-05-25 15:31:00,5
2019-05-25 15:32:00,8
2019-05-25 15:33:00,4
2019-05-25 15:34:00,5
2019-05-25 15:35:00,4
2019-05-25 15:36:00,8
2019-05-25 15:37:00,4
2019-05-25 15:38:00,2
2019-05-25 15:39:00,2
2019-05-25 15:40:00,6
2019-05-25 15:41:00,8
2019-05-25 15:42:00,5
2019-05-25 15:43:00,9
2019-05-25 15:44:00,2
2019-05-25 15:45:00,5
2019-05-25 15:46:00,5
2019-05-25 15:47:00,9
2019-05-25 15:48:00,10
2019-05-25 15:49:00,5
2019-05-25 15:50:00,7
2019-05-25 15:51:00,3
2019-05-25 15:52:00,4
2019-05-25 15:53:00,11
2019-05-25 15:54:00,4
2019-05-25 15:55:00,1
2019-05-25 15:56:00,7
2019-05-25 15:57:00,3
2019-05-25 15:58:00,5
2019-05-25 15:59:00,5
2019-05-25 16:00:00,8
2019-05-25 16:01:00,4
2019-05-25 16:02:00,5
2019-05-25 16:03:00,5
2019-05-25 16:04:00,4
2019-05-25 16:05:00,2
2019-05-25 16:06:00,2
2019-05-25 16:07:00,4
2019-05-25 16:08:00,3
2019-05-25 16:09:00,4
2019-05-25 16:10:00,6
2019-05-25 16:11:00,4
2019-05-25 16:12:00,1
2019-05-25 16:13:00,1
2019-05-25 16:14:00,1
2019-05-25 16:16:00,5
2019-05-25 16:17:00,1
2019-05-25 16:19:00,1
2019-05-25 16:20:00,1
2019-05-25 16:21:00,4
2019-05-25 16:22:00,3
2019-05-25 16:23:00,3
2019-05-25 16:24:00,3
2019-05-25 16:25:00,1
2019-05-25 16:26:00,2
2019-05-25 16:27:00,2
2019-05-25 16:28:00,5
2019-05-25 16:29:00,4
2019-05-25 16:30:00,3
2019-05-25 16:31:00,2
2019-05-25 16:32:00,3
2019-05-25 16:33:00,2
2019-05-25 16:34:00,2
2019-05-25 16:35:00,2
2019-05-25 16:36:00,3
2019-05-25 16:37:00,2
2019-05-25 16:38:00,2
