4204,"SELECT TOP # g.ra, g.dec, g.psfMag_u as mag_u, g.psfMag_g as mag_g, g.psfMag_r as mag_r, g.psfMag_i as mag_i, g.psfMag_z as mag_z, p.z, p.zErr from GalaxyTag as g JOIN Photoz as p ON p.objID = g.objID WHERE g.ra BETWEEN # AND #"
2019-01-22 03:17:00,10
2019-01-22 03:18:00,16
2019-01-22 03:19:00,20
2019-01-22 03:20:00,10
2019-01-22 03:21:00,20
2019-01-22 03:22:00,14
2019-01-22 03:23:00,16
2019-01-22 03:24:00,20
2019-01-22 03:25:00,14
2019-01-22 03:26:00,10
2019-01-22 03:27:00,24
2019-01-22 03:28:00,12
2019-01-22 03:29:00,20
2019-01-22 03:30:00,14
2019-01-22 03:31:00,12
2019-01-22 03:32:00,22
2019-01-22 03:33:00,14
2019-01-22 03:34:00,10
2019-01-22 03:35:00,21
2019-01-22 03:36:00,13
2019-01-22 03:37:00,14
2019-01-22 03:38:00,18
2019-01-22 03:39:00,12
2019-01-22 03:40:00,24
2019-01-22 03:41:00,14
2019-01-22 03:42:00,14
2019-01-22 03:43:00,18
2019-01-22 03:44:00,12
2019-01-22 03:45:00,13
2019-01-22 03:46:00,19
2019-01-22 03:47:00,12
2019-01-22 03:48:00,18
2019-01-22 03:49:00,16
2019-01-22 03:50:00,12
2019-01-22 03:51:00,16
2019-01-22 03:52:00,16
2019-01-22 03:53:00,10
2019-01-22 03:54:00,20
2019-01-22 03:55:00,12
2019-01-22 03:56:00,20
2019-01-22 03:57:00,18
2019-01-22 03:58:00,12
2019-01-22 03:59:00,22
2019-01-22 04:00:00,12
2019-01-22 04:01:00,10
2019-01-22 04:02:00,20
2019-01-22 04:03:00,14
2019-01-22 04:04:00,20
2019-01-22 04:05:00,18
2019-01-22 04:06:00,10
2019-01-22 04:07:00,23
2019-01-22 04:08:00,15
2019-01-22 04:09:00,21
2019-01-22 04:10:00,19
2019-01-22 04:11:00,12
2019-01-22 04:12:00,17
2019-01-22 04:13:00,17
2019-01-22 04:14:00,10
2019-01-22 04:15:00,23
2019-01-22 04:16:00,15
2019-01-22 04:17:00,12
2019-01-22 04:18:00,22
2019-01-22 04:19:00,16
2019-01-22 04:20:00,14
2019-01-22 04:21:00,16
2019-01-22 04:22:00,20
2019-01-22 04:23:00,12
2019-01-22 04:24:00,14
2019-01-22 04:25:00,16
2019-01-22 04:26:00,12
2019-01-22 04:27:00,16
2019-01-22 04:28:00,18
2019-01-22 04:29:00,12
2019-01-22 04:30:00,18
2019-01-22 04:31:00,20
2019-01-22 04:32:00,10
2019-01-22 04:33:00,16
2019-01-22 04:34:00,16
2019-01-22 04:35:00,12
2019-01-22 04:36:00,22
2019-01-22 04:37:00,12
2019-01-22 04:38:00,10
2019-01-22 04:39:00,18
2019-01-22 04:40:00,16
2019-01-22 04:41:00,12
2019-01-22 04:42:00,22
2019-01-22 04:43:00,10
2019-01-22 04:44:00,20
2019-01-22 04:45:00,22
2019-01-22 04:46:00,16
2019-01-22 04:47:00,30
2019-01-22 04:48:00,42
2019-01-22 04:49:00,32
2019-01-22 04:50:00,34
2019-01-22 04:51:00,58
2019-01-22 04:52:00,66
2019-01-22 04:53:00,68
2019-01-22 04:54:00,44
2019-01-22 04:55:00,34
2019-01-22 04:56:00,30
2019-01-22 04:57:00,24
2019-01-22 04:58:00,22
2019-01-22 04:59:00,16
2019-01-22 05:00:00,16
2019-01-22 05:01:00,30
2019-01-22 05:02:00,14
2019-01-22 05:03:00,20
2019-01-22 05:04:00,10
2019-01-22 05:05:00,20
2019-01-22 05:06:00,20
2019-01-22 05:07:00,12
2019-01-22 05:08:00,20
2019-01-22 05:09:00,14
2019-01-22 05:10:00,10
2019-01-22 05:11:00,16
2019-01-22 05:12:00,16
2019-01-22 05:13:00,10
2019-01-22 05:14:00,22
2019-01-22 05:15:00,18
2019-01-22 05:16:00,14
2019-01-22 05:17:00,12
2019-01-22 05:18:00,20
2019-01-22 05:19:00,20
2019-01-22 05:20:00,10
2019-01-22 05:21:00,16
2019-01-22 05:22:00,18
2019-01-22 05:23:00,14
2019-01-22 05:24:00,18
2019-01-22 05:25:00,16
2019-01-22 05:26:00,12
2019-01-22 05:27:00,12
2019-01-22 05:28:00,22
2019-01-22 05:29:00,14
2019-01-22 05:30:00,10
2019-01-22 05:31:00,18
2019-01-22 05:32:00,16
2019-01-22 05:33:00,10
2019-01-22 05:34:00,16
2019-01-22 05:35:00,16
