316,"SELECT DISTINCT s.ra, s.dec, s.z, s.zErr, s.specClass FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE (s.plate = #)"
2019-06-03 19:19:00,1
2019-06-03 19:22:00,1
2019-06-03 19:35:00,1
2019-06-03 19:36:00,1
2019-06-03 19:37:00,1
2019-06-03 19:40:00,1
2019-06-03 19:43:00,2
2019-06-03 19:48:00,1
2019-06-03 19:51:00,1
2019-06-03 19:52:00,2
2019-06-03 19:54:00,1
2019-06-03 19:55:00,1
2019-06-03 19:59:00,1
2019-06-03 20:01:00,1
2019-06-03 20:05:00,1
2019-06-03 20:06:00,1
2019-06-03 20:07:00,1
2019-06-03 20:11:00,1
2019-06-03 20:14:00,1
2019-06-03 20:15:00,1
2019-06-03 20:17:00,1
2019-06-03 20:18:00,1
2019-06-03 20:27:00,1
2019-06-03 20:29:00,1
2019-06-03 20:32:00,1
2019-06-03 20:37:00,1
2019-06-03 20:38:00,1
2019-06-03 20:46:00,1
2019-06-03 20:48:00,1
2019-06-03 20:49:00,1
2019-06-03 20:50:00,1
2019-06-03 20:57:00,1
2019-06-03 21:07:00,1
2019-06-03 21:11:00,1
2019-06-03 22:05:00,1
2019-06-03 22:36:00,1
2019-06-03 22:53:00,1
2019-06-03 22:57:00,1
2019-06-03 23:11:00,1
2019-06-03 23:14:00,1
2019-06-03 23:39:00,1
2019-06-03 23:47:00,1
2019-06-03 23:57:00,1
2019-06-04 00:13:00,1
2019-06-04 01:21:00,1
2019-06-04 01:29:00,1
2019-06-04 02:11:00,1
2019-06-04 02:23:00,1
2019-06-04 02:31:00,1
2019-06-04 02:32:00,1
2019-06-04 02:39:00,1
2019-06-04 02:42:00,1
2019-06-04 02:59:00,1
2019-06-04 03:15:00,1
2019-06-04 03:23:00,1
2019-06-04 03:35:00,1
2019-06-04 03:49:00,1
2019-06-04 03:52:00,1
2019-06-04 04:03:00,1
2019-06-04 04:42:00,1
2019-06-04 04:45:00,1
2019-06-04 05:17:00,1
2019-06-04 05:21:00,1
2019-06-04 06:27:00,1
2019-06-04 07:11:00,1
2019-06-04 07:13:00,1
2019-06-04 07:24:00,5
2019-06-04 07:25:00,7
2019-06-04 07:26:00,14
2019-06-04 07:27:00,18
2019-06-04 07:28:00,4
2019-06-04 07:29:00,5
2019-06-04 07:39:00,1
2019-06-04 07:41:00,2
2019-06-04 07:42:00,7
2019-06-04 07:43:00,1
2019-06-04 07:52:00,1
2019-06-04 08:13:00,1
2019-06-04 08:20:00,1
2019-06-04 08:29:00,1
2019-06-04 08:30:00,1
2019-06-04 08:41:00,1
2019-06-04 08:43:00,1
2019-06-04 08:44:00,1
2019-06-04 08:48:00,1
2019-06-04 08:50:00,1
2019-06-04 08:53:00,1
2019-06-04 09:19:00,2
2019-06-04 09:24:00,1
2019-06-04 09:29:00,1
2019-06-04 09:35:00,1
2019-06-04 09:37:00,1
2019-06-04 09:45:00,1
2019-06-04 09:48:00,1
2019-06-04 09:49:00,1
2019-06-04 09:50:00,2
2019-06-04 09:52:00,1
2019-06-04 10:25:00,1
2019-06-04 10:26:00,1
2019-06-04 10:30:00,1
2019-06-04 10:31:00,1
2019-06-04 10:32:00,1
2019-06-04 10:40:00,1
2019-06-04 10:45:00,1
2019-06-04 10:52:00,1
2019-06-04 10:57:00,1
2019-06-04 10:59:00,1
2019-06-04 11:05:00,1
