1378,"SELECT floor (ra/#) *#, count (*) from GalaxyTag WHERE ra BETWEEN # AND # and type = # group by floor (ra/#) *# order by floor (ra/#) *#"
2019-01-26 06:47:00,5
2019-01-26 06:53:00,5
2019-01-26 06:59:00,5
2019-01-26 07:05:00,5
2019-01-26 07:11:00,5
2019-01-26 07:17:00,5
2019-01-26 07:23:00,5
2019-01-26 07:28:00,5
2019-01-26 07:34:00,5
2019-01-26 07:39:00,1
2019-01-26 07:40:00,4
2019-01-26 07:45:00,5
2019-01-26 07:50:00,5
2019-01-26 07:55:00,5
2019-01-26 08:00:00,5
2019-01-26 08:05:00,5
2019-01-26 08:10:00,5
2019-01-26 08:16:00,1
2019-01-26 08:17:00,4
2019-01-26 08:24:00,1
2019-01-26 08:25:00,4
2019-01-26 08:32:00,5
2019-01-26 08:38:00,5
2019-01-26 08:43:00,5
2019-01-26 08:49:00,5
2019-01-26 08:55:00,5
2019-01-26 09:01:00,5
2019-01-26 09:06:00,5
2019-01-26 09:11:00,1
2019-01-26 09:12:00,4
2019-01-26 09:17:00,5
2019-01-26 09:23:00,5
2019-01-26 09:28:00,5
2019-01-26 09:34:00,5
2019-01-26 09:40:00,5
2019-01-26 09:46:00,5
2019-01-26 09:51:00,5
2019-01-26 09:56:00,5
2019-01-26 10:02:00,5
2019-01-26 10:08:00,5
2019-01-26 10:15:00,5
2019-01-26 10:21:00,5
2019-01-26 10:27:00,5
2019-01-26 10:33:00,1
2019-01-26 10:34:00,4
2019-01-26 10:40:00,5
2019-01-26 10:46:00,5
2019-01-26 10:53:00,5
2019-01-26 10:59:00,5
2019-01-26 11:06:00,4
2019-01-26 11:12:00,5
2019-01-26 11:18:00,1
2019-01-26 11:19:00,4
2019-01-26 11:24:00,5
2019-01-26 11:31:00,5
2019-01-26 11:38:00,5
2019-01-26 11:44:00,5
2019-01-26 11:50:00,5
2019-01-26 11:57:00,5
2019-01-26 12:03:00,5
2019-01-26 12:09:00,5
2019-01-26 12:15:00,5
2019-01-26 12:22:00,5
2019-01-26 12:28:00,5
2019-01-26 12:35:00,5
2019-01-26 12:41:00,5
2019-01-26 12:48:00,5
2019-01-26 12:54:00,5
2019-01-26 13:01:00,5
2019-01-26 13:07:00,5
2019-01-26 13:14:00,5
2019-01-26 13:21:00,5
2019-01-26 13:28:00,5
2019-01-26 13:34:00,5
2019-01-26 13:41:00,1
2019-01-26 13:42:00,4
2019-01-26 13:48:00,5
2019-01-26 13:56:00,5
2019-01-26 14:04:00,5
2019-01-26 14:10:00,3
2019-01-26 14:11:00,2
2019-01-26 14:17:00,5
2019-01-26 14:24:00,5
2019-01-26 14:31:00,5
2019-01-26 14:38:00,4
2019-01-26 14:45:00,4
2019-01-26 14:51:00,4
2019-01-26 14:56:00,1
2019-01-26 14:57:00,3
2019-01-26 15:02:00,4
2019-01-26 15:08:00,4
2019-01-26 15:15:00,4
2019-01-26 15:20:00,4
2019-01-26 15:26:00,4
2019-01-26 15:31:00,4
2019-01-26 15:36:00,4
2019-01-26 15:41:00,4
2019-01-26 15:45:00,4
2019-01-26 15:49:00,4
2019-01-26 15:53:00,3
2019-01-26 15:57:00,3
2019-01-26 16:00:00,3
2019-01-26 16:03:00,3
2019-01-26 16:06:00,3
2019-01-26 16:09:00,3
2019-01-26 16:12:00,3
2019-01-26 16:14:00,2
2019-01-26 16:15:00,2
2019-01-26 16:16:00,2
2019-01-26 16:18:00,2
2019-01-26 16:19:00,2
2019-01-26 16:20:00,2
2019-01-26 16:21:00,2
2019-01-26 16:23:00,2
2019-01-26 16:24:00,2
2019-01-26 16:26:00,2
2019-01-26 16:27:00,1
2019-01-26 16:28:00,1
2019-01-26 16:29:00,1
2019-01-26 16:30:00,1
2019-01-26 16:31:00,1
2019-01-26 16:32:00,1
2019-01-26 16:33:00,1
2019-01-26 16:34:00,1
2019-01-26 16:35:00,1
2019-01-26 16:36:00,1
2019-01-26 16:37:00,2
2019-01-26 16:38:00,1
2019-01-26 16:39:00,2
2019-01-26 16:40:00,1
2019-01-26 16:41:00,2
2019-01-26 16:43:00,2
2019-01-26 16:44:00,2
2019-01-26 16:45:00,2
2019-01-26 16:47:00,2
2019-01-26 16:48:00,2
2019-01-26 16:50:00,2
2019-01-26 16:51:00,2
2019-01-26 16:53:00,3
2019-01-26 16:55:00,3
2019-01-26 16:58:00,3
2019-01-26 17:02:00,3
2019-01-26 17:06:00,3
2019-01-26 17:09:00,3
2019-01-26 17:12:00,3
2019-01-26 17:15:00,3
2019-01-26 17:18:00,3
2019-01-26 17:21:00,4
2019-01-26 17:24:00,2
2019-01-26 17:25:00,1
2019-01-26 17:28:00,4
2019-01-26 17:32:00,4
2019-01-26 17:36:00,4
2019-01-26 17:40:00,4
2019-01-26 17:45:00,4
2019-01-26 17:49:00,4
2019-01-26 17:52:00,4
2019-01-26 17:56:00,4
2019-01-26 17:59:00,4
2019-01-26 18:04:00,4
2019-01-26 18:08:00,4
2019-01-26 18:13:00,4
2019-01-26 18:17:00,4
2019-01-26 18:21:00,4
2019-01-26 18:26:00,4
2019-01-26 18:30:00,4
2019-01-26 18:34:00,4
2019-01-26 18:39:00,4
2019-01-26 18:43:00,4
2019-01-26 18:48:00,4
2019-01-26 18:52:00,4
2019-01-26 18:57:00,4
2019-01-26 19:01:00,4
2019-01-26 19:05:00,1
2019-01-26 19:06:00,3
2019-01-26 19:10:00,4
2019-01-26 19:14:00,4
2019-01-26 19:18:00,4
2019-01-26 19:22:00,4
2019-01-26 19:26:00,4
2019-01-26 19:30:00,4
2019-01-26 19:34:00,4
2019-01-26 19:38:00,4
2019-01-26 19:42:00,4
2019-01-26 19:47:00,4
2019-01-26 19:51:00,4
2019-01-26 19:56:00,4
2019-01-26 20:01:00,4
2019-01-26 20:07:00,1
2019-01-26 20:08:00,3
2019-01-26 20:12:00,4
2019-01-26 20:18:00,4
2019-01-26 20:25:00,4
2019-01-26 20:31:00,4
2019-01-26 20:37:00,1
2019-01-26 20:38:00,3
2019-01-28 11:15:00,4
2019-01-28 11:19:00,4
2019-01-28 11:23:00,4
2019-01-28 11:26:00,4
2019-01-28 11:29:00,4
