516,"SELECT top # objID, ra, dec, (CASE WHEN q.type IS # THEN # ELSE # END) AS found FROM PhotoObj AS p OUTER APPLY dbo.fFootprintEq (ra, dec, #) AS q WHERE (ra BETWEEN # AND #) AND (dec BETWEEN # AND #)"
2019-03-13 15:30:00,1
2019-03-14 05:14:00,1
2019-03-15 14:01:00,1
2019-03-15 19:05:00,1
2019-03-16 10:55:00,1
2019-03-18 00:34:00,1
2019-03-21 09:27:00,1
2019-03-21 20:59:00,1
2019-03-21 21:01:00,1
2019-03-22 14:26:00,1
2019-03-23 08:53:00,1
2019-03-23 13:42:00,1
2019-03-24 02:22:00,1
2019-03-24 07:27:00,1
2019-03-25 02:19:00,1
2019-03-25 06:00:00,1
2019-03-25 06:02:00,1
2019-03-25 10:20:00,1
2019-03-25 17:58:00,1
2019-03-26 11:04:00,1
2019-03-26 19:57:00,1
2019-03-28 18:40:00,1
2019-03-28 23:16:00,1
2019-03-29 00:32:00,1
2019-03-30 00:42:00,1
2019-03-30 05:59:00,1
2019-03-30 09:54:00,1
2019-03-31 21:14:00,1
2019-04-01 02:10:00,1
2019-04-01 06:27:00,1
2019-04-01 20:10:00,1
2019-04-04 02:32:00,1
2019-04-04 09:52:00,1
2019-04-04 13:40:00,1
2019-04-04 20:18:00,1
2019-04-05 00:07:00,1
2019-04-06 13:48:00,1
2019-04-06 17:12:00,1
2019-04-06 19:03:00,1
2019-04-06 23:28:00,1
2019-04-07 11:26:00,1
2019-04-07 17:02:00,1
2019-04-09 12:31:00,1
2019-04-09 18:31:00,1
2019-04-09 21:23:00,1
2019-04-10 23:13:00,1
2019-04-11 20:58:00,1
2019-04-13 15:41:00,1
2019-04-14 02:27:00,1
2019-04-14 04:21:00,1
2019-04-14 12:55:00,1
2019-04-15 13:54:00,1
2019-04-15 18:28:00,1
2019-04-16 07:45:00,1
2019-04-16 12:08:00,1
2019-04-18 05:59:00,1
2019-04-18 10:04:00,1
2019-04-18 10:05:00,1
2019-04-18 21:59:00,1
2019-04-19 01:23:00,1
2019-04-19 10:06:00,1
2019-04-20 21:19:00,1
2019-04-22 14:49:00,1
2019-04-22 22:12:00,1
2019-04-22 23:29:00,1
2019-04-26 01:07:00,1
2019-04-26 16:03:00,1
2019-04-28 03:08:00,1
2019-04-28 03:48:00,1
2019-04-28 05:13:00,1
2019-04-28 18:19:00,1
2019-04-29 07:01:00,1
2019-04-30 11:31:00,1
2019-05-03 04:45:00,1
2019-05-03 14:50:00,1
2019-05-04 00:16:00,1
2019-05-06 04:48:00,1
2019-05-06 07:51:00,1
2019-05-06 08:48:00,1
2019-05-06 09:57:00,1
2019-05-10 15:01:00,1
2019-05-10 16:32:00,1
2019-05-11 06:09:00,1
2019-05-11 06:20:00,1
2019-05-11 07:41:00,1
2019-05-12 22:16:00,1
2019-05-14 08:27:00,1
2019-05-14 22:04:00,1
2019-05-15 23:09:00,1
2019-05-16 04:27:00,1
2019-05-16 12:37:00,1
2019-05-17 04:54:00,1
2019-05-17 05:06:00,1
2019-05-17 05:20:00,1
2019-05-18 20:38:00,1
2019-05-19 11:15:00,1
2019-05-20 18:10:00,1
2019-05-20 18:12:00,1
2019-05-20 19:28:00,1
2019-05-21 06:49:00,1
2019-05-23 13:11:00,1
2019-05-24 02:18:00,1
2019-05-24 08:59:00,1
2019-05-24 19:56:00,1
2019-05-24 21:18:00,1
2019-05-25 03:23:00,1
2019-05-25 17:38:00,1
2019-05-28 02:49:00,1
2019-05-29 04:44:00,1
2019-05-29 13:01:00,1
2019-05-30 04:12:00,1
2019-05-30 16:50:00,1
2019-05-31 01:30:00,1
2019-05-31 07:48:00,1
2019-05-31 17:54:00,1
2019-06-01 17:03:00,1
2019-06-01 18:49:00,1
2019-06-04 08:42:00,1
2019-06-05 18:35:00,1
2019-06-06 08:13:00,1
2019-06-07 12:16:00,1
2019-06-07 15:17:00,1
2019-06-09 03:10:00,1
2019-06-11 00:55:00,1
2019-06-11 01:55:00,1
2019-06-11 02:35:00,1
2019-06-11 02:48:00,1
2019-06-11 02:59:00,1
2019-06-14 01:52:00,1
2019-06-14 23:16:00,1
2019-06-15 12:22:00,1
2019-06-15 15:54:00,1
2019-06-15 16:50:00,1
2019-06-16 17:45:00,1
2019-06-17 06:28:00,1
2019-06-17 09:57:00,1
2019-06-18 11:56:00,1
2019-06-19 13:30:00,1
2019-06-19 17:59:00,1
2019-06-21 00:56:00,1
2019-06-22 20:55:00,1
2019-06-23 16:39:00,1
2019-06-23 17:57:00,1
2019-06-24 04:53:00,1
2019-06-24 12:44:00,1
2019-06-24 12:47:00,1
2019-06-24 22:44:00,1
2019-06-25 09:41:00,1
2019-06-27 00:05:00,1
2019-06-27 03:00:00,1
2019-06-27 20:23:00,1
2019-06-28 04:28:00,1
2019-06-28 13:08:00,1
2019-06-29 05:38:00,1
2019-06-30 15:34:00,1
2019-07-02 15:21:00,1
2019-07-02 18:57:00,1
2019-07-03 00:28:00,1
2019-07-03 00:41:00,1
2019-07-03 10:11:00,1
2019-07-03 14:26:00,1
2019-07-05 14:09:00,1
2019-07-07 08:46:00,1
2019-07-08 05:39:00,1
2019-07-08 13:41:00,1
2019-07-08 17:53:00,1
2019-07-11 14:40:00,1
2019-07-12 03:29:00,1
2019-07-12 11:00:00,1
2019-07-12 21:49:00,1
2019-07-13 03:45:00,1
2019-07-13 05:01:00,1
2019-07-14 02:21:00,1
2019-07-14 07:28:00,1
2019-07-14 08:19:00,1
2019-07-18 00:38:00,1
2019-07-18 23:58:00,1
2019-07-20 05:16:00,1
2019-07-21 06:58:00,1
2019-07-22 05:36:00,1
2019-07-25 02:06:00,1
2019-07-25 05:17:00,1
2019-07-25 23:11:00,1
2019-07-28 08:42:00,1
2019-07-29 09:28:00,1
2019-07-31 09:53:00,1
2019-08-01 08:39:00,1
2019-08-01 15:04:00,1
2019-08-04 21:43:00,1
2019-08-05 04:18:00,1
2019-08-05 15:17:00,1
2019-08-05 21:12:00,1
2019-08-09 14:57:00,1
2019-08-11 01:10:00,1
2019-08-16 07:10:00,1
2019-08-16 23:55:00,1
2019-08-18 01:16:00,1
2019-08-20 20:01:00,1
2019-08-22 07:44:00,1
2019-08-23 01:46:00,1
2019-08-25 21:52:00,1
2019-08-27 07:34:00,1
2019-08-27 22:55:00,1
2019-08-28 00:18:00,1
2019-08-28 20:50:00,1
2019-08-28 20:52:00,1
2019-08-29 06:18:00,1
2019-08-30 02:02:00,1
2019-08-30 02:08:00,1
2019-08-30 05:27:00,1
2019-08-30 13:10:00,1
2019-08-30 14:01:00,1
2019-08-30 14:58:00,1
2019-08-31 07:23:00,1
2019-08-31 08:44:00,1
2019-09-01 04:08:00,1
2019-09-01 05:14:00,1
2019-09-01 08:32:00,1
2019-09-01 08:40:00,1
2019-09-01 17:07:00,1
2019-09-02 18:17:00,1
2019-09-05 22:39:00,1
2019-09-05 23:49:00,1
2019-09-06 22:03:00,1
2019-09-07 17:39:00,1
2019-09-07 18:34:00,1
2019-09-08 11:23:00,1
2019-09-10 08:24:00,1
2019-09-11 22:29:00,1
2019-09-12 07:40:00,1
2019-09-12 09:10:00,1
2019-09-14 17:56:00,1
2019-09-15 00:04:00,1
2019-09-16 13:34:00,1
2019-09-17 03:08:00,1
2019-09-18 11:42:00,1
2019-09-18 14:13:00,1
2019-09-18 14:22:00,1
2019-09-18 19:21:00,1
2019-09-20 00:10:00,1
2019-09-20 00:51:00,1
2019-09-21 13:16:00,1
2019-09-21 23:43:00,1
2019-09-22 14:06:00,1
2019-09-23 00:25:00,1
2019-09-23 05:00:00,1
2019-09-23 05:57:00,1
2019-09-25 07:01:00,1
2019-09-26 05:06:00,1
2019-09-26 06:15:00,1
2019-09-26 07:46:00,1
2019-09-26 19:32:00,1
2019-09-26 22:08:00,1
2019-09-27 15:04:00,1
2019-09-27 17:41:00,1
2019-09-29 22:28:00,1
2019-09-29 23:38:00,1
2019-09-30 01:51:00,1
2019-09-30 08:22:00,1
2019-09-30 11:13:00,1
2019-10-02 02:09:00,1
2019-10-02 07:14:00,1
2019-10-02 09:50:00,1
2019-10-03 20:12:00,1
2019-10-03 21:37:00,1
2019-10-03 22:34:00,1
2019-10-04 17:21:00,1
2019-10-06 00:04:00,1
2019-10-07 07:16:00,1
2019-10-08 02:16:00,1
2019-10-08 03:40:00,1
2019-10-09 11:48:00,1
2019-10-09 17:21:00,1
2019-10-11 04:57:00,1
2019-10-11 14:26:00,1
2019-10-13 01:57:00,1
2019-10-13 12:58:00,1
2019-10-14 17:58:00,1
2019-10-17 05:09:00,1
2019-10-17 13:00:00,1
2019-10-19 02:51:00,1
2019-10-20 05:27:00,1
2019-10-21 00:27:00,1
2019-10-21 10:57:00,1
2019-10-21 13:14:00,1
2019-10-21 19:10:00,1
2019-10-22 15:14:00,1
2019-10-22 18:56:00,1
2019-10-22 19:59:00,1
2019-10-22 21:03:00,1
2019-10-22 21:14:00,1
2019-10-22 21:34:00,1
2019-10-23 00:01:00,1
2019-10-23 00:53:00,1
2019-10-23 00:55:00,1
2019-10-23 07:28:00,1
2019-10-23 10:26:00,1
2019-10-23 14:59:00,1
2019-10-23 19:40:00,1
2019-10-23 20:45:00,1
2019-10-23 20:59:00,1
2019-10-24 00:37:00,1
2019-10-24 09:53:00,1
2019-10-24 13:49:00,1
2019-10-24 15:19:00,1
2019-10-24 21:30:00,1
2019-10-24 21:40:00,1
2019-10-25 00:14:00,1
2019-10-26 05:53:00,1
2019-10-26 19:37:00,1
2019-10-30 10:45:00,1
2019-10-30 17:29:00,1
2019-10-30 20:55:00,1
2019-10-31 09:01:00,1
2019-11-01 05:34:00,1
2019-11-02 00:14:00,1
2019-11-02 01:15:00,1
2019-11-04 13:55:00,1
2019-11-05 22:43:00,1
2019-11-07 07:03:00,1
2019-11-08 21:12:00,1
2019-11-09 16:39:00,1
2019-11-10 14:18:00,1
2019-11-13 05:33:00,1
2019-11-13 14:50:00,1
2019-11-13 19:15:00,1
2019-11-14 08:12:00,1
2019-11-14 09:26:00,1
2019-11-14 10:06:00,1
2019-11-14 13:04:00,1
2019-11-15 02:50:00,1
2019-11-15 04:30:00,1
2019-11-15 10:34:00,1
2019-11-15 15:39:00,1
2019-11-16 12:59:00,1
2019-11-16 17:44:00,1
2019-11-17 10:28:00,1
2019-11-17 11:24:00,1
2019-11-17 19:09:00,1
2019-11-18 09:22:00,1
2019-11-19 18:13:00,1
2019-11-19 19:21:00,1
2019-11-20 01:40:00,1
2019-11-21 20:15:00,1
2019-11-22 08:51:00,1
2019-11-22 15:32:00,1
2019-11-22 18:45:00,1
2019-11-23 06:26:00,1
2019-11-27 12:46:00,1
2019-12-01 00:26:00,1
2019-12-03 03:46:00,1
2019-12-03 05:32:00,1
2019-12-03 08:15:00,1
2019-12-04 08:32:00,1
2019-12-04 09:21:00,1
2019-12-04 11:20:00,1
2019-12-05 00:02:00,1
2019-12-05 00:13:00,1
2019-12-05 01:03:00,1
2019-12-05 01:48:00,1
2019-12-05 02:59:00,1
2019-12-05 05:09:00,1
2019-12-05 10:29:00,1
2019-12-05 10:57:00,1
2019-12-05 11:17:00,1
2019-12-05 11:46:00,1
2019-12-06 11:53:00,1
2019-12-06 20:30:00,1
2019-12-06 21:44:00,1
2019-12-07 21:23:00,1
2019-12-12 00:42:00,1
2019-12-12 01:49:00,1
2019-12-12 06:44:00,1
2019-12-12 14:24:00,1
2019-12-13 10:24:00,1
2019-12-13 11:49:00,1
2019-12-13 12:56:00,1
2019-12-13 13:45:00,1
2019-12-14 01:25:00,1
2019-12-14 13:28:00,1
2019-12-15 15:48:00,1
2019-12-15 22:17:00,1
2019-12-16 22:45:00,1
2019-12-17 00:22:00,1
2019-12-18 01:05:00,1
2019-12-18 01:33:00,1
2019-12-18 10:01:00,1
2019-12-18 10:55:00,1
2019-12-18 13:49:00,1
2019-12-19 20:08:00,1
2019-12-20 09:07:00,1
2019-12-20 12:00:00,1
2019-12-20 17:22:00,1
2019-12-21 05:46:00,1
2019-12-22 05:44:00,1
2019-12-22 05:47:00,11
2019-12-22 05:49:00,4
2019-12-22 05:51:00,5
2019-12-22 14:06:00,1
2019-12-22 15:13:00,1
2019-12-23 08:50:00,1
2019-12-25 02:13:00,1
2019-12-25 05:04:00,1
2019-12-25 05:05:00,1
2019-12-26 03:13:00,1
2019-12-26 15:22:00,1
2019-12-26 18:25:00,1
2019-12-27 06:46:00,1
2019-12-27 13:13:00,1
2019-12-27 18:18:00,1
2019-12-28 02:55:00,1
2019-12-28 23:46:00,1
2019-12-29 06:55:00,1
2019-12-30 06:08:00,1
2019-12-30 06:58:00,1
2019-12-31 00:07:00,1
