70384,"select p.run, p.camcol, p.field from STAR as p inner join dbo.fGetNearbyObjEq (#, #, #) as N on p.objid = N.objid"
2019-01-11 16:24:00,2
2019-01-11 16:28:00,2
2019-01-11 16:30:00,2
2019-01-11 16:39:00,2
2019-01-12 03:30:00,3
2019-01-12 03:31:00,2
2019-01-12 03:33:00,4
2019-01-12 03:34:00,2
2019-01-12 03:37:00,2
2019-01-12 03:39:00,2
2019-01-12 03:42:00,1
2019-01-12 03:43:00,2
2019-01-12 03:45:00,3
2019-01-12 03:48:00,1
2019-01-12 03:51:00,3
2019-01-12 13:49:00,1
2019-01-12 13:51:00,3
2019-01-12 13:52:00,3
2019-01-12 13:53:00,1
2019-01-12 13:54:00,2
2019-01-12 13:56:00,2
2019-01-13 01:44:00,2
2019-01-13 01:47:00,2
2019-01-13 01:52:00,1
2019-01-13 01:55:00,2
2019-01-13 08:10:00,5
2019-01-13 08:13:00,6
2019-01-13 08:16:00,2
2019-01-13 08:18:00,2
2019-01-13 08:22:00,2
2019-01-13 08:28:00,5
2019-01-13 08:31:00,6
2019-01-13 08:36:00,3
2019-01-13 08:40:00,2
2019-01-13 13:59:00,2
2019-01-13 14:01:00,4
2019-01-13 14:02:00,2
2019-01-13 14:03:00,2
2019-01-13 14:04:00,4
2019-01-13 14:05:00,4
2019-01-13 14:07:00,2
2019-01-13 14:09:00,2
2019-01-13 14:16:00,2
2019-01-13 17:01:00,2
2019-01-13 17:02:00,2
2019-01-13 17:03:00,2
2019-01-13 17:05:00,2
2019-01-13 17:12:00,2
2019-01-13 17:15:00,1
2019-01-13 17:17:00,4
2019-01-13 17:19:00,1
2019-01-13 17:20:00,1
2019-01-13 17:22:00,1
2019-01-13 17:34:00,2
2019-01-13 17:35:00,6
2019-01-13 17:42:00,2
2019-01-13 17:44:00,1
2019-01-13 17:45:00,2
2019-01-13 17:47:00,3
2019-01-13 17:48:00,2
2019-01-13 17:50:00,3
2019-01-13 17:51:00,2
2019-01-13 17:52:00,2
2019-01-13 17:53:00,1
2019-01-13 17:54:00,2
2019-01-13 17:55:00,2
2019-01-13 17:57:00,2
2019-01-13 20:56:00,2
2019-01-13 20:58:00,2
2019-01-13 21:00:00,4
2019-01-13 21:01:00,2
2019-01-13 21:02:00,2
2019-01-13 21:04:00,4
2019-01-13 21:08:00,2
2019-01-13 21:11:00,4
2019-01-13 21:13:00,2
2019-01-13 22:12:00,2
2019-01-13 22:24:00,2
2019-01-13 22:26:00,2
2019-01-13 22:30:00,2
2019-01-13 22:33:00,2
2019-01-13 22:35:00,1
2019-01-13 22:36:00,1
2019-01-13 22:38:00,2
2019-01-13 22:53:00,2
2019-01-13 22:56:00,2
2019-01-13 22:57:00,4
2019-01-13 23:00:00,4
2019-01-13 23:01:00,2
2019-01-13 23:03:00,2
2019-01-13 23:04:00,2
2019-01-13 23:10:00,2
2019-01-14 03:24:00,3
2019-01-14 03:25:00,1
2019-01-14 03:26:00,2
2019-01-14 03:27:00,2
2019-01-14 03:29:00,2
2019-01-14 03:30:00,1
2019-01-14 03:33:00,2
2019-01-14 03:36:00,1
2019-01-14 03:37:00,1
2019-01-14 03:40:00,2
2019-01-14 03:41:00,2
2019-01-14 03:43:00,2
2019-01-14 03:46:00,2
2019-01-14 03:47:00,2
2019-01-14 03:52:00,2
2019-01-14 04:07:00,4
2019-01-14 04:10:00,4
2019-01-14 04:13:00,2
2019-01-14 04:15:00,2
2019-01-14 04:18:00,2
2019-01-14 07:43:00,2
2019-01-14 07:44:00,2
2019-01-14 07:45:00,2
2019-01-14 07:46:00,2
2019-01-14 07:47:00,2
2019-01-14 07:48:00,2
2019-01-14 07:49:00,2
2019-01-14 07:51:00,2
2019-01-14 08:25:00,2
2019-01-14 08:27:00,2
2019-01-14 08:28:00,2
2019-01-14 08:29:00,2
2019-01-14 08:46:00,2
2019-01-14 08:47:00,2
2019-01-14 08:48:00,2
2019-01-14 08:49:00,2
2019-01-14 09:54:00,2
2019-01-14 09:56:00,2
2019-01-14 09:58:00,2
2019-01-14 10:00:00,2
2019-01-14 10:04:00,2
2019-01-14 10:06:00,2
2019-01-14 10:07:00,2
2019-01-14 10:08:00,2
2019-01-14 10:09:00,2
2019-01-14 10:11:00,2
2019-01-14 10:12:00,4
2019-01-14 10:13:00,4
2019-01-14 10:15:00,2
2019-01-14 10:16:00,4
2019-01-14 10:17:00,4
2019-01-14 10:19:00,2
2019-01-14 10:20:00,2
2019-01-14 10:21:00,2
2019-01-14 10:22:00,2
2019-01-14 10:23:00,8
2019-01-14 10:24:00,4
2019-01-14 10:25:00,4
2019-01-14 10:26:00,6
2019-01-14 10:27:00,4
2019-01-14 10:28:00,8
2019-01-14 10:30:00,4
2019-01-14 10:31:00,6
2019-01-14 10:32:00,10
2019-01-14 10:33:00,10
2019-01-14 10:34:00,6
2019-01-14 10:35:00,2
2019-01-14 10:36:00,8
2019-01-14 10:37:00,6
2019-01-14 10:38:00,10
2019-01-14 10:39:00,8
2019-01-14 10:40:00,4
2019-01-14 10:41:00,4
2019-01-14 10:43:00,6
2019-01-14 10:44:00,6
2019-01-14 10:45:00,7
2019-01-14 10:46:00,3
2019-01-14 10:47:00,6
2019-01-14 10:48:00,6
2019-01-14 10:49:00,6
2019-01-14 10:50:00,2
2019-01-14 10:51:00,2
2019-01-14 10:52:00,4
2019-01-14 10:53:00,6
2019-01-14 10:54:00,2
2019-01-14 10:56:00,6
2019-01-14 10:57:00,2
2019-01-14 10:58:00,6
2019-01-14 10:59:00,8
2019-01-14 11:00:00,8
2019-01-14 11:01:00,8
2019-01-14 11:02:00,4
2019-01-14 11:04:00,9
2019-01-14 11:05:00,11
2019-01-14 11:06:00,16
2019-01-14 11:07:00,4
2019-01-14 11:08:00,4
2019-01-14 11:09:00,12
2019-01-14 11:10:00,10
2019-01-14 11:11:00,10
2019-01-14 11:12:00,6
2019-01-14 11:13:00,4
2019-01-14 11:14:00,4
2019-01-14 11:15:00,8
2019-01-14 11:16:00,4
2019-01-14 11:17:00,6
2019-01-14 11:18:00,2
2019-01-14 11:19:00,2
2019-01-14 11:20:00,6
2019-01-14 11:21:00,2
2019-01-14 11:22:00,4
2019-01-14 11:23:00,6
2019-01-14 11:24:00,4
2019-01-14 11:25:00,2
2019-01-14 11:26:00,4
2019-01-14 11:27:00,8
2019-01-14 11:28:00,6
2019-01-14 11:29:00,4
2019-01-14 11:30:00,2
2019-01-14 11:31:00,8
2019-01-14 11:32:00,6
2019-01-14 11:33:00,6
2019-01-14 11:34:00,4
2019-01-14 11:35:00,6
2019-01-14 11:36:00,8
2019-01-14 11:37:00,6
2019-01-14 11:38:00,8
2019-01-14 11:39:00,6
2019-01-14 11:40:00,6
2019-01-14 11:41:00,6
2019-01-14 11:43:00,2
2019-01-14 11:44:00,4
2019-01-14 11:45:00,2
2019-01-14 11:46:00,2
2019-01-14 11:47:00,4
2019-01-14 11:49:00,2
2019-01-14 11:50:00,2
2019-01-14 11:52:00,2
2019-01-14 12:03:00,2
2019-01-14 12:12:00,1
2019-01-14 12:13:00,3
2019-01-14 12:17:00,2
2019-01-14 12:21:00,4
2019-01-14 12:23:00,2
2019-01-14 12:24:00,2
2019-01-14 12:25:00,2
2019-01-14 12:26:00,4
2019-01-14 12:28:00,2
2019-01-14 12:33:00,2
2019-01-14 12:35:00,2
2019-01-14 12:49:00,2
2019-01-14 12:53:00,2
2019-01-14 12:57:00,2
2019-01-14 12:59:00,2
2019-01-14 13:00:00,2
2019-01-14 13:10:00,2
2019-01-14 13:15:00,2
2019-01-14 13:20:00,2
2019-01-14 13:24:00,2
2019-01-14 13:30:00,2
2019-01-14 14:07:00,2
2019-01-14 14:14:00,2
2019-01-14 15:12:00,1
2019-01-14 15:16:00,1
2019-01-14 15:20:00,1
2019-01-14 15:27:00,2
2019-01-15 01:00:00,4
2019-01-15 01:02:00,2
2019-01-15 01:03:00,2
2019-01-15 01:05:00,2
2019-01-15 01:06:00,2
2019-01-15 01:09:00,2
2019-01-15 01:13:00,2
2019-01-15 01:16:00,3
2019-01-15 01:20:00,1
2019-01-15 01:22:00,2
2019-01-15 01:52:00,2
2019-01-15 01:53:00,4
2019-01-15 01:54:00,2
2019-01-15 03:52:00,3
2019-01-15 03:54:00,2
2019-01-15 03:55:00,1
2019-01-15 03:57:00,2
2019-01-15 03:58:00,1
2019-01-15 04:01:00,2
2019-01-15 04:30:00,2
2019-01-15 04:31:00,2
2019-01-15 04:34:00,2
2019-01-15 04:38:00,1
2019-01-15 04:39:00,1
2019-01-15 04:42:00,2
2019-01-15 04:46:00,2
2019-01-15 08:05:00,2
2019-01-15 08:06:00,2
2019-01-15 08:07:00,2
2019-01-15 08:09:00,2
2019-01-15 08:31:00,2
2019-01-15 08:32:00,4
2019-01-15 08:33:00,4
2019-01-15 08:34:00,2
2019-01-15 08:35:00,4
2019-01-15 08:50:00,2
2019-01-15 11:03:00,6
2019-01-15 11:04:00,4
2019-01-15 11:05:00,8
2019-01-15 11:06:00,2
2019-01-15 11:07:00,10
2019-01-15 11:08:00,2
2019-01-15 11:09:00,8
2019-01-15 11:23:00,6
2019-01-15 11:24:00,4
2019-01-15 11:25:00,10
2019-01-15 11:26:00,2
2019-01-15 11:27:00,8
2019-01-15 11:28:00,2
2019-01-15 11:29:00,8
2019-01-15 11:42:00,6
2019-01-15 11:43:00,4
2019-01-15 11:44:00,6
2019-01-15 11:45:00,4
2019-01-15 11:46:00,10
2019-01-15 11:48:00,10
2019-01-15 12:04:00,2
2019-01-15 12:05:00,8
2019-01-15 12:06:00,9
2019-01-15 12:07:00,2
2019-01-15 12:08:00,8
2019-01-15 12:09:00,8
2019-01-15 12:10:00,2
2019-01-15 12:25:00,6
2019-01-15 12:26:00,4
2019-01-15 12:27:00,10
2019-01-15 12:28:00,2
2019-01-15 12:29:00,8
2019-01-15 12:31:00,4
2019-01-15 12:32:00,6
2019-01-15 12:43:00,2
2019-01-15 12:44:00,1
2019-01-15 12:45:00,2
2019-01-15 12:48:00,1
2019-01-15 12:56:00,2
2019-01-15 12:57:00,8
2019-01-15 12:58:00,6
2019-01-15 12:59:00,4
2019-01-15 13:00:00,8
2019-01-15 13:01:00,2
2019-01-15 13:02:00,10
2019-01-16 01:43:00,2
2019-01-16 01:47:00,2
2019-01-16 01:52:00,2
2019-01-16 01:59:00,2
2019-01-16 02:03:00,2
2019-01-16 02:13:00,2
2019-01-16 02:14:00,2
2019-01-16 02:15:00,2
2019-01-16 02:17:00,4
2019-01-16 02:20:00,2
2019-01-16 02:21:00,1
2019-01-16 02:24:00,2
2019-01-16 02:44:00,2
2019-01-16 02:45:00,2
2019-01-16 02:48:00,4
2019-01-16 02:55:00,1
2019-01-16 03:03:00,2
2019-01-16 07:32:00,2
2019-01-16 07:34:00,2
2019-01-16 07:35:00,2
2019-01-16 07:37:00,2
2019-01-16 07:41:00,2
2019-01-16 07:42:00,2
2019-01-16 07:44:00,2
2019-01-16 07:56:00,2
2019-01-16 07:57:00,2
2019-01-16 07:58:00,2
2019-01-16 08:00:00,2
2019-01-16 08:22:00,2
2019-01-16 08:25:00,2
2019-01-16 08:27:00,4
2019-01-16 08:29:00,4
2019-01-16 08:31:00,2
2019-01-16 08:32:00,2
2019-01-16 09:23:00,2
2019-01-16 09:25:00,2
2019-01-16 09:27:00,2
2019-01-16 09:29:00,2
2019-01-16 10:19:00,4
2019-01-16 10:20:00,4
2019-01-16 10:21:00,2
2019-01-16 10:22:00,4
2019-01-16 10:23:00,8
2019-01-16 10:24:00,10
2019-01-16 10:26:00,8
2019-01-16 10:27:00,12
2019-01-16 10:28:00,2
2019-01-16 10:29:00,7
2019-01-16 10:30:00,11
2019-01-16 10:31:00,8
2019-01-16 10:32:00,2
2019-01-16 10:33:00,8
2019-01-16 10:34:00,4
2019-01-16 10:35:00,2
2019-01-16 10:36:00,2
2019-01-16 10:38:00,2
2019-01-16 10:40:00,2
2019-01-16 10:44:00,2
2019-01-16 10:46:00,2
2019-01-16 10:47:00,2
2019-01-16 10:48:00,2
2019-01-16 10:50:00,2
2019-01-16 10:59:00,2
2019-01-16 11:00:00,8
2019-01-16 11:01:00,4
2019-01-16 11:02:00,2
2019-01-16 11:03:00,6
2019-01-16 11:04:00,4
2019-01-16 11:06:00,4
2019-01-16 11:07:00,4
2019-01-16 11:08:00,4
2019-01-16 11:10:00,2
2019-01-16 11:11:00,4
2019-01-16 11:12:00,4
2019-01-16 11:20:00,2
2019-01-16 11:21:00,2
2019-01-16 11:23:00,2
2019-01-16 11:25:00,2
2019-01-16 11:34:00,6
2019-01-16 11:35:00,4
2019-01-16 11:36:00,2
2019-01-16 11:37:00,4
2019-01-16 11:38:00,6
2019-01-16 11:40:00,8
2019-01-16 11:41:00,6
2019-01-16 11:43:00,4
2019-01-16 11:44:00,8
2019-01-16 12:56:00,2
2019-01-16 12:57:00,2
2019-01-16 12:59:00,4
2019-01-16 13:01:00,2
2019-01-16 13:02:00,2
2019-01-16 13:03:00,2
2019-01-16 13:05:00,2
2019-01-16 13:20:00,2
2019-01-16 13:23:00,2
2019-01-16 13:26:00,2
2019-01-16 13:29:00,2
2019-01-16 13:31:00,2
2019-01-16 13:32:00,2
2019-01-16 13:35:00,2
2019-01-16 13:38:00,2
2019-01-16 13:41:00,2
2019-01-16 13:42:00,2
2019-01-16 13:45:00,2
2019-01-16 13:50:00,2
2019-01-16 13:53:00,2
2019-01-16 14:08:00,2
2019-01-16 14:11:00,2
2019-01-16 14:21:00,2
2019-01-16 14:26:00,2
2019-01-16 14:31:00,2
2019-01-16 14:37:00,4
2019-01-17 02:21:00,4
2019-01-17 02:23:00,4
2019-01-17 02:25:00,1
2019-01-17 02:26:00,1
2019-01-17 02:27:00,1
2019-01-17 02:29:00,2
2019-01-17 04:24:00,5
2019-01-17 04:28:00,6
2019-01-17 04:32:00,2
2019-01-17 04:33:00,1
2019-01-17 04:34:00,1
2019-01-17 04:39:00,1
2019-01-17 04:41:00,1
2019-01-17 04:45:00,2
2019-01-17 04:46:00,2
2019-01-17 04:49:00,4
2019-01-17 04:53:00,2
2019-01-17 04:55:00,2
2019-01-17 04:59:00,2
2019-01-17 07:32:00,2
2019-01-17 07:42:00,2
2019-01-17 07:43:00,2
2019-01-17 07:44:00,2
2019-01-17 07:46:00,2
2019-01-17 09:52:00,2
2019-01-17 09:53:00,2
2019-01-17 09:55:00,2
2019-01-17 09:58:00,2
2019-01-17 10:00:00,2
2019-01-17 10:01:00,6
2019-01-17 10:05:00,2
2019-01-17 10:13:00,2
2019-01-17 10:16:00,2
2019-01-17 10:18:00,2
2019-01-17 10:19:00,2
2019-01-17 10:20:00,2
2019-01-17 10:25:00,2
2019-01-17 10:30:00,2
2019-01-17 10:31:00,2
2019-01-17 10:32:00,2
2019-01-17 10:34:00,2
2019-01-17 10:35:00,2
2019-01-17 10:36:00,2
2019-01-17 10:38:00,4
2019-01-17 10:40:00,4
2019-01-17 10:42:00,4
2019-01-17 10:43:00,2
2019-01-17 10:44:00,2
2019-01-17 10:45:00,2
2019-01-17 10:50:00,2
2019-01-17 10:51:00,2
2019-01-17 10:52:00,2
2019-01-17 10:53:00,2
2019-01-17 11:08:00,2
2019-01-17 11:10:00,2
2019-01-17 11:12:00,2
2019-01-17 11:15:00,2
2019-01-17 11:23:00,2
2019-01-17 11:25:00,2
2019-01-17 11:29:00,6
2019-01-17 11:30:00,4
2019-01-17 11:50:00,2
2019-01-17 12:13:00,2
2019-01-17 12:15:00,2
2019-01-17 12:17:00,2
2019-01-17 12:21:00,2
2019-01-17 12:29:00,2
2019-01-17 13:30:00,2
2019-01-17 13:31:00,12
2019-01-17 13:32:00,8
2019-01-17 13:33:00,10
2019-01-17 13:34:00,7
2019-01-17 13:35:00,9
2019-01-17 13:36:00,2
2019-01-17 13:37:00,8
2019-01-17 13:38:00,4
2019-01-17 13:39:00,12
2019-01-17 13:40:00,2
2019-01-17 13:41:00,10
2019-01-17 13:42:00,4
2019-01-17 13:43:00,8
2019-01-17 13:44:00,4
2019-01-17 13:46:00,4
2019-01-17 13:47:00,6
2019-01-17 13:50:00,2
2019-01-17 13:51:00,2
2019-01-17 13:53:00,2
2019-01-17 13:54:00,2
2019-01-17 13:57:00,2
2019-01-17 13:59:00,4
2019-01-17 14:00:00,4
2019-01-17 14:01:00,2
2019-01-17 14:02:00,6
2019-01-17 14:04:00,6
2019-01-17 14:07:00,2
2019-01-17 14:08:00,4
2019-01-17 14:09:00,2
2019-01-17 14:11:00,2
2019-01-17 14:13:00,2
2019-01-17 14:18:00,2
2019-01-17 14:20:00,2
2019-01-17 14:27:00,2
2019-01-17 14:28:00,2
2019-01-17 14:29:00,2
2019-01-17 14:31:00,2
2019-01-17 16:08:00,2
2019-01-17 16:11:00,2
2019-01-17 16:12:00,2
2019-01-17 16:14:00,2
2019-01-17 17:29:00,2
2019-01-17 17:31:00,2
2019-01-17 17:35:00,2
2019-01-18 01:15:00,4
2019-01-18 01:18:00,4
2019-01-18 01:21:00,1
2019-01-18 01:22:00,1
2019-01-18 01:23:00,1
2019-01-18 01:27:00,2
2019-01-18 01:47:00,4
2019-01-18 01:49:00,4
2019-01-18 01:52:00,2
2019-01-18 01:53:00,2
2019-01-18 01:55:00,2
2019-01-18 06:53:00,2
2019-01-18 06:54:00,2
