1881,select * from zoo2Stripe8#Coadd1 where dr8objid = #
2019-04-05 00:50:00,1
2019-04-05 15:14:00,1
2019-04-06 06:49:00,1
2019-04-06 09:44:00,1
2019-04-06 21:31:00,1
2019-04-07 01:23:00,1
2019-04-17 09:24:00,7
2019-04-17 16:59:00,1
2019-04-18 11:34:00,1
2019-04-20 01:43:00,1
2019-04-20 12:27:00,4
2019-04-21 01:09:00,1
2019-04-21 16:30:00,1
2019-04-21 16:31:00,4
2019-04-22 13:14:00,21
2019-04-22 14:52:00,20
2019-04-22 14:53:00,36
2019-04-22 14:54:00,23
2019-04-22 22:41:00,1
2019-04-23 13:50:00,12
2019-04-23 17:27:00,3
2019-04-23 17:28:00,36
2019-04-23 17:29:00,20
2019-04-23 19:23:00,12
2019-04-23 19:25:00,1
2019-04-23 19:26:00,2
2019-04-23 19:27:00,4
2019-04-23 19:28:00,2
2019-04-23 19:30:00,12
2019-04-23 19:31:00,3
2019-04-24 06:54:00,1
2019-04-24 08:46:00,1
2019-04-24 12:52:00,1
2019-04-25 03:59:00,1
2019-05-03 15:05:00,1
2019-05-03 15:06:00,2
2019-05-07 12:41:00,1
2019-05-11 05:49:00,1
2019-05-14 22:51:00,8
2019-05-14 22:52:00,9
2019-05-15 16:42:00,1
2019-05-15 20:21:00,1
2019-05-15 23:24:00,1
2019-05-22 20:23:00,1
2019-05-23 09:41:00,1
2019-05-25 12:29:00,1
2019-05-26 10:17:00,1
2019-05-29 00:15:00,1
2019-05-30 16:09:00,1
2019-06-01 13:52:00,1
2019-06-01 16:08:00,1
2019-06-02 04:20:00,1
2019-06-02 09:31:00,1
2019-06-02 19:20:00,1
2019-06-03 13:49:00,1
2019-06-03 19:22:00,1
2019-06-03 21:25:00,1
2019-06-04 02:48:00,1
2019-06-04 03:06:00,1
2019-06-04 05:26:00,1
2019-06-04 09:34:00,1
2019-06-04 09:48:00,1
2019-06-04 21:25:00,1
2019-06-05 00:25:00,1
2019-06-05 13:51:00,1
2019-06-05 16:35:00,1
2019-06-05 19:01:00,1
2019-06-05 21:25:00,1
2019-06-06 01:58:00,1
2019-06-06 02:07:00,1
2019-06-06 04:28:00,1
2019-06-06 11:01:00,1
2019-06-06 11:49:00,1
2019-06-06 16:42:00,1
2019-06-06 17:12:00,1
2019-06-06 18:08:00,1
2019-06-06 19:44:00,1
2019-06-06 20:07:00,1
2019-06-06 22:20:00,1
2019-06-06 23:57:00,1
2019-06-07 00:11:00,1
2019-06-07 09:54:00,1
2019-06-07 13:07:00,1
2019-06-07 14:26:00,1
2019-06-07 16:38:00,1
2019-06-07 18:43:00,1
2019-06-07 18:55:00,1
2019-06-07 19:27:00,1
2019-06-07 23:25:00,1
2019-06-08 05:57:00,1
2019-06-08 11:40:00,1
2019-06-08 13:45:00,2
2019-06-08 15:56:00,1
2019-06-08 18:46:00,1
2019-06-08 20:46:00,1
2019-06-08 22:59:00,1
2019-06-09 00:36:00,1
2019-06-09 00:49:00,1
2019-06-09 02:39:00,1
2019-06-09 17:41:00,1
2019-06-09 19:46:00,1
2019-06-09 19:58:00,1
2019-06-09 20:29:00,1
2019-06-10 01:41:00,1
2019-06-10 04:38:00,1
2019-06-10 06:53:00,1
2019-06-10 11:59:00,1
2019-06-10 12:49:00,1
2019-06-10 13:09:00,1
2019-06-10 14:28:00,1
2019-06-10 17:39:00,1
2019-06-10 19:05:00,1
2019-06-10 21:04:00,1
2019-06-10 23:17:00,1
2019-06-11 00:54:00,1
2019-06-11 01:08:00,1
2019-06-11 12:29:00,1
2019-06-11 14:19:00,1
2019-06-11 15:51:00,1
2019-06-11 17:22:00,1
2019-06-12 00:17:00,1
2019-06-12 09:12:00,1
2019-06-12 12:18:00,1
2019-06-13 08:45:00,1
2019-06-13 10:45:00,1
2019-06-13 13:35:00,1
2019-06-13 17:48:00,1
2019-06-13 17:50:00,1
2019-06-13 19:12:00,1
2019-06-13 20:50:00,1
2019-06-13 22:06:00,1
2019-06-13 22:13:00,1
2019-06-13 22:46:00,1
2019-06-14 00:04:00,1
2019-06-14 01:04:00,1
2019-06-14 02:19:00,1
2019-06-14 02:23:00,1
2019-06-14 05:37:00,1
2019-06-14 07:00:00,1
2019-06-14 08:51:00,1
2019-06-14 08:52:00,2
2019-06-14 10:41:00,1
2019-06-14 12:21:00,1
2019-06-14 15:38:00,1
2019-06-14 17:37:00,1
2019-06-15 01:05:00,1
2019-06-15 02:05:00,1
2019-06-15 05:07:00,1
2019-06-15 05:40:00,1
2019-06-15 06:57:00,1
2019-06-15 07:58:00,1
2019-06-15 09:13:00,1
2019-06-15 09:18:00,1
2019-06-15 10:32:00,1
2019-06-15 21:08:00,1
2019-06-15 22:05:00,1
2019-06-16 00:02:00,1
2019-06-16 00:38:00,1
2019-06-16 02:33:00,1
2019-06-16 03:54:00,1
2019-06-16 06:53:00,1
2019-06-16 09:54:00,1
2019-06-16 11:21:00,1
2019-06-16 13:06:00,1
2019-06-16 15:07:00,1
2019-06-16 19:43:00,1
2019-06-17 02:24:00,1
2019-06-17 07:26:00,1
2019-06-17 07:58:00,1
2019-06-17 11:16:00,1
2019-06-17 12:03:00,1
2019-06-17 13:40:00,1
2019-06-18 03:38:00,1
2019-06-18 03:56:00,1
2019-06-18 15:02:00,1
2019-06-18 18:13:00,1
2019-06-19 14:02:00,1
2019-06-20 05:46:00,1
2019-06-20 13:22:00,1
2019-06-20 13:25:00,1
2019-06-20 13:31:00,1
2019-06-20 13:33:00,1
2019-06-20 13:34:00,1
2019-06-20 13:41:00,1
2019-06-20 13:55:00,1
2019-06-20 14:06:00,1
2019-06-20 14:39:00,1
2019-06-21 10:26:00,1
2019-06-21 11:11:00,1
2019-06-25 18:00:00,1
2019-06-26 13:01:00,1
2019-06-27 09:05:00,1
2019-06-27 09:48:00,1
2019-06-28 12:48:00,1
2019-06-28 17:09:00,1
2019-06-29 09:08:00,1
2019-06-29 13:01:00,1
2019-06-30 02:15:00,1
2019-06-30 09:46:00,1
2019-06-30 11:31:00,1
2019-06-30 13:33:00,1
2019-07-01 09:04:00,1
2019-07-01 12:46:00,1
2019-07-01 17:05:00,1
2019-07-02 12:52:00,1
2019-07-02 12:58:00,1
2019-07-02 21:09:00,1
2019-07-03 14:20:00,1
2019-07-03 15:18:00,1
2019-07-04 11:00:00,1
2019-07-04 13:54:00,1
2019-07-04 15:22:00,1
2019-07-05 00:44:00,1
2019-07-05 00:46:00,1
2019-07-05 00:47:00,1
2019-07-05 00:48:00,1
2019-07-05 00:51:00,1
2019-07-05 00:54:00,2
2019-07-05 00:59:00,1
2019-07-05 01:08:00,1
2019-07-05 01:12:00,1
2019-07-05 01:36:00,1
2019-07-05 02:35:00,1
2019-07-05 02:51:00,1
2019-07-05 03:40:00,1
2019-07-05 04:06:00,1
2019-07-05 05:58:00,1
2019-07-05 10:54:00,1
2019-07-05 18:01:00,1
2019-07-06 06:21:00,1
2019-07-06 10:38:00,1
2019-07-06 10:41:00,1
2019-07-06 11:04:00,8
2019-07-07 06:07:00,1
2019-07-08 04:27:00,1
2019-07-08 06:13:00,1
2019-07-09 04:14:00,1
2019-07-09 13:34:00,1
2019-07-09 16:44:00,4
2019-07-10 04:41:00,1
2019-07-10 05:02:00,1
2019-07-10 06:49:00,1
2019-07-10 07:22:00,1
2019-07-10 18:12:00,1
2019-07-10 19:56:00,1
2019-07-10 23:05:00,1
2019-07-10 23:48:00,1
2019-07-10 23:49:00,1
2019-07-11 01:46:00,1
2019-07-11 01:57:00,1
2019-07-11 07:32:00,2
2019-07-11 07:33:00,8
2019-07-11 07:34:00,9
2019-07-11 07:35:00,9
2019-07-11 07:36:00,11
2019-07-11 07:37:00,9
2019-07-11 07:38:00,9
2019-07-11 07:39:00,8
2019-07-11 07:40:00,1
2019-07-11 08:13:00,27
2019-07-11 08:14:00,5
2019-07-11 08:49:00,1
2019-07-11 12:13:00,1
2019-07-11 13:19:00,1
2019-07-11 16:31:00,1
2019-07-11 19:54:00,5
2019-07-11 20:03:00,1
2019-07-11 20:50:00,1
2019-07-11 22:16:00,1
2019-07-11 23:02:00,1
2019-07-12 07:22:00,33
2019-07-12 07:23:00,36
2019-07-12 07:24:00,32
2019-07-13 05:08:00,3
2019-07-13 07:16:00,2
2019-07-13 11:05:00,1
2019-07-13 13:33:00,3
2019-07-13 23:24:00,1
2019-07-14 08:00:00,1
2019-07-15 10:38:00,1
2019-07-16 14:15:00,1
2019-07-16 18:05:00,1
2019-07-16 18:57:00,1
2019-07-17 13:21:00,1
2019-07-19 10:19:00,1
2019-07-19 10:22:00,1
2019-07-19 10:24:00,1
2019-07-19 12:58:00,1
2019-07-19 13:00:00,1
2019-07-19 13:03:00,1
2019-07-19 13:21:00,1
2019-07-19 13:33:00,1
2019-07-19 13:41:00,1
2019-07-19 14:06:00,1
2019-07-19 15:45:00,1
2019-07-19 16:12:00,1
2019-07-19 17:19:00,1
2019-07-19 17:25:00,1
2019-07-19 18:03:00,1
2019-07-19 22:01:00,1
2019-07-20 04:48:00,1
2019-07-21 22:01:00,1
2019-07-22 03:42:00,4
2019-07-22 04:31:00,4
2019-07-22 09:31:00,1
2019-07-22 21:56:00,1
2019-07-24 22:05:00,1
2019-07-25 21:56:00,1
2019-07-26 19:13:00,1
2019-07-29 15:26:00,1
2019-07-29 16:28:00,1
2019-07-30 00:46:00,1
2019-07-30 03:36:00,1
2019-07-30 12:27:00,1
2019-07-31 20:20:00,1
2019-08-02 19:37:00,1
2019-08-03 10:25:00,1
2019-08-04 20:36:00,1
2019-08-04 21:55:00,1
2019-08-05 13:54:00,1
2019-08-07 23:37:00,1
2019-08-08 15:19:00,1
2019-08-08 17:25:00,1
2019-08-08 18:28:00,1
2019-08-09 15:17:00,1
2019-08-10 12:13:00,1
2019-08-10 12:59:00,1
2019-08-10 13:00:00,1
2019-08-10 13:02:00,1
2019-08-10 13:11:00,1
2019-08-10 13:16:00,1
2019-08-10 13:18:00,1
2019-08-10 13:30:00,1
2019-08-10 13:49:00,1
2019-08-10 14:06:00,1
2019-08-10 15:07:00,1
2019-08-10 17:37:00,1
2019-08-10 18:13:00,1
2019-08-10 19:48:00,1
2019-08-10 20:36:00,1
2019-08-11 12:55:00,1
2019-08-11 13:02:00,1
2019-08-13 23:51:00,1
2019-08-17 23:27:00,1
2019-08-18 09:28:00,1
2019-08-19 08:45:00,1
2019-08-20 01:40:00,1
2019-08-21 14:35:00,1
2019-08-22 08:54:00,1
2019-08-22 15:48:00,1
2019-08-23 22:42:00,1
2019-08-27 05:01:00,2
2019-08-27 14:10:00,1
2019-08-28 16:45:00,1
2019-08-29 21:25:00,10
2019-08-29 21:26:00,7
2019-08-29 21:30:00,1
2019-08-31 23:29:00,1
2019-09-03 06:38:00,3
2019-09-05 07:43:00,1
2019-09-06 09:55:00,1
2019-09-06 22:59:00,1
2019-09-09 06:56:00,1
2019-09-09 21:49:00,1
2019-09-14 21:25:00,1
2019-09-15 21:20:00,1
2019-09-17 16:37:00,1
2019-09-19 19:10:00,1
2019-09-19 22:11:00,1
2019-09-24 10:57:00,8
2019-09-25 09:44:00,1
2019-09-27 07:33:00,1
2019-09-27 12:32:00,4
2019-09-27 13:10:00,1
2019-09-29 07:15:00,1
2019-09-29 09:08:00,15
2019-09-29 15:26:00,1
2019-09-29 15:27:00,18
2019-09-29 20:23:00,14
2019-09-29 20:24:00,36
2019-09-29 20:25:00,21
2019-09-30 04:48:00,10
2019-09-30 04:49:00,36
2019-09-30 04:50:00,5
2019-09-30 09:09:00,9
2019-09-30 09:10:00,36
2019-09-30 09:11:00,6
2019-09-30 18:26:00,1
2019-10-01 05:04:00,6
2019-10-01 15:19:00,2
2019-10-01 15:20:00,1
2019-10-02 06:45:00,1
2019-10-02 22:54:00,1
2019-10-02 22:55:00,18
2019-10-03 06:19:00,1
2019-10-03 06:20:00,6
2019-10-03 06:21:00,5
2019-10-03 06:22:00,7
2019-10-03 06:23:00,6
2019-10-03 06:24:00,4
2019-10-03 08:18:00,13
2019-10-03 10:20:00,4
2019-10-03 21:31:00,1
2019-10-05 05:44:00,1
2019-10-10 02:45:00,1
2019-10-12 10:17:00,4
2019-10-12 12:07:00,1
2019-10-12 14:01:00,1
2019-10-12 16:09:00,2
2019-10-13 07:18:00,1
2019-10-13 23:58:00,1
2019-10-14 07:14:00,1
2019-10-17 12:31:00,13
2019-10-17 12:32:00,5
2019-10-18 06:31:00,1
2019-10-19 14:13:00,1
2019-10-21 06:17:00,1
2019-10-21 16:31:00,1
2019-10-24 23:14:00,1
2019-10-27 08:34:00,2
2019-10-27 10:43:00,1
2019-10-27 10:56:00,1
2019-10-28 07:00:00,1
2019-10-28 08:26:00,1
2019-10-28 17:59:00,1
2019-10-29 20:06:00,1
2019-10-30 12:57:00,6
2019-10-30 12:58:00,20
2019-10-30 19:21:00,2
2019-10-31 10:49:00,1
2019-10-31 22:58:00,3
2019-11-01 09:01:00,1
2019-11-01 16:30:00,1
2019-11-02 09:04:00,1
2019-11-02 23:31:00,1
2019-11-03 10:01:00,1
2019-11-07 10:14:00,1
2019-11-07 18:10:00,1
2019-11-08 10:15:00,1
2019-11-08 18:15:00,1
2019-11-09 10:12:00,1
2019-11-09 18:14:00,1
2019-11-10 10:15:00,1
2019-11-10 18:11:00,1
2019-11-13 20:46:00,1
2019-11-14 17:46:00,1
2019-11-16 15:31:00,1
2019-11-17 15:27:00,1
2019-11-18 15:20:00,1
2019-11-21 12:22:00,1
2019-11-21 19:54:00,2
2019-11-22 12:18:00,1
2019-11-23 12:25:00,1
2019-11-27 21:58:00,1
2019-11-28 01:18:00,1
2019-11-28 01:36:00,1
2019-11-28 01:46:00,1
2019-11-28 02:04:00,1
2019-11-28 02:19:00,1
2019-11-28 02:31:00,2
2019-11-28 02:58:00,1
2019-11-28 03:41:00,1
2019-11-28 06:09:00,1
2019-11-28 06:36:00,1
2019-11-28 09:44:00,1
2019-11-28 09:56:00,1
2019-11-28 10:01:00,1
2019-11-28 10:34:00,1
2019-11-28 11:03:00,1
2019-11-28 11:21:00,1
2019-11-28 11:38:00,1
2019-11-28 12:26:00,1
2019-11-28 12:53:00,1
2019-11-28 13:20:00,1
2019-11-28 13:57:00,1
2019-11-28 19:13:00,1
2019-11-28 19:55:00,1
2019-11-29 00:26:00,1
2019-11-29 00:33:00,1
2019-11-30 22:01:00,3
2019-11-30 22:02:00,6
2019-12-01 00:21:00,17
2019-12-01 00:22:00,2
2019-12-01 17:03:00,1
2019-12-02 10:30:00,1
2019-12-02 19:49:00,1
2019-12-03 06:31:00,1
2019-12-07 00:36:00,1
2019-12-08 10:27:00,1
2019-12-08 17:35:00,1
2019-12-08 19:42:00,1
2019-12-09 15:38:00,1
2019-12-09 21:00:00,1
2019-12-10 05:35:00,1
2019-12-10 08:32:00,1
2019-12-13 05:40:00,8
2019-12-15 04:28:00,1
2019-12-15 04:35:00,1
2019-12-15 22:07:00,1
2019-12-16 06:04:00,1
2019-12-16 06:23:00,5
2019-12-18 02:50:00,1
2019-12-18 06:08:00,4
2019-12-18 06:09:00,1
2019-12-19 10:01:00,26
2019-12-19 10:02:00,1
2019-12-19 10:03:00,25
2019-12-19 10:04:00,34
2019-12-19 10:05:00,6
2019-12-20 17:36:00,2
2019-12-20 17:37:00,4
2019-12-20 17:38:00,1
2019-12-21 11:20:00,1
2019-12-22 09:27:00,1
2019-12-29 22:52:00,14
2019-12-29 22:53:00,33
2019-12-30 08:30:00,1
2019-12-31 17:46:00,3
2019-12-31 17:47:00,1
