238,"CREATE TABLE CMASS_S_cmassref_matches_batch_# (cmassref_count_index int, cmass_count_index int, cmass_redshift float, cmassref_RA float, cmassref_Dec float, cmassref_pumag float, cmassref_pgmag float, cmassref_prmag float, cmassref_pimag float, cmassref_pzmag float, cmassref_uextinct float, cmassref_gextinct float, cmassref_rextinct float, cmassref_iextinct float, cmassref_zextinct float, cmassref_realz float, gal_ra float, gal_dec float, gal_cmodel_u float, gal_cmodel_g float, gal_cmodel_r float, gal_cmodel_i float, gal_cmodel_z float, gal_cmodel_uerr float, gal_cmodel_gerr float, gal_cmodel_rerr float, gal_cmodel_ierr float, gal_cmodel_zerr float, gal_extinction_u float, gal_extinction_g float, gal_extinction_r float, gal_extinction_i float, gal_extinction_z float, gal_airmass_u float, gal_airmass_g float, gal_airmass_r float, gal_airmass_i float, gal_airmass_z float)"
2019-06-18 16:35:00,1
2019-06-18 16:54:00,1
2019-06-18 17:10:00,1
2019-06-20 10:54:00,1
2019-06-20 11:11:00,1
2019-06-20 11:31:00,1
2019-06-20 12:41:00,1
2019-06-20 13:01:00,1
2019-06-20 13:22:00,1
2019-06-20 13:40:00,1
2019-06-20 13:59:00,1
2019-06-20 14:21:00,1
2019-06-20 14:37:00,1
2019-06-20 14:56:00,1
2019-06-21 11:34:00,1
2019-06-21 11:50:00,1
2019-06-21 12:23:00,1
2019-06-21 12:40:00,1
2019-06-21 12:55:00,1
2019-06-21 13:13:00,1
2019-06-21 13:30:00,1
2019-06-21 13:50:00,1
2019-06-21 14:05:00,1
2019-06-21 14:20:00,1
2019-06-21 14:37:00,1
2019-06-21 14:54:00,1
2019-06-21 15:11:00,1
2019-06-21 15:33:00,1
2019-06-21 15:49:00,1
2019-06-21 16:06:00,1
2019-06-21 16:21:00,1
2019-06-21 16:38:00,1
2019-06-21 16:52:00,1
2019-06-21 17:08:00,1
2019-06-25 15:30:00,1
2019-06-25 15:46:00,1
2019-06-25 16:03:00,1
2019-06-25 16:24:00,1
2019-06-25 16:40:00,1
2019-06-25 16:58:00,1
2019-06-28 10:54:00,1
2019-06-28 11:15:00,1
2019-06-28 11:34:00,1
2019-06-28 12:40:00,1
2019-06-28 13:02:00,1
2019-06-28 13:17:00,1
2019-06-28 13:32:00,1
2019-06-28 13:50:00,1
2019-06-28 14:06:00,1
2019-06-28 14:22:00,1
2019-06-28 14:41:00,1
2019-06-28 14:56:00,1
2019-06-28 15:14:00,1
2019-06-28 15:31:00,1
2019-06-28 15:51:00,1
2019-06-28 16:20:00,1
2019-06-28 16:38:00,1
2019-06-28 16:53:00,1
2019-07-08 10:40:00,1
2019-07-08 11:01:00,1
2019-07-08 11:29:00,1
2019-07-08 11:49:00,1
2019-07-08 12:29:00,1
2019-07-08 12:58:00,1
2019-07-08 13:20:00,1
2019-07-08 13:45:00,1
2019-07-08 14:00:00,1
2019-07-08 14:16:00,1
2019-07-08 14:34:00,1
2019-07-08 14:54:00,1
2019-07-08 15:11:00,1
2019-07-08 15:28:00,1
2019-07-08 15:46:00,1
2019-07-08 16:05:00,1
2019-07-08 16:20:00,1
2019-07-08 16:38:00,1
2019-07-08 16:41:00,1
2019-07-10 11:50:00,1
2019-07-10 12:31:00,1
2019-07-10 12:53:00,1
2019-07-10 13:28:00,1
2019-07-10 13:50:00,1
2019-07-10 14:09:00,1
2019-07-10 14:27:00,1
2019-07-10 14:44:00,1
2019-07-10 15:06:00,1
2019-07-10 15:22:00,1
2019-07-10 15:41:00,1
2019-07-10 16:01:00,1
2019-07-10 16:18:00,1
2019-07-10 16:36:00,1
2019-07-12 11:00:00,1
2019-07-12 11:18:00,1
2019-07-12 11:39:00,1
2019-07-12 12:13:00,1
2019-07-12 12:30:00,1
2019-07-12 12:51:00,1
2019-07-12 13:10:00,1
2019-07-12 13:29:00,1
2019-07-12 13:47:00,1
2019-07-12 14:04:00,1
2019-07-12 14:21:00,1
2019-07-12 14:43:00,1
2019-07-12 14:59:00,1
2019-07-12 15:18:00,1
2019-07-12 15:34:00,3
2019-07-12 15:54:00,1
2019-07-12 16:12:00,1
2019-07-12 16:30:00,1
2019-07-16 11:26:00,1
2019-07-16 11:43:00,1
2019-07-16 12:04:00,1
2019-07-16 12:29:00,1
2019-07-16 12:46:00,1
2019-07-16 13:02:00,1
2019-07-16 13:20:00,1
2019-07-16 13:37:00,1
2019-07-16 13:56:00,1
2019-07-16 14:15:00,1
2019-07-16 14:32:00,1
2019-07-16 14:51:00,1
2019-07-16 15:07:00,1
2019-07-16 15:24:00,1
2019-07-16 15:40:00,1
2019-07-16 15:59:00,1
2019-07-16 16:16:00,1
2019-07-16 16:34:00,1
2019-07-18 10:03:00,1
2019-07-18 10:21:00,1
2019-07-18 10:38:00,1
2019-07-18 10:57:00,1
2019-07-18 11:15:00,1
2019-07-18 11:56:00,1
2019-07-18 12:15:00,1
2019-07-18 12:34:00,1
2019-07-18 12:50:00,1
2019-07-18 13:06:00,1
2019-07-18 13:23:00,1
2019-07-18 13:41:00,1
2019-07-18 13:58:00,1
2019-07-18 14:15:00,1
2019-07-18 14:31:00,1
2019-07-18 14:48:00,1
2019-07-18 15:05:00,1
2019-07-18 15:23:00,1
2019-07-18 15:39:00,1
2019-08-05 14:10:00,1
2019-08-05 14:38:00,1
2019-08-05 14:57:00,1
2019-08-05 15:17:00,1
2019-08-05 15:35:00,1
2019-08-05 15:56:00,1
2019-08-05 16:12:00,1
2019-08-06 14:59:00,1
2019-08-06 15:15:00,1
2019-08-06 15:31:00,1
2019-08-06 15:47:00,1
2019-08-06 16:03:00,1
2019-08-06 16:19:00,1
2019-08-07 11:09:00,1
2019-08-07 11:25:00,1
2019-08-07 11:41:00,1
2019-08-07 12:28:00,1
2019-08-07 12:44:00,1
2019-08-07 13:06:00,1
2019-08-07 13:37:00,1
2019-08-07 13:56:00,1
2019-08-07 14:40:00,1
2019-08-07 15:00:00,1
2019-08-07 15:26:00,1
2019-08-07 15:44:00,1
2019-08-07 16:01:00,1
2019-08-07 16:18:00,1
2019-08-07 16:41:00,1
2019-08-07 17:01:00,1
2019-08-14 15:22:00,1
2019-08-14 15:40:00,1
2019-08-14 15:57:00,1
2019-08-14 16:16:00,1
2019-08-15 16:06:00,1
2019-08-15 16:22:00,1
2019-08-19 14:50:00,1
2019-08-19 15:05:00,1
2019-08-20 15:42:00,1
2019-08-20 16:00:00,1
2019-08-20 16:17:00,1
2019-08-21 16:55:00,1
2019-08-21 17:13:00,1
2019-08-21 17:30:00,1
