1369,"select ra, dec from specObj where ra BETWEEN # and # AND dec BETWEEN # and #"
2019-02-20 15:34:00,1
2019-02-20 18:18:00,1
2019-02-20 18:19:00,1
2019-02-20 18:21:00,1
2019-02-20 18:35:00,1
2019-02-20 18:38:00,1
2019-02-20 18:40:00,2
2019-02-20 19:12:00,1
2019-02-21 03:22:00,1
2019-02-21 07:19:00,1
2019-02-21 08:58:00,1
2019-02-21 09:31:00,1
2019-02-21 10:47:00,1
2019-02-21 17:44:00,1
2019-02-21 20:40:00,1
2019-02-21 20:43:00,1
2019-02-22 14:39:00,1
2019-02-22 14:41:00,1
2019-02-22 18:01:00,1
2019-02-22 18:26:00,1
2019-02-22 18:28:00,1
2019-02-22 18:43:00,1
2019-02-24 15:50:00,2
2019-02-25 05:13:00,1
2019-02-25 18:56:00,1
2019-02-26 18:40:00,1
2019-02-26 22:33:00,1
2019-02-27 16:58:00,1
2019-02-27 20:25:00,1
2019-02-27 20:30:00,2
2019-02-28 13:41:00,1
2019-02-28 13:42:00,1
2019-02-28 17:28:00,1
2019-02-28 17:38:00,1
2019-02-28 17:39:00,1
2019-02-28 20:41:00,1
2019-03-01 16:07:00,1
2019-03-02 09:27:00,1
2019-03-02 11:53:00,1
2019-03-02 18:12:00,1
2019-03-03 09:19:00,1
2019-03-03 09:30:00,1
2019-03-03 09:37:00,1
2019-03-03 10:50:00,1
2019-03-03 11:13:00,1
2019-03-03 11:23:00,1
2019-03-03 11:32:00,1
2019-03-03 11:54:00,1
2019-03-03 12:23:00,1
2019-03-03 12:32:00,1
2019-03-03 12:41:00,1
2019-03-03 14:39:00,1
2019-03-03 15:16:00,1
2019-03-03 17:16:00,1
2019-03-03 17:17:00,1
2019-03-04 03:46:00,1
2019-03-04 03:47:00,1
2019-03-04 03:49:00,1
2019-03-05 14:19:00,1
2019-03-05 14:29:00,1
2019-03-05 16:44:00,1
2019-03-05 19:11:00,1
2019-03-05 19:13:00,1
2019-03-06 05:24:00,2
2019-03-06 05:29:00,1
2019-03-07 04:22:00,3
2019-03-07 11:14:00,1
2019-03-07 11:27:00,1
2019-03-07 16:06:00,1
2019-03-07 16:52:00,1
2019-03-07 17:58:00,1
2019-03-07 20:38:00,1
2019-03-08 08:43:00,1
2019-03-08 09:07:00,1
2019-03-08 09:08:00,1
2019-03-08 14:02:00,1
2019-03-08 14:04:00,2
2019-03-11 02:43:00,1
2019-03-11 08:18:00,2
2019-03-11 08:19:00,1
2019-03-11 11:06:00,1
2019-03-11 14:54:00,1
2019-03-11 15:20:00,7
2019-03-11 17:36:00,1
2019-03-11 17:37:00,2
2019-03-12 07:39:00,1
2019-03-13 13:42:00,1
2019-03-13 13:44:00,1
2019-03-13 13:46:00,1
2019-03-14 04:38:00,1
2019-03-15 17:55:00,1
2019-03-15 20:58:00,1
2019-03-15 21:16:00,1
2019-03-15 21:38:00,1
2019-03-15 21:39:00,1
2019-03-18 17:26:00,1
2019-03-18 17:30:00,1
2019-03-19 00:58:00,1
2019-03-22 00:09:00,1
2019-03-22 00:11:00,1
2019-03-22 14:00:00,1
2019-03-22 14:06:00,1
2019-03-22 18:16:00,1
2019-03-22 19:05:00,1
2019-03-22 19:07:00,1
2019-03-22 19:09:00,1
2019-03-22 19:12:00,1
2019-03-22 19:13:00,1
2019-03-22 19:17:00,1
2019-03-22 19:19:00,1
2019-03-22 19:20:00,1
2019-03-22 19:26:00,1
2019-03-22 19:44:00,1
2019-03-22 19:45:00,1
2019-03-22 20:03:00,1
2019-03-22 20:09:00,1
2019-03-22 20:13:00,1
2019-03-22 23:20:00,1
2019-03-22 23:22:00,3
2019-03-22 23:40:00,1
2019-03-24 17:44:00,1
2019-03-24 17:48:00,1
2019-03-25 02:56:00,1
2019-03-25 02:57:00,1
2019-03-25 03:03:00,1
2019-03-25 09:04:00,1
2019-03-26 07:01:00,1
2019-03-26 09:51:00,1
2019-03-26 12:05:00,1
2019-03-26 12:07:00,1
2019-03-26 12:09:00,1
2019-03-26 12:15:00,1
2019-03-26 12:23:00,1
2019-03-26 18:48:00,1
2019-03-26 18:50:00,1
2019-03-26 19:14:00,1
2019-03-26 19:35:00,1
2019-03-26 21:48:00,1
2019-03-26 23:17:00,1
2019-03-26 23:33:00,7
2019-03-27 00:16:00,1
2019-03-28 02:48:00,1
2019-03-28 03:35:00,1
2019-03-28 05:53:00,1
2019-03-28 13:17:00,1
2019-03-29 17:44:00,1
2019-03-29 23:39:00,1
2019-03-29 23:40:00,1
2019-03-29 23:41:00,1
2019-03-31 04:49:00,1
2019-03-31 04:50:00,1
2019-03-31 04:51:00,2
2019-03-31 18:56:00,1
2019-04-01 21:56:00,1
2019-04-02 15:53:00,1
2019-04-02 19:18:00,1
2019-04-02 19:21:00,1
2019-04-02 23:12:00,1
2019-04-03 23:52:00,1
2019-04-03 23:55:00,1
2019-04-04 00:18:00,1
2019-04-04 03:36:00,1
2019-04-04 18:25:00,1
2019-04-05 00:07:00,1
2019-04-06 01:24:00,1
2019-04-06 01:31:00,1
2019-04-06 17:26:00,1
2019-04-06 17:27:00,1
2019-04-07 03:21:00,2
2019-04-09 10:43:00,1
2019-04-09 17:05:00,1
2019-04-09 17:06:00,3
2019-04-09 17:07:00,1
2019-04-09 17:08:00,3
2019-04-09 17:11:00,1
2019-04-09 17:20:00,1
2019-04-09 17:23:00,1
2019-04-09 17:24:00,1
2019-04-10 00:29:00,1
2019-04-10 12:01:00,1
2019-04-10 12:02:00,1
2019-04-10 23:08:00,1
2019-04-12 11:16:00,1
2019-04-12 11:20:00,2
2019-04-12 11:56:00,1
2019-04-12 20:03:00,1
2019-04-12 20:04:00,2
2019-04-12 20:05:00,3
2019-04-12 20:06:00,3
2019-04-12 22:48:00,1
2019-04-15 07:10:00,1
2019-04-15 07:13:00,1
2019-04-16 23:50:00,1
2019-04-17 01:43:00,1
2019-04-17 09:14:00,2
2019-04-17 15:23:00,1
2019-04-17 17:24:00,1
2019-04-18 02:36:00,1
2019-04-18 02:37:00,1
2019-04-18 08:11:00,1
2019-04-18 18:50:00,1
2019-04-19 04:26:00,1
2019-04-21 16:01:00,1
2019-04-21 17:17:00,1
2019-04-22 19:11:00,1
2019-04-22 19:12:00,1
2019-04-22 19:13:00,1
2019-04-23 11:49:00,1
2019-04-24 11:43:00,3
2019-04-24 11:44:00,2
2019-04-25 18:43:00,1
2019-04-25 18:47:00,2
2019-04-26 14:41:00,1
2019-04-26 15:27:00,1
2019-04-28 13:59:00,1
2019-04-30 00:31:00,1
2019-04-30 05:30:00,1
2019-04-30 05:31:00,1
2019-04-30 05:35:00,1
2019-04-30 05:36:00,1
2019-05-01 08:56:00,1
2019-05-01 11:52:00,1
2019-05-01 11:58:00,6
2019-05-01 13:06:00,1
2019-05-01 20:26:00,2
2019-05-02 14:15:00,1
2019-05-02 16:09:00,1
2019-05-02 16:12:00,1
2019-05-03 12:23:00,1
2019-05-07 00:38:00,1
2019-05-07 13:04:00,2
2019-05-07 13:05:00,1
2019-05-07 13:07:00,18
2019-05-07 13:08:00,4
2019-05-07 13:09:00,1
2019-05-07 13:11:00,1
2019-05-07 13:44:00,1
2019-05-07 13:48:00,1
2019-05-08 15:58:00,1
2019-05-08 16:04:00,1
2019-05-08 16:05:00,1
2019-05-08 18:45:00,1
2019-05-09 14:33:00,1
2019-05-09 14:35:00,1
2019-05-09 19:14:00,1
2019-05-10 09:04:00,1
2019-05-10 09:05:00,2
2019-05-10 15:50:00,1
2019-05-13 17:22:00,1
2019-05-13 17:23:00,1
2019-05-13 20:13:00,2
2019-05-13 20:14:00,1
2019-05-14 12:50:00,1
2019-05-16 17:03:00,1
2019-05-16 17:05:00,1
2019-05-17 19:36:00,2
2019-05-18 22:05:00,1
2019-05-19 08:41:00,1
2019-05-19 17:33:00,1
2019-05-19 17:46:00,1
2019-05-21 03:43:00,1
2019-05-21 09:32:00,1
2019-05-21 16:26:00,2
2019-05-21 16:29:00,1
2019-05-21 19:21:00,1
2019-05-21 19:22:00,2
2019-05-23 00:06:00,2
2019-05-23 20:53:00,1
2019-05-27 09:57:00,1
2019-05-27 14:56:00,1
2019-05-28 04:05:00,1
2019-05-28 22:36:00,1
2019-05-28 22:37:00,1
2019-05-29 09:59:00,2
2019-05-29 13:20:00,1
2019-05-29 15:06:00,1
2019-05-29 19:24:00,1
2019-05-29 19:33:00,1
2019-05-29 19:34:00,1
2019-05-30 19:48:00,1
2019-05-30 20:15:00,1
2019-05-31 14:27:00,2
2019-06-03 16:52:00,3
2019-06-03 19:29:00,1
2019-06-03 19:32:00,1
2019-06-03 20:26:00,1
2019-06-04 20:45:00,1
2019-06-05 14:26:00,1
2019-06-06 09:51:00,1
2019-06-06 10:13:00,1
2019-06-06 13:19:00,1
2019-06-08 14:41:00,1
2019-06-08 14:46:00,1
2019-06-08 15:16:00,1
2019-06-08 15:21:00,1
2019-06-08 15:50:00,1
2019-06-08 20:47:00,1
2019-06-08 20:56:00,1
2019-06-08 21:01:00,1
2019-06-10 14:25:00,1
2019-06-10 14:29:00,1
2019-06-10 15:08:00,1
2019-06-10 22:10:00,1
2019-06-10 22:18:00,1
2019-06-10 22:19:00,1
2019-06-10 23:22:00,1
2019-06-11 04:07:00,1
2019-06-11 04:09:00,1
2019-06-11 15:24:00,1
2019-06-11 15:26:00,1
2019-06-11 18:41:00,1
2019-06-11 18:51:00,1
2019-06-12 01:10:00,1
2019-06-12 01:11:00,10
2019-06-12 01:13:00,28
2019-06-12 01:22:00,1
2019-06-12 01:26:00,2
2019-06-12 01:39:00,1
2019-06-12 01:41:00,1
2019-06-12 02:45:00,1
2019-06-12 02:49:00,2
2019-06-12 03:33:00,1
2019-06-12 03:34:00,1
2019-06-12 03:42:00,1
2019-06-12 03:45:00,1
2019-06-12 03:50:00,1
2019-06-12 03:51:00,7
2019-06-12 03:52:00,4
2019-06-12 03:53:00,1
2019-06-12 03:56:00,1
2019-06-12 03:57:00,4
2019-06-12 03:58:00,14
2019-06-12 03:59:00,11
2019-06-12 04:00:00,7
2019-06-12 04:01:00,3
2019-06-12 05:05:00,1
2019-06-12 12:53:00,1
2019-06-12 12:55:00,2
2019-06-12 12:56:00,1
2019-06-12 12:58:00,2
2019-06-12 13:53:00,1
2019-06-12 16:52:00,1
2019-06-13 13:14:00,1
2019-06-13 14:12:00,1
2019-06-13 14:13:00,2
2019-06-13 17:17:00,1
2019-06-13 17:18:00,1
2019-06-13 21:06:00,1
2019-06-13 21:07:00,1
2019-06-13 21:09:00,1
2019-06-14 00:27:00,4
2019-06-14 13:39:00,1
2019-06-14 15:53:00,1
2019-06-14 17:34:00,1
2019-06-15 09:49:00,1
2019-06-15 09:59:00,1
2019-06-16 13:48:00,1
2019-06-16 13:49:00,1
2019-06-17 14:15:00,1
2019-06-18 20:31:00,1
2019-06-19 11:26:00,1
2019-06-19 13:11:00,1
2019-06-19 14:04:00,1
2019-06-19 14:08:00,2
2019-06-19 14:54:00,1
2019-06-19 14:59:00,1
2019-06-19 15:39:00,1
2019-06-19 16:20:00,1
2019-06-19 16:22:00,1
2019-06-19 16:23:00,1
2019-06-19 20:48:00,1
2019-06-19 23:31:00,1
2019-06-20 05:16:00,1
2019-06-20 05:17:00,2
2019-06-20 05:18:00,1
2019-06-20 11:52:00,1
2019-06-20 15:02:00,1
2019-06-20 15:08:00,1
2019-06-20 17:06:00,2
2019-06-20 17:07:00,2
2019-06-20 17:08:00,1
2019-06-20 17:10:00,1
2019-06-20 17:11:00,1
2019-06-20 17:34:00,1
2019-06-20 17:35:00,1
2019-06-20 18:22:00,1
2019-06-21 09:20:00,1
2019-06-21 09:51:00,2
2019-06-22 15:21:00,1
2019-06-22 16:51:00,1
2019-06-22 16:54:00,1
2019-06-22 17:09:00,2
2019-06-24 09:35:00,1
2019-06-24 10:15:00,1
2019-06-24 21:05:00,1
2019-06-24 21:06:00,1
2019-06-24 21:07:00,1
2019-06-25 00:25:00,1
2019-06-25 00:44:00,1
2019-06-25 00:58:00,3
2019-06-25 01:34:00,1
2019-06-25 06:32:00,2
2019-06-25 09:52:00,1
2019-06-25 09:53:00,1
2019-06-25 11:06:00,1
2019-06-25 11:09:00,1
2019-06-25 15:49:00,2
2019-06-25 15:50:00,1
2019-06-25 15:51:00,3
2019-06-25 16:00:00,1
2019-06-26 07:38:00,1
2019-06-26 11:09:00,1
2019-06-26 11:10:00,1
2019-06-26 13:46:00,1
2019-06-26 13:47:00,1
2019-06-26 14:00:00,1
2019-06-26 14:01:00,2
2019-06-26 14:03:00,2
2019-06-26 17:00:00,1
2019-06-26 17:02:00,1
2019-06-26 17:49:00,1
2019-06-26 17:50:00,2
2019-06-26 17:51:00,1
2019-06-26 18:05:00,2
2019-06-27 06:12:00,2
2019-06-27 07:53:00,1
2019-06-27 12:55:00,1
2019-06-27 13:10:00,1
2019-06-27 14:55:00,1
2019-06-27 15:00:00,1
2019-06-27 16:14:00,2
2019-06-27 18:15:00,1
2019-06-27 20:56:00,1
2019-06-27 20:59:00,1
2019-06-27 21:00:00,1
2019-06-27 21:17:00,1
2019-06-27 23:09:00,1
2019-06-28 07:06:00,1
2019-06-28 07:07:00,2
2019-06-28 07:11:00,1
2019-06-28 13:09:00,1
2019-06-28 21:32:00,2
2019-06-28 21:33:00,2
2019-06-29 16:10:00,1
2019-06-30 09:03:00,1
2019-07-02 04:19:00,1
2019-07-02 05:26:00,1
2019-07-02 12:22:00,1
2019-07-02 12:24:00,1
2019-07-02 12:25:00,1
2019-07-02 12:26:00,1
2019-07-02 12:54:00,1
2019-07-02 17:22:00,1
2019-07-02 17:23:00,2
2019-07-02 17:25:00,2
2019-07-03 10:51:00,1
2019-07-03 10:52:00,1
2019-07-03 16:40:00,1
2019-07-03 17:50:00,1
2019-07-05 15:24:00,1
2019-07-07 17:19:00,1
2019-07-07 17:20:00,1
2019-07-08 03:49:00,1
2019-07-09 11:41:00,1
2019-07-09 11:42:00,1
2019-07-09 11:43:00,1
2019-07-09 11:46:00,2
2019-07-09 11:47:00,1
2019-07-09 11:56:00,1
2019-07-09 14:18:00,2
2019-07-10 03:01:00,1
2019-07-10 03:02:00,1
2019-07-10 05:40:00,1
2019-07-10 10:33:00,1
2019-07-12 18:44:00,1
2019-07-12 18:45:00,1
2019-07-12 18:49:00,1
2019-07-12 18:50:00,1
2019-07-16 20:25:00,1
2019-07-16 23:00:00,1
2019-07-17 05:23:00,1
2019-07-17 05:27:00,1
2019-07-18 08:44:00,1
2019-07-18 08:47:00,1
2019-07-19 15:42:00,1
2019-07-19 15:45:00,2
2019-07-19 15:46:00,13
2019-07-23 10:00:00,1
2019-07-23 10:04:00,1
2019-07-23 12:00:00,2
2019-07-24 13:29:00,1
2019-07-24 13:34:00,1
2019-07-25 07:20:00,3
2019-07-25 07:38:00,1
2019-07-25 13:29:00,1
2019-07-25 14:01:00,1
2019-07-25 14:08:00,1
2019-07-25 17:27:00,1
2019-07-25 17:38:00,1
2019-07-25 17:40:00,2
2019-07-25 17:51:00,1
2019-07-25 18:47:00,1
2019-07-25 18:50:00,1
2019-07-25 19:06:00,1
2019-07-26 17:32:00,1
2019-07-26 18:21:00,1
2019-07-26 21:45:00,1
2019-07-28 04:40:00,1
2019-07-29 01:43:00,1
2019-07-29 11:30:00,1
2019-07-29 23:58:00,1
2019-07-30 00:01:00,1
2019-07-30 21:26:00,1
2019-07-30 21:29:00,1
2019-07-31 15:22:00,1
2019-07-31 18:26:00,2
2019-08-01 12:50:00,1
2019-08-01 20:22:00,1
2019-08-02 20:12:00,1
2019-08-03 07:15:00,1
2019-08-05 09:57:00,1
2019-08-05 09:58:00,1
2019-08-05 10:00:00,1
2019-08-05 10:01:00,1
2019-08-06 15:33:00,1
2019-08-07 00:03:00,1
2019-08-07 13:13:00,2
2019-08-07 17:30:00,1
2019-08-08 13:56:00,1
2019-08-08 14:09:00,1
2019-08-09 23:59:00,1
2019-08-10 13:42:00,1
2019-08-10 13:44:00,1
2019-08-10 16:58:00,1
2019-08-11 09:26:00,1
2019-08-11 10:26:00,1
2019-08-11 10:37:00,1
2019-08-12 17:57:00,1
2019-08-13 08:56:00,1
2019-08-13 09:04:00,1
2019-08-14 11:50:00,1
2019-08-14 11:54:00,1
2019-08-14 16:52:00,1
2019-08-14 16:53:00,1
2019-08-14 18:03:00,2
2019-08-14 18:08:00,1
2019-08-14 19:37:00,1
2019-08-19 05:20:00,1
2019-08-19 23:52:00,1
2019-08-19 23:54:00,1
2019-08-19 23:55:00,1
2019-08-21 09:02:00,1
2019-08-22 16:45:00,1
2019-08-22 23:35:00,1
2019-08-27 11:56:00,1
2019-08-27 12:00:00,1
2019-08-27 18:16:00,1
2019-08-27 18:18:00,3
2019-08-28 05:12:00,1
2019-08-28 12:15:00,1
2019-08-28 12:16:00,1
2019-08-29 11:23:00,1
2019-08-29 11:24:00,1
2019-08-29 18:53:00,1
2019-08-29 18:54:00,3
2019-08-29 20:58:00,1
2019-08-30 10:33:00,1
2019-08-30 10:44:00,2
2019-08-30 10:45:00,1
2019-08-30 10:49:00,1
2019-09-02 05:54:00,1
2019-09-02 11:19:00,1
2019-09-02 16:02:00,1
2019-09-02 16:04:00,1
2019-09-02 16:06:00,1
2019-09-03 00:47:00,1
2019-09-04 02:09:00,1
2019-09-04 02:16:00,1
2019-09-05 13:49:00,1
2019-09-06 17:50:00,1
2019-09-09 23:14:00,1
2019-09-09 23:15:00,1
2019-09-10 00:52:00,1
2019-09-10 04:32:00,1
2019-09-10 12:13:00,8
2019-09-10 19:05:00,1
2019-09-11 05:42:00,1
2019-09-11 05:44:00,1
2019-09-11 14:59:00,1
2019-09-12 18:40:00,1
2019-09-12 21:51:00,1
2019-09-12 21:54:00,1
2019-09-12 22:00:00,1
2019-09-16 02:01:00,2
2019-09-16 02:06:00,2
2019-09-18 00:24:00,1
2019-09-18 15:53:00,1
2019-09-18 15:55:00,1
2019-09-19 14:25:00,1
2019-09-19 16:38:00,1
2019-09-19 22:36:00,1
2019-09-20 14:26:00,1
2019-09-20 14:55:00,1
2019-09-20 17:21:00,1
2019-09-20 17:23:00,1
2019-09-20 18:58:00,1
2019-09-22 04:14:00,1
2019-09-23 13:09:00,1
2019-09-23 13:13:00,1
2019-09-23 15:37:00,1
2019-09-23 17:49:00,1
2019-09-23 19:37:00,1
2019-09-23 19:38:00,1
2019-09-23 19:39:00,1
2019-09-24 04:21:00,2
2019-09-24 04:24:00,1
2019-09-24 07:12:00,1
2019-09-24 07:17:00,1
2019-09-24 07:54:00,1
2019-09-24 07:58:00,1
2019-09-24 09:35:00,1
2019-09-24 21:39:00,1
2019-09-25 02:23:00,1
2019-09-25 02:25:00,1
2019-09-25 06:08:00,1
2019-09-25 12:53:00,1
2019-09-25 15:20:00,1
2019-09-25 17:35:00,1
2019-09-25 17:55:00,1
2019-09-25 17:58:00,1
2019-09-25 18:02:00,1
2019-09-26 21:29:00,1
2019-09-27 15:24:00,1
2019-09-27 15:26:00,1
2019-09-28 13:37:00,1
2019-09-28 13:38:00,1
2019-09-28 13:43:00,1
2019-09-28 13:46:00,1
2019-09-28 18:42:00,1
2019-09-28 21:33:00,1
2019-09-28 21:35:00,1
2019-09-28 21:36:00,1
2019-09-29 18:57:00,1
2019-09-29 18:59:00,1
2019-10-01 07:58:00,1
2019-10-01 13:14:00,1
2019-10-01 13:49:00,1
2019-10-02 01:58:00,1
2019-10-02 06:40:00,1
2019-10-02 07:00:00,1
2019-10-02 16:03:00,2
2019-10-03 13:48:00,1
2019-10-03 13:49:00,1
2019-10-03 16:15:00,1
2019-10-03 16:20:00,2
2019-10-03 16:21:00,2
2019-10-03 16:22:00,2
2019-10-03 16:25:00,2
2019-10-04 16:11:00,1
2019-10-04 16:14:00,1
2019-10-04 16:15:00,2
2019-10-06 02:22:00,1
2019-10-06 02:23:00,1
2019-10-06 07:26:00,1
2019-10-06 18:37:00,1
2019-10-06 18:38:00,1
2019-10-06 23:01:00,2
2019-10-07 02:07:00,1
2019-10-07 02:08:00,1
2019-10-07 10:55:00,2
2019-10-07 10:56:00,1
2019-10-07 10:57:00,2
2019-10-07 10:59:00,2
2019-10-07 11:05:00,1
2019-10-08 04:25:00,1
2019-10-08 04:26:00,3
2019-10-08 14:36:00,1
2019-10-08 15:36:00,1
2019-10-10 10:20:00,1
2019-10-10 14:32:00,1
2019-10-11 11:47:00,1
2019-10-11 16:17:00,1
2019-10-12 16:33:00,1
2019-10-15 05:15:00,1
2019-10-15 06:37:00,2
2019-10-15 17:04:00,1
2019-10-15 17:05:00,1
2019-10-15 20:53:00,1
2019-10-16 13:53:00,1
2019-10-16 14:45:00,1
2019-10-16 17:56:00,1
2019-10-16 17:57:00,1
2019-10-16 19:53:00,1
2019-10-16 19:54:00,1
2019-10-16 21:44:00,1
2019-10-17 13:18:00,1
2019-10-18 14:01:00,1
2019-10-18 14:02:00,1
2019-10-18 14:36:00,2
2019-10-18 14:47:00,1
2019-10-18 15:28:00,2
2019-10-18 15:35:00,1
2019-10-19 07:01:00,1
2019-10-19 07:02:00,4
2019-10-21 23:44:00,1
2019-10-22 09:57:00,1
2019-10-22 13:23:00,1
2019-10-22 16:26:00,1
2019-10-23 14:11:00,1
2019-10-23 14:31:00,1
2019-10-23 14:33:00,2
2019-10-23 14:34:00,3
2019-10-23 14:36:00,1
2019-10-23 19:40:00,1
2019-10-24 08:46:00,1
2019-10-24 08:51:00,2
2019-10-24 08:53:00,1
2019-10-24 13:53:00,1
2019-10-24 13:58:00,1
2019-10-24 20:52:00,1
2019-10-24 23:02:00,1
2019-10-25 20:32:00,1
2019-10-26 10:12:00,1
2019-10-26 10:13:00,1
2019-10-27 04:07:00,1
2019-10-28 10:58:00,1
2019-10-28 13:05:00,1
2019-10-30 00:15:00,1
2019-10-30 00:22:00,1
2019-10-31 03:20:00,1
2019-10-31 23:21:00,1
2019-11-01 00:15:00,1
2019-11-01 02:32:00,1
2019-11-01 21:46:00,1
2019-11-01 21:48:00,1
2019-11-02 23:06:00,1
2019-11-03 15:52:00,1
2019-11-03 15:53:00,1
2019-11-03 15:57:00,1
2019-11-03 15:59:00,1
2019-11-03 16:02:00,1
2019-11-03 16:03:00,1
2019-11-03 18:07:00,1
2019-11-03 22:38:00,1
2019-11-03 22:41:00,1
2019-11-04 12:39:00,1
2019-11-04 20:00:00,1
2019-11-04 20:03:00,1
2019-11-05 01:21:00,1
2019-11-05 17:19:00,1
2019-11-06 10:18:00,2
2019-11-06 10:19:00,1
2019-11-06 10:25:00,1
2019-11-06 15:25:00,1
2019-11-06 21:36:00,2
2019-11-07 12:42:00,1
2019-11-08 05:56:00,2
2019-11-08 05:57:00,3
2019-11-08 05:58:00,1
2019-11-08 17:54:00,1
2019-11-08 20:34:00,1
2019-11-10 13:42:00,1
2019-11-11 15:47:00,1
2019-11-11 15:48:00,1
2019-11-12 09:54:00,1
2019-11-12 09:55:00,2
2019-11-12 20:14:00,1
2019-11-12 23:06:00,1
2019-11-13 14:55:00,1
2019-11-14 00:12:00,1
2019-11-14 02:26:00,3
2019-11-14 04:00:00,1
2019-11-14 04:43:00,1
2019-11-14 05:57:00,1
2019-11-14 05:58:00,1
2019-11-14 06:04:00,1
2019-11-14 12:14:00,1
2019-11-14 12:16:00,1
2019-11-14 12:22:00,1
2019-11-14 16:53:00,1
2019-11-14 16:54:00,1
2019-11-14 16:59:00,1
2019-11-14 21:26:00,1
2019-11-14 23:59:00,1
2019-11-15 08:44:00,1
