346,"SELECT p.objid, p.psfMag_u AS u, p.psfMagErr_u as u_err, p.psfMag_g AS g, p.psfMagErr_g as g_err, p.dered_r AS r, p.psfMagErr_r as r_err, p.dered_i AS i, p.psfMagErr_i as i_err, p.dered_z AS z, p.psfMagErr_z as z_err FROM photoObj p JOIN dbo.fGetNearbyObjEq (#, #, #) n ON p.objid = n.objID WHERE p.type = # AND p.psfMag_g BETWEEN # AND # AND p.psfMag_u/p.psfMagerr_u > # AND p.psfMag_g/p.psfMagerr_g > # AND p.psfMag_r/p.psfMagerr_r > # AND p.psfMag_i/p.psfMagerr_i > # AND p.psfMag_z/p.psfMagerr_z > #"
2019-03-27 14:33:00,2
2019-03-27 17:02:00,1
2019-03-27 17:04:00,1
2019-03-27 17:12:00,1
2019-03-27 17:29:00,1
2019-03-27 17:53:00,1
2019-03-27 18:25:00,1
2019-03-28 11:16:00,1
2019-03-28 13:14:00,1
2019-03-28 13:25:00,3
2019-03-28 13:35:00,1
2019-03-28 14:06:00,1
2019-03-28 16:08:00,1
2019-03-28 16:33:00,1
2019-03-28 16:37:00,1
2019-03-28 16:38:00,2
2019-03-28 16:39:00,5
2019-03-28 16:42:00,3
2019-03-28 16:43:00,1
2019-03-28 16:46:00,1
2019-03-28 16:53:00,1
2019-03-28 16:54:00,1
2019-03-28 16:56:00,3
2019-03-28 16:57:00,2
2019-03-28 17:01:00,1
2019-03-28 17:06:00,1
2019-03-28 17:09:00,4
2019-03-28 17:10:00,2
2019-03-28 17:20:00,2
2019-03-28 18:45:00,1
2019-03-28 18:53:00,2
2019-03-28 18:55:00,1
2019-03-28 19:01:00,2
2019-03-28 19:02:00,1
2019-03-28 19:15:00,1
2019-03-28 19:16:00,1
2019-03-28 19:37:00,1
2019-03-28 19:42:00,1
2019-03-28 19:43:00,1
2019-03-28 19:46:00,1
2019-03-28 19:51:00,1
2019-03-31 18:05:00,1
2019-03-31 18:08:00,1
2019-03-31 18:20:00,1
2019-03-31 18:25:00,1
2019-03-31 18:30:00,1
2019-03-31 18:31:00,1
2019-03-31 18:33:00,1
2019-03-31 18:41:00,1
2019-03-31 18:44:00,1
2019-03-31 18:50:00,1
2019-04-04 09:56:00,1
2019-04-04 15:03:00,1
2019-04-04 15:06:00,1
2019-04-04 15:10:00,1
2019-04-04 15:11:00,1
2019-04-04 15:12:00,1
2019-04-04 15:13:00,2
2019-04-04 15:15:00,1
2019-04-04 15:19:00,1
2019-04-04 15:20:00,1
2019-04-04 15:24:00,1
2019-04-04 15:26:00,4
2019-04-04 15:29:00,1
2019-04-04 15:31:00,1
2019-04-04 15:37:00,1
2019-04-04 15:40:00,1
2019-04-04 15:45:00,1
2019-04-04 15:48:00,1
2019-04-04 15:53:00,1
2019-04-04 15:55:00,1
2019-04-04 16:02:00,1
2019-04-04 16:03:00,1
2019-04-04 16:05:00,1
2019-04-04 16:06:00,1
2019-04-04 16:25:00,1
2019-04-04 16:53:00,1
2019-04-07 15:47:00,1
2019-04-07 15:49:00,1
2019-04-07 15:50:00,1
2019-04-07 16:56:00,1
2019-04-08 12:29:00,5
2019-04-11 12:52:00,1
2019-04-11 12:56:00,1
2019-04-11 14:22:00,5
2019-04-11 16:00:00,1
2019-04-11 16:01:00,1
2019-04-11 16:08:00,1
2019-04-11 16:12:00,1
2019-04-11 16:13:00,1
2019-04-11 16:20:00,1
2019-04-11 16:53:00,1
2019-04-11 17:14:00,1
2019-04-11 17:18:00,1
2019-04-11 17:26:00,1
2019-04-15 19:52:00,1
2019-04-15 19:57:00,1
2019-04-17 19:33:00,1
2019-04-17 19:35:00,1
2019-04-17 19:47:00,1
2019-04-18 11:50:00,1
2019-04-18 15:13:00,1
2019-04-18 15:38:00,5
2019-04-18 15:52:00,2
2019-04-18 16:02:00,1
2019-04-21 14:00:00,5
2019-04-24 11:14:00,5
2019-04-25 15:14:00,4
2019-04-25 15:15:00,1
2019-04-30 12:18:00,3
2019-04-30 12:19:00,2
2019-05-01 15:43:00,5
2019-05-02 10:47:00,4
2019-05-02 10:48:00,1
2019-05-03 11:01:00,4
2019-05-03 11:02:00,1
2019-05-04 15:34:00,1
2019-05-04 15:41:00,5
2019-05-05 19:14:00,1
2019-05-05 19:15:00,4
2019-05-06 11:18:00,5
2019-05-09 15:22:00,1
2019-05-09 15:36:00,3
2019-05-09 15:37:00,1
2019-05-09 15:43:00,2
2019-05-09 15:44:00,4
2019-05-09 15:45:00,1
2019-06-03 18:22:00,1
2019-06-25 19:48:00,1
2019-06-25 19:49:00,1
2019-06-25 19:51:00,1
2019-06-25 19:53:00,1
2019-06-25 19:55:00,1
2019-06-25 19:59:00,2
2019-08-26 11:58:00,1
2019-08-26 12:01:00,1
2019-08-26 12:02:00,1
2019-10-29 06:29:00,1
2019-10-29 06:33:00,1
2019-10-29 06:44:00,2
2019-10-29 06:52:00,1
2019-10-29 06:56:00,1
2019-10-29 09:54:00,1
2019-10-29 10:09:00,1
2019-12-27 13:42:00,1
2019-12-27 13:57:00,1
2019-12-27 14:00:00,1
2019-12-27 15:44:00,1
2019-12-27 15:49:00,1
