231,SELECT * FROM CMASS_S_cmassref_matches_batch_#
2019-07-08 12:53:00,1
2019-07-08 13:13:00,1
2019-07-08 13:38:00,1
2019-07-08 13:55:00,1
2019-07-08 14:11:00,1
2019-07-08 14:29:00,1
2019-07-08 14:48:00,1
2019-07-08 15:06:00,1
2019-07-08 15:22:00,1
2019-07-08 15:40:00,1
2019-07-08 15:59:00,1
2019-07-08 16:15:00,1
2019-07-08 16:32:00,1
2019-07-08 16:52:00,1
2019-07-10 12:03:00,1
2019-07-10 12:44:00,1
2019-07-10 13:21:00,1
2019-07-10 13:44:00,1
2019-07-10 14:05:00,1
2019-07-10 14:22:00,1
2019-07-10 14:38:00,1
2019-07-10 15:00:00,1
2019-07-10 15:17:00,1
2019-07-10 15:36:00,1
2019-07-10 15:56:00,1
2019-07-10 16:13:00,1
2019-07-10 16:30:00,1
2019-07-10 16:48:00,1
2019-07-12 11:11:00,1
2019-07-12 11:31:00,1
2019-07-12 12:08:00,1
2019-07-12 12:24:00,1
2019-07-12 12:45:00,1
2019-07-12 13:04:00,1
2019-07-12 13:24:00,1
2019-07-12 13:40:00,1
2019-07-12 13:59:00,1
2019-07-12 14:16:00,1
2019-07-12 14:33:00,1
2019-07-12 14:54:00,1
2019-07-12 15:13:00,1
2019-07-12 15:29:00,1
2019-07-12 15:48:00,1
2019-07-12 16:06:00,1
2019-07-12 16:24:00,1
2019-07-12 16:42:00,1
2019-07-16 11:38:00,1
2019-07-16 11:54:00,1
2019-07-16 12:25:00,1
2019-07-16 12:41:00,1
2019-07-16 12:57:00,1
2019-07-16 13:13:00,1
2019-07-16 13:33:00,1
2019-07-16 13:49:00,1
2019-07-16 14:10:00,1
2019-07-16 14:26:00,1
2019-07-16 14:45:00,1
2019-07-16 15:03:00,1
2019-07-16 15:19:00,1
2019-07-16 15:35:00,1
2019-07-16 15:53:00,1
2019-07-16 16:12:00,1
2019-07-16 16:29:00,1
2019-07-16 16:46:00,1
2019-07-18 10:15:00,1
2019-07-18 10:31:00,1
2019-07-18 10:52:00,1
2019-07-18 11:10:00,1
2019-07-18 11:51:00,1
2019-07-18 12:09:00,1
2019-07-18 12:28:00,1
2019-07-18 12:45:00,1
2019-07-18 13:02:00,1
2019-07-18 13:18:00,1
2019-07-18 13:36:00,1
2019-07-18 13:52:00,1
2019-07-18 14:10:00,1
2019-07-18 14:27:00,1
2019-07-18 14:43:00,1
2019-07-18 15:00:00,1
2019-07-18 15:17:00,1
2019-07-18 15:34:00,1
2019-07-18 15:49:00,1
2019-08-05 14:21:00,1
2019-08-05 14:50:00,1
2019-08-05 15:12:00,1
2019-08-05 15:30:00,1
2019-08-05 15:50:00,1
2019-08-05 16:07:00,1
2019-08-05 16:24:00,1
2019-08-06 15:10:00,1
2019-08-06 15:26:00,1
2019-08-06 15:42:00,1
2019-08-06 15:58:00,1
2019-08-06 16:14:00,1
2019-08-06 16:32:00,1
2019-08-07 11:20:00,1
2019-08-07 11:36:00,1
2019-08-07 12:22:00,1
2019-08-07 12:39:00,1
2019-08-07 12:58:00,1
2019-08-07 13:30:00,1
2019-08-07 13:49:00,1
2019-08-07 14:10:00,1
2019-08-07 14:54:00,1
2019-08-07 15:21:00,1
2019-08-07 15:37:00,1
2019-08-07 15:55:00,1
2019-08-07 16:12:00,1
2019-08-07 16:31:00,1
2019-08-07 16:53:00,1
2019-08-07 17:12:00,1
2019-08-14 15:34:00,1
2019-08-14 15:51:00,1
2019-08-14 16:09:00,1
2019-08-14 16:26:00,1
2019-08-15 16:16:00,1
2019-08-15 16:31:00,1
2019-08-19 15:00:00,1
2019-08-19 15:15:00,1
2019-08-20 15:54:00,1
2019-08-20 16:12:00,1
2019-08-20 16:29:00,1
2019-08-21 17:07:00,1
2019-08-21 17:25:00,1
2019-08-21 17:41:00,1
