494,"SELECT TOP # plateifu, mangaid, objra, objdec, mngtarg1, drp3qual FROM mangadrpall WHERE mngtarg1 ! = # or mngtarg3 ! = #"
2019-06-21 07:08:00,1
2019-06-23 01:07:00,1
2019-06-23 17:06:00,1
2019-06-23 23:46:00,1
2019-06-24 01:44:00,1
2019-06-24 06:19:00,1
2019-06-24 15:36:00,1
2019-06-24 23:41:00,1
2019-06-25 15:50:00,1
2019-06-26 00:27:00,1
2019-06-27 11:24:00,1
2019-06-29 17:30:00,1
2019-06-30 16:09:00,1
2019-06-30 18:19:00,1
2019-06-30 23:35:00,1
2019-07-01 01:57:00,1
2019-07-01 09:45:00,1
2019-07-01 11:03:00,1
2019-07-01 17:35:00,1
2019-07-01 19:17:00,1
2019-07-02 00:35:00,1
2019-07-02 10:48:00,1
2019-07-02 16:10:00,1
2019-07-03 01:43:00,1
2019-07-03 11:25:00,1
2019-07-04 11:38:00,1
2019-07-04 12:08:00,1
2019-07-05 09:26:00,1
2019-07-05 22:19:00,1
2019-07-06 07:29:00,1
2019-07-07 02:46:00,1
2019-07-07 22:46:00,1
2019-07-09 17:49:00,1
2019-07-10 06:26:00,1
2019-07-11 17:05:00,1
2019-07-14 18:31:00,1
2019-07-14 20:32:00,1
2019-07-18 12:45:00,1
2019-07-19 00:41:00,1
2019-07-20 01:22:00,1
2019-07-20 03:46:00,1
2019-07-20 03:55:00,1
2019-07-20 04:52:00,1
2019-07-21 02:33:00,1
2019-07-22 02:45:00,1
2019-07-23 15:48:00,1
2019-07-24 16:43:00,1
2019-07-24 18:15:00,1
2019-07-25 10:38:00,1
2019-07-25 18:18:00,1
2019-07-26 12:19:00,1
2019-07-26 14:36:00,1
2019-07-27 02:32:00,1
2019-07-28 15:30:00,1
2019-07-28 22:54:00,1
2019-07-29 00:25:00,1
2019-07-29 03:31:00,1
2019-07-29 10:03:00,1
2019-07-29 10:44:00,1
2019-07-29 19:08:00,1
2019-07-30 06:21:00,1
2019-07-30 11:44:00,1
2019-08-01 02:01:00,1
2019-08-01 20:14:00,1
2019-08-02 05:47:00,1
2019-08-03 05:34:00,1
2019-08-03 08:20:00,1
2019-08-05 00:15:00,1
2019-08-07 19:24:00,1
2019-08-09 08:43:00,1
2019-08-09 18:00:00,1
2019-08-12 21:29:00,1
2019-08-13 17:42:00,1
2019-08-13 17:50:00,1
2019-08-13 19:22:00,1
2019-08-15 07:50:00,1
2019-08-15 23:24:00,1
2019-08-16 04:15:00,1
2019-08-16 15:57:00,1
2019-08-18 02:05:00,1
2019-08-19 17:42:00,1
2019-08-21 21:59:00,1
2019-08-22 07:10:00,1
2019-08-22 17:36:00,1
2019-08-22 20:33:00,1
2019-08-22 23:51:00,1
2019-08-23 14:33:00,1
2019-08-25 05:10:00,1
2019-08-27 18:09:00,1
2019-08-29 01:36:00,1
2019-08-29 03:55:00,1
2019-08-29 20:52:00,1
2019-08-30 11:12:00,1
2019-08-30 11:43:00,1
2019-08-30 15:04:00,1
2019-08-31 19:34:00,1
2019-08-31 21:46:00,1
2019-09-01 14:32:00,1
2019-09-02 12:59:00,1
2019-09-03 20:23:00,1
2019-09-04 12:32:00,1
2019-09-04 20:30:00,1
2019-09-04 23:49:00,1
2019-09-06 10:18:00,1
2019-09-07 12:30:00,1
2019-09-08 09:36:00,1
2019-09-08 12:29:00,1
2019-09-08 18:14:00,1
2019-09-09 18:27:00,1
2019-09-11 19:46:00,1
2019-09-11 23:13:00,1
2019-09-12 18:37:00,1
2019-09-12 21:50:00,2
2019-09-12 21:52:00,1
2019-09-13 00:06:00,1
2019-09-15 06:36:00,1
2019-09-17 14:07:00,1
2019-09-17 18:09:00,1
2019-09-18 12:33:00,1
2019-09-19 00:36:00,1
2019-09-19 03:29:00,1
2019-09-19 18:26:00,1
2019-09-19 19:20:00,1
2019-09-20 07:06:00,1
2019-09-20 10:32:00,1
2019-09-20 11:34:00,1
2019-09-20 19:33:00,1
2019-09-21 00:30:00,1
2019-09-21 04:36:00,1
2019-09-21 13:45:00,1
2019-09-21 22:54:00,1
2019-09-22 07:32:00,1
2019-09-22 16:55:00,1
2019-09-23 01:51:00,1
2019-09-24 00:55:00,1
2019-09-24 16:44:00,1
2019-09-25 07:49:00,1
2019-09-25 18:59:00,1
2019-09-27 22:08:00,1
2019-09-28 08:14:00,1
2019-09-28 20:48:00,1
2019-09-29 19:23:00,1
2019-09-29 22:40:00,1
2019-10-03 17:39:00,1
2019-10-03 23:21:00,1
2019-10-04 14:24:00,1
2019-10-08 19:53:00,1
2019-10-08 20:36:00,1
2019-10-09 06:45:00,1
2019-10-09 17:45:00,1
2019-10-10 04:07:00,1
2019-10-10 08:01:00,1
2019-10-10 12:41:00,1
2019-10-10 14:56:00,1
2019-10-11 05:09:00,1
2019-10-12 17:33:00,1
2019-10-13 22:57:00,1
2019-10-14 05:44:00,1
2019-10-14 07:15:00,1
2019-10-14 21:18:00,1
2019-10-15 00:12:00,1
2019-10-15 18:17:00,1
2019-10-15 21:20:00,1
2019-10-16 05:24:00,1
2019-10-17 05:00:00,1
2019-10-17 05:16:00,1
2019-10-17 05:53:00,1
2019-10-17 08:15:00,1
2019-10-17 20:21:00,1
2019-10-18 06:51:00,1
2019-10-21 02:40:00,1
2019-10-22 08:10:00,1
2019-10-22 15:26:00,1
2019-10-22 16:36:00,1
2019-10-22 22:10:00,1
2019-10-23 17:07:00,1
2019-10-23 21:44:00,1
2019-10-24 00:14:00,1
2019-10-24 15:37:00,1
2019-10-25 09:48:00,1
2019-10-25 18:53:00,1
2019-10-28 06:17:00,1
2019-10-29 16:25:00,1
2019-11-01 10:10:00,1
2019-11-01 13:11:00,1
2019-11-02 08:10:00,1
2019-11-02 11:35:00,1
2019-11-02 21:28:00,1
2019-11-03 11:42:00,1
2019-11-04 16:52:00,1
2019-11-05 06:42:00,1
2019-11-08 20:00:00,1
2019-11-09 04:56:00,1
2019-11-09 10:55:00,1
2019-11-10 11:29:00,1
2019-11-12 15:06:00,1
2019-11-13 17:45:00,1
2019-11-13 22:29:00,1
2019-11-14 01:49:00,1
2019-11-14 20:01:00,1
2019-11-14 20:14:00,1
2019-11-15 00:29:00,1
2019-11-15 01:56:00,1
2019-11-15 03:49:00,1
2019-11-15 05:00:00,1
2019-11-16 07:40:00,1
2019-11-16 07:56:00,1
2019-11-17 03:59:00,1
2019-11-19 00:35:00,1
2019-11-19 10:12:00,1
2019-11-20 01:28:00,1
2019-11-22 16:40:00,1
2019-11-23 17:44:00,1
2019-11-24 21:35:00,1
2019-11-25 05:24:00,1
2019-11-26 02:59:00,1
2019-11-26 20:32:00,1
2019-11-27 10:49:00,1
2019-11-29 03:54:00,1
2019-11-30 03:43:00,1
2019-11-30 22:15:00,1
2019-11-30 22:40:00,1
2019-12-01 11:56:00,1
2019-12-01 21:07:00,1
2019-12-02 14:13:00,1
2019-12-03 03:45:00,1
2019-12-03 05:06:00,1
2019-12-04 06:43:00,1
2019-12-04 11:25:00,1
2019-12-05 16:12:00,1
2019-12-05 19:04:00,1
2019-12-05 21:20:00,1
2019-12-06 10:34:00,1
2019-12-06 20:17:00,1
2019-12-07 08:26:00,1
2019-12-07 08:35:00,1
2019-12-07 17:48:00,1
2019-12-07 21:39:00,1
2019-12-08 02:59:00,1
2019-12-08 11:47:00,1
2019-12-08 20:53:00,1
2019-12-09 05:46:00,1
2019-12-09 07:30:00,1
2019-12-09 15:01:00,1
2019-12-09 22:27:00,1
2019-12-10 03:25:00,1
2019-12-11 08:25:00,1
2019-12-11 11:57:00,1
2019-12-12 02:38:00,1
2019-12-12 06:05:00,1
2019-12-12 15:15:00,1
2019-12-13 12:38:00,1
2019-12-13 14:06:00,1
2019-12-14 10:27:00,1
2019-12-15 00:42:00,1
2019-12-15 04:51:00,1
2019-12-15 05:04:00,1
2019-12-15 09:18:00,1
2019-12-16 23:02:00,1
2019-12-17 00:22:00,1
2019-12-19 17:48:00,1
2019-12-20 09:12:00,1
2019-12-20 10:48:00,1
2019-12-20 10:53:00,1
2019-12-20 17:26:00,1
2019-12-22 07:14:00,2
2019-12-22 15:30:00,1
2019-12-24 02:48:00,1
2019-12-25 06:00:00,1
2019-12-26 03:17:00,1
2019-12-26 03:41:00,1
2019-12-26 15:25:00,1
2019-12-27 00:17:00,1
2019-12-27 07:38:00,1
2019-12-27 17:24:00,1
2019-12-29 00:04:00,1
2019-12-29 19:56:00,1
2019-12-30 09:37:00,1
