2503,update Parameters with (tablockx) set progress = # where hash = # and progress = #
2019-02-01 19:00:00,7
2019-02-01 19:01:00,5
2019-02-01 19:02:00,4
2019-02-01 19:03:00,10
2019-02-01 19:04:00,8
2019-02-01 19:05:00,7
2019-02-01 19:06:00,3
2019-02-08 00:00:00,1
2019-02-08 00:04:00,1
2019-02-08 00:05:00,1
2019-02-08 00:09:00,1
2019-02-08 00:10:00,2
2019-02-08 00:11:00,1
2019-02-08 00:12:00,3
2019-02-08 00:13:00,2
2019-02-08 00:14:00,1
2019-02-08 00:15:00,1
2019-02-08 00:16:00,1
2019-02-08 00:23:00,1
2019-02-08 00:24:00,2
2019-02-08 00:25:00,3
2019-02-08 00:26:00,4
2019-02-08 00:34:00,11
2019-02-08 00:39:00,1
2019-02-08 00:40:00,2
2019-02-08 00:43:00,1
2019-02-08 00:44:00,1
2019-02-08 00:45:00,1
2019-02-08 07:58:00,56
2019-02-08 07:59:00,17
2019-02-08 08:02:00,1
2019-02-08 08:03:00,1
2019-02-08 08:05:00,1
2019-02-08 08:06:00,1
2019-02-08 08:09:00,1
2019-02-08 08:11:00,1
2019-02-08 08:18:00,1
2019-02-08 08:26:00,2
2019-02-08 08:35:00,3
2019-02-08 08:36:00,1
2019-02-08 08:39:00,1
2019-02-08 08:40:00,1
2019-02-08 08:42:00,1
2019-02-08 08:43:00,1
2019-02-08 08:44:00,1
2019-02-08 08:46:00,1
2019-02-08 08:52:00,1
2019-02-08 08:53:00,2
2019-02-08 08:54:00,1
2019-02-08 08:55:00,3
2019-02-08 08:56:00,1
2019-02-08 08:57:00,2
2019-02-08 08:58:00,2
2019-02-08 08:59:00,3
2019-02-08 09:00:00,1
2019-02-08 09:01:00,1
2019-02-08 09:03:00,2
2019-02-08 09:04:00,1
2019-02-08 09:06:00,1
2019-02-08 09:07:00,2
2019-02-08 09:09:00,3
2019-02-08 09:10:00,1
2019-02-08 09:13:00,1
2019-02-08 09:14:00,1
2019-02-08 09:17:00,1
2019-02-08 09:18:00,1
2019-02-08 09:19:00,2
2019-02-08 09:20:00,1
2019-02-08 09:21:00,2
2019-02-08 09:22:00,1
2019-02-08 09:23:00,2
2019-02-08 09:24:00,2
2019-02-08 09:25:00,1
2019-02-08 09:29:00,1
2019-02-08 09:33:00,1
2019-02-08 09:34:00,1
2019-02-08 09:35:00,3
2019-02-08 09:37:00,2
2019-02-08 09:38:00,1
2019-02-08 09:41:00,1
2019-02-08 09:42:00,1
2019-02-08 09:43:00,1
2019-02-08 09:44:00,1
2019-02-08 09:45:00,1
2019-02-08 09:48:00,1
2019-02-08 09:49:00,2
2019-02-08 09:51:00,2
2019-02-08 09:52:00,2
2019-02-08 09:53:00,1
2019-02-08 09:54:00,2
2019-02-08 09:55:00,2
2019-02-08 09:56:00,2
2019-02-08 09:57:00,3
2019-02-08 09:58:00,2
2019-02-08 09:59:00,1
2019-02-08 10:00:00,3
2019-02-08 10:01:00,1
2019-02-08 10:02:00,2
2019-02-08 10:04:00,1
2019-02-08 10:05:00,1
2019-02-08 10:09:00,1
2019-02-08 10:11:00,1
2019-02-08 10:14:00,2
2019-02-08 10:15:00,2
2019-02-08 10:16:00,1
2019-02-08 10:19:00,2
2019-02-08 10:20:00,1
2019-02-08 10:21:00,1
2019-02-08 10:24:00,1
2019-02-08 10:25:00,1
2019-02-08 10:26:00,2
2019-02-08 10:27:00,1
2019-02-08 10:28:00,2
2019-02-08 10:29:00,3
2019-02-08 10:30:00,1
2019-02-08 10:31:00,2
2019-02-08 10:32:00,1
2019-02-08 10:33:00,1
2019-02-08 10:36:00,1
2019-02-08 10:37:00,1
2019-02-08 10:40:00,1
2019-02-08 10:41:00,1
2019-02-08 10:43:00,2
2019-02-08 10:44:00,2
2019-02-08 10:45:00,1
2019-02-08 10:48:00,1
2019-02-08 10:49:00,1
2019-02-08 10:53:00,1
2019-02-08 10:57:00,1
2019-02-08 11:00:00,1
2019-02-08 11:01:00,2
2019-02-08 11:02:00,1
2019-02-08 11:03:00,2
2019-02-08 11:04:00,2
2019-02-08 11:05:00,1
2019-02-08 11:06:00,3
2019-02-08 11:07:00,2
2019-02-08 11:08:00,1
2019-02-08 11:09:00,1
2019-02-08 11:13:00,2
2019-02-08 11:14:00,1
2019-02-08 11:15:00,2
2019-02-08 11:16:00,1
2019-02-08 11:18:00,2
2019-02-08 11:19:00,1
2019-02-08 11:20:00,2
2019-02-08 11:23:00,1
2019-02-08 11:24:00,2
2019-02-08 11:25:00,2
2019-02-08 11:26:00,1
2019-02-08 11:27:00,2
2019-02-08 11:28:00,2
2019-02-08 11:32:00,2
2019-02-08 11:35:00,2
2019-02-08 11:36:00,2
2019-02-08 11:37:00,3
2019-02-08 11:38:00,1
2019-02-08 11:42:00,1
2019-02-08 11:43:00,2
2019-02-08 11:45:00,1
2019-02-08 11:46:00,1
2019-02-08 11:47:00,1
2019-02-08 11:48:00,1
2019-02-08 11:50:00,2
2019-02-08 11:53:00,1
2019-02-08 11:54:00,2
2019-02-08 11:55:00,2
2019-02-08 11:57:00,1
2019-02-08 12:00:00,1
2019-02-08 12:01:00,1
2019-02-08 12:02:00,1
2019-02-08 12:04:00,3
2019-02-08 12:05:00,2
2019-02-08 12:06:00,1
2019-02-08 12:07:00,1
2019-02-08 12:10:00,1
2019-02-08 12:11:00,2
2019-02-08 12:13:00,2
2019-02-08 12:14:00,2
2019-02-08 12:15:00,1
2019-02-08 12:16:00,1
2019-02-08 12:17:00,2
2019-02-08 12:18:00,2
2019-02-08 12:19:00,1
2019-02-08 12:20:00,1
2019-02-08 12:21:00,2
2019-02-08 12:22:00,2
2019-02-08 12:23:00,1
2019-02-08 12:26:00,2
2019-02-08 12:27:00,1
2019-02-08 12:31:00,1
2019-02-08 12:34:00,1
2019-02-08 12:35:00,1
2019-02-08 12:36:00,2
2019-02-08 12:37:00,1
2019-02-08 12:38:00,2
2019-02-08 12:39:00,2
2019-02-08 12:40:00,1
2019-02-08 12:43:00,1
2019-02-08 12:45:00,2
2019-02-08 12:46:00,1
2019-02-08 12:49:00,1
2019-02-08 12:51:00,2
2019-02-08 12:53:00,1
2019-02-08 12:54:00,3
2019-02-08 12:55:00,1
2019-02-08 12:57:00,2
2019-02-08 12:58:00,1
2019-02-08 12:59:00,1
2019-02-08 13:02:00,2
2019-02-08 13:05:00,1
2019-02-08 13:06:00,1
2019-02-08 13:09:00,1
2019-02-08 13:10:00,1
2019-02-08 13:11:00,1
2019-02-08 13:15:00,1
2019-02-08 13:16:00,1
2019-02-08 13:18:00,2
2019-02-08 13:20:00,1
2019-02-08 13:21:00,1
2019-02-08 13:22:00,2
2019-02-08 13:23:00,1
2019-02-08 13:24:00,1
2019-02-08 13:27:00,1
2019-02-08 13:28:00,2
2019-02-08 13:31:00,1
2019-02-08 13:32:00,3
2019-02-08 13:33:00,1
2019-02-08 13:34:00,3
2019-02-08 13:37:00,1
2019-02-08 13:39:00,1
2019-02-08 13:40:00,2
2019-02-08 13:45:00,1
2019-02-08 13:47:00,2
2019-02-08 13:48:00,2
2019-02-08 13:50:00,2
2019-02-08 13:51:00,2
2019-02-08 13:53:00,2
2019-02-08 13:57:00,1
2019-02-08 13:58:00,2
2019-02-08 13:59:00,1
2019-02-08 14:00:00,2
2019-02-08 14:01:00,1
2019-02-08 14:04:00,1
2019-02-08 14:05:00,2
2019-02-08 14:06:00,1
2019-02-08 14:09:00,1
2019-02-08 14:12:00,1
2019-02-08 14:16:00,2
2019-02-08 14:17:00,2
2019-02-08 14:18:00,2
2019-02-08 14:21:00,1
2019-02-08 14:24:00,1
2019-02-08 14:25:00,2
2019-02-08 14:26:00,1
2019-02-08 14:27:00,2
2019-02-08 14:28:00,1
2019-02-08 14:30:00,2
2019-02-08 14:33:00,1
2019-02-08 14:34:00,1
2019-02-08 14:35:00,1
2019-02-08 14:36:00,1
2019-02-08 14:40:00,2
2019-02-08 14:41:00,1
2019-02-08 14:44:00,2
2019-02-08 14:46:00,1
2019-02-08 14:47:00,3
2019-02-08 14:48:00,1
2019-02-08 14:50:00,1
2019-02-08 14:53:00,1
2019-02-08 14:54:00,1
2019-02-08 14:55:00,1
2019-02-08 14:56:00,1
2019-02-08 14:59:00,1
2019-02-08 15:00:00,2
2019-02-08 15:01:00,2
2019-02-08 15:03:00,2
2019-02-08 15:04:00,1
2019-02-08 15:07:00,1
2019-02-08 15:10:00,2
2019-02-08 15:11:00,2
2019-02-08 15:15:00,1
2019-02-08 15:16:00,2
2019-02-08 15:17:00,1
2019-02-08 15:19:00,2
2019-02-08 15:20:00,1
2019-02-08 15:21:00,3
2019-02-08 15:22:00,3
2019-02-08 15:24:00,1
2019-02-08 15:25:00,2
2019-02-08 15:27:00,2
2019-02-08 15:29:00,2
2019-02-08 15:31:00,1
2019-02-08 15:32:00,1
2019-02-08 15:33:00,1
2019-02-08 15:37:00,2
2019-02-08 15:38:00,3
2019-02-08 15:39:00,1
2019-02-08 15:40:00,1
2019-02-08 15:43:00,2
2019-02-08 15:44:00,2
2019-02-08 15:45:00,1
2019-02-08 15:46:00,1
2019-02-08 15:47:00,1
2019-02-08 15:51:00,1
2019-02-08 15:52:00,1
2019-02-08 15:53:00,2
2019-02-08 15:55:00,1
2019-02-08 15:56:00,1
2019-02-08 15:59:00,1
2019-02-08 16:00:00,2
2019-02-08 16:02:00,3
2019-02-08 16:03:00,1
2019-02-08 16:04:00,2
2019-02-08 16:08:00,2
2019-02-08 16:09:00,1
2019-02-08 16:12:00,1
2019-02-08 16:13:00,1
2019-02-08 16:14:00,3
2019-02-08 16:15:00,2
2019-02-08 16:16:00,3
2019-02-08 16:17:00,2
2019-02-08 16:18:00,1
2019-02-08 16:19:00,2
2019-02-08 16:20:00,1
2019-02-08 16:21:00,2
2019-02-08 16:23:00,1
2019-02-08 16:24:00,1
2019-02-08 16:25:00,2
2019-02-08 16:26:00,3
2019-02-08 16:27:00,1
2019-02-08 16:28:00,2
2019-02-08 16:29:00,2
2019-02-08 16:33:00,2
2019-02-08 16:37:00,2
2019-02-08 16:39:00,2
2019-02-08 16:40:00,3
2019-02-08 16:42:00,2
2019-02-08 16:43:00,1
2019-02-08 16:44:00,3
2019-02-08 16:45:00,1
2019-02-08 16:46:00,1
2019-02-08 16:50:00,1
2019-02-08 16:54:00,2
2019-02-08 16:55:00,3
2019-02-08 16:56:00,1
2019-02-08 17:14:00,1
2019-02-08 17:15:00,1
2019-02-08 17:16:00,1
2019-02-08 17:17:00,1
2019-02-08 17:20:00,1
2019-02-08 17:21:00,1
2019-02-08 17:23:00,1
2019-02-08 17:24:00,1
2019-02-08 17:27:00,1
2019-02-08 17:28:00,3
2019-02-08 17:29:00,1
2019-02-08 17:32:00,1
2019-02-08 17:33:00,1
2019-02-08 17:35:00,2
2019-02-08 17:38:00,1
2019-02-08 17:40:00,2
2019-02-08 17:41:00,1
2019-02-08 17:44:00,2
2019-02-08 17:46:00,3
2019-02-08 17:47:00,2
2019-02-08 17:49:00,1
2019-02-08 17:50:00,2
2019-02-08 17:51:00,1
2019-02-08 17:52:00,2
2019-02-08 17:53:00,1
2019-02-08 17:54:00,1
2019-02-08 17:56:00,1
2019-02-08 17:58:00,1
2019-02-08 18:00:00,1
2019-02-08 18:01:00,2
2019-02-08 18:02:00,1
2019-02-08 18:03:00,2
2019-02-08 18:04:00,1
2019-02-08 18:07:00,1
2019-02-08 18:11:00,1
2019-02-08 18:12:00,1
2019-02-08 18:14:00,1
2019-02-08 18:16:00,3
2019-02-08 18:17:00,2
2019-02-08 18:18:00,3
2019-02-08 18:19:00,2
2019-02-08 18:20:00,2
2019-02-08 18:21:00,1
2019-02-08 18:22:00,2
2019-02-08 18:23:00,1
2019-02-08 18:24:00,2
2019-02-08 18:25:00,2
2019-02-08 18:28:00,1
2019-02-08 18:29:00,3
2019-02-08 18:34:00,3
2019-02-08 18:35:00,3
2019-02-08 18:36:00,1
2019-02-08 18:39:00,1
2019-02-08 18:40:00,1
2019-02-08 18:41:00,1
2019-02-08 18:42:00,2
2019-02-08 18:46:00,1
2019-02-08 18:50:00,1
2019-02-08 18:51:00,3
2019-02-08 18:52:00,1
2019-02-08 18:55:00,1
2019-02-08 18:56:00,2
2019-02-08 18:57:00,2
2019-02-08 18:58:00,1
2019-02-08 18:59:00,2
2019-02-08 19:00:00,1
2019-02-08 19:01:00,3
2019-02-08 19:02:00,1
2019-02-08 19:03:00,1
2019-02-08 19:04:00,2
2019-02-08 19:05:00,1
2019-02-08 19:06:00,1
