1340,select * from zooMonochromeBias where objid = #
2019-06-11 15:05:00,1
2019-06-11 17:08:00,1
2019-06-11 20:38:00,1
2019-06-11 22:28:00,1
2019-06-12 05:02:00,1
2019-06-12 09:11:00,2
2019-06-13 07:49:00,1
2019-06-13 12:54:00,1
2019-06-13 13:46:00,1
2019-06-13 16:54:00,1
2019-06-13 17:37:00,1
2019-06-13 18:16:00,1
2019-06-13 18:34:00,1
2019-06-13 20:30:00,1
2019-06-13 20:37:00,1
2019-06-13 20:45:00,1
2019-06-13 22:52:00,1
2019-06-14 07:29:00,2
2019-06-14 14:41:00,1
2019-06-14 19:46:00,1
2019-06-14 23:01:00,1
2019-06-15 03:24:00,1
2019-06-15 03:39:00,1
2019-06-15 18:13:00,1
2019-06-15 23:43:00,1
2019-06-16 00:01:00,1
2019-06-16 05:23:00,1
2019-06-16 07:19:00,1
2019-06-16 13:16:00,1
2019-06-16 14:03:00,1
2019-06-16 19:27:00,1
2019-06-16 19:50:00,1
2019-06-16 20:45:00,1
2019-06-17 02:39:00,1
2019-06-17 06:23:00,1
2019-06-17 09:28:00,1
2019-06-17 11:18:00,1
2019-06-18 03:07:00,1
2019-06-19 17:03:00,1
2019-06-20 03:56:00,1
2019-06-20 13:22:00,1
2019-06-20 13:25:00,1
2019-06-20 13:31:00,1
2019-06-20 13:33:00,1
2019-06-20 13:34:00,1
2019-06-20 13:41:00,1
2019-06-20 13:55:00,1
2019-06-20 14:39:00,1
2019-06-22 08:10:00,1
2019-06-22 14:00:00,1
2019-06-24 18:24:00,1
2019-06-26 08:59:00,1
2019-06-26 10:34:00,1
2019-06-26 14:53:00,1
2019-06-27 10:51:00,1
2019-06-27 15:41:00,1
2019-06-27 18:24:00,1
2019-06-28 10:57:00,1
2019-06-28 11:38:00,1
2019-06-28 12:39:00,1
2019-06-28 18:13:00,1
2019-06-29 08:55:00,1
2019-06-29 09:03:00,1
2019-06-29 10:33:00,1
2019-06-29 14:47:00,1
2019-06-30 02:15:00,1
2019-06-30 15:42:00,1
2019-07-01 10:54:00,2
2019-07-01 11:36:00,1
2019-07-02 08:50:00,1
2019-07-02 10:26:00,1
2019-07-02 12:35:00,1
2019-07-02 12:57:00,1
2019-07-02 14:40:00,1
2019-07-02 18:09:00,1
2019-07-02 18:29:00,1
2019-07-02 19:26:00,2
2019-07-02 20:20:00,1
2019-07-03 14:04:00,1
2019-07-03 16:37:00,1
2019-07-04 13:54:00,1
2019-07-04 15:22:00,1
2019-07-04 17:45:00,1
2019-07-04 19:01:00,1
2019-07-05 00:44:00,1
2019-07-05 00:46:00,2
2019-07-05 00:48:00,1
2019-07-05 00:51:00,1
2019-07-05 00:53:00,1
2019-07-05 00:54:00,1
2019-07-05 00:59:00,1
2019-07-05 01:08:00,1
2019-07-05 01:12:00,1
2019-07-05 01:35:00,1
2019-07-05 02:34:00,1
2019-07-05 02:51:00,1
2019-07-05 03:40:00,1
2019-07-05 04:06:00,1
2019-07-05 05:58:00,1
2019-07-05 10:54:00,1
2019-07-05 19:51:00,1
2019-07-06 03:51:00,1
2019-07-06 06:21:00,1
2019-07-06 10:38:00,1
2019-07-06 10:41:00,1
2019-07-07 06:07:00,1
2019-07-08 04:27:00,1
2019-07-08 06:12:00,1
2019-07-08 16:48:00,2
2019-07-09 04:14:00,2
2019-07-09 04:15:00,2
2019-07-09 12:59:00,1
2019-07-09 16:44:00,7
2019-07-10 04:41:00,1
2019-07-10 05:02:00,1
2019-07-10 06:07:00,1
2019-07-10 06:49:00,1
2019-07-10 07:22:00,1
2019-07-10 11:38:00,1
2019-07-10 14:43:00,1
2019-07-10 18:12:00,1
2019-07-10 19:56:00,1
2019-07-10 23:05:00,1
2019-07-10 23:48:00,1
2019-07-10 23:49:00,1
2019-07-11 01:45:00,1
2019-07-11 08:49:00,1
2019-07-11 12:13:00,1
2019-07-11 13:18:00,1
2019-07-11 16:31:00,1
2019-07-11 20:02:00,1
2019-07-11 20:50:00,1
2019-07-11 22:16:00,1
2019-07-13 05:09:00,7
2019-07-13 05:10:00,37
2019-07-13 05:11:00,37
2019-07-13 05:12:00,23
2019-07-13 07:16:00,1
2019-07-13 11:06:00,1
2019-07-13 13:33:00,3
2019-07-14 08:00:00,1
2019-07-15 15:31:00,1
2019-07-16 14:15:00,1
2019-07-16 14:52:00,1
2019-07-16 18:05:00,1
2019-07-16 18:56:00,1
2019-07-17 03:34:00,1
2019-07-17 06:38:00,1
2019-07-17 06:44:00,1
2019-07-17 08:27:00,1
2019-07-17 10:44:00,1
2019-07-18 10:51:00,1
2019-07-18 12:08:00,1
2019-07-19 10:19:00,1
2019-07-19 10:22:00,1
2019-07-19 10:24:00,1
2019-07-19 10:44:00,1
2019-07-19 12:58:00,1
2019-07-19 13:00:00,1
2019-07-19 13:03:00,1
2019-07-19 13:21:00,1
2019-07-19 13:33:00,1
2019-07-19 13:41:00,1
2019-07-19 14:06:00,1
2019-07-19 15:45:00,1
2019-07-19 16:12:00,1
2019-07-19 17:25:00,1
2019-07-19 18:03:00,1
2019-07-19 18:39:00,1
2019-07-19 21:39:00,1
2019-07-19 22:00:00,1
2019-07-20 02:51:00,1
2019-07-20 18:18:00,1
2019-07-20 21:10:00,1
2019-07-21 21:23:00,1
2019-07-22 03:43:00,1
2019-07-22 04:31:00,1
2019-07-23 08:37:00,1
2019-07-23 16:59:00,1
2019-07-24 02:13:00,2
2019-07-24 02:14:00,1
2019-07-24 08:57:00,1
2019-07-25 09:54:00,1
2019-07-29 01:09:00,1
2019-07-29 02:22:00,1
2019-07-29 07:07:00,1
2019-07-30 04:02:00,1
2019-07-30 14:01:00,1
2019-08-03 18:49:00,1
2019-08-03 19:21:00,1
2019-08-03 20:26:00,1
2019-08-04 09:23:00,1
2019-08-04 10:33:00,1
2019-08-04 20:36:00,1
2019-08-04 21:54:00,1
2019-08-05 13:54:00,1
2019-08-07 19:55:00,1
2019-08-08 13:51:00,1
2019-08-09 08:37:00,1
2019-08-09 08:54:00,1
2019-08-09 18:40:00,1
2019-08-10 12:12:00,1
2019-08-10 12:18:00,1
2019-08-10 12:59:00,1
2019-08-10 13:01:00,1
2019-08-10 13:11:00,1
2019-08-10 13:16:00,1
2019-08-10 13:18:00,1
2019-08-10 13:30:00,1
2019-08-10 13:35:00,1
2019-08-10 13:49:00,1
2019-08-10 14:05:00,1
2019-08-10 15:07:00,1
2019-08-10 17:37:00,1
2019-08-10 18:13:00,1
2019-08-10 19:48:00,1
2019-08-10 20:36:00,1
2019-08-11 13:02:00,1
2019-08-13 12:43:00,1
2019-08-13 17:28:00,1
2019-08-14 08:16:00,1
2019-08-14 11:19:00,1
2019-08-14 14:23:00,1
2019-08-14 19:18:00,1
2019-08-14 19:26:00,1
2019-08-14 19:44:00,1
2019-08-14 20:41:00,1
2019-08-18 17:13:00,1
2019-08-18 20:31:00,1
2019-08-19 04:50:00,2
2019-08-19 05:10:00,1
2019-08-19 17:15:00,1
2019-08-20 10:33:00,1
2019-08-20 19:18:00,1
2019-08-21 08:50:00,1
2019-08-21 17:11:00,1
2019-08-21 18:55:00,1
2019-08-21 20:27:00,1
2019-08-22 03:13:00,3
2019-08-29 15:55:00,15
2019-08-29 18:06:00,1
2019-08-29 21:28:00,1
2019-08-29 22:48:00,1
2019-09-01 08:19:00,1
2019-09-06 22:58:00,1
2019-09-09 14:16:00,1
2019-09-13 17:31:00,1
2019-09-17 16:36:00,1
2019-09-19 21:14:00,1
2019-09-21 19:44:00,1
2019-09-21 22:20:00,1
2019-09-21 22:52:00,1
2019-09-23 23:09:00,1
2019-09-24 17:10:00,1
2019-09-25 09:44:00,1
2019-09-25 12:38:00,1
2019-09-25 16:35:00,1
2019-09-25 21:19:00,1
2019-09-26 14:55:00,2
2019-09-26 15:54:00,1
2019-09-27 03:24:00,2
2019-09-27 07:20:00,1
2019-09-27 07:33:00,2
2019-09-27 08:32:00,1
2019-09-27 13:15:00,9
2019-09-28 02:06:00,1
2019-09-28 07:20:00,1
2019-09-28 16:37:00,1
2019-09-28 21:15:00,1
2019-09-29 02:25:00,1
2019-09-29 07:23:00,1
2019-09-29 15:30:00,1
2019-09-29 17:24:00,1
2019-09-30 07:24:00,1
2019-09-30 18:34:00,1
2019-10-01 05:06:00,13
2019-10-01 05:07:00,39
2019-10-01 05:08:00,37
2019-10-01 05:09:00,18
2019-10-01 15:20:00,3
2019-10-01 19:44:00,1
2019-10-02 06:46:00,1
2019-10-03 17:43:00,1
2019-10-04 21:52:00,1
2019-10-10 02:45:00,1
2019-10-11 07:11:00,1
2019-10-12 10:19:00,1
2019-10-12 12:19:00,8
2019-10-12 12:20:00,10
2019-10-12 12:21:00,5
2019-10-12 14:02:00,1
2019-10-12 16:09:00,6
2019-10-13 23:58:00,1
2019-10-17 02:53:00,1
2019-10-19 14:12:00,1
2019-10-20 04:30:00,1
2019-10-21 06:17:00,1
2019-10-24 23:14:00,1
2019-10-27 00:51:00,1
2019-10-27 08:34:00,2
2019-10-27 08:59:00,1
2019-10-27 10:43:00,1
2019-10-27 10:57:00,1
2019-10-28 07:15:00,1
2019-10-28 07:24:00,1
2019-10-28 11:34:00,1
2019-10-28 11:40:00,1
2019-10-28 12:31:00,1
2019-10-28 12:37:00,1
2019-10-28 17:58:00,1
2019-10-28 18:40:00,1
2019-10-28 21:07:00,1
2019-10-28 21:47:00,1
2019-10-29 09:06:00,1
2019-10-30 13:01:00,26
2019-10-30 19:21:00,2
2019-10-30 23:09:00,1
2019-11-01 16:05:00,1
2019-11-01 16:30:00,1
2019-11-02 04:16:00,1
2019-11-03 22:57:00,1
2019-11-05 20:25:00,1
2019-11-07 07:29:00,2
2019-11-07 22:52:00,1
2019-11-10 08:24:00,1
2019-11-10 08:25:00,1
2019-11-11 18:28:00,1
2019-11-12 22:03:00,1
2019-11-18 20:51:00,1
2019-11-19 08:04:00,2
2019-11-19 08:13:00,1
2019-11-24 00:20:00,1
2019-11-24 08:24:00,2
2019-11-25 08:15:00,1
2019-11-25 08:16:00,1
2019-11-26 12:27:00,1
2019-11-27 22:02:00,1
2019-11-28 00:53:00,1
2019-11-28 01:19:00,1
2019-11-28 01:45:00,1
2019-11-28 02:02:00,1
2019-11-28 02:22:00,1
2019-11-28 02:25:00,1
2019-11-28 02:26:00,1
2019-11-28 02:33:00,1
2019-11-28 02:39:00,1
2019-11-28 06:04:00,1
2019-11-28 06:14:00,1
2019-11-28 06:45:00,1
2019-11-28 07:43:00,1
2019-11-28 08:52:00,1
2019-11-28 09:20:00,1
2019-11-28 09:37:00,1
2019-11-28 09:54:00,1
2019-11-28 10:01:00,1
2019-11-28 10:09:00,1
2019-11-28 10:46:00,1
2019-11-28 12:10:00,1
2019-11-28 12:22:00,1
2019-11-28 12:44:00,1
2019-11-28 13:05:00,1
2019-11-28 13:15:00,1
2019-11-28 13:26:00,1
2019-11-28 14:29:00,1
2019-11-28 16:45:00,1
2019-11-28 20:30:00,1
2019-11-28 20:49:00,1
2019-11-28 22:47:00,1
2019-11-28 23:12:00,1
2019-11-29 00:01:00,1
2019-11-30 13:41:00,1
2019-12-03 05:45:00,1
2019-12-03 12:32:00,1
2019-12-03 20:00:00,1
2019-12-04 03:53:00,1
2019-12-04 10:30:00,1
2019-12-04 11:49:00,1
2019-12-04 13:05:00,1
2019-12-05 16:40:00,1
2019-12-06 12:15:00,1
2019-12-06 14:32:00,1
2019-12-06 21:35:00,1
2019-12-07 03:32:00,1
2019-12-07 05:07:00,1
2019-12-08 15:52:00,1
2019-12-08 17:37:00,1
2019-12-08 18:38:00,1
2019-12-08 19:26:00,1
2019-12-08 19:40:00,1
2019-12-09 03:44:00,1
2019-12-09 06:19:00,1
2019-12-09 11:06:00,1
2019-12-10 01:52:00,1
2019-12-11 02:23:00,1
2019-12-11 08:24:00,1
2019-12-13 17:50:00,1
2019-12-15 00:35:00,1
2019-12-15 04:27:00,1
2019-12-15 13:30:00,1
2019-12-15 15:05:00,1
2019-12-15 20:52:00,3
2019-12-16 06:04:00,4
2019-12-16 11:26:00,4
2019-12-16 11:27:00,3
2019-12-20 10:19:00,3
2019-12-20 10:20:00,2
2019-12-20 10:21:00,1
2019-12-20 10:22:00,3
2019-12-20 10:23:00,2
2019-12-20 10:24:00,2
2019-12-20 10:25:00,3
2019-12-20 10:26:00,2
2019-12-20 10:27:00,3
2019-12-20 10:28:00,2
2019-12-20 10:29:00,3
2019-12-20 10:30:00,2
2019-12-20 10:31:00,2
2019-12-20 10:32:00,3
2019-12-20 10:33:00,2
2019-12-20 10:34:00,2
2019-12-20 10:35:00,4
2019-12-20 10:36:00,2
2019-12-20 10:37:00,2
2019-12-20 10:38:00,2
2019-12-20 10:39:00,3
2019-12-20 10:40:00,2
2019-12-20 10:41:00,3
2019-12-20 10:42:00,3
2019-12-20 10:43:00,2
2019-12-20 10:44:00,3
2019-12-20 10:45:00,2
2019-12-20 10:46:00,1
2019-12-20 10:47:00,3
2019-12-20 10:48:00,2
2019-12-20 10:49:00,1
2019-12-20 10:50:00,3
2019-12-20 10:51:00,3
2019-12-20 10:52:00,2
2019-12-20 10:53:00,1
2019-12-22 02:16:00,2
2019-12-22 02:17:00,2
2019-12-30 08:30:00,1
2019-12-31 17:53:00,2
2019-12-31 20:32:00,3
