366,"SELECT TOP # RA, DEC, VAR_A, VAR_GAMMA, VAR_CHI2 FROM qsoVarPTF WHERE qsoVarPTF.VAR_CHI2> # AND qsoVarPTF.VAR_A> #"
2019-11-05 06:43:00,1
2019-11-05 07:57:00,1
2019-11-06 19:25:00,1
2019-11-08 20:00:00,1
2019-11-09 10:55:00,1
2019-11-10 11:30:00,1
2019-11-15 00:31:00,1
2019-11-15 05:01:00,1
2019-11-16 07:41:00,1
2019-11-16 07:57:00,1
2019-11-17 09:31:00,1
2019-11-17 13:44:00,1
2019-11-17 15:38:00,1
2019-11-19 00:37:00,1
2019-11-19 01:08:00,1
2019-11-22 16:41:00,1
2019-11-23 18:20:00,1
2019-11-24 21:06:00,1
2019-11-24 21:36:00,1
2019-11-25 10:34:00,1
2019-11-27 10:50:00,1
2019-11-29 03:55:00,1
2019-11-29 17:37:00,1
2019-11-30 03:44:00,1
2019-12-01 11:56:00,1
2019-12-01 21:08:00,1
2019-12-03 08:24:00,1
2019-12-03 13:28:00,1
2019-12-04 11:30:00,1
2019-12-05 16:13:00,1
2019-12-05 19:03:00,1
2019-12-05 21:20:00,1
2019-12-07 21:40:00,1
2019-12-09 07:30:00,1
2019-12-09 22:28:00,1
2019-12-11 08:38:00,1
2019-12-11 11:33:00,1
2019-12-12 02:39:00,1
2019-12-12 06:10:00,1
2019-12-12 15:15:00,1
2019-12-13 12:40:00,1
2019-12-13 14:06:00,1
2019-12-14 13:31:00,1
2019-12-14 13:36:00,1
2019-12-14 16:56:00,1
2019-12-15 16:34:00,1
2019-12-16 23:05:00,1
2019-12-17 00:23:00,1
2019-12-20 03:55:00,1
2019-12-20 09:12:00,1
2019-12-20 17:26:00,1
2019-12-22 07:16:00,2
2019-12-22 15:30:00,1
2019-12-24 00:24:00,1
2019-12-24 12:22:00,1
2019-12-25 06:01:00,1
2019-12-26 03:17:00,1
2019-12-26 15:25:00,1
2019-12-27 00:18:00,1
2019-12-27 07:40:00,1
2019-12-29 00:05:00,1
2019-12-30 09:36:00,1
2019-12-30 22:45:00,1
