855,"select P.ra, P.dec, P.objID, P.u, P.err_u, P.g, P.err_g, P.r, P.err_r, P.i, P.err_i, P.z, P.err_z from PhotoPrimary as P, dbo.fGetNearbyObjEq (#, #, #) as N where P.objID = N.objID and P.type = # and P.r > = # and P.r < = #"
2019-04-25 09:42:00,8
2019-04-25 09:43:00,5
2019-04-25 14:15:00,1
2019-04-25 16:23:00,1
2019-04-25 17:25:00,1
2019-04-25 18:05:00,2
2019-04-26 00:11:00,1
2019-04-26 06:05:00,1
2019-04-26 06:16:00,1
2019-04-26 06:41:00,1
2019-04-26 11:30:00,1
2019-04-26 16:01:00,35
2019-04-26 16:05:00,1
2019-04-26 16:11:00,25
2019-04-26 16:51:00,37
2019-04-26 23:25:00,1
2019-04-27 09:20:00,1
2019-04-27 09:25:00,1
2019-04-27 09:35:00,1
2019-04-27 09:45:00,2
2019-04-27 09:55:00,1
2019-04-27 10:00:00,1
2019-04-27 14:55:00,1
2019-04-27 19:25:00,1
2019-04-27 20:00:00,1
2019-04-27 21:00:00,1
2019-04-28 02:00:00,1
2019-04-28 03:00:00,1
2019-04-28 14:05:00,1
2019-04-28 23:00:00,1
2019-04-29 20:00:00,1
2019-04-30 01:05:00,1
2019-04-30 19:05:00,1
2019-05-01 14:05:00,1
2019-05-01 16:55:00,1
2019-05-01 17:05:00,1
2019-05-02 14:50:00,1
2019-05-02 15:05:00,1
2019-05-02 15:20:00,1
2019-05-02 16:50:00,1
2019-05-03 12:35:00,1
2019-05-05 01:00:00,1
2019-05-06 04:05:00,1
2019-05-06 17:40:00,1
2019-05-09 21:35:00,1
2019-05-10 13:05:00,4
2019-05-11 05:50:00,1
2019-05-11 08:35:00,1
2019-05-12 13:30:00,1
2019-05-13 12:20:00,1
2019-05-13 13:10:00,1
2019-05-13 15:05:00,1
2019-05-14 00:30:00,1
2019-05-14 12:45:00,1
2019-05-14 17:30:00,1
2019-05-15 12:20:00,1
2019-05-15 15:55:00,1
2019-05-17 12:45:00,1
2019-05-18 15:30:00,1
2019-05-18 17:00:00,1
2019-05-19 10:15:00,1
2019-05-24 16:50:00,1
2019-05-24 20:30:00,1
2019-05-26 17:15:00,1
2019-05-27 17:45:00,1
2019-05-29 13:10:00,1
2019-05-29 13:15:00,1
2019-05-29 13:20:00,1
2019-05-29 13:25:00,1
2019-05-29 13:26:00,1
2019-05-29 13:35:00,1
2019-05-29 13:40:00,1
2019-05-29 13:45:00,1
2019-05-29 13:50:00,1
2019-05-29 13:55:00,1
2019-05-29 14:00:00,1
2019-05-29 14:05:00,1
2019-05-29 18:10:00,1
2019-05-30 13:15:00,1
2019-05-30 13:20:00,1
2019-05-30 17:00:00,1
2019-05-30 22:35:00,1
2019-05-30 22:40:00,1
2019-05-31 16:20:00,1
2019-06-03 12:25:00,1
2019-06-04 01:25:00,1
2019-06-04 16:25:00,1
2019-06-05 09:25:00,1
2019-06-05 15:55:00,1
2019-06-08 12:15:00,1
2019-06-10 11:45:00,1
2019-06-10 13:30:00,1
2019-06-10 16:05:00,1
2019-06-10 17:30:00,1
2019-06-10 18:45:00,1
2019-06-12 17:20:00,1
2019-06-12 17:30:00,1
2019-06-12 18:35:00,1
2019-06-14 16:25:00,1
2019-06-16 08:45:00,1
2019-06-17 17:20:00,1
2019-06-19 00:40:00,1
2019-06-19 16:10:00,1
2019-06-20 14:10:00,1
2019-06-21 20:50:00,1
2019-06-21 20:55:00,1
2019-06-24 23:25:00,1
2019-06-24 23:40:00,1
2019-06-26 00:20:00,1
2019-06-27 18:10:00,1
2019-06-28 17:25:00,1
2019-07-01 13:05:00,1
2019-07-02 12:35:00,1
2019-07-03 13:35:00,1
2019-07-05 14:50:00,1
2019-07-05 15:00:00,1
2019-07-08 01:15:00,1
2019-07-08 01:30:00,1
2019-07-13 08:15:00,1
2019-07-14 22:00:00,1
2019-07-15 18:25:00,1
2019-07-20 08:40:00,1
2019-07-23 17:40:00,1
2019-07-24 05:00:00,1
2019-07-24 13:30:00,1
2019-07-28 08:15:00,1
2019-07-28 08:16:00,5
2019-07-28 08:17:00,11
2019-07-28 08:18:00,12
2019-07-28 08:19:00,12
2019-07-28 08:20:00,8
2019-07-28 08:21:00,2
2019-07-28 15:40:00,1
2019-07-29 13:35:00,1
2019-07-30 10:20:00,1
2019-08-01 21:15:00,1
2019-08-02 18:15:00,1
2019-08-04 21:30:00,1
2019-08-06 05:10:00,1
2019-08-06 14:10:00,1
2019-08-07 13:30:00,1
2019-08-08 07:45:00,2
2019-08-08 08:00:00,2
2019-08-08 14:00:00,1
2019-08-13 01:20:00,1
2019-08-14 22:20:00,30
2019-08-14 23:25:00,29
2019-08-14 23:26:00,1
2019-08-15 06:30:00,38
2019-08-15 11:35:00,1
2019-08-15 11:40:00,1
2019-08-15 11:45:00,1
2019-08-15 13:15:00,40
2019-08-15 13:16:00,20
2019-08-15 17:20:00,1
2019-08-16 08:20:00,1
2019-08-16 08:30:00,1
2019-08-16 08:50:00,1
2019-08-16 12:30:00,1
2019-08-16 13:30:00,2
2019-08-16 13:35:00,4
2019-08-16 21:15:00,2
2019-08-16 21:20:00,1
2019-08-16 21:40:00,1
2019-08-17 12:40:00,1
2019-08-18 05:25:00,1
2019-08-18 15:40:00,1
2019-08-18 23:40:00,1
2019-08-19 13:05:00,1
2019-08-19 13:20:00,1
2019-08-19 13:25:00,1
2019-08-20 18:20:00,1
2019-08-21 01:10:00,1
2019-08-21 13:50:00,1
2019-08-22 01:55:00,3
2019-08-22 01:56:00,9
2019-08-22 01:57:00,11
2019-08-22 01:58:00,10
2019-08-22 01:59:00,15
2019-08-22 14:40:00,1
2019-08-22 17:25:00,1
2019-08-22 18:15:00,1
2019-08-23 14:10:00,1
2019-08-23 14:20:00,1
2019-08-25 14:20:00,1
2019-08-25 17:45:00,1
2019-08-26 00:25:00,1
2019-08-26 18:40:00,1
2019-08-26 22:00:00,1
2019-08-27 18:05:00,2
2019-08-28 16:10:00,1
2019-08-29 04:55:00,1
2019-09-01 02:55:00,1
2019-09-02 01:05:00,1
2019-09-03 12:25:00,1
2019-09-04 17:20:00,1
2019-09-05 16:55:00,1
2019-09-05 18:20:00,1
2019-09-05 23:45:00,1
2019-09-06 07:30:00,1
2019-09-10 19:55:00,1
2019-09-11 01:00:00,1
2019-09-12 14:30:00,1
2019-09-16 12:05:00,1
2019-09-16 14:35:00,1
2019-09-24 07:00:00,1
2019-09-24 18:00:00,2
2019-09-24 18:05:00,1
2019-09-25 07:20:00,1
2019-09-25 13:20:00,1
2019-09-25 20:55:00,1
2019-09-26 05:30:00,1
2019-09-30 06:10:00,1
2019-10-01 16:45:00,1
2019-10-01 16:50:00,1
2019-10-01 18:15:00,1
2019-10-03 20:35:00,1
2019-10-06 08:00:00,1
2019-10-06 17:40:00,1
2019-10-06 17:45:00,1
2019-10-07 01:00:00,1
2019-10-07 01:05:00,1
2019-10-07 19:15:00,1
2019-10-09 00:15:00,1
2019-10-10 01:40:00,1
2019-10-14 21:01:00,1
2019-10-14 21:05:00,1
2019-10-14 21:06:00,1
2019-10-15 17:48:00,1
2019-10-15 18:27:00,4
2019-10-16 17:20:00,1
2019-10-17 17:26:00,1
2019-10-17 18:49:00,1
2019-10-17 18:54:00,1
2019-10-18 18:40:00,1
2019-10-20 21:50:00,1
2019-10-23 02:15:00,1
2019-10-23 05:10:00,1
2019-10-24 12:30:00,1
2019-10-25 18:05:00,1
2019-10-26 01:40:00,1
2019-10-29 01:25:00,1
2019-10-29 03:00:00,1
2019-10-31 13:25:00,1
2019-11-04 03:05:00,1
2019-11-04 14:20:00,1
2019-11-05 20:20:00,1
2019-11-06 08:00:00,1
2019-11-07 22:15:00,1
2019-11-07 22:20:00,1
2019-11-08 00:50:00,1
2019-11-08 20:10:00,1
2019-11-10 18:35:00,6
2019-11-10 18:36:00,10
2019-11-10 18:37:00,12
2019-11-10 18:38:00,1
2019-11-11 17:50:00,1
2019-11-13 01:30:00,1
2019-11-13 08:00:00,1
2019-11-13 20:15:00,1
2019-11-13 22:25:00,1
2019-11-15 02:50:00,1
2019-11-24 04:05:00,1
2019-11-27 20:20:00,1
2019-11-28 17:35:00,1
2019-11-29 16:40:00,1
2019-11-29 18:15:00,1
2019-12-02 17:35:00,1
2019-12-03 23:15:00,1
2019-12-04 18:35:00,1
2019-12-05 21:55:00,1
2019-12-06 07:35:00,1
2019-12-07 20:55:00,1
2019-12-09 02:10:00,1
2019-12-09 13:40:00,1
2019-12-09 20:50:00,1
2019-12-11 14:40:00,1
2019-12-12 20:25:00,1
2019-12-13 02:35:00,1
2019-12-14 17:00:00,1
2019-12-16 22:35:00,6
2019-12-16 22:36:00,9
2019-12-16 22:37:00,7
2019-12-16 22:38:00,8
2019-12-16 23:10:00,7
2019-12-16 23:11:00,6
2019-12-16 23:12:00,2
2019-12-18 01:00:00,2
2019-12-18 01:05:00,2
2019-12-18 01:10:00,2
2019-12-18 01:15:00,3
2019-12-18 04:39:00,2
2019-12-18 20:14:00,1
2019-12-18 20:15:00,1
2019-12-20 07:05:00,1
2019-12-24 21:25:00,1
2019-12-24 22:05:00,1
2019-12-28 08:35:00,1
2019-12-28 22:25:00,1
2019-12-28 22:30:00,1
2019-12-29 06:55:00,1
