175,"SELECT TOP # obj.run, obj.camCol, str (obj.field, #) as field, str (obj.rowc, #, #) as rowc, str (obj.colc, #, #) as colc, str (dbo.fObj (obj.objId) , #) as id, str (obj.psfMag_g - #*obj.extinction_g, #, #) as g, str (obj.psfMag_r - #*obj.extinction_r, #, #) as r, str (obj.psfMag_i - #*obj.extinction_i, #, #) as i, str (obj.psfMag_z - #*obj.extinction_z, #, #) as z, str (#*distance, #, #) as D, dbo.fField (neighborObjId) as nfield, str (dbo.fObj (neighborObjId) , #) as nid FROM (SELECT obj.objId, run, camCol, field, rowc, colc, psfMag_u, extinction_u, psfMag_g, extinction_g, psfMag_r, extinction_r, psfMag_i, extinction_i, psfMag_z, extinction_z, NN.neighborObjId, NN.distance FROM PhotoObj as obj JOIN neighbors as NN on obj.objId = NN.objId WHERE #*NN.distance between # and # and NN.mode = # and NN.neighborMode = # and run = # and camCol = # and obj.type = # and (obj.flags"
2019-05-24 02:13:00,1
2019-05-24 08:55:00,1
2019-05-24 13:30:00,1
2019-06-10 21:03:00,1
2019-06-10 21:21:00,1
2019-06-15 09:23:00,1
2019-06-17 09:51:00,1
2019-06-18 11:43:00,1
2019-06-18 13:10:00,1
2019-06-18 14:44:00,1
2019-06-20 00:09:00,1
2019-06-20 03:52:00,1
2019-06-21 00:49:00,1
2019-06-23 15:46:00,1
2019-06-24 00:02:00,1
2019-06-25 12:29:00,1
2019-06-29 05:34:00,1
2019-07-01 21:25:00,1
2019-07-02 01:29:00,1
2019-07-02 15:16:00,1
2019-07-02 19:42:00,1
2019-07-03 14:21:00,1
2019-07-12 19:11:00,1
2019-07-14 08:16:00,1
2019-07-20 00:19:00,1
2019-07-20 05:27:00,1
2019-07-21 06:52:00,1
2019-07-22 05:28:00,1
2019-07-24 02:08:00,1
2019-07-24 08:10:00,1
2019-07-25 05:10:00,1
2019-07-25 23:05:00,1
2019-08-06 02:36:00,1
2019-08-14 22:46:00,1
2019-08-15 03:50:00,1
2019-08-16 07:05:00,1
2019-08-16 23:35:00,1
2019-08-17 09:13:00,1
2019-08-20 23:03:00,1
2019-08-21 04:42:00,1
2019-08-22 07:37:00,1
2019-08-23 01:41:00,1
2019-08-23 07:58:00,1
2019-08-30 11:10:00,1
2019-08-31 08:40:00,1
2019-09-05 22:32:00,1
2019-09-06 21:56:00,1
2019-09-07 10:34:00,1
2019-09-13 00:31:00,1
2019-09-13 05:06:00,1
2019-09-14 17:54:00,1
2019-09-14 23:58:00,1
2019-09-15 06:58:00,1
2019-09-15 08:02:00,1
2019-09-27 23:56:00,1
2019-09-28 04:47:00,1
2019-09-30 01:45:00,1
2019-09-30 07:51:00,1
2019-10-19 09:53:00,1
2019-10-19 17:35:00,1
2019-10-21 00:19:00,1
2019-10-22 03:51:00,1
2019-10-22 10:05:00,1
2019-10-22 20:24:00,1
2019-10-22 20:59:00,1
2019-10-22 21:09:00,1
2019-10-22 21:31:00,1
2019-10-23 14:51:00,1
2019-10-24 09:45:00,1
2019-10-24 16:33:00,1
2019-10-24 21:26:00,1
2019-10-24 21:38:00,1
2019-10-25 00:12:00,1
2019-10-25 00:35:00,1
2019-10-25 00:44:00,1
2019-10-26 18:02:00,1
2019-10-26 19:34:00,1
2019-10-27 10:08:00,1
2019-10-30 20:52:00,1
2019-10-30 23:43:00,1
2019-10-31 04:07:00,1
2019-11-01 05:27:00,1
2019-11-02 01:04:00,1
2019-11-02 07:06:00,1
2019-11-20 04:45:00,1
2019-11-20 12:31:00,1
2019-11-21 20:08:00,1
2019-11-22 18:40:00,1
2019-11-23 00:30:00,1
2019-12-03 01:07:00,1
2019-12-03 08:26:00,1
2019-12-04 11:13:00,1
2019-12-05 11:10:00,1
2019-12-05 19:10:00,1
2019-12-18 01:00:00,1
2019-12-18 01:29:00,1
2019-12-29 06:52:00,1
2019-12-31 00:02:00,1
