8329,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-02-27 23:10:00,3
2019-02-27 23:11:00,2
2019-02-27 23:12:00,2
2019-02-27 23:13:00,1
2019-02-27 23:14:00,1
2019-02-27 23:15:00,1
2019-02-27 23:16:00,1
2019-02-27 23:17:00,1
2019-02-27 23:18:00,1
2019-02-27 23:53:00,3
2019-02-27 23:54:00,6
2019-02-27 23:55:00,8
2019-02-27 23:56:00,4
2019-02-27 23:57:00,3
2019-02-28 00:00:00,1
2019-02-28 00:01:00,1
2019-02-28 00:02:00,1
2019-02-28 00:03:00,2
2019-02-28 00:04:00,2
2019-02-28 00:12:00,2
2019-02-28 00:13:00,2
2019-02-28 00:14:00,1
2019-02-28 00:15:00,2
2019-02-28 00:16:00,1
2019-02-28 00:17:00,1
2019-02-28 00:18:00,3
2019-02-28 00:19:00,1
2019-02-28 00:20:00,4
2019-02-28 00:21:00,1
2019-02-28 00:22:00,2
2019-02-28 00:23:00,3
2019-02-28 00:24:00,2
2019-02-28 00:25:00,2
2019-02-28 00:26:00,2
2019-02-28 00:27:00,2
2019-02-28 00:28:00,2
2019-02-28 00:29:00,1
2019-02-28 00:30:00,1
2019-02-28 00:31:00,3
2019-02-28 00:32:00,2
2019-02-28 00:33:00,1
2019-02-28 00:35:00,1
2019-02-28 00:36:00,2
2019-02-28 00:37:00,1
2019-02-28 00:38:00,2
2019-02-28 00:39:00,1
2019-02-28 00:40:00,1
2019-02-28 00:41:00,1
2019-02-28 00:42:00,1
2019-02-28 00:43:00,3
2019-02-28 00:44:00,2
2019-02-28 00:45:00,1
2019-02-28 00:46:00,1
2019-02-28 00:47:00,1
2019-02-28 00:48:00,2
2019-02-28 00:49:00,1
2019-02-28 00:50:00,2
2019-02-28 00:51:00,3
2019-02-28 00:52:00,1
2019-02-28 00:53:00,2
2019-02-28 15:51:00,1
2019-02-28 15:52:00,1
2019-03-02 23:11:00,1
2019-03-02 23:22:00,1
2019-03-07 20:35:00,1
2019-03-12 15:42:00,4
