457,"SELECT TOP # p.u, p.g, p.r, p.i, p.z, s.class, s.z, s.zerr FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND p.g BETWEEN # AND # AND s.class < > # AND s.class < > # AND s.class < > # AND s.class < > #"
2019-03-08 21:53:00,1
2019-03-08 22:07:00,1
2019-03-13 00:45:00,1
2019-03-13 02:47:00,1
2019-03-15 21:53:00,1
2019-03-16 18:24:00,1
2019-03-16 21:46:00,1
2019-03-23 15:49:00,1
2019-03-26 00:31:00,1
2019-03-26 14:55:00,1
2019-03-26 20:40:00,1
2019-03-26 20:43:00,1
2019-03-26 20:47:00,1
2019-03-27 07:28:00,1
2019-03-27 07:31:00,1
2019-03-29 02:52:00,1
2019-04-03 12:41:00,1
2019-04-04 06:07:00,1
2019-04-05 18:49:00,1
2019-04-07 14:06:00,1
2019-04-07 14:26:00,1
2019-04-07 14:36:00,1
2019-04-09 06:56:00,1
2019-04-09 21:09:00,1
2019-04-11 20:02:00,1
2019-04-11 20:03:00,1
2019-04-11 20:04:00,1
2019-04-11 20:05:00,1
2019-04-15 23:23:00,1
2019-04-16 04:19:00,1
2019-04-16 04:21:00,1
2019-04-16 05:36:00,1
2019-04-16 08:46:00,1
2019-04-16 09:09:00,1
2019-04-16 09:58:00,1
2019-04-20 15:29:00,1
2019-04-21 18:51:00,1
2019-04-22 14:00:00,1
2019-04-23 13:30:00,1
2019-04-23 17:05:00,1
2019-04-24 08:26:00,1
2019-04-24 15:59:00,1
2019-04-26 15:05:00,1
2019-04-26 18:41:00,1
2019-05-01 03:30:00,1
2019-05-04 07:29:00,1
2019-05-05 23:39:00,1
2019-05-05 23:42:00,1
2019-05-05 23:43:00,1
2019-05-05 23:44:00,1
2019-05-06 00:11:00,1
2019-05-07 02:37:00,1
2019-05-07 02:39:00,1
2019-05-07 18:10:00,1
2019-05-08 02:54:00,1
2019-05-10 23:08:00,1
2019-05-12 12:56:00,1
2019-05-13 09:55:00,1
2019-05-13 15:57:00,1
2019-05-14 08:07:00,1
2019-05-14 21:04:00,5
2019-05-14 21:05:00,4
2019-05-14 21:22:00,1
2019-05-14 21:23:00,1
2019-05-14 21:50:00,1
2019-05-15 07:09:00,1
2019-05-15 23:31:00,1
2019-05-16 03:45:00,1
2019-05-16 17:53:00,1
2019-05-17 18:45:00,1
2019-05-20 06:58:00,1
2019-05-20 07:06:00,1
2019-05-20 11:16:00,1
2019-05-21 00:53:00,1
2019-05-23 15:13:00,3
2019-05-29 15:15:00,1
2019-05-30 20:41:00,3
2019-05-30 20:47:00,3
2019-05-30 20:57:00,3
2019-05-30 21:04:00,1
2019-05-31 13:27:00,1
2019-06-03 20:55:00,3
2019-06-03 21:01:00,1
2019-06-03 21:56:00,3
2019-06-03 22:01:00,1
2019-06-04 02:38:00,2
2019-06-04 02:39:00,1
2019-06-04 02:44:00,1
2019-06-04 03:06:00,2
2019-06-04 03:07:00,1
2019-06-04 03:12:00,1
2019-06-04 15:09:00,1
2019-06-11 02:56:00,1
2019-06-11 02:57:00,2
2019-06-11 03:02:00,1
2019-06-11 15:10:00,1
2019-06-11 15:12:00,1
2019-06-11 17:32:00,3
2019-06-11 17:38:00,1
2019-06-11 17:51:00,3
2019-06-11 17:55:00,3
2019-06-11 17:57:00,1
2019-06-11 18:09:00,1
2019-06-11 19:17:00,1
2019-06-11 19:18:00,2
2019-06-11 19:25:00,1
2019-06-12 10:50:00,1
2019-06-14 11:25:00,3
2019-06-14 11:29:00,1
2019-06-14 17:48:00,1
2019-06-17 17:54:00,1
2019-06-30 14:31:00,1
2019-07-06 12:59:00,1
2019-07-06 14:03:00,1
2019-07-08 15:18:00,2
2019-07-08 15:39:00,1
2019-07-08 16:15:00,1
2019-07-09 15:12:00,2
2019-07-17 05:00:00,1
2019-07-17 05:04:00,1
2019-07-17 10:37:00,1
2019-07-18 09:05:00,1
2019-07-18 22:32:00,1
2019-07-25 21:47:00,1
2019-07-27 16:20:00,1
2019-07-31 20:50:00,3
2019-07-31 20:55:00,1
2019-07-31 21:03:00,3
2019-07-31 21:08:00,1
2019-08-01 08:06:00,1
2019-08-01 16:41:00,1
2019-08-01 16:47:00,1
2019-08-01 16:55:00,1
2019-08-01 19:47:00,1
2019-08-02 12:48:00,1
2019-08-05 09:07:00,1
2019-08-05 09:11:00,2
2019-08-06 06:37:00,2
2019-08-06 06:38:00,1
2019-08-06 06:45:00,1
2019-08-06 15:43:00,1
2019-08-06 16:55:00,1
2019-08-06 17:28:00,3
2019-08-06 17:35:00,1
2019-08-09 21:56:00,1
2019-08-13 04:08:00,1
2019-08-14 20:02:00,1
2019-08-16 21:56:00,1
2019-08-23 21:56:00,1
2019-08-30 21:57:00,1
2019-09-01 22:26:00,2
2019-09-01 22:28:00,1
2019-09-02 17:53:00,1
2019-09-02 17:55:00,1
2019-09-03 15:41:00,1
2019-09-06 00:40:00,1
2019-09-06 04:42:00,1
2019-09-06 21:58:00,1
2019-09-07 21:57:00,1
2019-09-11 16:12:00,1
2019-09-11 23:30:00,1
2019-09-13 20:34:00,1
2019-09-13 21:58:00,1
2019-09-14 00:24:00,1
2019-09-20 21:58:00,1
2019-09-23 16:08:00,1
2019-09-24 08:02:00,1
2019-09-24 16:18:00,1
2019-09-25 02:33:00,1
2019-09-27 03:02:00,2
2019-09-27 21:59:00,1
2019-09-27 22:14:00,1
2019-09-27 22:43:00,1
2019-09-30 19:32:00,1
2019-10-01 22:39:00,1
2019-10-02 01:39:00,1
2019-10-02 02:59:00,1
2019-10-02 03:07:00,1
2019-10-02 03:20:00,1
2019-10-02 06:43:00,1
2019-10-02 06:44:00,2
2019-10-02 06:47:00,1
2019-10-03 02:19:00,1
2019-10-03 06:19:00,1
2019-10-04 22:00:00,1
2019-10-06 06:51:00,1
2019-10-08 02:11:00,1
2019-10-11 20:01:00,1
2019-10-11 21:59:00,1
2019-10-14 07:12:00,1
2019-10-18 21:57:00,1
2019-10-20 10:46:00,1
2019-10-20 11:36:00,1
2019-10-20 11:40:00,1
2019-10-20 20:17:00,1
2019-10-21 02:48:00,1
2019-10-21 13:20:00,1
2019-10-21 13:40:00,3
2019-10-21 13:43:00,1
2019-10-21 13:47:00,1
2019-10-21 14:55:00,1
2019-10-21 16:24:00,1
2019-10-21 17:45:00,1
2019-10-22 17:40:00,1
2019-10-23 10:48:00,1
2019-10-23 13:19:00,1
2019-10-23 13:46:00,1
2019-10-23 13:59:00,1
2019-10-23 14:56:00,1
2019-10-25 21:59:00,1
2019-10-27 12:01:00,1
2019-10-28 06:54:00,1
2019-10-29 15:47:00,1
2019-10-29 15:57:00,2
2019-10-29 15:58:00,1
2019-10-29 22:14:00,18
2019-10-29 22:23:00,2
2019-10-29 22:24:00,1
2019-10-31 21:04:00,1
2019-10-31 21:21:00,3
2019-10-31 21:22:00,1
2019-10-31 21:23:00,2
2019-10-31 22:16:00,1
2019-11-01 10:46:00,1
2019-11-01 10:47:00,1
2019-11-01 21:59:00,1
2019-11-02 07:06:00,1
2019-11-03 12:39:00,1
2019-11-04 21:55:00,2
2019-11-05 21:54:00,1
2019-11-05 21:55:00,1
2019-11-06 01:06:00,1
2019-11-07 14:22:00,1
2019-11-07 14:24:00,1
2019-11-07 14:26:00,1
2019-11-07 15:27:00,1
2019-11-08 21:59:00,1
2019-11-11 20:34:00,1
2019-11-11 20:46:00,1
2019-11-12 22:46:00,1
2019-11-13 04:31:00,1
2019-11-14 23:23:00,1
2019-11-14 23:31:00,1
2019-11-15 22:00:00,1
2019-11-17 17:59:00,1
2019-11-19 07:56:00,1
2019-11-19 10:27:00,1
2019-11-19 10:42:00,1
2019-11-19 11:03:00,1
2019-11-19 11:05:00,1
2019-11-20 16:19:00,1
2019-11-20 16:22:00,1
2019-11-21 09:33:00,1
2019-11-22 21:59:00,1
2019-11-25 16:16:00,1
2019-11-26 00:37:00,1
2019-11-26 00:43:00,1
2019-11-26 01:27:00,1
2019-11-26 13:56:00,1
2019-11-26 20:24:00,1
2019-11-26 22:06:00,2
2019-11-26 22:07:00,1
2019-11-26 22:09:00,2
2019-11-26 22:10:00,1
2019-11-26 22:11:00,2
2019-11-26 22:14:00,1
2019-11-26 22:23:00,1
2019-11-26 22:26:00,1
2019-11-26 22:36:00,1
2019-11-28 02:28:00,3
2019-11-28 02:29:00,1
2019-11-28 03:23:00,3
2019-11-28 03:24:00,1
2019-11-29 21:59:00,1
2019-11-30 13:46:00,1
2019-12-01 03:39:00,1
2019-12-01 23:11:00,1
2019-12-03 03:13:00,1
2019-12-03 04:03:00,1
2019-12-03 06:55:00,1
2019-12-04 01:59:00,1
2019-12-04 06:33:00,2
2019-12-04 22:43:00,1
2019-12-05 21:03:00,1
2019-12-06 00:16:00,1
2019-12-06 22:01:00,1
2019-12-08 04:56:00,1
2019-12-08 08:57:00,1
2019-12-09 03:55:00,1
2019-12-09 11:29:00,1
2019-12-09 11:33:00,1
2019-12-10 17:59:00,1
2019-12-11 19:12:00,1
2019-12-12 00:22:00,1
2019-12-13 04:00:00,1
2019-12-13 22:01:00,1
2019-12-20 22:01:00,1
2019-12-23 13:08:00,1
2019-12-26 02:55:00,1
2019-12-27 22:02:00,1
2019-12-31 02:30:00,1
2019-12-31 02:36:00,1
2019-12-31 03:18:00,1
2019-12-31 04:00:00,1
2019-12-31 04:21:00,1
2019-12-31 05:10:00,1
2019-12-31 05:21:00,1
2019-12-31 05:43:00,1
