733,"SELECT u.up_up_id as up_id, dbo.fDistanceEq (u.up_ra, u.up_dec, p.ra, p.dec) as distance, p.ra, p.dec, p.raErr, p.decErr, p.objId, p.run, p.rerun, p.camcol, p.field, dbo.fPhotoModeN (mode) as mode, nChild, dbo.fPhotoTypeN (p.type) as type, clean, flags, psfMag_u, psfMag_g, psfMag_r, psfMag_i, psfMag_z, psfMagErr_u, psfMagErr_g, psfMagErr_r, psfMagErr_i, psfMagErr_z, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, modelMagErr_u, modelMagErr_g, modelMagErr_r, modelMagErr_i, modelMagErr_z, extinction_u, extinction_g, extinction_r, extinction_i, extinction_z, mjd FROM #upload u JOIN #x x ON x.up_id = u.up_id JOIN PhotoObj p ON p.objID = x.objID ORDER BY u.up_id, distance"
2019-06-18 02:58:00,1
2019-06-18 04:19:00,1
2019-06-18 04:21:00,1
2019-06-18 09:09:00,1
2019-06-18 09:23:00,1
2019-06-18 09:38:00,1
2019-06-18 10:03:00,1
2019-06-18 10:10:00,1
2019-06-18 10:45:00,1
2019-06-18 11:18:00,1
2019-06-18 13:59:00,1
2019-06-18 14:04:00,1
2019-06-18 14:54:00,1
2019-06-18 15:01:00,1
2019-06-18 15:48:00,1
2019-06-18 18:53:00,1
2019-06-18 23:33:00,1
2019-06-19 02:00:00,1
2019-06-19 09:26:00,1
2019-06-19 09:31:00,1
2019-06-19 13:08:00,1
2019-06-19 16:03:00,1
2019-06-19 19:33:00,1
2019-06-20 01:05:00,1
2019-06-20 03:15:00,1
2019-06-21 03:27:00,1
2019-06-21 03:57:00,1
2019-06-21 04:08:00,1
2019-06-21 04:16:00,1
2019-06-21 04:30:00,1
2019-06-21 04:36:00,1
2019-06-21 04:48:00,1
2019-06-21 16:55:00,1
2019-06-23 06:14:00,1
2019-06-23 07:57:00,1
2019-06-23 11:42:00,1
2019-06-23 12:10:00,1
2019-06-24 02:41:00,1
2019-06-24 07:26:00,2
2019-06-24 07:28:00,1
2019-06-24 17:39:00,1
2019-06-24 17:40:00,1
2019-06-24 17:51:00,1
2019-06-24 18:00:00,1
2019-06-24 18:03:00,1
2019-06-24 18:51:00,1
2019-06-25 05:11:00,1
2019-06-25 15:11:00,1
2019-06-25 17:43:00,1
2019-06-26 04:21:00,2
2019-06-26 04:22:00,1
2019-06-26 05:34:00,1
2019-06-27 01:20:00,1
2019-06-27 15:23:00,1
2019-06-27 19:51:00,1
2019-06-27 19:52:00,1
2019-06-28 02:24:00,1
2019-06-28 19:08:00,1
2019-07-01 01:30:00,1
2019-07-01 21:29:00,1
2019-07-02 08:22:00,1
2019-07-12 00:09:00,1
2019-07-12 18:50:00,1
2019-07-12 22:11:00,1
2019-07-12 22:40:00,1
2019-07-15 17:48:00,1
2019-07-15 18:37:00,1
2019-07-15 22:08:00,1
2019-07-16 14:31:00,1
2019-07-16 19:30:00,1
2019-07-16 21:31:00,1
2019-07-16 22:11:00,1
2019-07-17 15:39:00,1
