837,"SELECT TOP # s.ra, s.dec, s.psfmag_g, (s.psfmag_g - s.psfmag_r) as gmr, pm.pmra, pm.pmdec, pm.pmraerr, pm.pmdecerr, pm.pml, pm.pmb FROM star s JOIN propermotions pm ON s.objid = pm.objid WHERE s.ra between #-# and #+# and s.dec between #-# and #+#"
2019-03-14 17:14:00,1
2019-03-15 01:33:00,1
2019-03-15 12:28:00,1
2019-03-15 19:15:00,1
2019-03-16 00:55:00,1
2019-03-16 09:44:00,1
2019-03-17 21:59:00,1
2019-03-18 02:32:00,1
2019-03-18 14:09:00,1
2019-03-18 19:01:00,1
2019-03-19 12:32:00,1
2019-03-19 16:19:00,2
2019-03-19 17:23:00,1
2019-03-20 04:52:00,1
2019-03-20 15:17:00,1
2019-03-20 20:47:00,1
2019-03-21 16:48:00,1
2019-03-21 17:25:00,1
2019-03-22 21:17:00,1
2019-03-22 21:27:00,1
2019-03-23 02:19:00,1
2019-03-23 19:01:00,1
2019-03-23 21:35:00,1
2019-03-24 08:34:00,1
2019-03-24 23:15:00,1
2019-03-25 02:21:00,1
2019-03-25 05:11:00,1
2019-03-25 10:22:00,1
2019-03-25 11:09:00,1
2019-03-25 12:29:00,1
2019-03-25 22:57:00,1
2019-03-26 11:07:00,1
2019-03-26 11:24:00,1
2019-03-27 19:40:00,1
2019-03-28 18:41:00,1
2019-03-28 23:19:00,1
2019-03-28 23:50:00,1
2019-03-29 23:59:00,1
2019-03-30 00:26:00,1
2019-03-30 09:56:00,1
2019-03-30 11:02:00,1
2019-03-30 12:54:00,1
2019-03-30 14:24:00,1
2019-03-30 15:40:00,1
2019-03-31 17:48:00,1
2019-03-31 21:17:00,1
2019-04-01 20:12:00,1
2019-04-01 20:28:00,1
2019-04-02 12:16:00,1
2019-04-04 13:04:00,1
2019-04-04 13:41:00,1
2019-04-05 00:09:00,1
2019-04-05 10:03:00,1
2019-04-05 18:04:00,1
2019-04-06 09:00:00,1
2019-04-06 10:23:00,1
2019-04-07 07:32:00,1
2019-04-07 14:21:00,1
2019-04-07 14:59:00,1
2019-04-07 16:45:00,1
2019-04-07 17:03:00,1
2019-04-07 20:04:00,1
2019-04-08 08:37:00,1
2019-04-09 01:03:00,1
2019-04-09 03:00:00,1
2019-04-10 12:48:00,2
2019-04-11 16:16:00,1
2019-04-13 14:56:00,1
2019-04-13 19:17:00,1
2019-04-14 12:59:00,1
2019-04-15 04:29:00,1
2019-04-15 14:34:00,1
2019-04-15 15:55:00,1
2019-04-16 00:23:00,1
2019-04-16 05:14:00,1
2019-04-16 07:02:00,1
2019-04-16 22:33:00,1
2019-04-17 12:10:00,1
2019-04-18 10:07:00,2
2019-04-18 16:14:00,1
2019-04-18 23:35:00,1
2019-04-19 00:41:00,1
2019-04-19 08:27:00,1
2019-04-19 22:44:00,1
2019-04-20 04:42:00,1
2019-04-20 05:32:00,1
2019-04-20 11:39:00,1
2019-04-20 15:32:00,1
2019-04-20 20:38:00,1
2019-04-21 20:50:00,1
2019-04-22 01:53:00,1
2019-04-22 11:50:00,1
2019-04-22 14:53:00,1
2019-04-22 23:33:00,1
2019-04-23 03:52:00,1
2019-04-24 02:02:00,1
2019-04-24 02:13:00,1
2019-04-26 22:08:00,1
2019-04-27 03:50:00,1
2019-04-27 07:10:00,1
2019-04-27 08:56:00,1
2019-04-28 03:50:00,1
2019-04-28 10:14:00,1
2019-04-28 11:18:00,1
2019-04-28 13:26:00,1
2019-04-28 20:43:00,1
2019-04-29 06:43:00,1
2019-04-29 20:49:00,1
2019-04-30 04:34:00,1
2019-04-30 11:45:00,1
2019-04-30 14:26:00,1
2019-04-30 19:45:00,1
2019-04-30 22:34:00,1
2019-05-01 02:29:00,1
2019-05-01 10:51:00,1
2019-05-02 22:32:00,1
2019-05-04 00:19:00,1
2019-05-06 07:10:00,1
2019-05-06 08:50:00,1
2019-05-06 09:59:00,1
2019-05-06 17:08:00,1
2019-05-06 18:29:00,1
2019-05-08 01:25:00,1
2019-05-08 23:42:00,1
2019-05-10 11:53:00,1
2019-05-10 22:42:00,1
2019-05-11 06:10:00,1
2019-05-11 07:43:00,1
2019-05-11 14:45:00,1
2019-05-11 19:53:00,1
2019-05-11 23:09:00,1
2019-05-12 19:08:00,1
2019-05-13 08:59:00,1
2019-05-13 09:53:00,1
2019-05-13 12:21:00,1
2019-05-14 00:42:00,1
2019-05-14 08:29:00,1
2019-05-14 22:05:00,1
2019-05-15 16:16:00,1
2019-05-15 23:11:00,1
2019-05-17 04:37:00,1
2019-05-17 04:56:00,1
2019-05-17 05:08:00,1
2019-05-17 07:17:00,1
2019-05-19 06:36:00,1
2019-05-19 11:16:00,1
2019-05-19 13:02:00,1
2019-05-20 11:49:00,1
2019-05-20 17:26:00,1
2019-05-20 19:30:00,1
2019-05-21 05:19:00,1
2019-05-21 06:52:00,1
2019-05-21 10:55:00,1
2019-05-21 12:20:00,1
2019-05-22 09:27:00,1
2019-05-22 18:10:00,1
2019-05-22 18:31:00,1
2019-05-23 04:23:00,1
2019-05-23 08:56:00,1
2019-05-23 12:28:00,1
2019-05-23 14:34:00,1
2019-05-23 17:15:00,1
2019-05-23 18:20:00,1
2019-05-24 02:57:00,1
2019-05-24 20:00:00,1
2019-05-24 21:20:00,1
2019-05-24 22:13:00,1
2019-05-24 22:57:00,1
2019-05-25 00:01:00,1
2019-05-25 07:24:00,1
2019-05-25 08:21:00,1
2019-05-25 22:22:00,1
2019-05-27 12:37:00,1
2019-05-27 16:04:00,1
2019-05-29 02:58:00,1
2019-05-29 04:46:00,1
2019-05-29 05:58:00,1
2019-05-29 13:02:00,1
2019-05-30 04:13:00,1
2019-05-30 16:09:00,1
2019-05-30 23:23:00,1
2019-05-31 03:26:00,1
2019-05-31 06:51:00,1
2019-05-31 15:23:00,1
2019-05-31 17:56:00,1
2019-06-01 21:03:00,1
2019-06-02 19:31:00,1
2019-06-03 01:48:00,1
2019-06-04 14:06:00,1
2019-06-05 05:59:00,1
2019-06-05 18:37:00,1
2019-06-06 07:30:00,1
2019-06-06 09:00:00,1
2019-06-07 15:19:00,1
2019-06-07 21:00:00,1
2019-06-08 18:58:00,1
2019-06-09 12:18:00,1
2019-06-10 01:59:00,1
2019-06-10 02:02:00,1
2019-06-10 22:22:00,1
2019-06-11 00:56:00,1
2019-06-11 01:56:00,1
2019-06-11 02:07:00,1
2019-06-11 16:50:00,1
2019-06-11 17:16:00,1
2019-06-13 06:15:00,1
2019-06-13 15:33:00,1
2019-06-14 08:16:00,1
2019-06-14 22:52:00,1
2019-06-14 23:18:00,1
2019-06-15 01:38:00,1
2019-06-15 11:41:00,1
2019-06-15 15:13:00,1
2019-06-16 17:50:00,1
2019-06-16 23:22:00,1
2019-06-17 14:29:00,1
2019-06-17 14:43:00,1
2019-06-18 15:44:00,1
2019-06-19 04:28:00,1
2019-06-19 10:38:00,1
2019-06-19 13:42:00,1
2019-06-19 17:32:00,1
2019-06-21 06:56:00,1
2019-06-21 21:30:00,1
2019-06-22 02:00:00,1
2019-06-22 02:05:00,1
2019-06-22 07:45:00,1
2019-06-22 12:31:00,1
2019-06-22 12:47:00,1
2019-06-22 14:58:00,1
2019-06-22 19:35:00,1
2019-06-22 22:49:00,1
2019-06-23 03:15:00,1
2019-06-23 05:32:00,1
2019-06-23 15:57:00,1
2019-06-23 17:59:00,1
2019-06-24 10:25:00,1
2019-06-24 11:15:00,1
2019-06-24 11:17:00,1
2019-06-24 12:48:00,1
2019-06-24 14:26:00,1
2019-06-25 08:59:00,1
2019-06-25 16:24:00,1
2019-06-26 16:50:00,1
2019-06-26 17:51:00,1
2019-06-26 19:36:00,1
2019-06-27 01:59:00,1
2019-06-27 02:01:00,1
2019-06-27 03:03:00,1
2019-06-27 03:21:00,1
2019-06-27 10:02:00,1
2019-06-27 20:05:00,1
2019-06-28 03:41:00,1
2019-06-28 13:10:00,1
2019-06-28 22:20:00,1
2019-06-29 16:36:00,1
2019-06-30 13:31:00,1
2019-07-01 10:14:00,1
2019-07-02 15:23:00,1
2019-07-02 18:59:00,1
2019-07-03 10:13:00,1
2019-07-03 12:58:00,1
2019-07-03 13:09:00,1
2019-07-04 09:20:00,1
2019-07-06 02:33:00,1
2019-07-06 08:18:00,1
2019-07-07 01:49:00,1
2019-07-07 21:54:00,1
2019-07-08 05:42:00,1
2019-07-08 12:55:00,1
2019-07-08 17:54:00,1
2019-07-09 01:26:00,1
2019-07-09 22:31:00,1
2019-07-12 03:30:00,1
2019-07-12 11:01:00,1
2019-07-12 21:07:00,1
2019-07-12 22:51:00,1
2019-07-13 05:02:00,1
2019-07-13 14:12:00,1
2019-07-13 21:23:00,1
2019-07-13 21:52:00,1
2019-07-14 02:23:00,1
2019-07-14 03:30:00,1
2019-07-14 05:07:00,1
2019-07-14 09:51:00,1
2019-07-14 19:44:00,1
2019-07-14 21:05:00,1
2019-07-15 15:03:00,1
2019-07-18 11:57:00,1
2019-07-19 00:00:00,1
2019-07-20 00:31:00,1
2019-07-20 02:00:00,1
2019-07-20 04:42:00,1
2019-07-20 05:18:00,1
2019-07-22 01:49:00,1
2019-07-22 15:09:00,1
2019-07-23 09:13:00,1
2019-07-23 15:36:00,1
2019-07-24 20:27:00,1
2019-07-25 18:34:00,1
2019-07-25 21:59:00,1
2019-07-26 14:36:00,1
2019-07-28 08:44:00,1
2019-07-28 16:55:00,1
2019-07-28 18:13:00,1
2019-07-28 22:02:00,1
2019-07-28 23:49:00,1
2019-07-29 16:14:00,1
2019-07-29 17:55:00,1
2019-07-29 19:37:00,1
2019-07-30 03:36:00,1
2019-07-30 06:08:00,1
2019-07-30 07:40:00,1
2019-07-30 10:41:00,1
2019-07-30 12:44:00,1
2019-07-30 23:08:00,1
2019-08-01 23:38:00,1
2019-08-02 16:39:00,1
2019-08-02 21:42:00,1
2019-08-03 01:02:00,1
2019-08-04 21:45:00,1
2019-08-04 23:25:00,1
2019-08-05 04:23:00,1
2019-08-05 15:18:00,1
2019-08-05 20:32:00,1
2019-08-06 07:32:00,1
2019-08-07 21:34:00,1
2019-08-08 20:46:00,1
2019-08-09 14:58:00,1
2019-08-09 17:55:00,1
2019-08-11 01:13:00,1
2019-08-12 15:05:00,1
2019-08-12 17:02:00,1
2019-08-12 17:08:00,1
2019-08-13 12:24:00,1
2019-08-13 17:01:00,1
2019-08-13 19:12:00,1
2019-08-16 14:55:00,1
2019-08-17 09:45:00,1
2019-08-17 10:25:00,1
2019-08-19 03:33:00,1
2019-08-19 09:57:00,1
2019-08-20 11:14:00,1
2019-08-21 13:31:00,1
2019-08-21 13:59:00,1
2019-08-21 14:00:00,2
2019-08-21 14:02:00,1
2019-08-23 14:29:00,1
2019-08-25 01:10:00,1
2019-08-25 02:51:00,1
2019-08-25 05:12:00,1
2019-08-25 06:36:00,1
2019-08-25 09:48:00,6
2019-08-25 09:52:00,1
2019-08-26 01:45:00,1
2019-08-26 01:53:00,1
2019-08-27 22:57:00,1
2019-08-28 00:21:00,1
2019-08-28 23:39:00,1
2019-08-28 23:41:00,1
2019-08-29 04:22:00,1
2019-08-29 12:54:00,1
2019-08-29 21:56:00,1
2019-08-30 05:28:00,1
2019-08-31 18:38:00,1
2019-08-31 20:52:00,1
2019-09-01 04:32:00,1
2019-09-01 07:57:00,1
2019-09-01 08:35:00,1
2019-09-01 14:25:00,1
2019-09-01 17:09:00,1
2019-09-01 23:10:00,1
2019-09-02 01:41:00,1
2019-09-02 11:34:00,1
2019-09-02 18:19:00,1
2019-09-03 19:21:00,1
2019-09-05 16:31:00,1
2019-09-05 16:36:00,1
2019-09-05 16:37:00,1
2019-09-05 16:39:00,1
2019-09-05 23:03:00,1
2019-09-07 04:57:00,1
2019-09-07 17:40:00,1
2019-09-07 17:54:00,1
2019-09-08 08:38:00,1
2019-09-08 11:43:00,1
2019-09-08 17:11:00,1
2019-09-09 00:47:00,1
2019-09-10 08:26:00,1
2019-09-10 11:41:00,1
2019-09-10 12:52:00,1
2019-09-11 09:15:00,1
2019-09-11 13:52:00,1
2019-09-11 14:17:00,1
2019-09-11 22:30:00,1
2019-09-12 07:41:00,1
2019-09-12 09:11:00,1
2019-09-13 03:28:00,1
2019-09-14 21:31:00,1
2019-09-15 06:20:00,1
2019-09-16 12:51:00,1
2019-09-17 03:11:00,1
2019-09-17 11:47:00,1
2019-09-17 16:41:00,1
2019-09-18 11:44:00,1
2019-09-18 14:15:00,1
2019-09-18 14:23:00,1
2019-09-18 19:04:00,1
2019-09-18 19:24:00,1
2019-09-18 23:35:00,1
2019-09-19 02:25:00,1
2019-09-19 10:38:00,1
2019-09-19 17:20:00,1
2019-09-20 00:53:00,1
2019-09-20 06:07:00,1
2019-09-20 10:13:00,1
2019-09-20 12:02:00,1
2019-09-21 02:11:00,1
2019-09-21 13:18:00,1
2019-09-23 04:19:00,1
2019-09-23 05:59:00,1
2019-09-23 20:30:00,1
2019-09-23 23:52:00,1
2019-09-25 02:09:00,1
2019-09-25 06:17:00,1
2019-09-25 07:40:00,1
2019-09-25 18:45:00,1
2019-09-26 05:08:00,1
2019-09-26 06:17:00,1
2019-09-26 18:51:00,1
2019-09-27 01:29:00,1
2019-09-27 01:40:00,1
2019-09-27 11:10:00,1
2019-09-27 14:24:00,1
2019-09-27 18:36:00,1
2019-09-28 16:24:00,1
2019-09-28 18:46:00,1
2019-09-29 07:11:00,1
2019-09-29 19:08:00,1
2019-09-29 22:30:00,1
2019-09-29 23:40:00,1
2019-09-30 03:13:00,1
2019-09-30 07:53:00,1
2019-09-30 10:31:00,1
2019-10-02 07:16:00,1
2019-10-02 09:51:00,1
2019-10-03 16:41:00,1
2019-10-03 20:14:00,1
2019-10-03 21:40:00,1
2019-10-04 13:37:00,1
2019-10-04 14:59:00,1
2019-10-04 16:37:00,1
2019-10-05 13:38:00,1
2019-10-05 14:02:00,1
2019-10-06 08:02:00,1
2019-10-07 07:21:00,1
2019-10-08 01:33:00,1
2019-10-08 03:41:00,1
2019-10-08 19:49:00,1
2019-10-09 03:29:00,1
2019-10-09 11:50:00,1
2019-10-09 15:48:00,1
2019-10-09 17:23:00,1
2019-10-10 07:11:00,1
2019-10-10 13:52:00,1
2019-10-11 04:21:00,1
2019-10-13 01:49:00,1
2019-10-13 09:16:00,1
2019-10-13 12:59:00,1
2019-10-14 01:39:00,1
2019-10-14 02:53:00,1
2019-10-14 04:59:00,1
2019-10-14 20:27:00,1
2019-10-14 23:50:00,1
2019-10-15 21:44:00,1
2019-10-16 13:09:00,1
2019-10-16 17:45:00,1
2019-10-17 00:32:00,1
2019-10-17 00:33:00,1
2019-10-17 13:04:00,1
2019-10-17 19:16:00,1
2019-10-18 02:05:00,1
2019-10-18 04:48:00,1
2019-10-18 17:57:00,1
2019-10-19 00:43:00,1
2019-10-20 05:38:00,1
2019-10-21 02:36:00,1
2019-10-21 03:04:00,1
2019-10-21 11:00:00,1
2019-10-21 14:47:00,1
2019-10-22 05:35:00,1
2019-10-22 07:07:00,1
2019-10-22 08:30:00,1
2019-10-22 20:00:00,1
2019-10-22 21:56:00,1
2019-10-23 00:03:00,1
2019-10-23 00:13:00,1
2019-10-23 12:20:00,1
2019-10-23 21:00:00,1
2019-10-24 10:18:00,1
2019-10-24 11:29:00,1
2019-10-24 13:51:00,1
2019-10-24 15:20:00,1
2019-10-24 18:58:00,1
2019-10-25 03:40:00,1
2019-10-26 05:54:00,1
2019-10-26 21:58:00,1
2019-10-29 16:24:00,1
2019-10-30 10:03:00,1
2019-11-01 09:12:00,1
2019-11-02 00:16:00,1
2019-11-02 06:35:00,1
2019-11-02 10:03:00,1
2019-11-02 20:56:00,1
2019-11-03 01:01:00,1
2019-11-03 02:03:00,1
2019-11-04 00:40:00,1
2019-11-04 13:27:00,1
2019-11-04 13:57:00,1
2019-11-04 16:43:00,1
2019-11-04 21:45:00,1
2019-11-05 05:47:00,1
2019-11-06 09:03:00,1
2019-11-07 06:21:00,1
2019-11-08 17:33:00,1
2019-11-08 19:13:00,1
2019-11-08 21:13:00,1
2019-11-09 01:02:00,1
2019-11-09 09:35:00,1
2019-11-09 16:40:00,1
2019-11-10 11:25:00,1
2019-11-10 13:37:00,1
2019-11-12 18:45:00,1
2019-11-13 05:07:00,1
2019-11-13 05:34:00,1
2019-11-13 19:16:00,1
2019-11-13 22:23:00,1
2019-11-14 01:04:00,1
2019-11-14 05:40:00,1
2019-11-14 09:00:00,1
2019-11-14 12:27:00,1
2019-11-14 18:26:00,1
2019-11-14 18:36:00,1
2019-11-14 19:57:00,2
2019-11-15 02:52:00,1
2019-11-15 03:53:00,1
2019-11-15 13:56:00,1
2019-11-16 06:16:00,1
2019-11-16 06:36:00,1
2019-11-16 13:02:00,1
2019-11-17 11:53:00,1
2019-11-17 22:04:00,1
2019-11-18 15:13:00,1
2019-11-18 23:02:00,1
2019-11-19 10:28:00,1
2019-11-19 18:15:00,1
2019-11-19 19:22:00,1
2019-11-22 08:54:00,1
2019-11-22 15:25:00,1
2019-11-22 21:01:00,1
2019-11-23 05:46:00,1
2019-11-23 09:40:00,1
2019-11-23 16:51:00,1
2019-11-24 17:47:00,1
2019-11-26 02:59:00,1
2019-11-27 09:49:00,1
2019-11-27 12:49:00,1
2019-11-28 14:40:00,1
2019-11-28 21:25:00,1
2019-11-29 02:22:00,1
2019-11-29 06:02:00,1
2019-11-29 13:53:00,1
2019-11-30 02:36:00,1
2019-11-30 11:51:00,1
2019-11-30 22:40:00,1
2019-12-01 00:27:00,1
2019-12-01 05:25:00,1
2019-12-01 08:01:00,1
2019-12-01 20:17:00,1
2019-12-02 09:26:00,1
2019-12-04 07:51:00,1
2019-12-04 09:22:00,1
2019-12-04 11:25:00,1
2019-12-04 23:21:00,1
2019-12-05 00:15:00,1
2019-12-05 00:58:00,1
2019-12-05 01:05:00,1
2019-12-05 01:50:00,1
2019-12-05 02:10:00,1
2019-12-05 02:43:00,1
2019-12-05 03:00:00,1
2019-12-05 05:10:00,1
2019-12-05 10:30:00,1
2019-12-05 10:59:00,1
2019-12-05 11:06:00,1
2019-12-05 15:03:00,1
2019-12-05 20:54:00,1
2019-12-06 11:20:00,1
2019-12-06 11:39:00,1
2019-12-06 13:00:00,1
2019-12-06 19:47:00,1
2019-12-06 20:30:00,1
2019-12-06 21:18:00,1
2019-12-06 21:45:00,1
2019-12-06 22:31:00,1
2019-12-06 23:13:00,1
2019-12-07 00:33:00,1
2019-12-07 11:38:00,1
2019-12-07 13:49:00,1
2019-12-07 20:52:00,1
2019-12-07 21:24:00,1
2019-12-08 05:56:00,1
2019-12-08 14:39:00,1
2019-12-08 23:42:00,1
2019-12-09 02:53:00,1
2019-12-09 07:07:00,1
2019-12-09 07:55:00,1
2019-12-09 08:14:00,1
2019-12-09 08:59:00,1
2019-12-09 21:33:00,1
2019-12-10 07:18:00,1
2019-12-10 22:13:00,1
2019-12-11 10:42:00,1
2019-12-12 00:44:00,1
2019-12-12 02:27:00,1
2019-12-12 06:45:00,1
2019-12-12 15:03:00,1
2019-12-13 10:27:00,1
2019-12-13 12:28:00,1
2019-12-13 13:31:00,1
2019-12-13 13:47:00,1
2019-12-14 10:29:00,1
2019-12-15 04:51:00,1
2019-12-15 09:18:00,1
2019-12-16 02:46:00,1
2019-12-16 04:50:00,1
2019-12-16 08:08:00,1
2019-12-16 18:26:00,1
2019-12-16 22:49:00,1
2019-12-18 09:21:00,1
2019-12-18 10:55:00,1
2019-12-18 13:54:00,1
2019-12-19 20:09:00,1
2019-12-20 09:09:00,1
2019-12-20 17:23:00,1
2019-12-20 23:00:00,1
2019-12-21 05:02:00,1
2019-12-21 16:51:00,1
2019-12-22 06:27:00,1
2019-12-22 06:29:00,5
2019-12-22 06:31:00,6
2019-12-22 06:33:00,2
2019-12-22 14:07:00,1
2019-12-22 15:17:00,1
2019-12-22 21:04:00,1
2019-12-23 08:51:00,1
2019-12-23 12:46:00,1
2019-12-23 23:12:00,1
2019-12-24 02:01:00,1
2019-12-25 02:14:00,1
2019-12-25 05:06:00,1
2019-12-25 05:45:00,1
2019-12-26 03:13:00,1
2019-12-26 06:56:00,1
2019-12-26 06:57:00,1
2019-12-26 15:22:00,1
2019-12-26 17:44:00,1
2019-12-26 20:31:00,1
2019-12-27 07:25:00,1
2019-12-27 13:15:00,1
2019-12-27 17:35:00,1
2019-12-28 23:53:00,1
2019-12-29 00:39:00,1
2019-12-30 05:26:00,1
2019-12-30 06:59:00,1
2019-12-30 08:06:00,1
