24347,select *
2019-03-19 10:07:00,1
2019-03-22 03:31:00,269
2019-03-30 05:02:00,1
2019-03-30 05:06:00,1
2019-04-03 15:13:00,1
2019-04-03 15:15:00,1
2019-04-03 15:19:00,1
2019-04-03 15:23:00,1
2019-04-04 00:27:00,1
2019-04-04 00:28:00,1
2019-04-12 00:10:00,1
2019-04-12 01:02:00,1
2019-04-12 01:03:00,1
2019-04-12 01:04:00,2
2019-04-12 11:56:00,1
2019-04-17 07:17:00,1
2019-04-17 07:19:00,2
2019-04-17 07:20:00,1
2019-04-17 07:21:00,1
2019-04-17 12:41:00,1
2019-04-18 07:51:00,1
2019-04-18 08:11:00,1
2019-05-01 17:04:00,1
2019-05-01 17:05:00,1
2019-05-01 17:06:00,1
2019-05-06 01:39:00,3
2019-05-06 01:40:00,1
2019-05-06 13:54:00,2
2019-05-06 13:58:00,2
2019-05-06 17:07:00,2
2019-05-06 17:08:00,1
2019-05-06 17:10:00,2
2019-05-17 04:23:00,1
2019-05-17 04:28:00,1
2019-05-19 17:40:00,1
2019-05-21 16:28:00,2
2019-05-30 14:33:00,2
2019-05-30 14:34:00,3
2019-06-06 10:58:00,1
2019-06-06 10:59:00,3
2019-06-06 11:01:00,3
2019-06-06 11:03:00,1
2019-06-06 11:04:00,2
2019-06-06 11:07:00,3
2019-06-06 11:08:00,4
2019-06-06 11:09:00,3
2019-06-06 11:31:00,2
2019-06-06 11:32:00,3
2019-06-06 11:36:00,2
2019-06-06 11:40:00,4
2019-06-10 16:41:00,2
2019-06-10 16:43:00,1
2019-06-16 02:16:00,1
2019-06-16 02:36:00,1
2019-06-16 02:49:00,1
2019-06-19 13:13:00,1
2019-06-19 13:14:00,1
2019-06-21 09:20:00,1
2019-07-02 13:09:00,1
2019-07-05 15:25:00,1
2019-07-15 15:06:00,1
2019-07-19 10:36:00,1
2019-07-22 15:29:00,2
2019-07-30 14:10:00,1
2019-07-31 11:06:00,1
2019-07-31 11:09:00,1
2019-07-31 11:12:00,2
2019-07-31 11:13:00,1
2019-07-31 11:24:00,1
2019-07-31 11:26:00,2
2019-07-31 11:27:00,1
2019-07-31 17:26:00,2
2019-08-01 13:55:00,1
2019-08-02 20:25:00,1
2019-08-09 12:32:00,2
2019-08-18 09:37:00,1
2019-08-27 09:09:00,1
2019-09-26 20:55:00,2
2019-09-30 16:16:00,1
2019-09-30 16:17:00,1
2019-10-06 09:23:00,1
2019-10-06 09:24:00,1
2019-10-06 09:35:00,1
2019-10-10 19:27:00,1
2019-10-11 14:17:00,1
2019-10-18 03:27:00,1
2019-10-21 06:46:00,1
2019-10-22 11:23:00,1
2019-10-22 11:52:00,2
2019-10-22 11:56:00,1
2019-10-22 11:57:00,1
2019-10-26 11:03:00,2
2019-10-27 14:14:00,1
2019-10-27 15:48:00,1
2019-10-27 15:50:00,1
2019-10-27 15:52:00,1
2019-10-29 16:17:00,1
2019-11-11 20:55:00,1
2019-11-13 10:23:00,1
2019-11-13 10:25:00,1
2019-11-13 10:26:00,1
2019-11-18 12:47:00,1
2019-11-18 12:49:00,4
2019-11-18 12:50:00,2
2019-11-20 14:53:00,2
2019-11-20 14:54:00,2
2019-11-20 15:17:00,1
2019-11-20 15:18:00,1
2019-11-20 15:25:00,1
2019-11-21 15:14:00,1
2019-11-25 09:06:00,1
2019-11-25 09:08:00,1
2019-11-25 09:11:00,1
2019-11-25 09:12:00,1
2019-11-25 09:17:00,1
2019-11-25 09:21:00,1
2019-11-26 04:56:00,1
2019-11-26 04:57:00,1
2019-11-26 05:03:00,1
2019-11-26 05:21:00,1
2019-11-26 05:46:00,1
2019-11-26 07:39:00,1
2019-11-26 07:40:00,2
2019-11-26 07:41:00,1
2019-11-26 07:42:00,1
2019-11-26 08:21:00,1
2019-11-27 00:07:00,1
2019-11-27 00:08:00,1
2019-11-27 00:10:00,3
2019-11-27 00:11:00,1
2019-12-15 17:54:00,1
2019-12-22 04:32:00,1
2019-12-22 04:45:00,1
2019-12-22 04:47:00,1
2019-12-22 04:58:00,2
2019-12-22 04:59:00,1
2019-12-27 09:30:00,2
2019-12-29 02:48:00,1
2019-12-29 02:53:00,1
