1544,"SELECT p.objID, p.ra, p.dec, p.dered_u, p.dered_g, p.dered_r, p.dered_i, p.dered_z, p.clean, p.flags, z.z as photoz, z.zErr as photozErr, s.specObjID as specObjID, s.z as specz, s.zErr as speczErr, dbo.fPhotoFlagsN (p.flags) as note from Galaxy as p LEFT OUTER JOIN photoz as z ON z.ObjID = p.ObjID LEFT OUTER JOIN specObjAll as s ON s.bestObjID = p.ObjID WHERE p.petroRad_r > # and p.dered_r < # and dered_r > # and p.dered_i < # and p.dered_z < # and (flags & dbo.fPhotoFlags (#) ) = # and (flags & dbo.fPhotoFlags (#) ) = # and (flags & dbo.fPhotoFlags (#) ) = # and # < = p.ra and p.ra < = # and # < = p.dec and p.dec < = #"
2019-03-27 16:13:00,5
2019-03-27 16:14:00,3
2019-03-27 16:15:00,5
2019-03-27 16:16:00,8
2019-03-27 16:17:00,6
2019-03-27 16:18:00,5
2019-03-27 16:19:00,3
2019-03-27 16:20:00,10
2019-03-27 16:21:00,6
2019-03-27 16:22:00,6
2019-03-27 16:23:00,3
2019-03-27 16:24:00,10
2019-03-27 16:25:00,3
2019-03-27 16:26:00,8
2019-03-27 16:27:00,11
2019-03-27 16:28:00,10
2019-03-27 16:29:00,12
2019-03-27 16:30:00,10
2019-03-27 16:31:00,11
2019-03-27 16:32:00,7
2019-03-27 16:33:00,8
2019-03-27 16:34:00,10
2019-03-27 16:35:00,9
2019-03-27 16:36:00,3
2019-03-27 16:37:00,6
2019-03-27 16:38:00,8
2019-03-27 16:39:00,10
2019-03-27 16:40:00,10
2019-03-27 16:41:00,9
2019-03-27 16:42:00,7
2019-03-27 16:43:00,7
2019-03-27 16:44:00,8
2019-03-27 16:45:00,9
2019-03-27 16:46:00,6
2019-03-27 16:47:00,9
2019-03-27 16:48:00,9
2019-03-27 16:49:00,9
2019-03-27 16:50:00,8
2019-03-27 16:51:00,9
2019-03-27 16:52:00,8
2019-03-27 16:53:00,7
2019-03-27 16:54:00,9
2019-03-27 16:55:00,5
2019-03-27 16:56:00,10
2019-03-27 16:57:00,8
2019-03-27 16:58:00,9
2019-03-27 16:59:00,5
2019-03-27 17:00:00,10
2019-03-27 17:01:00,4
2019-03-27 17:02:00,6
2019-03-27 17:03:00,4
2019-03-27 17:04:00,9
2019-03-27 17:05:00,4
2019-03-27 17:06:00,3
2019-03-27 17:07:00,6
2019-03-27 17:08:00,7
2019-03-27 17:09:00,7
2019-03-27 17:10:00,7
2019-03-27 17:11:00,3
2019-03-27 17:12:00,5
2019-03-27 17:13:00,4
2019-03-27 17:14:00,7
2019-03-27 17:15:00,7
2019-03-27 17:16:00,8
2019-03-27 17:17:00,1
