328,SELECT *
2019-04-09 09:16:00,1
2019-04-11 16:13:00,1
2019-04-11 16:19:00,1
2019-04-17 14:47:00,1
2019-04-18 07:53:00,1
2019-04-18 07:58:00,1
2019-04-19 18:05:00,1
2019-04-19 18:06:00,1
2019-04-19 18:07:00,3
2019-04-19 18:08:00,3
2019-04-19 18:09:00,2
2019-04-22 11:25:00,1
2019-04-23 01:09:00,1
2019-04-24 09:34:00,1
2019-04-24 14:50:00,2
2019-04-24 14:51:00,1
2019-04-24 14:52:00,1
2019-04-27 10:52:00,1
2019-05-02 12:54:00,1
2019-05-02 13:06:00,1
2019-05-02 13:07:00,1
2019-05-08 15:33:00,1
2019-05-09 14:49:00,1
2019-05-10 16:16:00,1
2019-05-11 12:16:00,2
2019-05-11 17:27:00,1
2019-05-19 07:14:00,1
2019-05-19 07:18:00,1
2019-05-19 07:19:00,3
2019-05-19 07:29:00,2
2019-05-19 07:50:00,1
2019-05-19 07:52:00,1
2019-05-19 07:56:00,4
2019-05-19 08:05:00,3
2019-05-19 08:11:00,1
2019-05-19 08:13:00,1
2019-05-19 08:17:00,1
2019-05-19 08:18:00,4
2019-05-19 08:19:00,1
2019-05-19 08:20:00,4
2019-05-19 08:21:00,2
2019-05-19 08:22:00,1
2019-05-19 08:36:00,1
2019-05-19 09:09:00,1
2019-05-19 09:11:00,2
2019-05-22 00:11:00,1
2019-05-22 11:37:00,2
2019-05-23 03:32:00,1
2019-05-30 01:16:00,1
2019-06-04 03:24:00,1
2019-06-07 04:34:00,1
2019-06-07 11:23:00,2
2019-06-12 08:52:00,1
2019-06-15 07:13:00,1
2019-06-15 07:14:00,1
2019-06-15 07:59:00,1
2019-06-15 08:00:00,1
2019-06-15 08:02:00,2
2019-06-15 08:03:00,1
2019-06-15 08:34:00,1
2019-06-18 20:25:00,1
2019-06-22 22:27:00,1
2019-06-22 22:29:00,1
2019-06-22 22:31:00,1
2019-06-22 22:32:00,1
2019-06-22 22:34:00,1
2019-06-22 22:36:00,1
2019-06-22 22:38:00,1
2019-06-24 08:32:00,1
2019-06-26 11:34:00,1
2019-07-03 14:31:00,2
2019-07-03 15:02:00,2
2019-07-05 09:37:00,1
2019-07-05 21:05:00,1
2019-07-05 21:07:00,1
2019-07-05 21:58:00,1
2019-07-05 22:00:00,1
2019-07-05 22:01:00,1
2019-07-10 05:29:00,1
2019-07-13 10:54:00,1
2019-07-16 09:37:00,2
2019-07-17 09:40:00,1
2019-07-22 06:02:00,1
2019-07-26 13:27:00,1
2019-07-26 13:45:00,1
2019-07-26 13:46:00,1
2019-07-27 19:49:00,1
2019-08-02 20:21:00,1
2019-08-02 20:23:00,1
2019-08-13 06:48:00,1
2019-08-13 06:58:00,1
2019-08-13 07:24:00,1
2019-08-13 08:20:00,1
2019-08-13 17:35:00,1
2019-08-15 09:48:00,1
2019-08-19 05:52:00,2
2019-08-22 02:18:00,1
2019-08-22 02:54:00,1
2019-08-28 16:43:00,2
2019-08-28 16:45:00,1
2019-09-03 15:08:00,1
2019-09-03 15:09:00,1
2019-09-06 05:11:00,1
2019-09-06 05:25:00,1
2019-09-06 05:27:00,1
2019-09-06 05:35:00,1
2019-09-06 05:50:00,1
2019-09-09 07:21:00,1
2019-09-09 07:22:00,1
2019-09-09 07:23:00,2
2019-09-09 07:24:00,1
2019-09-10 09:25:00,2
2019-09-10 16:48:00,1
2019-09-10 16:50:00,1
2019-09-11 13:33:00,1
2019-09-11 19:38:00,3
2019-09-17 17:26:00,1
2019-09-17 17:27:00,1
2019-09-18 07:49:00,1
2019-09-18 07:50:00,1
2019-09-18 15:44:00,1
2019-09-18 15:49:00,1
2019-09-18 16:00:00,1
2019-09-18 16:05:00,1
2019-09-18 16:10:00,1
2019-09-18 16:15:00,1
2019-09-18 16:20:00,1
2019-09-19 08:37:00,1
2019-09-23 08:23:00,1
2019-09-24 08:25:00,1
2019-09-24 08:28:00,1
2019-09-24 08:32:00,1
2019-09-30 18:23:00,1
2019-09-30 21:16:00,1
2019-09-30 21:39:00,1
2019-10-02 15:27:00,1
2019-10-08 20:47:00,3
2019-10-08 20:49:00,1
2019-10-08 20:50:00,2
2019-10-10 19:16:00,1
2019-10-19 02:16:00,1
2019-10-19 02:19:00,1
2019-10-19 02:25:00,1
2019-10-28 16:11:00,1
2019-10-28 16:12:00,1
2019-10-28 16:13:00,1
2019-10-28 16:14:00,1
2019-10-28 16:15:00,1
2019-10-31 11:52:00,1
2019-10-31 18:51:00,3
2019-11-04 14:28:00,1
2019-11-04 14:30:00,1
2019-11-04 14:32:00,1
2019-11-04 14:40:00,1
2019-11-04 14:46:00,3
2019-11-04 19:18:00,1
2019-11-04 19:20:00,1
2019-11-05 10:07:00,1
2019-11-05 10:09:00,1
2019-11-05 10:47:00,1
2019-11-05 10:55:00,1
2019-11-07 13:53:00,1
2019-11-12 09:10:00,1
2019-11-12 09:12:00,1
2019-11-12 09:13:00,1
2019-11-12 09:14:00,2
2019-11-12 09:16:00,1
2019-11-12 09:57:00,2
2019-11-12 09:58:00,1
2019-11-12 12:41:00,1
2019-11-12 12:42:00,1
2019-11-12 12:45:00,1
2019-11-14 03:51:00,1
2019-11-14 03:52:00,1
2019-11-18 12:36:00,1
2019-11-25 11:05:00,1
2019-11-29 10:33:00,2
2019-11-29 18:15:00,1
2019-11-29 18:17:00,1
2019-12-02 12:26:00,1
2019-12-02 12:30:00,2
2019-12-04 12:29:00,1
2019-12-04 15:46:00,1
2019-12-04 15:49:00,1
2019-12-04 15:53:00,1
2019-12-04 17:25:00,1
2019-12-04 17:27:00,1
2019-12-04 17:31:00,1
2019-12-11 23:21:00,2
2019-12-11 23:29:00,1
2019-12-22 22:53:00,1
