968,SELECT * FROM MyTable_#
2019-03-04 07:41:00,1
2019-03-04 07:46:00,1
2019-03-04 11:42:00,1
2019-03-06 13:59:00,1
2019-03-06 14:02:00,1
2019-03-06 14:05:00,1
2019-03-07 02:38:00,1
2019-03-07 13:24:00,1
2019-03-07 13:35:00,1
2019-03-07 13:46:00,1
2019-03-08 04:54:00,1
2019-03-10 11:54:00,1
2019-03-11 14:00:00,1
2019-03-11 16:45:00,1
2019-03-11 17:08:00,1
2019-03-11 17:32:00,1
2019-03-12 06:38:00,1
2019-03-12 06:39:00,1
2019-03-12 06:40:00,1
2019-03-12 06:43:00,1
2019-03-12 06:44:00,1
2019-03-12 08:56:00,1
2019-03-12 09:08:00,1
2019-03-12 09:18:00,1
2019-03-13 00:27:00,1
2019-03-13 00:28:00,1
2019-03-13 02:32:00,1
2019-03-13 02:36:00,1
2019-03-13 02:42:00,1
2019-03-13 02:49:00,1
2019-03-13 02:52:00,1
2019-03-13 02:53:00,1
2019-03-13 02:54:00,2
2019-03-13 02:56:00,2
2019-03-13 03:09:00,1
2019-03-13 18:36:00,2
2019-03-13 18:37:00,1
2019-03-14 04:05:00,1
2019-03-17 05:03:00,1
2019-03-17 07:13:00,1
2019-03-17 09:23:00,1
2019-03-18 18:21:00,1
2019-03-19 17:44:00,1
2019-03-21 03:34:00,1
2019-03-22 04:48:00,1
2019-03-22 06:29:00,1
2019-03-23 02:24:00,1
2019-03-24 01:16:00,1
2019-03-24 15:33:00,1
2019-03-25 05:29:00,1
2019-03-25 12:06:00,1
2019-03-25 12:09:00,2
2019-03-25 12:18:00,1
2019-03-25 12:20:00,1
2019-03-25 12:21:00,1
2019-03-25 12:27:00,2
2019-03-25 12:28:00,2
2019-03-25 12:30:00,1
2019-03-25 12:37:00,1
2019-03-25 12:38:00,1
2019-03-25 12:42:00,1
2019-03-25 13:01:00,1
2019-03-25 13:14:00,1
2019-03-25 13:17:00,1
2019-03-25 13:39:00,1
2019-03-26 04:37:00,1
2019-03-26 06:36:00,1
2019-03-26 06:44:00,1
2019-03-26 06:47:00,1
2019-03-26 09:01:00,1
2019-03-26 15:54:00,1
2019-03-26 15:56:00,1
2019-03-26 17:58:00,1
2019-03-26 17:59:00,1
2019-03-26 18:23:00,1
2019-03-27 00:02:00,1
2019-03-27 00:03:00,1
2019-03-29 06:34:00,1
2019-03-29 10:39:00,1
2019-03-29 10:40:00,1
2019-03-29 12:23:00,1
2019-03-29 15:46:00,1
2019-03-29 16:00:00,1
2019-03-29 16:50:00,1
2019-03-29 16:51:00,1
2019-04-01 07:03:00,1
2019-04-01 07:17:00,1
2019-04-01 08:49:00,1
2019-04-01 11:33:00,1
2019-04-01 13:52:00,1
2019-04-02 02:09:00,2
2019-04-02 02:10:00,1
2019-04-02 02:27:00,2
2019-04-02 11:23:00,1
2019-04-02 15:00:00,1
2019-04-02 16:07:00,1
2019-04-03 04:02:00,1
2019-04-03 08:51:00,1
2019-04-03 09:00:00,1
2019-04-03 10:05:00,1
2019-04-03 10:29:00,1
2019-04-03 12:08:00,1
2019-04-04 08:46:00,1
2019-04-07 10:13:00,1
2019-04-07 10:17:00,1
2019-04-08 08:06:00,1
2019-04-08 09:22:00,1
2019-04-08 11:30:00,1
2019-04-10 07:21:00,1
2019-04-12 05:31:00,1
2019-04-12 05:34:00,1
2019-04-12 05:39:00,1
2019-04-12 05:47:00,1
2019-04-12 05:52:00,1
2019-04-12 07:04:00,1
2019-04-13 12:06:00,1
2019-04-14 06:48:00,1
2019-04-14 06:52:00,1
2019-04-14 07:00:00,1
2019-04-14 07:10:00,1
2019-04-17 14:49:00,1
2019-04-18 03:42:00,1
2019-04-19 10:47:00,1
2019-04-21 19:19:00,1
2019-04-21 19:44:00,1
2019-04-22 04:13:00,1
2019-04-22 07:27:00,1
2019-04-23 06:56:00,1
2019-04-23 07:11:00,1
2019-04-23 08:55:00,1
2019-04-23 08:57:00,1
2019-04-23 09:30:00,1
2019-04-23 09:31:00,1
2019-04-24 05:35:00,1
2019-04-24 05:37:00,1
2019-04-24 12:12:00,2
2019-04-24 16:03:00,1
2019-04-25 16:12:00,1
2019-04-25 16:20:00,1
2019-04-25 16:28:00,1
2019-04-26 00:09:00,1
2019-04-26 04:10:00,1
2019-04-26 14:54:00,1
2019-04-27 18:25:00,1
2019-04-27 18:41:00,1
2019-04-28 06:13:00,1
2019-04-28 07:30:00,1
2019-04-28 13:48:00,1
2019-04-28 14:21:00,1
2019-04-28 16:11:00,1
2019-04-28 16:31:00,1
2019-04-28 16:34:00,1
2019-04-28 16:35:00,1
2019-04-28 16:52:00,1
2019-04-28 16:56:00,1
2019-04-28 17:56:00,1
2019-04-29 05:14:00,1
2019-04-29 10:36:00,1
2019-04-29 14:19:00,1
2019-04-29 18:32:00,1
2019-04-30 11:48:00,2
2019-04-30 18:52:00,1
2019-04-30 18:54:00,1
2019-05-01 03:57:00,1
2019-05-01 18:19:00,1
2019-05-01 18:21:00,1
2019-05-02 12:21:00,1
2019-05-02 12:23:00,1
2019-05-02 14:27:00,1
2019-05-02 14:35:00,1
2019-05-03 05:06:00,1
2019-05-04 11:32:00,1
2019-05-04 11:33:00,1
2019-05-04 18:00:00,1
2019-05-04 18:02:00,1
2019-05-07 12:10:00,1
2019-05-07 14:28:00,1
2019-05-07 14:36:00,1
2019-05-07 17:39:00,1
2019-05-07 17:42:00,1
2019-05-08 07:28:00,1
2019-05-08 09:55:00,1
2019-05-08 15:56:00,1
2019-05-09 02:51:00,1
2019-05-09 02:52:00,1
2019-05-09 04:33:00,2
2019-05-10 10:30:00,1
2019-05-10 11:53:00,1
2019-05-11 11:24:00,1
2019-05-11 11:47:00,1
2019-05-11 11:49:00,1
2019-05-11 12:03:00,1
2019-05-13 05:21:00,1
2019-05-13 05:22:00,1
2019-05-13 07:12:00,1
2019-05-13 07:36:00,1
2019-05-13 08:45:00,1
2019-05-13 08:46:00,1
2019-05-13 08:48:00,1
2019-05-13 08:50:00,1
2019-05-13 08:54:00,1
2019-05-13 09:00:00,1
2019-05-13 09:02:00,1
2019-05-13 09:04:00,1
2019-05-13 09:13:00,1
2019-05-13 09:17:00,1
2019-05-13 09:20:00,1
2019-05-13 09:49:00,1
2019-05-13 10:01:00,1
2019-05-14 03:07:00,1
2019-05-14 06:33:00,1
2019-05-14 06:46:00,1
2019-05-14 06:51:00,1
2019-05-14 07:03:00,1
2019-05-14 07:34:00,1
2019-05-14 07:53:00,1
2019-05-14 08:40:00,1
2019-05-14 08:46:00,1
2019-05-14 17:45:00,1
2019-05-15 07:42:00,1
2019-05-17 05:52:00,1
2019-05-17 08:12:00,1
2019-05-17 08:34:00,1
2019-05-17 08:36:00,1
2019-05-17 09:16:00,1
2019-05-17 09:20:00,1
2019-05-17 16:06:00,1
2019-05-20 11:58:00,1
2019-05-20 16:40:00,1
2019-05-21 03:30:00,1
2019-05-21 15:28:00,2
2019-05-21 16:01:00,1
2019-05-22 11:45:00,1
2019-05-22 11:53:00,1
2019-05-23 02:53:00,1
2019-05-23 09:36:00,1
2019-05-23 09:38:00,1
2019-05-23 10:06:00,1
2019-05-23 10:22:00,1
2019-05-23 15:23:00,1
2019-05-24 04:51:00,1
2019-05-24 04:52:00,1
2019-05-24 05:12:00,1
2019-05-24 05:22:00,1
2019-05-24 05:25:00,1
2019-05-24 05:35:00,3
2019-05-24 05:36:00,1
2019-05-24 16:11:00,1
2019-05-27 04:21:00,1
2019-05-27 09:14:00,1
2019-05-28 05:40:00,1
2019-05-28 05:41:00,1
2019-05-29 02:37:00,1
2019-05-29 06:52:00,1
2019-05-29 07:46:00,1
2019-05-29 15:00:00,1
2019-05-30 01:50:00,2
2019-05-30 01:57:00,2
2019-05-30 05:00:00,2
2019-05-30 06:04:00,2
2019-05-30 06:13:00,1
2019-05-30 12:53:00,1
2019-05-30 12:55:00,1
2019-05-30 15:27:00,1
2019-05-30 15:35:00,1
2019-05-31 04:37:00,2
2019-05-31 04:39:00,1
2019-05-31 04:53:00,1
2019-05-31 05:02:00,1
2019-05-31 09:21:00,1
2019-05-31 19:36:00,1
2019-06-01 09:05:00,1
2019-06-01 09:06:00,1
2019-06-01 15:49:00,1
2019-06-01 17:11:00,1
2019-06-01 19:21:00,1
2019-06-02 10:51:00,1
2019-06-02 16:18:00,1
2019-06-02 16:35:00,1
2019-06-03 04:34:00,1
2019-06-03 05:45:00,1
2019-06-03 05:46:00,1
2019-06-03 14:48:00,1
2019-06-03 15:10:00,1
2019-06-04 02:56:00,1
2019-06-04 05:20:00,1
2019-06-05 13:23:00,1
2019-06-05 15:07:00,1
2019-06-06 03:08:00,1
2019-06-06 03:09:00,1
2019-06-06 03:11:00,1
2019-06-06 03:19:00,1
2019-06-06 03:54:00,2
2019-06-06 05:27:00,1
2019-06-06 05:38:00,1
2019-06-07 07:21:00,1
2019-06-07 07:31:00,1
2019-06-08 05:29:00,1
2019-06-08 05:52:00,1
2019-06-08 15:51:00,1
2019-06-08 16:48:00,1
2019-06-08 16:50:00,1
2019-06-10 04:45:00,1
2019-06-10 06:05:00,1
2019-06-13 08:58:00,1
2019-06-13 09:03:00,1
2019-06-13 12:08:00,1
2019-06-13 12:59:00,1
2019-06-13 13:00:00,1
2019-06-14 07:37:00,1
2019-06-14 15:22:00,1
2019-06-17 10:53:00,1
2019-06-17 11:12:00,1
2019-06-17 13:05:00,1
2019-06-17 13:08:00,1
2019-06-18 07:02:00,1
2019-06-18 15:36:00,1
2019-06-19 02:57:00,1
2019-06-19 03:09:00,2
2019-06-19 03:10:00,1
2019-06-19 03:49:00,1
2019-06-19 03:52:00,1
2019-06-19 03:58:00,1
2019-06-19 04:14:00,1
2019-06-19 04:53:00,1
2019-06-19 04:59:00,1
2019-06-19 05:00:00,1
2019-06-19 06:03:00,1
2019-06-19 06:20:00,1
2019-06-20 12:34:00,1
2019-06-21 07:32:00,1
2019-06-21 08:01:00,1
2019-06-21 08:07:00,1
2019-06-21 08:15:00,1
2019-06-21 12:17:00,1
2019-06-22 02:14:00,1
2019-06-22 02:15:00,1
2019-06-22 11:12:00,2
2019-06-23 12:38:00,1
2019-06-23 16:14:00,1
2019-06-23 16:28:00,1
2019-06-24 02:13:00,1
2019-06-25 07:23:00,1
2019-06-26 14:12:00,1
2019-06-29 09:55:00,1
2019-06-29 09:56:00,1
2019-06-29 09:57:00,1
2019-07-02 03:21:00,2
2019-07-02 03:22:00,2
2019-07-02 03:31:00,1
2019-07-03 17:52:00,1
2019-07-04 06:14:00,1
2019-07-04 07:49:00,1
2019-07-04 11:33:00,1
2019-07-04 12:07:00,1
2019-07-06 04:10:00,1
2019-07-06 10:24:00,1
2019-07-08 11:39:00,1
2019-07-08 13:43:00,1
2019-07-09 06:03:00,2
2019-07-09 16:50:00,2
2019-07-09 16:53:00,1
2019-07-09 16:58:00,1
2019-07-09 16:59:00,2
2019-07-10 04:54:00,1
2019-07-10 04:56:00,1
2019-07-10 08:27:00,1
2019-07-10 08:49:00,1
2019-07-10 08:50:00,1
2019-07-10 10:55:00,1
2019-07-12 09:46:00,1
2019-07-14 01:08:00,1
2019-07-15 08:31:00,1
2019-07-15 17:14:00,1
2019-07-16 06:16:00,1
2019-07-17 13:50:00,1
2019-07-17 16:14:00,1
2019-07-18 09:33:00,1
2019-07-18 10:25:00,1
2019-07-18 14:46:00,1
2019-07-18 15:59:00,1
2019-07-19 00:29:00,1
2019-07-19 15:23:00,1
2019-07-20 07:16:00,1
2019-07-20 07:18:00,1
2019-07-22 06:16:00,1
2019-07-22 06:20:00,1
2019-07-22 12:35:00,1
2019-07-22 12:46:00,1
2019-07-22 15:03:00,1
2019-07-22 15:06:00,1
2019-07-23 15:17:00,1
2019-07-24 07:10:00,1
2019-07-24 07:15:00,1
2019-07-24 07:16:00,1
2019-07-24 07:18:00,1
2019-07-24 07:19:00,1
2019-07-24 09:39:00,1
2019-07-24 10:05:00,1
2019-07-24 11:15:00,1
2019-07-24 11:16:00,1
2019-07-24 12:11:00,1
2019-07-24 12:24:00,1
2019-07-24 14:38:00,1
2019-07-24 17:19:00,1
2019-07-24 19:16:00,1
2019-07-25 00:21:00,1
2019-07-25 09:35:00,1
2019-07-25 09:47:00,1
2019-07-25 09:48:00,1
2019-07-25 10:15:00,1
2019-07-25 10:21:00,1
2019-07-25 10:31:00,1
2019-07-25 10:32:00,1
2019-07-25 10:44:00,2
2019-07-25 10:54:00,1
2019-07-25 10:55:00,1
2019-07-25 11:02:00,2
2019-07-25 15:02:00,1
2019-07-25 15:03:00,1
2019-07-25 16:02:00,1
2019-07-26 10:32:00,1
2019-07-26 11:13:00,1
2019-07-26 11:20:00,1
2019-08-06 09:32:00,1
2019-08-06 09:38:00,1
2019-08-06 09:39:00,1
2019-08-07 06:20:00,1
2019-08-08 10:52:00,1
2019-08-08 14:53:00,1
2019-08-08 15:07:00,1
2019-08-08 15:16:00,1
2019-08-08 18:55:00,1
2019-08-12 17:46:00,1
2019-08-12 17:58:00,1
2019-08-13 06:19:00,1
2019-08-13 12:02:00,1
2019-08-14 06:44:00,1
2019-08-14 06:57:00,1
2019-08-14 11:59:00,1
2019-08-15 06:48:00,1
2019-08-15 06:49:00,1
2019-08-15 06:56:00,2
2019-08-15 12:08:00,1
2019-08-16 12:36:00,1
2019-08-16 12:41:00,1
2019-08-16 14:37:00,1
2019-08-16 17:01:00,1
2019-08-19 01:32:00,1
2019-08-19 03:59:00,1
2019-08-19 08:48:00,1
2019-08-20 11:19:00,1
2019-08-20 12:08:00,1
2019-08-20 12:24:00,1
2019-08-20 12:27:00,1
2019-08-20 18:49:00,2
2019-08-21 15:56:00,1
2019-08-21 16:50:00,1
2019-08-21 17:09:00,1
2019-08-23 02:36:00,1
2019-08-23 02:37:00,1
2019-08-23 10:41:00,1
2019-08-26 03:47:00,2
2019-08-26 04:11:00,2
2019-08-26 09:10:00,1
2019-08-30 09:07:00,2
2019-08-30 12:03:00,1
2019-08-30 15:26:00,1
2019-09-03 10:06:00,1
2019-09-03 13:05:00,1
2019-09-10 06:12:00,1
2019-09-10 06:14:00,1
2019-09-10 06:24:00,2
2019-09-10 10:27:00,1
2019-09-10 10:48:00,2
2019-09-10 10:49:00,1
2019-09-10 11:04:00,1
2019-09-11 08:55:00,1
2019-09-12 12:10:00,1
2019-09-12 13:30:00,1
2019-09-14 18:36:00,1
2019-09-15 02:40:00,1
2019-09-16 08:49:00,1
2019-09-16 08:50:00,1
2019-09-18 10:00:00,1
2019-09-18 15:19:00,1
2019-09-20 06:48:00,1
2019-09-23 03:50:00,1
2019-09-23 03:52:00,1
2019-09-23 04:50:00,1
2019-09-23 05:02:00,1
2019-09-23 06:50:00,1
2019-09-23 12:02:00,1
2019-09-23 13:02:00,1
2019-09-24 07:46:00,1
2019-09-24 08:18:00,1
2019-09-24 12:53:00,1
2019-09-25 01:35:00,1
2019-09-25 04:43:00,1
2019-09-25 05:17:00,1
2019-09-25 05:54:00,1
2019-09-25 06:55:00,1
2019-09-25 09:39:00,1
2019-09-25 14:49:00,1
2019-09-25 15:15:00,1
2019-09-26 05:36:00,1
2019-09-26 05:51:00,1
2019-09-26 07:12:00,1
2019-09-26 07:13:00,1
2019-09-26 10:47:00,1
2019-09-26 13:24:00,1
2019-09-26 13:29:00,1
2019-09-26 13:37:00,1
2019-09-26 13:40:00,1
2019-09-26 13:45:00,1
2019-09-26 13:47:00,1
2019-09-26 14:35:00,1
2019-09-26 17:55:00,1
2019-09-26 19:03:00,1
2019-09-26 19:12:00,1
2019-09-26 19:13:00,1
2019-09-26 19:14:00,1
2019-09-27 11:27:00,1
2019-09-27 11:28:00,1
2019-09-27 11:41:00,1
2019-09-28 17:53:00,1
2019-09-29 06:03:00,1
2019-09-29 06:31:00,1
2019-09-29 06:32:00,2
2019-09-29 10:39:00,1
2019-09-30 13:28:00,1
2019-09-30 17:16:00,1
2019-09-30 17:19:00,1
2019-10-01 10:56:00,1
2019-10-01 11:48:00,1
2019-10-01 13:17:00,1
2019-10-01 13:26:00,1
2019-10-01 14:07:00,1
2019-10-02 07:44:00,1
2019-10-02 08:28:00,1
2019-10-02 08:44:00,1
2019-10-02 14:34:00,1
2019-10-02 14:35:00,1
2019-10-02 18:57:00,1
2019-10-03 13:32:00,1
2019-10-03 13:33:00,1
2019-10-03 13:42:00,1
2019-10-03 13:46:00,1
2019-10-03 13:48:00,1
2019-10-03 13:54:00,1
2019-10-04 17:55:00,1
2019-10-05 14:12:00,1
2019-10-05 14:13:00,1
2019-10-05 14:30:00,1
2019-10-05 14:31:00,1
2019-10-07 08:55:00,1
2019-10-07 08:56:00,1
2019-10-08 01:17:00,1
2019-10-08 12:20:00,1
2019-10-08 13:42:00,1
2019-10-08 15:53:00,1
2019-10-08 16:00:00,2
2019-10-08 16:20:00,1
2019-10-08 17:09:00,1
2019-10-08 19:20:00,1
2019-10-08 19:26:00,1
2019-10-09 06:06:00,1
2019-10-09 06:08:00,1
2019-10-09 06:10:00,1
2019-10-10 14:15:00,1
2019-10-10 17:17:00,1
2019-10-10 17:33:00,1
2019-10-10 17:44:00,1
2019-10-11 05:48:00,1
2019-10-11 07:38:00,2
2019-10-11 08:33:00,1
2019-10-11 09:16:00,1
2019-10-11 09:36:00,1
2019-10-11 10:10:00,1
2019-10-11 10:30:00,1
2019-10-11 16:31:00,1
2019-10-11 16:45:00,1
2019-10-11 17:15:00,1
2019-10-12 02:50:00,1
2019-10-13 15:30:00,1
2019-10-14 15:26:00,1
2019-10-14 15:27:00,1
2019-10-15 13:57:00,1
2019-10-16 08:41:00,1
2019-10-16 12:00:00,1
2019-10-17 04:18:00,2
2019-10-17 04:25:00,1
2019-10-17 04:26:00,1
2019-10-17 04:33:00,1
2019-10-17 04:41:00,1
2019-10-17 04:43:00,1
2019-10-17 04:44:00,1
2019-10-17 04:49:00,1
2019-10-17 05:00:00,1
2019-10-17 05:05:00,1
2019-10-17 09:51:00,1
2019-10-17 11:50:00,1
2019-10-17 11:52:00,1
2019-10-17 11:56:00,1
2019-10-17 13:59:00,2
2019-10-17 14:14:00,1
2019-10-18 15:42:00,1
2019-10-18 15:43:00,1
2019-10-18 15:45:00,1
2019-10-18 15:47:00,1
2019-10-18 16:09:00,1
2019-10-20 09:26:00,1
2019-10-20 09:31:00,2
2019-10-21 00:06:00,1
2019-10-21 01:11:00,1
2019-10-22 04:21:00,1
2019-10-22 04:36:00,1
2019-10-22 05:28:00,1
2019-10-22 07:11:00,1
2019-10-22 09:06:00,1
2019-10-22 13:42:00,1
2019-10-23 07:10:00,1
2019-10-23 11:45:00,1
2019-10-23 11:46:00,1
2019-10-23 14:32:00,1
2019-10-23 14:33:00,1
2019-10-24 16:38:00,1
2019-10-24 17:02:00,1
2019-10-25 12:20:00,1
2019-10-27 06:57:00,1
2019-10-27 09:48:00,1
2019-10-27 15:54:00,1
2019-10-28 08:16:00,1
2019-10-28 09:40:00,1
2019-10-28 09:42:00,2
2019-10-28 11:55:00,1
2019-10-28 15:02:00,1
2019-10-28 15:03:00,1
2019-10-29 01:18:00,1
2019-10-29 01:24:00,1
2019-10-30 10:43:00,1
2019-10-31 00:43:00,1
2019-10-31 01:54:00,1
2019-10-31 04:37:00,1
2019-10-31 09:17:00,1
2019-10-31 10:26:00,1
2019-10-31 11:00:00,1
2019-10-31 19:40:00,1
2019-11-04 10:34:00,1
2019-11-04 17:37:00,1
2019-11-04 17:41:00,1
2019-11-04 17:43:00,1
2019-11-05 04:05:00,1
2019-11-05 05:07:00,1
2019-11-05 10:09:00,1
2019-11-06 06:16:00,1
2019-11-06 15:54:00,1
2019-11-06 18:25:00,1
2019-11-06 18:45:00,1
2019-11-07 01:39:00,2
2019-11-07 09:58:00,1
2019-11-07 11:49:00,1
2019-11-07 14:22:00,1
2019-11-07 15:50:00,1
2019-11-07 15:53:00,1
2019-11-08 06:51:00,1
2019-11-08 12:57:00,2
2019-11-09 08:45:00,1
2019-11-10 09:44:00,1
2019-11-10 11:11:00,1
2019-11-10 11:49:00,1
2019-11-10 12:06:00,1
2019-11-10 12:43:00,1
2019-11-11 03:58:00,1
2019-11-11 04:13:00,1
2019-11-11 04:27:00,1
2019-11-11 04:45:00,1
2019-11-11 05:01:00,1
2019-11-11 09:05:00,1
2019-11-11 09:19:00,1
2019-11-11 09:41:00,1
2019-11-11 09:51:00,1
2019-11-11 10:04:00,1
2019-11-11 10:15:00,1
2019-11-11 10:26:00,1
2019-11-11 10:38:00,1
2019-11-11 10:51:00,1
2019-11-11 12:43:00,1
2019-11-11 13:24:00,1
2019-11-12 04:32:00,1
2019-11-12 04:46:00,1
2019-11-12 04:58:00,1
2019-11-12 05:00:00,1
2019-11-12 05:13:00,1
2019-11-12 05:25:00,1
2019-11-12 05:44:00,1
2019-11-12 06:18:00,1
2019-11-12 07:13:00,1
2019-11-12 10:36:00,1
2019-11-12 13:16:00,1
2019-11-12 14:48:00,1
2019-11-12 14:53:00,1
2019-11-13 12:14:00,1
2019-11-13 12:25:00,1
2019-11-14 03:15:00,1
2019-11-14 12:21:00,1
2019-11-14 16:21:00,1
2019-11-14 16:30:00,1
2019-11-15 04:51:00,1
2019-11-16 11:21:00,1
2019-11-16 11:23:00,1
2019-11-18 06:18:00,1
2019-11-18 13:07:00,1
2019-11-18 13:42:00,1
2019-11-18 16:59:00,1
2019-11-19 04:42:00,1
2019-11-19 09:17:00,1
2019-11-19 10:05:00,1
2019-11-20 09:28:00,1
2019-11-21 13:54:00,1
2019-11-22 15:34:00,1
2019-11-22 15:35:00,1
2019-11-23 14:56:00,1
2019-11-25 09:26:00,1
2019-11-25 11:05:00,1
2019-11-26 11:18:00,1
2019-11-27 06:28:00,1
2019-11-27 12:08:00,1
2019-11-27 12:09:00,1
2019-11-29 17:23:00,1
2019-12-02 08:22:00,1
2019-12-02 18:19:00,1
2019-12-02 18:24:00,1
2019-12-02 18:25:00,1
2019-12-03 00:54:00,1
2019-12-03 00:55:00,1
2019-12-03 03:06:00,1
2019-12-03 12:40:00,1
2019-12-03 12:41:00,2
2019-12-03 15:34:00,1
2019-12-03 15:36:00,1
2019-12-03 17:47:00,1
2019-12-03 17:55:00,1
2019-12-04 08:25:00,1
2019-12-04 13:59:00,1
2019-12-04 14:03:00,1
2019-12-05 14:33:00,1
2019-12-05 14:35:00,1
2019-12-06 02:14:00,1
2019-12-07 07:19:00,1
2019-12-07 09:55:00,1
2019-12-07 09:56:00,1
2019-12-09 08:53:00,1
2019-12-09 09:02:00,2
2019-12-09 11:10:00,1
2019-12-10 01:10:00,1
2019-12-11 02:39:00,1
2019-12-11 03:06:00,1
2019-12-11 03:10:00,1
2019-12-11 06:57:00,1
2019-12-12 01:45:00,1
2019-12-12 08:11:00,1
2019-12-12 17:12:00,1
2019-12-12 18:48:00,1
2019-12-12 18:50:00,1
2019-12-12 18:51:00,1
2019-12-12 18:56:00,2
2019-12-13 10:46:00,1
2019-12-19 13:36:00,1
2019-12-19 13:37:00,1
2019-12-19 13:49:00,1
2019-12-19 13:53:00,1
2019-12-25 09:00:00,1
2019-12-25 09:08:00,1
2019-12-25 09:11:00,1
2019-12-26 03:38:00,1
2019-12-26 03:40:00,1
2019-12-28 14:36:00,1
2019-12-29 17:43:00,1
2019-12-29 17:44:00,1
2019-12-29 18:05:00,1
