1102,select * from zooMirrorBias where objid = #
2019-07-06 11:04:00,5
2019-07-06 11:05:00,1
2019-07-07 06:07:00,4
2019-07-08 04:27:00,1
2019-07-08 06:12:00,1
2019-07-08 12:05:00,9
2019-07-08 13:57:00,1
2019-07-08 16:48:00,1
2019-07-09 04:14:00,4
2019-07-09 13:05:00,2
2019-07-09 13:06:00,1
2019-07-09 15:42:00,1
2019-07-09 16:44:00,2
2019-07-10 04:41:00,1
2019-07-10 05:01:00,1
2019-07-10 06:49:00,1
2019-07-10 07:22:00,1
2019-07-10 18:12:00,1
2019-07-10 19:56:00,1
2019-07-10 23:05:00,1
2019-07-10 23:48:00,1
2019-07-10 23:49:00,1
2019-07-11 01:45:00,1
2019-07-11 03:00:00,1
2019-07-11 03:01:00,7
2019-07-11 03:02:00,4
2019-07-11 03:03:00,6
2019-07-11 03:04:00,2
2019-07-11 08:16:00,9
2019-07-11 08:17:00,20
2019-07-11 08:49:00,1
2019-07-11 12:13:00,1
2019-07-11 13:18:00,1
2019-07-11 16:31:00,1
2019-07-11 20:02:00,1
2019-07-11 20:23:00,1
2019-07-11 20:50:00,1
2019-07-11 22:16:00,1
2019-07-12 07:37:00,3
2019-07-13 05:09:00,3
2019-07-13 11:05:00,1
2019-07-13 13:33:00,1
2019-07-15 07:40:00,3
2019-07-15 15:31:00,2
2019-07-15 16:39:00,1
2019-07-16 06:39:00,1
2019-07-16 14:15:00,1
2019-07-16 15:44:00,1
2019-07-16 16:23:00,1
2019-07-16 18:05:00,1
2019-07-16 18:56:00,1
2019-07-16 21:55:00,1
2019-07-17 00:09:00,1
2019-07-17 02:37:00,1
2019-07-17 11:48:00,1
2019-07-17 23:06:00,1
2019-07-19 00:47:00,1
2019-07-19 01:17:00,1
2019-07-19 05:33:00,1
2019-07-19 10:19:00,1
2019-07-19 10:21:00,1
2019-07-19 10:24:00,1
2019-07-19 12:58:00,1
2019-07-19 12:59:00,1
2019-07-19 13:03:00,1
2019-07-19 13:21:00,1
2019-07-19 13:33:00,1
2019-07-19 13:41:00,1
2019-07-19 14:06:00,1
2019-07-19 15:45:00,1
2019-07-19 16:12:00,1
2019-07-19 17:15:00,1
2019-07-19 17:25:00,1
2019-07-19 18:03:00,1
2019-07-19 20:17:00,1
2019-07-19 22:00:00,1
2019-07-20 02:02:00,1
2019-07-21 03:00:00,1
2019-07-21 21:45:00,1
2019-07-22 03:43:00,2
2019-07-22 04:31:00,1
2019-07-23 08:02:00,1
2019-07-23 10:44:00,1
2019-07-24 02:12:00,2
2019-07-24 02:13:00,2
2019-07-24 02:14:00,1
2019-07-24 17:27:00,1
2019-07-24 21:49:00,1
2019-07-26 05:54:00,1
2019-07-26 06:14:00,1
2019-07-27 12:46:00,1
2019-07-29 02:22:00,1
2019-07-29 07:07:00,1
2019-07-30 13:26:00,1
2019-07-31 09:32:00,1
2019-08-01 06:51:00,1
2019-08-02 14:43:00,1
2019-08-04 10:32:00,1
2019-08-04 19:14:00,1
2019-08-04 20:36:00,1
2019-08-04 21:54:00,1
2019-08-05 13:54:00,1
2019-08-06 05:55:00,1
2019-08-06 17:13:00,1
2019-08-08 13:40:00,1
2019-08-09 11:16:00,1
2019-08-10 12:12:00,1
2019-08-10 12:59:00,1
2019-08-10 13:01:00,1
2019-08-10 13:11:00,1
2019-08-10 13:16:00,1
2019-08-10 13:18:00,1
2019-08-10 13:30:00,1
2019-08-10 13:49:00,1
2019-08-10 14:05:00,1
2019-08-10 15:07:00,1
2019-08-10 17:36:00,1
2019-08-10 18:13:00,1
2019-08-10 19:48:00,1
2019-08-10 20:36:00,1
2019-08-11 07:02:00,1
2019-08-11 13:02:00,1
2019-08-15 04:28:00,1
2019-08-15 18:15:00,1
2019-08-19 04:50:00,1
2019-08-19 05:17:00,1
2019-08-21 12:12:00,1
2019-08-22 03:12:00,2
2019-08-24 19:14:00,1
2019-08-27 05:01:00,1
2019-08-29 15:54:00,9
2019-08-29 15:55:00,7
2019-08-29 18:06:00,1
2019-09-02 16:20:00,1
2019-09-06 22:58:00,1
2019-09-07 20:01:00,1
2019-09-09 06:56:00,1
2019-09-13 18:05:00,1
2019-09-14 21:20:00,1
2019-09-15 21:15:00,1
2019-09-19 12:50:00,1
2019-09-19 21:21:00,1
2019-09-20 12:52:00,1
2019-09-22 00:42:00,1
2019-09-22 12:52:00,1
2019-09-22 19:50:00,1
2019-09-23 20:36:00,1
2019-09-24 04:14:00,1
2019-09-24 10:58:00,6
2019-09-24 10:59:00,2
2019-09-24 14:30:00,1
2019-09-25 07:41:00,1
2019-09-25 09:44:00,4
2019-09-25 22:49:00,1
2019-09-26 09:52:00,1
2019-09-26 14:55:00,11
2019-09-27 03:24:00,4
2019-09-27 13:15:00,5
2019-09-28 13:19:00,1
2019-09-29 00:49:00,1
2019-09-29 05:24:00,1
2019-09-29 05:25:00,8
2019-09-29 07:15:00,1
2019-09-29 09:15:00,13
2019-09-29 09:16:00,18
2019-09-29 15:29:00,4
2019-09-29 15:30:00,6
2019-09-30 04:50:00,3
2019-09-30 13:53:00,1
2019-09-30 19:42:00,1
2019-10-01 05:06:00,5
2019-10-01 07:03:00,1
2019-10-03 16:16:00,1
2019-10-04 15:46:00,1
2019-10-06 00:51:00,1
2019-10-10 02:45:00,1
2019-10-10 15:13:00,1
2019-10-12 10:18:00,3
2019-10-12 10:19:00,2
2019-10-12 12:16:00,2
2019-10-12 12:17:00,8
2019-10-12 12:18:00,9
2019-10-12 12:19:00,2
2019-10-12 14:01:00,1
2019-10-12 16:09:00,8
2019-10-13 23:58:00,1
2019-10-14 10:45:00,1
2019-10-17 02:52:00,1
2019-10-19 14:12:00,1
2019-10-20 04:30:00,1
2019-10-21 06:17:00,1
2019-10-24 23:14:00,1
2019-10-26 09:17:00,1
2019-10-26 15:59:00,2
2019-10-26 22:07:00,3
2019-10-27 08:34:00,2
2019-10-27 10:43:00,1
2019-10-27 10:57:00,1
2019-10-28 08:38:00,1
2019-10-28 08:44:00,1
2019-10-28 08:51:00,1
2019-10-28 09:24:00,1
2019-10-28 09:41:00,1
2019-10-28 10:17:00,1
2019-10-28 10:23:00,1
2019-10-28 10:32:00,1
2019-10-28 10:42:00,1
2019-10-28 14:46:00,1
2019-10-28 16:03:00,1
2019-10-28 18:53:00,1
2019-10-28 19:30:00,1
2019-10-28 22:09:00,1
2019-10-28 23:32:00,1
2019-10-28 23:33:00,1
2019-10-29 00:14:00,1
2019-10-29 00:44:00,1
2019-10-29 09:21:00,2
2019-10-29 22:08:00,1
2019-10-30 03:59:00,1
2019-10-30 13:00:00,22
2019-10-30 13:01:00,4
2019-10-30 19:21:00,2
2019-11-01 13:04:00,1
2019-11-01 16:30:00,1
2019-11-01 21:53:00,1
2019-11-03 17:42:00,1
2019-11-04 06:30:00,1
2019-11-07 07:29:00,1
2019-11-09 13:18:00,2
2019-11-10 08:23:00,1
2019-11-11 15:30:00,1
2019-11-16 11:08:00,1
2019-11-17 11:07:00,1
2019-11-18 11:00:00,1
2019-11-19 22:52:00,1
2019-11-21 12:25:00,1
2019-11-22 12:20:00,1
2019-11-23 06:05:00,1
2019-11-23 06:12:00,1
2019-11-23 12:27:00,1
2019-11-25 00:12:00,1
2019-11-27 20:11:00,1
2019-11-28 01:49:00,1
2019-11-28 02:12:00,1
2019-11-28 02:27:00,1
2019-11-28 03:00:00,1
2019-11-28 06:57:00,1
2019-11-28 08:06:00,1
2019-11-28 08:08:00,1
2019-11-28 08:18:00,1
2019-11-28 09:06:00,1
2019-11-28 09:25:00,1
2019-11-28 10:52:00,1
2019-11-28 11:21:00,1
2019-11-28 12:20:00,1
2019-11-28 12:23:00,1
2019-11-28 12:59:00,1
2019-11-28 13:13:00,1
2019-11-28 13:24:00,1
2019-11-28 14:00:00,1
2019-11-28 18:46:00,1
2019-11-28 20:57:00,1
2019-11-28 21:53:00,1
2019-12-01 00:23:00,3
2019-12-04 02:14:00,1
2019-12-04 05:06:00,1
2019-12-04 11:56:00,1
2019-12-04 17:23:00,1
2019-12-04 23:20:00,1
2019-12-05 23:36:00,1
2019-12-06 13:22:00,1
2019-12-06 13:51:00,1
2019-12-06 14:45:00,1
2019-12-06 15:16:00,1
2019-12-06 19:15:00,1
2019-12-06 21:49:00,1
2019-12-06 23:39:00,1
2019-12-07 11:17:00,1
2019-12-08 12:06:00,1
2019-12-08 14:23:00,1
2019-12-08 17:37:00,1
2019-12-08 19:27:00,1
2019-12-08 20:28:00,1
2019-12-09 02:43:00,1
2019-12-09 03:43:00,1
2019-12-09 11:17:00,1
2019-12-09 21:00:00,1
2019-12-10 02:18:00,1
2019-12-10 05:35:00,1
2019-12-10 16:59:00,1
2019-12-10 17:32:00,1
2019-12-13 05:41:00,4
2019-12-13 07:10:00,1
2019-12-13 21:10:00,1
2019-12-14 19:44:00,1
2019-12-15 04:17:00,1
2019-12-15 07:38:00,1
2019-12-15 12:58:00,1
2019-12-15 20:51:00,5
2019-12-15 20:52:00,1
2019-12-16 06:04:00,4
2019-12-16 06:23:00,3
2019-12-16 11:26:00,2
2019-12-17 07:41:00,1
2019-12-18 04:10:00,3
2019-12-18 06:09:00,6
2019-12-18 13:45:00,2
2019-12-18 15:55:00,2
2019-12-19 07:18:00,2
2019-12-22 02:16:00,9
2019-12-22 18:19:00,1
2019-12-26 08:19:00,1
2019-12-30 08:30:00,1
2019-12-31 17:51:00,1
2019-12-31 17:52:00,3
2019-12-31 17:53:00,1
2019-12-31 20:32:00,1
