281,"SELECT DISTINCT p.ra, p.dec, p.g FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-02-26 16:48:00,1
2019-02-26 17:48:00,1
2019-02-26 17:58:00,1
2019-02-26 18:09:00,1
2019-02-26 18:28:00,1
2019-02-26 18:29:00,2
2019-02-26 18:58:00,1
2019-02-26 19:02:00,1
2019-02-26 19:36:00,1
2019-02-27 20:59:00,1
2019-02-28 17:01:00,1
2019-02-28 18:55:00,1
2019-02-28 19:41:00,1
2019-02-28 19:48:00,1
2019-02-28 19:58:00,1
2019-02-28 20:08:00,1
2019-02-28 20:24:00,1
2019-02-28 21:23:00,1
2019-02-28 22:03:00,1
2019-02-28 22:04:00,1
2019-03-01 14:49:00,1
2019-03-01 14:51:00,1
2019-03-01 14:55:00,1
2019-03-01 15:01:00,1
2019-03-01 15:02:00,1
2019-03-01 17:04:00,1
2019-03-01 17:55:00,1
2019-03-01 19:51:00,1
2019-03-01 21:50:00,1
2019-03-02 19:09:00,1
2019-03-04 15:05:00,1
2019-03-04 16:22:00,2
2019-03-04 16:23:00,1
2019-03-04 16:26:00,1
2019-03-04 16:32:00,1
2019-03-04 16:33:00,1
2019-03-04 16:40:00,1
2019-03-04 16:43:00,1
2019-03-06 21:26:00,1
2019-03-07 19:10:00,1
2019-03-07 21:23:00,1
2019-03-07 21:45:00,1
2019-03-13 21:12:00,1
2019-03-13 22:24:00,1
2019-03-18 13:47:00,1
2019-03-18 16:03:00,1
2019-03-18 16:07:00,1
2019-03-19 07:51:00,1
2019-03-19 08:06:00,1
2019-03-19 08:11:00,1
2019-03-19 14:10:00,1
2019-03-19 14:24:00,1
2019-03-19 14:54:00,1
2019-03-19 16:15:00,1
2019-03-19 17:27:00,1
2019-03-19 20:45:00,1
2019-03-19 21:28:00,1
2019-03-20 06:17:00,1
2019-03-20 14:21:00,1
2019-03-20 18:01:00,1
2019-03-20 18:14:00,1
2019-03-20 19:23:00,1
2019-03-20 20:21:00,1
2019-03-20 20:41:00,1
2019-03-21 14:33:00,1
2019-03-21 14:54:00,1
2019-03-21 15:01:00,1
2019-03-21 16:04:00,1
2019-03-21 19:21:00,1
2019-03-26 15:00:00,1
2019-03-26 16:39:00,1
2019-03-26 17:13:00,1
2019-03-26 17:35:00,1
2019-03-26 18:46:00,1
2019-03-26 19:33:00,1
2019-03-26 20:23:00,1
2019-03-27 17:26:00,1
2019-03-27 20:22:00,1
2019-03-27 21:35:00,1
2019-03-27 21:39:00,1
2019-03-28 13:42:00,1
2019-03-28 14:57:00,1
2019-03-28 18:11:00,1
2019-03-29 00:51:00,1
2019-03-29 13:44:00,1
2019-03-29 16:27:00,1
2019-04-02 18:29:00,1
2019-04-02 19:56:00,1
2019-04-02 20:45:00,1
2019-04-03 12:13:00,1
2019-04-08 14:33:00,1
2019-04-08 16:05:00,1
2019-04-08 16:48:00,1
2019-04-10 04:09:00,1
2019-04-12 21:26:00,1
2019-04-26 18:07:00,1
2019-04-29 15:07:00,1
2019-04-29 18:28:00,1
2019-04-30 12:17:00,1
2019-04-30 13:23:00,1
2019-04-30 14:21:00,1
2019-05-09 14:35:00,1
2019-05-09 15:37:00,1
2019-05-10 15:00:00,1
2019-05-14 16:18:00,1
2019-05-15 14:01:00,1
2019-05-15 14:16:00,1
2019-05-15 14:24:00,1
2019-05-15 14:29:00,1
2019-05-15 15:31:00,1
2019-05-15 16:10:00,1
2019-05-15 16:13:00,1
2019-05-15 18:51:00,1
2019-05-16 19:24:00,1
2019-05-20 13:47:00,1
2019-05-20 20:56:00,1
2019-05-20 21:13:00,1
2019-05-21 15:32:00,1
2019-05-22 17:32:00,1
2019-05-22 22:32:00,1
2019-05-23 15:01:00,1
2019-05-23 15:48:00,1
2019-05-23 16:01:00,1
2019-05-24 19:09:00,1
2019-05-31 21:54:00,1
2019-06-01 04:30:00,1
2019-06-04 18:34:00,1
2019-06-04 18:55:00,1
2019-06-13 20:50:00,1
2019-06-18 21:06:00,1
2019-06-19 01:20:00,1
2019-06-19 16:43:00,1
2019-06-28 19:32:00,1
2019-07-01 13:55:00,1
2019-07-01 14:28:00,1
2019-07-01 16:29:00,1
2019-07-01 22:00:00,1
2019-07-25 16:26:00,1
2019-07-26 18:26:00,1
2019-07-26 18:49:00,1
2019-07-29 15:23:00,1
2019-07-31 18:27:00,1
2019-08-23 15:16:00,1
2019-08-23 18:33:00,1
2019-09-20 12:38:00,1
2019-10-05 02:09:00,1
2019-10-11 16:22:00,1
2019-10-11 16:57:00,1
2019-10-11 20:12:00,1
2019-10-15 13:53:00,1
2019-10-23 07:32:00,1
2019-10-24 00:00:00,1
2019-10-30 22:06:00,1
2019-11-08 23:16:00,1
2019-11-12 21:24:00,1
2019-11-12 21:27:00,1
2019-11-12 21:30:00,1
2019-11-12 21:52:00,1
2019-11-12 21:55:00,1
2019-11-12 21:59:00,1
2019-11-12 22:26:00,1
2019-11-24 21:20:00,1
2019-11-24 21:23:00,1
2019-12-07 18:22:00,1
2019-12-07 18:28:00,1
2019-12-11 14:42:00,1
2019-12-17 23:25:00,1
2019-12-20 12:26:00,1
