8399,"select G.objID, G.ra as ra2, G.dec as dec2, G.petroMag_u, G.petroMag_g, G.petroMag_r, G.petroMag_i, G.petroMag_z, G.petroR5#_u, G.petroR5#_g, G.petroR5#_r, G.petroR5#_i, G.petroR5#_z, G.petroR9#_u, G.petroR9#_g, G.petroR9#_r, G.petroR9#_i, G.petroR9#_z, G.petroMagErr_u, G.petroMagErr_g, G.petroMagErr_r, G.petroMagErr_i, G.petroMagErr_z, G.deVPhi_u, G.deVPhi_g, G.deVPhi_r, G.deVPhi_i, G.deVPhi_z, G.expPhi_u, G.expPhi_g, G.expPhi_r, G.expPhi_i, G.expPhi_z, G.deVAB_u, G.deVAB_g, G.deVAB_r, G.deVAB_i, G.deVAB_z, G.expAB_u, G.expAB_g, G.expAB_r, G.expAB_i, G.expAB_z, G.fracDeV_u, G.fracDeV_g, G.fracDeV_r, G.fracDeV_i, G.fracDeV_z, ph.z as z2 from Galaxy as G, dbo.fGetNearestObjEq (#, #, #/#.) as N, photoz as ph where G.objID = N.objID and ph.objID = N.objID"
2019-08-15 20:35:00,32
2019-08-15 20:36:00,32
2019-08-15 20:37:00,32
2019-08-15 20:38:00,32
2019-08-15 20:39:00,32
2019-08-15 20:40:00,32
2019-08-15 20:41:00,32
2019-08-15 20:42:00,32
2019-08-15 20:43:00,32
2019-08-15 20:44:00,32
2019-08-15 20:45:00,32
2019-08-15 20:46:00,31
2019-08-15 20:47:00,32
2019-08-15 20:48:00,31
2019-08-15 20:49:00,31
2019-08-15 20:50:00,32
2019-08-15 20:51:00,31
2019-08-15 20:52:00,31
2019-08-15 20:53:00,32
2019-08-15 20:54:00,32
2019-08-15 20:55:00,31
2019-08-15 20:56:00,32
2019-08-15 20:57:00,32
2019-08-15 20:58:00,31
2019-08-15 20:59:00,32
2019-08-15 21:00:00,29
2019-08-15 21:01:00,32
2019-08-15 21:02:00,32
2019-08-15 21:03:00,31
2019-08-15 21:04:00,31
2019-08-15 21:05:00,28
2019-08-16 00:00:00,30
2019-08-16 00:01:00,31
2019-08-16 00:02:00,32
2019-08-16 00:03:00,31
2019-08-16 00:04:00,30
2019-08-16 00:05:00,26
2019-08-16 00:06:00,31
2019-08-16 00:07:00,30
2019-08-16 00:08:00,28
2019-08-16 00:09:00,29
2019-08-16 00:10:00,28
2019-08-16 00:11:00,28
2019-08-16 00:12:00,32
2019-08-16 00:13:00,30
2019-08-16 00:14:00,31
2019-08-16 00:15:00,31
2019-08-16 00:16:00,31
2019-08-16 00:17:00,31
2019-08-16 00:18:00,26
2019-08-16 00:19:00,32
2019-08-16 00:20:00,31
2019-08-16 00:21:00,31
2019-08-16 00:22:00,29
2019-08-16 00:23:00,30
2019-08-16 00:24:00,28
2019-08-16 00:25:00,31
2019-08-16 00:26:00,28
2019-08-16 00:27:00,26
2019-08-16 00:28:00,32
2019-08-16 00:29:00,32
2019-08-16 00:30:00,32
2019-08-16 00:31:00,32
2019-08-16 00:32:00,32
2019-08-16 00:33:00,32
2019-08-16 00:34:00,33
2019-08-16 00:35:00,32
2019-08-16 00:36:00,32
2019-08-16 00:37:00,32
2019-08-16 00:38:00,32
2019-08-16 00:39:00,32
2019-08-16 00:40:00,32
2019-08-16 00:41:00,32
2019-08-16 00:42:00,31
2019-08-16 00:43:00,28
2019-08-16 00:44:00,23
2019-08-16 00:45:00,30
2019-08-16 00:46:00,29
2019-08-16 00:47:00,31
2019-08-16 00:48:00,32
2019-08-16 00:49:00,31
2019-08-16 00:50:00,32
2019-08-16 00:51:00,32
2019-08-16 00:52:00,32
2019-08-16 00:53:00,32
2019-08-16 00:54:00,33
2019-08-16 00:55:00,32
2019-08-16 00:56:00,32
2019-08-16 00:57:00,33
2019-08-16 00:58:00,32
2019-08-16 00:59:00,32
2019-08-16 01:00:00,30
2019-08-16 01:01:00,32
2019-08-16 01:02:00,32
2019-08-16 01:03:00,32
2019-08-16 01:04:00,32
2019-08-16 01:05:00,32
2019-08-16 01:06:00,32
2019-08-16 01:07:00,32
2019-08-16 01:08:00,32
2019-08-16 01:09:00,32
2019-08-16 01:10:00,33
2019-08-16 01:11:00,32
2019-08-16 01:12:00,32
2019-08-16 01:13:00,33
2019-08-16 01:14:00,32
2019-08-16 01:15:00,32
2019-08-16 01:16:00,32
2019-08-16 01:17:00,33
2019-08-16 01:18:00,31
2019-08-16 01:19:00,33
2019-08-16 01:20:00,33
2019-08-16 01:21:00,28
2019-08-16 01:22:00,32
2019-08-16 01:23:00,32
2019-08-16 01:24:00,32
2019-08-16 01:25:00,32
2019-08-16 01:26:00,33
2019-08-16 01:27:00,32
2019-08-16 01:28:00,32
2019-08-16 01:29:00,33
2019-08-16 01:30:00,32
2019-08-16 01:31:00,25
