668,"select top # S.ra as sdss_ra, S.dec as sdss_dec, W.ra as wise_ra, W.dec as wise_dec, S.psfmag_r as r, W.w1mpro as w1 from wise_xmatch as X join wise_allsky as W on X.wise_cntr = W.cntr join photoTag as S on X.sdss_objid = S.objid where S.nchild = #"
2019-03-19 08:54:00,1
2019-03-19 09:55:00,1
2019-03-19 17:23:00,1
2019-03-19 17:24:00,5
2019-03-19 17:26:00,8
2019-03-20 21:17:00,1
2019-03-21 01:59:00,1
2019-03-21 09:26:00,1
2019-03-22 11:36:00,1
2019-03-22 17:01:00,1
2019-03-23 03:07:00,1
2019-03-23 04:19:00,1
2019-03-24 02:00:00,1
2019-03-24 18:04:00,1
2019-03-25 02:31:00,1
2019-03-25 06:47:00,1
2019-03-25 13:16:00,1
2019-03-26 00:31:00,1
2019-03-26 11:23:00,1
2019-03-26 12:20:00,1
2019-03-27 03:28:00,1
2019-03-27 19:53:00,1
2019-03-28 00:44:00,1
2019-03-28 17:55:00,1
2019-03-28 18:48:00,1
2019-03-30 00:08:00,1
2019-03-30 07:36:00,1
2019-03-30 10:07:00,1
2019-03-30 12:04:00,1
2019-03-30 12:53:00,1
2019-03-31 18:40:00,1
2019-04-01 20:19:00,1
2019-04-02 13:01:00,1
2019-04-02 13:14:00,1
2019-04-02 13:52:00,1
2019-04-04 13:48:00,1
2019-04-05 12:53:00,1
2019-04-06 22:13:00,1
2019-04-07 00:34:00,1
2019-04-07 15:09:00,1
2019-04-07 15:52:00,1
2019-04-07 19:24:00,1
2019-04-08 08:25:00,1
2019-04-08 22:15:00,1
2019-04-09 02:35:00,1
2019-04-09 09:33:00,1
2019-04-10 18:02:00,2
2019-04-10 21:38:00,1
2019-04-11 15:57:00,2
2019-04-11 16:03:00,1
2019-04-12 10:48:00,1
2019-04-13 18:44:00,1
2019-04-14 13:16:00,1
2019-04-14 15:57:00,1
2019-04-15 20:01:00,1
2019-04-16 03:43:00,1
2019-04-16 07:59:00,1
2019-04-16 21:42:00,1
2019-04-18 10:18:00,1
2019-04-18 10:19:00,1
2019-04-18 16:38:00,1
2019-04-18 17:17:00,1
2019-04-18 19:06:00,1
2019-04-19 00:26:00,1
2019-04-19 22:22:00,1
2019-04-21 07:33:00,1
2019-04-22 01:31:00,1
2019-04-22 12:43:00,1
2019-04-22 15:29:00,1
2019-04-22 20:04:00,1
2019-04-22 23:46:00,1
2019-04-24 02:51:00,1
2019-04-24 03:06:00,1
2019-04-26 12:05:00,1
2019-04-26 16:26:00,1
2019-04-27 11:55:00,1
2019-04-27 14:06:00,1
2019-04-27 23:01:00,1
2019-04-28 03:57:00,1
2019-04-28 11:01:00,1
2019-04-28 12:03:00,1
2019-04-28 13:27:00,1
2019-04-28 15:21:00,1
2019-04-29 04:25:00,1
2019-04-30 08:41:00,1
2019-04-30 11:54:00,1
2019-05-02 23:27:00,1
2019-05-04 15:48:00,1
2019-05-06 08:56:00,1
2019-05-06 20:07:00,1
2019-05-08 05:07:00,1
2019-05-10 00:13:00,1
2019-05-10 02:50:00,1
2019-05-11 07:33:00,1
2019-05-11 07:48:00,1
2019-05-12 11:07:00,1
2019-05-12 23:40:00,1
2019-05-13 09:09:00,1
2019-05-13 10:53:00,1
2019-05-14 01:42:00,1
2019-05-14 08:35:00,1
2019-05-15 23:20:00,1
2019-05-17 05:09:00,1
2019-05-17 05:14:00,1
2019-05-20 19:43:00,1
2019-05-21 06:15:00,1
2019-05-21 07:03:00,1
2019-05-21 13:08:00,1
2019-05-21 20:03:00,1
2019-05-22 05:43:00,1
2019-05-23 04:23:00,1
2019-05-23 09:53:00,1
2019-05-24 00:25:00,1
2019-05-24 20:13:00,1
2019-05-24 23:00:00,1
2019-05-25 00:04:00,1
2019-05-25 00:23:00,1
2019-05-25 07:41:00,1
2019-05-26 22:22:00,1
2019-05-27 12:47:00,1
2019-05-29 03:45:00,1
2019-05-29 04:52:00,1
2019-05-29 21:00:00,1
2019-05-30 04:22:00,1
2019-05-30 14:47:00,1
2019-05-31 00:09:00,1
2019-05-31 04:13:00,1
2019-05-31 18:03:00,1
2019-06-01 02:21:00,1
2019-06-01 17:55:00,1
2019-06-04 15:27:00,1
2019-06-05 07:58:00,1
2019-06-05 18:55:00,1
2019-06-07 00:50:00,1
2019-06-09 04:06:00,1
2019-06-10 07:30:00,1
2019-06-11 02:01:00,1
2019-06-11 16:42:00,1
2019-06-11 20:50:00,1
2019-06-12 05:18:00,1
2019-06-13 00:38:00,1
2019-06-13 06:15:00,1
2019-06-13 07:16:00,1
2019-06-13 11:33:00,1
2019-06-14 09:08:00,1
2019-06-15 00:10:00,1
2019-06-16 18:04:00,1
2019-06-16 18:43:00,1
2019-06-16 21:56:00,1
2019-06-18 05:30:00,1
2019-06-18 10:49:00,1
2019-06-18 23:52:00,1
2019-06-19 02:22:00,1
2019-06-19 03:52:00,1
2019-06-19 14:12:00,1
2019-06-19 14:35:00,1
2019-06-19 19:11:00,1
2019-06-20 03:13:00,1
2019-06-20 15:30:00,1
2019-06-20 23:02:00,1
2019-06-21 07:08:00,1
2019-06-23 12:31:00,1
2019-06-23 15:23:00,1
2019-06-23 18:07:00,1
2019-06-24 00:40:00,1
2019-06-24 21:02:00,1
2019-06-25 13:41:00,1
2019-06-25 16:07:00,1
2019-06-25 22:15:00,1
2019-06-26 00:41:00,1
2019-06-27 03:15:00,1
2019-06-27 11:23:00,1
2019-06-27 20:20:00,1
2019-06-29 17:29:00,1
2019-06-30 04:26:00,1
2019-06-30 18:06:00,1
2019-07-01 11:02:00,1
2019-07-02 16:09:00,1
2019-07-02 19:08:00,1
2019-07-03 03:55:00,1
2019-07-03 10:23:00,1
2019-07-05 12:30:00,1
2019-07-05 21:12:00,1
2019-07-05 23:46:00,1
2019-07-06 08:10:00,1
2019-07-07 02:46:00,1
2019-07-07 22:46:00,1
2019-07-08 06:04:00,1
2019-07-08 18:54:00,1
2019-07-08 22:14:00,1
2019-07-12 01:28:00,1
2019-07-12 03:38:00,1
2019-07-12 04:43:00,1
2019-07-12 06:08:00,1
2019-07-13 05:08:00,1
2019-07-14 02:30:00,1
2019-07-14 18:30:00,1
2019-07-14 20:32:00,1
2019-07-15 07:24:00,1
2019-07-15 18:40:00,1
2019-07-16 04:24:00,1
2019-07-16 14:39:00,1
2019-07-17 10:56:00,1
2019-07-17 11:33:00,1
2019-07-18 09:16:00,1
2019-07-18 12:44:00,1
2019-07-19 00:41:00,1
2019-07-20 01:22:00,1
2019-07-20 03:46:00,1
2019-07-20 04:52:00,1
2019-07-20 05:26:00,1
2019-07-20 21:04:00,1
2019-07-21 00:01:00,1
2019-07-21 01:07:00,1
2019-07-21 03:46:00,1
2019-07-21 21:46:00,1
2019-07-22 02:44:00,1
2019-07-22 13:48:00,1
2019-07-22 18:02:00,1
2019-07-23 15:48:00,1
2019-07-24 02:09:00,1
2019-07-24 23:22:00,1
2019-07-25 19:11:00,1
2019-07-25 19:59:00,1
2019-07-26 00:16:00,1
2019-07-26 18:51:00,1
2019-07-28 08:53:00,1
2019-07-28 22:53:00,1
2019-07-28 23:14:00,1
2019-07-30 03:37:00,1
2019-07-30 08:41:00,1
2019-07-30 11:44:00,1
2019-07-30 15:26:00,1
2019-07-30 15:47:00,1
2019-07-30 16:06:00,1
2019-08-02 02:08:00,1
2019-08-03 03:02:00,1
2019-08-04 21:52:00,1
2019-08-05 00:14:00,1
2019-08-05 10:37:00,1
2019-08-05 16:22:00,1
2019-08-09 08:43:00,1
2019-08-09 15:01:00,1
2019-08-09 18:00:00,1
2019-08-10 13:30:00,1
2019-08-11 01:19:00,1
2019-08-12 17:14:00,1
2019-08-12 18:35:00,1
2019-08-12 21:28:00,1
2019-08-13 16:18:00,1
2019-08-13 17:49:00,1
2019-08-14 01:52:00,1
2019-08-15 05:07:00,1
2019-08-15 05:30:00,1
2019-08-16 15:57:00,1
2019-08-18 10:21:00,1
2019-08-18 14:48:00,1
2019-08-19 02:48:00,1
2019-08-19 08:47:00,1
2019-08-19 18:10:00,1
2019-08-19 19:48:00,1
2019-08-21 19:11:00,1
2019-08-22 07:30:00,1
2019-08-22 11:22:00,1
2019-08-22 18:14:00,1
2019-08-23 14:33:00,1
2019-08-23 17:32:00,1
2019-08-23 21:37:00,1
2019-08-24 02:07:00,1
2019-08-24 11:15:00,1
2019-08-25 04:41:00,1
2019-08-25 12:46:00,1
2019-08-25 23:39:00,1
2019-08-27 23:09:00,1
2019-08-28 00:30:00,1
2019-08-30 00:17:00,1
2019-08-30 14:40:00,1
2019-08-31 07:37:00,1
2019-08-31 19:33:00,1
2019-08-31 21:45:00,1
2019-09-01 08:48:00,1
2019-09-01 10:34:00,1
2019-09-02 09:59:00,1
2019-09-02 12:58:00,1
2019-09-02 18:28:00,1
2019-09-03 01:02:00,1
2019-09-03 20:22:00,1
2019-09-06 05:36:00,1
2019-09-07 17:46:00,1
2019-09-08 09:35:00,1
2019-09-08 12:28:00,1
2019-09-08 18:14:00,1
2019-09-09 07:02:00,1
2019-09-10 08:34:00,1
2019-09-11 19:46:00,1
2019-09-11 23:13:00,1
2019-09-12 09:18:00,1
2019-09-13 18:55:00,1
2019-09-13 21:32:00,1
2019-09-15 06:36:00,1
2019-09-17 14:06:00,1
2019-09-17 18:08:00,1
2019-09-18 03:39:00,1
2019-09-18 07:51:00,1
2019-09-18 12:33:00,1
2019-09-18 14:24:00,1
2019-09-18 18:07:00,1
2019-09-18 19:32:00,1
2019-09-19 00:35:00,1
2019-09-19 03:29:00,1
2019-09-19 06:11:00,1
2019-09-19 18:25:00,1
2019-09-19 19:16:00,1
2019-09-20 01:03:00,1
2019-09-20 01:24:00,1
2019-09-20 03:58:00,1
2019-09-20 07:05:00,1
2019-09-20 11:34:00,1
2019-09-20 21:46:00,1
2019-09-21 13:27:00,1
2019-09-23 06:06:00,1
2019-09-24 00:54:00,1
2019-09-24 21:40:00,1
2019-09-25 07:48:00,1
2019-09-26 05:14:00,1
2019-09-27 07:58:00,1
2019-09-27 23:07:00,1
2019-09-28 05:43:00,1
2019-09-28 15:14:00,1
2019-09-29 19:22:00,1
2019-09-29 22:36:00,1
2019-10-02 05:20:00,1
2019-10-02 07:26:00,1
2019-10-03 10:13:00,1
2019-10-03 17:38:00,1
2019-10-03 20:26:00,1
2019-10-03 21:57:00,1
2019-10-04 09:51:00,1
2019-10-04 14:23:00,1
2019-10-05 10:14:00,1
2019-10-07 13:04:00,1
2019-10-08 03:53:00,1
2019-10-08 19:53:00,1
2019-10-09 17:28:00,1
2019-10-10 03:12:00,1
2019-10-10 08:00:00,1
2019-10-10 12:34:00,1
2019-10-10 14:55:00,1
2019-10-11 05:08:00,1
2019-10-11 19:16:00,1
2019-10-12 07:01:00,1
2019-10-12 16:12:00,1
2019-10-14 05:42:00,1
2019-10-14 07:15:00,1
2019-10-15 19:17:00,1
2019-10-16 02:37:00,1
2019-10-16 04:23:00,1
2019-10-16 13:03:00,1
2019-10-17 05:18:00,1
2019-10-17 05:52:00,1
2019-10-17 08:29:00,1
2019-10-17 13:16:00,1
2019-10-17 20:19:00,1
2019-10-18 18:16:00,1
2019-10-19 09:28:00,1
2019-10-20 12:38:00,1
2019-10-21 02:40:00,1
2019-10-21 11:09:00,1
2019-10-21 13:19:00,1
2019-10-22 00:25:00,1
2019-10-22 06:47:00,1
2019-10-22 08:10:00,1
2019-10-22 08:27:00,1
2019-10-22 19:24:00,1
2019-10-22 21:03:00,1
2019-10-23 00:07:00,1
2019-10-23 04:13:00,1
2019-10-23 11:57:00,1
2019-10-23 17:44:00,1
2019-10-23 21:43:00,1
2019-10-24 02:29:00,1
2019-10-24 15:25:00,1
2019-10-24 21:50:00,1
2019-10-25 14:53:00,1
2019-10-26 05:59:00,1
2019-10-26 18:19:00,1
2019-10-29 16:30:00,1
2019-11-01 10:10:00,1
2019-11-01 21:18:00,1
2019-11-02 00:25:00,1
2019-11-02 08:09:00,1
2019-11-02 11:33:00,1
2019-11-02 20:56:00,1
2019-11-03 02:15:00,1
2019-11-03 10:33:00,1
2019-11-03 17:39:00,1
2019-11-04 14:08:00,1
2019-11-04 16:52:00,1
2019-11-05 06:42:00,1
2019-11-05 21:48:00,1
2019-11-08 19:59:00,1
2019-11-08 21:19:00,1
2019-11-08 23:32:00,1
2019-11-09 10:54:00,1
2019-11-09 15:00:00,1
2019-11-09 16:48:00,1
2019-11-10 11:29:00,1
2019-11-11 21:05:00,1
2019-11-12 03:42:00,1
2019-11-12 19:13:00,1
2019-11-13 19:21:00,1
2019-11-13 23:40:00,1
2019-11-14 01:24:00,1
2019-11-14 11:43:00,1
2019-11-14 19:30:00,1
2019-11-14 21:09:00,1
2019-11-14 21:29:00,1
2019-11-14 22:43:00,1
2019-11-15 00:28:00,1
2019-11-15 03:00:00,1
2019-11-15 03:11:00,1
2019-11-15 04:59:00,1
2019-11-15 16:12:00,1
2019-11-15 21:03:00,1
2019-11-16 07:39:00,1
2019-11-16 07:55:00,1
2019-11-16 13:17:00,1
2019-11-17 06:36:00,1
2019-11-18 10:09:00,1
2019-11-19 00:33:00,1
2019-11-19 04:32:00,1
2019-11-19 19:27:00,1
2019-11-22 09:03:00,1
2019-11-22 16:39:00,1
2019-11-23 17:43:00,1
2019-11-24 11:46:00,1
2019-11-24 21:35:00,1
2019-11-27 10:47:00,1
2019-11-27 13:01:00,1
2019-11-28 03:27:00,1
2019-11-29 02:44:00,1
2019-11-29 03:54:00,1
2019-11-30 03:43:00,1
2019-11-30 10:19:00,1
2019-12-01 00:36:00,1
2019-12-01 00:40:00,1
2019-12-01 11:55:00,1
2019-12-01 21:06:00,1
2019-12-03 03:39:00,1
2019-12-04 11:01:00,1
2019-12-04 12:39:00,1
2019-12-05 00:21:00,1
2019-12-05 01:09:00,1
2019-12-05 03:04:00,1
2019-12-05 11:06:00,1
2019-12-05 11:08:00,1
2019-12-05 16:12:00,1
2019-12-05 21:20:00,1
2019-12-06 01:12:00,1
2019-12-06 10:51:00,1
2019-12-06 16:08:00,1
2019-12-06 19:19:00,1
2019-12-06 19:26:00,3
2019-12-06 19:27:00,1
2019-12-06 19:28:00,1
2019-12-06 19:29:00,3
2019-12-06 19:42:00,1
2019-12-06 19:43:00,1
2019-12-06 20:13:00,1
2019-12-06 22:44:00,1
2019-12-07 01:20:00,1
2019-12-07 11:37:00,1
2019-12-07 13:55:00,1
2019-12-07 14:45:00,1
2019-12-07 20:44:00,1
2019-12-07 21:39:00,1
2019-12-08 03:10:00,1
2019-12-08 05:50:00,1
2019-12-08 11:50:00,1
2019-12-08 14:38:00,1
2019-12-08 20:59:00,1
2019-12-09 03:41:00,1
2019-12-09 03:44:00,1
2019-12-09 05:57:00,1
2019-12-09 05:58:00,1
2019-12-09 07:30:00,1
2019-12-09 14:57:00,1
2019-12-09 22:27:00,1
2019-12-10 13:07:00,1
2019-12-11 12:15:00,1
2019-12-12 00:55:00,1
2019-12-12 02:37:00,1
2019-12-12 10:57:00,1
2019-12-12 15:14:00,1
2019-12-13 10:37:00,1
2019-12-13 12:38:00,1
2019-12-13 13:56:00,1
2019-12-13 14:06:00,1
2019-12-14 13:28:00,1
2019-12-15 16:29:00,1
2019-12-16 23:02:00,1
2019-12-17 00:23:00,1
2019-12-18 09:35:00,1
2019-12-18 10:31:00,2
2019-12-18 10:59:00,1
2019-12-19 17:00:00,1
2019-12-19 17:02:00,1
2019-12-20 09:12:00,1
2019-12-20 17:25:00,1
2019-12-20 19:15:00,1
2019-12-22 07:13:00,2
2019-12-22 14:11:00,1
2019-12-22 15:29:00,1
2019-12-23 09:00:00,1
2019-12-23 22:27:00,1
2019-12-24 02:58:00,1
2019-12-24 03:36:00,1
2019-12-24 12:42:00,1
2019-12-25 05:14:00,1
2019-12-25 05:59:00,1
2019-12-26 03:16:00,1
2019-12-26 15:24:00,1
2019-12-27 00:07:00,1
2019-12-27 00:17:00,1
2019-12-27 07:38:00,1
2019-12-27 13:22:00,1
2019-12-27 22:15:00,1
2019-12-28 14:54:00,1
2019-12-28 15:13:00,1
2019-12-29 00:01:00,1
2019-12-30 07:03:00,1
2019-12-30 08:09:00,1
