7912,"SELECT ra, dec, dered_u, dered_g, dered_r, dered_i, dered_z, Err_u, Err_g, Err_r, Err_i, Err_z, flags_r, run FROM Galaxy WHERE (run = # OR run = #) AND ra BETWEEN # and # AND dec BETWEEN # and #"
2019-03-12 08:25:00,33
2019-03-12 08:26:00,33
2019-03-12 08:27:00,39
2019-03-12 08:28:00,31
2019-03-12 08:29:00,31
2019-03-12 08:30:00,38
2019-03-12 08:31:00,32
2019-03-12 08:32:00,32
2019-03-12 08:33:00,37
2019-03-12 08:34:00,33
2019-03-12 08:35:00,30
2019-03-12 08:36:00,29
2019-03-12 08:37:00,24
2019-03-12 08:38:00,16
2019-03-12 08:39:00,6
2019-03-12 08:40:00,8
2019-03-12 08:41:00,4
2019-03-12 08:42:00,3
2019-03-12 08:43:00,3
2019-03-25 13:16:00,1
2019-03-25 13:17:00,1
2019-03-25 13:18:00,4
2019-03-25 13:19:00,18
2019-03-25 13:20:00,9
2019-03-25 13:21:00,10
2019-03-25 13:22:00,6
2019-03-25 13:23:00,12
2019-03-25 13:24:00,7
2019-03-25 13:25:00,16
2019-03-25 13:26:00,5
2019-03-25 13:27:00,13
2019-03-25 13:28:00,14
2019-03-25 13:29:00,5
2019-03-25 13:30:00,10
2019-03-25 13:31:00,10
2019-03-25 13:32:00,11
2019-03-25 13:33:00,10
2019-03-25 13:34:00,9
2019-03-25 13:35:00,11
2019-03-25 13:36:00,15
2019-03-25 13:37:00,16
2019-03-25 13:38:00,8
2019-03-25 13:39:00,13
2019-03-25 13:40:00,11
2019-03-25 13:41:00,17
2019-03-25 13:42:00,8
2019-03-25 13:43:00,12
2019-03-25 13:44:00,9
2019-03-25 13:45:00,7
2019-03-25 13:46:00,10
2019-03-25 13:47:00,11
2019-03-25 13:48:00,12
2019-03-25 13:49:00,9
2019-03-25 13:50:00,12
2019-03-25 13:51:00,6
2019-03-25 13:52:00,7
2019-03-25 13:53:00,9
2019-03-25 13:54:00,14
2019-03-25 13:55:00,14
2019-03-25 13:56:00,36
2019-03-25 13:57:00,17
2019-03-25 13:58:00,15
2019-03-25 13:59:00,22
2019-03-25 14:00:00,21
2019-03-25 14:01:00,26
2019-03-25 14:02:00,22
2019-03-25 14:03:00,27
2019-03-25 14:04:00,37
2019-03-25 14:05:00,28
2019-03-25 14:06:00,37
2019-03-25 14:07:00,27
2019-03-25 14:08:00,28
2019-03-25 14:09:00,33
2019-03-25 14:10:00,28
2019-03-25 14:11:00,17
2019-03-25 14:12:00,20
2019-03-25 14:13:00,24
2019-03-25 14:14:00,29
2019-03-25 14:15:00,19
2019-03-25 14:16:00,18
2019-03-25 14:17:00,8
2019-03-25 14:18:00,7
2019-03-25 14:19:00,11
2019-03-25 14:20:00,13
2019-03-25 14:21:00,19
2019-03-25 14:22:00,17
2019-03-25 14:23:00,12
2019-03-25 14:24:00,17
2019-03-25 14:25:00,18
2019-03-25 14:26:00,17
2019-03-25 14:27:00,10
2019-03-25 14:28:00,13
2019-03-25 14:29:00,11
2019-03-25 14:30:00,13
2019-03-25 14:31:00,11
2019-03-25 14:32:00,13
2019-03-25 14:33:00,11
2019-03-25 14:34:00,15
2019-03-25 14:35:00,13
2019-03-25 14:36:00,12
2019-03-25 14:37:00,7
2019-03-25 14:38:00,12
2019-03-25 14:39:00,8
2019-03-25 14:40:00,11
2019-03-25 14:41:00,12
2019-03-25 14:42:00,13
2019-03-25 14:43:00,12
2019-03-25 14:44:00,11
2019-03-25 14:45:00,12
2019-03-25 14:46:00,12
2019-03-25 14:47:00,9
2019-03-25 14:48:00,7
2019-03-25 14:49:00,15
2019-03-25 14:50:00,11
2019-03-25 14:51:00,11
2019-03-25 14:52:00,13
2019-03-25 14:53:00,14
2019-03-25 14:54:00,14
2019-03-25 14:55:00,15
2019-03-25 14:56:00,12
2019-03-25 14:57:00,21
2019-03-25 14:58:00,9
2019-03-25 14:59:00,7
2019-03-25 15:00:00,23
2019-03-25 15:01:00,27
2019-03-25 15:02:00,21
2019-03-25 15:03:00,18
2019-03-25 15:04:00,29
2019-03-25 15:05:00,20
2019-03-25 15:06:00,14
2019-03-25 15:07:00,17
2019-03-25 15:08:00,24
2019-03-25 15:09:00,31
2019-03-25 15:10:00,24
2019-03-25 15:11:00,30
2019-03-25 15:12:00,25
2019-03-25 15:13:00,25
2019-03-25 15:14:00,28
2019-03-25 15:15:00,33
2019-03-25 15:16:00,28
2019-03-25 15:17:00,20
2019-03-25 15:18:00,26
2019-03-25 15:19:00,29
2019-03-25 15:20:00,18
2019-03-25 15:21:00,22
2019-03-25 15:22:00,16
2019-03-25 15:23:00,20
2019-03-25 15:24:00,23
2019-03-25 15:25:00,30
2019-03-25 15:26:00,20
2019-03-25 15:27:00,11
2019-03-25 15:28:00,20
2019-03-25 15:29:00,12
2019-03-25 15:30:00,12
2019-03-25 15:31:00,19
2019-03-25 15:32:00,13
2019-03-25 15:33:00,14
2019-03-25 15:34:00,11
2019-03-25 15:35:00,9
2019-03-25 15:36:00,19
2019-03-25 15:37:00,17
2019-03-25 15:38:00,12
2019-03-25 15:39:00,12
2019-03-25 15:40:00,12
2019-03-25 15:41:00,17
2019-03-25 15:42:00,14
2019-03-25 15:43:00,8
2019-03-25 15:44:00,16
2019-03-25 15:45:00,14
2019-03-25 15:46:00,13
2019-03-25 15:47:00,14
2019-03-25 15:48:00,14
2019-03-25 15:49:00,9
2019-03-25 15:50:00,14
2019-03-25 15:51:00,14
2019-03-25 15:52:00,11
2019-03-25 15:53:00,9
2019-03-25 15:54:00,13
2019-03-25 15:55:00,14
2019-03-25 15:56:00,9
2019-03-25 15:57:00,17
2019-03-25 15:58:00,21
2019-03-25 15:59:00,16
2019-03-25 16:00:00,20
2019-03-25 16:01:00,21
2019-03-25 16:02:00,19
2019-03-25 16:03:00,24
2019-03-25 16:04:00,17
2019-03-25 16:05:00,21
2019-03-25 16:06:00,23
2019-03-25 16:07:00,21
2019-03-25 16:08:00,20
2019-03-25 16:09:00,21
2019-03-25 16:10:00,23
2019-03-25 16:11:00,27
2019-03-25 16:12:00,27
2019-03-25 16:13:00,25
2019-03-25 16:14:00,31
2019-03-25 16:15:00,41
2019-03-25 16:16:00,30
2019-03-25 16:17:00,35
2019-03-25 16:18:00,38
2019-03-25 16:19:00,39
2019-03-25 16:20:00,37
2019-03-25 16:21:00,23
2019-03-25 16:22:00,28
2019-03-25 16:23:00,29
2019-03-25 16:24:00,40
2019-03-25 16:25:00,28
2019-03-25 16:26:00,19
2019-03-25 16:27:00,36
2019-03-25 16:28:00,32
2019-03-25 16:29:00,30
2019-03-25 16:30:00,25
2019-03-25 16:31:00,25
2019-03-25 16:32:00,24
2019-03-25 16:33:00,19
2019-03-25 16:34:00,15
2019-03-25 16:35:00,20
2019-03-25 16:36:00,14
2019-03-25 16:37:00,23
2019-03-25 16:38:00,21
2019-03-25 16:39:00,12
2019-03-25 16:40:00,11
2019-03-25 16:41:00,14
2019-03-25 16:42:00,10
2019-03-25 16:43:00,13
2019-03-25 16:44:00,8
2019-03-25 16:45:00,9
2019-03-25 16:46:00,14
2019-03-25 16:47:00,11
2019-03-25 16:48:00,6
2019-03-25 16:49:00,4
2019-03-25 16:50:00,6
2019-03-25 16:51:00,4
2019-03-25 16:52:00,5
2019-03-25 16:53:00,3
2019-03-25 16:54:00,5
2019-03-25 16:55:00,2
2019-03-25 16:56:00,3
2019-03-25 16:57:00,1
2019-03-25 16:58:00,3
2019-03-25 16:59:00,2
2019-03-25 17:01:00,1
2019-04-01 00:38:00,21
2019-04-01 00:39:00,14
2019-04-01 00:40:00,29
2019-04-01 00:41:00,47
2019-04-01 00:42:00,32
2019-04-01 00:43:00,26
2019-04-01 00:44:00,15
2019-04-01 00:45:00,13
2019-04-01 00:46:00,17
2019-04-01 00:47:00,19
2019-04-01 00:48:00,19
2019-04-01 00:49:00,32
2019-04-01 00:50:00,44
2019-04-01 00:51:00,58
2019-04-01 00:52:00,26
2019-04-01 00:53:00,28
2019-04-01 00:54:00,26
2019-04-01 00:55:00,17
2019-04-01 00:56:00,7
2019-04-01 00:57:00,1
2019-04-01 00:58:00,2
2019-04-17 07:15:00,16
2019-04-17 07:16:00,15
2019-04-17 07:17:00,15
2019-04-17 07:18:00,12
2019-04-17 07:19:00,16
2019-04-17 07:20:00,10
2019-04-17 07:21:00,14
2019-04-17 07:22:00,13
2019-04-17 07:23:00,13
2019-04-17 07:24:00,16
2019-04-17 07:25:00,15
2019-04-17 07:26:00,14
2019-04-17 07:27:00,14
2019-04-17 07:28:00,15
2019-04-17 07:29:00,17
2019-04-17 07:30:00,12
2019-04-17 07:31:00,15
2019-04-17 07:32:00,11
2019-04-17 07:33:00,13
2019-04-17 07:34:00,13
2019-04-17 07:35:00,13
2019-04-17 07:36:00,15
2019-04-17 07:37:00,20
2019-04-17 07:38:00,13
2019-04-17 07:39:00,24
2019-04-17 07:40:00,45
2019-04-17 07:41:00,66
2019-04-17 07:42:00,54
2019-04-17 07:43:00,67
2019-04-17 07:44:00,57
2019-04-17 07:45:00,65
2019-04-17 07:46:00,43
2019-04-17 07:47:00,48
2019-04-17 07:48:00,46
2019-04-17 07:49:00,21
2019-04-17 07:50:00,16
2019-04-17 07:51:00,9
2019-04-17 07:52:00,11
2019-04-17 07:53:00,16
2019-04-17 07:54:00,10
2019-04-17 07:55:00,10
2019-04-17 07:56:00,15
2019-04-17 07:57:00,17
2019-04-17 07:58:00,17
2019-04-17 07:59:00,13
2019-04-17 08:00:00,10
2019-04-17 08:01:00,21
2019-04-17 08:02:00,14
2019-04-17 08:03:00,10
2019-04-17 08:04:00,15
2019-04-17 08:05:00,12
2019-04-17 08:06:00,17
2019-04-17 08:07:00,11
2019-04-17 08:08:00,15
2019-04-17 08:09:00,14
2019-04-17 08:10:00,16
2019-04-17 08:11:00,16
2019-04-17 08:12:00,9
2019-04-17 08:13:00,13
2019-04-17 08:14:00,23
2019-04-17 08:15:00,18
2019-04-17 08:16:00,12
2019-04-17 08:17:00,22
2019-04-17 08:18:00,16
2019-04-17 08:19:00,18
2019-04-17 08:20:00,12
2019-04-17 08:21:00,17
2019-04-17 08:22:00,22
2019-04-17 08:23:00,31
2019-04-17 08:24:00,43
2019-04-17 08:25:00,48
2019-04-17 08:26:00,41
2019-04-17 08:27:00,49
2019-04-17 08:28:00,49
2019-04-17 08:29:00,41
2019-04-17 08:30:00,36
2019-04-17 08:31:00,22
2019-04-17 08:32:00,31
2019-04-17 08:33:00,18
2019-04-17 08:34:00,32
2019-04-17 08:35:00,17
2019-04-17 08:36:00,24
2019-04-17 08:37:00,17
2019-04-17 08:38:00,13
2019-04-17 08:39:00,10
2019-04-17 08:40:00,13
2019-04-17 08:41:00,9
2019-04-17 08:42:00,3
2019-04-17 08:43:00,5
2019-04-17 08:44:00,5
2019-04-17 08:46:00,1
2019-04-17 08:47:00,2
2019-04-17 08:49:00,3
2019-04-17 08:51:00,1
2019-04-17 08:53:00,2
2019-04-17 09:01:00,1
2019-04-17 09:02:00,2
2019-04-17 09:05:00,1
2019-04-17 09:06:00,1
2019-04-17 09:07:00,1
2019-04-17 09:08:00,1
2019-04-17 09:11:00,1
2019-04-17 09:15:00,1
2019-04-17 09:16:00,2
2019-04-17 09:17:00,1
2019-04-17 09:18:00,1
2019-04-17 09:19:00,2
2019-04-17 09:20:00,1
2019-04-17 09:21:00,1
2019-04-17 09:22:00,1
