1045,"SELECT p.objId, p.ra, p.dec, p.petror9#_r, p.expAB_r, p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i, s.z, s.plate, s.mjd, s.fiberid FROM galaxy AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.petror9#_r > # and p.ra between # and # and s.z between # and # and p.g < #"
2019-11-21 12:10:00,1
2019-11-21 12:11:00,2
2019-11-21 12:14:00,1
2019-11-21 12:17:00,1
2019-11-21 12:20:00,1
2019-11-21 12:21:00,1
2019-11-21 12:27:00,1
2019-11-21 16:56:00,1
2019-11-21 16:58:00,1
2019-11-22 03:31:00,1
2019-11-22 04:03:00,1
2019-11-22 04:05:00,1
2019-11-22 04:07:00,1
2019-11-22 04:49:00,2
2019-11-22 04:50:00,1
2019-11-22 06:54:00,1
2019-11-22 08:58:00,1
2019-11-22 09:38:00,1
2019-11-22 12:01:00,1
2019-11-23 06:43:00,1
2019-11-23 06:47:00,1
2019-11-23 06:49:00,1
2019-11-23 07:29:00,1
2019-11-23 08:55:00,1
2019-11-23 08:56:00,1
2019-11-23 09:30:00,2
2019-11-23 11:55:00,1
2019-11-23 14:46:00,1
2019-11-23 16:30:00,1
2019-11-24 06:53:00,2
2019-11-24 07:46:00,1
2019-11-24 10:13:00,1
2019-11-24 10:58:00,1
2019-11-24 11:59:00,1
2019-11-24 12:29:00,1
2019-11-24 13:22:00,2
2019-11-24 15:00:00,1
2019-11-24 16:18:00,1
2019-11-25 05:47:00,1
2019-11-25 05:49:00,1
2019-11-25 06:23:00,2
2019-11-25 06:36:00,1
2019-11-25 06:55:00,1
2019-11-25 06:56:00,1
2019-11-25 06:58:00,1
2019-11-25 07:23:00,1
2019-11-25 07:50:00,1
2019-11-25 08:06:00,1
2019-11-25 08:07:00,1
2019-11-25 08:12:00,1
2019-11-25 08:54:00,1
2019-11-25 10:36:00,1
2019-11-25 12:33:00,1
2019-11-25 14:24:00,1
2019-11-25 14:45:00,1
2019-11-25 16:01:00,1
2019-11-25 16:10:00,2
2019-11-25 16:25:00,1
2019-11-25 19:30:00,1
2019-11-25 19:56:00,1
2019-11-26 05:09:00,1
2019-11-26 05:10:00,1
2019-11-26 05:15:00,1
2019-11-26 05:25:00,1
2019-11-26 05:30:00,1
2019-11-26 05:40:00,1
2019-11-26 05:46:00,1
2019-11-26 06:01:00,1
2019-11-26 06:22:00,1
2019-11-26 06:26:00,1
2019-11-26 06:44:00,1
2019-11-26 07:13:00,2
2019-11-26 07:20:00,1
2019-11-26 07:31:00,1
