22260,"SELECT g.objID, g.type, g.ra, g.dec, g.dered_u, g.dered_g, g.dered_r, g.dered_i, g.dered_z, g.modelMagErr_u, g.modelMagErr_g, g.modelMagErr_r, g.modelMagErr_i, g.modelMagErr_z, s.snMedian, s.zWarning, s.zWarning_noqso, s.z_noqso, s.zErr_noqso, s.z as zs, s.zErr as zs_Err, p.z as zp, p.zErr as zp_Err, p.photoErrorClass, dbo.fPhotoFlagsN (g.flags) as flags, g.insideMask as inmask FROM PhotoPrimary g JOIN Photoz p ON p.objID = g.objID JOIN dbo.fGetNearbyObjEq (#, #, #) n ON n.objID = g.objID LEFT JOIN SpecObj s ON s.fluxObjID = g.objID WHERE g.dered_i< # and (g.flags & dbo.fPhotoFlags (#) ) = # and (g.flags & dbo.fPhotoFlags (#) ) = # and (g.flags & dbo.fPhotoFlags (#) ) = # and (g.insideMask & #) = # and (g.insideMask & #) = # and (g.insideMask & #) = # and (g.insideMask & #) = #"
2019-04-11 23:53:00,3
2019-04-11 23:54:00,3
2019-04-11 23:55:00,7
2019-04-11 23:57:00,4
2019-04-11 23:58:00,14
2019-04-11 23:59:00,13
2019-04-12 00:00:00,17
2019-04-12 00:01:00,5
2019-04-12 00:02:00,11
2019-04-12 00:03:00,2
2019-04-12 00:04:00,9
2019-04-12 00:05:00,1
2019-04-12 00:06:00,19
2019-04-12 00:07:00,14
2019-04-12 00:08:00,12
2019-04-12 00:09:00,16
2019-04-12 00:10:00,25
2019-04-12 00:11:00,20
2019-04-12 00:12:00,9
2019-04-12 00:13:00,17
2019-04-12 00:14:00,14
2019-04-12 00:15:00,9
2019-04-12 00:16:00,3
2019-04-12 00:17:00,1
2019-04-12 00:18:00,8
2019-04-12 00:19:00,14
2019-04-12 00:20:00,47
2019-04-12 00:21:00,19
2019-04-12 00:22:00,22
2019-04-12 00:23:00,24
2019-04-12 00:24:00,21
2019-04-12 00:25:00,14
2019-04-12 00:26:00,10
2019-04-12 00:27:00,4
2019-04-12 00:28:00,4
2019-04-12 00:29:00,2
2019-04-12 00:30:00,5
2019-04-12 00:31:00,2
2019-04-12 00:32:00,1
2019-04-12 00:33:00,4
2019-04-12 00:34:00,2
2019-04-12 00:35:00,6
2019-04-12 00:36:00,1
2019-04-12 00:37:00,1
2019-04-12 00:38:00,3
2019-04-12 00:39:00,4
2019-04-12 00:40:00,2
2019-04-12 00:41:00,9
2019-04-12 00:42:00,15
2019-04-12 00:43:00,11
2019-04-12 00:44:00,13
2019-04-12 00:45:00,12
2019-04-12 00:46:00,20
2019-04-12 00:47:00,11
2019-04-12 00:48:00,16
2019-04-12 00:49:00,15
2019-04-12 00:50:00,13
2019-04-12 00:51:00,8
2019-04-12 00:52:00,5
2019-04-12 00:53:00,7
2019-04-12 00:54:00,14
2019-04-12 00:55:00,11
2019-04-12 00:56:00,11
2019-04-12 00:57:00,5
2019-04-12 00:58:00,2
2019-04-12 00:59:00,4
2019-04-12 01:00:00,1
2019-04-12 01:01:00,8
2019-04-12 01:02:00,7
2019-04-12 01:03:00,9
2019-04-12 01:04:00,16
2019-04-12 01:05:00,2
2019-04-12 01:06:00,2
2019-04-12 01:07:00,2
2019-04-12 01:08:00,3
2019-04-12 01:09:00,4
2019-04-12 01:10:00,4
2019-04-12 01:11:00,6
2019-04-12 01:12:00,9
2019-04-12 01:13:00,4
2019-04-12 01:14:00,1
2019-04-12 01:15:00,5
2019-04-12 01:16:00,2
2019-04-12 01:17:00,5
2019-04-12 01:18:00,4
2019-04-12 01:19:00,13
2019-04-12 01:20:00,13
2019-04-12 01:21:00,9
2019-04-12 01:22:00,3
2019-04-12 01:23:00,1
2019-04-12 01:24:00,2
2019-04-12 01:25:00,5
2019-04-12 01:26:00,3
2019-04-12 01:27:00,13
2019-04-12 01:28:00,12
2019-04-12 01:29:00,13
2019-04-12 01:30:00,12
2019-04-12 01:31:00,9
2019-04-12 01:32:00,3
2019-04-12 01:33:00,4
2019-04-12 01:35:00,1
2019-04-12 01:36:00,5
2019-04-12 01:37:00,3
2019-04-12 01:38:00,3
2019-04-12 01:39:00,2
2019-04-12 01:40:00,2
2019-04-12 01:41:00,3
2019-04-12 01:42:00,12
2019-04-12 01:43:00,12
2019-04-12 01:44:00,14
2019-04-12 01:45:00,26
2019-04-12 01:46:00,27
2019-04-12 01:47:00,23
2019-04-12 01:48:00,16
2019-04-12 01:49:00,11
2019-04-12 01:50:00,3
2019-04-12 01:51:00,8
2019-04-12 01:52:00,3
2019-04-12 01:53:00,3
2019-04-12 01:54:00,2
2019-04-12 01:55:00,4
2019-04-12 01:56:00,2
2019-04-12 01:57:00,3
2019-04-12 01:58:00,5
2019-04-12 01:59:00,3
2019-04-12 02:00:00,5
2019-04-12 02:01:00,10
2019-04-12 02:02:00,5
2019-04-12 02:03:00,3
2019-04-12 02:04:00,2
2019-04-12 02:05:00,2
2019-04-12 02:06:00,13
2019-04-12 02:07:00,9
2019-04-12 02:08:00,10
2019-04-12 02:09:00,21
2019-04-12 02:10:00,13
2019-04-12 02:11:00,13
2019-04-12 02:12:00,10
2019-04-12 02:13:00,4
2019-04-12 02:14:00,5
2019-04-12 02:15:00,4
2019-04-12 02:16:00,4
2019-04-12 02:17:00,4
2019-04-12 02:18:00,2
2019-04-12 02:19:00,4
2019-04-12 02:20:00,4
2019-04-12 02:21:00,3
2019-04-12 02:23:00,3
2019-04-12 02:24:00,1
2019-04-12 02:25:00,8
2019-04-12 02:26:00,3
2019-04-12 02:27:00,5
2019-04-12 02:28:00,1
2019-04-12 02:29:00,3
2019-04-12 02:30:00,11
2019-04-12 02:31:00,17
2019-04-12 02:32:00,24
2019-04-12 02:33:00,24
2019-04-12 02:34:00,22
2019-04-12 02:35:00,17
2019-04-12 02:36:00,3
2019-04-12 02:37:00,3
2019-04-12 02:38:00,2
2019-04-12 02:39:00,1
2019-04-12 02:40:00,6
2019-04-12 02:41:00,3
2019-04-12 02:43:00,9
2019-04-12 02:44:00,11
2019-04-12 02:45:00,10
2019-04-12 02:46:00,1
2019-04-12 02:47:00,4
2019-04-12 02:48:00,4
2019-04-12 02:49:00,5
2019-04-12 02:50:00,4
2019-04-12 02:51:00,13
2019-04-12 02:52:00,17
2019-04-12 02:53:00,15
2019-04-12 02:54:00,7
2019-04-12 02:55:00,2
2019-04-12 02:56:00,5
2019-04-12 02:57:00,18
2019-04-12 02:58:00,12
2019-04-12 02:59:00,10
2019-04-12 03:00:00,11
2019-04-12 03:01:00,4
2019-04-12 03:02:00,2
2019-04-12 03:03:00,1
2019-04-12 03:04:00,6
2019-04-12 03:05:00,12
2019-04-12 03:06:00,3
2019-04-12 03:07:00,8
2019-04-12 03:08:00,3
2019-04-12 03:09:00,3
2019-04-12 03:10:00,1
2019-04-12 03:11:00,5
2019-04-12 03:12:00,3
2019-04-12 03:13:00,2
2019-04-12 03:14:00,4
2019-04-12 03:15:00,2
2019-04-12 03:16:00,3
2019-04-12 03:17:00,2
2019-04-12 03:18:00,4
2019-04-12 03:19:00,1
2019-04-12 03:20:00,4
2019-04-12 03:21:00,1
2019-04-12 03:22:00,4
2019-04-12 03:23:00,2
2019-04-12 03:24:00,2
2019-04-12 03:25:00,4
2019-04-12 03:26:00,3
2019-04-12 03:27:00,2
2019-04-12 03:28:00,1
2019-04-12 03:29:00,3
2019-04-12 03:30:00,5
2019-04-12 03:31:00,1
2019-04-12 03:32:00,2
2019-04-12 03:33:00,2
2019-04-12 03:34:00,6
2019-04-12 03:35:00,9
2019-04-12 03:36:00,5
2019-04-12 03:37:00,2
2019-04-12 03:38:00,4
2019-04-12 03:39:00,11
2019-04-12 03:40:00,4
2019-04-12 03:41:00,4
2019-04-12 03:42:00,6
2019-04-12 03:43:00,11
2019-04-12 03:44:00,11
2019-04-12 03:45:00,3
2019-04-12 03:46:00,6
2019-04-12 03:47:00,4
2019-04-12 03:48:00,4
2019-04-12 03:49:00,1
2019-04-12 03:50:00,7
2019-04-12 03:51:00,3
2019-04-12 03:53:00,1
2019-04-12 03:54:00,6
2019-04-12 03:55:00,3
2019-04-12 03:56:00,3
2019-04-12 03:57:00,9
2019-04-12 03:58:00,4
2019-04-12 03:59:00,4
2019-04-12 04:00:00,9
2019-04-12 04:01:00,2
2019-04-12 04:05:00,3
2019-04-12 04:06:00,4
2019-04-12 04:07:00,2
2019-04-12 04:08:00,11
2019-04-12 04:09:00,14
2019-04-12 04:10:00,12
2019-04-12 04:11:00,9
2019-04-12 04:12:00,5
2019-04-12 04:13:00,2
2019-04-12 04:14:00,7
2019-04-12 04:16:00,8
2019-04-12 04:17:00,5
2019-04-12 04:18:00,2
2019-04-12 04:19:00,2
2019-04-12 04:20:00,3
2019-04-12 04:21:00,2
2019-04-12 04:22:00,4
2019-04-12 04:23:00,2
2019-04-12 04:24:00,1
2019-04-12 04:25:00,5
2019-04-12 04:26:00,5
2019-04-12 04:27:00,11
2019-04-12 04:28:00,5
2019-04-12 04:29:00,4
2019-04-12 04:30:00,3
2019-04-12 04:31:00,3
2019-04-12 04:32:00,4
2019-04-12 04:33:00,1
2019-04-12 04:34:00,2
2019-04-12 04:35:00,7
2019-04-12 04:36:00,3
2019-04-12 04:37:00,1
2019-04-12 04:38:00,4
2019-04-12 04:39:00,2
2019-04-12 04:40:00,5
2019-04-12 04:41:00,2
2019-04-12 04:42:00,3
2019-04-12 04:43:00,4
2019-04-12 04:44:00,3
2019-04-12 04:45:00,4
2019-04-12 04:46:00,7
2019-04-12 04:47:00,5
2019-04-12 04:48:00,1
2019-04-12 04:49:00,5
2019-04-12 04:50:00,3
2019-04-12 04:51:00,3
2019-04-12 04:52:00,2
2019-04-12 04:53:00,11
2019-04-12 04:54:00,13
2019-04-12 04:55:00,9
2019-04-12 04:56:00,11
2019-04-12 04:57:00,4
2019-04-12 04:58:00,5
2019-04-12 04:59:00,1
2019-04-12 05:00:00,4
2019-04-12 05:01:00,1
2019-04-12 05:02:00,1
2019-04-12 05:03:00,4
2019-04-12 05:04:00,8
2019-04-12 05:05:00,11
2019-04-12 05:06:00,14
2019-04-12 05:07:00,10
2019-04-12 05:08:00,1
2019-04-12 05:09:00,5
2019-04-12 05:10:00,4
2019-04-12 05:11:00,4
2019-04-12 05:12:00,2
2019-04-12 05:13:00,1
2019-04-12 05:14:00,4
2019-04-12 05:15:00,7
2019-04-12 05:16:00,1
2019-04-12 05:17:00,3
2019-04-12 05:18:00,3
2019-04-12 05:19:00,8
2019-04-12 05:20:00,13
2019-04-12 05:21:00,19
2019-04-12 05:22:00,8
2019-04-12 05:23:00,8
2019-04-12 05:24:00,5
2019-04-12 05:25:00,2
2019-04-12 05:26:00,2
2019-04-12 05:27:00,5
2019-04-12 05:28:00,2
2019-04-12 05:29:00,1
2019-04-12 05:30:00,4
2019-04-12 05:31:00,3
2019-04-12 05:32:00,3
2019-04-12 05:33:00,1
2019-04-12 05:34:00,4
2019-04-12 05:35:00,5
2019-04-12 05:36:00,3
2019-04-12 05:37:00,2
2019-04-12 05:38:00,3
2019-04-12 05:39:00,3
2019-04-12 05:40:00,3
2019-04-12 05:41:00,3
2019-04-12 05:42:00,4
2019-04-12 05:43:00,1
2019-04-12 05:44:00,2
2019-04-12 05:45:00,5
2019-04-12 05:46:00,6
2019-04-12 05:47:00,2
2019-04-12 05:49:00,4
2019-04-12 05:50:00,2
2019-04-12 05:51:00,4
2019-04-12 05:52:00,2
2019-04-12 05:53:00,3
2019-04-12 05:54:00,3
2019-04-12 05:55:00,4
2019-04-12 05:56:00,1
2019-04-12 05:57:00,3
2019-04-12 05:58:00,3
2019-04-12 05:59:00,5
2019-04-12 06:01:00,2
2019-04-12 06:05:00,2
2019-04-12 06:06:00,2
2019-04-12 06:07:00,3
2019-04-12 06:08:00,2
2019-04-12 06:09:00,3
2019-04-12 06:10:00,3
2019-04-12 06:11:00,2
2019-04-12 06:12:00,4
2019-04-12 06:13:00,2
2019-04-12 06:15:00,5
2019-04-12 06:16:00,3
2019-04-12 06:17:00,2
2019-04-12 06:18:00,3
2019-04-12 06:19:00,4
2019-04-12 06:20:00,1
2019-04-12 06:21:00,2
2019-04-12 06:22:00,10
2019-04-12 06:23:00,2
2019-04-12 06:24:00,3
2019-04-12 06:25:00,2
2019-04-12 06:26:00,4
2019-04-12 06:27:00,2
2019-04-12 06:28:00,4
2019-04-12 06:29:00,4
2019-04-12 06:30:00,5
2019-04-12 06:31:00,8
2019-04-12 06:32:00,15
2019-04-12 06:33:00,13
2019-04-12 06:34:00,9
2019-04-12 06:35:00,6
2019-04-12 06:36:00,5
2019-04-12 06:37:00,3
2019-04-12 06:38:00,4
2019-04-12 06:39:00,6
2019-04-12 06:40:00,2
2019-04-12 06:41:00,3
2019-04-12 06:42:00,2
2019-04-12 06:43:00,6
2019-04-12 06:44:00,1
2019-04-12 06:45:00,11
2019-04-12 06:46:00,11
2019-04-12 06:47:00,15
2019-04-12 06:48:00,12
2019-04-12 06:49:00,14
2019-04-12 06:50:00,9
2019-04-12 06:51:00,1
2019-04-12 06:52:00,1
2019-04-12 06:53:00,3
2019-04-12 06:54:00,3
2019-04-12 06:55:00,1
2019-04-12 06:56:00,3
2019-04-12 06:57:00,3
2019-04-12 06:58:00,1
2019-04-12 06:59:00,3
2019-04-12 07:00:00,3
2019-04-12 07:01:00,10
2019-04-12 07:02:00,4
2019-04-12 07:03:00,10
2019-04-12 07:04:00,10
2019-04-12 07:05:00,9
2019-04-12 07:06:00,5
2019-04-12 07:07:00,9
2019-04-12 07:08:00,9
2019-04-12 07:09:00,2
2019-04-12 07:10:00,3
2019-04-12 07:11:00,1
2019-04-12 07:12:00,7
2019-04-12 07:13:00,1
2019-04-12 07:14:00,2
2019-04-12 07:15:00,2
2019-04-12 07:16:00,7
2019-04-12 07:17:00,3
2019-04-12 07:18:00,2
2019-04-12 07:19:00,2
2019-04-12 07:20:00,6
2019-04-12 07:21:00,1
2019-04-12 07:22:00,3
2019-04-12 07:24:00,3
2019-04-12 07:25:00,5
2019-04-12 07:27:00,2
2019-04-12 07:28:00,2
2019-04-12 07:29:00,3
2019-04-12 07:30:00,2
2019-04-12 07:31:00,3
2019-04-12 07:32:00,3
2019-04-12 07:33:00,1
2019-04-12 07:34:00,2
2019-04-12 07:35:00,4
2019-04-12 07:36:00,1
2019-04-12 07:38:00,6
2019-04-12 07:39:00,3
2019-04-12 07:41:00,4
2019-04-12 07:42:00,4
2019-04-12 07:43:00,3
2019-04-12 07:44:00,8
2019-04-12 07:45:00,8
2019-04-12 07:46:00,6
2019-04-12 07:47:00,2
2019-04-12 07:49:00,4
2019-04-12 07:50:00,3
2019-04-12 07:51:00,2
2019-04-12 07:52:00,5
2019-04-12 07:53:00,11
2019-04-12 07:54:00,12
2019-04-12 07:55:00,14
2019-04-12 07:56:00,3
2019-04-12 07:57:00,2
2019-04-12 07:59:00,6
2019-04-12 08:00:00,1
2019-04-12 08:01:00,2
