777,SELECT count (*)
2019-09-04 16:20:00,1
2019-09-09 18:30:00,1
2019-09-09 18:34:00,1
2019-09-10 16:44:00,2
2019-09-10 16:45:00,1
2019-09-18 07:08:00,1
2019-09-18 07:10:00,1
2019-09-18 07:49:00,1
2019-09-18 13:39:00,1
2019-09-18 13:41:00,1
2019-09-25 15:36:00,1
2019-09-25 15:39:00,2
2019-09-25 15:40:00,2
2019-09-25 15:42:00,1
2019-09-30 21:13:00,3
2019-09-30 21:14:00,2
2019-09-30 21:17:00,1
2019-09-30 21:21:00,3
2019-09-30 21:22:00,1
2019-09-30 21:25:00,2
2019-09-30 21:27:00,1
2019-09-30 21:28:00,2
2019-09-30 21:35:00,1
2019-09-30 21:36:00,1
2019-09-30 22:48:00,1
2019-10-02 04:43:00,1
2019-10-03 19:37:00,2
2019-10-04 11:00:00,1
2019-10-18 12:16:00,1
2019-10-18 14:40:00,2
2019-10-18 14:41:00,1
2019-10-18 21:24:00,3
2019-10-18 21:25:00,3
2019-10-19 21:52:00,1
2019-10-19 21:53:00,3
2019-10-19 21:54:00,1
2019-10-19 21:56:00,1
2019-10-19 21:57:00,1
2019-10-19 22:01:00,1
2019-10-19 22:02:00,2
2019-10-19 22:03:00,3
2019-10-19 22:04:00,1
2019-10-19 22:05:00,1
2019-10-19 22:06:00,2
2019-10-19 22:07:00,1
2019-10-19 22:08:00,2
2019-10-19 22:12:00,2
2019-10-21 16:56:00,1
2019-10-21 16:59:00,2
2019-10-21 19:25:00,1
2019-10-21 19:26:00,1
2019-10-21 19:37:00,1
2019-10-21 19:39:00,1
2019-10-21 19:40:00,1
2019-10-21 19:42:00,2
2019-10-21 19:46:00,1
2019-10-21 19:47:00,2
2019-10-21 19:50:00,1
2019-10-21 19:54:00,1
2019-10-21 20:00:00,3
2019-10-21 20:02:00,2
2019-10-21 20:03:00,1
2019-10-21 20:12:00,1
2019-10-21 22:07:00,1
2019-10-24 08:23:00,3
2019-10-24 08:24:00,1
2019-10-24 08:25:00,2
2019-10-24 08:27:00,1
2019-10-24 08:28:00,2
2019-10-24 08:29:00,1
2019-10-24 08:31:00,1
2019-10-24 08:33:00,1
2019-10-24 08:34:00,1
2019-10-28 16:52:00,1
2019-10-28 16:53:00,1
2019-10-28 16:54:00,1
2019-10-28 16:55:00,1
2019-10-28 16:57:00,1
2019-10-28 17:01:00,1
2019-11-14 14:18:00,2
2019-11-14 14:20:00,1
2019-11-14 14:25:00,3
2019-11-14 16:50:00,1
2019-11-27 13:38:00,2
2019-11-27 13:39:00,1
2019-12-04 15:50:00,1
2019-12-04 17:27:00,1
2019-12-09 12:25:00,1
2019-12-09 12:26:00,2
2019-12-09 12:27:00,1
2019-12-09 12:28:00,2
2019-12-09 12:31:00,1
2019-12-09 12:32:00,1
2019-12-13 19:49:00,1
2019-12-13 19:53:00,2
2019-12-13 21:53:00,1
2019-12-14 11:13:00,1
2019-12-16 12:11:00,1
2019-12-17 17:42:00,1
2019-12-17 17:45:00,2
2019-12-17 17:47:00,1
2019-12-17 20:45:00,3
2019-12-23 09:22:00,1
2019-12-30 01:34:00,1
2019-12-30 01:35:00,1
2019-12-30 01:37:00,1
2019-12-30 01:44:00,2
2019-12-30 01:47:00,1
2019-12-30 01:49:00,1
2019-12-30 01:50:00,1
