8254,"select G.objID, G.ra, G.dec, G.petroMag_u, G.petroMag_g, G.petroMag_r, G.petroMag_i, G.petroMag_z, G.petroMagErr_u, G.petroMagErr_g, G.petroMagErr_r, G.petroMagErr_i, G.petroMagErr_z, ph.z, G.petroR9#_r, G.petroR5#_r from Galaxy as G, dbo.fGetNearbyObjEq (#, #, #) as N, photoz as ph where G.objID = N.objID and ph.objID = N.objID and ph.z> # and ph.z< #"
2019-11-21 12:05:00,15
2019-11-21 12:06:00,15
2019-11-21 12:07:00,14
2019-11-21 12:08:00,12
2019-11-21 12:09:00,14
2019-11-21 12:10:00,11
2019-11-21 12:11:00,14
2019-11-21 12:12:00,15
2019-11-21 12:13:00,16
2019-11-21 12:14:00,14
2019-11-21 12:15:00,16
2019-11-21 12:16:00,14
2019-11-21 12:17:00,13
2019-11-21 12:19:00,12
2019-11-21 12:20:00,14
2019-11-21 12:21:00,15
2019-11-21 12:22:00,17
2019-11-21 12:23:00,13
2019-11-21 12:24:00,15
2019-11-21 12:25:00,13
2019-11-21 12:26:00,11
2019-11-21 12:27:00,15
2019-11-21 12:28:00,15
2019-11-21 12:29:00,15
2019-11-21 12:30:00,14
2019-11-21 12:31:00,15
2019-11-21 12:32:00,14
2019-11-21 12:33:00,14
2019-11-21 12:34:00,11
2019-11-21 12:35:00,12
2019-11-21 12:36:00,13
2019-11-21 12:37:00,15
2019-11-21 12:38:00,15
2019-11-21 12:39:00,13
2019-11-21 12:40:00,15
2019-11-21 12:41:00,12
2019-11-21 12:42:00,9
2019-11-21 12:43:00,15
2019-11-21 12:44:00,14
2019-11-21 12:45:00,14
2019-11-21 12:46:00,14
2019-11-21 12:47:00,14
2019-11-21 12:48:00,13
2019-11-21 12:49:00,13
2019-11-21 12:50:00,13
2019-11-21 12:51:00,13
2019-11-21 12:52:00,15
2019-11-21 12:53:00,14
2019-11-21 12:54:00,15
2019-11-21 12:55:00,15
2019-11-21 12:56:00,15
2019-11-21 12:57:00,15
2019-11-21 12:58:00,14
2019-11-21 12:59:00,14
2019-11-21 13:00:00,13
2019-11-21 13:01:00,14
2019-11-21 13:02:00,15
2019-11-21 13:03:00,13
2019-11-21 13:04:00,14
2019-11-21 13:05:00,15
2019-11-21 13:06:00,14
2019-11-21 13:07:00,15
2019-11-21 13:08:00,13
2019-11-21 13:09:00,15
2019-11-21 13:10:00,14
2019-11-21 13:11:00,14
2019-11-21 13:12:00,13
2019-11-21 13:13:00,14
2019-11-21 13:14:00,13
2019-11-21 13:15:00,14
2019-11-21 13:16:00,13
2019-11-21 13:17:00,16
2019-11-21 13:18:00,14
2019-11-21 13:19:00,15
2019-11-21 13:20:00,6
2019-11-21 13:21:00,16
2019-11-21 13:22:00,13
2019-11-21 13:23:00,15
2019-11-21 13:24:00,14
2019-11-21 13:25:00,14
2019-11-21 13:26:00,15
2019-11-21 13:27:00,13
2019-11-21 13:28:00,14
2019-11-21 13:29:00,16
2019-11-21 13:30:00,12
2019-11-21 13:31:00,13
2019-11-21 13:32:00,13
2019-11-21 13:33:00,16
2019-11-21 13:34:00,14
2019-11-21 13:35:00,13
2019-11-21 13:36:00,15
2019-11-21 13:37:00,15
2019-11-21 13:38:00,15
2019-11-21 13:39:00,15
2019-11-21 13:40:00,15
2019-11-21 13:41:00,16
2019-11-21 13:42:00,13
2019-11-21 13:43:00,16
2019-11-21 13:44:00,15
2019-11-21 13:45:00,15
2019-11-21 13:46:00,15
2019-11-21 13:47:00,14
2019-11-21 13:48:00,16
2019-11-21 13:49:00,12
2019-11-21 13:50:00,15
2019-11-21 13:51:00,13
2019-11-21 13:52:00,15
2019-11-21 13:53:00,13
2019-11-21 13:54:00,15
2019-11-21 13:55:00,14
2019-11-21 13:56:00,15
2019-11-21 13:57:00,13
2019-11-21 13:58:00,12
2019-11-21 13:59:00,15
2019-11-21 14:00:00,13
2019-11-21 14:01:00,14
2019-11-21 14:02:00,13
2019-11-21 14:03:00,15
2019-11-21 14:04:00,15
2019-11-21 14:05:00,13
2019-11-21 14:06:00,14
2019-11-21 14:07:00,16
2019-11-21 14:08:00,12
2019-11-21 14:09:00,14
2019-11-21 14:10:00,13
2019-11-21 14:11:00,14
2019-11-21 14:12:00,12
2019-11-21 14:13:00,14
2019-11-21 14:14:00,15
2019-11-21 14:15:00,15
2019-11-21 14:16:00,14
2019-11-21 14:17:00,13
2019-11-21 14:18:00,5
2019-11-21 14:19:00,14
2019-11-21 14:20:00,14
2019-11-21 14:21:00,14
2019-11-21 14:22:00,16
2019-11-21 14:23:00,8
2019-11-21 14:24:00,5
2019-11-21 14:25:00,6
2019-11-21 14:26:00,6
2019-11-21 14:27:00,7
2019-11-21 14:28:00,4
2019-11-21 14:29:00,5
2019-11-21 14:30:00,4
2019-11-21 14:31:00,6
2019-11-21 14:32:00,5
2019-11-21 14:33:00,6
2019-11-21 14:34:00,10
2019-11-21 14:35:00,14
2019-11-21 14:36:00,16
2019-11-21 14:37:00,15
2019-11-21 14:38:00,14
2019-11-21 14:39:00,13
2019-11-21 14:40:00,14
2019-11-21 14:41:00,13
2019-11-21 14:42:00,11
2019-11-21 14:43:00,13
2019-11-21 14:44:00,15
2019-11-21 14:45:00,13
2019-11-21 14:46:00,16
2019-11-21 14:47:00,15
2019-11-21 14:48:00,14
2019-11-21 14:49:00,15
2019-11-21 14:50:00,11
2019-11-21 14:51:00,15
2019-11-21 14:52:00,15
2019-11-21 14:53:00,14
2019-11-21 14:54:00,12
2019-11-21 14:55:00,15
2019-11-21 14:56:00,15
2019-11-21 14:57:00,13
2019-11-21 14:58:00,11
2019-11-21 14:59:00,16
2019-11-21 15:00:00,15
2019-11-21 15:01:00,15
2019-11-21 15:02:00,11
2019-11-21 15:03:00,14
2019-11-21 15:04:00,16
2019-11-21 15:05:00,10
2019-11-21 15:06:00,16
2019-11-21 15:07:00,15
2019-11-21 15:08:00,12
2019-11-21 15:09:00,12
2019-11-21 15:10:00,12
2019-11-21 15:11:00,13
2019-11-21 15:12:00,13
2019-11-21 15:13:00,13
2019-11-21 15:14:00,11
2019-11-21 15:15:00,16
2019-11-21 15:16:00,13
2019-11-21 15:17:00,14
2019-11-21 15:18:00,13
2019-11-21 15:19:00,15
2019-11-21 15:20:00,14
2019-11-21 15:21:00,12
2019-11-21 15:22:00,15
2019-11-21 15:23:00,13
2019-11-21 15:24:00,15
2019-11-21 15:25:00,16
2019-11-21 15:26:00,15
2019-11-21 15:27:00,16
2019-11-21 15:28:00,13
2019-11-21 15:29:00,13
2019-11-21 15:30:00,14
2019-11-21 15:31:00,14
2019-11-21 15:32:00,15
2019-11-21 15:33:00,14
2019-11-21 15:34:00,14
2019-11-21 15:35:00,12
2019-11-21 15:36:00,13
2019-11-21 15:37:00,16
2019-11-21 15:38:00,14
2019-11-21 15:39:00,16
2019-11-21 15:40:00,15
2019-11-21 15:41:00,14
2019-11-21 15:42:00,16
2019-11-21 15:43:00,14
2019-11-21 15:44:00,16
2019-11-21 15:45:00,15
2019-11-21 15:46:00,15
2019-11-21 15:47:00,16
2019-11-21 15:48:00,15
2019-11-21 15:49:00,16
2019-11-21 15:50:00,13
2019-11-21 15:51:00,15
2019-11-21 15:52:00,16
2019-11-21 15:53:00,14
2019-11-21 15:54:00,15
2019-11-21 15:55:00,14
2019-11-21 15:56:00,13
2019-11-21 15:57:00,15
2019-11-21 15:58:00,13
2019-11-21 15:59:00,14
2019-11-21 16:00:00,16
2019-11-21 16:01:00,15
2019-11-21 16:02:00,16
2019-11-21 16:03:00,16
2019-11-21 16:04:00,16
2019-11-21 16:05:00,13
2019-11-21 16:06:00,12
2019-11-21 16:07:00,16
2019-11-21 16:08:00,15
2019-11-21 16:09:00,17
2019-11-21 16:10:00,16
2019-11-21 16:11:00,13
2019-11-21 16:12:00,13
2019-11-21 16:13:00,15
2019-11-21 16:14:00,15
2019-11-21 16:15:00,12
2019-11-21 16:16:00,15
2019-11-21 16:17:00,11
2019-11-21 16:18:00,13
2019-11-21 16:19:00,14
2019-11-21 16:20:00,12
2019-11-21 16:21:00,15
2019-11-21 16:22:00,13
2019-11-21 16:23:00,15
2019-11-21 16:24:00,16
2019-11-21 16:25:00,16
2019-11-21 16:26:00,14
2019-11-21 16:27:00,14
2019-11-21 16:28:00,16
2019-11-21 16:29:00,13
2019-11-21 16:30:00,15
2019-11-21 16:31:00,13
2019-11-21 16:32:00,13
2019-11-21 16:33:00,3
2019-11-21 16:34:00,5
2019-11-21 16:35:00,17
2019-11-21 16:36:00,13
2019-11-21 16:37:00,17
2019-11-21 16:38:00,16
2019-11-21 16:39:00,16
2019-11-21 16:40:00,14
2019-11-21 16:41:00,13
2019-11-21 16:42:00,15
2019-11-21 16:43:00,15
2019-11-21 16:44:00,14
2019-11-21 16:45:00,15
2019-11-21 16:46:00,16
2019-11-21 16:47:00,16
2019-11-21 16:48:00,13
2019-11-21 16:49:00,15
2019-11-21 16:50:00,14
2019-11-21 16:51:00,15
2019-11-21 16:52:00,12
2019-11-21 16:53:00,13
2019-11-21 16:54:00,16
2019-11-21 16:55:00,13
2019-11-21 16:56:00,14
2019-11-21 16:57:00,15
2019-11-21 16:58:00,14
2019-11-21 16:59:00,13
2019-11-21 17:00:00,14
2019-11-21 17:01:00,15
2019-11-21 17:02:00,12
2019-11-21 17:03:00,13
2019-11-21 17:04:00,15
2019-11-21 17:05:00,13
2019-11-21 17:06:00,16
2019-11-21 17:07:00,16
2019-11-21 17:08:00,16
2019-11-21 17:09:00,13
2019-11-21 17:10:00,15
2019-11-21 17:11:00,14
2019-11-21 17:12:00,14
2019-11-21 17:13:00,5
2019-11-21 17:14:00,14
2019-11-21 17:15:00,13
2019-11-21 17:16:00,15
2019-11-21 17:17:00,15
2019-11-21 17:18:00,11
2019-11-21 17:19:00,15
2019-11-21 17:20:00,15
2019-11-21 17:21:00,15
2019-11-21 17:22:00,15
2019-11-21 17:23:00,15
2019-11-21 17:24:00,15
2019-11-21 17:25:00,15
2019-11-21 17:26:00,15
2019-11-21 17:27:00,14
2019-11-21 17:28:00,11
2019-11-21 17:29:00,14
2019-11-21 17:32:00,9
2019-11-21 17:33:00,14
2019-11-21 17:34:00,15
2019-11-21 17:35:00,5
2019-11-29 17:27:00,3
2019-11-29 17:28:00,15
2019-11-29 17:29:00,12
2019-11-29 17:30:00,13
2019-11-29 17:31:00,14
2019-11-29 17:32:00,12
2019-11-29 17:33:00,14
2019-11-29 17:34:00,13
2019-11-29 17:35:00,10
2019-11-29 17:36:00,10
2019-11-29 17:37:00,13
2019-11-29 17:38:00,11
2019-11-29 17:39:00,12
2019-11-29 17:40:00,14
2019-11-29 17:41:00,13
2019-11-29 17:42:00,13
2019-11-29 17:43:00,13
2019-11-29 17:44:00,13
2019-11-29 17:45:00,13
2019-11-29 17:46:00,14
2019-11-29 17:47:00,13
2019-11-29 17:48:00,14
2019-11-29 17:49:00,14
2019-11-29 17:50:00,15
2019-11-29 17:51:00,13
2019-11-29 17:52:00,12
2019-11-29 17:53:00,14
2019-11-29 17:54:00,14
2019-11-29 17:55:00,15
2019-11-29 17:56:00,11
2019-11-29 17:57:00,13
2019-11-29 17:58:00,14
2019-11-29 17:59:00,13
2019-11-29 18:00:00,13
2019-11-29 18:01:00,12
2019-11-29 18:02:00,13
2019-11-29 18:03:00,15
2019-11-29 18:04:00,13
2019-11-29 18:05:00,13
2019-11-29 18:06:00,15
2019-11-29 18:07:00,14
2019-11-29 18:08:00,12
2019-11-29 18:09:00,15
2019-11-29 18:10:00,11
2019-11-29 18:11:00,15
2019-11-29 18:12:00,14
2019-11-29 18:13:00,14
2019-11-29 18:14:00,15
2019-11-29 18:15:00,12
2019-11-29 18:16:00,15
2019-11-29 18:17:00,12
2019-11-29 18:18:00,10
2019-11-29 18:19:00,15
2019-11-29 18:20:00,14
2019-11-29 18:21:00,13
2019-11-29 18:22:00,14
2019-11-29 18:23:00,13
2019-11-29 18:24:00,12
2019-11-29 18:25:00,12
2019-11-29 18:26:00,13
2019-11-29 18:27:00,13
2019-11-29 18:28:00,14
2019-11-29 18:29:00,16
2019-11-29 18:30:00,11
2019-11-29 18:31:00,13
2019-11-29 18:32:00,13
2019-11-29 18:33:00,13
2019-11-29 18:34:00,12
2019-11-29 18:35:00,14
2019-11-29 18:36:00,11
2019-11-29 18:37:00,14
2019-11-29 18:38:00,15
2019-11-29 18:39:00,13
2019-11-29 18:40:00,13
2019-11-29 18:41:00,13
2019-11-29 18:42:00,13
2019-11-29 18:43:00,13
2019-11-29 18:44:00,14
2019-11-29 18:45:00,13
2019-11-29 18:46:00,14
2019-11-29 18:47:00,14
2019-11-29 18:48:00,12
2019-11-29 18:49:00,14
2019-11-29 18:50:00,12
2019-11-29 18:51:00,14
2019-11-29 18:52:00,13
2019-11-29 18:53:00,12
2019-11-29 18:54:00,13
2019-11-29 18:55:00,12
2019-11-29 18:56:00,12
2019-11-29 18:57:00,13
2019-11-29 18:58:00,13
2019-11-29 18:59:00,11
2019-11-29 19:00:00,13
2019-11-29 19:01:00,14
2019-11-29 19:02:00,11
2019-11-29 19:03:00,11
2019-11-29 19:04:00,14
2019-11-29 19:05:00,10
2019-11-29 19:06:00,13
2019-11-29 19:07:00,6
2019-11-30 09:41:00,2
2019-11-30 09:42:00,13
2019-11-30 09:43:00,13
2019-11-30 09:44:00,12
2019-11-30 09:45:00,13
2019-11-30 09:46:00,13
2019-11-30 09:47:00,14
2019-11-30 09:48:00,13
2019-11-30 09:49:00,13
2019-11-30 09:50:00,9
2019-11-30 09:51:00,10
2019-11-30 09:52:00,13
2019-11-30 09:53:00,13
2019-11-30 09:54:00,13
2019-11-30 09:55:00,12
2019-11-30 09:56:00,14
2019-11-30 09:57:00,14
2019-11-30 09:58:00,9
2019-11-30 09:59:00,10
2019-11-30 10:00:00,12
2019-11-30 10:01:00,11
2019-11-30 10:02:00,12
2019-11-30 10:03:00,13
2019-11-30 10:04:00,13
2019-11-30 10:05:00,14
2019-11-30 10:06:00,14
2019-11-30 10:07:00,12
2019-11-30 10:08:00,13
2019-11-30 10:09:00,11
2019-11-30 10:10:00,11
2019-11-30 10:11:00,13
2019-11-30 10:12:00,13
2019-11-30 10:13:00,13
2019-11-30 10:14:00,13
2019-11-30 10:15:00,12
2019-11-30 10:16:00,10
2019-11-30 10:17:00,13
2019-11-30 10:18:00,14
2019-11-30 10:19:00,12
2019-11-30 10:20:00,12
2019-11-30 10:21:00,11
2019-11-30 10:22:00,13
2019-11-30 10:23:00,12
2019-11-30 10:24:00,12
2019-11-30 10:25:00,15
2019-11-30 10:26:00,13
2019-11-30 10:27:00,13
2019-11-30 10:28:00,12
2019-11-30 10:29:00,12
2019-11-30 10:30:00,12
2019-11-30 10:31:00,14
2019-11-30 10:32:00,11
2019-11-30 10:33:00,11
2019-11-30 10:34:00,14
2019-11-30 10:35:00,13
2019-11-30 10:36:00,14
2019-11-30 10:37:00,13
2019-11-30 10:38:00,12
2019-11-30 10:39:00,12
2019-11-30 10:40:00,13
2019-11-30 10:41:00,12
2019-11-30 10:42:00,13
2019-11-30 10:43:00,14
2019-11-30 10:44:00,12
2019-11-30 10:45:00,14
2019-11-30 10:46:00,13
2019-11-30 10:47:00,13
2019-11-30 10:48:00,13
2019-11-30 10:49:00,10
2019-11-30 10:50:00,12
2019-11-30 10:51:00,15
2019-11-30 10:52:00,13
2019-11-30 10:53:00,13
2019-11-30 10:54:00,13
2019-11-30 10:55:00,13
2019-11-30 10:56:00,13
2019-11-30 10:57:00,12
2019-11-30 10:58:00,11
2019-11-30 10:59:00,12
2019-11-30 11:00:00,12
2019-11-30 11:01:00,13
2019-11-30 11:02:00,13
2019-11-30 11:03:00,13
2019-11-30 11:04:00,11
2019-11-30 11:05:00,11
2019-11-30 11:06:00,11
2019-11-30 11:07:00,10
2019-11-30 11:08:00,12
2019-11-30 11:09:00,13
2019-11-30 11:10:00,13
2019-11-30 11:11:00,10
2019-11-30 11:12:00,14
2019-11-30 11:13:00,12
2019-11-30 11:14:00,14
2019-11-30 11:15:00,11
2019-11-30 11:16:00,12
2019-11-30 11:17:00,12
2019-11-30 11:18:00,12
2019-11-30 11:19:00,11
2019-11-30 11:20:00,13
2019-11-30 11:21:00,13
2019-11-30 11:22:00,11
2019-11-30 11:23:00,11
2019-11-30 11:24:00,12
2019-11-30 11:25:00,13
2019-11-30 11:26:00,12
2019-11-30 11:27:00,10
2019-11-30 11:28:00,13
2019-11-30 11:29:00,12
2019-11-30 11:30:00,10
2019-11-30 11:31:00,11
2019-11-30 11:32:00,11
2019-11-30 11:33:00,11
2019-11-30 11:34:00,12
2019-11-30 11:35:00,12
2019-11-30 11:36:00,11
2019-11-30 11:37:00,10
2019-11-30 11:38:00,14
2019-11-30 11:39:00,12
2019-11-30 11:40:00,11
2019-11-30 11:41:00,12
2019-11-30 11:42:00,10
2019-11-30 11:43:00,11
2019-11-30 11:44:00,12
2019-11-30 11:45:00,11
2019-11-30 11:46:00,13
2019-11-30 11:47:00,12
2019-11-30 11:48:00,12
2019-11-30 11:49:00,12
2019-11-30 11:50:00,11
2019-11-30 11:51:00,11
2019-11-30 11:52:00,11
2019-11-30 11:53:00,9
2019-11-30 11:54:00,13
2019-11-30 11:55:00,12
2019-11-30 11:56:00,12
2019-11-30 11:57:00,14
2019-11-30 11:58:00,13
2019-11-30 11:59:00,11
2019-11-30 12:00:00,11
2019-11-30 12:01:00,6
