288928,"select p.ra, p.dec, p.type, p.insidemask, p.flags_g, p.flags_i, p.flags_r, p.cModelMag_u, p.cModelMagErr_u, p.cModelMag_g, p.cModelMagErr_g, p.cModelMag_r, p.cModelMagErr_r, p.cModelMag_i, p.cModelMagErr_i, p.cModelMag_z, p.cModelMagErr_z from Galaxy p join dbo.fGetNearbyObjEq (#, #, #) r on p.ObjID = r.ObjID"
2019-01-09 06:26:00,160
2019-01-09 06:27:00,175
2019-01-09 06:28:00,170
2019-01-09 06:29:00,160
2019-01-09 06:30:00,169
2019-01-09 06:31:00,168
2019-01-09 06:32:00,165
2019-01-09 06:33:00,178
2019-01-09 06:34:00,167
2019-01-09 06:35:00,175
2019-01-09 06:36:00,160
2019-01-09 06:37:00,172
2019-01-09 06:38:00,170
2019-01-09 06:39:00,172
2019-01-09 06:40:00,172
2019-01-09 06:41:00,174
2019-01-09 06:42:00,170
2019-01-09 06:43:00,171
2019-01-09 06:44:00,172
2019-01-09 06:45:00,165
2019-01-09 06:46:00,198
2019-01-09 06:47:00,127
2019-01-09 06:48:00,171
2019-01-09 06:49:00,179
2019-01-09 06:50:00,174
2019-01-09 06:51:00,169
2019-01-09 06:52:00,164
2019-01-09 06:53:00,174
2019-01-09 06:54:00,185
2019-01-09 06:55:00,167
2019-01-09 06:56:00,174
2019-01-09 06:57:00,181
2019-01-09 06:58:00,165
2019-01-09 06:59:00,170
2019-01-09 07:00:00,177
2019-01-09 07:01:00,185
2019-01-09 07:02:00,177
2019-01-09 07:03:00,177
2019-01-09 07:04:00,161
2019-01-09 07:05:00,167
2019-01-09 07:06:00,178
2019-01-09 07:07:00,177
2019-01-09 07:08:00,162
2019-01-09 07:09:00,184
2019-01-09 07:10:00,174
2019-01-09 07:11:00,188
2019-01-09 07:12:00,171
2019-01-09 07:13:00,172
2019-01-09 07:14:00,167
2019-01-09 07:15:00,180
2019-01-09 07:16:00,180
2019-01-09 07:17:00,129
2019-01-09 07:18:00,82
2019-01-09 07:19:00,85
2019-01-09 07:20:00,90
2019-01-09 07:21:00,86
2019-01-09 07:22:00,90
2019-01-09 07:23:00,88
2019-01-09 07:24:00,87
2019-01-09 07:25:00,89
2019-01-09 07:26:00,90
2019-01-09 07:27:00,89
2019-01-09 07:28:00,93
2019-01-09 07:29:00,89
2019-01-09 07:30:00,89
2019-01-09 07:31:00,90
2019-01-09 07:32:00,89
2019-01-09 07:33:00,91
2019-01-09 07:34:00,88
2019-01-09 07:35:00,66
2019-01-11 01:18:00,20
2019-01-11 01:19:00,29
2019-01-11 01:20:00,21
2019-01-11 01:25:00,17
2019-01-11 01:26:00,16
2019-01-11 01:27:00,16
2019-01-11 01:28:00,18
2019-01-11 01:29:00,18
2019-01-11 01:30:00,16
2019-01-11 01:31:00,16
2019-01-11 01:32:00,21
2019-01-11 01:33:00,41
2019-01-11 01:34:00,40
2019-01-11 01:35:00,39
2019-01-11 01:36:00,35
2019-01-11 01:37:00,34
2019-01-11 01:38:00,32
2019-01-11 01:39:00,34
2019-01-11 01:40:00,17
2019-01-11 01:41:00,15
2019-01-11 01:42:00,13
2019-01-11 01:43:00,14
2019-01-11 01:44:00,15
2019-01-11 01:45:00,13
2019-01-11 01:46:00,15
2019-01-11 01:47:00,16
2019-01-11 01:48:00,27
2019-01-11 01:49:00,32
2019-01-11 01:50:00,32
2019-01-11 01:51:00,31
2019-01-11 01:52:00,40
2019-01-11 01:53:00,40
2019-01-11 01:54:00,39
2019-01-11 01:55:00,49
2019-01-11 01:56:00,55
2019-01-11 01:57:00,52
2019-01-11 01:58:00,54
2019-01-11 01:59:00,53
2019-01-11 02:00:00,56
2019-01-11 02:01:00,54
2019-01-11 02:02:00,45
2019-01-11 02:03:00,27
2019-01-11 02:04:00,28
2019-01-11 02:05:00,26
2019-01-11 02:06:00,26
2019-01-11 02:07:00,42
2019-01-11 02:08:00,43
2019-01-11 02:09:00,42
2019-01-11 02:10:00,39
2019-01-11 02:11:00,41
2019-01-11 02:12:00,38
2019-01-11 02:13:00,24
2019-01-11 02:14:00,22
2019-01-11 02:15:00,22
2019-01-11 02:16:00,24
2019-01-11 02:17:00,21
2019-01-11 02:18:00,48
2019-01-11 02:19:00,51
2019-01-11 02:20:00,40
2019-01-11 02:21:00,19
2019-01-11 02:22:00,19
2019-01-11 02:23:00,18
2019-01-11 02:24:00,20
2019-01-11 02:25:00,18
2019-01-11 02:26:00,24
2019-01-11 02:27:00,44
2019-01-11 02:28:00,45
2019-01-11 02:29:00,48
2019-01-11 02:30:00,58
2019-01-11 02:31:00,65
2019-01-11 02:32:00,79
2019-01-11 02:33:00,52
2019-01-11 02:34:00,38
2019-01-11 02:35:00,39
2019-01-11 02:36:00,46
2019-01-11 02:37:00,55
2019-01-11 02:38:00,56
2019-01-11 02:39:00,66
2019-01-11 02:40:00,59
2019-01-11 02:41:00,46
2019-01-11 02:42:00,47
2019-01-11 02:43:00,34
2019-01-11 02:44:00,33
2019-01-11 02:45:00,32
2019-01-11 02:46:00,47
2019-01-11 02:47:00,58
2019-01-11 02:48:00,55
2019-01-11 02:49:00,49
2019-01-11 02:50:00,48
2019-01-11 02:51:00,53
2019-01-11 02:52:00,52
2019-01-11 02:53:00,37
2019-01-11 02:54:00,34
2019-01-11 02:55:00,32
2019-01-11 02:56:00,34
2019-01-11 02:57:00,38
2019-01-11 02:58:00,57
2019-01-11 02:59:00,57
2019-01-11 03:00:00,54
2019-01-11 03:01:00,52
2019-01-11 03:02:00,52
2019-01-11 03:03:00,54
2019-01-11 03:04:00,50
2019-01-11 03:05:00,53
2019-01-11 03:06:00,51
2019-01-11 03:07:00,53
2019-01-11 03:08:00,51
2019-01-11 03:09:00,52
2019-01-11 03:10:00,29
2019-01-11 03:11:00,19
2019-01-11 03:12:00,20
2019-01-11 03:13:00,17
2019-01-11 03:14:00,19
2019-01-11 03:15:00,19
2019-01-11 03:16:00,18
2019-01-11 03:17:00,28
2019-01-11 03:18:00,82
2019-01-11 03:19:00,43
2019-01-11 03:20:00,41
2019-01-11 03:21:00,7
2019-01-11 03:22:00,17
2019-01-11 03:23:00,47
2019-01-11 03:24:00,45
2019-01-11 03:25:00,50
2019-01-11 03:26:00,46
2019-01-11 03:27:00,45
2019-01-11 03:28:00,45
2019-01-11 03:29:00,39
2019-01-11 03:30:00,42
2019-01-11 03:31:00,47
2019-01-11 03:32:00,48
2019-01-11 03:33:00,44
2019-01-11 03:34:00,43
2019-01-11 03:35:00,43
2019-01-11 03:36:00,38
2019-01-11 03:37:00,20
2019-01-11 03:38:00,19
2019-01-11 03:39:00,17
2019-01-11 03:40:00,18
2019-01-11 03:41:00,17
2019-01-11 03:42:00,16
2019-01-11 03:43:00,25
2019-01-11 03:44:00,32
2019-01-11 03:45:00,26
2019-01-11 03:46:00,28
2019-01-11 03:47:00,28
2019-01-11 03:48:00,50
2019-01-11 03:49:00,48
2019-01-11 03:50:00,51
2019-01-11 03:51:00,50
2019-01-11 03:52:00,26
2019-01-11 03:53:00,13
2019-01-11 03:54:00,14
2019-01-11 03:55:00,13
2019-01-11 03:56:00,13
2019-01-11 03:57:00,12
2019-01-11 03:58:00,13
2019-01-11 03:59:00,13
2019-01-11 04:00:00,14
2019-01-11 04:01:00,9
2019-01-11 04:02:00,8
2019-01-11 04:03:00,8
2019-01-11 04:04:00,8
2019-01-11 04:05:00,4
2019-01-11 04:06:00,7
2019-01-11 04:07:00,9
2019-01-11 04:08:00,11
2019-01-11 04:09:00,8
2019-01-11 04:10:00,7
2019-01-11 04:11:00,10
2019-01-11 04:12:00,10
2019-01-11 04:13:00,10
2019-01-11 04:14:00,11
2019-01-11 04:15:00,11
2019-01-11 04:16:00,52
2019-01-11 04:17:00,59
2019-01-11 04:18:00,43
2019-01-11 04:19:00,28
2019-01-11 04:20:00,27
2019-01-11 04:21:00,29
2019-01-11 04:22:00,28
2019-01-11 04:23:00,54
2019-01-11 04:24:00,56
2019-01-11 04:25:00,56
2019-01-11 04:26:00,52
2019-01-11 04:27:00,43
2019-01-11 04:28:00,27
2019-01-11 04:29:00,26
2019-01-11 04:30:00,25
2019-01-11 04:31:00,25
2019-01-11 04:32:00,27
2019-01-11 04:33:00,57
2019-01-11 04:34:00,57
2019-01-11 04:35:00,56
2019-01-11 04:36:00,52
2019-01-11 04:37:00,47
2019-01-11 04:38:00,40
2019-01-11 04:39:00,39
2019-01-11 04:40:00,45
2019-01-11 04:41:00,52
2019-01-11 04:42:00,52
2019-01-11 04:43:00,59
2019-01-11 04:44:00,59
2019-01-11 04:45:00,58
2019-01-11 04:46:00,54
2019-01-11 04:47:00,61
2019-01-11 04:48:00,86
2019-01-11 04:49:00,56
2019-01-11 04:50:00,50
2019-01-11 04:51:00,48
2019-01-11 04:52:00,41
2019-01-11 04:53:00,44
2019-01-11 04:54:00,44
2019-01-11 04:55:00,41
2019-01-11 04:56:00,42
2019-01-11 04:57:00,42
2019-01-11 04:58:00,43
2019-01-11 04:59:00,43
2019-01-11 05:00:00,53
2019-01-11 05:01:00,55
2019-01-11 05:02:00,51
2019-01-11 05:03:00,48
2019-01-11 05:04:00,48
2019-01-11 05:05:00,22
2019-01-11 05:06:00,41
2019-01-11 05:07:00,39
2019-01-11 05:08:00,47
2019-01-11 05:09:00,46
2019-01-11 05:10:00,28
2019-01-11 05:11:00,17
2019-01-11 05:12:00,16
2019-01-11 05:13:00,17
2019-01-11 05:14:00,16
2019-01-11 05:15:00,16
2019-01-11 05:16:00,31
2019-01-11 05:17:00,61
2019-01-11 05:18:00,61
2019-01-11 05:19:00,57
2019-01-11 05:20:00,57
2019-01-11 05:21:00,55
2019-01-11 05:22:00,53
2019-01-11 05:23:00,50
2019-01-11 05:24:00,46
2019-01-11 05:25:00,46
2019-01-11 05:26:00,52
2019-01-11 05:27:00,51
2019-01-11 05:28:00,31
2019-01-11 05:29:00,29
2019-01-11 05:30:00,30
2019-01-11 05:31:00,27
2019-01-11 05:32:00,54
2019-01-11 05:33:00,57
2019-01-11 05:34:00,29
2019-01-11 05:35:00,26
2019-01-11 05:36:00,24
2019-01-11 05:37:00,25
2019-01-11 05:38:00,30
2019-01-11 05:39:00,59
2019-01-11 05:40:00,59
2019-01-11 05:41:00,58
2019-01-11 05:42:00,58
2019-01-11 05:43:00,37
2019-01-11 05:44:00,34
2019-01-11 05:45:00,34
2019-01-11 05:46:00,30
2019-01-11 05:47:00,30
2019-01-11 05:48:00,25
2019-01-11 05:49:00,25
2019-01-11 05:50:00,26
2019-01-11 05:51:00,25
2019-01-11 05:52:00,25
2019-01-11 05:53:00,61
2019-01-11 05:54:00,61
2019-01-11 05:55:00,42
2019-01-11 05:56:00,39
2019-01-11 05:57:00,41
2019-01-11 05:58:00,48
2019-01-11 05:59:00,54
2019-01-11 06:00:00,47
2019-01-11 06:01:00,21
2019-01-11 06:02:00,21
2019-01-11 06:03:00,20
2019-01-11 06:04:00,20
2019-01-11 06:05:00,13
2019-01-11 06:06:00,67
2019-01-11 06:07:00,73
2019-01-11 06:08:00,37
2019-01-11 06:09:00,37
2019-01-11 06:10:00,36
2019-01-11 06:11:00,35
2019-01-11 06:12:00,31
2019-01-11 06:13:00,32
2019-01-11 06:14:00,33
2019-01-11 06:15:00,40
2019-01-11 06:16:00,37
2019-01-11 06:17:00,35
2019-01-11 06:18:00,58
2019-01-11 06:19:00,64
2019-01-11 06:20:00,44
2019-01-11 06:21:00,34
2019-01-11 06:22:00,36
2019-01-11 06:23:00,39
2019-01-11 06:24:00,60
2019-01-11 06:25:00,52
2019-01-11 06:26:00,39
2019-01-11 06:27:00,41
2019-01-11 06:28:00,39
2019-01-11 06:29:00,36
2019-01-11 06:30:00,36
2019-01-11 06:31:00,47
2019-01-11 06:32:00,53
2019-01-11 06:33:00,55
2019-01-11 06:34:00,48
2019-01-11 06:35:00,44
2019-01-11 06:36:00,51
2019-01-11 06:37:00,59
2019-01-11 06:38:00,45
2019-01-11 06:39:00,33
2019-01-11 06:40:00,30
2019-01-11 06:41:00,33
2019-01-11 06:42:00,44
2019-01-11 06:43:00,50
2019-01-11 06:44:00,55
2019-01-11 06:45:00,61
2019-01-11 06:46:00,60
2019-01-11 06:47:00,57
2019-01-11 06:48:00,59
2019-01-11 06:49:00,59
2019-01-11 06:50:00,58
2019-01-11 06:51:00,56
2019-01-11 06:52:00,41
2019-01-11 06:53:00,19
2019-01-11 06:54:00,18
2019-01-11 06:55:00,17
2019-01-11 06:56:00,17
2019-01-11 06:57:00,18
2019-01-11 06:58:00,27
2019-01-11 06:59:00,24
2019-01-11 07:00:00,25
2019-01-11 07:01:00,23
2019-01-11 07:02:00,28
2019-01-11 07:03:00,36
2019-01-11 07:04:00,36
2019-01-11 07:05:00,40
2019-01-11 07:06:00,48
2019-01-11 07:07:00,48
2019-01-11 07:08:00,50
2019-01-11 07:09:00,55
2019-01-11 07:10:00,58
2019-01-11 07:11:00,54
2019-01-11 07:12:00,55
2019-01-11 07:13:00,58
2019-01-11 07:14:00,55
2019-01-11 07:15:00,28
2019-01-11 07:16:00,28
2019-01-11 07:17:00,27
2019-01-11 07:18:00,25
2019-01-11 07:19:00,48
2019-01-11 07:20:00,58
2019-01-11 07:21:00,49
2019-01-11 07:22:00,38
2019-01-11 07:23:00,39
2019-01-11 07:24:00,43
2019-01-11 07:25:00,59
2019-01-11 07:26:00,59
2019-01-11 07:27:00,58
2019-01-11 07:28:00,60
2019-01-11 07:29:00,57
2019-01-11 07:30:00,47
2019-01-11 07:31:00,32
2019-01-11 07:32:00,31
2019-01-11 07:33:00,30
2019-01-11 07:34:00,25
2019-01-11 07:35:00,17
2019-01-11 07:36:00,16
2019-01-11 07:37:00,17
2019-01-11 07:38:00,17
2019-01-11 07:39:00,16
2019-01-11 07:40:00,17
2019-01-11 07:41:00,16
2019-01-11 07:42:00,15
2019-01-11 07:43:00,43
2019-01-11 07:44:00,54
2019-01-11 07:45:00,58
2019-01-11 07:46:00,60
2019-01-11 07:47:00,46
2019-01-11 07:48:00,35
2019-01-11 07:49:00,35
2019-01-11 07:50:00,27
2019-01-11 07:51:00,21
2019-01-11 07:52:00,18
2019-01-11 07:53:00,21
2019-01-11 07:54:00,21
2019-01-11 07:55:00,19
2019-01-11 07:56:00,24
2019-01-11 07:57:00,49
2019-01-11 07:58:00,48
2019-01-11 07:59:00,27
2019-01-11 08:00:00,21
2019-01-11 08:01:00,19
2019-01-11 08:02:00,18
2019-01-11 08:03:00,20
2019-01-11 08:04:00,17
2019-01-11 08:05:00,20
2019-01-11 08:06:00,34
2019-01-11 08:07:00,35
2019-01-11 08:08:00,35
2019-01-11 08:09:00,39
2019-01-11 08:10:00,36
2019-01-11 08:11:00,38
2019-01-11 08:12:00,40
2019-01-11 08:13:00,49
2019-01-11 08:14:00,52
2019-01-11 08:15:00,57
2019-01-11 08:16:00,62
2019-01-11 08:17:00,65
2019-01-11 08:18:00,45
2019-01-11 08:19:00,37
2019-01-11 08:20:00,35
2019-01-11 08:21:00,37
2019-01-11 08:22:00,46
2019-01-11 08:23:00,44
2019-01-11 08:24:00,47
2019-01-11 08:25:00,57
2019-01-11 08:26:00,60
2019-01-11 08:27:00,59
2019-01-11 08:28:00,57
2019-01-11 08:29:00,45
2019-01-11 08:30:00,45
2019-01-11 08:31:00,48
2019-01-11 08:32:00,59
2019-01-11 08:33:00,42
2019-01-11 08:34:00,18
2019-01-11 08:35:00,18
2019-01-11 08:36:00,18
2019-01-11 08:37:00,17
2019-01-11 08:38:00,19
2019-01-11 08:39:00,18
2019-01-11 08:40:00,33
2019-01-11 08:41:00,39
2019-01-11 08:42:00,40
2019-01-11 08:43:00,38
2019-01-11 08:44:00,23
2019-01-11 08:45:00,22
2019-01-11 08:46:00,22
2019-01-11 08:47:00,20
2019-01-11 08:48:00,20
2019-01-11 08:49:00,32
2019-01-11 08:50:00,57
2019-01-11 08:51:00,61
2019-01-11 08:52:00,60
2019-01-11 08:53:00,55
2019-01-11 08:54:00,44
2019-01-11 08:55:00,39
2019-01-11 08:56:00,53
2019-01-11 08:57:00,49
2019-01-11 08:58:00,65
2019-01-11 08:59:00,61
2019-01-11 09:00:00,59
2019-01-11 09:01:00,55
2019-01-11 09:02:00,47
2019-01-11 09:03:00,6
2019-01-11 09:04:00,3
2019-01-11 09:05:00,4
2019-01-11 09:06:00,18
2019-01-11 09:07:00,25
2019-01-11 09:08:00,24
2019-01-11 09:09:00,25
2019-01-11 09:10:00,30
2019-01-11 09:11:00,50
2019-01-11 09:12:00,47
2019-01-11 09:13:00,59
2019-01-11 09:14:00,58
2019-01-11 09:15:00,57
2019-01-11 09:16:00,46
2019-01-11 09:17:00,46
2019-01-11 09:18:00,35
2019-01-11 09:19:00,29
2019-01-11 09:20:00,27
2019-01-11 09:21:00,26
2019-01-11 09:22:00,28
2019-01-11 09:23:00,38
2019-01-11 09:24:00,48
2019-01-11 09:25:00,48
2019-01-11 09:26:00,47
2019-01-11 09:27:00,51
2019-01-11 09:28:00,49
2019-01-11 09:29:00,50
2019-01-11 09:30:00,50
2019-01-11 09:31:00,65
2019-01-11 09:32:00,78
2019-01-11 09:33:00,64
2019-01-11 09:34:00,56
2019-01-11 09:35:00,44
2019-01-11 09:36:00,38
2019-01-11 09:37:00,37
2019-01-11 09:38:00,43
2019-01-11 09:39:00,44
2019-01-11 09:40:00,42
2019-01-11 09:41:00,55
2019-01-11 09:42:00,58
2019-01-11 09:43:00,40
2019-01-11 09:44:00,27
2019-01-11 09:45:00,26
2019-01-11 09:46:00,27
2019-01-11 09:47:00,26
2019-01-11 09:48:00,34
2019-01-11 09:49:00,47
2019-01-11 09:50:00,47
2019-01-11 09:51:00,48
2019-01-11 09:52:00,45
2019-01-11 09:53:00,47
2019-01-11 09:54:00,52
2019-01-11 09:55:00,55
2019-01-11 09:56:00,55
2019-01-11 09:57:00,54
2019-01-11 09:58:00,54
2019-01-11 09:59:00,55
2019-01-11 10:00:00,55
2019-01-11 10:01:00,56
2019-01-11 10:02:00,52
2019-01-11 10:03:00,52
2019-01-11 10:04:00,39
2019-01-11 10:05:00,39
2019-01-11 10:06:00,39
2019-01-11 10:07:00,53
2019-01-11 10:08:00,59
2019-01-11 10:09:00,59
2019-01-11 10:10:00,65
2019-01-11 10:11:00,63
2019-01-11 10:12:00,58
2019-01-11 10:13:00,55
2019-01-11 10:14:00,50
2019-01-11 10:15:00,48
2019-01-11 10:16:00,48
2019-01-11 10:17:00,44
2019-01-11 10:18:00,39
