840,"SELECT TOP # u, g, r, i, z, ra, dec, flags_r FROM Star WHERE ra BETWEEN # and # AND dec BETWEEN # and # AND ( (flags_r & #) ! = #) AND ( (flags_r & #) = #) AND ( ((flags_r & #) = #) or (psfmagerr_r < = #) ) AND ( ((flags_r & #) = #) or (flags_r & #) = #)"
2019-03-08 02:04:00,1
2019-03-08 11:14:00,1
2019-03-08 14:29:00,1
2019-03-08 21:52:00,1
2019-03-09 00:45:00,1
2019-03-09 05:04:00,1
2019-03-09 12:03:00,1
2019-03-10 02:40:00,1
2019-03-11 03:08:00,1
2019-03-11 08:40:00,1
2019-03-11 09:01:00,1
2019-03-11 09:18:00,1
2019-03-11 17:05:00,1
2019-03-12 05:01:00,1
2019-03-12 13:08:00,1
2019-03-12 14:32:00,1
2019-03-13 07:21:00,1
2019-03-13 07:43:00,1
2019-03-13 12:25:00,1
2019-03-14 14:23:00,1
2019-03-15 01:33:00,1
2019-03-15 05:43:00,1
2019-03-15 19:08:00,1
2019-03-16 08:08:00,1
2019-03-16 19:49:00,1
2019-03-17 20:26:00,1
2019-03-17 21:57:00,1
2019-03-18 18:48:00,1
2019-03-19 15:42:00,1
2019-03-19 15:44:00,5
2019-03-19 15:46:00,6
2019-03-19 16:04:00,1
2019-03-19 16:05:00,1
2019-03-20 14:52:00,1
2019-03-20 15:16:00,1
2019-03-21 01:46:00,1
2019-03-21 03:26:00,1
2019-03-21 11:32:00,1
2019-03-21 16:46:00,1
2019-03-21 19:54:00,1
2019-03-22 15:48:00,1
2019-03-23 07:09:00,1
2019-03-23 17:06:00,1
2019-03-24 07:51:00,1
2019-03-24 13:29:00,1
2019-03-24 17:35:00,1
2019-03-25 02:19:00,1
2019-03-25 05:07:00,1
2019-03-25 10:20:00,1
2019-03-25 12:26:00,1
2019-03-25 20:44:00,1
2019-03-26 00:27:00,1
2019-03-26 08:20:00,1
2019-03-26 11:06:00,1
2019-03-26 11:22:00,1
2019-03-26 14:26:00,1
2019-03-27 19:38:00,1
2019-03-28 18:40:00,1
2019-03-28 23:17:00,1
2019-03-28 23:48:00,1
2019-03-29 23:58:00,1
2019-03-30 02:51:00,1
2019-03-30 09:55:00,1
2019-03-31 14:59:00,1
2019-03-31 15:08:00,1
2019-03-31 17:45:00,1
2019-03-31 21:15:00,1
2019-04-01 20:11:00,1
2019-04-01 20:27:00,1
2019-04-01 22:04:00,1
2019-04-02 12:14:00,1
2019-04-03 13:06:00,1
2019-04-04 13:40:00,1
2019-04-05 09:29:00,1
2019-04-05 11:24:00,1
2019-04-05 21:34:00,1
2019-04-06 19:54:00,1
2019-04-07 14:58:00,1
2019-04-07 17:02:00,1
2019-04-07 20:31:00,1
2019-04-08 23:06:00,1
2019-04-09 02:34:00,1
2019-04-10 02:05:00,1
2019-04-10 12:24:00,2
2019-04-10 16:20:00,1
2019-04-10 17:02:00,1
2019-04-10 19:10:00,1
2019-04-10 19:34:00,1
2019-04-10 19:35:00,1
2019-04-10 19:37:00,1
2019-04-10 19:38:00,1
2019-04-12 15:52:00,1
2019-04-13 03:22:00,1
2019-04-13 14:53:00,1
2019-04-14 08:32:00,1
2019-04-14 12:56:00,1
2019-04-15 14:32:00,1
2019-04-15 21:30:00,1
2019-04-16 00:17:00,1
2019-04-16 07:00:00,1
2019-04-16 08:59:00,1
2019-04-18 10:05:00,1
2019-04-18 16:12:00,1
2019-04-18 23:34:00,1
2019-04-19 00:39:00,1
2019-04-20 10:57:00,1
2019-04-20 18:59:00,1
2019-04-20 20:36:00,1
2019-04-21 06:22:00,1
2019-04-22 11:45:00,1
2019-04-22 14:50:00,1
2019-04-22 18:39:00,1
2019-04-22 23:31:00,1
2019-04-24 01:59:00,1
2019-04-24 11:43:00,1
2019-04-24 11:46:00,1
2019-04-24 11:50:00,1
2019-04-24 16:07:00,1
2019-04-24 17:58:00,1
2019-04-26 05:08:00,1
2019-04-27 08:55:00,1
2019-04-27 22:51:00,1
2019-04-28 03:49:00,1
2019-04-28 09:22:00,1
2019-04-28 10:13:00,1
2019-04-28 11:18:00,1
2019-04-28 13:26:00,1
2019-04-28 14:50:00,1
2019-04-28 17:34:00,1
2019-04-29 05:12:00,1
2019-04-29 22:14:00,1
2019-04-30 05:15:00,1
2019-04-30 08:38:00,1
2019-04-30 11:32:00,1
2019-05-02 21:06:00,1
2019-05-02 22:31:00,1
2019-05-03 21:39:00,1
2019-05-04 00:17:00,1
2019-05-04 15:45:00,1
2019-05-05 01:41:00,1
2019-05-05 02:52:00,1
2019-05-06 07:09:00,1
2019-05-06 08:49:00,1
2019-05-06 09:57:00,1
2019-05-06 11:14:00,1
2019-05-06 13:55:00,1
2019-05-06 15:13:00,1
2019-05-06 17:04:00,1
2019-05-08 16:51:00,1
2019-05-10 13:24:00,1
2019-05-11 06:09:00,1
2019-05-11 07:42:00,1
2019-05-13 08:57:00,1
2019-05-13 09:51:00,1
2019-05-13 15:15:00,1
2019-05-14 00:39:00,1
2019-05-14 08:28:00,1
2019-05-14 10:09:00,1
2019-05-14 21:50:00,1
2019-05-14 22:04:00,1
2019-05-15 23:10:00,1
2019-05-16 05:43:00,1
2019-05-16 14:07:00,1
2019-05-16 15:06:00,1
2019-05-17 04:35:00,1
2019-05-17 04:54:00,1
2019-05-17 05:07:00,1
2019-05-19 02:56:00,1
2019-05-19 11:15:00,1
2019-05-20 17:23:00,1
2019-05-20 19:29:00,1
2019-05-21 05:16:00,1
2019-05-21 06:50:00,1
2019-05-21 10:54:00,1
2019-05-21 12:20:00,1
2019-05-22 18:23:00,1
2019-05-23 04:26:00,1
2019-05-23 08:53:00,1
2019-05-23 12:26:00,1
2019-05-23 18:19:00,1
2019-05-24 19:58:00,1
2019-05-24 21:18:00,1
2019-05-24 22:11:00,1
2019-05-24 22:57:00,1
2019-05-25 00:00:00,1
2019-05-25 03:24:00,1
2019-05-26 21:18:00,1
2019-05-27 12:36:00,1
2019-05-29 02:57:00,1
2019-05-29 04:45:00,1
2019-05-29 13:01:00,1
2019-05-29 15:45:00,1
2019-05-30 04:13:00,1
2019-05-30 16:07:00,1
2019-05-30 23:21:00,1
2019-05-31 03:24:00,1
2019-05-31 14:58:00,1
2019-05-31 17:54:00,1
2019-06-01 02:49:00,1
2019-06-01 18:32:00,1
2019-06-01 23:48:00,1
2019-06-04 12:15:00,1
2019-06-04 14:04:00,1
2019-06-05 18:35:00,1
2019-06-06 07:28:00,1
2019-06-06 23:59:00,1
2019-06-07 15:17:00,1
2019-06-11 00:55:00,1
2019-06-11 01:56:00,1
2019-06-11 02:07:00,1
2019-06-11 16:50:00,1
2019-06-11 17:14:00,1
2019-06-13 16:50:00,1
2019-06-14 08:15:00,1
2019-06-14 19:32:00,1
2019-06-14 23:17:00,1
2019-06-15 11:40:00,1
2019-06-15 15:11:00,1
2019-06-15 22:28:00,1
2019-06-16 17:48:00,1
2019-06-17 10:57:00,1
2019-06-19 01:07:00,1
2019-06-19 03:41:00,1
2019-06-19 05:11:00,1
2019-06-19 12:09:00,1
2019-06-19 13:33:00,1
2019-06-19 13:51:00,1
2019-06-20 07:28:00,1
2019-06-20 07:31:00,1
2019-06-20 16:10:00,1
2019-06-21 06:56:00,1
2019-06-21 20:41:00,1
2019-06-22 09:05:00,1
2019-06-22 21:29:00,1
2019-06-23 15:55:00,1
2019-06-23 17:58:00,1
2019-06-23 20:16:00,1
2019-06-24 12:47:00,1
2019-06-24 12:55:00,1
2019-06-24 22:13:00,1
2019-06-25 08:56:00,1
2019-06-25 12:55:00,1
2019-06-25 16:29:00,1
2019-06-26 00:22:00,1
2019-06-27 03:01:00,1
2019-06-27 10:01:00,1
2019-06-27 20:34:00,1
2019-06-28 03:39:00,1
2019-06-28 04:37:00,1
2019-06-28 13:08:00,1
2019-06-29 06:10:00,1
2019-06-29 16:35:00,1
2019-06-30 13:35:00,1
2019-07-01 10:13:00,1
2019-07-02 15:22:00,1
2019-07-02 18:57:00,1
2019-07-03 10:11:00,1
2019-07-05 15:39:00,1
2019-07-05 23:23:00,1
2019-07-06 01:34:00,1
2019-07-06 08:24:00,1
2019-07-07 01:47:00,1
2019-07-07 21:53:00,1
2019-07-08 05:39:00,1
2019-07-08 12:52:00,1
2019-07-08 17:53:00,1
2019-07-10 20:12:00,1
2019-07-11 15:54:00,1
2019-07-11 17:51:00,1
2019-07-12 01:04:00,1
2019-07-12 02:33:00,1
2019-07-12 03:30:00,1
2019-07-12 11:00:00,1
2019-07-12 14:55:00,1
2019-07-12 20:45:00,1
2019-07-12 21:05:00,1
2019-07-13 00:26:00,1
2019-07-13 05:01:00,1
2019-07-13 20:38:00,1
2019-07-14 02:22:00,1
2019-07-14 09:50:00,1
2019-07-14 19:43:00,1
2019-07-16 16:58:00,1
2019-07-18 11:56:00,1
2019-07-18 23:59:00,1
2019-07-19 00:24:00,1
2019-07-20 00:29:00,1
2019-07-20 01:59:00,1
2019-07-20 02:21:00,1
2019-07-20 04:41:00,1
2019-07-20 05:17:00,1
2019-07-20 22:41:00,1
2019-07-21 12:32:00,1
2019-07-22 01:47:00,1
2019-07-23 01:58:00,1
2019-07-23 13:36:00,1
2019-07-23 15:35:00,1
2019-07-24 17:57:00,1
2019-07-24 21:17:00,1
2019-07-25 16:02:00,1
2019-07-26 01:38:00,1
2019-07-26 02:20:00,1
2019-07-26 03:32:00,1
2019-07-28 08:43:00,1
2019-07-28 20:37:00,1
2019-07-28 22:01:00,1
2019-07-29 11:45:00,1
2019-07-30 03:35:00,1
2019-07-30 07:41:00,1
2019-07-31 08:41:00,1
2019-07-31 16:55:00,1
2019-07-31 19:32:00,1
2019-07-31 20:16:00,1
2019-08-01 09:54:00,1
2019-08-01 12:32:00,1
2019-08-02 06:32:00,1
2019-08-04 20:48:00,1
2019-08-04 21:44:00,1
2019-08-04 23:24:00,1
2019-08-05 03:15:00,1
2019-08-05 04:18:00,1
2019-08-05 15:17:00,1
2019-08-05 20:31:00,1
2019-08-08 20:44:00,1
2019-08-09 04:46:00,1
2019-08-09 14:57:00,1
2019-08-09 17:55:00,1
2019-08-09 21:03:00,1
2019-08-11 01:10:00,1
2019-08-11 17:30:00,1
2019-08-12 17:01:00,1
2019-08-12 17:07:00,1
2019-08-13 17:00:00,1
2019-08-13 19:08:00,1
2019-08-15 19:32:00,1
2019-08-16 08:03:00,1
2019-08-16 14:54:00,1
2019-08-17 10:50:00,1
2019-08-17 23:35:00,1
2019-08-18 01:46:00,1
2019-08-20 08:29:00,1
2019-08-22 21:39:00,1
2019-08-23 13:58:00,1
2019-08-23 14:28:00,1
2019-08-23 19:22:00,1
2019-08-23 20:32:00,1
2019-08-24 11:33:00,1
2019-08-24 12:50:00,1
2019-08-25 02:07:00,1
2019-08-25 11:29:00,1
2019-08-25 22:29:00,1
2019-08-27 22:56:00,1
2019-08-28 00:19:00,1
2019-08-30 05:27:00,1
2019-08-30 13:11:00,1
2019-08-30 15:38:00,1
2019-08-31 18:36:00,1
2019-08-31 20:51:00,1
2019-09-01 04:12:00,1
2019-09-01 04:30:00,1
2019-09-01 07:54:00,1
2019-09-01 08:33:00,1
2019-09-01 17:07:00,1
2019-09-02 11:33:00,1
2019-09-02 18:18:00,1
2019-09-03 19:18:00,1
2019-09-05 09:36:00,2
2019-09-05 09:37:00,1
2019-09-05 22:59:00,1
2019-09-07 02:58:00,1
2019-09-07 17:40:00,1
2019-09-07 17:52:00,1
2019-09-08 05:35:00,1
2019-09-08 08:36:00,1
2019-09-08 11:43:00,1
2019-09-08 16:23:00,1
2019-09-08 17:10:00,1
2019-09-09 20:19:00,1
2019-09-10 08:25:00,1
2019-09-10 08:58:00,1
2019-09-11 14:16:00,1
2019-09-11 22:29:00,1
2019-09-12 07:40:00,1
2019-09-12 09:10:00,1
2019-09-13 22:05:00,1
2019-09-14 09:12:00,1
2019-09-15 06:19:00,1
2019-09-16 12:50:00,1
2019-09-17 03:09:00,1
2019-09-17 11:46:00,1
2019-09-17 16:39:00,1
2019-09-18 11:43:00,1
2019-09-18 14:13:00,1
2019-09-18 14:23:00,1
2019-09-18 19:22:00,1
2019-09-18 23:34:00,1
2019-09-19 02:23:00,1
2019-09-19 06:56:00,1
2019-09-19 10:36:00,1
2019-09-19 17:15:00,1
2019-09-20 00:52:00,1
2019-09-20 03:46:00,1
2019-09-20 04:44:00,1
2019-09-20 06:06:00,1
2019-09-20 10:12:00,1
2019-09-20 14:25:00,1
2019-09-20 20:43:00,1
2019-09-21 13:17:00,1
2019-09-23 04:10:00,1
2019-09-23 04:18:00,1
2019-09-23 05:58:00,1
2019-09-23 20:29:00,1
2019-09-24 19:47:00,1
2019-09-25 02:50:00,1
2019-09-25 06:14:00,1
2019-09-25 07:39:00,1
2019-09-25 11:11:00,1
2019-09-26 05:06:00,1
2019-09-26 06:15:00,1
2019-09-26 07:14:00,1
2019-09-26 14:22:00,1
2019-09-26 18:50:00,1
2019-09-27 05:04:00,1
2019-09-27 06:00:00,1
2019-09-27 14:22:00,1
2019-09-27 21:12:00,1
2019-09-29 19:07:00,1
2019-09-29 22:29:00,1
2019-09-29 22:48:00,1
2019-09-29 23:39:00,1
2019-09-30 10:29:00,1
2019-10-02 07:15:00,1
2019-10-02 09:51:00,1
2019-10-02 19:28:00,1
2019-10-03 13:25:00,1
2019-10-03 16:38:00,1
2019-10-03 20:12:00,1
2019-10-03 21:38:00,1
2019-10-04 00:50:00,1
2019-10-04 13:36:00,1
2019-10-04 16:35:00,1
2019-10-05 11:10:00,1
2019-10-07 07:17:00,1
2019-10-07 11:34:00,1
2019-10-08 01:33:00,1
2019-10-08 03:40:00,1
2019-10-08 19:45:00,1
2019-10-08 19:48:00,1
2019-10-08 21:10:00,1
2019-10-09 02:36:00,1
2019-10-09 11:49:00,1
2019-10-09 17:22:00,1
2019-10-10 07:09:00,1
2019-10-10 13:51:00,1
2019-10-11 01:49:00,1
2019-10-11 04:20:00,1
2019-10-13 01:55:00,1
2019-10-13 03:45:00,1
2019-10-13 12:10:00,1
2019-10-13 12:58:00,1
2019-10-14 02:51:00,1
2019-10-14 04:58:00,1
2019-10-14 19:16:00,1
2019-10-16 10:54:00,1
2019-10-16 11:58:00,1
2019-10-16 17:59:00,1
2019-10-16 18:00:00,2
2019-10-16 18:25:00,1
2019-10-17 00:31:00,1
2019-10-17 07:30:00,1
2019-10-17 13:02:00,1
2019-10-17 19:14:00,1
2019-10-18 14:05:00,1
2019-10-18 14:46:00,1
2019-10-19 08:44:00,1
2019-10-19 09:43:00,1
2019-10-21 02:36:00,1
2019-10-21 10:59:00,1
2019-10-21 14:55:00,1
2019-10-21 20:08:00,1
2019-10-22 07:06:00,1
2019-10-22 19:59:00,1
2019-10-22 20:43:00,1
2019-10-22 23:48:00,1
2019-10-23 00:02:00,1
2019-10-23 00:12:00,1
2019-10-23 03:50:00,1
2019-10-23 08:59:00,1
2019-10-23 12:53:00,1
2019-10-23 20:59:00,1
2019-10-24 02:54:00,1
2019-10-24 11:28:00,1
2019-10-24 13:49:00,1
2019-10-24 15:19:00,1
2019-10-25 17:05:00,1
2019-10-26 05:54:00,1
2019-10-27 01:54:00,1
2019-10-27 18:06:00,1
2019-10-29 16:20:00,1
2019-10-30 10:01:00,1
2019-11-01 09:11:00,1
2019-11-02 00:15:00,1
2019-11-02 06:20:00,1
2019-11-02 07:53:00,1
2019-11-02 10:00:00,1
2019-11-02 16:45:00,1
2019-11-02 20:59:00,1
2019-11-04 13:56:00,1
2019-11-04 16:42:00,1
2019-11-04 19:06:00,1
2019-11-05 05:45:00,1
2019-11-05 09:56:00,1
2019-11-05 18:40:00,1
2019-11-05 18:49:00,1
2019-11-06 16:43:00,1
2019-11-07 06:20:00,1
2019-11-07 08:36:00,1
2019-11-08 19:12:00,1
2019-11-08 19:49:00,1
2019-11-08 21:12:00,1
2019-11-09 09:34:00,1
2019-11-09 16:39:00,1
2019-11-10 11:25:00,1
2019-11-10 13:36:00,1
2019-11-13 05:33:00,1
2019-11-13 17:40:00,1
2019-11-13 18:00:00,1
2019-11-13 19:15:00,1
2019-11-14 04:04:00,1
2019-11-14 16:50:00,1
2019-11-14 16:51:00,1
2019-11-14 17:51:00,2
2019-11-14 17:52:00,1
2019-11-14 17:53:00,2
2019-11-14 17:54:00,3
2019-11-14 17:55:00,3
2019-11-14 17:56:00,4
2019-11-14 18:46:00,1
2019-11-14 18:47:00,6
2019-11-14 19:53:00,1
2019-11-14 19:55:00,1
2019-11-15 02:51:00,1
2019-11-15 03:51:00,1
2019-11-15 12:38:00,1
2019-11-15 14:03:00,1
2019-11-15 15:22:00,1
2019-11-15 15:27:00,1
2019-11-15 16:49:00,1
2019-11-15 23:46:00,1
2019-11-16 06:15:00,1
2019-11-16 06:35:00,1
2019-11-16 13:00:00,1
2019-11-18 23:00:00,1
2019-11-19 18:14:00,1
2019-11-19 19:21:00,1
2019-11-21 15:47:00,1
2019-11-22 08:53:00,1
2019-11-22 15:24:00,1
2019-11-23 05:45:00,1
2019-11-23 16:49:00,1
2019-11-24 07:06:00,1
2019-11-24 17:46:00,1
2019-11-25 10:21:00,1
2019-11-27 00:41:00,1
2019-11-27 02:40:00,1
2019-11-27 09:47:00,1
2019-11-27 12:32:00,1
2019-11-27 12:47:00,1
2019-11-27 15:43:00,1
2019-11-29 02:21:00,1
2019-11-30 02:35:00,1
2019-12-01 00:26:00,1
2019-12-01 08:00:00,1
2019-12-01 09:20:00,1
2019-12-01 13:54:00,1
2019-12-01 20:15:00,1
2019-12-02 05:38:00,1
2019-12-04 07:50:00,1
2019-12-04 09:21:00,1
2019-12-04 11:27:00,1
2019-12-04 12:58:00,1
2019-12-04 13:45:00,1
2019-12-04 23:21:00,1
2019-12-05 00:14:00,1
2019-12-05 01:04:00,1
2019-12-05 01:07:00,1
2019-12-05 01:48:00,1
2019-12-05 02:59:00,1
2019-12-05 05:09:00,1
2019-12-05 10:29:00,1
2019-12-05 10:58:00,1
2019-12-05 11:05:00,1
2019-12-05 15:03:00,1
2019-12-05 19:04:00,1
2019-12-05 20:53:00,1
2019-12-06 11:57:00,1
2019-12-06 19:45:00,1
2019-12-06 21:02:00,1
2019-12-06 23:07:00,2
2019-12-07 09:33:00,1
2019-12-07 10:22:00,1
2019-12-07 19:22:00,1
2019-12-07 19:35:00,1
2019-12-07 21:23:00,1
2019-12-07 21:39:00,1
2019-12-08 00:24:00,1
2019-12-08 02:32:00,1
2019-12-08 03:55:00,1
2019-12-08 03:59:00,1
2019-12-08 05:04:00,1
2019-12-08 13:54:00,1
2019-12-08 16:48:00,1
2019-12-08 22:44:00,1
2019-12-09 01:49:00,1
2019-12-09 07:06:00,1
2019-12-09 07:51:00,1
2019-12-09 16:44:00,1
2019-12-09 21:32:00,1
2019-12-10 13:10:00,1
2019-12-11 06:05:00,1
2019-12-11 11:28:00,1
2019-12-11 11:51:00,1
2019-12-11 19:41:00,1
2019-12-11 23:01:00,1
2019-12-12 00:43:00,1
2019-12-12 01:50:00,1
2019-12-12 06:44:00,1
2019-12-12 14:25:00,1
2019-12-13 10:25:00,1
2019-12-13 11:50:00,1
2019-12-13 12:56:00,1
2019-12-13 13:46:00,1
2019-12-14 10:30:00,1
2019-12-16 22:46:00,1
2019-12-18 09:20:00,1
2019-12-18 10:55:00,1
2019-12-18 13:49:00,1
2019-12-19 02:03:00,1
2019-12-19 20:08:00,1
2019-12-20 09:07:00,1
2019-12-20 17:23:00,1
2019-12-21 04:59:00,1
2019-12-21 09:00:00,1
2019-12-22 05:55:00,1
2019-12-22 05:57:00,6
2019-12-22 05:59:00,8
2019-12-22 09:07:00,1
2019-12-22 15:14:00,1
2019-12-23 08:50:00,1
2019-12-23 22:55:00,1
2019-12-24 00:35:00,1
2019-12-24 01:44:00,1
2019-12-24 07:08:00,1
2019-12-25 02:13:00,1
2019-12-25 05:05:00,1
2019-12-25 05:06:00,1
2019-12-25 05:37:00,1
2019-12-26 03:13:00,1
2019-12-26 07:00:00,1
2019-12-26 07:04:00,1
2019-12-26 07:57:00,1
2019-12-26 11:15:00,1
2019-12-26 15:22:00,1
2019-12-26 16:23:00,1
2019-12-27 06:46:00,1
2019-12-27 10:47:00,1
2019-12-27 13:14:00,1
2019-12-27 17:32:00,1
2019-12-28 08:42:00,1
2019-12-28 10:50:00,1
2019-12-28 16:24:00,1
2019-12-28 23:49:00,1
2019-12-30 05:25:00,1
2019-12-30 06:59:00,1
2019-12-30 11:21:00,1
