874,"SELECT TOP # ra, dec, specobjid, plate, mjd, fiberid FROM specObj WHERE survey = # and programname = #"
2019-05-23 04:23:00,1
2019-05-23 08:57:00,1
2019-05-23 10:03:00,1
2019-05-23 13:36:00,1
2019-05-23 18:21:00,1
2019-05-24 02:16:00,1
2019-05-24 08:57:00,1
2019-05-24 13:34:00,1
2019-05-24 20:01:00,1
2019-05-24 21:23:00,1
2019-05-24 22:13:00,1
2019-05-24 23:00:00,1
2019-05-25 00:01:00,1
2019-05-25 07:25:00,1
2019-05-27 12:37:00,1
2019-05-29 02:58:00,1
2019-05-29 04:46:00,1
2019-05-29 13:05:00,1
2019-05-30 04:14:00,1
2019-05-30 23:23:00,1
2019-05-31 03:26:00,1
2019-05-31 17:57:00,1
2019-06-01 20:57:00,1
2019-06-02 07:30:00,1
2019-06-02 22:51:00,1
2019-06-04 02:00:00,1
2019-06-04 14:06:00,1
2019-06-05 01:57:00,1
2019-06-05 07:08:00,1
2019-06-05 18:37:00,1
2019-06-06 01:10:00,2
2019-06-06 01:14:00,1
2019-06-06 02:37:00,1
2019-06-07 15:23:00,1
2019-06-09 10:58:00,1
2019-06-10 21:08:00,1
2019-06-10 21:24:00,1
2019-06-11 00:58:00,1
2019-06-11 01:57:00,1
2019-06-11 17:16:00,1
2019-06-12 01:25:00,1
2019-06-12 06:13:00,1
2019-06-14 08:17:00,1
2019-06-14 18:51:00,1
2019-06-14 23:18:00,1
2019-06-15 09:30:00,1
2019-06-15 17:30:00,1
2019-06-15 22:17:00,1
2019-06-16 12:02:00,1
2019-06-16 17:51:00,1
2019-06-17 09:53:00,1
2019-06-18 05:27:00,1
2019-06-18 09:25:00,1
2019-06-18 11:53:00,1
2019-06-18 13:17:00,1
2019-06-18 14:51:00,1
2019-06-19 13:46:00,1
2019-06-19 22:05:00,1
2019-06-20 00:14:00,1
2019-06-20 03:58:00,1
2019-06-20 22:07:00,1
2019-06-21 00:54:00,1
2019-06-21 06:56:00,1
2019-06-22 00:06:00,1
2019-06-22 18:23:00,1
2019-06-23 05:36:00,1
2019-06-23 05:38:00,1
2019-06-23 05:41:00,1
2019-06-23 05:46:00,1
2019-06-23 16:21:00,1
2019-06-23 18:00:00,1
2019-06-23 23:18:00,1
2019-06-24 02:26:00,1
2019-06-24 12:52:00,1
2019-06-24 13:25:00,1
2019-06-24 22:11:00,1
2019-06-25 12:35:00,1
2019-06-25 16:40:00,1
2019-06-25 22:25:00,1
2019-06-26 00:47:00,1
2019-06-27 03:03:00,1
2019-06-27 10:02:00,1
2019-06-27 12:01:00,1
2019-06-27 20:01:00,1
2019-06-28 13:13:00,1
2019-06-29 05:36:00,1
2019-06-29 10:33:00,1
2019-06-29 16:36:00,1
2019-07-01 09:40:00,1
2019-07-01 10:15:00,1
2019-07-01 21:29:00,1
2019-07-02 01:33:00,1
2019-07-02 15:20:00,1
2019-07-02 15:24:00,1
2019-07-02 19:00:00,1
2019-07-02 19:46:00,1
2019-07-03 10:13:00,1
2019-07-03 14:24:00,1
2019-07-03 17:07:00,1
2019-07-05 22:01:00,1
2019-07-05 22:05:00,1
2019-07-06 01:48:00,1
2019-07-06 03:27:00,1
2019-07-07 01:50:00,1
2019-07-07 21:54:00,1
2019-07-08 05:43:00,1
2019-07-08 15:51:00,1
2019-07-08 17:56:00,1
2019-07-10 06:08:00,1
2019-07-10 16:24:00,1
2019-07-11 14:58:00,1
2019-07-11 19:15:00,1
2019-07-11 23:38:00,1
2019-07-12 03:32:00,1
2019-07-12 11:03:00,1
2019-07-12 19:17:00,1
2019-07-12 21:43:00,1
2019-07-13 05:02:00,1
2019-07-14 02:23:00,1
2019-07-14 08:17:00,1
2019-07-14 09:51:00,1
2019-07-14 19:45:00,1
2019-07-15 03:33:00,1
2019-07-15 08:25:00,1
2019-07-15 17:56:00,1
2019-07-17 10:52:00,1
2019-07-18 11:57:00,1
2019-07-19 00:00:00,1
2019-07-20 00:24:00,1
2019-07-20 00:32:00,1
2019-07-20 02:00:00,1
2019-07-20 04:43:00,1
2019-07-20 05:18:00,1
2019-07-20 05:33:00,1
2019-07-21 06:43:00,1
2019-07-21 06:55:00,1
2019-07-22 01:50:00,1
2019-07-22 05:32:00,1
2019-07-22 13:53:00,1
2019-07-22 17:22:00,1
2019-07-23 15:37:00,1
2019-07-24 02:14:00,1
2019-07-24 08:17:00,1
2019-07-24 10:44:00,1
2019-07-24 17:46:00,1
2019-07-25 05:14:00,1
2019-07-25 19:32:00,1
2019-07-25 23:08:00,1
2019-07-26 17:51:00,1
2019-07-27 04:20:00,1
2019-07-27 07:00:00,1
2019-07-28 08:45:00,1
2019-07-28 22:03:00,1
2019-07-29 18:29:00,1
2019-07-29 22:12:00,1
2019-07-30 03:36:00,1
2019-07-30 13:01:00,1
2019-07-31 12:25:00,1
2019-07-31 12:48:00,1
2019-07-31 14:45:00,1
2019-07-31 17:47:00,1
2019-08-01 03:09:00,1
2019-08-02 03:38:00,1
2019-08-03 17:00:00,1
2019-08-04 21:46:00,1
2019-08-04 23:26:00,1
2019-08-05 04:32:00,1
2019-08-05 15:21:00,1
2019-08-06 02:39:00,1
2019-08-08 20:47:00,1
2019-08-09 06:56:00,1
2019-08-09 14:58:00,1
2019-08-09 17:55:00,1
2019-08-10 17:40:00,1
2019-08-11 01:13:00,1
2019-08-12 17:03:00,1
2019-08-12 17:08:00,1
2019-08-13 17:02:00,1
2019-08-13 19:10:00,1
2019-08-14 22:53:00,1
2019-08-15 03:56:00,1
2019-08-15 20:37:00,1
2019-08-16 02:45:00,1
2019-08-16 07:08:00,1
2019-08-16 10:08:00,1
2019-08-16 14:55:00,1
2019-08-16 20:34:00,1
2019-08-16 23:47:00,1
2019-08-17 08:55:00,1
2019-08-17 09:17:00,1
2019-08-17 11:02:00,1
2019-08-20 23:08:00,1
2019-08-21 04:48:00,1
2019-08-21 16:37:00,1
2019-08-22 07:41:00,1
2019-08-22 13:04:00,1
2019-08-23 01:44:00,1
2019-08-23 04:55:00,1
2019-08-23 08:02:00,1
2019-08-23 14:29:00,1
2019-08-23 21:10:00,1
2019-08-24 22:07:00,1
2019-08-25 04:07:00,1
2019-08-27 22:57:00,1
2019-08-28 00:21:00,1
2019-08-30 05:30:00,1
2019-08-30 11:16:00,1
2019-08-30 13:11:00,1
2019-08-30 14:01:00,1
2019-08-31 08:42:00,1
2019-08-31 18:39:00,1
2019-08-31 20:53:00,1
2019-08-31 21:18:00,1
2019-09-01 08:36:00,1
2019-09-01 17:14:00,1
2019-09-02 11:35:00,1
2019-09-02 18:20:00,1
2019-09-03 19:21:00,1
2019-09-04 23:31:00,1
2019-09-05 04:49:00,1
2019-09-05 16:37:00,1
2019-09-05 22:36:00,1
2019-09-06 03:15:00,1
2019-09-06 22:00:00,1
2019-09-07 10:40:00,1
2019-09-07 17:41:00,1
2019-09-07 19:21:00,1
2019-09-08 07:02:00,1
2019-09-08 08:39:00,1
2019-09-08 11:44:00,1
2019-09-08 17:12:00,1
2019-09-09 14:03:00,1
2019-09-10 08:27:00,1
2019-09-11 14:18:00,1
2019-09-11 22:31:00,1
2019-09-12 07:44:00,1
2019-09-12 09:12:00,1
2019-09-12 12:51:00,1
2019-09-13 00:38:00,1
2019-09-13 05:11:00,1
2019-09-13 22:10:00,1
2019-09-14 17:55:00,1
2019-09-15 00:01:00,1
2019-09-15 06:20:00,1
2019-09-15 07:04:00,1
2019-09-15 08:04:00,1
2019-09-17 03:16:00,1
2019-09-17 11:48:00,1
2019-09-17 16:42:00,1
2019-09-17 21:02:00,1
2019-09-18 02:55:00,1
2019-09-18 11:44:00,1
2019-09-18 14:15:00,1
2019-09-18 14:26:00,1
2019-09-18 19:24:00,1
2019-09-18 23:36:00,1
2019-09-19 02:25:00,1
2019-09-19 10:38:00,1
2019-09-19 17:20:00,1
2019-09-20 00:53:00,1
2019-09-20 06:08:00,1
2019-09-20 06:38:00,1
2019-09-20 10:13:00,1
2019-09-21 13:19:00,1
2019-09-23 06:00:00,1
2019-09-23 16:42:00,1
2019-09-23 20:31:00,1
2019-09-25 07:40:00,1
2019-09-25 20:11:00,1
2019-09-26 05:09:00,1
2019-09-26 06:19:00,1
2019-09-28 00:01:00,1
2019-09-28 04:51:00,1
2019-09-29 09:29:00,1
2019-09-29 19:09:00,1
2019-09-29 22:30:00,1
2019-09-29 23:43:00,1
2019-09-30 01:49:00,1
2019-09-30 03:54:00,1
2019-09-30 07:57:00,1
2019-10-01 02:50:00,1
2019-10-02 07:17:00,1
2019-10-02 09:53:00,1
2019-10-02 22:10:00,1
2019-10-03 16:43:00,1
2019-10-03 20:15:00,1
2019-10-03 21:44:00,1
2019-10-03 22:31:00,1
2019-10-04 02:31:00,1
2019-10-04 13:37:00,1
2019-10-05 07:46:00,1
2019-10-05 08:51:00,1
2019-10-07 07:25:00,1
2019-10-08 03:41:00,1
2019-10-08 19:49:00,1
2019-10-09 11:52:00,1
2019-10-09 17:23:00,1
2019-10-10 07:12:00,1
2019-10-10 13:53:00,1
2019-10-10 16:47:00,1
2019-10-11 04:22:00,1
2019-10-11 11:40:00,1
2019-10-13 00:39:00,1
2019-10-13 08:46:00,1
2019-10-13 10:55:00,1
2019-10-13 13:02:00,1
2019-10-14 02:53:00,1
2019-10-14 02:55:00,1
2019-10-14 04:00:00,1
2019-10-14 05:00:00,1
2019-10-14 05:38:00,1
2019-10-14 14:05:00,1
2019-10-17 00:33:00,1
2019-10-17 05:10:00,1
2019-10-17 13:05:00,1
2019-10-17 19:16:00,1
2019-10-18 11:59:00,1
2019-10-19 10:01:00,1
2019-10-19 13:25:00,1
2019-10-19 17:40:00,1
2019-10-21 00:24:00,1
2019-10-21 02:37:00,1
2019-10-21 11:00:00,1
2019-10-21 12:43:00,1
2019-10-21 21:03:00,1
2019-10-22 03:58:00,1
2019-10-22 06:13:00,1
2019-10-22 07:08:00,1
2019-10-22 10:11:00,1
2019-10-22 13:53:00,1
2019-10-22 20:03:00,1
2019-10-22 20:28:00,1
2019-10-22 21:02:00,1
2019-10-22 21:33:00,1
2019-10-23 00:03:00,1
2019-10-23 09:33:00,1
2019-10-23 14:56:00,1
2019-10-23 21:00:00,1
2019-10-24 00:47:00,1
2019-10-24 01:44:00,1
2019-10-24 09:49:00,1
2019-10-24 13:53:00,1
2019-10-24 15:21:00,1
2019-10-24 16:37:00,1
2019-10-24 21:28:00,1
2019-10-24 21:39:00,1
2019-10-24 21:55:00,1
2019-10-24 22:07:00,1
2019-10-25 00:13:00,1
2019-10-25 00:37:00,1
2019-10-25 00:48:00,1
2019-10-25 02:53:00,1
2019-10-25 15:27:00,1
2019-10-26 05:55:00,1
2019-10-26 16:14:00,1
2019-10-26 19:36:00,1
2019-10-27 10:11:00,1
2019-10-29 16:10:00,1
2019-10-30 20:53:00,1
2019-10-30 23:48:00,1
2019-10-31 04:12:00,1
2019-11-01 05:31:00,1
2019-11-01 06:14:00,1
2019-11-01 07:34:00,1
2019-11-01 09:13:00,1
2019-11-02 00:16:00,1
2019-11-02 01:11:00,1
2019-11-02 06:36:00,1
2019-11-02 06:38:00,1
2019-11-02 07:10:00,1
2019-11-02 10:04:00,1
2019-11-02 10:06:00,1
2019-11-02 10:27:00,1
2019-11-02 12:34:00,1
2019-11-02 21:27:00,1
2019-11-04 13:58:00,1
2019-11-04 16:43:00,1
2019-11-04 23:16:00,1
2019-11-05 01:34:00,1
2019-11-05 05:48:00,1
2019-11-06 08:42:00,1
2019-11-07 03:42:00,1
2019-11-08 19:13:00,1
2019-11-08 21:13:00,1
2019-11-09 09:36:00,1
2019-11-09 16:41:00,1
2019-11-10 11:26:00,1
2019-11-11 11:20:00,1
2019-11-13 05:36:00,1
2019-11-13 18:49:00,1
2019-11-13 19:17:00,1
2019-11-14 05:55:00,1
2019-11-14 06:18:00,1
2019-11-14 09:32:00,1
2019-11-14 10:20:00,1
2019-11-14 11:31:00,1
2019-11-14 19:26:00,1
2019-11-14 19:27:00,6
2019-11-14 19:28:00,2
2019-11-14 19:29:00,4
2019-11-14 19:58:00,1
2019-11-15 02:52:00,1
2019-11-15 03:54:00,1
2019-11-16 06:16:00,1
2019-11-16 06:36:00,1
2019-11-16 13:03:00,1
2019-11-17 19:35:00,1
2019-11-17 23:34:00,1
2019-11-18 09:29:00,1
2019-11-18 18:48:00,1
2019-11-18 22:50:00,1
2019-11-18 23:03:00,1
2019-11-19 18:17:00,1
2019-11-19 19:22:00,1
2019-11-20 04:50:00,1
2019-11-20 12:38:00,1
2019-11-21 09:50:00,1
2019-11-21 20:12:00,1
2019-11-22 08:54:00,1
2019-11-22 15:26:00,1
2019-11-22 18:43:00,1
2019-11-23 00:35:00,1
2019-11-23 16:52:00,1
2019-11-24 17:47:00,1
2019-11-27 09:50:00,1
2019-11-27 12:50:00,1
2019-11-29 02:37:00,1
2019-11-29 02:39:00,1
2019-11-29 23:59:00,1
2019-11-30 02:44:00,1
2019-11-30 08:14:00,1
2019-11-30 08:42:00,1
2019-12-01 00:28:00,1
2019-12-01 08:02:00,1
2019-12-01 16:45:00,1
2019-12-01 20:17:00,1
2019-12-03 01:13:00,1
2019-12-03 03:40:00,1
2019-12-03 08:20:00,1
2019-12-03 08:32:00,1
2019-12-04 09:25:00,1
2019-12-04 11:17:00,1
2019-12-04 11:24:00,1
2019-12-05 00:15:00,1
2019-12-05 00:22:00,1
2019-12-05 01:05:00,1
2019-12-05 01:52:00,1
2019-12-05 03:00:00,1
2019-12-05 05:13:00,1
2019-12-05 10:30:00,1
2019-12-05 11:00:00,1
2019-12-05 11:15:00,1
2019-12-05 15:03:00,1
2019-12-05 19:01:00,1
2019-12-05 19:15:00,1
2019-12-05 20:54:00,1
2019-12-06 11:01:00,1
2019-12-06 11:14:00,1
2019-12-06 12:59:00,1
2019-12-06 19:24:00,1
2019-12-06 22:35:00,1
2019-12-06 23:16:00,1
2019-12-07 09:37:00,1
2019-12-07 13:57:00,1
2019-12-07 21:24:00,1
2019-12-07 23:00:00,2
2019-12-08 08:06:00,1
2019-12-08 16:53:00,1
2019-12-09 02:03:00,1
2019-12-09 07:07:00,1
2019-12-09 07:08:00,1
2019-12-09 10:54:00,1
2019-12-09 21:34:00,1
2019-12-11 08:34:00,1
2019-12-11 09:39:00,1
2019-12-11 12:23:00,1
2019-12-12 00:45:00,1
2019-12-12 02:28:00,1
2019-12-12 06:07:00,1
2019-12-12 06:45:00,1
2019-12-12 15:04:00,1
2019-12-13 10:27:00,1
2019-12-13 12:29:00,1
2019-12-13 13:31:00,1
2019-12-13 13:47:00,1
2019-12-13 22:40:00,1
2019-12-14 10:27:00,1
2019-12-15 05:12:00,1
2019-12-16 22:49:00,1
2019-12-17 00:17:00,1
2019-12-18 01:03:00,1
2019-12-18 01:26:00,1
2019-12-18 01:31:00,1
2019-12-18 04:38:00,1
2019-12-18 10:56:00,1
2019-12-18 13:59:00,1
2019-12-19 02:14:00,1
2019-12-19 16:53:00,1
2019-12-19 20:11:00,1
2019-12-19 22:25:00,1
2019-12-20 06:42:00,1
2019-12-20 09:10:00,1
2019-12-20 17:23:00,1
2019-12-22 06:39:00,2
2019-12-22 14:07:00,1
2019-12-22 15:18:00,1
2019-12-23 08:52:00,1
2019-12-25 02:17:00,1
2019-12-25 05:06:00,1
2019-12-25 05:46:00,1
2019-12-26 03:14:00,1
2019-12-26 14:56:00,1
2019-12-26 15:22:00,1
2019-12-26 17:44:00,1
2019-12-27 07:25:00,1
2019-12-27 13:15:00,1
2019-12-27 22:13:00,1
2019-12-27 22:36:00,1
2019-12-28 23:53:00,1
2019-12-29 06:54:00,1
2019-12-29 19:08:00,1
2019-12-30 03:36:00,1
2019-12-30 06:59:00,1
2019-12-30 11:56:00,1
2019-12-30 18:12:00,1
2019-12-31 00:06:00,1
