375,"SELECT TOP # s.plate, s.mjd, s.fiberid FROM ..SpecObj as s JOIN PhotoObj AS p ON s.bestobjid = p.objid WHERE (p.i - p.z) > # AND (p.i - p.z) < # AND p.u > # AND s.zWarning = #"
2019-05-25 00:50:00,1
2019-05-25 08:08:00,1
2019-05-25 08:10:00,1
2019-05-29 16:57:00,1
2019-05-29 16:59:00,1
2019-05-30 08:29:00,1
2019-05-30 08:31:00,1
2019-06-01 01:33:00,1
2019-06-02 22:20:00,1
2019-06-02 22:22:00,1
2019-06-05 21:53:00,1
2019-06-05 21:55:00,1
2019-06-09 00:33:00,1
2019-06-15 00:51:00,1
2019-06-15 00:53:00,1
2019-06-19 04:24:00,1
2019-06-20 23:23:00,1
2019-06-21 07:21:00,1
2019-06-23 14:07:00,1
2019-06-24 08:31:00,1
2019-06-24 21:27:00,1
2019-06-27 03:49:00,1
2019-06-27 03:51:00,1
2019-06-27 07:17:00,1
2019-06-27 17:07:00,1
2019-06-28 18:27:00,1
2019-06-28 18:30:00,1
2019-07-02 05:52:00,2
2019-07-02 19:40:00,1
2019-07-02 19:42:00,1
2019-07-02 23:54:00,1
2019-07-03 10:47:00,1
2019-07-03 10:49:00,1
2019-07-04 13:52:00,1
2019-07-07 03:10:00,1
2019-07-07 03:12:00,1
2019-07-08 01:16:00,1
2019-07-10 23:11:00,1
2019-07-11 20:41:00,1
2019-07-14 02:47:00,1
2019-07-14 02:49:00,1
2019-07-14 12:36:00,1
2019-07-18 03:47:00,1
2019-07-18 03:49:00,1
2019-07-20 05:44:00,1
2019-07-20 05:46:00,1
2019-07-20 18:59:00,1
2019-07-20 19:01:00,1
2019-07-21 19:49:00,1
2019-07-22 05:41:00,1
2019-07-23 16:14:00,1
2019-07-25 21:16:00,1
2019-07-25 23:14:00,1
2019-07-29 04:37:00,1
2019-07-30 19:32:00,1
2019-08-02 01:22:00,1
2019-08-02 01:25:00,1
2019-08-02 20:59:00,1
2019-08-05 13:34:00,1
2019-08-05 13:36:00,1
2019-08-05 13:39:00,1
2019-08-05 13:44:00,1
2019-08-05 13:53:00,1
2019-08-05 21:19:00,1
2019-08-05 22:34:00,2
2019-08-11 01:34:00,1
2019-08-11 01:36:00,1
2019-08-12 04:11:00,1
2019-08-12 09:37:00,1
2019-08-12 19:34:00,1
2019-08-13 00:24:00,1
2019-08-14 08:54:00,1
2019-08-17 00:09:00,1
2019-08-22 13:44:00,1
2019-08-23 01:50:00,1
2019-08-25 05:10:00,1
2019-08-25 05:12:00,1
2019-08-28 00:58:00,1
2019-08-28 01:00:00,1
2019-08-30 19:35:00,1
2019-08-31 03:14:00,1
2019-08-31 21:14:00,1
2019-08-31 21:15:00,1
2019-09-01 00:08:00,1
2019-09-01 00:49:00,1
2019-09-01 09:20:00,1
2019-09-01 10:43:00,1
2019-09-06 22:28:00,1
2019-09-07 23:43:00,1
2019-09-09 14:01:00,5
2019-09-13 20:35:00,1
2019-09-13 20:37:00,1
2019-09-13 20:41:00,1
2019-09-15 00:07:00,1
2019-09-16 04:20:00,1
2019-09-16 04:35:00,1
2019-09-17 08:12:00,1
2019-09-17 13:53:00,1
2019-09-17 21:48:00,1
2019-09-19 19:08:00,1
2019-09-19 19:10:00,1
2019-09-20 01:28:00,1
2019-09-20 01:30:00,1
2019-09-20 10:34:00,1
2019-09-20 11:59:00,1
2019-09-21 13:48:00,1
2019-09-21 13:50:00,1
2019-09-21 18:07:00,1
2019-09-21 18:09:00,1
2019-09-22 07:38:00,1
2019-09-22 20:05:00,1
2019-09-24 05:04:00,1
2019-09-24 07:17:00,1
2019-09-24 07:19:00,1
2019-09-24 15:33:00,1
2019-09-24 15:36:00,1
2019-09-24 15:38:00,1
2019-09-25 09:40:00,1
2019-09-25 19:19:00,1
2019-09-25 19:21:00,1
2019-09-29 19:53:00,1
2019-09-30 01:54:00,1
2019-09-30 18:09:00,1
2019-09-30 18:11:00,1
2019-10-02 07:51:00,1
2019-10-02 07:53:00,1
2019-10-02 09:16:00,1
2019-10-13 17:08:00,1
2019-10-13 17:10:00,1
2019-10-14 08:07:00,1
2019-10-14 08:10:00,1
2019-10-15 13:29:00,1
2019-10-16 06:53:00,1
2019-10-17 08:13:00,1
2019-10-17 13:47:00,1
2019-10-19 08:27:00,1
2019-10-20 09:45:00,1
2019-10-21 01:28:00,1
2019-10-21 01:30:00,1
2019-10-21 02:59:00,1
2019-10-22 22:01:00,1
2019-10-22 23:20:00,1
2019-10-23 01:08:00,1
2019-10-24 09:57:00,1
2019-10-26 19:39:00,1
2019-10-27 08:56:00,1
2019-10-30 13:37:00,1
2019-11-02 00:50:00,1
2019-11-02 00:52:00,1
2019-11-02 01:21:00,1
2019-11-03 01:54:00,1
2019-11-04 02:10:00,1
2019-11-04 02:47:00,1
2019-11-04 12:27:00,1
2019-11-04 12:29:00,1
2019-11-04 14:39:00,1
2019-11-04 14:41:00,1
2019-11-04 18:17:00,1
2019-11-05 02:38:00,1
2019-11-05 02:40:00,1
2019-11-08 21:33:00,1
2019-11-08 21:35:00,1
2019-11-09 13:22:00,1
2019-11-09 13:24:00,1
2019-11-09 17:10:00,1
2019-11-09 17:12:00,1
2019-11-14 10:59:00,1
2019-11-15 00:51:00,1
2019-11-15 03:26:00,1
2019-11-15 03:28:00,1
2019-11-16 14:04:00,1
2019-11-16 14:07:00,1
2019-11-21 20:08:00,1
2019-11-21 20:10:00,1
2019-11-22 09:21:00,1
2019-11-22 09:23:00,1
2019-11-24 11:10:00,1
2019-11-24 11:12:00,1
2019-11-27 13:38:00,1
2019-11-27 13:40:00,1
2019-11-28 04:14:00,1
2019-11-28 11:45:00,1
2019-11-28 11:47:00,1
2019-11-28 12:01:00,1
2019-12-01 00:58:00,1
2019-12-01 01:00:00,1
2019-12-01 13:39:00,1
2019-12-01 13:41:00,1
2019-12-04 06:39:00,1
2019-12-04 06:41:00,1
2019-12-05 10:05:00,1
2019-12-05 10:07:00,1
2019-12-05 11:22:00,1
2019-12-05 11:33:00,1
2019-12-05 11:35:00,1
2019-12-06 02:35:00,1
2019-12-06 21:56:00,1
2019-12-07 13:44:00,1
2019-12-09 16:22:00,2
2019-12-09 16:23:00,1
2019-12-10 01:35:00,1
2019-12-11 20:19:00,1
2019-12-12 11:20:00,1
2019-12-12 11:22:00,1
2019-12-13 17:56:00,1
2019-12-13 17:58:00,1
2019-12-14 07:05:00,1
2019-12-15 13:16:00,1
2019-12-18 08:43:00,1
2019-12-22 18:00:00,1
2019-12-25 05:31:00,1
2019-12-25 05:33:00,1
2019-12-25 16:55:00,1
2019-12-27 00:40:00,1
2019-12-27 13:46:00,1
2019-12-27 13:48:00,1
