1011,"select objID, ra, dec, u, r, g, i, z, err_u, err_r, err_g, err_i, err_z, case type when # then # when # then # else # end as class from PhotoPrimary where (ra between #-#./# and #+#./#) and (dec between #-#./# and #+#./#)"
2019-05-08 14:04:00,6
2019-05-08 14:05:00,5
2019-05-08 14:06:00,5
2019-05-08 14:07:00,5
2019-05-08 14:08:00,5
2019-05-08 14:09:00,6
2019-05-08 14:10:00,5
2019-05-08 14:11:00,5
2019-05-08 14:12:00,5
2019-05-08 14:13:00,6
2019-05-08 14:14:00,5
2019-05-08 14:15:00,6
2019-05-08 14:16:00,5
2019-05-08 14:17:00,5
2019-05-08 14:18:00,5
2019-05-08 14:19:00,5
2019-05-08 14:20:00,5
2019-05-08 14:21:00,5
2019-05-08 14:22:00,5
2019-05-08 14:23:00,5
2019-05-08 14:24:00,6
2019-05-08 14:25:00,5
2019-05-08 14:26:00,5
2019-05-08 14:27:00,6
2019-05-08 14:28:00,4
2019-05-08 14:29:00,6
2019-05-08 14:30:00,4
2019-05-08 14:31:00,5
2019-05-08 14:32:00,6
2019-05-08 14:33:00,5
2019-05-08 14:34:00,5
2019-05-08 14:35:00,5
2019-05-08 14:36:00,6
2019-05-08 14:37:00,5
2019-05-08 14:38:00,5
2019-05-08 14:39:00,5
2019-05-08 14:40:00,6
2019-05-08 14:41:00,5
2019-05-08 14:42:00,5
2019-05-08 14:43:00,4
2019-05-08 14:44:00,6
2019-05-08 14:45:00,5
2019-05-08 14:46:00,5
2019-05-08 14:47:00,6
2019-05-08 14:48:00,5
2019-05-08 14:49:00,5
2019-05-08 14:50:00,6
2019-05-08 14:51:00,6
2019-05-08 14:52:00,5
2019-05-08 14:53:00,5
2019-05-08 14:54:00,5
2019-05-08 14:55:00,6
2019-05-08 14:56:00,5
2019-05-08 14:57:00,6
2019-05-08 14:58:00,6
2019-05-08 14:59:00,5
2019-05-08 15:00:00,5
2019-05-08 15:01:00,4
2019-05-08 15:02:00,6
2019-05-08 15:03:00,5
2019-05-08 15:04:00,5
2019-05-08 15:05:00,5
2019-05-08 15:06:00,6
2019-05-08 15:07:00,5
2019-05-08 15:08:00,6
2019-05-08 15:09:00,4
2019-05-08 15:10:00,6
2019-05-08 15:11:00,5
2019-05-08 15:12:00,4
2019-05-08 15:13:00,5
2019-05-08 15:14:00,5
2019-05-08 15:15:00,5
2019-05-08 15:16:00,6
2019-05-08 15:17:00,4
2019-05-08 15:18:00,5
2019-05-08 15:19:00,4
2019-05-08 15:20:00,3
