30794,"SELECT dbo.fInFootprintEq (#, #, #)"
2019-02-15 06:24:00,15
2019-02-15 06:25:00,14
2019-02-15 06:26:00,14
2019-02-15 06:27:00,15
2019-02-15 06:28:00,14
2019-02-15 06:29:00,15
2019-02-16 06:00:00,9
2019-02-16 06:01:00,14
2019-02-16 06:02:00,15
2019-02-16 06:03:00,14
2019-02-16 06:04:00,15
2019-02-16 06:05:00,14
2019-02-16 06:06:00,14
2019-02-16 06:07:00,15
2019-02-16 06:08:00,14
2019-02-16 06:09:00,14
2019-02-16 06:10:00,15
2019-02-16 06:11:00,14
2019-02-16 06:12:00,14
2019-02-16 06:13:00,15
2019-02-16 06:14:00,12
2019-02-17 06:01:00,1
2019-02-17 06:02:00,4
2019-02-17 06:03:00,5
2019-02-17 06:04:00,4
2019-02-17 06:05:00,4
2019-02-17 06:06:00,5
2019-02-17 06:07:00,10
2019-02-17 06:08:00,11
2019-02-17 06:09:00,4
2019-02-17 06:10:00,11
2019-02-17 06:11:00,13
2019-02-17 06:12:00,14
2019-02-17 06:13:00,11
2019-02-17 06:14:00,5
2019-02-17 06:15:00,12
2019-02-17 06:16:00,14
2019-02-17 06:17:00,13
2019-02-17 06:18:00,11
2019-02-17 06:19:00,6
2019-02-17 06:20:00,7
2019-02-17 06:21:00,9
2019-02-17 06:22:00,5
2019-02-17 06:31:00,1
2019-02-18 06:00:00,9
2019-02-18 06:01:00,15
2019-02-18 06:02:00,15
2019-02-18 06:03:00,12
2019-02-18 06:04:00,10
2019-02-18 06:05:00,8
2019-02-18 06:06:00,13
2019-02-18 06:07:00,15
2019-02-18 06:08:00,14
2019-02-18 06:09:00,9
2019-02-19 06:00:00,9
2019-02-19 06:01:00,15
2019-02-19 06:02:00,15
2019-02-19 06:03:00,14
2019-02-19 06:04:00,15
2019-02-19 06:05:00,10
2019-02-19 06:06:00,14
2019-02-19 06:07:00,15
2019-02-19 06:08:00,15
2019-02-19 06:09:00,15
2019-02-19 06:10:00,14
2019-02-19 06:11:00,15
2019-02-19 06:12:00,8
2019-02-19 06:13:00,8
2019-02-19 06:14:00,8
2019-02-19 06:15:00,13
2019-02-19 06:16:00,13
2019-02-19 06:17:00,9
2019-02-20 06:00:00,5
2019-02-20 06:01:00,7
2019-02-20 06:02:00,8
2019-02-20 06:03:00,7
2019-02-20 06:04:00,7
2019-02-20 06:05:00,7
2019-02-20 06:06:00,8
2019-02-20 06:07:00,14
2019-02-20 06:08:00,15
2019-02-20 06:09:00,14
2019-02-20 06:10:00,15
2019-02-20 06:11:00,13
2019-02-20 06:12:00,8
2019-02-20 06:13:00,11
2019-02-20 06:14:00,14
2019-02-20 06:15:00,14
2019-02-20 06:16:00,15
2019-02-20 06:17:00,14
2019-02-20 06:18:00,15
2019-02-20 06:19:00,15
2019-02-20 06:20:00,12
2019-02-22 06:00:00,4
2019-02-22 06:01:00,8
2019-02-22 06:02:00,7
2019-02-22 06:03:00,11
2019-02-22 06:04:00,14
2019-02-22 06:05:00,8
2019-02-22 06:06:00,14
2019-02-22 06:07:00,15
2019-02-22 06:08:00,14
2019-02-22 06:09:00,14
2019-02-22 06:10:00,9
2019-02-22 06:11:00,14
2019-02-22 06:12:00,15
2019-02-22 06:13:00,14
2019-02-22 06:14:00,14
2019-02-22 06:15:00,14
2019-02-22 06:16:00,13
2019-02-23 06:00:00,9
2019-02-23 06:01:00,15
2019-02-23 06:02:00,15
2019-02-23 06:03:00,15
2019-02-23 06:04:00,15
2019-02-23 06:05:00,15
2019-02-23 06:06:00,6
2019-02-24 06:00:00,7
2019-02-24 06:01:00,15
2019-02-24 06:02:00,15
2019-02-24 06:03:00,14
2019-02-24 06:04:00,15
2019-02-24 06:05:00,14
2019-02-24 06:06:00,15
2019-02-24 06:07:00,15
2019-02-24 06:08:00,15
2019-02-24 06:09:00,13
2019-02-25 06:00:00,7
2019-02-25 06:01:00,4
2019-02-25 06:08:00,1
2019-02-26 06:00:00,3
2019-02-26 06:19:00,1
2019-02-26 06:30:00,1
2019-02-26 06:37:00,2
2019-02-26 06:38:00,15
2019-02-26 06:39:00,7
2019-02-26 19:04:00,2
2019-02-26 19:05:00,8
2019-02-27 06:00:00,2
2019-02-27 06:03:00,1
2019-02-27 06:21:00,1
2019-02-27 06:33:00,12
2019-02-27 06:34:00,15
2019-02-27 06:35:00,14
2019-02-27 06:36:00,15
2019-02-27 06:37:00,4
2019-02-27 19:03:00,2
2019-02-27 19:04:00,8
2019-02-27 19:05:00,9
2019-02-28 06:00:00,4
2019-02-28 06:13:00,1
2019-03-02 06:00:00,2
2019-03-02 06:05:00,2
2019-03-02 06:06:00,15
2019-03-02 06:07:00,14
2019-03-02 06:08:00,15
2019-03-02 06:09:00,12
2019-03-02 06:15:00,1
2019-03-02 19:01:00,13
2019-03-02 19:02:00,7
2019-03-03 06:01:00,10
2019-03-03 06:02:00,15
2019-03-03 06:03:00,14
2019-03-03 06:04:00,15
2019-03-03 06:05:00,6
2019-03-03 06:06:00,7
2019-03-03 06:07:00,15
2019-03-03 06:08:00,8
2019-03-03 06:09:00,6
2019-03-03 06:10:00,14
2019-03-03 06:11:00,15
2019-03-03 06:12:00,14
2019-03-03 06:13:00,11
2019-03-03 06:14:00,1
2019-03-04 06:00:00,4
2019-03-04 06:01:00,15
2019-03-04 06:02:00,10
2019-03-04 06:04:00,2
2019-03-04 06:05:00,10
2019-03-08 06:00:00,8
2019-03-08 06:01:00,15
2019-03-08 06:02:00,7
2019-03-08 06:10:00,1
2019-03-08 06:44:00,1
2019-03-08 06:50:00,1
2019-03-08 08:45:00,2
2019-03-08 08:52:00,5
2019-03-08 08:53:00,1
2019-03-08 09:02:00,13
2019-03-08 09:03:00,12
2019-03-08 09:04:00,13
2019-03-08 09:05:00,7
2019-03-08 09:06:00,13
2019-03-08 09:07:00,13
2019-03-08 09:08:00,14
2019-03-08 09:09:00,14
2019-03-08 09:10:00,14
2019-03-08 09:11:00,14
2019-03-08 09:12:00,14
2019-03-08 09:13:00,4
2019-03-08 19:06:00,8
2019-03-08 19:07:00,2
2019-03-09 06:31:00,1
2019-03-09 06:47:00,1
2019-03-09 06:54:00,1
2019-03-09 06:59:00,1
2019-03-10 06:00:00,9
2019-03-10 06:01:00,14
2019-03-10 06:02:00,15
2019-03-10 06:03:00,14
2019-03-10 06:04:00,14
2019-03-10 06:05:00,9
2019-03-10 06:06:00,14
2019-03-10 06:07:00,14
2019-03-10 06:08:00,15
2019-03-10 06:09:00,8
2019-03-11 06:00:00,5
2019-03-11 06:01:00,10
2019-03-11 06:02:00,1
2019-03-11 06:06:00,1
2019-03-11 06:16:00,8
2019-03-11 06:17:00,14
2019-03-11 06:18:00,8
2019-03-12 06:04:00,3
2019-03-12 06:05:00,14
2019-03-12 06:06:00,14
2019-03-12 06:40:00,1
2019-03-12 10:11:00,1
2019-03-12 11:31:00,1
2019-03-12 11:45:00,1
2019-03-12 12:08:00,1
2019-03-12 19:02:00,10
2019-03-12 19:03:00,5
2019-03-12 19:04:00,5
2019-03-13 06:03:00,14
2019-03-13 06:04:00,14
2019-03-13 06:05:00,9
2019-03-13 06:06:00,15
2019-03-13 06:07:00,14
2019-03-13 06:08:00,10
2019-03-13 06:09:00,9
2019-03-13 06:10:00,11
2019-03-13 06:11:00,14
2019-03-13 06:12:00,15
2019-03-13 06:13:00,3
2019-03-16 06:00:00,9
2019-03-16 06:01:00,14
2019-03-16 06:02:00,15
2019-03-16 06:03:00,15
2019-03-16 06:04:00,14
2019-03-16 06:05:00,14
2019-03-16 06:06:00,10
2019-03-16 19:05:00,2
2019-03-16 19:06:00,8
2019-03-16 19:07:00,8
2019-03-16 19:08:00,10
2019-03-17 06:00:00,7
2019-03-17 06:01:00,8
2019-03-17 06:02:00,9
2019-03-17 06:03:00,15
2019-03-17 06:04:00,14
2019-03-17 06:05:00,10
2019-03-17 06:06:00,15
2019-03-17 06:07:00,15
2019-03-17 06:08:00,14
2019-03-17 06:09:00,15
2019-03-17 06:10:00,14
2019-03-17 06:11:00,15
2019-03-17 06:12:00,14
2019-03-17 06:13:00,6
2019-03-17 06:18:00,1
2019-03-17 19:05:00,11
2019-03-17 19:06:00,13
2019-03-18 06:01:00,6
2019-03-18 06:02:00,15
2019-03-21 06:00:00,11
2019-03-21 06:01:00,1
2019-03-22 06:00:00,5
2019-03-22 06:01:00,15
2019-03-22 06:02:00,9
2019-03-22 06:03:00,8
2019-03-22 06:04:00,8
2019-03-22 06:05:00,12
2019-03-22 06:06:00,15
2019-03-22 06:07:00,11
2019-03-22 06:08:00,7
2019-03-22 19:37:00,1
2019-03-22 19:38:00,1
2019-03-22 19:39:00,1
2019-03-23 06:00:00,13
2019-03-23 06:01:00,14
2019-03-23 06:02:00,15
2019-03-23 06:03:00,14
2019-03-23 06:04:00,15
2019-03-23 06:05:00,14
2019-03-23 06:06:00,15
2019-03-23 06:07:00,14
2019-03-23 06:08:00,15
2019-03-23 06:09:00,14
2019-03-23 06:10:00,1
2019-03-24 06:00:00,11
2019-03-24 06:01:00,15
2019-03-24 06:02:00,14
2019-03-24 06:03:00,14
2019-03-24 06:04:00,14
2019-03-24 06:05:00,4
2019-03-24 06:06:00,10
2019-03-24 06:07:00,8
2019-03-25 06:00:00,11
2019-03-25 06:01:00,15
2019-03-25 06:02:00,15
2019-03-25 06:03:00,14
2019-03-25 06:04:00,11
2019-03-25 06:05:00,14
2019-03-25 06:06:00,12
2019-03-25 06:07:00,9
2019-03-25 06:08:00,15
2019-03-25 06:09:00,6
2019-03-25 06:10:00,14
2019-03-25 06:11:00,10
2019-03-25 19:08:00,1
2019-03-25 19:09:00,9
2019-03-26 06:02:00,1
2019-03-26 06:10:00,3
2019-03-26 06:11:00,15
2019-03-26 06:12:00,14
2019-03-26 06:13:00,15
2019-03-26 06:14:00,13
2019-03-26 06:25:00,1
2019-03-26 06:44:00,1
2019-03-26 06:50:00,10
2019-03-26 06:51:00,15
2019-03-26 06:52:00,5
2019-03-26 19:43:00,10
2019-03-26 19:47:00,8
2019-03-26 19:48:00,8
2019-03-27 06:00:00,11
2019-03-27 06:01:00,14
2019-03-27 06:02:00,15
2019-03-27 06:03:00,5
2019-03-27 06:09:00,1
2019-03-27 06:21:00,1
2019-03-27 06:30:00,2
2019-03-27 06:31:00,15
2019-03-27 06:32:00,13
2019-03-27 19:00:00,6
2019-03-27 19:01:00,4
2019-03-27 19:04:00,12
2019-03-27 19:05:00,3
2019-03-28 06:21:00,12
2019-03-28 06:22:00,14
2019-03-28 06:23:00,4
2019-03-28 06:27:00,1
2019-03-28 19:08:00,5
2019-03-29 06:00:00,6
2019-03-29 06:01:00,15
2019-03-29 06:02:00,14
2019-03-29 06:03:00,15
2019-03-29 06:04:00,12
2019-03-29 06:05:00,14
2019-03-29 06:06:00,12
2019-03-29 06:09:00,1
2019-03-29 06:16:00,14
2019-03-29 06:17:00,15
2019-03-29 06:18:00,1
2019-03-29 06:19:00,5
2019-03-29 06:20:00,14
2019-03-29 06:21:00,11
2019-03-29 19:06:00,10
2019-03-29 19:07:00,14
2019-03-29 19:08:00,14
2019-03-29 19:09:00,12
2019-03-30 06:03:00,1
2019-03-30 06:08:00,1
2019-03-30 06:11:00,1
2019-03-30 06:29:00,12
2019-03-30 06:30:00,14
2019-03-30 06:31:00,12
2019-03-30 06:32:00,14
2019-03-30 06:33:00,8
2019-03-30 19:08:00,8
2019-03-30 19:09:00,12
2019-04-05 06:11:00,3
2019-04-05 06:12:00,2
2019-04-05 06:13:00,3
2019-04-05 06:14:00,4
2019-04-05 06:15:00,6
2019-04-05 06:16:00,16
2019-04-05 06:17:00,14
2019-04-05 06:18:00,16
2019-04-05 06:19:00,11
2019-04-05 06:20:00,3
2019-04-05 06:21:00,3
2019-04-05 06:22:00,2
2019-04-05 06:23:00,3
2019-04-05 06:24:00,3
2019-04-05 06:25:00,2
2019-04-05 06:26:00,3
2019-04-05 06:27:00,2
2019-04-05 06:28:00,3
2019-04-05 06:29:00,3
2019-04-05 06:30:00,2
2019-04-05 06:31:00,3
2019-04-05 06:32:00,3
2019-04-05 06:33:00,2
2019-04-05 06:34:00,3
2019-04-05 06:35:00,2
2019-04-05 06:36:00,3
2019-04-05 06:37:00,3
2019-04-05 06:38:00,2
2019-04-05 06:39:00,3
2019-04-05 06:40:00,2
2019-04-05 06:41:00,3
2019-04-05 06:42:00,3
2019-04-05 06:43:00,2
2019-04-05 06:44:00,3
2019-04-05 06:45:00,3
2019-04-05 06:46:00,2
2019-04-05 06:47:00,3
2019-04-05 06:48:00,2
2019-04-05 06:49:00,3
2019-04-05 06:50:00,3
2019-04-05 06:51:00,2
2019-04-05 06:52:00,3
2019-04-05 06:53:00,2
2019-04-05 06:54:00,3
2019-04-05 06:55:00,3
2019-04-05 06:56:00,2
2019-04-05 06:57:00,3
2019-04-05 06:58:00,3
2019-04-05 06:59:00,2
2019-04-05 07:00:00,3
2019-04-05 07:01:00,2
2019-04-05 07:02:00,3
2019-04-05 07:03:00,3
2019-04-05 07:04:00,2
2019-04-05 07:05:00,3
2019-04-05 07:06:00,2
2019-04-05 07:07:00,3
2019-04-05 07:08:00,3
2019-04-05 07:09:00,2
2019-04-05 07:10:00,3
2019-04-05 07:11:00,2
2019-04-05 07:12:00,3
2019-04-05 07:13:00,3
2019-04-05 07:14:00,2
2019-04-05 07:15:00,3
2019-04-05 07:16:00,2
2019-04-05 07:17:00,3
2019-04-05 07:18:00,3
2019-04-05 07:19:00,2
2019-04-05 07:20:00,2
2019-04-05 14:13:00,45
2019-04-05 14:14:00,16
2019-04-06 06:11:00,3
2019-04-06 06:12:00,2
2019-04-06 06:13:00,3
2019-04-06 06:14:00,2
2019-04-06 06:15:00,3
2019-04-06 06:16:00,3
2019-04-06 06:17:00,2
2019-04-06 06:18:00,3
2019-04-06 06:19:00,3
2019-04-06 06:20:00,2
2019-04-06 06:21:00,3
2019-04-06 06:22:00,2
2019-04-08 08:51:00,75
2019-04-08 08:52:00,112
2019-04-08 08:53:00,59
2019-04-08 11:59:00,45
2019-04-08 12:00:00,16
2019-04-08 12:16:00,92
2019-04-08 12:17:00,97
2019-04-08 12:18:00,55
2019-04-08 13:06:00,12
2019-04-08 13:07:00,108
2019-04-08 13:08:00,114
2019-04-08 13:09:00,4
2019-04-08 16:36:00,69
2019-04-08 16:37:00,122
2019-04-08 16:38:00,59
2019-04-09 13:24:00,67
2019-04-09 13:25:00,100
2019-04-09 13:26:00,79
2019-04-09 13:40:00,22
2019-04-09 13:41:00,98
2019-04-09 13:42:00,107
2019-04-09 13:43:00,11
2019-04-10 10:39:00,77
2019-04-10 10:40:00,97
2019-04-10 10:41:00,72
2019-04-10 11:03:00,83
2019-04-10 11:04:00,94
2019-04-10 11:05:00,59
2019-04-10 11:09:00,1
2019-04-10 11:16:00,1
2019-04-10 11:41:00,69
2019-04-10 11:42:00,92
2019-04-10 11:43:00,79
2019-04-13 05:00:00,3
2019-04-13 05:01:00,11
2019-04-13 05:02:00,10
2019-04-13 05:03:00,7
2019-04-13 05:20:00,9
2019-04-13 05:21:00,11
2019-04-13 05:22:00,10
2019-04-13 05:23:00,1
2019-04-13 05:33:00,1
2019-04-13 06:00:00,1
2019-04-13 18:08:00,3
2019-04-13 18:09:00,7
2019-04-13 18:10:00,2
2019-04-14 05:09:00,5
2019-04-14 05:10:00,8
2019-04-14 05:11:00,7
2019-04-14 05:12:00,7
2019-04-14 05:13:00,8
2019-04-14 05:14:00,7
2019-04-14 05:15:00,8
2019-04-14 05:16:00,7
2019-04-14 05:17:00,8
2019-04-14 05:18:00,8
2019-04-14 05:19:00,7
2019-04-14 05:20:00,7
2019-04-14 05:21:00,4
2019-04-14 18:03:00,6
2019-04-14 18:04:00,4
2019-04-14 18:06:00,6
2019-04-14 18:07:00,7
2019-04-14 18:08:00,6
2019-04-27 05:02:00,5
2019-04-27 05:07:00,12
2019-04-27 05:08:00,1
2019-04-27 05:14:00,4
2019-04-28 05:06:00,1
2019-04-29 05:04:00,1
2019-04-30 05:07:00,1
2019-04-30 05:13:00,3
2019-05-04 18:28:00,1
2019-05-05 05:00:00,1
2019-05-07 07:28:00,2
2019-05-07 08:21:00,1
2019-05-07 10:45:00,1
2019-05-08 16:49:00,81
2019-05-08 16:50:00,112
2019-05-08 16:51:00,65
2019-05-12 06:07:00,1
2019-05-12 06:17:00,1
2019-05-12 06:31:00,1
2019-05-12 06:45:00,1
2019-05-12 06:46:00,1
2019-05-13 05:05:00,1
2019-05-13 05:10:00,2
2019-05-13 05:11:00,5
2019-05-13 05:12:00,5
2019-05-13 05:13:00,4
2019-05-13 05:14:00,5
2019-05-13 05:15:00,5
2019-05-13 05:16:00,4
2019-05-13 13:16:00,1
2019-05-13 13:33:00,1
2019-05-13 13:36:00,1
2019-05-13 18:01:00,2
2019-05-13 18:02:00,5
2019-05-13 18:03:00,3
2019-05-14 05:00:00,1
2019-05-14 05:07:00,1
2019-05-14 05:13:00,15
2019-05-14 05:14:00,14
2019-05-14 05:15:00,1
2019-05-14 05:18:00,4
2019-05-14 05:19:00,15
2019-05-14 05:20:00,14
2019-05-14 18:01:00,5
2019-05-14 18:02:00,14
2019-05-14 18:03:00,1
2019-05-15 05:05:00,6
2019-05-15 05:06:00,10
2019-05-15 05:07:00,10
2019-05-15 05:08:00,5
2019-05-15 05:14:00,1
2019-05-15 05:16:00,1
2019-05-15 05:17:00,3
2019-05-15 05:18:00,2
2019-05-15 05:19:00,3
2019-05-15 05:20:00,2
2019-05-15 05:21:00,3
2019-05-15 05:22:00,2
2019-05-15 05:23:00,3
2019-05-15 05:24:00,2
2019-05-15 05:25:00,2
2019-05-15 05:26:00,3
2019-05-15 05:27:00,2
2019-05-15 05:28:00,2
2019-05-15 18:03:00,8
2019-05-15 18:04:00,2
2019-05-15 18:07:00,2
2019-05-15 18:08:00,3
2019-05-15 18:09:00,3
2019-05-15 18:10:00,1
2019-05-22 05:03:00,6
2019-05-23 05:04:00,5
2019-05-23 05:05:00,14
2019-05-23 05:06:00,1
2019-05-27 05:00:00,1
2019-05-27 05:06:00,1
2019-05-27 05:16:00,1
2019-05-27 05:24:00,1
2019-05-27 05:32:00,1
2019-05-27 05:39:00,1
2019-05-27 06:01:00,8
2019-05-27 06:02:00,4
2019-05-28 05:05:00,1
2019-05-28 05:06:00,9
2019-05-28 05:07:00,15
2019-05-28 05:08:00,5
2019-05-28 18:00:00,3
2019-05-29 05:07:00,1
2019-05-29 05:08:00,14
2019-05-29 05:09:00,6
2019-05-29 07:08:00,53
2019-05-29 07:21:00,2
2019-05-29 07:22:00,1
2019-05-29 07:23:00,53
2019-05-29 07:24:00,111
2019-05-29 07:25:00,110
2019-05-29 07:26:00,111
2019-05-29 07:27:00,110
2019-05-29 07:28:00,107
2019-05-29 07:29:00,117
2019-05-29 07:30:00,81
2019-05-29 07:37:00,79
2019-05-29 07:38:00,114
2019-05-29 07:39:00,111
2019-05-29 07:40:00,107
2019-05-29 07:41:00,118
2019-05-29 07:42:00,106
2019-05-29 07:43:00,52
2019-05-29 07:44:00,114
2019-05-29 07:45:00,110
2019-05-29 07:46:00,112
2019-05-29 07:47:00,94
2019-05-29 08:18:00,26
2019-05-29 08:19:00,115
2019-05-29 08:20:00,116
2019-05-29 08:21:00,117
2019-05-29 08:22:00,112
2019-05-29 08:23:00,103
2019-05-29 08:24:00,5
2019-05-29 08:25:00,10
2019-05-31 05:00:00,1
2019-05-31 05:05:00,1
2019-05-31 05:22:00,5
2019-05-31 05:23:00,6
2019-05-31 05:24:00,7
2019-05-31 05:25:00,7
2019-05-31 05:26:00,6
2019-05-31 05:30:00,1
2019-05-31 05:31:00,9
2019-05-31 05:32:00,9
2019-05-31 05:33:00,10
2019-05-31 05:34:00,1
2019-05-31 18:01:00,4
2019-05-31 18:02:00,6
2019-05-31 18:03:00,5
2019-05-31 18:04:00,2
2019-06-01 05:11:00,6
2019-06-01 05:12:00,15
2019-06-01 05:13:00,10
2019-06-01 05:19:00,4
2019-06-01 05:20:00,14
2019-06-01 05:21:00,8
2019-06-01 05:22:00,11
2019-06-01 05:23:00,10
2019-06-01 05:24:00,10
2019-06-01 05:25:00,14
2019-06-01 18:02:00,1
2019-06-01 18:03:00,10
2019-06-01 18:04:00,9
2019-06-01 18:05:00,8
2019-06-01 18:06:00,1
2019-06-02 05:01:00,1
2019-06-02 05:07:00,1
2019-06-02 05:15:00,1
2019-06-02 05:21:00,1
2019-06-02 05:27:00,6
2019-06-02 05:28:00,14
2019-06-02 05:29:00,11
2019-06-02 05:32:00,5
2019-06-02 05:33:00,1
2019-06-02 18:04:00,3
2019-06-02 18:05:00,7
2019-06-05 05:07:00,8
2019-06-05 05:08:00,15
2019-06-05 05:09:00,7
2019-06-05 18:00:00,10
2019-06-06 05:00:00,1
2019-06-06 05:17:00,1
2019-06-06 05:24:00,4
2019-06-06 05:25:00,14
2019-06-06 05:26:00,12
2019-06-07 05:27:00,7
2019-06-07 05:28:00,8
2019-06-07 05:29:00,6
2019-06-07 05:30:00,11
2019-06-07 05:31:00,14
2019-06-07 05:32:00,10
2019-06-07 05:33:00,8
2019-06-07 05:34:00,8
2019-06-07 05:35:00,7
2019-06-07 05:36:00,6
2019-06-07 05:37:00,7
2019-06-07 05:38:00,6
2019-06-07 05:39:00,7
2019-06-07 05:40:00,6
2019-06-07 05:41:00,7
2019-06-07 05:42:00,11
2019-06-07 05:43:00,12
2019-06-08 05:00:00,6
2019-06-08 05:09:00,2
2019-06-08 05:10:00,14
2019-06-08 05:11:00,14
2019-06-08 05:12:00,8
2019-06-08 05:13:00,8
2019-06-08 05:14:00,7
2019-06-08 05:15:00,7
2019-06-08 05:16:00,15
2019-06-08 05:17:00,14
2019-06-08 05:18:00,14
2019-06-08 05:19:00,11
2019-06-08 18:00:00,4
2019-06-08 18:01:00,6
2019-06-08 18:02:00,6
2019-06-08 18:03:00,14
2019-06-10 05:06:00,3
2019-06-10 05:07:00,13
2019-06-10 05:08:00,9
2019-06-11 05:19:00,3
2019-06-11 05:20:00,14
2019-06-11 05:21:00,13
2019-06-11 18:01:00,6
2019-06-11 18:02:00,4
2019-06-12 05:08:00,5
2019-06-12 05:09:00,14
2019-06-12 05:10:00,14
2019-06-12 05:11:00,14
2019-06-12 05:12:00,15
2019-06-12 05:13:00,14
2019-06-12 05:14:00,15
2019-06-12 05:15:00,14
2019-06-12 05:16:00,15
2019-06-12 05:17:00,14
2019-06-12 05:18:00,13
2019-06-12 05:19:00,11
2019-06-12 05:20:00,2
2019-06-15 05:00:00,3
2019-06-15 05:01:00,3
2019-06-15 05:08:00,2
2019-06-15 05:09:00,8
2019-06-15 05:10:00,8
2019-06-16 05:03:00,2
2019-06-16 05:04:00,8
2019-06-16 05:05:00,13
2019-06-16 05:06:00,9
2019-06-16 05:07:00,8
2019-06-16 05:08:00,8
2019-06-16 05:09:00,8
2019-06-16 05:10:00,9
2019-06-16 05:11:00,5
2019-06-19 05:00:00,4
2019-06-19 05:01:00,13
2019-06-19 05:02:00,10
2019-06-19 05:03:00,15
2019-06-19 05:04:00,6
2019-06-19 05:05:00,7
2019-06-19 05:06:00,8
2019-06-19 05:07:00,8
2019-06-19 05:08:00,9
2019-06-19 05:09:00,15
2019-06-19 05:10:00,15
2019-06-19 05:11:00,14
2019-06-19 05:12:00,10
2019-06-19 05:13:00,9
2019-06-19 05:14:00,10
2019-06-19 05:15:00,14
2019-06-19 05:16:00,15
2019-06-19 05:17:00,15
2019-06-19 05:18:00,14
2019-06-19 05:19:00,13
2019-06-19 05:20:00,6
2019-06-19 05:21:00,6
2019-06-19 05:22:00,7
2019-06-19 05:23:00,2
