338509,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-01-09 14:20:00,158
2019-01-12 13:30:00,88
2019-01-12 13:31:00,258
2019-01-12 13:35:00,66
2019-01-12 13:36:00,13
2019-01-12 13:38:00,187
2019-01-12 13:39:00,105
2019-01-12 13:40:00,2
2019-01-12 13:41:00,35
2019-01-12 13:47:00,31
2019-01-12 13:48:00,61
2019-01-12 13:49:00,78
2019-01-12 13:51:00,25
2019-01-13 13:32:00,235
2019-01-13 13:33:00,116
2019-01-13 13:39:00,228
2019-01-13 13:41:00,300
2019-01-13 13:42:00,35
2019-01-13 13:43:00,139
2019-01-13 13:45:00,66
2019-01-13 13:52:00,61
2019-01-13 13:54:00,37
2019-01-13 13:56:00,68
2019-01-13 13:57:00,133
2019-01-13 14:01:00,78
2019-01-15 13:32:00,47
2019-01-15 13:33:00,105
2019-01-15 13:35:00,83
2019-01-15 13:36:00,78
2019-01-15 13:39:00,80
2019-01-15 13:40:00,29
2019-01-15 13:43:00,67
2019-01-15 13:44:00,18
2019-01-15 13:45:00,64
2019-01-15 13:47:00,14
2019-01-15 13:48:00,1
2019-01-15 13:49:00,43
2019-01-15 13:50:00,26
2019-01-15 13:53:00,23
2019-01-15 13:54:00,46
2019-01-15 13:55:00,23
2019-01-15 13:56:00,43
2019-01-15 13:57:00,61
2019-01-17 13:33:00,3
2019-01-17 13:34:00,8
2019-01-17 13:35:00,10
2019-01-17 13:36:00,9
2019-01-17 13:37:00,10
2019-01-17 13:38:00,10
2019-01-17 13:39:00,8
2019-01-17 13:40:00,12
2019-01-17 13:41:00,11
2019-01-17 13:42:00,9
2019-01-17 13:43:00,8
2019-01-17 13:44:00,3
2019-01-17 13:45:00,10
2019-01-17 13:46:00,7
2019-01-17 13:47:00,5
2019-01-17 13:48:00,5
2019-01-17 13:49:00,9
2019-01-17 13:50:00,11
2019-01-17 13:51:00,10
2019-01-17 13:52:00,15
2019-01-17 13:53:00,14
2019-01-17 13:54:00,13
2019-01-17 13:55:00,15
2019-01-17 13:56:00,20
2019-01-17 13:57:00,16
2019-01-17 13:58:00,15
2019-01-17 13:59:00,18
2019-01-17 14:00:00,9
2019-01-17 14:03:00,3
2019-01-17 14:04:00,17
2019-01-17 14:05:00,15
2019-01-17 14:06:00,17
2019-01-17 14:07:00,20
2019-01-17 14:08:00,9
2019-01-17 14:09:00,15
2019-01-17 14:10:00,16
2019-01-17 14:11:00,16
2019-01-17 14:12:00,13
2019-01-17 14:13:00,13
2019-01-17 14:14:00,2
2019-01-17 14:15:00,18
2019-01-17 14:16:00,15
2019-01-17 14:17:00,28
2019-01-17 14:18:00,19
2019-01-17 14:19:00,25
2019-01-17 14:20:00,20
2019-01-17 14:21:00,1
2019-01-17 14:34:00,27
2019-01-17 14:35:00,194
2019-01-17 14:38:00,2
2019-01-17 14:39:00,247
2019-01-17 14:40:00,14
2019-01-17 14:43:00,105
2019-01-17 14:44:00,193
2019-01-17 14:52:00,251
2019-01-17 14:57:00,123
2019-01-17 14:58:00,29
2019-01-17 15:01:00,17
2019-01-17 15:02:00,139
2019-01-17 15:16:00,207
2019-01-17 15:20:00,11
2019-01-17 15:38:00,170
2019-01-17 15:39:00,7
2019-01-17 16:09:00,98
2019-01-17 16:10:00,21
2019-01-17 16:15:00,169
2019-01-18 01:32:00,321
2019-01-18 01:33:00,316
2019-01-18 03:51:00,55
2019-01-18 03:52:00,224
2019-01-18 13:32:00,42
2019-01-18 13:33:00,208
2019-01-18 13:34:00,190
2019-01-18 13:35:00,179
2019-01-18 13:36:00,43
2019-01-18 13:37:00,314
2019-01-18 13:38:00,218
2019-01-18 13:39:00,201
2019-01-18 13:40:00,104
2019-01-18 13:41:00,206
2019-01-18 13:47:00,168
2019-01-18 13:48:00,138
2019-01-18 13:52:00,129
2019-01-18 13:55:00,114
2019-01-18 13:56:00,31
2019-01-18 13:58:00,119
2019-01-18 14:00:00,117
2019-01-18 14:02:00,41
2019-01-18 14:03:00,48
2019-01-18 14:05:00,116
2019-01-18 14:06:00,91
2019-01-18 14:07:00,44
2019-01-18 14:08:00,228
2019-01-18 14:10:00,40
2019-01-18 14:11:00,231
2019-01-18 14:12:00,165
2019-01-19 13:33:00,166
2019-01-19 13:34:00,37
2019-01-19 13:35:00,334
2019-01-19 13:36:00,217
2019-01-19 13:37:00,76
2019-01-19 13:47:00,114
2019-01-19 13:48:00,13
2019-01-19 14:08:00,272
2019-01-19 14:09:00,157
2019-01-19 14:20:00,243
2019-01-19 14:21:00,305
2019-01-19 14:43:00,373
2019-01-19 15:06:00,64
2019-01-19 15:07:00,181
2019-01-19 15:41:00,143
2019-01-19 15:42:00,182
2019-01-19 15:55:00,7
2019-01-19 15:57:00,200
2019-01-20 13:32:00,47
2019-01-20 13:33:00,92
2019-01-20 13:34:00,68
2019-01-20 13:36:00,28
2019-01-20 13:37:00,93
2019-01-20 13:38:00,1
2019-01-20 13:43:00,6
2019-01-20 13:44:00,233
2019-01-20 13:45:00,399
2019-01-20 13:46:00,11
2019-01-20 13:47:00,205
2019-01-20 13:48:00,38
2019-01-20 13:50:00,21
2019-01-20 13:51:00,173
2019-01-20 13:52:00,29
2019-01-20 13:53:00,36
2019-01-20 13:54:00,329
2019-01-20 13:55:00,12
2019-01-20 13:56:00,42
2019-01-20 13:58:00,140
2019-01-20 14:03:00,100
2019-01-20 14:06:00,108
2019-01-20 14:07:00,348
2019-01-20 14:08:00,5
2019-01-20 14:10:00,35
2019-01-20 14:11:00,141
2019-01-20 14:12:00,84
2019-01-21 13:32:00,13
2019-01-21 13:33:00,13
2019-01-21 13:35:00,204
2019-01-21 13:36:00,53
2019-01-21 13:43:00,29
2019-01-21 13:44:00,32
2019-01-21 13:49:00,131
2019-01-21 13:50:00,227
2019-01-21 13:52:00,86
2019-01-21 14:01:00,32
2019-01-21 14:02:00,96
2019-01-21 14:06:00,20
2019-01-21 14:07:00,88
2019-01-21 14:18:00,79
2019-01-21 14:19:00,125
2019-01-21 14:20:00,56
2019-01-21 14:22:00,11
2019-01-21 14:32:00,9
2019-01-21 14:33:00,60
2019-01-21 14:38:00,7
2019-01-21 14:39:00,10
2019-01-21 14:42:00,12
2019-01-21 14:43:00,2
2019-01-21 14:49:00,10
2019-01-21 14:51:00,17
2019-01-21 14:52:00,63
2019-01-22 13:34:00,38
2019-01-22 13:51:00,15
2019-01-22 13:52:00,16
2019-01-22 14:00:00,7
2019-01-22 14:07:00,38
2019-01-22 14:14:00,14
2019-01-22 14:16:00,11
2019-01-22 14:28:00,17
2019-01-22 14:38:00,16
2019-01-23 13:32:00,270
2019-01-23 13:33:00,20
2019-01-23 13:40:00,1
2019-01-23 13:43:00,9
2019-01-23 13:46:00,33
2019-01-23 13:47:00,27
2019-01-23 13:49:00,77
2019-01-23 13:53:00,27
2019-01-23 13:58:00,46
2019-01-23 14:00:00,268
2019-01-23 14:01:00,395
2019-01-23 14:02:00,377
2019-01-23 14:03:00,420
2019-01-23 14:04:00,417
2019-01-23 14:05:00,364
2019-01-23 14:06:00,396
2019-01-23 14:07:00,415
2019-01-23 14:08:00,420
2019-01-23 14:09:00,388
2019-01-23 14:10:00,378
2019-01-23 14:11:00,408
2019-01-23 14:12:00,411
2019-01-23 14:13:00,416
2019-01-23 14:14:00,89
2019-01-23 14:15:00,420
2019-01-23 14:16:00,418
2019-01-23 14:17:00,422
2019-01-23 14:18:00,406
2019-01-23 14:19:00,399
2019-01-23 14:20:00,414
2019-01-23 14:21:00,426
2019-01-23 14:22:00,423
2019-01-23 14:23:00,399
2019-01-23 14:24:00,401
2019-01-23 14:25:00,427
2019-01-23 14:26:00,396
2019-01-23 14:27:00,424
2019-01-23 14:28:00,407
2019-01-23 14:29:00,412
2019-01-23 14:30:00,436
2019-01-23 14:31:00,421
2019-01-23 14:32:00,415
2019-01-23 14:33:00,405
2019-01-23 14:34:00,403
2019-01-23 14:35:00,434
2019-01-23 14:36:00,411
2019-01-23 14:37:00,404
2019-01-23 14:38:00,415
2019-01-23 14:39:00,418
2019-01-23 14:40:00,410
2019-01-23 14:41:00,397
2019-01-23 14:42:00,409
2019-01-23 14:43:00,431
2019-01-23 14:44:00,426
2019-01-23 14:45:00,405
2019-01-23 14:46:00,397
2019-01-23 14:47:00,420
2019-01-23 14:48:00,415
2019-01-23 14:49:00,397
2019-01-23 14:50:00,396
2019-01-23 14:51:00,404
2019-01-23 14:52:00,410
2019-01-23 14:53:00,402
2019-01-23 14:54:00,410
2019-01-23 14:55:00,409
2019-01-23 14:56:00,163
2019-01-23 14:58:00,14
2019-01-23 15:00:00,13
2019-01-23 15:02:00,16
2019-01-23 15:03:00,38
2019-01-23 15:09:00,17
2019-01-24 13:36:00,33
2019-01-24 14:11:00,13
2019-01-24 14:15:00,2
2019-01-24 14:16:00,231
2019-01-24 14:17:00,393
2019-01-24 14:18:00,90
2019-01-24 14:33:00,20
2019-01-24 14:34:00,2
2019-01-24 14:38:00,22
2019-01-24 14:42:00,33
2019-01-24 15:16:00,18
2019-01-24 15:34:00,39
2019-01-24 15:35:00,17
2019-01-24 15:39:00,13
2019-01-24 15:46:00,24
2019-01-24 15:47:00,1
2019-01-24 15:49:00,20
2019-01-24 15:50:00,27
2019-01-24 15:51:00,9
2019-01-25 13:33:00,49
2019-01-25 13:36:00,161
2019-01-25 13:37:00,89
2019-01-25 13:38:00,44
2019-01-25 13:39:00,246
2019-01-25 13:43:00,165
2019-01-25 13:44:00,86
2019-01-25 13:45:00,4
2019-01-25 13:46:00,98
2019-01-25 13:47:00,75
2019-01-25 13:48:00,81
2019-01-25 13:49:00,109
2019-01-25 13:50:00,82
2019-01-25 13:51:00,66
2019-01-25 13:52:00,56
2019-01-25 13:53:00,51
2019-01-25 13:54:00,30
2019-01-25 13:55:00,126
2019-01-25 13:56:00,92
2019-01-25 13:57:00,198
2019-01-26 13:34:00,94
2019-01-26 13:35:00,71
2019-01-26 13:36:00,304
2019-01-26 13:37:00,179
2019-01-26 13:38:00,101
2019-01-26 13:39:00,137
2019-01-26 13:40:00,8
2019-01-26 13:41:00,71
2019-01-26 13:43:00,38
2019-01-26 13:46:00,37
2019-01-26 13:49:00,125
2019-01-26 13:51:00,106
2019-01-26 13:53:00,59
2019-01-26 13:56:00,85
2019-01-26 13:57:00,46
2019-01-26 14:01:00,118
2019-01-26 14:02:00,54
2019-01-26 14:03:00,23
2019-01-26 14:04:00,15
2019-01-26 14:05:00,97
2019-01-26 14:06:00,32
2019-01-26 14:07:00,56
2019-01-27 13:32:00,89
2019-01-27 13:33:00,39
2019-01-27 13:34:00,95
2019-01-27 13:35:00,14
2019-01-27 13:38:00,30
2019-01-27 13:39:00,90
2019-01-27 13:40:00,59
2019-01-27 13:41:00,38
2019-01-27 13:42:00,36
2019-01-27 13:43:00,42
2019-01-27 13:45:00,75
2019-01-27 13:47:00,53
2019-01-27 13:49:00,12
2019-01-27 13:50:00,19
2019-01-27 13:52:00,97
2019-01-27 13:53:00,15
2019-01-28 15:28:00,3
2019-01-28 17:22:00,4
2019-01-29 13:54:00,16
2019-01-29 13:59:00,16
2019-01-29 14:17:00,19
2019-01-29 14:30:00,13
2019-01-29 15:03:00,66
2019-01-29 15:06:00,138
2019-01-29 15:07:00,9
2019-01-29 15:56:00,3
2019-01-29 15:57:00,27
2019-01-29 16:52:00,8
2019-01-29 17:02:00,17
2019-01-29 17:26:00,16
2019-01-29 17:30:00,20
2019-01-29 17:36:00,13
2019-02-02 13:33:00,87
2019-02-02 13:36:00,20
2019-02-02 13:37:00,20
2019-02-02 13:44:00,22
2019-02-02 14:03:00,15
2019-02-02 14:09:00,12
2019-02-02 14:19:00,20
2019-02-02 14:36:00,19
2019-02-02 14:37:00,58
2019-02-02 14:39:00,19
2019-02-02 15:13:00,40
2019-02-02 15:24:00,27
2019-02-02 15:25:00,59
2019-02-02 15:26:00,79
2019-02-02 15:27:00,28
2019-02-09 13:37:00,73
2019-02-09 13:42:00,20
2019-02-09 13:45:00,17
2019-02-09 13:49:00,36
2019-02-09 13:51:00,71
2019-02-09 13:56:00,14
2019-02-09 14:14:00,9
2019-02-09 14:20:00,17
2019-02-09 14:22:00,9
2019-02-09 14:29:00,37
2019-02-09 14:58:00,74
2019-02-09 15:04:00,73
2019-02-09 15:08:00,48
2019-02-09 15:09:00,22
2019-02-09 15:29:00,4
2019-02-09 15:52:00,137
2019-02-10 15:12:00,1
2019-02-10 15:17:00,42
2019-02-10 15:18:00,58
2019-02-10 15:29:00,237
2019-02-10 15:30:00,413
2019-02-10 15:31:00,397
2019-02-10 15:32:00,366
2019-02-10 15:33:00,336
2019-02-11 13:43:00,57
2019-02-11 13:55:00,49
2019-02-11 13:58:00,17
2019-02-11 14:01:00,40
2019-02-11 14:04:00,27
2019-02-11 14:05:00,16
2019-02-11 14:09:00,92
2019-02-11 14:11:00,44
2019-02-11 14:13:00,36
2019-02-11 14:28:00,103
2019-02-11 14:33:00,14
2019-02-11 14:49:00,25
2019-02-11 14:50:00,14
2019-02-11 14:56:00,17
2019-02-11 14:59:00,60
2019-02-11 15:17:00,12
2019-02-11 15:18:00,15
2019-02-11 15:27:00,39
2019-02-12 13:37:00,97
2019-02-12 13:48:00,60
2019-02-12 13:58:00,77
2019-02-12 14:21:00,59
2019-02-12 14:22:00,66
2019-02-12 14:38:00,97
2019-02-12 14:39:00,5
2019-02-12 14:49:00,37
2019-02-12 15:00:00,60
2019-02-12 15:01:00,92
2019-02-12 15:06:00,60
2019-02-12 15:07:00,30
2019-02-12 15:18:00,46
2019-02-12 15:24:00,74
2019-02-12 15:27:00,104
2019-02-12 15:28:00,4
2019-02-12 15:29:00,54
2019-02-12 16:01:00,15
2019-02-12 16:02:00,53
2019-02-12 16:26:00,96
2019-02-12 23:35:00,1
2019-02-13 00:08:00,1
2019-02-13 00:09:00,1
2019-02-13 01:19:00,1
2019-02-13 01:33:00,1
2019-02-13 01:39:00,1
2019-02-13 13:32:00,42
2019-02-13 13:33:00,127
2019-02-13 13:34:00,67
2019-02-13 13:35:00,359
2019-02-13 13:36:00,100
2019-02-13 13:37:00,77
2019-02-13 13:38:00,37
2019-02-13 13:39:00,17
2019-02-13 13:42:00,160
2019-02-13 13:43:00,54
2019-02-13 13:44:00,24
2019-02-13 13:45:00,41
2019-02-13 13:46:00,36
2019-02-13 13:47:00,56
2019-02-13 13:48:00,139
2019-02-13 13:49:00,19
2019-02-13 13:50:00,72
2019-02-13 13:51:00,103
2019-02-13 13:52:00,49
2019-02-15 19:52:00,1
2019-02-18 19:35:00,1
2019-02-18 20:17:00,1
2019-02-20 20:21:00,1
2019-02-20 20:22:00,1
2019-02-20 20:23:00,1
2019-02-20 20:25:00,1
2019-02-20 20:32:00,1
2019-02-21 13:58:00,139
2019-02-21 13:59:00,22
2019-02-21 14:52:00,175
2019-02-21 14:53:00,3
2019-02-26 13:31:00,21
2019-02-26 13:32:00,143
2019-02-26 13:33:00,55
2019-02-26 13:37:00,22
2019-02-26 13:39:00,16
2019-02-26 13:40:00,87
2019-02-26 13:41:00,22
2019-02-26 13:42:00,91
2019-02-26 13:45:00,112
2019-02-26 13:46:00,53
2019-02-26 13:47:00,190
2019-02-26 13:48:00,15
2019-02-26 13:49:00,16
2019-02-26 13:50:00,80
2019-02-26 13:51:00,25
2019-02-26 13:52:00,57
2019-02-26 13:54:00,11
2019-02-26 13:55:00,10
2019-02-26 13:57:00,1
2019-02-26 13:58:00,188
2019-02-26 14:08:00,86
2019-02-26 14:09:00,59
2019-02-26 14:10:00,16
2019-02-26 14:11:00,33
2019-02-26 14:12:00,47
2019-02-26 14:13:00,23
2019-02-26 14:15:00,86
2019-02-26 14:16:00,12
2019-02-26 14:17:00,42
2019-02-27 14:34:00,11
2019-02-27 14:35:00,5
2019-02-27 15:11:00,13
2019-02-27 20:10:00,1
2019-02-28 13:37:00,210
2019-02-28 13:38:00,97
2019-02-28 13:39:00,112
2019-02-28 13:41:00,13
2019-02-28 13:42:00,296
2019-02-28 13:43:00,13
2019-02-28 13:44:00,16
2019-02-28 13:45:00,15
2019-02-28 13:51:00,37
2019-02-28 13:52:00,143
2019-02-28 13:53:00,8
2019-02-28 13:54:00,70
2019-02-28 13:57:00,20
2019-02-28 13:58:00,140
2019-02-28 13:59:00,18
2019-02-28 14:00:00,25
2019-02-28 14:01:00,129
2019-02-28 14:02:00,25
2019-02-28 14:07:00,205
2019-02-28 14:08:00,113
2019-02-28 14:09:00,22
2019-02-28 14:10:00,24
2019-02-28 14:12:00,41
2019-02-28 14:13:00,11
2019-02-28 14:16:00,45
2019-02-28 14:17:00,109
2019-02-28 14:18:00,86
2019-02-28 14:21:00,36
2019-02-28 14:29:00,40
2019-02-28 14:30:00,95
2019-02-28 14:31:00,37
2019-02-28 14:32:00,167
2019-02-28 14:33:00,46
2019-02-28 14:35:00,52
2019-02-28 14:38:00,64
2019-03-01 13:33:00,60
2019-03-01 13:36:00,36
2019-03-01 13:41:00,115
2019-03-01 13:51:00,67
2019-03-01 13:57:00,109
2019-03-01 13:58:00,30
2019-03-01 14:02:00,3
2019-03-01 14:03:00,91
2019-03-01 14:18:00,58
2019-03-01 14:19:00,36
2019-03-01 14:21:00,58
2019-03-01 14:22:00,55
2019-03-01 14:48:00,16
2019-03-01 14:51:00,47
2019-03-01 15:00:00,20
2019-03-01 15:01:00,33
2019-03-01 15:02:00,32
2019-03-01 15:04:00,27
2019-03-01 15:10:00,43
2019-03-01 15:31:00,88
2019-03-01 15:35:00,34
2019-03-01 15:40:00,72
2019-03-01 16:05:00,40
2019-03-01 16:08:00,23
2019-03-01 21:18:00,1
2019-03-01 21:19:00,2
2019-03-01 21:20:00,17
2019-03-01 21:21:00,18
2019-03-01 21:22:00,17
2019-03-01 21:23:00,18
2019-03-01 21:24:00,19
2019-03-01 21:25:00,18
2019-03-01 21:26:00,24
2019-03-01 21:27:00,28
2019-03-01 21:28:00,19
2019-03-01 21:29:00,8
2019-03-02 13:40:00,30
2019-03-02 13:41:00,373
2019-03-02 13:46:00,121
2019-03-02 13:49:00,82
2019-03-02 13:50:00,370
2019-03-02 14:04:00,11
2019-03-02 14:05:00,423
2019-03-02 14:06:00,227
2019-03-02 14:07:00,220
2019-03-02 14:08:00,426
2019-03-02 14:09:00,433
2019-03-02 14:10:00,454
2019-03-02 14:11:00,144
2019-03-02 14:15:00,223
2019-03-02 14:16:00,399
2019-03-02 14:17:00,432
2019-03-02 14:18:00,449
2019-03-02 14:19:00,401
2019-03-02 14:20:00,406
2019-03-02 14:21:00,105
2019-03-02 14:38:00,117
2019-03-02 15:10:00,391
2019-03-02 15:11:00,424
2019-03-02 15:12:00,428
2019-03-02 15:13:00,281
2019-03-02 15:31:00,32
2019-03-02 15:32:00,63
2019-03-02 15:59:00,191
2019-03-02 16:00:00,302
2019-03-02 16:12:00,79
2019-03-02 16:13:00,342
2019-03-02 16:28:00,243
2019-03-02 16:29:00,124
2019-03-02 16:35:00,60
2019-03-02 16:38:00,288
2019-03-02 16:39:00,407
2019-03-02 16:40:00,436
2019-03-02 16:41:00,409
2019-03-02 16:42:00,329
2019-03-02 16:43:00,430
2019-03-02 16:44:00,47
2019-03-02 16:47:00,78
2019-03-02 16:48:00,104
2019-03-02 16:49:00,80
2019-03-02 16:50:00,71
2019-03-02 16:51:00,62
2019-03-02 16:52:00,86
2019-03-02 16:53:00,267
2019-03-02 16:54:00,397
2019-03-02 16:55:00,428
2019-03-02 16:56:00,410
2019-03-02 16:57:00,412
2019-03-02 16:58:00,368
2019-03-02 16:59:00,242
2019-03-02 17:00:00,269
2019-03-02 17:05:00,132
2019-03-02 17:23:00,70
2019-03-02 17:37:00,67
2019-03-02 17:38:00,404
2019-03-02 17:39:00,404
2019-03-02 17:40:00,447
2019-03-02 17:41:00,449
2019-03-02 17:42:00,41
2019-03-03 01:08:00,1
2019-03-03 13:33:00,57
2019-03-03 13:44:00,98
2019-03-03 14:17:00,156
2019-03-03 14:46:00,174
2019-03-03 14:48:00,36
2019-03-03 14:49:00,147
2019-03-03 14:55:00,144
2019-03-03 15:28:00,121
2019-03-03 15:29:00,107
2019-03-03 15:42:00,68
2019-03-03 15:43:00,24
2019-03-03 16:01:00,199
2019-03-03 16:56:00,21
2019-03-03 17:08:00,39
2019-03-03 17:19:00,255
2019-03-03 17:20:00,256
2019-03-03 17:59:00,32
2019-03-03 18:00:00,196
2019-03-03 18:49:00,66
2019-03-03 18:58:00,22
2019-03-03 19:02:00,69
2019-03-03 19:49:00,178
2019-03-03 20:02:00,55
2019-03-03 20:03:00,143
2019-03-03 20:12:00,161
2019-03-03 20:13:00,42
2019-03-03 20:16:00,24
2019-03-04 13:32:00,89
2019-03-04 13:37:00,58
2019-03-04 13:39:00,20
2019-03-04 13:42:00,182
2019-03-04 13:43:00,40
2019-03-04 13:44:00,82
2019-03-04 13:45:00,11
2019-03-04 13:46:00,13
2019-03-04 13:47:00,61
2019-03-04 13:51:00,44
2019-03-04 13:55:00,106
2019-03-04 13:56:00,22
2019-03-04 13:59:00,39
2019-03-04 14:00:00,19
2019-03-04 14:03:00,92
2019-03-04 14:05:00,22
2019-03-04 14:06:00,6
2019-03-04 14:07:00,41
2019-03-04 14:08:00,73
2019-03-04 14:09:00,42
2019-03-04 14:10:00,4
2019-03-04 14:11:00,2
2019-03-04 14:23:00,4
2019-03-04 14:24:00,13
2019-03-04 14:25:00,11
2019-03-04 14:26:00,11
2019-03-04 14:28:00,18
2019-03-04 14:29:00,16
2019-03-04 14:31:00,8
2019-03-04 14:32:00,48
2019-03-04 14:33:00,16
2019-03-04 14:34:00,20
2019-03-05 13:35:00,12
2019-03-05 13:36:00,3
2019-03-05 13:37:00,27
2019-03-05 13:39:00,18
2019-03-05 13:41:00,55
2019-03-05 13:56:00,10
2019-03-05 13:57:00,21
2019-03-05 13:58:00,1
2019-03-05 14:01:00,4
2019-03-05 14:02:00,16
2019-03-05 14:03:00,15
2019-03-05 14:04:00,13
2019-03-05 14:05:00,9
2019-03-05 14:10:00,1
2019-03-05 14:11:00,17
2019-03-05 14:12:00,10
2019-03-05 14:27:00,1
2019-03-05 14:36:00,1
2019-03-05 14:40:00,1
2019-03-05 14:44:00,1
2019-03-05 15:10:00,1
2019-03-05 15:11:00,1
2019-03-05 15:28:00,1
2019-03-05 15:31:00,1
2019-03-05 15:33:00,1
2019-03-05 15:37:00,1
2019-03-05 15:39:00,1
2019-03-05 15:49:00,1
2019-03-05 15:50:00,1
2019-03-05 16:31:00,41
2019-03-05 16:32:00,6
2019-03-05 16:38:00,12
2019-03-05 16:39:00,43
2019-03-06 13:37:00,27
2019-03-06 13:38:00,18
2019-03-06 13:43:00,24
2019-03-06 13:47:00,32
2019-03-06 13:51:00,37
2019-03-06 13:57:00,36
2019-03-06 13:58:00,28
2019-03-06 13:59:00,8
2019-03-06 14:00:00,6
2019-03-06 14:01:00,116
2019-03-06 14:02:00,57
2019-03-06 14:08:00,56
2019-03-06 14:19:00,58
2019-03-06 14:29:00,135
2019-03-06 21:29:00,1
2019-03-07 14:01:00,312
2019-03-07 14:02:00,401
2019-03-07 14:03:00,190
2019-03-07 14:17:00,316
2019-03-07 14:18:00,380
2019-03-07 14:19:00,79
2019-03-07 14:30:00,103
2019-03-07 14:31:00,409
2019-03-07 14:32:00,273
2019-03-07 14:44:00,145
2019-03-07 14:45:00,289
2019-03-07 15:01:00,72
2019-03-07 15:02:00,247
2019-03-07 15:14:00,9
2019-03-07 15:15:00,304
2019-03-07 15:16:00,44
2019-03-07 15:25:00,262
2019-03-07 15:26:00,353
2019-03-07 15:27:00,347
2019-03-07 15:28:00,360
2019-03-07 15:29:00,328
2019-03-07 15:30:00,351
2019-03-07 15:31:00,342
2019-03-07 15:32:00,357
2019-03-07 15:33:00,338
2019-03-07 15:34:00,214
2019-03-07 15:46:00,402
2019-03-07 15:47:00,424
2019-03-07 15:48:00,413
2019-03-07 15:49:00,396
2019-03-07 15:50:00,345
2019-03-07 15:51:00,412
2019-03-07 15:52:00,437
2019-03-07 15:53:00,56
2019-03-07 16:02:00,225
2019-03-07 16:58:00,74
2019-03-07 16:59:00,324
2019-03-07 17:00:00,314
2019-03-07 17:01:00,339
2019-03-07 17:02:00,347
2019-03-07 17:03:00,287
2019-03-07 17:04:00,258
2019-03-07 17:05:00,382
2019-03-07 17:06:00,388
2019-03-07 17:07:00,388
2019-03-07 17:08:00,364
2019-03-07 17:09:00,141
2019-03-07 17:32:00,373
2019-03-07 17:33:00,397
2019-03-07 17:34:00,434
2019-03-07 17:35:00,448
2019-03-07 17:36:00,404
2019-03-07 17:37:00,403
2019-03-07 17:38:00,441
2019-03-07 17:39:00,314
2019-03-07 18:08:00,370
2019-03-07 18:09:00,414
