412,"SELECT TOP # s.plate, s.mjd, s.fiberid, p.run, p.rerun, p.camCol, p.field, p.obj, cast (str (p.ra, #, #) as float) as ra, cast (str (p.[dec], #, #) as float) as dec, p.r FROM ..SpecObj as s JOIN ..PhotoObj AS p ON s.bestObjID = p.objID JOIN dbo.fGetObjFromRect (#, #, #, #) AS b ON s.bestobjid = b.objID WHERE s.zWarning = #"
2019-07-26 19:41:00,1
2019-07-30 01:35:00,1
2019-08-04 03:47:00,1
2019-08-05 05:39:00,1
2019-08-05 13:54:00,1
2019-08-06 06:34:00,1
2019-08-06 20:48:00,1
2019-08-11 01:36:00,1
2019-08-12 04:12:00,1
2019-08-12 09:38:00,1
2019-08-12 19:34:00,1
2019-08-13 00:25:00,1
2019-08-17 00:10:00,1
2019-08-19 13:33:00,1
2019-08-23 01:50:00,1
2019-08-25 05:13:00,1
2019-08-25 11:53:00,1
2019-08-25 23:11:00,1
2019-08-27 06:53:00,1
2019-08-28 01:01:00,1
2019-09-01 00:08:00,1
2019-09-01 00:50:00,1
2019-09-01 09:20:00,1
2019-09-01 10:43:00,1
2019-09-05 04:16:00,1
2019-09-05 11:13:00,1
2019-09-06 22:29:00,1
2019-09-09 05:37:00,1
2019-09-13 13:39:00,1
2019-09-13 19:33:00,1
2019-09-13 20:42:00,1
2019-09-15 00:08:00,1
2019-09-15 18:44:00,1
2019-09-15 19:26:00,1
2019-09-17 21:49:00,1
2019-09-19 15:29:00,1
2019-09-19 19:12:00,1
2019-09-20 01:30:00,1
2019-09-20 12:00:00,1
2019-09-21 03:34:00,1
2019-09-21 08:31:00,1
2019-09-21 13:50:00,1
2019-09-21 18:10:00,1
2019-09-22 20:08:00,1
2019-09-23 15:16:00,1
2019-09-24 05:04:00,1
2019-09-24 07:20:00,1
2019-09-25 19:21:00,1
2019-09-26 04:21:00,1
2019-09-28 22:16:00,1
2019-09-29 19:59:00,1
2019-09-29 22:15:00,1
2019-09-30 01:55:00,1
2019-09-30 18:12:00,1
2019-10-02 07:54:00,1
2019-10-05 11:58:00,1
2019-10-05 13:12:00,1
2019-10-13 17:11:00,1
2019-10-14 08:12:00,1
2019-10-14 16:13:00,1
2019-10-15 16:47:00,1
2019-10-16 06:55:00,1
2019-10-17 13:47:00,1
2019-10-19 08:28:00,1
2019-10-20 09:46:00,1
2019-10-21 01:31:00,1
2019-10-21 02:59:00,1
2019-10-22 22:02:00,1
2019-10-22 23:20:00,1
2019-10-23 01:08:00,1
2019-10-24 09:58:00,1
2019-10-24 20:27:00,1
2019-10-24 21:28:00,1
2019-10-27 08:56:00,1
2019-11-01 04:21:00,1
2019-11-02 00:53:00,1
2019-11-02 01:22:00,1
2019-11-03 01:55:00,1
2019-11-04 12:30:00,1
2019-11-04 14:41:00,1
2019-11-05 02:40:00,1
2019-11-06 16:09:00,1
2019-11-08 21:35:00,1
2019-11-09 13:24:00,1
2019-11-09 17:12:00,1
2019-11-10 19:27:00,1
2019-11-14 07:04:00,1
2019-11-15 00:52:00,1
2019-11-15 03:28:00,1
2019-11-15 21:00:00,1
2019-11-15 21:49:00,1
2019-11-16 07:54:00,1
2019-11-16 14:07:00,1
2019-11-20 21:11:00,1
2019-11-21 11:00:00,1
2019-11-21 20:11:00,1
2019-11-22 09:24:00,1
2019-11-24 11:13:00,1
2019-11-27 02:46:00,1
2019-11-27 13:41:00,1
2019-11-28 11:48:00,1
2019-12-01 01:01:00,1
2019-12-01 13:42:00,1
2019-12-03 19:09:00,1
2019-12-04 06:43:00,1
2019-12-05 10:07:00,1
2019-12-05 11:23:00,1
2019-12-05 11:36:00,1
2019-12-06 07:28:00,1
2019-12-06 07:53:00,1
2019-12-06 21:54:00,1
2019-12-06 23:07:00,1
2019-12-07 09:35:00,1
2019-12-07 19:24:00,1
2019-12-08 04:56:00,1
2019-12-08 19:18:00,1
2019-12-09 03:47:00,1
2019-12-09 16:23:00,1
2019-12-09 16:35:00,1
2019-12-10 01:41:00,1
2019-12-11 20:20:00,1
2019-12-12 11:22:00,1
2019-12-13 17:58:00,1
2019-12-14 03:39:00,1
2019-12-14 07:05:00,1
2019-12-15 00:24:00,7
2019-12-15 00:25:00,23
2019-12-15 00:26:00,12
2019-12-15 00:27:00,6
2019-12-15 01:40:00,1
2019-12-15 01:59:00,18
2019-12-15 02:00:00,18
2019-12-15 02:01:00,12
2019-12-15 02:02:00,14
2019-12-15 02:03:00,18
2019-12-15 02:04:00,12
2019-12-15 02:05:00,6
2019-12-15 02:06:00,2
2019-12-25 05:34:00,1
2019-12-25 16:55:00,1
2019-12-25 17:28:00,1
2019-12-27 00:40:00,1
2019-12-27 13:48:00,1
2019-12-28 11:00:00,1
